game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,cle,AustMi00,targets,8,,,,,
player,201411230atl,cle,AustMi00,rec,6,,,,,
player,201411230atl,cle,AustMi00,rec_yds,64,,,,,
player,201411230atl,cle,AustMi00,rec_td,0,,,,,
player,201411230atl,cle,AustMi00,rec_long,13,,,,,
player,201411230atl,cle,AustMi00,fumbles,0,,,,,
player,201411230atl,cle,AustMi00,fumbles_lost,0,,,,,
player,201411230atl,cle,BarnGa01,pass_cmp,0,,,,,
player,201411230atl,cle,BarnGa01,pass_att,0,,,,,
player,201411230atl,cle,BarnGa01,pass_yds,0,,,,,
player,201411230atl,cle,BarnGa01,pass_td,0,,,,,
player,201411230atl,cle,BarnGa01,pass_int,0,,,,,
player,201411230atl,cle,BarnGa01,pass_sacked,0,,,,,
player,201411230atl,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201411230atl,cle,BarnGa01,pass_long,0,,,,,
player,201411230atl,cle,BarnGa01,pass_rating,,,,,,
player,201411230atl,cle,BarnGa01,rush_att,0,,,,,
player,201411230atl,cle,BarnGa01,rush_yds,0,,,,,
player,201411230atl,cle,BarnGa01,rush_td,0,,,,,
player,201411230atl,cle,BarnGa01,rush_long,0,,,,,
player,201411230atl,cle,BarnGa01,targets,3,,,,,
player,201411230atl,cle,BarnGa01,rec,2,,,,,
player,201411230atl,cle,BarnGa01,rec_yds,23,,,,,
player,201411230atl,cle,BarnGa01,rec_td,0,,,,,
player,201411230atl,cle,BarnGa01,rec_long,15,,,,,
player,201411230atl,cle,BarnGa01,fumbles,0,,,,,
player,201411230atl,cle,BarnGa01,fumbles_lost,0,,,,,
player,201411230atl,cle,GabrTa00,pass_cmp,0,,,,,
player,201411230atl,cle,GabrTa00,pass_att,0,,,,,
player,201411230atl,cle,GabrTa00,pass_yds,0,,,,,
player,201411230atl,cle,GabrTa00,pass_td,0,,,,,
player,201411230atl,cle,GabrTa00,pass_int,0,,,,,
player,201411230atl,cle,GabrTa00,pass_sacked,0,,,,,
player,201411230atl,cle,GabrTa00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,GabrTa00,pass_long,0,,,,,
player,201411230atl,cle,GabrTa00,pass_rating,,,,,,
player,201411230atl,cle,GabrTa00,rush_att,0,,,,,
player,201411230atl,cle,GabrTa00,rush_yds,0,,,,,
player,201411230atl,cle,GabrTa00,rush_td,0,,,,,
player,201411230atl,cle,GabrTa00,rush_long,0,,,,,
player,201411230atl,cle,GabrTa00,targets,2,,,,,
player,201411230atl,cle,GabrTa00,rec,1,,,,,
player,201411230atl,cle,GabrTa00,rec_yds,13,,,,,
player,201411230atl,cle,GabrTa00,rec_td,0,,,,,
player,201411230atl,cle,GabrTa00,rec_long,13,,,,,
player,201411230atl,cle,GabrTa00,fumbles,0,,,,,
player,201411230atl,cle,GabrTa00,fumbles_lost,0,,,,,
player,201411230atl,cle,AgneRa00,pass_cmp,0,,,,,
player,201411230atl,cle,AgneRa00,pass_att,0,,,,,
player,201411230atl,cle,AgneRa00,pass_yds,0,,,,,
player,201411230atl,cle,AgneRa00,pass_td,0,,,,,
player,201411230atl,cle,AgneRa00,pass_int,0,,,,,
