game,2014,14,20141207,201412070sdg,nwe,"New England Patriots",23,sdg,"San Diego Chargers",14
player,201412070sdg,nwe,AmenDa00,rush_yds,0,,,,,
player,201412070sdg,nwe,AmenDa00,rush_td,0,,,,,
player,201412070sdg,nwe,AmenDa00,rush_long,0,,,,,
player,201412070sdg,nwe,AmenDa00,targets,3,,,,,
player,201412070sdg,nwe,AmenDa00,rec,3,,,,,
player,201412070sdg,nwe,AmenDa00,rec_yds,7,,,,,
player,201412070sdg,nwe,AmenDa00,rec_td,0,,,,,
player,201412070sdg,nwe,AmenDa00,rec_long,5,,,,,
player,201412070sdg,nwe,AmenDa00,fumbles,0,,,,,
player,201412070sdg,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_cmp,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_att,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_yds,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_td,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_int,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_sacked,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_long,0,,,,,
player,201412070sdg,nwe,WrigTi01,pass_rating,,,,,,
player,201412070sdg,nwe,WrigTi01,rush_att,0,,,,,
player,201412070sdg,nwe,WrigTi01,rush_yds,0,,,,,
player,201412070sdg,nwe,WrigTi01,rush_td,0,,,,,
player,201412070sdg,nwe,WrigTi01,rush_long,0,,,,,
player,201412070sdg,nwe,WrigTi01,targets,2,,,,,
player,201412070sdg,nwe,WrigTi01,rec,0,,,,,
player,201412070sdg,nwe,WrigTi01,rec_yds,0,,,,,
player,201412070sdg,nwe,WrigTi01,rec_td,0,,,,,
player,201412070sdg,nwe,WrigTi01,rec_long,0,,,,,
player,201412070sdg,nwe,WrigTi01,fumbles,0,,,,,
player,201412070sdg,nwe,WrigTi01,fumbles_lost,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_cmp,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_att,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_yds,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_td,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_int,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_sacked,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_long,0,,,,,
player,201412070sdg,nwe,DeveJa00,pass_rating,,,,,,
player,201412070sdg,nwe,DeveJa00,rush_att,0,,,,,
player,201412070sdg,nwe,DeveJa00,rush_yds,0,,,,,
player,201412070sdg,nwe,DeveJa00,rush_td,0,,,,,
player,201412070sdg,nwe,DeveJa00,rush_long,0,,,,,
player,201412070sdg,nwe,DeveJa00,targets,1,,,,,
player,201412070sdg,nwe,DeveJa00,rec,0,,,,,
player,201412070sdg,nwe,DeveJa00,rec_yds,0,,,,,
player,201412070sdg,nwe,DeveJa00,rec_td,0,,,,,
player,201412070sdg,nwe,DeveJa00,rec_long,0,,,,,
player,201412070sdg,nwe,DeveJa00,fumbles,0,,,,,
player,201412070sdg,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,RivePh00,pass_cmp,20,,,,,
player,201412070sdg,sdg,RivePh00,pass_att,33,,,,,
player,201412070sdg,sdg,RivePh00,pass_yds,189,,,,,
player,201412070sdg,sdg,RivePh00,pass_td,1,,,,,
player,201412070sdg,sdg,RivePh00,pass_int,1,,,,,
player,201412070sdg,sdg,RivePh00,pass_sacked,4,,,,,
player,201412070sdg,sdg,RivePh00,pass_sacked_yds,26,,,,,
player,201412070sdg,sdg,RivePh00,pass_long,28,,,,,
player,201412070sdg,sdg,RivePh00,pass_rating,73.9,,,,,
player,201412070sdg,sdg,RivePh00,rush_att,3,,,,,
player,201412070sdg,sdg,RivePh00,rush_yds,8,,,,,
player,201412070sdg,sdg,RivePh00,rush_td,0,,,,,
player,201412070sdg,sdg,RivePh00,rush_long,7,,,,,
player,201412070sdg,sdg,RivePh00,targets,0,,,,,
player,201412070sdg,sdg,RivePh00,rec,0,,,,,
player,201412070sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201412070sdg,sdg,RivePh00,rec_td,0,,,,,
player,201412070sdg,sdg,RivePh00,rec_long,0,,,,,
player,201412070sdg,sdg,RivePh00,fumbles,0,,,,,
player,201412070sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_att,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_td,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_int,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_sacked,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_long,0,,,,,
player,201412070sdg,sdg,MathRy00,pass_rating,,,,,,
player,201412070sdg,sdg,MathRy00,rush_att,11,,,,,
player,201412070sdg,sdg,MathRy00,rush_yds,44,,,,,
player,201412070sdg,sdg,MathRy00,rush_td,0,,,,,
player,201412070sdg,sdg,MathRy00,rush_long,17,,,,,
player,201412070sdg,sdg,MathRy00,targets,1,,,,,
player,201412070sdg,sdg,MathRy00,rec,1,,,,,
player,201412070sdg,sdg,MathRy00,rec_yds,4,,,,,
player,201412070sdg,sdg,MathRy00,rec_td,0,,,,,
player,201412070sdg,sdg,MathRy00,rec_long,4,,,,,
player,201412070sdg,sdg,MathRy00,fumbles,0,,,,,
player,201412070sdg,sdg,MathRy00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_cmp,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_att,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_yds,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_td,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_int,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_sacked,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_long,0,,,,,
player,201412070sdg,sdg,OlivBr01,pass_rating,,,,,,
player,201412070sdg,sdg,OlivBr01,rush_att,3,,,,,
player,201412070sdg,sdg,OlivBr01,rush_yds,1,,,,,
player,201412070sdg,sdg,OlivBr01,rush_td,0,,,,,
player,201412070sdg,sdg,OlivBr01,rush_long,4,,,,,
player,201412070sdg,sdg,OlivBr01,targets,2,,,,,
player,201412070sdg,sdg,OlivBr01,rec,0,,,,,
player,201412070sdg,sdg,OlivBr01,rec_yds,0,,,,,
player,201412070sdg,sdg,OlivBr01,rec_td,0,,,,,
player,201412070sdg,sdg,OlivBr01,rec_long,0,,,,,
player,201412070sdg,sdg,OlivBr01,fumbles,0,,,,,
player,201412070sdg,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201412070sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201412070sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201412070sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201412070sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201412070sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201412070sdg,sdg,FloyMa00,targets,6,,,,,
player,201412070sdg,sdg,FloyMa00,rec,3,,,,,
player,201412070sdg,sdg,FloyMa00,rec_yds,54,,,,,
player,201412070sdg,sdg,FloyMa00,rec_td,1,,,,,
player,201412070sdg,sdg,FloyMa00,rec_long,28,,,,,
player,201412070sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201412070sdg,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_cmp,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_att,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_yds,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_td,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_int,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_sacked,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_long,0,,,,,
player,201412070sdg,sdg,BrowDo00,pass_rating,,,,,,
player,201412070sdg,sdg,BrowDo00,rush_att,0,,,,,
player,201412070sdg,sdg,BrowDo00,rush_yds,0,,,,,
player,201412070sdg,sdg,BrowDo00,rush_td,0,,,,,
player,201412070sdg,sdg,BrowDo00,rush_long,0,,,,,
player,201412070sdg,sdg,BrowDo00,targets,6,,,,,
player,201412070sdg,sdg,BrowDo00,rec,5,,,,,
player,201412070sdg,sdg,BrowDo00,rec_yds,49,,,,,
player,201412070sdg,sdg,BrowDo00,rec_td,0,,,,,
player,201412070sdg,sdg,BrowDo00,rec_long,24,,,,,
player,201412070sdg,sdg,BrowDo00,fumbles,0,,,,,
player,201412070sdg,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_att,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_td,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_int,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_long,0,,,,,
player,201412070sdg,sdg,GateAn00,pass_rating,,,,,,
player,201412070sdg,sdg,GateAn00,rush_att,0,,,,,
player,201412070sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201412070sdg,sdg,GateAn00,rush_td,0,,,,,
player,201412070sdg,sdg,GateAn00,rush_long,0,,,,,
player,201412070sdg,sdg,GateAn00,targets,8,,,,,
player,201412070sdg,sdg,GateAn00,rec,5,,,,,
player,201412070sdg,sdg,GateAn00,rec_yds,34,,,,,
player,201412070sdg,sdg,GateAn00,rec_td,0,,,,,
player,201412070sdg,sdg,GateAn00,rec_long,12,,,,,
player,201412070sdg,sdg,GateAn00,fumbles,1,,,,,
player,201412070sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_att,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_yds,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_td,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_int,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_long,0,,,,,
player,201412070sdg,sdg,RoyaEd00,pass_rating,,,,,,
player,201412070sdg,sdg,RoyaEd00,rush_att,0,,,,,
player,201412070sdg,sdg,RoyaEd00,rush_yds,0,,,,,
player,201412070sdg,sdg,RoyaEd00,rush_td,0,,,,,
player,201412070sdg,sdg,RoyaEd00,rush_long,0,,,,,
player,201412070sdg,sdg,RoyaEd00,targets,5,,,,,
player,201412070sdg,sdg,RoyaEd00,rec,2,,,,,
player,201412070sdg,sdg,RoyaEd00,rec_yds,30,,,,,
player,201412070sdg,sdg,RoyaEd00,rec_td,0,,,,,
player,201412070sdg,sdg,RoyaEd00,rec_long,22,,,,,
player,201412070sdg,sdg,RoyaEd00,fumbles,0,,,,,
player,201412070sdg,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_cmp,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_att,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_yds,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_td,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_int,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_sacked,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_long,0,,,,,
player,201412070sdg,sdg,GreeLa00,pass_rating,,,,,,
player,201412070sdg,sdg,GreeLa00,rush_att,0,,,,,
player,201412070sdg,sdg,GreeLa00,rush_yds,0,,,,,
player,201412070sdg,sdg,GreeLa00,rush_td,0,,,,,
player,201412070sdg,sdg,GreeLa00,rush_long,0,,,,,
player,201412070sdg,sdg,GreeLa00,targets,2,,,,,
player,201412070sdg,sdg,GreeLa00,rec,2,,,,,
player,201412070sdg,sdg,GreeLa00,rec_yds,15,,,,,
player,201412070sdg,sdg,GreeLa00,rec_td,0,,,,,
player,201412070sdg,sdg,GreeLa00,rec_long,11,,,,,
player,201412070sdg,sdg,GreeLa00,fumbles,0,,,,,
player,201412070sdg,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_long,0,,,,,
player,201412070sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201412070sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201412070sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201412070sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201412070sdg,sdg,AlleKe00,rush_long,0,,,,,
player,201412070sdg,sdg,AlleKe00,targets,3,,,,,
player,201412070sdg,sdg,AlleKe00,rec,2,,,,,
player,201412070sdg,sdg,AlleKe00,rec_yds,3,,,,,
player,201412070sdg,sdg,AlleKe00,rec_td,0,,,,,
player,201412070sdg,sdg,AlleKe00,rec_long,3,,,,,
player,201412070sdg,sdg,AlleKe00,fumbles,0,,,,,
player,201412070sdg,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,AyerAk00,def_int,1,,,,,
player,201412070sdg,nwe,AyerAk00,def_int_yds,0,,,,,
player,201412070sdg,nwe,AyerAk00,def_int_td,0,,,,,
player,201412070sdg,nwe,AyerAk00,def_int_long,0,,,,,
player,201412070sdg,nwe,AyerAk00,pass_defended,1,,,,,
player,201412070sdg,nwe,AyerAk00,sacks,0.0,,,,,
player,201412070sdg,nwe,AyerAk00,tackles_combined,2,,,,,
player,201412070sdg,nwe,AyerAk00,tackles_solo,1,,,,,
player,201412070sdg,nwe,AyerAk00,tackles_assists,1,,,,,
player,201412070sdg,nwe,AyerAk00,tackles_loss,0,,,,,
player,201412070sdg,nwe,AyerAk00,qb_hits,1,,,,,
player,201412070sdg,nwe,AyerAk00,fumbles_rec,0,,,,,
player,201412070sdg,nwe,AyerAk00,fumbles_rec_yds,0,,,,,
player,201412070sdg,nwe,AyerAk00,fumbles_rec_td,0,,,,,
player,201412070sdg,nwe,AyerAk00,fumbles_forced,0,,,,,
player,201412070sdg,nwe,CollJa00,def_int,0,,,,,
player,201412070sdg,nwe,CollJa00,def_int_yds,0,,,,,
player,201412070sdg,nwe,CollJa00,def_int_td,0,,,,,
player,201412070sdg,nwe,CollJa00,def_int_long,0,,,,,
player,201412070sdg,nwe,CollJa00,pass_defended,0,,,,,
player,201412070sdg,nwe,CollJa00,sacks,2.0,,,,,
player,201412070sdg,nwe,CollJa00,tackles_combined,9,,,,,
player,201412070sdg,nwe,CollJa00,tackles_solo,8,,,,,
player,201412070sdg,nwe,CollJa00,tackles_assists,1,,,,,
player,201412070sdg,nwe,CollJa00,tackles_loss,3,,,,,
