game,2014,7,20141019,201410190chi,mia,"Miami Dolphins",27,chi,"Chicago Bears",14
player,201410190chi,mia,ClayCh00,rec_long,25,,,,,
player,201410190chi,mia,ClayCh00,fumbles,0,,,,,
player,201410190chi,mia,ClayCh00,fumbles_lost,0,,,,,
player,201410190chi,mia,LandJa00,pass_cmp,0,,,,,
player,201410190chi,mia,LandJa00,pass_att,0,,,,,
player,201410190chi,mia,LandJa00,pass_yds,0,,,,,
player,201410190chi,mia,LandJa00,pass_td,0,,,,,
player,201410190chi,mia,LandJa00,pass_int,0,,,,,
player,201410190chi,mia,LandJa00,pass_sacked,0,,,,,
player,201410190chi,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201410190chi,mia,LandJa00,pass_long,0,,,,,
player,201410190chi,mia,LandJa00,pass_rating,,,,,,
player,201410190chi,mia,LandJa00,rush_att,0,,,,,
player,201410190chi,mia,LandJa00,rush_yds,0,,,,,
player,201410190chi,mia,LandJa00,rush_td,0,,,,,
player,201410190chi,mia,LandJa00,rush_long,0,,,,,
player,201410190chi,mia,LandJa00,targets,5,,,,,
player,201410190chi,mia,LandJa00,rec,4,,,,,
player,201410190chi,mia,LandJa00,rec_yds,46,,,,,
player,201410190chi,mia,LandJa00,rec_td,0,,,,,
player,201410190chi,mia,LandJa00,rec_long,15,,,,,
player,201410190chi,mia,LandJa00,fumbles,0,,,,,
player,201410190chi,mia,LandJa00,fumbles_lost,0,,,,,
player,201410190chi,mia,HartBr00,pass_cmp,0,,,,,
player,201410190chi,mia,HartBr00,pass_att,0,,,,,
player,201410190chi,mia,HartBr00,pass_yds,0,,,,,
player,201410190chi,mia,HartBr00,pass_td,0,,,,,
player,201410190chi,mia,HartBr00,pass_int,0,,,,,
player,201410190chi,mia,HartBr00,pass_sacked,0,,,,,
player,201410190chi,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201410190chi,mia,HartBr00,pass_long,0,,,,,
player,201410190chi,mia,HartBr00,pass_rating,,,,,,
player,201410190chi,mia,HartBr00,rush_att,0,,,,,
player,201410190chi,mia,HartBr00,rush_yds,0,,,,,
player,201410190chi,mia,HartBr00,rush_td,0,,,,,
player,201410190chi,mia,HartBr00,rush_long,0,,,,,
player,201410190chi,mia,HartBr00,targets,3,,,,,
player,201410190chi,mia,HartBr00,rec,3,,,,,
player,201410190chi,mia,HartBr00,rec_yds,35,,,,,
player,201410190chi,mia,HartBr00,rec_td,0,,,,,
player,201410190chi,mia,HartBr00,rec_long,17,,,,,
player,201410190chi,mia,HartBr00,fumbles,0,,,,,
player,201410190chi,mia,HartBr00,fumbles_lost,0,,,,,
player,201410190chi,mia,SimsDi00,pass_cmp,0,,,,,
player,201410190chi,mia,SimsDi00,pass_att,0,,,,,
player,201410190chi,mia,SimsDi00,pass_yds,0,,,,,
player,201410190chi,mia,SimsDi00,pass_td,0,,,,,
player,201410190chi,mia,SimsDi00,pass_int,0,,,,,
player,201410190chi,mia,SimsDi00,pass_sacked,0,,,,,
player,201410190chi,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201410190chi,mia,SimsDi00,pass_long,0,,,,,
player,201410190chi,mia,SimsDi00,pass_rating,,,,,,
player,201410190chi,mia,SimsDi00,rush_att,0,,,,,
player,201410190chi,mia,SimsDi00,rush_yds,0,,,,,
player,201410190chi,mia,SimsDi00,rush_td,0,,,,,
player,201410190chi,mia,SimsDi00,rush_long,0,,,,,
player,201410190chi,mia,SimsDi00,targets,2,,,,,
player,201410190chi,mia,SimsDi00,rec,2,,,,,
player,201410190chi,mia,SimsDi00,rec_yds,33,,,,,
player,201410190chi,mia,SimsDi00,rec_td,0,,,,,
player,201410190chi,mia,SimsDi00,rec_long,26,,,,,
player,201410190chi,mia,SimsDi00,fumbles,0,,,,,
player,201410190chi,mia,SimsDi00,fumbles_lost,0,,,,,
player,201410190chi,mia,WillDa05,pass_cmp,0,,,,,
player,201410190chi,mia,WillDa05,pass_att,0,,,,,
player,201410190chi,mia,WillDa05,pass_yds,0,,,,,
player,201410190chi,mia,WillDa05,pass_td,0,,,,,
player,201410190chi,mia,WillDa05,pass_int,0,,,,,
player,201410190chi,mia,WillDa05,pass_sacked,0,,,,,
player,201410190chi,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201410190chi,mia,WillDa05,pass_long,0,,,,,
player,201410190chi,mia,WillDa05,pass_rating,,,,,,
player,201410190chi,mia,WillDa05,rush_att,1,,,,,
player,201410190chi,mia,WillDa05,rush_yds,-1,,,,,
player,201410190chi,mia,WillDa05,rush_td,0,,,,,
player,201410190chi,mia,WillDa05,rush_long,-1,,,,,
player,201410190chi,mia,WillDa05,targets,2,,,,,
player,201410190chi,mia,WillDa05,rec,2,,,,,
player,201410190chi,mia,WillDa05,rec_yds,12,,,,,
player,201410190chi,mia,WillDa05,rec_td,0,,,,,
player,201410190chi,mia,WillDa05,rec_long,7,,,,,
player,201410190chi,mia,WillDa05,fumbles,0,,,,,
player,201410190chi,mia,WillDa05,fumbles_lost,0,,,,,
player,201410190chi,chi,CutlJa00,pass_cmp,21,,,,,
player,201410190chi,chi,CutlJa00,pass_att,34,,,,,
player,201410190chi,chi,CutlJa00,pass_yds,190,,,,,
player,201410190chi,chi,CutlJa00,pass_td,1,,,,,
player,201410190chi,chi,CutlJa00,pass_int,1,,,,,
player,201410190chi,chi,CutlJa00,pass_sacked,3,,,,,
player,201410190chi,chi,CutlJa00,pass_sacked_yds,18,,,,,
player,201410190chi,chi,CutlJa00,pass_long,24,,,,,
player,201410190chi,chi,CutlJa00,pass_rating,74.4,,,,,
player,201410190chi,chi,CutlJa00,rush_att,2,,,,,
player,201410190chi,chi,CutlJa00,rush_yds,3,,,,,
player,201410190chi,chi,CutlJa00,rush_td,0,,,,,
player,201410190chi,chi,CutlJa00,rush_long,3,,,,,
player,201410190chi,chi,CutlJa00,targets,0,,,,,
player,201410190chi,chi,CutlJa00,rec,0,,,,,
player,201410190chi,chi,CutlJa00,rec_yds,0,,,,,
player,201410190chi,chi,CutlJa00,rec_td,0,,,,,
player,201410190chi,chi,CutlJa00,rec_long,0,,,,,
player,201410190chi,chi,CutlJa00,fumbles,3,,,,,
player,201410190chi,chi,CutlJa00,fumbles_lost,1,,,,,
player,201410190chi,chi,FortMa00,pass_cmp,0,,,,,
player,201410190chi,chi,FortMa00,pass_att,0,,,,,
player,201410190chi,chi,FortMa00,pass_yds,0,,,,,
player,201410190chi,chi,FortMa00,pass_td,0,,,,,
player,201410190chi,chi,FortMa00,pass_int,0,,,,,
player,201410190chi,chi,FortMa00,pass_sacked,0,,,,,
player,201410190chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201410190chi,chi,FortMa00,pass_long,0,,,,,
player,201410190chi,chi,FortMa00,pass_rating,,,,,,
player,201410190chi,chi,FortMa00,rush_att,12,,,,,
player,201410190chi,chi,FortMa00,rush_yds,49,,,,,
player,201410190chi,chi,FortMa00,rush_td,1,,,,,
player,201410190chi,chi,FortMa00,rush_long,16,,,,,
player,201410190chi,chi,FortMa00,targets,7,,,,,
player,201410190chi,chi,FortMa00,rec,6,,,,,
player,201410190chi,chi,FortMa00,rec_yds,60,,,,,
player,201410190chi,chi,FortMa00,rec_td,1,,,,,
player,201410190chi,chi,FortMa00,rec_long,24,,,,,
player,201410190chi,chi,FortMa00,fumbles,0,,,,,
player,201410190chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201410190chi,chi,BennMa00,pass_cmp,0,,,,,
player,201410190chi,chi,BennMa00,pass_att,0,,,,,
player,201410190chi,chi,BennMa00,pass_yds,0,,,,,
player,201410190chi,chi,BennMa00,pass_td,0,,,,,
player,201410190chi,chi,BennMa00,pass_int,0,,,,,
player,201410190chi,chi,BennMa00,pass_sacked,0,,,,,
player,201410190chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201410190chi,chi,BennMa00,pass_long,0,,,,,
player,201410190chi,chi,BennMa00,pass_rating,,,,,,
player,201410190chi,chi,BennMa00,rush_att,0,,,,,
player,201410190chi,chi,BennMa00,rush_yds,0,,,,,
player,201410190chi,chi,BennMa00,rush_td,0,,,,,
player,201410190chi,chi,BennMa00,rush_long,0,,,,,
player,201410190chi,chi,BennMa00,targets,8,,,,,
player,201410190chi,chi,BennMa00,rec,5,,,,,
player,201410190chi,chi,BennMa00,rec_yds,58,,,,,
player,201410190chi,chi,BennMa00,rec_td,0,,,,,
player,201410190chi,chi,BennMa00,rec_long,21,,,,,
player,201410190chi,chi,BennMa00,fumbles,0,,,,,
player,201410190chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201410190chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201410190chi,chi,MarsBr00,pass_att,0,,,,,
player,201410190chi,chi,MarsBr00,pass_yds,0,,,,,
player,201410190chi,chi,MarsBr00,pass_td,0,,,,,
player,201410190chi,chi,MarsBr00,pass_int,0,,,,,
player,201410190chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201410190chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201410190chi,chi,MarsBr00,pass_long,0,,,,,
player,201410190chi,chi,MarsBr00,pass_rating,,,,,,
player,201410190chi,chi,MarsBr00,rush_att,0,,,,,
player,201410190chi,chi,MarsBr00,rush_yds,0,,,,,
player,201410190chi,chi,MarsBr00,rush_td,0,,,,,
player,201410190chi,chi,MarsBr00,rush_long,0,,,,,
player,201410190chi,chi,MarsBr00,targets,10,,,,,
player,201410190chi,chi,MarsBr00,rec,6,,,,,
player,201410190chi,chi,MarsBr00,rec_yds,48,,,,,
player,201410190chi,chi,MarsBr00,rec_td,0,,,,,
player,201410190chi,chi,MarsBr00,rec_long,15,,,,,
player,201410190chi,chi,MarsBr00,fumbles,0,,,,,
player,201410190chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201410190chi,chi,RosaDa00,pass_cmp,0,,,,,
player,201410190chi,chi,RosaDa00,pass_att,0,,,,,
player,201410190chi,chi,RosaDa00,pass_yds,0,,,,,
player,201410190chi,chi,RosaDa00,pass_td,0,,,,,
player,201410190chi,chi,RosaDa00,pass_int,0,,,,,
player,201410190chi,chi,RosaDa00,pass_sacked,0,,,,,
player,201410190chi,chi,RosaDa00,pass_sacked_yds,0,,,,,
player,201410190chi,chi,RosaDa00,pass_long,0,,,,,
player,201410190chi,chi,RosaDa00,pass_rating,,,,,,
player,201410190chi,chi,RosaDa00,rush_att,0,,,,,
player,201410190chi,chi,RosaDa00,rush_yds,0,,,,,
player,201410190chi,chi,RosaDa00,rush_td,0,,,,,
player,201410190chi,chi,RosaDa00,rush_long,0,,,,,
player,201410190chi,chi,RosaDa00,targets,2,,,,,
player,201410190chi,chi,RosaDa00,rec,2,,,,,
player,201410190chi,chi,RosaDa00,rec_yds,15,,,,,
player,201410190chi,chi,RosaDa00,rec_td,0,,,,,
player,201410190chi,chi,RosaDa00,rec_long,10,,,,,
player,201410190chi,chi,RosaDa00,fumbles,1,,,,,
player,201410190chi,chi,RosaDa00,fumbles_lost,1,,,,,
player,201410190chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201410190chi,chi,JeffAl00,pass_att,0,,,,,
player,201410190chi,chi,JeffAl00,pass_yds,0,,,,,
player,201410190chi,chi,JeffAl00,pass_td,0,,,,,
player,201410190chi,chi,JeffAl00,pass_int,0,,,,,
player,201410190chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201410190chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201410190chi,chi,JeffAl00,pass_long,0,,,,,
player,201410190chi,chi,JeffAl00,pass_rating,,,,,,
player,201410190chi,chi,JeffAl00,rush_att,0,,,,,
player,201410190chi,chi,JeffAl00,rush_yds,0,,,,,
player,201410190chi,chi,JeffAl00,rush_td,0,,,,,
player,201410190chi,chi,JeffAl00,rush_long,0,,,,,
player,201410190chi,chi,JeffAl00,targets,7,,,,,
player,201410190chi,chi,JeffAl00,rec,2,,,,,
player,201410190chi,chi,JeffAl00,rec_yds,9,,,,,
player,201410190chi,chi,JeffAl00,rec_td,0,,,,,
player,201410190chi,chi,JeffAl00,rec_long,5,,,,,
player,201410190chi,chi,JeffAl00,fumbles,0,,,,,
player,201410190chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201410190chi,mia,JoneRe99,def_int,1,,,,,
player,201410190chi,mia,JoneRe99,def_int_yds,50,,,,,
player,201410190chi,mia,JoneRe99,def_int_td,0,,,,,
player,201410190chi,mia,JoneRe99,def_int_long,50,,,,,
player,201410190chi,mia,JoneRe99,pass_defended,2,,,,,
player,201410190chi,mia,JoneRe99,sacks,0.0,,,,,
player,201410190chi,mia,JoneRe99,tackles_combined,7,,,,,
player,201410190chi,mia,JoneRe99,tackles_solo,7,,,,,
player,201410190chi,mia,JoneRe99,tackles_assists,0,,,,,
player,201410190chi,mia,JoneRe99,tackles_loss,0,,,,,
player,201410190chi,mia,JoneRe99,qb_hits,0,,,,,
player,201410190chi,mia,JoneRe99,fumbles_rec,0,,,,,
player,201410190chi,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201410190chi,mia,JoneRe99,fumbles_forced,0,,,,,
player,201410190chi,mia,DelmLo99,def_int,0,,,,,
player,201410190chi,mia,DelmLo99,def_int_yds,0,,,,,
player,201410190chi,mia,DelmLo99,def_int_td,0,,,,,
player,201410190chi,mia,DelmLo99,def_int_long,0,,,,,
player,201410190chi,mia,DelmLo99,pass_defended,0,,,,,
player,201410190chi,mia,DelmLo99,sacks,1.0,,,,,
player,201410190chi,mia,DelmLo99,tackles_combined,3,,,,,
player,201410190chi,mia,DelmLo99,tackles_solo,3,,,,,
player,201410190chi,mia,DelmLo99,tackles_assists,0,,,,,
player,201410190chi,mia,DelmLo99,tackles_loss,2,,,,,
player,201410190chi,mia,DelmLo99,qb_hits,1,,,,,
player,201410190chi,mia,DelmLo99,fumbles_rec,0,,,,,
player,201410190chi,mia,DelmLo99,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,DelmLo99,fumbles_rec_td,0,,,,,
player,201410190chi,mia,DelmLo99,fumbles_forced,0,,,,,
player,201410190chi,mia,ShelDe00,def_int,0,,,,,
player,201410190chi,mia,ShelDe00,def_int_yds,0,,,,,
player,201410190chi,mia,ShelDe00,def_int_td,0,,,,,
player,201410190chi,mia,ShelDe00,def_int_long,0,,,,,
player,201410190chi,mia,ShelDe00,pass_defended,0,,,,,
player,201410190chi,mia,ShelDe00,sacks,1.0,,,,,
player,201410190chi,mia,ShelDe00,tackles_combined,1,,,,,
player,201410190chi,mia,ShelDe00,tackles_solo,1,,,,,
player,201410190chi,mia,ShelDe00,tackles_assists,0,,,,,
player,201410190chi,mia,ShelDe00,tackles_loss,1,,,,,
player,201410190chi,mia,ShelDe00,qb_hits,1,,,,,
player,201410190chi,mia,ShelDe00,fumbles_rec,0,,,,,
player,201410190chi,mia,ShelDe00,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,ShelDe00,fumbles_rec_td,0,,,,,
player,201410190chi,mia,ShelDe00,fumbles_forced,0,,,,,
player,201410190chi,mia,WakeCa00,def_int,0,,,,,
player,201410190chi,mia,WakeCa00,def_int_yds,0,,,,,
player,201410190chi,mia,WakeCa00,def_int_td,0,,,,,
player,201410190chi,mia,WakeCa00,def_int_long,0,,,,,
player,201410190chi,mia,WakeCa00,pass_defended,1,,,,,
player,201410190chi,mia,WakeCa00,sacks,1.0,,,,,
player,201410190chi,mia,WakeCa00,tackles_combined,1,,,,,
player,201410190chi,mia,WakeCa00,tackles_solo,1,,,,,
player,201410190chi,mia,WakeCa00,tackles_assists,0,,,,,
player,201410190chi,mia,WakeCa00,tackles_loss,0,,,,,
player,201410190chi,mia,WakeCa00,qb_hits,1,,,,,
player,201410190chi,mia,WakeCa00,fumbles_rec,1,,,,,
player,201410190chi,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201410190chi,mia,WakeCa00,fumbles_forced,1,,,,,
player,201410190chi,mia,MisiKo99,def_int,0,,,,,
player,201410190chi,mia,MisiKo99,def_int_yds,0,,,,,
player,201410190chi,mia,MisiKo99,def_int_td,0,,,,,
player,201410190chi,mia,MisiKo99,def_int_long,0,,,,,
player,201410190chi,mia,MisiKo99,pass_defended,0,,,,,
player,201410190chi,mia,MisiKo99,sacks,0.0,,,,,
player,201410190chi,mia,MisiKo99,tackles_combined,6,,,,,
player,201410190chi,mia,MisiKo99,tackles_solo,6,,,,,
player,201410190chi,mia,MisiKo99,tackles_assists,0,,,,,
player,201410190chi,mia,MisiKo99,tackles_loss,0,,,,,
player,201410190chi,mia,MisiKo99,qb_hits,0,,,,,
player,201410190chi,mia,MisiKo99,fumbles_rec,1,,,,,
player,201410190chi,mia,MisiKo99,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,MisiKo99,fumbles_rec_td,0,,,,,
player,201410190chi,mia,MisiKo99,fumbles_forced,0,,,,,
player,201410190chi,mia,FinnCo20,def_int,0,,,,,
player,201410190chi,mia,FinnCo20,def_int_yds,0,,,,,
player,201410190chi,mia,FinnCo20,def_int_td,0,,,,,
player,201410190chi,mia,FinnCo20,def_int_long,0,,,,,
player,201410190chi,mia,FinnCo20,pass_defended,3,,,,,
player,201410190chi,mia,FinnCo20,sacks,0.0,,,,,
player,201410190chi,mia,FinnCo20,tackles_combined,4,,,,,
player,201410190chi,mia,FinnCo20,tackles_solo,4,,,,,
player,201410190chi,mia,FinnCo20,tackles_assists,0,,,,,
player,201410190chi,mia,FinnCo20,tackles_loss,0,,,,,
player,201410190chi,mia,FinnCo20,qb_hits,0,,,,,
player,201410190chi,mia,FinnCo20,fumbles_rec,0,,,,,
player,201410190chi,mia,FinnCo20,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,FinnCo20,fumbles_rec_td,0,,,,,
player,201410190chi,mia,FinnCo20,fumbles_forced,1,,,,,
player,201410190chi,mia,GrimBr20,def_int,0,,,,,
player,201410190chi,mia,GrimBr20,def_int_yds,0,,,,,
player,201410190chi,mia,GrimBr20,def_int_td,0,,,,,
player,201410190chi,mia,GrimBr20,def_int_long,0,,,,,
player,201410190chi,mia,GrimBr20,pass_defended,0,,,,,
player,201410190chi,mia,GrimBr20,sacks,0.0,,,,,
player,201410190chi,mia,GrimBr20,tackles_combined,4,,,,,
player,201410190chi,mia,GrimBr20,tackles_solo,4,,,,,
player,201410190chi,mia,GrimBr20,tackles_assists,0,,,,,
player,201410190chi,mia,GrimBr20,tackles_loss,0,,,,,
player,201410190chi,mia,GrimBr20,qb_hits,0,,,,,
player,201410190chi,mia,GrimBr20,fumbles_rec,0,,,,,
player,201410190chi,mia,GrimBr20,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,GrimBr20,fumbles_rec_td,0,,,,,
player,201410190chi,mia,GrimBr20,fumbles_forced,0,,,,,
player,201410190chi,mia,JenkJe00,def_int,0,,,,,
player,201410190chi,mia,JenkJe00,def_int_yds,0,,,,,
player,201410190chi,mia,JenkJe00,def_int_td,0,,,,,
player,201410190chi,mia,JenkJe00,def_int_long,0,,,,,
player,201410190chi,mia,JenkJe00,pass_defended,0,,,,,
player,201410190chi,mia,JenkJe00,sacks,0.0,,,,,
player,201410190chi,mia,JenkJe00,tackles_combined,3,,,,,
player,201410190chi,mia,JenkJe00,tackles_solo,3,,,,,
player,201410190chi,mia,JenkJe00,tackles_assists,0,,,,,
player,201410190chi,mia,JenkJe00,tackles_loss,0,,,,,
player,201410190chi,mia,JenkJe00,qb_hits,0,,,,,
player,201410190chi,mia,JenkJe00,fumbles_rec,0,,,,,
player,201410190chi,mia,JenkJe00,fumbles_rec_yds,0,,,,,
player,201410190chi,mia,JenkJe00,fumbles_rec_td,0,,,,,
player,201410190chi,mia,JenkJe00,fumbles_forced,0,,,,,
player,201410190chi,mia,FedeTe00,def_int,0,,,,,
player,201410190chi,mia,FedeTe00,def_int_yds,0,,,,,
player,201410190chi,mia,FedeTe00,def_int_td,0,,,,,
player,201410190chi,mia,FedeTe00,def_int_long,0,,,,,
player,201410190chi,mia,FedeTe00,pass_defended,0,,,,,
player,201410190chi,mia,FedeTe00,sacks,0.0,,,,,
player,201410190chi,mia,FedeTe00,tackles_combined,1,,,,,
player,201410190chi,mia,FedeTe00,tackles_solo,1,,,,,
player,201410190chi,mia,FedeTe00,tackles_assists,0,,,,,
player,201410190chi,mia,FedeTe00,tackles_loss,0,,,,,
