game,2014,17,20141228,201412280sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",20
player,201412280sea,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,KendLa00,pass_long,0,,,,,
player,201412280sea,ram,KendLa00,pass_rating,,,,,,
player,201412280sea,ram,KendLa00,rush_att,0,,,,,
player,201412280sea,ram,KendLa00,rush_yds,0,,,,,
player,201412280sea,ram,KendLa00,rush_td,0,,,,,
player,201412280sea,ram,KendLa00,rush_long,0,,,,,
player,201412280sea,ram,KendLa00,targets,2,,,,,
player,201412280sea,ram,KendLa00,rec,1,,,,,
player,201412280sea,ram,KendLa00,rec_yds,17,,,,,
player,201412280sea,ram,KendLa00,rec_td,0,,,,,
player,201412280sea,ram,KendLa00,rec_long,17,,,,,
player,201412280sea,ram,KendLa00,fumbles,0,,,,,
player,201412280sea,ram,KendLa00,fumbles_lost,0,,,,,
player,201412280sea,ram,HarkCo00,pass_cmp,0,,,,,
player,201412280sea,ram,HarkCo00,pass_att,0,,,,,
player,201412280sea,ram,HarkCo00,pass_yds,0,,,,,
player,201412280sea,ram,HarkCo00,pass_td,0,,,,,
player,201412280sea,ram,HarkCo00,pass_int,0,,,,,
player,201412280sea,ram,HarkCo00,pass_sacked,0,,,,,
player,201412280sea,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,HarkCo00,pass_long,0,,,,,
player,201412280sea,ram,HarkCo00,pass_rating,,,,,,
player,201412280sea,ram,HarkCo00,rush_att,0,,,,,
player,201412280sea,ram,HarkCo00,rush_yds,0,,,,,
player,201412280sea,ram,HarkCo00,rush_td,0,,,,,
player,201412280sea,ram,HarkCo00,rush_long,0,,,,,
player,201412280sea,ram,HarkCo00,targets,2,,,,,
player,201412280sea,ram,HarkCo00,rec,0,,,,,
player,201412280sea,ram,HarkCo00,rec_yds,0,,,,,
player,201412280sea,ram,HarkCo00,rec_td,0,,,,,
player,201412280sea,ram,HarkCo00,rec_long,0,,,,,
player,201412280sea,ram,HarkCo00,fumbles,0,,,,,
player,201412280sea,ram,HarkCo00,fumbles_lost,0,,,,,
player,201412280sea,sea,WilsRu00,pass_cmp,17,,,,,
player,201412280sea,sea,WilsRu00,pass_att,25,,,,,
player,201412280sea,sea,WilsRu00,pass_yds,239,,,,,
player,201412280sea,sea,WilsRu00,pass_td,0,,,,,
player,201412280sea,sea,WilsRu00,pass_int,1,,,,,
player,201412280sea,sea,WilsRu00,pass_sacked,3,,,,,
player,201412280sea,sea,WilsRu00,pass_sacked_yds,17,,,,,
player,201412280sea,sea,WilsRu00,pass_long,38,,,,,
player,201412280sea,sea,WilsRu00,pass_rating,81.9,,,,,
player,201412280sea,sea,WilsRu00,rush_att,6,,,,,
player,201412280sea,sea,WilsRu00,rush_yds,7,,,,,
player,201412280sea,sea,WilsRu00,rush_td,0,,,,,
player,201412280sea,sea,WilsRu00,rush_long,6,,,,,
player,201412280sea,sea,WilsRu00,targets,0,,,,,
player,201412280sea,sea,WilsRu00,rec,0,,,,,
player,201412280sea,sea,WilsRu00,rec_yds,0,,,,,
player,201412280sea,sea,WilsRu00,rec_td,0,,,,,
player,201412280sea,sea,WilsRu00,rec_long,0,,,,,
player,201412280sea,sea,WilsRu00,fumbles,2,,,,,
player,201412280sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201412280sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201412280sea,sea,LyncMa00,pass_att,0,,,,,
player,201412280sea,sea,LyncMa00,pass_yds,0,,,,,
player,201412280sea,sea,LyncMa00,pass_td,0,,,,,
player,201412280sea,sea,LyncMa00,pass_int,0,,,,,
player,201412280sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201412280sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,LyncMa00,pass_long,0,,,,,
player,201412280sea,sea,LyncMa00,pass_rating,,,,,,
player,201412280sea,sea,LyncMa00,rush_att,14,,,,,
player,201412280sea,sea,LyncMa00,rush_yds,60,,,,,
player,201412280sea,sea,LyncMa00,rush_td,1,,,,,
