game,2014,12,20141123,201411230sfo,was,"Washington Redskins",13,sfo,"San Francisco 49ers",17
player,201411230sfo,was,YounDa01,pass_yds,0,,,,,
player,201411230sfo,was,YounDa01,pass_td,0,,,,,
player,201411230sfo,was,YounDa01,pass_int,0,,,,,
player,201411230sfo,was,YounDa01,pass_sacked,0,,,,,
player,201411230sfo,was,YounDa01,pass_sacked_yds,0,,,,,
player,201411230sfo,was,YounDa01,pass_long,0,,,,,
player,201411230sfo,was,YounDa01,pass_rating,,,,,,
player,201411230sfo,was,YounDa01,rush_att,2,,,,,
player,201411230sfo,was,YounDa01,rush_yds,0,,,,,
player,201411230sfo,was,YounDa01,rush_td,0,,,,,
player,201411230sfo,was,YounDa01,rush_long,0,,,,,
player,201411230sfo,was,YounDa01,targets,1,,,,,
player,201411230sfo,was,YounDa01,rec,0,,,,,
player,201411230sfo,was,YounDa01,rec_yds,0,,,,,
player,201411230sfo,was,YounDa01,rec_td,0,,,,,
player,201411230sfo,was,YounDa01,rec_long,0,,,,,
player,201411230sfo,was,YounDa01,fumbles,0,,,,,
player,201411230sfo,was,YounDa01,fumbles_lost,0,,,,,
player,201411230sfo,sfo,KaepCo00,pass_cmp,20,,,,,
player,201411230sfo,sfo,KaepCo00,pass_att,29,,,,,
player,201411230sfo,sfo,KaepCo00,pass_yds,256,,,,,
player,201411230sfo,sfo,KaepCo00,pass_td,1,,,,,
player,201411230sfo,sfo,KaepCo00,pass_int,1,,,,,
player,201411230sfo,sfo,KaepCo00,pass_sacked,2,,,,,
player,201411230sfo,sfo,KaepCo00,pass_sacked_yds,10,,,,,
player,201411230sfo,sfo,KaepCo00,pass_long,30,,,,,
player,201411230sfo,sfo,KaepCo00,pass_rating,93.5,,,,,
player,201411230sfo,sfo,KaepCo00,rush_att,9,,,,,
player,201411230sfo,sfo,KaepCo00,rush_yds,14,,,,,
player,201411230sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201411230sfo,sfo,KaepCo00,rush_long,7,,,,,
player,201411230sfo,sfo,KaepCo00,targets,0,,,,,
player,201411230sfo,sfo,KaepCo00,rec,0,,,,,
player,201411230sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201411230sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201411230sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201411230sfo,sfo,KaepCo00,fumbles,1,,,,,
player,201411230sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201411230sfo,sfo,GoreFr00,pass_cmp,0,,,,,
