game,2014,14,20141207,201412070crd,kan,"Kansas City Chiefs",14,crd,"Arizona Cardinals",17
player,201412070crd,kan,AvanJa00,pass_long,0,,,,,
player,201412070crd,kan,AvanJa00,pass_rating,,,,,,
player,201412070crd,kan,AvanJa00,rush_att,0,,,,,
player,201412070crd,kan,AvanJa00,rush_yds,0,,,,,
player,201412070crd,kan,AvanJa00,rush_td,0,,,,,
player,201412070crd,kan,AvanJa00,rush_long,0,,,,,
player,201412070crd,kan,AvanJa00,targets,7,,,,,
player,201412070crd,kan,AvanJa00,rec,5,,,,,
player,201412070crd,kan,AvanJa00,rec_yds,64,,,,,
player,201412070crd,kan,AvanJa00,rec_td,0,,,,,
player,201412070crd,kan,AvanJa00,rec_long,41,,,,,
player,201412070crd,kan,AvanJa00,fumbles,0,,,,,
player,201412070crd,kan,AvanJa00,fumbles_lost,0,,,,,
player,201412070crd,kan,WilsAl02,pass_cmp,0,,,,,
player,201412070crd,kan,WilsAl02,pass_att,0,,,,,
player,201412070crd,kan,WilsAl02,pass_yds,0,,,,,
player,201412070crd,kan,WilsAl02,pass_td,0,,,,,
player,201412070crd,kan,WilsAl02,pass_int,0,,,,,
player,201412070crd,kan,WilsAl02,pass_sacked,0,,,,,
player,201412070crd,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201412070crd,kan,WilsAl02,pass_long,0,,,,,
player,201412070crd,kan,WilsAl02,pass_rating,,,,,,
player,201412070crd,kan,WilsAl02,rush_att,0,,,,,
player,201412070crd,kan,WilsAl02,rush_yds,0,,,,,
player,201412070crd,kan,WilsAl02,rush_td,0,,,,,
player,201412070crd,kan,WilsAl02,rush_long,0,,,,,
player,201412070crd,kan,WilsAl02,targets,8,,,,,
player,201412070crd,kan,WilsAl02,rec,4,,,,,
player,201412070crd,kan,WilsAl02,rec_yds,53,,,,,
player,201412070crd,kan,WilsAl02,rec_td,0,,,,,
player,201412070crd,kan,WilsAl02,rec_long,22,,,,,
player,201412070crd,kan,WilsAl02,fumbles,0,,,,,
player,201412070crd,kan,WilsAl02,fumbles_lost,0,,,,,
player,201412070crd,kan,BoweDw00,pass_cmp,0,,,,,
player,201412070crd,kan,BoweDw00,pass_att,0,,,,,
player,201412070crd,kan,BoweDw00,pass_yds,0,,,,,
player,201412070crd,kan,BoweDw00,pass_td,0,,,,,
player,201412070crd,kan,BoweDw00,pass_int,0,,,,,
player,201412070crd,kan,BoweDw00,pass_sacked,0,,,,,
player,201412070crd,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,BoweDw00,pass_long,0,,,,,
player,201412070crd,kan,BoweDw00,pass_rating,,,,,,
player,201412070crd,kan,BoweDw00,rush_att,0,,,,,
player,201412070crd,kan,BoweDw00,rush_yds,0,,,,,
player,201412070crd,kan,BoweDw00,rush_td,0,,,,,
player,201412070crd,kan,BoweDw00,rush_long,0,,,,,
player,201412070crd,kan,BoweDw00,targets,3,,,,,
player,201412070crd,kan,BoweDw00,rec,2,,,,,
player,201412070crd,kan,BoweDw00,rec_yds,29,,,,,
player,201412070crd,kan,BoweDw00,rec_td,0,,,,,
player,201412070crd,kan,BoweDw00,rec_long,22,,,,,
player,201412070crd,kan,BoweDw00,fumbles,0,,,,,
player,201412070crd,kan,BoweDw00,fumbles_lost,0,,,,,
player,201412070crd,kan,SherAn00,pass_cmp,0,,,,,
player,201412070crd,kan,SherAn00,pass_att,0,,,,,
player,201412070crd,kan,SherAn00,pass_yds,0,,,,,
player,201412070crd,kan,SherAn00,pass_td,0,,,,,
player,201412070crd,kan,SherAn00,pass_int,0,,,,,
player,201412070crd,kan,SherAn00,pass_sacked,0,,,,,
player,201412070crd,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,SherAn00,pass_long,0,,,,,
player,201412070crd,kan,SherAn00,pass_rating,,,,,,
player,201412070crd,kan,SherAn00,rush_att,0,,,,,
player,201412070crd,kan,SherAn00,rush_yds,0,,,,,
player,201412070crd,kan,SherAn00,rush_td,0,,,,,
player,201412070crd,kan,SherAn00,rush_long,0,,,,,
player,201412070crd,kan,SherAn00,targets,2,,,,,
player,201412070crd,kan,SherAn00,rec,2,,,,,
player,201412070crd,kan,SherAn00,rec_yds,8,,,,,
player,201412070crd,kan,SherAn00,rec_td,0,,,,,
player,201412070crd,kan,SherAn00,rec_long,5,,,,,
player,201412070crd,kan,SherAn00,fumbles,0,,,,,
player,201412070crd,kan,SherAn00,fumbles_lost,0,,,,,
player,201412070crd,kan,FasaAn00,pass_cmp,0,,,,,
player,201412070crd,kan,FasaAn00,pass_att,0,,,,,
player,201412070crd,kan,FasaAn00,pass_yds,0,,,,,
player,201412070crd,kan,FasaAn00,pass_td,0,,,,,
player,201412070crd,kan,FasaAn00,pass_int,0,,,,,
player,201412070crd,kan,FasaAn00,pass_sacked,0,,,,,
player,201412070crd,kan,FasaAn00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,FasaAn00,pass_long,0,,,,,
player,201412070crd,kan,FasaAn00,pass_rating,,,,,,
player,201412070crd,kan,FasaAn00,rush_att,0,,,,,
player,201412070crd,kan,FasaAn00,rush_yds,0,,,,,
player,201412070crd,kan,FasaAn00,rush_td,0,,,,,
player,201412070crd,kan,FasaAn00,rush_long,0,,,,,
player,201412070crd,kan,FasaAn00,targets,1,,,,,
player,201412070crd,kan,FasaAn00,rec,0,,,,,
player,201412070crd,kan,FasaAn00,rec_yds,0,,,,,
player,201412070crd,kan,FasaAn00,rec_td,0,,,,,
player,201412070crd,kan,FasaAn00,rec_long,0,,,,,
player,201412070crd,kan,FasaAn00,fumbles,0,,,,,
player,201412070crd,kan,FasaAn00,fumbles_lost,0,,,,,
player,201412070crd,crd,StanDr00,pass_cmp,15,,,,,
player,201412070crd,crd,StanDr00,pass_att,30,,,,,
player,201412070crd,crd,StanDr00,pass_yds,239,,,,,
player,201412070crd,crd,StanDr00,pass_td,1,,,,,
player,201412070crd,crd,StanDr00,pass_int,0,,,,,
player,201412070crd,crd,StanDr00,pass_sacked,2,,,,,
player,201412070crd,crd,StanDr00,pass_sacked_yds,14,,,,,
player,201412070crd,crd,StanDr00,pass_long,45,,,,,
player,201412070crd,crd,StanDr00,pass_rating,88.1,,,,,
player,201412070crd,crd,StanDr00,rush_att,4,,,,,
player,201412070crd,crd,StanDr00,rush_yds,17,,,,,
player,201412070crd,crd,StanDr00,rush_td,0,,,,,
player,201412070crd,crd,StanDr00,rush_long,10,,,,,
player,201412070crd,crd,StanDr00,targets,0,,,,,
player,201412070crd,crd,StanDr00,rec,0,,,,,
player,201412070crd,crd,StanDr00,rec_yds,0,,,,,
player,201412070crd,crd,StanDr00,rec_td,0,,,,,
player,201412070crd,crd,StanDr00,rec_long,0,,,,,
player,201412070crd,crd,StanDr00,fumbles,1,,,,,
player,201412070crd,crd,StanDr00,fumbles_lost,0,,,,,
player,201412070crd,crd,WillKe05,pass_cmp,0,,,,,
player,201412070crd,crd,WillKe05,pass_att,0,,,,,
player,201412070crd,crd,WillKe05,pass_yds,0,,,,,
player,201412070crd,crd,WillKe05,pass_td,0,,,,,
player,201412070crd,crd,WillKe05,pass_int,0,,,,,
player,201412070crd,crd,WillKe05,pass_sacked,0,,,,,
player,201412070crd,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201412070crd,crd,WillKe05,pass_long,0,,,,,
player,201412070crd,crd,WillKe05,pass_rating,,,,,,
player,201412070crd,crd,WillKe05,rush_att,19,,,,,
player,201412070crd,crd,WillKe05,rush_yds,100,,,,,
player,201412070crd,crd,WillKe05,rush_td,0,,,,,
player,201412070crd,crd,WillKe05,rush_long,16,,,,,
player,201412070crd,crd,WillKe05,targets,0,,,,,
player,201412070crd,crd,WillKe05,rec,0,,,,,
player,201412070crd,crd,WillKe05,rec_yds,0,,,,,
player,201412070crd,crd,WillKe05,rec_td,0,,,,,
player,201412070crd,crd,WillKe05,rec_long,0,,,,,
player,201412070crd,crd,WillKe05,fumbles,0,,,,,
player,201412070crd,crd,WillKe05,fumbles_lost,0,,,,,
player,201412070crd,crd,TaylSt00,pass_cmp,0,,,,,
player,201412070crd,crd,TaylSt00,pass_att,0,,,,,
player,201412070crd,crd,TaylSt00,pass_yds,0,,,,,
player,201412070crd,crd,TaylSt00,pass_td,0,,,,,
player,201412070crd,crd,TaylSt00,pass_int,0,,,,,
player,201412070crd,crd,TaylSt00,pass_sacked,0,,,,,
player,201412070crd,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,TaylSt00,pass_long,0,,,,,
player,201412070crd,crd,TaylSt00,pass_rating,,,,,,
player,201412070crd,crd,TaylSt00,rush_att,6,,,,,
player,201412070crd,crd,TaylSt00,rush_yds,19,,,,,
player,201412070crd,crd,TaylSt00,rush_td,0,,,,,
player,201412070crd,crd,TaylSt00,rush_long,12,,,,,
player,201412070crd,crd,TaylSt00,targets,1,,,,,
player,201412070crd,crd,TaylSt00,rec,1,,,,,
player,201412070crd,crd,TaylSt00,rec_yds,7,,,,,
player,201412070crd,crd,TaylSt00,rec_td,0,,,,,
player,201412070crd,crd,TaylSt00,rec_long,7,,,,,
player,201412070crd,crd,TaylSt00,fumbles,0,,,,,
player,201412070crd,crd,TaylSt00,fumbles_lost,0,,,,,
player,201412070crd,crd,GricMa00,pass_cmp,0,,,,,
player,201412070crd,crd,GricMa00,pass_att,0,,,,,
player,201412070crd,crd,GricMa00,pass_yds,0,,,,,
player,201412070crd,crd,GricMa00,pass_td,0,,,,,
player,201412070crd,crd,GricMa00,pass_int,0,,,,,
player,201412070crd,crd,GricMa00,pass_sacked,0,,,,,
player,201412070crd,crd,GricMa00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,GricMa00,pass_long,0,,,,,
player,201412070crd,crd,GricMa00,pass_rating,,,,,,
player,201412070crd,crd,GricMa00,rush_att,3,,,,,
player,201412070crd,crd,GricMa00,rush_yds,6,,,,,
player,201412070crd,crd,GricMa00,rush_td,0,,,,,
player,201412070crd,crd,GricMa00,rush_long,8,,,,,
player,201412070crd,crd,GricMa00,targets,0,,,,,
player,201412070crd,crd,GricMa00,rec,0,,,,,
player,201412070crd,crd,GricMa00,rec_yds,0,,,,,
player,201412070crd,crd,GricMa00,rec_td,0,,,,,
player,201412070crd,crd,GricMa00,rec_long,0,,,,,
player,201412070crd,crd,GricMa00,fumbles,0,,,,,
player,201412070crd,crd,GricMa00,fumbles_lost,0,,,,,
player,201412070crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201412070crd,crd,FloyMi00,pass_att,0,,,,,
player,201412070crd,crd,FloyMi00,pass_yds,0,,,,,
player,201412070crd,crd,FloyMi00,pass_td,0,,,,,
player,201412070crd,crd,FloyMi00,pass_int,0,,,,,
player,201412070crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201412070crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,FloyMi00,pass_long,0,,,,,
player,201412070crd,crd,FloyMi00,pass_rating,,,,,,
player,201412070crd,crd,FloyMi00,rush_att,0,,,,,
player,201412070crd,crd,FloyMi00,rush_yds,0,,,,,
player,201412070crd,crd,FloyMi00,rush_td,0,,,,,
player,201412070crd,crd,FloyMi00,rush_long,0,,,,,
player,201412070crd,crd,FloyMi00,targets,7,,,,,
player,201412070crd,crd,FloyMi00,rec,4,,,,,
player,201412070crd,crd,FloyMi00,rec_yds,85,,,,,
player,201412070crd,crd,FloyMi00,rec_td,0,,,,,
player,201412070crd,crd,FloyMi00,rec_long,45,,,,,
player,201412070crd,crd,FloyMi00,fumbles,0,,,,,
player,201412070crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201412070crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201412070crd,crd,BrowJa03,pass_att,0,,,,,
player,201412070crd,crd,BrowJa03,pass_yds,0,,,,,
player,201412070crd,crd,BrowJa03,pass_td,0,,,,,
player,201412070crd,crd,BrowJa03,pass_int,0,,,,,
player,201412070crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201412070crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201412070crd,crd,BrowJa03,pass_long,0,,,,,
player,201412070crd,crd,BrowJa03,pass_rating,,,,,,
player,201412070crd,crd,BrowJa03,rush_att,0,,,,,
player,201412070crd,crd,BrowJa03,rush_yds,0,,,,,
player,201412070crd,crd,BrowJa03,rush_td,0,,,,,
player,201412070crd,crd,BrowJa03,rush_long,0,,,,,
player,201412070crd,crd,BrowJa03,targets,3,,,,,
player,201412070crd,crd,BrowJa03,rec,2,,,,,
player,201412070crd,crd,BrowJa03,rec_yds,48,,,,,
player,201412070crd,crd,BrowJa03,rec_td,1,,,,,
player,201412070crd,crd,BrowJa03,rec_long,26,,,,,
player,201412070crd,crd,BrowJa03,fumbles,0,,,,,
player,201412070crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201412070crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201412070crd,crd,FitzLa00,pass_att,0,,,,,
player,201412070crd,crd,FitzLa00,pass_yds,0,,,,,
player,201412070crd,crd,FitzLa00,pass_td,0,,,,,
player,201412070crd,crd,FitzLa00,pass_int,0,,,,,
player,201412070crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201412070crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,FitzLa00,pass_long,0,,,,,
player,201412070crd,crd,FitzLa00,pass_rating,,,,,,
player,201412070crd,crd,FitzLa00,rush_att,0,,,,,
player,201412070crd,crd,FitzLa00,rush_yds,0,,,,,
player,201412070crd,crd,FitzLa00,rush_td,0,,,,,
player,201412070crd,crd,FitzLa00,rush_long,0,,,,,
player,201412070crd,crd,FitzLa00,targets,9,,,,,
player,201412070crd,crd,FitzLa00,rec,4,,,,,
player,201412070crd,crd,FitzLa00,rec_yds,34,,,,,
player,201412070crd,crd,FitzLa00,rec_td,0,,,,,
player,201412070crd,crd,FitzLa00,rec_long,13,,,,,
player,201412070crd,crd,FitzLa00,fumbles,0,,,,,
player,201412070crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201412070crd,crd,HousRo01,pass_cmp,0,,,,,
player,201412070crd,crd,HousRo01,pass_att,0,,,,,
player,201412070crd,crd,HousRo01,pass_yds,0,,,,,
player,201412070crd,crd,HousRo01,pass_td,0,,,,,
player,201412070crd,crd,HousRo01,pass_int,0,,,,,
player,201412070crd,crd,HousRo01,pass_sacked,0,,,,,
player,201412070crd,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201412070crd,crd,HousRo01,pass_long,0,,,,,
player,201412070crd,crd,HousRo01,pass_rating,,,,,,
player,201412070crd,crd,HousRo01,rush_att,0,,,,,
player,201412070crd,crd,HousRo01,rush_yds,0,,,,,
player,201412070crd,crd,HousRo01,rush_td,0,,,,,
player,201412070crd,crd,HousRo01,rush_long,0,,,,,
player,201412070crd,crd,HousRo01,targets,1,,,,,
player,201412070crd,crd,HousRo01,rec,1,,,,,
player,201412070crd,crd,HousRo01,rec_yds,20,,,,,
player,201412070crd,crd,HousRo01,rec_td,0,,,,,
player,201412070crd,crd,HousRo01,rec_long,20,,,,,
player,201412070crd,crd,HousRo01,fumbles,0,,,,,
player,201412070crd,crd,HousRo01,fumbles_lost,0,,,,,
player,201412070crd,crd,GinnTe00,pass_cmp,0,,,,,
player,201412070crd,crd,GinnTe00,pass_att,0,,,,,
player,201412070crd,crd,GinnTe00,pass_yds,0,,,,,
player,201412070crd,crd,GinnTe00,pass_td,0,,,,,
player,201412070crd,crd,GinnTe00,pass_int,0,,,,,
player,201412070crd,crd,GinnTe00,pass_sacked,0,,,,,
player,201412070crd,crd,GinnTe00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,GinnTe00,pass_long,0,,,,,
player,201412070crd,crd,GinnTe00,pass_rating,,,,,,
player,201412070crd,crd,GinnTe00,rush_att,0,,,,,
player,201412070crd,crd,GinnTe00,rush_yds,0,,,,,
player,201412070crd,crd,GinnTe00,rush_td,0,,,,,
player,201412070crd,crd,GinnTe00,rush_long,0,,,,,
player,201412070crd,crd,GinnTe00,targets,1,,,,,
player,201412070crd,crd,GinnTe00,rec,1,,,,,
player,201412070crd,crd,GinnTe00,rec_yds,8,,,,,
player,201412070crd,crd,GinnTe00,rec_td,0,,,,,
player,201412070crd,crd,GinnTe00,rec_long,8,,,,,
player,201412070crd,crd,GinnTe00,fumbles,0,,,,,
player,201412070crd,crd,GinnTe00,fumbles_lost,0,,,,,
player,201412070crd,crd,CarlJo00,pass_cmp,0,,,,,
player,201412070crd,crd,CarlJo00,pass_att,0,,,,,
player,201412070crd,crd,CarlJo00,pass_yds,0,,,,,
player,201412070crd,crd,CarlJo00,pass_td,0,,,,,
player,201412070crd,crd,CarlJo00,pass_int,0,,,,,
player,201412070crd,crd,CarlJo00,pass_sacked,0,,,,,
player,201412070crd,crd,CarlJo00,pass_sacked_yds,0,,,,,
player,201412070crd,crd,CarlJo00,pass_long,0,,,,,
player,201412070crd,crd,CarlJo00,pass_rating,,,,,,
player,201412070crd,crd,CarlJo00,rush_att,0,,,,,
player,201412070crd,crd,CarlJo00,rush_yds,0,,,,,
player,201412070crd,crd,CarlJo00,rush_td,0,,,,,
player,201412070crd,crd,CarlJo00,rush_long,0,,,,,
player,201412070crd,crd,CarlJo00,targets,1,,,,,
player,201412070crd,crd,CarlJo00,rec,1,,,,,
player,201412070crd,crd,CarlJo00,rec_yds,1,,,,,
player,201412070crd,crd,CarlJo00,rec_td,0,,,,,
player,201412070crd,crd,CarlJo00,rec_long,1,,,,,
player,201412070crd,crd,CarlJo00,fumbles,0,,,,,
player,201412070crd,crd,CarlJo00,fumbles_lost,0,,,,,
player,201412070crd,crd,FellDa01,pass_cmp,0,,,,,
player,201412070crd,crd,FellDa01,pass_att,0,,,,,
player,201412070crd,crd,FellDa01,pass_yds,0,,,,,
player,201412070crd,crd,FellDa01,pass_td,0,,,,,
player,201412070crd,crd,FellDa01,pass_int,0,,,,,
player,201412070crd,crd,FellDa01,pass_sacked,0,,,,,
player,201412070crd,crd,FellDa01,pass_sacked_yds,0,,,,,
player,201412070crd,crd,FellDa01,pass_long,0,,,,,
player,201412070crd,crd,FellDa01,pass_rating,,,,,,
player,201412070crd,crd,FellDa01,rush_att,0,,,,,
player,201412070crd,crd,FellDa01,rush_yds,0,,,,,
player,201412070crd,crd,FellDa01,rush_td,0,,,,,
player,201412070crd,crd,FellDa01,rush_long,0,,,,,
player,201412070crd,crd,FellDa01,targets,1,,,,,
player,201412070crd,crd,FellDa01,rec,0,,,,,
player,201412070crd,crd,FellDa01,rec_yds,0,,,,,
player,201412070crd,crd,FellDa01,rec_td,0,,,,,
player,201412070crd,crd,FellDa01,rec_long,0,,,,,
player,201412070crd,crd,FellDa01,fumbles,0,,,,,
player,201412070crd,crd,FellDa01,fumbles_lost,0,,,,,
player,201412070crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201412070crd,crd,BrowJo02,pass_att,0,,,,,
player,201412070crd,crd,BrowJo02,pass_yds,0,,,,,
player,201412070crd,crd,BrowJo02,pass_td,0,,,,,
player,201412070crd,crd,BrowJo02,pass_int,0,,,,,
player,201412070crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201412070crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201412070crd,crd,BrowJo02,pass_long,0,,,,,
player,201412070crd,crd,BrowJo02,pass_rating,,,,,,
player,201412070crd,crd,BrowJo02,rush_att,0,,,,,
player,201412070crd,crd,BrowJo02,rush_yds,0,,,,,
player,201412070crd,crd,BrowJo02,rush_td,0,,,,,
player,201412070crd,crd,BrowJo02,rush_long,0,,,,,
player,201412070crd,crd,BrowJo02,targets,4,,,,,
player,201412070crd,crd,BrowJo02,rec,0,,,,,
