game,2014,11,20141116,201411160cle,htx,"Houston Texans",23,cle,"Cleveland Browns",7
player,201411160cle,htx,MallRy00,pass_rating,95.3,,,,,
player,201411160cle,htx,MallRy00,rush_att,4,,,,,
player,201411160cle,htx,MallRy00,rush_yds,-3,,,,,
player,201411160cle,htx,MallRy00,rush_td,0,,,,,
player,201411160cle,htx,MallRy00,rush_long,2,,,,,
player,201411160cle,htx,MallRy00,targets,0,,,,,
player,201411160cle,htx,MallRy00,rec,0,,,,,
player,201411160cle,htx,MallRy00,rec_yds,0,,,,,
player,201411160cle,htx,MallRy00,rec_td,0,,,,,
player,201411160cle,htx,MallRy00,rec_long,0,,,,,
player,201411160cle,htx,MallRy00,fumbles,0,,,,,
player,201411160cle,htx,MallRy00,fumbles_lost,0,,,,,
player,201411160cle,htx,BlueAl00,pass_cmp,0,,,,,
player,201411160cle,htx,BlueAl00,pass_att,0,,,,,
player,201411160cle,htx,BlueAl00,pass_yds,0,,,,,
player,201411160cle,htx,BlueAl00,pass_td,0,,,,,
player,201411160cle,htx,BlueAl00,pass_int,0,,,,,
player,201411160cle,htx,BlueAl00,pass_sacked,0,,,,,
player,201411160cle,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201411160cle,htx,BlueAl00,pass_long,0,,,,,
player,201411160cle,htx,BlueAl00,pass_rating,,,,,,
player,201411160cle,htx,BlueAl00,rush_att,36,,,,,
player,201411160cle,htx,BlueAl00,rush_yds,156,,,,,
player,201411160cle,htx,BlueAl00,rush_td,0,,,,,
player,201411160cle,htx,BlueAl00,rush_long,21,,,,,
player,201411160cle,htx,BlueAl00,targets,0,,,,,
player,201411160cle,htx,BlueAl00,rec,0,,,,,
player,201411160cle,htx,BlueAl00,rec_yds,0,,,,,
player,201411160cle,htx,BlueAl00,rec_td,0,,,,,
player,201411160cle,htx,BlueAl00,rec_long,0,,,,,
player,201411160cle,htx,BlueAl00,fumbles,0,,,,,
player,201411160cle,htx,BlueAl00,fumbles_lost,0,,,,,
player,201411160cle,htx,GrimJo01,pass_cmp,0,,,,,
player,201411160cle,htx,GrimJo01,pass_att,0,,,,,
player,201411160cle,htx,GrimJo01,pass_yds,0,,,,,
player,201411160cle,htx,GrimJo01,pass_td,0,,,,,
player,201411160cle,htx,GrimJo01,pass_int,0,,,,,
player,201411160cle,htx,GrimJo01,pass_sacked,0,,,,,
player,201411160cle,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201411160cle,htx,GrimJo01,pass_long,0,,,,,
player,201411160cle,htx,GrimJo01,pass_rating,,,,,,
player,201411160cle,htx,GrimJo01,rush_att,13,,,,,
player,201411160cle,htx,GrimJo01,rush_yds,54,,,,,
player,201411160cle,htx,GrimJo01,rush_td,0,,,,,
player,201411160cle,htx,GrimJo01,rush_long,11,,,,,
player,201411160cle,htx,GrimJo01,targets,0,,,,,
player,201411160cle,htx,GrimJo01,rec,0,,,,,
player,201411160cle,htx,GrimJo01,rec_yds,0,,,,,
player,201411160cle,htx,GrimJo01,rec_td,0,,,,,
player,201411160cle,htx,GrimJo01,rec_long,0,,,,,
player,201411160cle,htx,GrimJo01,fumbles,0,,,,,
player,201411160cle,htx,GrimJo01,fumbles_lost,0,,,,,
player,201411160cle,htx,JohnDa04,pass_cmp,0,,,,,
player,201411160cle,htx,JohnDa04,pass_att,0,,,,,
player,201411160cle,htx,JohnDa04,pass_yds,0,,,,,
player,201411160cle,htx,JohnDa04,pass_td,0,,,,,
player,201411160cle,htx,JohnDa04,pass_int,0,,,,,
player,201411160cle,htx,JohnDa04,pass_sacked,0,,,,,
player,201411160cle,htx,JohnDa04,pass_sacked_yds,0,,,,,
player,201411160cle,htx,JohnDa04,pass_long,0,,,,,
player,201411160cle,htx,JohnDa04,pass_rating,,,,,,
player,201411160cle,htx,JohnDa04,rush_att,1,,,,,
player,201411160cle,htx,JohnDa04,rush_yds,6,,,,,
player,201411160cle,htx,JohnDa04,rush_td,0,,,,,
player,201411160cle,htx,JohnDa04,rush_long,6,,,,,
player,201411160cle,htx,JohnDa04,targets,8,,,,,
player,201411160cle,htx,JohnDa04,rec,5,,,,,
player,201411160cle,htx,JohnDa04,rec_yds,21,,,,,
player,201411160cle,htx,JohnDa04,rec_td,0,,,,,
player,201411160cle,htx,JohnDa04,rec_long,8,,,,,
player,201411160cle,htx,JohnDa04,fumbles,0,,,,,
player,201411160cle,htx,JohnDa04,fumbles_lost,0,,,,,
player,201411160cle,htx,HopkDe00,pass_cmp,0,,,,,
player,201411160cle,htx,HopkDe00,pass_att,0,,,,,
player,201411160cle,htx,HopkDe00,pass_yds,0,,,,,
player,201411160cle,htx,HopkDe00,pass_td,0,,,,,
player,201411160cle,htx,HopkDe00,pass_int,0,,,,,
player,201411160cle,htx,HopkDe00,pass_sacked,0,,,,,
player,201411160cle,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201411160cle,htx,HopkDe00,pass_long,0,,,,,
player,201411160cle,htx,HopkDe00,pass_rating,,,,,,
player,201411160cle,htx,HopkDe00,rush_att,0,,,,,
player,201411160cle,htx,HopkDe00,rush_yds,0,,,,,
player,201411160cle,htx,HopkDe00,rush_td,0,,,,,
player,201411160cle,htx,HopkDe00,rush_long,0,,,,,
player,201411160cle,htx,HopkDe00,targets,8,,,,,
player,201411160cle,htx,HopkDe00,rec,4,,,,,
player,201411160cle,htx,HopkDe00,rec_yds,80,,,,,
player,201411160cle,htx,HopkDe00,rec_td,0,,,,,
player,201411160cle,htx,HopkDe00,rec_long,41,,,,,
player,201411160cle,htx,HopkDe00,fumbles,0,,,,,
player,201411160cle,htx,HopkDe00,fumbles_lost,0,,,,,
player,201411160cle,htx,JohnAn02,pass_cmp,0,,,,,
player,201411160cle,htx,JohnAn02,pass_att,0,,,,,
player,201411160cle,htx,JohnAn02,pass_yds,0,,,,,
player,201411160cle,htx,JohnAn02,pass_td,0,,,,,
player,201411160cle,htx,JohnAn02,pass_int,0,,,,,
player,201411160cle,htx,JohnAn02,pass_sacked,0,,,,,
player,201411160cle,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201411160cle,htx,JohnAn02,pass_long,0,,,,,
player,201411160cle,htx,JohnAn02,pass_rating,,,,,,
player,201411160cle,htx,JohnAn02,rush_att,0,,,,,
player,201411160cle,htx,JohnAn02,rush_yds,0,,,,,
player,201411160cle,htx,JohnAn02,rush_td,0,,,,,
player,201411160cle,htx,JohnAn02,rush_long,0,,,,,
player,201411160cle,htx,JohnAn02,targets,9,,,,,
player,201411160cle,htx,JohnAn02,rec,7,,,,,
player,201411160cle,htx,JohnAn02,rec_yds,68,,,,,
player,201411160cle,htx,JohnAn02,rec_td,0,,,,,
player,201411160cle,htx,JohnAn02,rec_long,16,,,,,
player,201411160cle,htx,JohnAn02,fumbles,0,,,,,
player,201411160cle,htx,JohnAn02,fumbles_lost,0,,,,,
player,201411160cle,htx,GrahGa00,pass_cmp,0,,,,,
player,201411160cle,htx,GrahGa00,pass_att,0,,,,,
player,201411160cle,htx,GrahGa00,pass_yds,0,,,,,
player,201411160cle,htx,GrahGa00,pass_td,0,,,,,
player,201411160cle,htx,GrahGa00,pass_int,0,,,,,
player,201411160cle,htx,GrahGa00,pass_sacked,0,,,,,
player,201411160cle,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201411160cle,htx,GrahGa00,pass_long,0,,,,,
player,201411160cle,htx,GrahGa00,pass_rating,,,,,,
player,201411160cle,htx,GrahGa00,rush_att,0,,,,,
player,201411160cle,htx,GrahGa00,rush_yds,0,,,,,
player,201411160cle,htx,GrahGa00,rush_td,0,,,,,
player,201411160cle,htx,GrahGa00,rush_long,0,,,,,
player,201411160cle,htx,GrahGa00,targets,2,,,,,
player,201411160cle,htx,GrahGa00,rec,2,,,,,
player,201411160cle,htx,GrahGa00,rec_yds,34,,,,,
player,201411160cle,htx,GrahGa00,rec_td,1,,,,,
player,201411160cle,htx,GrahGa00,rec_long,20,,,,,
player,201411160cle,htx,GrahGa00,fumbles,0,,,,,
player,201411160cle,htx,GrahGa00,fumbles_lost,0,,,,,
player,201411160cle,htx,MartKe01,pass_cmp,0,,,,,
player,201411160cle,htx,MartKe01,pass_att,0,,,,,
player,201411160cle,htx,MartKe01,pass_yds,0,,,,,
player,201411160cle,htx,MartKe01,pass_td,0,,,,,
player,201411160cle,htx,MartKe01,pass_int,0,,,,,
player,201411160cle,htx,MartKe01,pass_sacked,0,,,,,
player,201411160cle,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201411160cle,htx,MartKe01,pass_long,0,,,,,
player,201411160cle,htx,MartKe01,pass_rating,,,,,,
player,201411160cle,htx,MartKe01,rush_att,0,,,,,
player,201411160cle,htx,MartKe01,rush_yds,0,,,,,
player,201411160cle,htx,MartKe01,rush_td,0,,,,,
player,201411160cle,htx,MartKe01,rush_long,0,,,,,
player,201411160cle,htx,MartKe01,targets,1,,,,,
player,201411160cle,htx,MartKe01,rec,1,,,,,
player,201411160cle,htx,MartKe01,rec_yds,6,,,,,
player,201411160cle,htx,MartKe01,rec_td,0,,,,,
player,201411160cle,htx,MartKe01,rec_long,6,,,,,
player,201411160cle,htx,MartKe01,fumbles,0,,,,,
player,201411160cle,htx,MartKe01,fumbles_lost,0,,,,,
player,201411160cle,htx,WattJ.00,pass_cmp,0,,,,,
player,201411160cle,htx,WattJ.00,pass_att,0,,,,,
player,201411160cle,htx,WattJ.00,pass_yds,0,,,,,
player,201411160cle,htx,WattJ.00,pass_td,0,,,,,
player,201411160cle,htx,WattJ.00,pass_int,0,,,,,
player,201411160cle,htx,WattJ.00,pass_sacked,0,,,,,
player,201411160cle,htx,WattJ.00,pass_sacked_yds,0,,,,,
player,201411160cle,htx,WattJ.00,pass_long,0,,,,,
player,201411160cle,htx,WattJ.00,pass_rating,,,,,,
player,201411160cle,htx,WattJ.00,rush_att,0,,,,,
player,201411160cle,htx,WattJ.00,rush_yds,0,,,,,
player,201411160cle,htx,WattJ.00,rush_td,0,,,,,
player,201411160cle,htx,WattJ.00,rush_long,0,,,,,
player,201411160cle,htx,WattJ.00,targets,1,,,,,
player,201411160cle,htx,WattJ.00,rec,1,,,,,
player,201411160cle,htx,WattJ.00,rec_yds,2,,,,,
player,201411160cle,htx,WattJ.00,rec_td,1,,,,,
player,201411160cle,htx,WattJ.00,rec_long,2,,,,,
player,201411160cle,htx,WattJ.00,fumbles,0,,,,,
player,201411160cle,htx,WattJ.00,fumbles_lost,0,,,,,
player,201411160cle,cle,HoyeBr00,pass_cmp,20,,,,,
player,201411160cle,cle,HoyeBr00,pass_att,50,,,,,
player,201411160cle,cle,HoyeBr00,pass_yds,330,,,,,
player,201411160cle,cle,HoyeBr00,pass_td,1,,,,,
player,201411160cle,cle,HoyeBr00,pass_int,1,,,,,
player,201411160cle,cle,HoyeBr00,pass_sacked,3,,,,,
player,201411160cle,cle,HoyeBr00,pass_sacked_yds,20,,,,,
player,201411160cle,cle,HoyeBr00,pass_long,35,,,,,
player,201411160cle,cle,HoyeBr00,pass_rating,61.2,,,,,
player,201411160cle,cle,HoyeBr00,rush_att,2,,,,,
player,201411160cle,cle,HoyeBr00,rush_yds,1,,,,,
player,201411160cle,cle,HoyeBr00,rush_td,0,,,,,
player,201411160cle,cle,HoyeBr00,rush_long,2,,,,,
player,201411160cle,cle,HoyeBr00,targets,0,,,,,
player,201411160cle,cle,HoyeBr00,rec,0,,,,,
player,201411160cle,cle,HoyeBr00,rec_yds,0,,,,,
player,201411160cle,cle,HoyeBr00,rec_td,0,,,,,
player,201411160cle,cle,HoyeBr00,rec_long,0,,,,,
player,201411160cle,cle,HoyeBr00,fumbles,1,,,,,
player,201411160cle,cle,HoyeBr00,fumbles_lost,0,,,,,
player,201411160cle,cle,CrowIs00,pass_cmp,0,,,,,
player,201411160cle,cle,CrowIs00,pass_att,0,,,,,
player,201411160cle,cle,CrowIs00,pass_yds,0,,,,,
player,201411160cle,cle,CrowIs00,pass_td,0,,,,,
player,201411160cle,cle,CrowIs00,pass_int,0,,,,,
player,201411160cle,cle,CrowIs00,pass_sacked,0,,,,,
player,201411160cle,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,CrowIs00,pass_long,0,,,,,
player,201411160cle,cle,CrowIs00,pass_rating,,,,,,
player,201411160cle,cle,CrowIs00,rush_att,14,,,,,
player,201411160cle,cle,CrowIs00,rush_yds,61,,,,,
player,201411160cle,cle,CrowIs00,rush_td,0,,,,,
player,201411160cle,cle,CrowIs00,rush_long,35,,,,,
player,201411160cle,cle,CrowIs00,targets,4,,,,,
player,201411160cle,cle,CrowIs00,rec,2,,,,,
player,201411160cle,cle,CrowIs00,rec_yds,30,,,,,
player,201411160cle,cle,CrowIs00,rec_td,0,,,,,
player,201411160cle,cle,CrowIs00,rec_long,19,,,,,
player,201411160cle,cle,CrowIs00,fumbles,1,,,,,
player,201411160cle,cle,CrowIs00,fumbles_lost,1,,,,,
player,201411160cle,cle,WestTe00,pass_cmp,0,,,,,
player,201411160cle,cle,WestTe00,pass_att,0,,,,,
player,201411160cle,cle,WestTe00,pass_yds,0,,,,,
player,201411160cle,cle,WestTe00,pass_td,0,,,,,
player,201411160cle,cle,WestTe00,pass_int,0,,,,,
player,201411160cle,cle,WestTe00,pass_sacked,0,,,,,
player,201411160cle,cle,WestTe00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,WestTe00,pass_long,0,,,,,
player,201411160cle,cle,WestTe00,pass_rating,,,,,,
player,201411160cle,cle,WestTe00,rush_att,5,,,,,
player,201411160cle,cle,WestTe00,rush_yds,12,,,,,
player,201411160cle,cle,WestTe00,rush_td,0,,,,,
player,201411160cle,cle,WestTe00,rush_long,7,,,,,
player,201411160cle,cle,WestTe00,targets,0,,,,,
player,201411160cle,cle,WestTe00,rec,0,,,,,
player,201411160cle,cle,WestTe00,rec_yds,0,,,,,
player,201411160cle,cle,WestTe00,rec_td,0,,,,,
player,201411160cle,cle,WestTe00,rec_long,0,,,,,
player,201411160cle,cle,WestTe00,fumbles,0,,,,,
player,201411160cle,cle,WestTe00,fumbles_lost,0,,,,,
player,201411160cle,cle,HawkAn00,pass_cmp,0,,,,,
player,201411160cle,cle,HawkAn00,pass_att,0,,,,,
player,201411160cle,cle,HawkAn00,pass_yds,0,,,,,
player,201411160cle,cle,HawkAn00,pass_td,0,,,,,
player,201411160cle,cle,HawkAn00,pass_int,0,,,,,
player,201411160cle,cle,HawkAn00,pass_sacked,0,,,,,
player,201411160cle,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,HawkAn00,pass_long,0,,,,,
player,201411160cle,cle,HawkAn00,pass_rating,,,,,,
player,201411160cle,cle,HawkAn00,rush_att,0,,,,,
player,201411160cle,cle,HawkAn00,rush_yds,0,,,,,
player,201411160cle,cle,HawkAn00,rush_td,0,,,,,
player,201411160cle,cle,HawkAn00,rush_long,0,,,,,
player,201411160cle,cle,HawkAn00,targets,13,,,,,
player,201411160cle,cle,HawkAn00,rec,6,,,,,
player,201411160cle,cle,HawkAn00,rec_yds,97,,,,,
player,201411160cle,cle,HawkAn00,rec_td,1,,,,,
player,201411160cle,cle,HawkAn00,rec_long,32,,,,,
player,201411160cle,cle,HawkAn00,fumbles,0,,,,,
player,201411160cle,cle,HawkAn00,fumbles_lost,0,,,,,
player,201411160cle,cle,GabrTa00,pass_cmp,0,,,,,
player,201411160cle,cle,GabrTa00,pass_att,0,,,,,
player,201411160cle,cle,GabrTa00,pass_yds,0,,,,,
player,201411160cle,cle,GabrTa00,pass_td,0,,,,,
player,201411160cle,cle,GabrTa00,pass_int,0,,,,,
player,201411160cle,cle,GabrTa00,pass_sacked,0,,,,,
player,201411160cle,cle,GabrTa00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,GabrTa00,pass_long,0,,,,,
player,201411160cle,cle,GabrTa00,pass_rating,,,,,,
player,201411160cle,cle,GabrTa00,rush_att,0,,,,,
player,201411160cle,cle,GabrTa00,rush_yds,0,,,,,
player,201411160cle,cle,GabrTa00,rush_td,0,,,,,
player,201411160cle,cle,GabrTa00,rush_long,0,,,,,
player,201411160cle,cle,GabrTa00,targets,13,,,,,
player,201411160cle,cle,GabrTa00,rec,5,,,,,
player,201411160cle,cle,GabrTa00,rec_yds,92,,,,,
player,201411160cle,cle,GabrTa00,rec_td,0,,,,,
player,201411160cle,cle,GabrTa00,rec_long,35,,,,,
player,201411160cle,cle,GabrTa00,fumbles,0,,,,,
player,201411160cle,cle,GabrTa00,fumbles_lost,0,,,,,
player,201411160cle,cle,DrayJi00,pass_cmp,0,,,,,
player,201411160cle,cle,DrayJi00,pass_att,0,,,,,
player,201411160cle,cle,DrayJi00,pass_yds,0,,,,,
player,201411160cle,cle,DrayJi00,pass_td,0,,,,,
player,201411160cle,cle,DrayJi00,pass_int,0,,,,,
player,201411160cle,cle,DrayJi00,pass_sacked,0,,,,,
player,201411160cle,cle,DrayJi00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,DrayJi00,pass_long,0,,,,,
player,201411160cle,cle,DrayJi00,pass_rating,,,,,,
player,201411160cle,cle,DrayJi00,rush_att,0,,,,,
player,201411160cle,cle,DrayJi00,rush_yds,0,,,,,
player,201411160cle,cle,DrayJi00,rush_td,0,,,,,
player,201411160cle,cle,DrayJi00,rush_long,0,,,,,
player,201411160cle,cle,DrayJi00,targets,2,,,,,
player,201411160cle,cle,DrayJi00,rec,2,,,,,
player,201411160cle,cle,DrayJi00,rec_yds,46,,,,,
player,201411160cle,cle,DrayJi00,rec_td,0,,,,,
player,201411160cle,cle,DrayJi00,rec_long,30,,,,,
player,201411160cle,cle,DrayJi00,fumbles,0,,,,,
player,201411160cle,cle,DrayJi00,fumbles_lost,0,,,,,
player,201411160cle,cle,AustMi00,pass_cmp,0,,,,,
player,201411160cle,cle,AustMi00,pass_att,0,,,,,
player,201411160cle,cle,AustMi00,pass_yds,0,,,,,
player,201411160cle,cle,AustMi00,pass_td,0,,,,,
player,201411160cle,cle,AustMi00,pass_int,0,,,,,
player,201411160cle,cle,AustMi00,pass_sacked,0,,,,,
player,201411160cle,cle,AustMi00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,AustMi00,pass_long,0,,,,,
player,201411160cle,cle,AustMi00,pass_rating,,,,,,
player,201411160cle,cle,AustMi00,rush_att,0,,,,,
player,201411160cle,cle,AustMi00,rush_yds,0,,,,,
player,201411160cle,cle,AustMi00,rush_td,0,,,,,
player,201411160cle,cle,AustMi00,rush_long,0,,,,,
player,201411160cle,cle,AustMi00,targets,8,,,,,
player,201411160cle,cle,AustMi00,rec,3,,,,,
player,201411160cle,cle,AustMi00,rec_yds,31,,,,,
player,201411160cle,cle,AustMi00,rec_td,0,,,,,
player,201411160cle,cle,AustMi00,rec_long,12,,,,,
player,201411160cle,cle,AustMi00,fumbles,0,,,,,
player,201411160cle,cle,AustMi00,fumbles_lost,0,,,,,
player,201411160cle,cle,BenjTr00,pass_cmp,0,,,,,
player,201411160cle,cle,BenjTr00,pass_att,0,,,,,
player,201411160cle,cle,BenjTr00,pass_yds,0,,,,,
player,201411160cle,cle,BenjTr00,pass_td,0,,,,,
player,201411160cle,cle,BenjTr00,pass_int,0,,,,,
player,201411160cle,cle,BenjTr00,pass_sacked,0,,,,,
player,201411160cle,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,BenjTr00,pass_long,0,,,,,
player,201411160cle,cle,BenjTr00,pass_rating,,,,,,
player,201411160cle,cle,BenjTr00,rush_att,0,,,,,
player,201411160cle,cle,BenjTr00,rush_yds,0,,,,,
player,201411160cle,cle,BenjTr00,rush_td,0,,,,,
player,201411160cle,cle,BenjTr00,rush_long,0,,,,,
player,201411160cle,cle,BenjTr00,targets,3,,,,,
player,201411160cle,cle,BenjTr00,rec,1,,,,,
player,201411160cle,cle,BenjTr00,rec_yds,23,,,,,
player,201411160cle,cle,BenjTr00,rec_td,0,,,,,
player,201411160cle,cle,BenjTr00,rec_long,23,,,,,
player,201411160cle,cle,BenjTr00,fumbles,0,,,,,
player,201411160cle,cle,BenjTr00,fumbles_lost,0,,,,,
player,201411160cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201411160cle,cle,BarnGa01,pass_att,0,,,,,
player,201411160cle,cle,BarnGa01,pass_yds,0,,,,,
player,201411160cle,cle,BarnGa01,pass_td,0,,,,,
player,201411160cle,cle,BarnGa01,pass_int,0,,,,,
player,201411160cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201411160cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201411160cle,cle,BarnGa01,pass_long,0,,,,,
player,201411160cle,cle,BarnGa01,pass_rating,,,,,,
player,201411160cle,cle,BarnGa01,rush_att,0,,,,,
player,201411160cle,cle,BarnGa01,rush_yds,0,,,,,
player,201411160cle,cle,BarnGa01,rush_td,0,,,,,
player,201411160cle,cle,BarnGa01,rush_long,0,,,,,
player,201411160cle,cle,BarnGa01,targets,5,,,,,
player,201411160cle,cle,BarnGa01,rec,1,,,,,
player,201411160cle,cle,BarnGa01,rec_yds,11,,,,,
player,201411160cle,cle,BarnGa01,rec_td,0,,,,,
player,201411160cle,cle,BarnGa01,rec_long,11,,,,,
player,201411160cle,cle,BarnGa01,fumbles,0,,,,,
player,201411160cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201411160cle,cle,AgneRa00,pass_cmp,0,,,,,
player,201411160cle,cle,AgneRa00,pass_att,0,,,,,
player,201411160cle,cle,AgneRa00,pass_yds,0,,,,,
player,201411160cle,cle,AgneRa00,pass_td,0,,,,,
player,201411160cle,cle,AgneRa00,pass_int,0,,,,,
player,201411160cle,cle,AgneRa00,pass_sacked,0,,,,,
player,201411160cle,cle,AgneRa00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,AgneRa00,pass_long,0,,,,,
player,201411160cle,cle,AgneRa00,pass_rating,,,,,,
player,201411160cle,cle,AgneRa00,rush_att,0,,,,,
player,201411160cle,cle,AgneRa00,rush_yds,0,,,,,
player,201411160cle,cle,AgneRa00,rush_td,0,,,,,
player,201411160cle,cle,AgneRa00,rush_long,0,,,,,
player,201411160cle,cle,AgneRa00,targets,1,,,,,
player,201411160cle,cle,AgneRa00,rec,0,,,,,
player,201411160cle,cle,AgneRa00,rec_yds,0,,,,,
player,201411160cle,cle,AgneRa00,rec_td,0,,,,,
player,201411160cle,cle,AgneRa00,rec_long,0,,,,,
player,201411160cle,cle,AgneRa00,fumbles,0,,,,,
player,201411160cle,cle,AgneRa00,fumbles_lost,0,,,,,
player,201411160cle,cle,TateBe00,pass_cmp,0,,,,,
player,201411160cle,cle,TateBe00,pass_att,0,,,,,
player,201411160cle,cle,TateBe00,pass_yds,0,,,,,
player,201411160cle,cle,TateBe00,pass_td,0,,,,,
player,201411160cle,cle,TateBe00,pass_int,0,,,,,
player,201411160cle,cle,TateBe00,pass_sacked,0,,,,,
player,201411160cle,cle,TateBe00,pass_sacked_yds,0,,,,,
player,201411160cle,cle,TateBe00,pass_long,0,,,,,
player,201411160cle,cle,TateBe00,pass_rating,,,,,,
player,201411160cle,cle,TateBe00,rush_att,2,,,,,
player,201411160cle,cle,TateBe00,rush_yds,-9,,,,,
player,201411160cle,cle,TateBe00,rush_td,0,,,,,
player,201411160cle,cle,TateBe00,rush_long,-3,,,,,
player,201411160cle,cle,TateBe00,targets,1,,,,,
player,201411160cle,cle,TateBe00,rec,0,,,,,
player,201411160cle,cle,TateBe00,rec_yds,0,,,,,
player,201411160cle,cle,TateBe00,rec_td,0,,,,,
player,201411160cle,cle,TateBe00,rec_long,0,,,,,
player,201411160cle,cle,TateBe00,fumbles,0,,,,,
player,201411160cle,cle,TateBe00,fumbles_lost,0,,,,,
player,201411160cle,htx,MohaMi00,def_int,1,,,,,
player,201411160cle,htx,MohaMi00,def_int_yds,0,,,,,
player,201411160cle,htx,MohaMi00,def_int_td,0,,,,,
player,201411160cle,htx,MohaMi00,def_int_long,0,,,,,
player,201411160cle,htx,MohaMi00,pass_defended,3,,,,,
player,201411160cle,htx,MohaMi00,sacks,0.0,,,,,
player,201411160cle,htx,MohaMi00,tackles_combined,1,,,,,
player,201411160cle,htx,MohaMi00,tackles_solo,1,,,,,
player,201411160cle,htx,MohaMi00,tackles_assists,0,,,,,
player,201411160cle,htx,MohaMi00,tackles_loss,1,,,,,
player,201411160cle,htx,MohaMi00,qb_hits,0,,,,,
player,201411160cle,htx,MohaMi00,fumbles_rec,0,,,,,
player,201411160cle,htx,MohaMi00,fumbles_rec_yds,0,,,,,
player,201411160cle,htx,MohaMi00,fumbles_rec_td,0,,,,,
player,201411160cle,htx,MohaMi00,fumbles_forced,0,,,,,
player,201411160cle,htx,DentAk00,def_int,0,,,,,
player,201411160cle,htx,DentAk00,def_int_yds,0,,,,,
player,201411160cle,htx,DentAk00,def_int_td,0,,,,,
player,201411160cle,htx,DentAk00,def_int_long,0,,,,,
player,201411160cle,htx,DentAk00,pass_defended,0,,,,,
player,201411160cle,htx,DentAk00,sacks,1.0,,,,,
player,201411160cle,htx,DentAk00,tackles_combined,5,,,,,
player,201411160cle,htx,DentAk00,tackles_solo,4,,,,,
player,201411160cle,htx,DentAk00,tackles_assists,1,,,,,
player,201411160cle,htx,DentAk00,tackles_loss,2,,,,,
player,201411160cle,htx,DentAk00,qb_hits,1,,,,,
player,201411160cle,htx,DentAk00,fumbles_rec,0,,,,,
player,201411160cle,htx,DentAk00,fumbles_rec_yds,0,,,,,
player,201411160cle,htx,DentAk00,fumbles_rec_td,0,,,,,
player,201411160cle,htx,DentAk00,fumbles_forced,0,,,,,
player,201411160cle,htx,WattJ.00,def_int,0,,,,,
player,201411160cle,htx,WattJ.00,def_int_yds,0,,,,,
