game,2014,4,20140928,201409280sfo,phi,"Philadelphia Eagles",21,sfo,"San Francisco 49ers",26
player,201409280sfo,phi,SmitBr01,rec_td,0,,,,,
player,201409280sfo,phi,SmitBr01,rec_long,11,,,,,
player,201409280sfo,phi,SmitBr01,fumbles,0,,,,,
player,201409280sfo,phi,SmitBr01,fumbles_lost,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_cmp,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_att,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_yds,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_td,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_int,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_sacked,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_long,0,,,,,
player,201409280sfo,phi,CeleBr00,pass_rating,,,,,,
player,201409280sfo,phi,CeleBr00,rush_att,0,,,,,
player,201409280sfo,phi,CeleBr00,rush_yds,0,,,,,
player,201409280sfo,phi,CeleBr00,rush_td,0,,,,,
player,201409280sfo,phi,CeleBr00,rush_long,0,,,,,
player,201409280sfo,phi,CeleBr00,targets,2,,,,,
player,201409280sfo,phi,CeleBr00,rec,0,,,,,
player,201409280sfo,phi,CeleBr00,rec_yds,0,,,,,
player,201409280sfo,phi,CeleBr00,rec_td,0,,,,,
player,201409280sfo,phi,CeleBr00,rec_long,0,,,,,
player,201409280sfo,phi,CeleBr00,fumbles,0,,,,,
player,201409280sfo,phi,CeleBr00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,KaepCo00,pass_cmp,17,,,,,
player,201409280sfo,sfo,KaepCo00,pass_att,30,,,,,
player,201409280sfo,sfo,KaepCo00,pass_yds,218,,,,,
player,201409280sfo,sfo,KaepCo00,pass_td,2,,,,,
player,201409280sfo,sfo,KaepCo00,pass_int,1,,,,,
player,201409280sfo,sfo,KaepCo00,pass_sacked,4,,,,,
player,201409280sfo,sfo,KaepCo00,pass_sacked_yds,29,,,,,
player,201409280sfo,sfo,KaepCo00,pass_long,55,,,,,
player,201409280sfo,sfo,KaepCo00,pass_rating,87.9,,,,,
player,201409280sfo,sfo,KaepCo00,rush_att,7,,,,,
player,201409280sfo,sfo,KaepCo00,rush_yds,58,,,,,
player,201409280sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201409280sfo,sfo,KaepCo00,rush_long,23,,,,,
player,201409280sfo,sfo,KaepCo00,targets,0,,,,,
player,201409280sfo,sfo,KaepCo00,rec,0,,,,,
player,201409280sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201409280sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201409280sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201409280sfo,sfo,KaepCo00,fumbles,0,,,,,
player,201409280sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201409280sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201409280sfo,sfo,GoreFr00,rush_att,24,,,,,
player,201409280sfo,sfo,GoreFr00,rush_yds,119,,,,,
player,201409280sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201409280sfo,sfo,GoreFr00,rush_long,28,,,,,
player,201409280sfo,sfo,GoreFr00,targets,2,,,,,
player,201409280sfo,sfo,GoreFr00,rec,1,,,,,
player,201409280sfo,sfo,GoreFr00,rec_yds,55,,,,,
player,201409280sfo,sfo,GoreFr00,rec_td,1,,,,,
player,201409280sfo,sfo,GoreFr00,rec_long,55,,,,,
player,201409280sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201409280sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_cmp,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_att,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_yds,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_td,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_int,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_sacked,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_long,0,,,,,
player,201409280sfo,sfo,HydeCa00,pass_rating,,,,,,
player,201409280sfo,sfo,HydeCa00,rush_att,10,,,,,
player,201409280sfo,sfo,HydeCa00,rush_yds,26,,,,,
player,201409280sfo,sfo,HydeCa00,rush_td,0,,,,,
player,201409280sfo,sfo,HydeCa00,rush_long,6,,,,,
player,201409280sfo,sfo,HydeCa00,targets,1,,,,,
player,201409280sfo,sfo,HydeCa00,rec,0,,,,,
player,201409280sfo,sfo,HydeCa00,rec_yds,0,,,,,
player,201409280sfo,sfo,HydeCa00,rec_td,0,,,,,
player,201409280sfo,sfo,HydeCa00,rec_long,0,,,,,
player,201409280sfo,sfo,HydeCa00,fumbles,0,,,,,
player,201409280sfo,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_cmp,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_att,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_yds,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_td,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_int,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_sacked,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_long,0,,,,,
player,201409280sfo,sfo,ElliBr00,pass_rating,,,,,,
player,201409280sfo,sfo,ElliBr00,rush_att,1,,,,,
player,201409280sfo,sfo,ElliBr00,rush_yds,15,,,,,
player,201409280sfo,sfo,ElliBr00,rush_td,0,,,,,
player,201409280sfo,sfo,ElliBr00,rush_long,15,,,,,
player,201409280sfo,sfo,ElliBr00,targets,0,,,,,
player,201409280sfo,sfo,ElliBr00,rec,0,,,,,
player,201409280sfo,sfo,ElliBr00,rec_yds,0,,,,,
player,201409280sfo,sfo,ElliBr00,rec_td,0,,,,,
player,201409280sfo,sfo,ElliBr00,rec_long,0,,,,,
player,201409280sfo,sfo,ElliBr00,fumbles,0,,,,,
player,201409280sfo,sfo,ElliBr00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_long,0,,,,,
player,201409280sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201409280sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201409280sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201409280sfo,sfo,BoldAn00,rush_td,0,,,,,
player,201409280sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201409280sfo,sfo,BoldAn00,targets,7,,,,,
player,201409280sfo,sfo,BoldAn00,rec,5,,,,,
player,201409280sfo,sfo,BoldAn00,rec_yds,62,,,,,
player,201409280sfo,sfo,BoldAn00,rec_td,0,,,,,
player,201409280sfo,sfo,BoldAn00,rec_long,23,,,,,
player,201409280sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201409280sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201409280sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201409280sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201409280sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201409280sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201409280sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201409280sfo,sfo,CrabMi00,targets,8,,,,,
player,201409280sfo,sfo,CrabMi00,rec,5,,,,,
player,201409280sfo,sfo,CrabMi00,rec_yds,43,,,,,
player,201409280sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201409280sfo,sfo,CrabMi00,rec_long,25,,,,,
player,201409280sfo,sfo,CrabMi00,fumbles,0,,,,,
