game,2014,1,20140908,201409080crd,sdg,"San Diego Chargers",17,crd,"Arizona Cardinals",18
player,201409080crd,sdg,GateAn00,fumbles_lost,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_cmp,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_att,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_yds,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_td,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_int,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_sacked,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_long,0,,,,,
player,201409080crd,sdg,FloyMa00,pass_rating,,,,,,
player,201409080crd,sdg,FloyMa00,rush_att,0,,,,,
player,201409080crd,sdg,FloyMa00,rush_yds,0,,,,,
player,201409080crd,sdg,FloyMa00,rush_td,0,,,,,
player,201409080crd,sdg,FloyMa00,rush_long,0,,,,,
player,201409080crd,sdg,FloyMa00,targets,6,,,,,
player,201409080crd,sdg,FloyMa00,rec,4,,,,,
player,201409080crd,sdg,FloyMa00,rec_yds,50,,,,,
player,201409080crd,sdg,FloyMa00,rec_td,1,,,,,
player,201409080crd,sdg,FloyMa00,rec_long,32,,,,,
player,201409080crd,sdg,FloyMa00,fumbles,0,,,,,
player,201409080crd,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_cmp,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_att,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_yds,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_td,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_int,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_sacked,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_long,0,,,,,
player,201409080crd,sdg,AlleKe00,pass_rating,,,,,,
player,201409080crd,sdg,AlleKe00,rush_att,0,,,,,
player,201409080crd,sdg,AlleKe00,rush_yds,0,,,,,
player,201409080crd,sdg,AlleKe00,rush_td,0,,,,,
player,201409080crd,sdg,AlleKe00,rush_long,0,,,,,
player,201409080crd,sdg,AlleKe00,targets,9,,,,,
player,201409080crd,sdg,AlleKe00,rec,5,,,,,
player,201409080crd,sdg,AlleKe00,rec_yds,37,,,,,
player,201409080crd,sdg,AlleKe00,rec_td,0,,,,,
player,201409080crd,sdg,AlleKe00,rec_long,12,,,,,
player,201409080crd,sdg,AlleKe00,fumbles,0,,,,,
player,201409080crd,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_cmp,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_att,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_yds,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_td,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_int,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_sacked,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_long,0,,,,,
player,201409080crd,sdg,GreeLa00,pass_rating,,,,,,
player,201409080crd,sdg,GreeLa00,rush_att,0,,,,,
player,201409080crd,sdg,GreeLa00,rush_yds,0,,,,,
player,201409080crd,sdg,GreeLa00,rush_td,0,,,,,
player,201409080crd,sdg,GreeLa00,rush_long,0,,,,,
player,201409080crd,sdg,GreeLa00,targets,2,,,,,
player,201409080crd,sdg,GreeLa00,rec,2,,,,,
player,201409080crd,sdg,GreeLa00,rec_yds,24,,,,,
player,201409080crd,sdg,GreeLa00,rec_td,0,,,,,
player,201409080crd,sdg,GreeLa00,rec_long,20,,,,,
player,201409080crd,sdg,GreeLa00,fumbles,0,,,,,
player,201409080crd,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_att,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_yds,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_td,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_int,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_long,0,,,,,
player,201409080crd,sdg,RoyaEd00,pass_rating,,,,,,
player,201409080crd,sdg,RoyaEd00,rush_att,2,,,,,
player,201409080crd,sdg,RoyaEd00,rush_yds,-1,,,,,
player,201409080crd,sdg,RoyaEd00,rush_td,0,,,,,
player,201409080crd,sdg,RoyaEd00,rush_long,2,,,,,
player,201409080crd,sdg,RoyaEd00,targets,6,,,,,
player,201409080crd,sdg,RoyaEd00,rec,1,,,,,
player,201409080crd,sdg,RoyaEd00,rec_yds,20,,,,,
player,201409080crd,sdg,RoyaEd00,rec_td,0,,,,,
player,201409080crd,sdg,RoyaEd00,rec_long,20,,,,,
player,201409080crd,sdg,RoyaEd00,fumbles,0,,,,,
player,201409080crd,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_cmp,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_att,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_yds,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_td,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_int,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_sacked,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_long,0,,,,,
player,201409080crd,sdg,BrowDo00,pass_rating,,,,,,
player,201409080crd,sdg,BrowDo00,rush_att,2,,,,,
player,201409080crd,sdg,BrowDo00,rush_yds,-2,,,,,
player,201409080crd,sdg,BrowDo00,rush_td,0,,,,,
player,201409080crd,sdg,BrowDo00,rush_long,2,,,,,
player,201409080crd,sdg,BrowDo00,targets,0,,,,,
player,201409080crd,sdg,BrowDo00,rec,0,,,,,
player,201409080crd,sdg,BrowDo00,rec_yds,0,,,,,
player,201409080crd,sdg,BrowDo00,rec_td,0,,,,,
player,201409080crd,sdg,BrowDo00,rec_long,0,,,,,
player,201409080crd,sdg,BrowDo00,fumbles,0,,,,,
player,201409080crd,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201409080crd,crd,PalmCa00,pass_cmp,24,,,,,
player,201409080crd,crd,PalmCa00,pass_att,37,,,,,
player,201409080crd,crd,PalmCa00,pass_yds,304,,,,,
player,201409080crd,crd,PalmCa00,pass_td,2,,,,,
player,201409080crd,crd,PalmCa00,pass_int,0,,,,,
player,201409080crd,crd,PalmCa00,pass_sacked,2,,,,,
player,201409080crd,crd,PalmCa00,pass_sacked_yds,10,,,,,
player,201409080crd,crd,PalmCa00,pass_long,63,,,,,
player,201409080crd,crd,PalmCa00,pass_rating,108.4,,,,,
player,201409080crd,crd,PalmCa00,rush_att,4,,,,,
player,201409080crd,crd,PalmCa00,rush_yds,29,,,,,
player,201409080crd,crd,PalmCa00,rush_td,0,,,,,
player,201409080crd,crd,PalmCa00,rush_long,12,,,,,
player,201409080crd,crd,PalmCa00,targets,0,,,,,
player,201409080crd,crd,PalmCa00,rec,0,,,,,
player,201409080crd,crd,PalmCa00,rec_yds,0,,,,,
player,201409080crd,crd,PalmCa00,rec_td,0,,,,,
player,201409080crd,crd,PalmCa00,rec_long,0,,,,,
player,201409080crd,crd,PalmCa00,fumbles,1,,,,,
player,201409080crd,crd,PalmCa00,fumbles_lost,1,,,,,
player,201409080crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201409080crd,crd,ElliAn00,pass_att,0,,,,,
player,201409080crd,crd,ElliAn00,pass_yds,0,,,,,
player,201409080crd,crd,ElliAn00,pass_td,0,,,,,
player,201409080crd,crd,ElliAn00,pass_int,0,,,,,
player,201409080crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201409080crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,ElliAn00,pass_long,0,,,,,
player,201409080crd,crd,ElliAn00,pass_rating,,,,,,
player,201409080crd,crd,ElliAn00,rush_att,13,,,,,
player,201409080crd,crd,ElliAn00,rush_yds,53,,,,,
player,201409080crd,crd,ElliAn00,rush_td,0,,,,,
player,201409080crd,crd,ElliAn00,rush_long,18,,,,,
player,201409080crd,crd,ElliAn00,targets,5,,,,,
player,201409080crd,crd,ElliAn00,rec,5,,,,,
player,201409080crd,crd,ElliAn00,rec_yds,27,,,,,
player,201409080crd,crd,ElliAn00,rec_td,0,,,,,
player,201409080crd,crd,ElliAn00,rec_long,11,,,,,
player,201409080crd,crd,ElliAn00,fumbles,1,,,,,
player,201409080crd,crd,ElliAn00,fumbles_lost,1,,,,,
player,201409080crd,crd,DwyeJo00,pass_cmp,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_att,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_yds,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_td,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_int,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_sacked,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_long,0,,,,,
player,201409080crd,crd,DwyeJo00,pass_rating,,,,,,
player,201409080crd,crd,DwyeJo00,rush_att,7,,,,,
player,201409080crd,crd,DwyeJo00,rush_yds,20,,,,,
player,201409080crd,crd,DwyeJo00,rush_td,0,,,,,
player,201409080crd,crd,DwyeJo00,rush_long,7,,,,,
player,201409080crd,crd,DwyeJo00,targets,3,,,,,
player,201409080crd,crd,DwyeJo00,rec,2,,,,,
player,201409080crd,crd,DwyeJo00,rec_yds,8,,,,,
player,201409080crd,crd,DwyeJo00,rec_td,0,,,,,
player,201409080crd,crd,DwyeJo00,rec_long,5,,,,,
player,201409080crd,crd,DwyeJo00,fumbles,0,,,,,
player,201409080crd,crd,DwyeJo00,fumbles_lost,0,,,,,
player,201409080crd,crd,TaylSt00,pass_cmp,0,,,,,
player,201409080crd,crd,TaylSt00,pass_att,0,,,,,
player,201409080crd,crd,TaylSt00,pass_yds,0,,,,,
player,201409080crd,crd,TaylSt00,pass_td,0,,,,,
player,201409080crd,crd,TaylSt00,pass_int,0,,,,,
player,201409080crd,crd,TaylSt00,pass_sacked,0,,,,,
player,201409080crd,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,TaylSt00,pass_long,0,,,,,
player,201409080crd,crd,TaylSt00,pass_rating,,,,,,
player,201409080crd,crd,TaylSt00,rush_att,1,,,,,
player,201409080crd,crd,TaylSt00,rush_yds,5,,,,,
player,201409080crd,crd,TaylSt00,rush_td,0,,,,,
player,201409080crd,crd,TaylSt00,rush_long,5,,,,,
player,201409080crd,crd,TaylSt00,targets,3,,,,,
player,201409080crd,crd,TaylSt00,rec,3,,,,,
player,201409080crd,crd,TaylSt00,rec_yds,21,,,,,
player,201409080crd,crd,TaylSt00,rec_td,1,,,,,
player,201409080crd,crd,TaylSt00,rec_long,11,,,,,
player,201409080crd,crd,TaylSt00,fumbles,0,,,,,
player,201409080crd,crd,TaylSt00,fumbles_lost,0,,,,,
player,201409080crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201409080crd,crd,FloyMi00,pass_att,0,,,,,
player,201409080crd,crd,FloyMi00,pass_yds,0,,,,,
player,201409080crd,crd,FloyMi00,pass_td,0,,,,,
player,201409080crd,crd,FloyMi00,pass_int,0,,,,,
player,201409080crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201409080crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,FloyMi00,pass_long,0,,,,,
player,201409080crd,crd,FloyMi00,pass_rating,,,,,,
player,201409080crd,crd,FloyMi00,rush_att,1,,,,,
player,201409080crd,crd,FloyMi00,rush_yds,2,,,,,
player,201409080crd,crd,FloyMi00,rush_td,0,,,,,
player,201409080crd,crd,FloyMi00,rush_long,2,,,,,
player,201409080crd,crd,FloyMi00,targets,7,,,,,
player,201409080crd,crd,FloyMi00,rec,5,,,,,
player,201409080crd,crd,FloyMi00,rec_yds,119,,,,,
player,201409080crd,crd,FloyMi00,rec_td,0,,,,,
player,201409080crd,crd,FloyMi00,rec_long,63,,,,,
player,201409080crd,crd,FloyMi00,fumbles,0,,,,,
player,201409080crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201409080crd,crd,GinnTe00,pass_cmp,0,,,,,
player,201409080crd,crd,GinnTe00,pass_att,0,,,,,
player,201409080crd,crd,GinnTe00,pass_yds,0,,,,,
player,201409080crd,crd,GinnTe00,pass_td,0,,,,,
player,201409080crd,crd,GinnTe00,pass_int,0,,,,,
player,201409080crd,crd,GinnTe00,pass_sacked,0,,,,,
player,201409080crd,crd,GinnTe00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,GinnTe00,pass_long,0,,,,,
player,201409080crd,crd,GinnTe00,pass_rating,,,,,,
player,201409080crd,crd,GinnTe00,rush_att,0,,,,,
player,201409080crd,crd,GinnTe00,rush_yds,0,,,,,
player,201409080crd,crd,GinnTe00,rush_td,0,,,,,
player,201409080crd,crd,GinnTe00,rush_long,0,,,,,
player,201409080crd,crd,GinnTe00,targets,3,,,,,
player,201409080crd,crd,GinnTe00,rec,2,,,,,
player,201409080crd,crd,GinnTe00,rec_yds,29,,,,,
player,201409080crd,crd,GinnTe00,rec_td,0,,,,,
player,201409080crd,crd,GinnTe00,rec_long,25,,,,,
player,201409080crd,crd,GinnTe00,fumbles,0,,,,,
player,201409080crd,crd,GinnTe00,fumbles_lost,0,,,,,
player,201409080crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201409080crd,crd,BrowJo02,pass_att,0,,,,,
player,201409080crd,crd,BrowJo02,pass_yds,0,,,,,
player,201409080crd,crd,BrowJo02,pass_td,0,,,,,
player,201409080crd,crd,BrowJo02,pass_int,0,,,,,
player,201409080crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201409080crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201409080crd,crd,BrowJo02,pass_long,0,,,,,
player,201409080crd,crd,BrowJo02,pass_rating,,,,,,
player,201409080crd,crd,BrowJo02,rush_att,0,,,,,
player,201409080crd,crd,BrowJo02,rush_yds,0,,,,,
player,201409080crd,crd,BrowJo02,rush_td,0,,,,,
player,201409080crd,crd,BrowJo02,rush_long,0,,,,,
player,201409080crd,crd,BrowJo02,targets,5,,,,,
player,201409080crd,crd,BrowJo02,rec,2,,,,,
player,201409080crd,crd,BrowJo02,rec_yds,29,,,,,
player,201409080crd,crd,BrowJo02,rec_td,1,,,,,
player,201409080crd,crd,BrowJo02,rec_long,16,,,,,
player,201409080crd,crd,BrowJo02,fumbles,0,,,,,
player,201409080crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201409080crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201409080crd,crd,FitzLa00,pass_att,0,,,,,
player,201409080crd,crd,FitzLa00,pass_yds,0,,,,,
player,201409080crd,crd,FitzLa00,pass_td,0,,,,,
player,201409080crd,crd,FitzLa00,pass_int,0,,,,,
player,201409080crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201409080crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,FitzLa00,pass_long,0,,,,,
player,201409080crd,crd,FitzLa00,pass_rating,,,,,,
player,201409080crd,crd,FitzLa00,rush_att,0,,,,,
player,201409080crd,crd,FitzLa00,rush_yds,0,,,,,
player,201409080crd,crd,FitzLa00,rush_td,0,,,,,
player,201409080crd,crd,FitzLa00,rush_long,0,,,,,
player,201409080crd,crd,FitzLa00,targets,4,,,,,
player,201409080crd,crd,FitzLa00,rec,1,,,,,
player,201409080crd,crd,FitzLa00,rec_yds,22,,,,,
player,201409080crd,crd,FitzLa00,rec_td,0,,,,,
player,201409080crd,crd,FitzLa00,rec_long,22,,,,,
player,201409080crd,crd,FitzLa00,fumbles,0,,,,,
player,201409080crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201409080crd,crd,CarlJo00,pass_cmp,0,,,,,
player,201409080crd,crd,CarlJo00,pass_att,0,,,,,
player,201409080crd,crd,CarlJo00,pass_yds,0,,,,,
player,201409080crd,crd,CarlJo00,pass_td,0,,,,,
player,201409080crd,crd,CarlJo00,pass_int,0,,,,,
player,201409080crd,crd,CarlJo00,pass_sacked,0,,,,,
player,201409080crd,crd,CarlJo00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,CarlJo00,pass_long,0,,,,,
player,201409080crd,crd,CarlJo00,pass_rating,,,,,,
player,201409080crd,crd,CarlJo00,rush_att,0,,,,,
player,201409080crd,crd,CarlJo00,rush_yds,0,,,,,
player,201409080crd,crd,CarlJo00,rush_td,0,,,,,
player,201409080crd,crd,CarlJo00,rush_long,0,,,,,
player,201409080crd,crd,CarlJo00,targets,1,,,,,
player,201409080crd,crd,CarlJo00,rec,1,,,,,
player,201409080crd,crd,CarlJo00,rec_yds,20,,,,,
player,201409080crd,crd,CarlJo00,rec_td,0,,,,,
player,201409080crd,crd,CarlJo00,rec_long,20,,,,,
player,201409080crd,crd,CarlJo00,fumbles,0,,,,,
player,201409080crd,crd,CarlJo00,fumbles_lost,0,,,,,
player,201409080crd,crd,HousRo01,pass_cmp,0,,,,,
player,201409080crd,crd,HousRo01,pass_att,0,,,,,
player,201409080crd,crd,HousRo01,pass_yds,0,,,,,
player,201409080crd,crd,HousRo01,pass_td,0,,,,,
player,201409080crd,crd,HousRo01,pass_int,0,,,,,
player,201409080crd,crd,HousRo01,pass_sacked,0,,,,,
player,201409080crd,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201409080crd,crd,HousRo01,pass_long,0,,,,,
player,201409080crd,crd,HousRo01,pass_rating,,,,,,
player,201409080crd,crd,HousRo01,rush_att,0,,,,,
player,201409080crd,crd,HousRo01,rush_yds,0,,,,,
player,201409080crd,crd,HousRo01,rush_td,0,,,,,
player,201409080crd,crd,HousRo01,rush_long,0,,,,,
player,201409080crd,crd,HousRo01,targets,3,,,,,
player,201409080crd,crd,HousRo01,rec,1,,,,,
player,201409080crd,crd,HousRo01,rec_yds,16,,,,,
player,201409080crd,crd,HousRo01,rec_td,0,,,,,
player,201409080crd,crd,HousRo01,rec_long,16,,,,,
player,201409080crd,crd,HousRo01,fumbles,0,,,,,
player,201409080crd,crd,HousRo01,fumbles_lost,0,,,,,
player,201409080crd,crd,HughRo00,pass_cmp,0,,,,,
player,201409080crd,crd,HughRo00,pass_att,0,,,,,
player,201409080crd,crd,HughRo00,pass_yds,0,,,,,
player,201409080crd,crd,HughRo00,pass_td,0,,,,,
player,201409080crd,crd,HughRo00,pass_int,0,,,,,
player,201409080crd,crd,HughRo00,pass_sacked,0,,,,,
player,201409080crd,crd,HughRo00,pass_sacked_yds,0,,,,,
player,201409080crd,crd,HughRo00,pass_long,0,,,,,
player,201409080crd,crd,HughRo00,pass_rating,,,,,,
player,201409080crd,crd,HughRo00,rush_att,0,,,,,
player,201409080crd,crd,HughRo00,rush_yds,0,,,,,
player,201409080crd,crd,HughRo00,rush_td,0,,,,,
player,201409080crd,crd,HughRo00,rush_long,0,,,,,
player,201409080crd,crd,HughRo00,targets,1,,,,,
player,201409080crd,crd,HughRo00,rec,1,,,,,
player,201409080crd,crd,HughRo00,rec_yds,7,,,,,
player,201409080crd,crd,HughRo00,rec_td,0,,,,,
player,201409080crd,crd,HughRo00,rec_long,7,,,,,
player,201409080crd,crd,HughRo00,fumbles,0,,,,,
player,201409080crd,crd,HughRo00,fumbles_lost,0,,,,,
player,201409080crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201409080crd,crd,BrowJa03,pass_att,0,,,,,
player,201409080crd,crd,BrowJa03,pass_yds,0,,,,,
player,201409080crd,crd,BrowJa03,pass_td,0,,,,,
player,201409080crd,crd,BrowJa03,pass_int,0,,,,,
player,201409080crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201409080crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201409080crd,crd,BrowJa03,pass_long,0,,,,,
player,201409080crd,crd,BrowJa03,pass_rating,,,,,,
player,201409080crd,crd,BrowJa03,rush_att,0,,,,,
player,201409080crd,crd,BrowJa03,rush_yds,0,,,,,
player,201409080crd,crd,BrowJa03,rush_td,0,,,,,
player,201409080crd,crd,BrowJa03,rush_long,0,,,,,
player,201409080crd,crd,BrowJa03,targets,1,,,,,
player,201409080crd,crd,BrowJa03,rec,1,,,,,
player,201409080crd,crd,BrowJa03,rec_yds,6,,,,,
player,201409080crd,crd,BrowJa03,rec_td,0,,,,,
player,201409080crd,crd,BrowJa03,rec_long,6,,,,,
player,201409080crd,crd,BrowJa03,fumbles,0,,,,,
player,201409080crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201409080crd,sdg,LiugCo00,def_int,0,,,,,
player,201409080crd,sdg,LiugCo00,def_int_yds,0,,,,,
player,201409080crd,sdg,LiugCo00,def_int_td,0,,,,,
player,201409080crd,sdg,LiugCo00,def_int_long,0,,,,,
player,201409080crd,sdg,LiugCo00,pass_defended,0,,,,,
player,201409080crd,sdg,LiugCo00,sacks,1.0,,,,,
