game,2014,12,20141123,201411230chi,tam,"Tampa Bay Buccaneers",13,chi,"Chicago Bears",21
player,201411230chi,tam,SefeAu00,rec_long,11,,,,,
player,201411230chi,tam,SefeAu00,fumbles,0,,,,,
player,201411230chi,tam,SefeAu00,fumbles_lost,0,,,,,
player,201411230chi,tam,MyerBr00,pass_cmp,0,,,,,
player,201411230chi,tam,MyerBr00,pass_att,0,,,,,
player,201411230chi,tam,MyerBr00,pass_yds,0,,,,,
player,201411230chi,tam,MyerBr00,pass_td,0,,,,,
player,201411230chi,tam,MyerBr00,pass_int,0,,,,,
player,201411230chi,tam,MyerBr00,pass_sacked,0,,,,,
player,201411230chi,tam,MyerBr00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,MyerBr00,pass_long,0,,,,,
player,201411230chi,tam,MyerBr00,pass_rating,,,,,,
player,201411230chi,tam,MyerBr00,rush_att,0,,,,,
player,201411230chi,tam,MyerBr00,rush_yds,0,,,,,
player,201411230chi,tam,MyerBr00,rush_td,0,,,,,
player,201411230chi,tam,MyerBr00,rush_long,0,,,,,
player,201411230chi,tam,MyerBr00,targets,1,,,,,
player,201411230chi,tam,MyerBr00,rec,1,,,,,
player,201411230chi,tam,MyerBr00,rec_yds,9,,,,,
player,201411230chi,tam,MyerBr00,rec_td,0,,,,,
player,201411230chi,tam,MyerBr00,rec_long,9,,,,,
player,201411230chi,tam,MyerBr00,fumbles,0,,,,,
player,201411230chi,tam,MyerBr00,fumbles_lost,0,,,,,
player,201411230chi,tam,StocLu00,pass_cmp,0,,,,,
player,201411230chi,tam,StocLu00,pass_att,0,,,,,
player,201411230chi,tam,StocLu00,pass_yds,0,,,,,
player,201411230chi,tam,StocLu00,pass_td,0,,,,,
player,201411230chi,tam,StocLu00,pass_int,0,,,,,
player,201411230chi,tam,StocLu00,pass_sacked,0,,,,,
player,201411230chi,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,StocLu00,pass_long,0,,,,,
player,201411230chi,tam,StocLu00,pass_rating,,,,,,
player,201411230chi,tam,StocLu00,rush_att,0,,,,,
player,201411230chi,tam,StocLu00,rush_yds,0,,,,,
player,201411230chi,tam,StocLu00,rush_td,0,,,,,
player,201411230chi,tam,StocLu00,rush_long,0,,,,,
player,201411230chi,tam,StocLu00,targets,2,,,,,
player,201411230chi,tam,StocLu00,rec,1,,,,,
player,201411230chi,tam,StocLu00,rec_yds,6,,,,,
player,201411230chi,tam,StocLu00,rec_td,0,,,,,
player,201411230chi,tam,StocLu00,rec_long,6,,,,,
player,201411230chi,tam,StocLu00,fumbles,0,,,,,
player,201411230chi,tam,StocLu00,fumbles_lost,0,,,,,
player,201411230chi,chi,CutlJa00,pass_cmp,17,,,,,
player,201411230chi,chi,CutlJa00,pass_att,27,,,,,
player,201411230chi,chi,CutlJa00,pass_yds,130,,,,,
player,201411230chi,chi,CutlJa00,pass_td,1,,,,,
player,201411230chi,chi,CutlJa00,pass_int,0,,,,,
player,201411230chi,chi,CutlJa00,pass_sacked,3,,,,,
player,201411230chi,chi,CutlJa00,pass_sacked_yds,18,,,,,
player,201411230chi,chi,CutlJa00,pass_long,26,,,,,
player,201411230chi,chi,CutlJa00,pass_rating,87.0,,,,,
player,201411230chi,chi,CutlJa00,rush_att,0,,,,,
player,201411230chi,chi,CutlJa00,rush_yds,0,,,,,
player,201411230chi,chi,CutlJa00,rush_td,0,,,,,
player,201411230chi,chi,CutlJa00,rush_long,0,,,,,
player,201411230chi,chi,CutlJa00,targets,0,,,,,
player,201411230chi,chi,CutlJa00,rec,0,,,,,
player,201411230chi,chi,CutlJa00,rec_yds,0,,,,,
player,201411230chi,chi,CutlJa00,rec_td,0,,,,,
player,201411230chi,chi,CutlJa00,rec_long,0,,,,,
player,201411230chi,chi,CutlJa00,fumbles,1,,,,,
player,201411230chi,chi,CutlJa00,fumbles_lost,1,,,,,
player,201411230chi,chi,FortMa00,pass_cmp,0,,,,,
player,201411230chi,chi,FortMa00,pass_att,0,,,,,
player,201411230chi,chi,FortMa00,pass_yds,0,,,,,
player,201411230chi,chi,FortMa00,pass_td,0,,,,,
player,201411230chi,chi,FortMa00,pass_int,0,,,,,
player,201411230chi,chi,FortMa00,pass_sacked,0,,,,,
player,201411230chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,FortMa00,pass_long,0,,,,,
player,201411230chi,chi,FortMa00,pass_rating,,,,,,
player,201411230chi,chi,FortMa00,rush_att,23,,,,,
player,201411230chi,chi,FortMa00,rush_yds,89,,,,,
player,201411230chi,chi,FortMa00,rush_td,2,,,,,
player,201411230chi,chi,FortMa00,rush_long,13,,,,,
player,201411230chi,chi,FortMa00,targets,6,,,,,
player,201411230chi,chi,FortMa00,rec,5,,,,,
player,201411230chi,chi,FortMa00,rec_yds,23,,,,,
player,201411230chi,chi,FortMa00,rec_td,0,,,,,
player,201411230chi,chi,FortMa00,rec_long,9,,,,,
player,201411230chi,chi,FortMa00,fumbles,0,,,,,
player,201411230chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201411230chi,chi,CareKa00,pass_cmp,0,,,,,
player,201411230chi,chi,CareKa00,pass_att,0,,,,,
player,201411230chi,chi,CareKa00,pass_yds,0,,,,,
