game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,den,WelkWe00,pass_yds,0,,,,,
player,201411300kan,den,WelkWe00,pass_td,0,,,,,
player,201411300kan,den,WelkWe00,pass_int,0,,,,,
player,201411300kan,den,WelkWe00,pass_sacked,0,,,,,
player,201411300kan,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201411300kan,den,WelkWe00,pass_long,0,,,,,
player,201411300kan,den,WelkWe00,pass_rating,,,,,,
player,201411300kan,den,WelkWe00,rush_att,0,,,,,
player,201411300kan,den,WelkWe00,rush_yds,0,,,,,
player,201411300kan,den,WelkWe00,rush_td,0,,,,,
player,201411300kan,den,WelkWe00,rush_long,0,,,,,
player,201411300kan,den,WelkWe00,targets,2,,,,,
player,201411300kan,den,WelkWe00,rec,1,,,,,
player,201411300kan,den,WelkWe00,rec_yds,12,,,,,
player,201411300kan,den,WelkWe00,rec_td,0,,,,,
player,201411300kan,den,WelkWe00,rec_long,12,,,,,
player,201411300kan,den,WelkWe00,fumbles,0,,,,,
player,201411300kan,den,WelkWe00,fumbles_lost,0,,,,,
player,201411300kan,den,GreeVi00,pass_cmp,0,,,,,
player,201411300kan,den,GreeVi00,pass_att,0,,,,,
player,201411300kan,den,GreeVi00,pass_yds,0,,,,,
player,201411300kan,den,GreeVi00,pass_td,0,,,,,
player,201411300kan,den,GreeVi00,pass_int,0,,,,,
player,201411300kan,den,GreeVi00,pass_sacked,0,,,,,
player,201411300kan,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201411300kan,den,GreeVi00,pass_long,0,,,,,
player,201411300kan,den,GreeVi00,pass_rating,,,,,,
player,201411300kan,den,GreeVi00,rush_att,0,,,,,
player,201411300kan,den,GreeVi00,rush_yds,0,,,,,
player,201411300kan,den,GreeVi00,rush_td,0,,,,,
player,201411300kan,den,GreeVi00,rush_long,0,,,,,
player,201411300kan,den,GreeVi00,targets,1,,,,,
player,201411300kan,den,GreeVi00,rec,1,,,,,
player,201411300kan,den,GreeVi00,rec_yds,10,,,,,
player,201411300kan,den,GreeVi00,rec_td,0,,,,,
player,201411300kan,den,GreeVi00,rec_long,10,,,,,
player,201411300kan,den,GreeVi00,fumbles,0,,,,,
player,201411300kan,den,GreeVi00,fumbles_lost,0,,,,,
player,201411300kan,den,TammJa00,pass_cmp,0,,,,,
player,201411300kan,den,TammJa00,pass_att,0,,,,,
player,201411300kan,den,TammJa00,pass_yds,0,,,,,
player,201411300kan,den,TammJa00,pass_td,0,,,,,
player,201411300kan,den,TammJa00,pass_int,0,,,,,
player,201411300kan,den,TammJa00,pass_sacked,0,,,,,
player,201411300kan,den,TammJa00,pass_sacked_yds,0,,,,,
player,201411300kan,den,TammJa00,pass_long,0,,,,,
player,201411300kan,den,TammJa00,pass_rating,,,,,,
player,201411300kan,den,TammJa00,rush_att,0,,,,,
player,201411300kan,den,TammJa00,rush_yds,0,,,,,
player,201411300kan,den,TammJa00,rush_td,0,,,,,
player,201411300kan,den,TammJa00,rush_long,0,,,,,
player,201411300kan,den,TammJa00,targets,2,,,,,
player,201411300kan,den,TammJa00,rec,1,,,,,
player,201411300kan,den,TammJa00,rec_yds,4,,,,,
player,201411300kan,den,TammJa00,rec_td,0,,,,,
player,201411300kan,den,TammJa00,rec_long,4,,,,,
player,201411300kan,den,TammJa00,fumbles,0,,,,,
player,201411300kan,den,TammJa00,fumbles_lost,0,,,,,
player,201411300kan,den,LatiCo00,pass_cmp,0,,,,,
player,201411300kan,den,LatiCo00,pass_att,0,,,,,
player,201411300kan,den,LatiCo00,pass_yds,0,,,,,
player,201411300kan,den,LatiCo00,pass_td,0,,,,,
player,201411300kan,den,LatiCo00,pass_int,0,,,,,
player,201411300kan,den,LatiCo00,pass_sacked,0,,,,,
player,201411300kan,den,LatiCo00,pass_sacked_yds,0,,,,,
player,201411300kan,den,LatiCo00,pass_long,0,,,,,
player,201411300kan,den,LatiCo00,pass_rating,,,,,,
player,201411300kan,den,LatiCo00,rush_att,0,,,,,
player,201411300kan,den,LatiCo00,rush_yds,0,,,,,
player,201411300kan,den,LatiCo00,rush_td,0,,,,,
player,201411300kan,den,LatiCo00,rush_long,0,,,,,
player,201411300kan,den,LatiCo00,targets,1,,,,,
player,201411300kan,den,LatiCo00,rec,0,,,,,
player,201411300kan,den,LatiCo00,rec_yds,0,,,,,
player,201411300kan,den,LatiCo00,rec_td,0,,,,,
player,201411300kan,den,LatiCo00,rec_long,0,,,,,
player,201411300kan,den,LatiCo00,fumbles,0,,,,,
player,201411300kan,den,LatiCo00,fumbles_lost,0,,,,,
player,201411300kan,den,CaldAn00,pass_cmp,0,,,,,
player,201411300kan,den,CaldAn00,pass_att,0,,,,,
player,201411300kan,den,CaldAn00,pass_yds,0,,,,,
player,201411300kan,den,CaldAn00,pass_td,0,,,,,
player,201411300kan,den,CaldAn00,pass_int,0,,,,,
player,201411300kan,den,CaldAn00,pass_sacked,0,,,,,
player,201411300kan,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201411300kan,den,CaldAn00,pass_long,0,,,,,
player,201411300kan,den,CaldAn00,pass_rating,,,,,,
player,201411300kan,den,CaldAn00,rush_att,0,,,,,
player,201411300kan,den,CaldAn00,rush_yds,0,,,,,
player,201411300kan,den,CaldAn00,rush_td,0,,,,,
player,201411300kan,den,CaldAn00,rush_long,0,,,,,
player,201411300kan,den,CaldAn00,targets,1,,,,,
player,201411300kan,den,CaldAn00,rec,0,,,,,
player,201411300kan,den,CaldAn00,rec_yds,0,,,,,
player,201411300kan,den,CaldAn00,rec_td,0,,,,,
player,201411300kan,den,CaldAn00,rec_long,0,,,,,
player,201411300kan,den,CaldAn00,fumbles,0,,,,,
player,201411300kan,den,CaldAn00,fumbles_lost,0,,,,,
player,201411300kan,kan,SmitAl03,pass_cmp,15,,,,,
player,201411300kan,kan,SmitAl03,pass_att,23,,,,,
player,201411300kan,kan,SmitAl03,pass_yds,153,,,,,
player,201411300kan,kan,SmitAl03,pass_td,2,,,,,
