game,2014,8,20141026,201410260crd,phi,"Philadelphia Eagles",20,crd,"Arizona Cardinals",24
player,201410260crd,phi,MaehJe00,pass_att,0,,,,,
player,201410260crd,phi,MaehJe00,pass_yds,0,,,,,
player,201410260crd,phi,MaehJe00,pass_td,0,,,,,
player,201410260crd,phi,MaehJe00,pass_int,0,,,,,
player,201410260crd,phi,MaehJe00,pass_sacked,0,,,,,
player,201410260crd,phi,MaehJe00,pass_sacked_yds,0,,,,,
player,201410260crd,phi,MaehJe00,pass_long,0,,,,,
player,201410260crd,phi,MaehJe00,pass_rating,,,,,,
player,201410260crd,phi,MaehJe00,rush_att,0,,,,,
player,201410260crd,phi,MaehJe00,rush_yds,0,,,,,
player,201410260crd,phi,MaehJe00,rush_td,0,,,,,
player,201410260crd,phi,MaehJe00,rush_long,0,,,,,
player,201410260crd,phi,MaehJe00,targets,1,,,,,
player,201410260crd,phi,MaehJe00,rec,1,,,,,
player,201410260crd,phi,MaehJe00,rec_yds,6,,,,,
player,201410260crd,phi,MaehJe00,rec_td,0,,,,,
player,201410260crd,phi,MaehJe00,rec_long,6,,,,,
player,201410260crd,phi,MaehJe00,fumbles,0,,,,,
player,201410260crd,phi,MaehJe00,fumbles_lost,0,,,,,
player,201410260crd,crd,PalmCa00,pass_cmp,20,,,,,
player,201410260crd,crd,PalmCa00,pass_att,42,,,,,
player,201410260crd,crd,PalmCa00,pass_yds,329,,,,,
player,201410260crd,crd,PalmCa00,pass_td,2,,,,,
player,201410260crd,crd,PalmCa00,pass_int,0,,,,,
player,201410260crd,crd,PalmCa00,pass_sacked,0,,,,,
player,201410260crd,crd,PalmCa00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,PalmCa00,pass_long,80,,,,,
player,201410260crd,crd,PalmCa00,pass_rating,90.3,,,,,
player,201410260crd,crd,PalmCa00,rush_att,0,,,,,
player,201410260crd,crd,PalmCa00,rush_yds,0,,,,,
player,201410260crd,crd,PalmCa00,rush_td,0,,,,,
player,201410260crd,crd,PalmCa00,rush_long,0,,,,,
player,201410260crd,crd,PalmCa00,targets,0,,,,,
player,201410260crd,crd,PalmCa00,rec,0,,,,,
player,201410260crd,crd,PalmCa00,rec_yds,0,,,,,
player,201410260crd,crd,PalmCa00,rec_td,0,,,,,
player,201410260crd,crd,PalmCa00,rec_long,0,,,,,
player,201410260crd,crd,PalmCa00,fumbles,0,,,,,
player,201410260crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201410260crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201410260crd,crd,ElliAn00,pass_att,0,,,,,
player,201410260crd,crd,ElliAn00,pass_yds,0,,,,,
player,201410260crd,crd,ElliAn00,pass_td,0,,,,,
player,201410260crd,crd,ElliAn00,pass_int,0,,,,,
player,201410260crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201410260crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,ElliAn00,pass_long,0,,,,,
player,201410260crd,crd,ElliAn00,pass_rating,,,,,,
player,201410260crd,crd,ElliAn00,rush_att,23,,,,,
player,201410260crd,crd,ElliAn00,rush_yds,71,,,,,
player,201410260crd,crd,ElliAn00,rush_td,1,,,,,
player,201410260crd,crd,ElliAn00,rush_long,21,,,,,
player,201410260crd,crd,ElliAn00,targets,6,,,,,
player,201410260crd,crd,ElliAn00,rec,3,,,,,
player,201410260crd,crd,ElliAn00,rec_yds,14,,,,,
player,201410260crd,crd,ElliAn00,rec_td,0,,,,,
player,201410260crd,crd,ElliAn00,rec_long,7,,,,,
player,201410260crd,crd,ElliAn00,fumbles,1,,,,,
player,201410260crd,crd,ElliAn00,fumbles_lost,1,,,,,
player,201410260crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201410260crd,crd,FitzLa00,pass_att,0,,,,,
player,201410260crd,crd,FitzLa00,pass_yds,0,,,,,
player,201410260crd,crd,FitzLa00,pass_td,0,,,,,
player,201410260crd,crd,FitzLa00,pass_int,0,,,,,
player,201410260crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201410260crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,FitzLa00,pass_long,0,,,,,
player,201410260crd,crd,FitzLa00,pass_rating,,,,,,
player,201410260crd,crd,FitzLa00,rush_att,0,,,,,
player,201410260crd,crd,FitzLa00,rush_yds,0,,,,,
player,201410260crd,crd,FitzLa00,rush_td,0,,,,,
player,201410260crd,crd,FitzLa00,rush_long,0,,,,,
player,201410260crd,crd,FitzLa00,targets,10,,,,,
player,201410260crd,crd,FitzLa00,rec,7,,,,,
player,201410260crd,crd,FitzLa00,rec_yds,160,,,,,
player,201410260crd,crd,FitzLa00,rec_td,1,,,,,
player,201410260crd,crd,FitzLa00,rec_long,80,,,,,
player,201410260crd,crd,FitzLa00,fumbles,0,,,,,
player,201410260crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201410260crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201410260crd,crd,BrowJo02,pass_att,0,,,,,
player,201410260crd,crd,BrowJo02,pass_yds,0,,,,,
player,201410260crd,crd,BrowJo02,pass_td,0,,,,,
player,201410260crd,crd,BrowJo02,pass_int,0,,,,,
player,201410260crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201410260crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201410260crd,crd,BrowJo02,pass_long,0,,,,,
player,201410260crd,crd,BrowJo02,pass_rating,,,,,,
player,201410260crd,crd,BrowJo02,rush_att,0,,,,,
player,201410260crd,crd,BrowJo02,rush_yds,0,,,,,
player,201410260crd,crd,BrowJo02,rush_td,0,,,,,
player,201410260crd,crd,BrowJo02,rush_long,0,,,,,
player,201410260crd,crd,BrowJo02,targets,10,,,,,
player,201410260crd,crd,BrowJo02,rec,5,,,,,
player,201410260crd,crd,BrowJo02,rec_yds,119,,,,,
player,201410260crd,crd,BrowJo02,rec_td,1,,,,,
player,201410260crd,crd,BrowJo02,rec_long,75,,,,,
player,201410260crd,crd,BrowJo02,fumbles,0,,,,,
player,201410260crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201410260crd,crd,CarlJo00,pass_cmp,0,,,,,
player,201410260crd,crd,CarlJo00,pass_att,0,,,,,
player,201410260crd,crd,CarlJo00,pass_yds,0,,,,,
player,201410260crd,crd,CarlJo00,pass_td,0,,,,,
player,201410260crd,crd,CarlJo00,pass_int,0,,,,,
player,201410260crd,crd,CarlJo00,pass_sacked,0,,,,,
player,201410260crd,crd,CarlJo00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,CarlJo00,pass_long,0,,,,,
player,201410260crd,crd,CarlJo00,pass_rating,,,,,,
player,201410260crd,crd,CarlJo00,rush_att,0,,,,,
player,201410260crd,crd,CarlJo00,rush_yds,0,,,,,
player,201410260crd,crd,CarlJo00,rush_td,0,,,,,
player,201410260crd,crd,CarlJo00,rush_long,0,,,,,
player,201410260crd,crd,CarlJo00,targets,6,,,,,
player,201410260crd,crd,CarlJo00,rec,2,,,,,
player,201410260crd,crd,CarlJo00,rec_yds,16,,,,,
player,201410260crd,crd,CarlJo00,rec_td,0,,,,,
player,201410260crd,crd,CarlJo00,rec_long,12,,,,,
player,201410260crd,crd,CarlJo00,fumbles,0,,,,,
player,201410260crd,crd,CarlJo00,fumbles_lost,0,,,,,
player,201410260crd,crd,HughRo00,pass_cmp,0,,,,,
player,201410260crd,crd,HughRo00,pass_att,0,,,,,
player,201410260crd,crd,HughRo00,pass_yds,0,,,,,
player,201410260crd,crd,HughRo00,pass_td,0,,,,,
player,201410260crd,crd,HughRo00,pass_int,0,,,,,
player,201410260crd,crd,HughRo00,pass_sacked,0,,,,,
player,201410260crd,crd,HughRo00,pass_sacked_yds,0,,,,,
player,201410260crd,crd,HughRo00,pass_long,0,,,,,
player,201410260crd,crd,HughRo00,pass_rating,,,,,,
player,201410260crd,crd,HughRo00,rush_att,0,,,,,
player,201410260crd,crd,HughRo00,rush_yds,0,,,,,
player,201410260crd,crd,HughRo00,rush_td,0,,,,,
player,201410260crd,crd,HughRo00,rush_long,0,,,,,
player,201410260crd,crd,HughRo00,targets,2,,,,,
player,201410260crd,crd,HughRo00,rec,2,,,,,
player,201410260crd,crd,HughRo00,rec_yds,13,,,,,
player,201410260crd,crd,HughRo00,rec_td,0,,,,,
