game,2014,16,20141221,201412210dal,clt,"Indianapolis Colts",7,dal,"Dallas Cowboys",42
player,201412210dal,clt,HassMa00,pass_sacked,2,,,,,
player,201412210dal,clt,HassMa00,pass_sacked_yds,7,,,,,
player,201412210dal,clt,HassMa00,pass_long,21,,,,,
player,201412210dal,clt,HassMa00,pass_rating,102.5,,,,,
player,201412210dal,clt,HassMa00,rush_att,0,,,,,
player,201412210dal,clt,HassMa00,rush_yds,0,,,,,
player,201412210dal,clt,HassMa00,rush_td,0,,,,,
player,201412210dal,clt,HassMa00,rush_long,0,,,,,
player,201412210dal,clt,HassMa00,targets,0,,,,,
player,201412210dal,clt,HassMa00,rec,0,,,,,
player,201412210dal,clt,HassMa00,rec_yds,0,,,,,
player,201412210dal,clt,HassMa00,rec_td,0,,,,,
player,201412210dal,clt,HassMa00,rec_long,0,,,,,
player,201412210dal,clt,HassMa00,fumbles,1,,,,,
player,201412210dal,clt,HassMa00,fumbles_lost,1,,,,,
player,201412210dal,clt,McAfPa44,pass_cmp,0,,,,,
player,201412210dal,clt,McAfPa44,pass_att,1,,,,,
player,201412210dal,clt,McAfPa44,pass_yds,0,,,,,
player,201412210dal,clt,McAfPa44,pass_td,0,,,,,
player,201412210dal,clt,McAfPa44,pass_int,0,,,,,
player,201412210dal,clt,McAfPa44,pass_sacked,0,,,,,
player,201412210dal,clt,McAfPa44,pass_sacked_yds,0,,,,,
player,201412210dal,clt,McAfPa44,pass_long,0,,,,,
player,201412210dal,clt,McAfPa44,pass_rating,39.6,,,,,
player,201412210dal,clt,McAfPa44,rush_att,0,,,,,
player,201412210dal,clt,McAfPa44,rush_yds,0,,,,,
player,201412210dal,clt,McAfPa44,rush_td,0,,,,,
player,201412210dal,clt,McAfPa44,rush_long,0,,,,,
player,201412210dal,clt,McAfPa44,targets,0,,,,,
player,201412210dal,clt,McAfPa44,rec,0,,,,,
player,201412210dal,clt,McAfPa44,rec_yds,0,,,,,
player,201412210dal,clt,McAfPa44,rec_td,0,,,,,
player,201412210dal,clt,McAfPa44,rec_long,0,,,,,
player,201412210dal,clt,McAfPa44,fumbles,0,,,,,
player,201412210dal,clt,McAfPa44,fumbles_lost,0,,,,,
player,201412210dal,clt,HerrDa00,pass_cmp,0,,,,,
player,201412210dal,clt,HerrDa00,pass_att,0,,,,,
player,201412210dal,clt,HerrDa00,pass_yds,0,,,,,
player,201412210dal,clt,HerrDa00,pass_td,0,,,,,
player,201412210dal,clt,HerrDa00,pass_int,0,,,,,
player,201412210dal,clt,HerrDa00,pass_sacked,0,,,,,
player,201412210dal,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,HerrDa00,pass_long,0,,,,,
player,201412210dal,clt,HerrDa00,pass_rating,,,,,,
player,201412210dal,clt,HerrDa00,rush_att,7,,,,,
player,201412210dal,clt,HerrDa00,rush_yds,3,,,,,
player,201412210dal,clt,HerrDa00,rush_td,0,,,,,
player,201412210dal,clt,HerrDa00,rush_long,4,,,,,
player,201412210dal,clt,HerrDa00,targets,4,,,,,
player,201412210dal,clt,HerrDa00,rec,3,,,,,
player,201412210dal,clt,HerrDa00,rec_yds,37,,,,,
player,201412210dal,clt,HerrDa00,rec_td,0,,,,,
player,201412210dal,clt,HerrDa00,rec_long,22,,,,,
player,201412210dal,clt,HerrDa00,fumbles,0,,,,,
player,201412210dal,clt,HerrDa00,fumbles_lost,0,,,,,
player,201412210dal,clt,RichTr00,pass_cmp,0,,,,,
player,201412210dal,clt,RichTr00,pass_att,0,,,,,
player,201412210dal,clt,RichTr00,pass_yds,0,,,,,
player,201412210dal,clt,RichTr00,pass_td,0,,,,,
player,201412210dal,clt,RichTr00,pass_int,0,,,,,
player,201412210dal,clt,RichTr00,pass_sacked,0,,,,,
player,201412210dal,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,RichTr00,pass_long,0,,,,,
player,201412210dal,clt,RichTr00,pass_rating,,,,,,
player,201412210dal,clt,RichTr00,rush_att,2,,,,,
player,201412210dal,clt,RichTr00,rush_yds,1,,,,,
player,201412210dal,clt,RichTr00,rush_td,0,,,,,
player,201412210dal,clt,RichTr00,rush_long,3,,,,,
player,201412210dal,clt,RichTr00,targets,2,,,,,
player,201412210dal,clt,RichTr00,rec,2,,,,,
player,201412210dal,clt,RichTr00,rec_yds,8,,,,,
player,201412210dal,clt,RichTr00,rec_td,0,,,,,
player,201412210dal,clt,RichTr00,rec_long,9,,,,,
player,201412210dal,clt,RichTr00,fumbles,0,,,,,
player,201412210dal,clt,RichTr00,fumbles_lost,0,,,,,
player,201412210dal,clt,NickHa01,pass_cmp,0,,,,,
player,201412210dal,clt,NickHa01,pass_att,0,,,,,
player,201412210dal,clt,NickHa01,pass_yds,0,,,,,
player,201412210dal,clt,NickHa01,pass_td,0,,,,,
player,201412210dal,clt,NickHa01,pass_int,0,,,,,
player,201412210dal,clt,NickHa01,pass_sacked,0,,,,,
player,201412210dal,clt,NickHa01,pass_sacked_yds,0,,,,,
player,201412210dal,clt,NickHa01,pass_long,0,,,,,
player,201412210dal,clt,NickHa01,pass_rating,,,,,,
player,201412210dal,clt,NickHa01,rush_att,0,,,,,
player,201412210dal,clt,NickHa01,rush_yds,0,,,,,
player,201412210dal,clt,NickHa01,rush_td,0,,,,,
player,201412210dal,clt,NickHa01,rush_long,0,,,,,
player,201412210dal,clt,NickHa01,targets,11,,,,,
player,201412210dal,clt,NickHa01,rec,9,,,,,
player,201412210dal,clt,NickHa01,rec_yds,72,,,,,
player,201412210dal,clt,NickHa01,rec_td,0,,,,,
player,201412210dal,clt,NickHa01,rec_long,21,,,,,
player,201412210dal,clt,NickHa01,fumbles,0,,,,,
player,201412210dal,clt,NickHa01,fumbles_lost,0,,,,,
player,201412210dal,clt,FleeCo00,pass_cmp,0,,,,,
player,201412210dal,clt,FleeCo00,pass_att,0,,,,,
player,201412210dal,clt,FleeCo00,pass_yds,0,,,,,
player,201412210dal,clt,FleeCo00,pass_td,0,,,,,
player,201412210dal,clt,FleeCo00,pass_int,0,,,,,
player,201412210dal,clt,FleeCo00,pass_sacked,0,,,,,
player,201412210dal,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,FleeCo00,pass_long,0,,,,,
player,201412210dal,clt,FleeCo00,pass_rating,,,,,,
player,201412210dal,clt,FleeCo00,rush_att,0,,,,,
player,201412210dal,clt,FleeCo00,rush_yds,0,,,,,
player,201412210dal,clt,FleeCo00,rush_td,0,,,,,
player,201412210dal,clt,FleeCo00,rush_long,0,,,,,
player,201412210dal,clt,FleeCo00,targets,7,,,,,
player,201412210dal,clt,FleeCo00,rec,4,,,,,
player,201412210dal,clt,FleeCo00,rec_yds,36,,,,,
player,201412210dal,clt,FleeCo00,rec_td,0,,,,,
player,201412210dal,clt,FleeCo00,rec_long,17,,,,,
player,201412210dal,clt,FleeCo00,fumbles,0,,,,,
player,201412210dal,clt,FleeCo00,fumbles_lost,0,,,,,
player,201412210dal,clt,DoylJa00,pass_cmp,0,,,,,
player,201412210dal,clt,DoylJa00,pass_att,0,,,,,
player,201412210dal,clt,DoylJa00,pass_yds,0,,,,,
player,201412210dal,clt,DoylJa00,pass_td,0,,,,,
player,201412210dal,clt,DoylJa00,pass_int,0,,,,,
player,201412210dal,clt,DoylJa00,pass_sacked,0,,,,,
player,201412210dal,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,DoylJa00,pass_long,0,,,,,
player,201412210dal,clt,DoylJa00,pass_rating,,,,,,
player,201412210dal,clt,DoylJa00,rush_att,0,,,,,
player,201412210dal,clt,DoylJa00,rush_yds,0,,,,,
player,201412210dal,clt,DoylJa00,rush_td,0,,,,,
player,201412210dal,clt,DoylJa00,rush_long,0,,,,,
player,201412210dal,clt,DoylJa00,targets,3,,,,,
player,201412210dal,clt,DoylJa00,rec,2,,,,,
player,201412210dal,clt,DoylJa00,rec_yds,23,,,,,
player,201412210dal,clt,DoylJa00,rec_td,0,,,,,
player,201412210dal,clt,DoylJa00,rec_long,13,,,,,
player,201412210dal,clt,DoylJa00,fumbles,0,,,,,
player,201412210dal,clt,DoylJa00,fumbles_lost,0,,,,,
player,201412210dal,clt,WaynRe00,pass_cmp,0,,,,,
player,201412210dal,clt,WaynRe00,pass_att,0,,,,,
player,201412210dal,clt,WaynRe00,pass_yds,0,,,,,
player,201412210dal,clt,WaynRe00,pass_td,0,,,,,
player,201412210dal,clt,WaynRe00,pass_int,0,,,,,
player,201412210dal,clt,WaynRe00,pass_sacked,0,,,,,
player,201412210dal,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,WaynRe00,pass_long,0,,,,,
player,201412210dal,clt,WaynRe00,pass_rating,,,,,,
player,201412210dal,clt,WaynRe00,rush_att,0,,,,,
player,201412210dal,clt,WaynRe00,rush_yds,0,,,,,
player,201412210dal,clt,WaynRe00,rush_td,0,,,,,
player,201412210dal,clt,WaynRe00,rush_long,0,,,,,
player,201412210dal,clt,WaynRe00,targets,5,,,,,
player,201412210dal,clt,WaynRe00,rec,3,,,,,
player,201412210dal,clt,WaynRe00,rec_yds,23,,,,,
player,201412210dal,clt,WaynRe00,rec_td,0,,,,,
player,201412210dal,clt,WaynRe00,rec_long,11,,,,,
player,201412210dal,clt,WaynRe00,fumbles,0,,,,,
player,201412210dal,clt,WaynRe00,fumbles_lost,0,,,,,
player,201412210dal,clt,CribJo01,pass_cmp,0,,,,,
player,201412210dal,clt,CribJo01,pass_att,0,,,,,
player,201412210dal,clt,CribJo01,pass_yds,0,,,,,
player,201412210dal,clt,CribJo01,pass_td,0,,,,,
player,201412210dal,clt,CribJo01,pass_int,0,,,,,
player,201412210dal,clt,CribJo01,pass_sacked,0,,,,,
player,201412210dal,clt,CribJo01,pass_sacked_yds,0,,,,,
player,201412210dal,clt,CribJo01,pass_long,0,,,,,
player,201412210dal,clt,CribJo01,pass_rating,,,,,,
player,201412210dal,clt,CribJo01,rush_att,0,,,,,
player,201412210dal,clt,CribJo01,rush_yds,0,,,,,
player,201412210dal,clt,CribJo01,rush_td,0,,,,,
player,201412210dal,clt,CribJo01,rush_long,0,,,,,
player,201412210dal,clt,CribJo01,targets,1,,,,,
player,201412210dal,clt,CribJo01,rec,1,,,,,
player,201412210dal,clt,CribJo01,rec_yds,8,,,,,
player,201412210dal,clt,CribJo01,rec_td,0,,,,,
player,201412210dal,clt,CribJo01,rec_long,8,,,,,
player,201412210dal,clt,CribJo01,fumbles,0,,,,,
player,201412210dal,clt,CribJo01,fumbles_lost,0,,,,,
player,201412210dal,clt,MoncDo00,pass_cmp,0,,,,,
player,201412210dal,clt,MoncDo00,pass_att,0,,,,,
player,201412210dal,clt,MoncDo00,pass_yds,0,,,,,
player,201412210dal,clt,MoncDo00,pass_td,0,,,,,
player,201412210dal,clt,MoncDo00,pass_int,0,,,,,
player,201412210dal,clt,MoncDo00,pass_sacked,0,,,,,
player,201412210dal,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,MoncDo00,pass_long,0,,,,,
player,201412210dal,clt,MoncDo00,pass_rating,,,,,,
player,201412210dal,clt,MoncDo00,rush_att,0,,,,,
player,201412210dal,clt,MoncDo00,rush_yds,0,,,,,
player,201412210dal,clt,MoncDo00,rush_td,0,,,,,
player,201412210dal,clt,MoncDo00,rush_long,0,,,,,
player,201412210dal,clt,MoncDo00,targets,3,,,,,
player,201412210dal,clt,MoncDo00,rec,2,,,,,
player,201412210dal,clt,MoncDo00,rec_yds,5,,,,,
player,201412210dal,clt,MoncDo00,rec_td,0,,,,,
player,201412210dal,clt,MoncDo00,rec_long,5,,,,,
player,201412210dal,clt,MoncDo00,fumbles,0,,,,,
player,201412210dal,clt,MoncDo00,fumbles_lost,0,,,,,
player,201412210dal,clt,AlleDw00,pass_cmp,0,,,,,
player,201412210dal,clt,AlleDw00,pass_att,0,,,,,
player,201412210dal,clt,AlleDw00,pass_yds,0,,,,,
player,201412210dal,clt,AlleDw00,pass_td,0,,,,,
player,201412210dal,clt,AlleDw00,pass_int,0,,,,,
player,201412210dal,clt,AlleDw00,pass_sacked,0,,,,,
player,201412210dal,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,AlleDw00,pass_long,0,,,,,
player,201412210dal,clt,AlleDw00,pass_rating,,,,,,
player,201412210dal,clt,AlleDw00,rush_att,0,,,,,
player,201412210dal,clt,AlleDw00,rush_yds,0,,,,,
player,201412210dal,clt,AlleDw00,rush_td,0,,,,,
player,201412210dal,clt,AlleDw00,rush_long,0,,,,,
player,201412210dal,clt,AlleDw00,targets,3,,,,,
player,201412210dal,clt,AlleDw00,rec,0,,,,,
player,201412210dal,clt,AlleDw00,rec_yds,0,,,,,
player,201412210dal,clt,AlleDw00,rec_td,0,,,,,
player,201412210dal,clt,AlleDw00,rec_long,0,,,,,
player,201412210dal,clt,AlleDw00,fumbles,0,,,,,
player,201412210dal,clt,AlleDw00,fumbles_lost,0,,,,,
player,201412210dal,clt,McDoDe01,pass_cmp,0,,,,,
player,201412210dal,clt,McDoDe01,pass_att,0,,,,,
player,201412210dal,clt,McDoDe01,pass_yds,0,,,,,
player,201412210dal,clt,McDoDe01,pass_td,0,,,,,
player,201412210dal,clt,McDoDe01,pass_int,0,,,,,
player,201412210dal,clt,McDoDe01,pass_sacked,0,,,,,
player,201412210dal,clt,McDoDe01,pass_sacked_yds,0,,,,,
player,201412210dal,clt,McDoDe01,pass_long,0,,,,,
player,201412210dal,clt,McDoDe01,pass_rating,,,,,,
player,201412210dal,clt,McDoDe01,rush_att,0,,,,,
player,201412210dal,clt,McDoDe01,rush_yds,0,,,,,
player,201412210dal,clt,McDoDe01,rush_td,0,,,,,
player,201412210dal,clt,McDoDe01,rush_long,0,,,,,
player,201412210dal,clt,McDoDe01,targets,1,,,,,
player,201412210dal,clt,McDoDe01,rec,0,,,,,
player,201412210dal,clt,McDoDe01,rec_yds,0,,,,,
player,201412210dal,clt,McDoDe01,rec_td,0,,,,,
player,201412210dal,clt,McDoDe01,rec_long,0,,,,,
player,201412210dal,clt,McDoDe01,fumbles,0,,,,,
player,201412210dal,clt,McDoDe01,fumbles_lost,0,,,,,
player,201412210dal,clt,TiptZu01,pass_cmp,0,,,,,
player,201412210dal,clt,TiptZu01,pass_att,0,,,,,
player,201412210dal,clt,TiptZu01,pass_yds,0,,,,,
player,201412210dal,clt,TiptZu01,pass_td,0,,,,,
player,201412210dal,clt,TiptZu01,pass_int,0,,,,,
player,201412210dal,clt,TiptZu01,pass_sacked,0,,,,,
player,201412210dal,clt,TiptZu01,pass_sacked_yds,0,,,,,
player,201412210dal,clt,TiptZu01,pass_long,0,,,,,
player,201412210dal,clt,TiptZu01,pass_rating,,,,,,
player,201412210dal,clt,TiptZu01,rush_att,1,,,,,
player,201412210dal,clt,TiptZu01,rush_yds,-3,,,,,
player,201412210dal,clt,TiptZu01,rush_td,0,,,,,
player,201412210dal,clt,TiptZu01,rush_long,-3,,,,,
player,201412210dal,clt,TiptZu01,targets,4,,,,,
player,201412210dal,clt,TiptZu01,rec,4,,,,,
player,201412210dal,clt,TiptZu01,rec_yds,23,,,,,
player,201412210dal,clt,TiptZu01,rec_td,1,,,,,
player,201412210dal,clt,TiptZu01,rec_long,12,,,,,
player,201412210dal,clt,TiptZu01,fumbles,0,,,,,
player,201412210dal,clt,TiptZu01,fumbles_lost,0,,,,,
player,201412210dal,dal,RomoTo00,pass_cmp,18,,,,,
player,201412210dal,dal,RomoTo00,pass_att,20,,,,,
player,201412210dal,dal,RomoTo00,pass_yds,218,,,,,
player,201412210dal,dal,RomoTo00,pass_td,4,,,,,
player,201412210dal,dal,RomoTo00,pass_int,0,,,,,
player,201412210dal,dal,RomoTo00,pass_sacked,1,,,,,
player,201412210dal,dal,RomoTo00,pass_sacked_yds,11,,,,,
player,201412210dal,dal,RomoTo00,pass_long,25,,,,,
player,201412210dal,dal,RomoTo00,pass_rating,151.7,,,,,
player,201412210dal,dal,RomoTo00,rush_att,3,,,,,
player,201412210dal,dal,RomoTo00,rush_yds,28,,,,,
player,201412210dal,dal,RomoTo00,rush_td,0,,,,,
player,201412210dal,dal,RomoTo00,rush_long,13,,,,,
player,201412210dal,dal,RomoTo00,targets,0,,,,,
player,201412210dal,dal,RomoTo00,rec,0,,,,,
player,201412210dal,dal,RomoTo00,rec_yds,0,,,,,
player,201412210dal,dal,RomoTo00,rec_td,0,,,,,
player,201412210dal,dal,RomoTo00,rec_long,0,,,,,
player,201412210dal,dal,RomoTo00,fumbles,0,,,,,
player,201412210dal,dal,RomoTo00,fumbles_lost,0,,,,,
player,201412210dal,dal,WeedBr00,pass_cmp,1,,,,,
player,201412210dal,dal,WeedBr00,pass_att,1,,,,,
player,201412210dal,dal,WeedBr00,pass_yds,43,,,,,
player,201412210dal,dal,WeedBr00,pass_td,1,,,,,
player,201412210dal,dal,WeedBr00,pass_int,0,,,,,
player,201412210dal,dal,WeedBr00,pass_sacked,0,,,,,
player,201412210dal,dal,WeedBr00,pass_sacked_yds,0,,,,,
player,201412210dal,dal,WeedBr00,pass_long,43,,,,,
player,201412210dal,dal,WeedBr00,pass_rating,158.3,,,,,
player,201412210dal,dal,WeedBr00,rush_att,0,,,,,
player,201412210dal,dal,WeedBr00,rush_yds,0,,,,,
player,201412210dal,dal,WeedBr00,rush_td,0,,,,,
player,201412210dal,dal,WeedBr00,rush_long,0,,,,,
player,201412210dal,dal,WeedBr00,targets,0,,,,,
player,201412210dal,dal,WeedBr00,rec,0,,,,,
player,201412210dal,dal,WeedBr00,rec_yds,0,,,,,
player,201412210dal,dal,WeedBr00,rec_td,0,,,,,
player,201412210dal,dal,WeedBr00,rec_long,0,,,,,
player,201412210dal,dal,WeedBr00,fumbles,0,,,,,
player,201412210dal,dal,WeedBr00,fumbles_lost,0,,,,,
player,201412210dal,dal,MurrDe00,pass_cmp,0,,,,,
player,201412210dal,dal,MurrDe00,pass_att,0,,,,,
player,201412210dal,dal,MurrDe00,pass_yds,0,,,,,
player,201412210dal,dal,MurrDe00,pass_td,0,,,,,
player,201412210dal,dal,MurrDe00,pass_int,0,,,,,
player,201412210dal,dal,MurrDe00,pass_sacked,0,,,,,
player,201412210dal,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201412210dal,dal,MurrDe00,pass_long,0,,,,,
player,201412210dal,dal,MurrDe00,pass_rating,,,,,,
player,201412210dal,dal,MurrDe00,rush_att,22,,,,,
player,201412210dal,dal,MurrDe00,rush_yds,58,,,,,
player,201412210dal,dal,MurrDe00,rush_td,1,,,,,
player,201412210dal,dal,MurrDe00,rush_long,11,,,,,
player,201412210dal,dal,MurrDe00,targets,0,,,,,
player,201412210dal,dal,MurrDe00,rec,0,,,,,
player,201412210dal,dal,MurrDe00,rec_yds,0,,,,,
player,201412210dal,dal,MurrDe00,rec_td,0,,,,,
player,201412210dal,dal,MurrDe00,rec_long,0,,,,,
player,201412210dal,dal,MurrDe00,fumbles,0,,,,,
player,201412210dal,dal,MurrDe00,fumbles_lost,0,,,,,
player,201412210dal,dal,RandJo01,pass_cmp,0,,,,,
player,201412210dal,dal,RandJo01,pass_att,0,,,,,
player,201412210dal,dal,RandJo01,pass_yds,0,,,,,
player,201412210dal,dal,RandJo01,pass_td,0,,,,,
player,201412210dal,dal,RandJo01,pass_int,0,,,,,
player,201412210dal,dal,RandJo01,pass_sacked,0,,,,,
player,201412210dal,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201412210dal,dal,RandJo01,pass_long,0,,,,,
player,201412210dal,dal,RandJo01,pass_rating,,,,,,
player,201412210dal,dal,RandJo01,rush_att,13,,,,,
player,201412210dal,dal,RandJo01,rush_yds,37,,,,,
player,201412210dal,dal,RandJo01,rush_td,0,,,,,
player,201412210dal,dal,RandJo01,rush_long,12,,,,,
player,201412210dal,dal,RandJo01,targets,1,,,,,
player,201412210dal,dal,RandJo01,rec,1,,,,,
player,201412210dal,dal,RandJo01,rec_yds,7,,,,,
player,201412210dal,dal,RandJo01,rec_td,0,,,,,
player,201412210dal,dal,RandJo01,rec_long,7,,,,,
player,201412210dal,dal,RandJo01,fumbles,1,,,,,
player,201412210dal,dal,RandJo01,fumbles_lost,1,,,,,
player,201412210dal,dal,DunbLa00,pass_cmp,0,,,,,
player,201412210dal,dal,DunbLa00,pass_att,0,,,,,
player,201412210dal,dal,DunbLa00,pass_yds,0,,,,,
player,201412210dal,dal,DunbLa00,pass_td,0,,,,,
player,201412210dal,dal,DunbLa00,pass_int,0,,,,,
player,201412210dal,dal,DunbLa00,pass_sacked,0,,,,,
player,201412210dal,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201412210dal,dal,DunbLa00,pass_long,0,,,,,
player,201412210dal,dal,DunbLa00,pass_rating,,,,,,
player,201412210dal,dal,DunbLa00,rush_att,2,,,,,
player,201412210dal,dal,DunbLa00,rush_yds,4,,,,,
player,201412210dal,dal,DunbLa00,rush_td,0,,,,,
player,201412210dal,dal,DunbLa00,rush_long,5,,,,,
player,201412210dal,dal,DunbLa00,targets,2,,,,,
player,201412210dal,dal,DunbLa00,rec,2,,,,,
player,201412210dal,dal,DunbLa00,rec_yds,10,,,,,
player,201412210dal,dal,DunbLa00,rec_td,0,,,,,
player,201412210dal,dal,DunbLa00,rec_long,14,,,,,
player,201412210dal,dal,DunbLa00,fumbles,0,,,,,
player,201412210dal,dal,DunbLa00,fumbles_lost,0,,,,,
player,201412210dal,dal,WittJa00,pass_cmp,0,,,,,
player,201412210dal,dal,WittJa00,pass_att,0,,,,,
player,201412210dal,dal,WittJa00,pass_yds,0,,,,,
player,201412210dal,dal,WittJa00,pass_td,0,,,,,
player,201412210dal,dal,WittJa00,pass_int,0,,,,,
player,201412210dal,dal,WittJa00,pass_sacked,0,,,,,
player,201412210dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201412210dal,dal,WittJa00,pass_long,0,,,,,
player,201412210dal,dal,WittJa00,pass_rating,,,,,,
player,201412210dal,dal,WittJa00,rush_att,0,,,,,
player,201412210dal,dal,WittJa00,rush_yds,0,,,,,
player,201412210dal,dal,WittJa00,rush_td,0,,,,,
player,201412210dal,dal,WittJa00,rush_long,0,,,,,
player,201412210dal,dal,WittJa00,targets,7,,,,,
player,201412210dal,dal,WittJa00,rec,7,,,,,
player,201412210dal,dal,WittJa00,rec_yds,90,,,,,
player,201412210dal,dal,WittJa00,rec_td,1,,,,,
player,201412210dal,dal,WittJa00,rec_long,25,,,,,
player,201412210dal,dal,WittJa00,fumbles,0,,,,,
player,201412210dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201412210dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201412210dal,dal,BryaDe01,pass_att,0,,,,,
player,201412210dal,dal,BryaDe01,pass_yds,0,,,,,
player,201412210dal,dal,BryaDe01,pass_td,0,,,,,
player,201412210dal,dal,BryaDe01,pass_int,0,,,,,
player,201412210dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201412210dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201412210dal,dal,BryaDe01,pass_long,0,,,,,
player,201412210dal,dal,BryaDe01,pass_rating,,,,,,
player,201412210dal,dal,BryaDe01,rush_att,0,,,,,
player,201412210dal,dal,BryaDe01,rush_yds,0,,,,,
player,201412210dal,dal,BryaDe01,rush_td,0,,,,,
player,201412210dal,dal,BryaDe01,rush_long,0,,,,,
player,201412210dal,dal,BryaDe01,targets,5,,,,,
player,201412210dal,dal,BryaDe01,rec,5,,,,,
player,201412210dal,dal,BryaDe01,rec_yds,73,,,,,
player,201412210dal,dal,BryaDe01,rec_td,1,,,,,
player,201412210dal,dal,BryaDe01,rec_long,24,,,,,
player,201412210dal,dal,BryaDe01,fumbles,0,,,,,
player,201412210dal,dal,BryaDe01,fumbles_lost,0,,,,,
player,201412210dal,dal,WillTe01,pass_cmp,0,,,,,
player,201412210dal,dal,WillTe01,pass_att,0,,,,,
player,201412210dal,dal,WillTe01,pass_yds,0,,,,,
player,201412210dal,dal,WillTe01,pass_td,0,,,,,
player,201412210dal,dal,WillTe01,pass_int,0,,,,,
player,201412210dal,dal,WillTe01,pass_sacked,0,,,,,
player,201412210dal,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201412210dal,dal,WillTe01,pass_long,0,,,,,
player,201412210dal,dal,WillTe01,pass_rating,,,,,,
player,201412210dal,dal,WillTe01,rush_att,0,,,,,
player,201412210dal,dal,WillTe01,rush_yds,0,,,,,
player,201412210dal,dal,WillTe01,rush_td,0,,,,,
player,201412210dal,dal,WillTe01,rush_long,0,,,,,
player,201412210dal,dal,WillTe01,targets,2,,,,,
player,201412210dal,dal,WillTe01,rec,2,,,,,
