game,2014,2,20140914,201409140den,kan,"Kansas City Chiefs",17,den,"Denver Broncos",24
player,201409140den,den,MannPe00,rush_yds,-1,,,,,
player,201409140den,den,MannPe00,rush_td,0,,,,,
player,201409140den,den,MannPe00,rush_long,-1,,,,,
player,201409140den,den,MannPe00,targets,0,,,,,
player,201409140den,den,MannPe00,rec,0,,,,,
player,201409140den,den,MannPe00,rec_yds,0,,,,,
player,201409140den,den,MannPe00,rec_td,0,,,,,
player,201409140den,den,MannPe00,rec_long,0,,,,,
player,201409140den,den,MannPe00,fumbles,0,,,,,
player,201409140den,den,MannPe00,fumbles_lost,0,,,,,
player,201409140den,den,BallMo00,pass_cmp,0,,,,,
player,201409140den,den,BallMo00,pass_att,0,,,,,
player,201409140den,den,BallMo00,pass_yds,0,,,,,
player,201409140den,den,BallMo00,pass_td,0,,,,,
player,201409140den,den,BallMo00,pass_int,0,,,,,
player,201409140den,den,BallMo00,pass_sacked,0,,,,,
player,201409140den,den,BallMo00,pass_sacked_yds,0,,,,,
player,201409140den,den,BallMo00,pass_long,0,,,,,
player,201409140den,den,BallMo00,pass_rating,,,,,,
player,201409140den,den,BallMo00,rush_att,12,,,,,
player,201409140den,den,BallMo00,rush_yds,60,,,,,
player,201409140den,den,BallMo00,rush_td,0,,,,,
player,201409140den,den,BallMo00,rush_long,23,,,,,
player,201409140den,den,BallMo00,targets,3,,,,,
player,201409140den,den,BallMo00,rec,3,,,,,
player,201409140den,den,BallMo00,rec_yds,29,,,,,
player,201409140den,den,BallMo00,rec_td,0,,,,,
player,201409140den,den,BallMo00,rec_long,16,,,,,
player,201409140den,den,BallMo00,fumbles,0,,,,,
player,201409140den,den,BallMo00,fumbles_lost,0,,,,,
player,201409140den,den,AndeC.00,pass_cmp,0,,,,,
player,201409140den,den,AndeC.00,pass_att,0,,,,,
player,201409140den,den,AndeC.00,pass_yds,0,,,,,
player,201409140den,den,AndeC.00,pass_td,0,,,,,
player,201409140den,den,AndeC.00,pass_int,0,,,,,
player,201409140den,den,AndeC.00,pass_sacked,0,,,,,
player,201409140den,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201409140den,den,AndeC.00,pass_long,0,,,,,
player,201409140den,den,AndeC.00,pass_rating,,,,,,
player,201409140den,den,AndeC.00,rush_att,5,,,,,
player,201409140den,den,AndeC.00,rush_yds,31,,,,,
player,201409140den,den,AndeC.00,rush_td,0,,,,,
player,201409140den,den,AndeC.00,rush_long,13,,,,,
player,201409140den,den,AndeC.00,targets,0,,,,,
player,201409140den,den,AndeC.00,rec,0,,,,,
player,201409140den,den,AndeC.00,rec_yds,0,,,,,
player,201409140den,den,AndeC.00,rec_td,0,,,,,
player,201409140den,den,AndeC.00,rec_long,0,,,,,
player,201409140den,den,AndeC.00,fumbles,0,,,,,
player,201409140den,den,AndeC.00,fumbles_lost,0,,,,,
player,201409140den,den,ThomDe03,pass_cmp,0,,,,,
player,201409140den,den,ThomDe03,pass_att,0,,,,,
player,201409140den,den,ThomDe03,pass_yds,0,,,,,
player,201409140den,den,ThomDe03,pass_td,0,,,,,
player,201409140den,den,ThomDe03,pass_int,0,,,,,
player,201409140den,den,ThomDe03,pass_sacked,0,,,,,
player,201409140den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201409140den,den,ThomDe03,pass_long,0,,,,,
player,201409140den,den,ThomDe03,pass_rating,,,,,,
player,201409140den,den,ThomDe03,rush_att,0,,,,,
player,201409140den,den,ThomDe03,rush_yds,0,,,,,
player,201409140den,den,ThomDe03,rush_td,0,,,,,
player,201409140den,den,ThomDe03,rush_long,0,,,,,
player,201409140den,den,ThomDe03,targets,7,,,,,
player,201409140den,den,ThomDe03,rec,5,,,,,
player,201409140den,den,ThomDe03,rec_yds,62,,,,,
player,201409140den,den,ThomDe03,rec_td,1,,,,,
player,201409140den,den,ThomDe03,rec_long,21,,,,,
player,201409140den,den,ThomDe03,fumbles,0,,,,,
player,201409140den,den,ThomDe03,fumbles_lost,0,,,,,
player,201409140den,den,ThomJu00,pass_cmp,0,,,,,
player,201409140den,den,ThomJu00,pass_att,0,,,,,
player,201409140den,den,ThomJu00,pass_yds,0,,,,,
player,201409140den,den,ThomJu00,pass_td,0,,,,,
player,201409140den,den,ThomJu00,pass_int,0,,,,,
player,201409140den,den,ThomJu00,pass_sacked,0,,,,,
player,201409140den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201409140den,den,ThomJu00,pass_long,0,,,,,
player,201409140den,den,ThomJu00,pass_rating,,,,,,
player,201409140den,den,ThomJu00,rush_att,0,,,,,
player,201409140den,den,ThomJu00,rush_yds,0,,,,,
player,201409140den,den,ThomJu00,rush_td,0,,,,,
player,201409140den,den,ThomJu00,rush_long,0,,,,,
player,201409140den,den,ThomJu00,targets,5,,,,,
player,201409140den,den,ThomJu00,rec,4,,,,,
player,201409140den,den,ThomJu00,rec_yds,39,,,,,
player,201409140den,den,ThomJu00,rec_td,1,,,,,
player,201409140den,den,ThomJu00,rec_long,16,,,,,
player,201409140den,den,ThomJu00,fumbles,0,,,,,
player,201409140den,den,ThomJu00,fumbles_lost,0,,,,,
player,201409140den,den,TammJa00,pass_cmp,0,,,,,
player,201409140den,den,TammJa00,pass_att,0,,,,,
player,201409140den,den,TammJa00,pass_yds,0,,,,,
player,201409140den,den,TammJa00,pass_td,0,,,,,
player,201409140den,den,TammJa00,pass_int,0,,,,,
player,201409140den,den,TammJa00,pass_sacked,0,,,,,
player,201409140den,den,TammJa00,pass_sacked_yds,0,,,,,
player,201409140den,den,TammJa00,pass_long,0,,,,,
player,201409140den,den,TammJa00,pass_rating,,,,,,
player,201409140den,den,TammJa00,rush_att,0,,,,,
player,201409140den,den,TammJa00,rush_yds,0,,,,,
player,201409140den,den,TammJa00,rush_td,0,,,,,
player,201409140den,den,TammJa00,rush_long,0,,,,,
player,201409140den,den,TammJa00,targets,1,,,,,
player,201409140den,den,TammJa00,rec,1,,,,,
player,201409140den,den,TammJa00,rec_yds,4,,,,,
player,201409140den,den,TammJa00,rec_td,1,,,,,
player,201409140den,den,TammJa00,rec_long,4,,,,,
player,201409140den,den,TammJa00,fumbles,0,,,,,
player,201409140den,den,TammJa00,fumbles_lost,0,,,,,
player,201409140den,den,CaldAn00,pass_cmp,0,,,,,
player,201409140den,den,CaldAn00,pass_att,0,,,,,
player,201409140den,den,CaldAn00,pass_yds,0,,,,,
player,201409140den,den,CaldAn00,pass_td,0,,,,,
player,201409140den,den,CaldAn00,pass_int,0,,,,,
player,201409140den,den,CaldAn00,pass_sacked,0,,,,,
player,201409140den,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201409140den,den,CaldAn00,pass_long,0,,,,,
player,201409140den,den,CaldAn00,pass_rating,,,,,,
player,201409140den,den,CaldAn00,rush_att,0,,,,,
player,201409140den,den,CaldAn00,rush_yds,0,,,,,
player,201409140den,den,CaldAn00,rush_td,0,,,,,
player,201409140den,den,CaldAn00,rush_long,0,,,,,
player,201409140den,den,CaldAn00,targets,1,,,,,
player,201409140den,den,CaldAn00,rec,0,,,,,
player,201409140den,den,CaldAn00,rec_yds,0,,,,,
player,201409140den,den,CaldAn00,rec_td,0,,,,,
player,201409140den,den,CaldAn00,rec_long,0,,,,,
player,201409140den,den,CaldAn00,fumbles,0,,,,,
player,201409140den,den,CaldAn00,fumbles_lost,0,,,,,
player,201409140den,den,SandEm00,pass_cmp,0,,,,,
player,201409140den,den,SandEm00,pass_att,0,,,,,
player,201409140den,den,SandEm00,pass_yds,0,,,,,
player,201409140den,den,SandEm00,pass_td,0,,,,,
player,201409140den,den,SandEm00,pass_int,0,,,,,
player,201409140den,den,SandEm00,pass_sacked,0,,,,,
player,201409140den,den,SandEm00,pass_sacked_yds,0,,,,,
player,201409140den,den,SandEm00,pass_long,0,,,,,
player,201409140den,den,SandEm00,pass_rating,,,,,,
player,201409140den,den,SandEm00,rush_att,1,,,,,
player,201409140den,den,SandEm00,rush_yds,-2,,,,,
player,201409140den,den,SandEm00,rush_td,0,,,,,
player,201409140den,den,SandEm00,rush_long,-2,,,,,
player,201409140den,den,SandEm00,targets,9,,,,,
player,201409140den,den,SandEm00,rec,8,,,,,
player,201409140den,den,SandEm00,rec_yds,108,,,,,
player,201409140den,den,SandEm00,rec_td,0,,,,,
player,201409140den,den,SandEm00,rec_long,48,,,,,
player,201409140den,den,SandEm00,fumbles,0,,,,,
player,201409140den,den,SandEm00,fumbles_lost,0,,,,,
player,201409140den,kan,HaliTa20,def_int,0,,,,,
player,201409140den,kan,HaliTa20,def_int_yds,0,,,,,
player,201409140den,kan,HaliTa20,def_int_td,0,,,,,
player,201409140den,kan,HaliTa20,def_int_long,0,,,,,
player,201409140den,kan,HaliTa20,pass_defended,0,,,,,
player,201409140den,kan,HaliTa20,sacks,1.0,,,,,
player,201409140den,kan,HaliTa20,tackles_combined,4,,,,,
player,201409140den,kan,HaliTa20,tackles_solo,4,,,,,
player,201409140den,kan,HaliTa20,tackles_assists,0,,,,,
player,201409140den,kan,HaliTa20,tackles_loss,2,,,,,
player,201409140den,kan,HaliTa20,qb_hits,1,,,,,
player,201409140den,kan,HaliTa20,fumbles_rec,0,,,,,
player,201409140den,kan,HaliTa20,fumbles_rec_yds,0,,,,,
player,201409140den,kan,HaliTa20,fumbles_rec_td,0,,,,,
player,201409140den,kan,HaliTa20,fumbles_forced,0,,,,,
player,201409140den,kan,ParkRo01,def_int,0,,,,,
player,201409140den,kan,ParkRo01,def_int_yds,0,,,,,
player,201409140den,kan,ParkRo01,def_int_td,0,,,,,
player,201409140den,kan,ParkRo01,def_int_long,0,,,,,
player,201409140den,kan,ParkRo01,pass_defended,0,,,,,
player,201409140den,kan,ParkRo01,sacks,0.0,,,,,
player,201409140den,kan,ParkRo01,tackles_combined,7,,,,,
player,201409140den,kan,ParkRo01,tackles_solo,7,,,,,
player,201409140den,kan,ParkRo01,tackles_assists,0,,,,,
player,201409140den,kan,ParkRo01,tackles_loss,0,,,,,
player,201409140den,kan,ParkRo01,qb_hits,0,,,,,
player,201409140den,kan,ParkRo01,fumbles_rec,0,,,,,
player,201409140den,kan,ParkRo01,fumbles_rec_yds,0,,,,,
player,201409140den,kan,ParkRo01,fumbles_rec_td,0,,,,,
player,201409140den,kan,ParkRo01,fumbles_forced,0,,,,,
player,201409140den,kan,MaugJo00,def_int,0,,,,,
player,201409140den,kan,MaugJo00,def_int_yds,0,,,,,
player,201409140den,kan,MaugJo00,def_int_td,0,,,,,
player,201409140den,kan,MaugJo00,def_int_long,0,,,,,
player,201409140den,kan,MaugJo00,pass_defended,0,,,,,
player,201409140den,kan,MaugJo00,sacks,0.0,,,,,
player,201409140den,kan,MaugJo00,tackles_combined,6,,,,,
player,201409140den,kan,MaugJo00,tackles_solo,5,,,,,
player,201409140den,kan,MaugJo00,tackles_assists,1,,,,,
player,201409140den,kan,MaugJo00,tackles_loss,0,,,,,
player,201409140den,kan,MaugJo00,qb_hits,0,,,,,
player,201409140den,kan,MaugJo00,fumbles_rec,0,,,,,
player,201409140den,kan,MaugJo00,fumbles_rec_yds,0,,,,,
player,201409140den,kan,MaugJo00,fumbles_rec_td,0,,,,,
player,201409140den,kan,MaugJo00,fumbles_forced,0,,,,,
player,201409140den,kan,CoopMa00,def_int,0,,,,,
player,201409140den,kan,CoopMa00,def_int_yds,0,,,,,
player,201409140den,kan,CoopMa00,def_int_td,0,,,,,
player,201409140den,kan,CoopMa00,def_int_long,0,,,,,
player,201409140den,kan,CoopMa00,pass_defended,2,,,,,
player,201409140den,kan,CoopMa00,sacks,0.0,,,,,
player,201409140den,kan,CoopMa00,tackles_combined,5,,,,,
player,201409140den,kan,CoopMa00,tackles_solo,5,,,,,
player,201409140den,kan,CoopMa00,tackles_assists,0,,,,,
player,201409140den,kan,CoopMa00,tackles_loss,0,,,,,
player,201409140den,kan,CoopMa00,qb_hits,0,,,,,
player,201409140den,kan,CoopMa00,fumbles_rec,0,,,,,
player,201409140den,kan,CoopMa00,fumbles_rec_yds,0,,,,,
player,201409140den,kan,CoopMa00,fumbles_rec_td,0,,,,,
player,201409140den,kan,CoopMa00,fumbles_forced,0,,,,,
player,201409140den,kan,JohnJa04,def_int,0,,,,,
player,201409140den,kan,JohnJa04,def_int_yds,0,,,,,
player,201409140den,kan,JohnJa04,def_int_td,0,,,,,
player,201409140den,kan,JohnJa04,def_int_long,0,,,,,
player,201409140den,kan,JohnJa04,pass_defended,0,,,,,
player,201409140den,kan,JohnJa04,sacks,0.0,,,,,
player,201409140den,kan,JohnJa04,tackles_combined,4,,,,,
player,201409140den,kan,JohnJa04,tackles_solo,4,,,,,
player,201409140den,kan,JohnJa04,tackles_assists,0,,,,,
player,201409140den,kan,JohnJa04,tackles_loss,1,,,,,
player,201409140den,kan,JohnJa04,qb_hits,0,,,,,
