game,2014,10,20141110,201411100phi,car,"Carolina Panthers",21,phi,"Philadelphia Eagles",45
player,201411100phi,phi,BairBr00,fumbles_rec_td,0,,,,,
player,201411100phi,phi,BairBr00,fumbles_forced,0,,,,,
player,201411100phi,phi,CarrNo00,def_int,0,,,,,
player,201411100phi,phi,CarrNo00,def_int_yds,0,,,,,
player,201411100phi,phi,CarrNo00,def_int_td,0,,,,,
player,201411100phi,phi,CarrNo00,def_int_long,0,,,,,
player,201411100phi,phi,CarrNo00,pass_defended,0,,,,,
player,201411100phi,phi,CarrNo00,sacks,0.0,,,,,
player,201411100phi,phi,CarrNo00,tackles_combined,2,,,,,
player,201411100phi,phi,CarrNo00,tackles_solo,2,,,,,
player,201411100phi,phi,CarrNo00,tackles_assists,0,,,,,
player,201411100phi,phi,CarrNo00,tackles_loss,1,,,,,
player,201411100phi,phi,CarrNo00,qb_hits,0,,,,,
player,201411100phi,phi,CarrNo00,fumbles_rec,0,,,,,
player,201411100phi,phi,CarrNo00,fumbles_rec_yds,0,,,,,
player,201411100phi,phi,CarrNo00,fumbles_rec_td,0,,,,,
player,201411100phi,phi,CarrNo00,fumbles_forced,0,,,,,
player,201411100phi,phi,AlleBe00,def_int,0,,,,,
player,201411100phi,phi,AlleBe00,def_int_yds,0,,,,,
player,201411100phi,phi,AlleBe00,def_int_td,0,,,,,
player,201411100phi,phi,AlleBe00,def_int_long,0,,,,,
player,201411100phi,phi,AlleBe00,pass_defended,0,,,,,
player,201411100phi,phi,AlleBe00,sacks,0.0,,,,,
player,201411100phi,phi,AlleBe00,tackles_combined,1,,,,,
player,201411100phi,phi,AlleBe00,tackles_solo,1,,,,,
player,201411100phi,phi,AlleBe00,tackles_assists,0,,,,,
player,201411100phi,phi,AlleBe00,tackles_loss,0,,,,,
player,201411100phi,phi,AlleBe00,qb_hits,0,,,,,
player,201411100phi,phi,AlleBe00,fumbles_rec,0,,,,,
player,201411100phi,phi,AlleBe00,fumbles_rec_yds,0,,,,,
player,201411100phi,phi,AlleBe00,fumbles_rec_td,0,,,,,
player,201411100phi,phi,AlleBe00,fumbles_forced,0,,,,,
player,201411100phi,phi,BramBr00,def_int,0,,,,,
player,201411100phi,phi,BramBr00,def_int_yds,0,,,,,
player,201411100phi,phi,BramBr00,def_int_td,0,,,,,
player,201411100phi,phi,BramBr00,def_int_long,0,,,,,
player,201411100phi,phi,BramBr00,pass_defended,0,,,,,
player,201411100phi,phi,BramBr00,sacks,0.0,,,,,
player,201411100phi,phi,BramBr00,tackles_combined,1,,,,,
