game,2014,2,20140914,201409140min,nwe,"New England Patriots",30,min,"Minnesota Vikings",7
player,201409140min,nwe,RidlSt00,pass_sacked,0,,,,,
player,201409140min,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,RidlSt00,pass_long,0,,,,,
player,201409140min,nwe,RidlSt00,pass_rating,,,,,,
player,201409140min,nwe,RidlSt00,rush_att,25,,,,,
player,201409140min,nwe,RidlSt00,rush_yds,101,,,,,
player,201409140min,nwe,RidlSt00,rush_td,1,,,,,
player,201409140min,nwe,RidlSt00,rush_long,16,,,,,
player,201409140min,nwe,RidlSt00,targets,0,,,,,
player,201409140min,nwe,RidlSt00,rec,0,,,,,
player,201409140min,nwe,RidlSt00,rec_yds,0,,,,,
player,201409140min,nwe,RidlSt00,rec_td,0,,,,,
player,201409140min,nwe,RidlSt00,rec_long,0,,,,,
player,201409140min,nwe,RidlSt00,fumbles,0,,,,,
player,201409140min,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201409140min,nwe,VereSh00,pass_cmp,0,,,,,
player,201409140min,nwe,VereSh00,pass_att,0,,,,,
player,201409140min,nwe,VereSh00,pass_yds,0,,,,,
player,201409140min,nwe,VereSh00,pass_td,0,,,,,
player,201409140min,nwe,VereSh00,pass_int,0,,,,,
player,201409140min,nwe,VereSh00,pass_sacked,0,,,,,
player,201409140min,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,VereSh00,pass_long,0,,,,,
player,201409140min,nwe,VereSh00,pass_rating,,,,,,
player,201409140min,nwe,VereSh00,rush_att,6,,,,,
player,201409140min,nwe,VereSh00,rush_yds,40,,,,,
player,201409140min,nwe,VereSh00,rush_td,0,,,,,
player,201409140min,nwe,VereSh00,rush_long,12,,,,,
player,201409140min,nwe,VereSh00,targets,1,,,,,
player,201409140min,nwe,VereSh00,rec,0,,,,,
player,201409140min,nwe,VereSh00,rec_yds,0,,,,,
player,201409140min,nwe,VereSh00,rec_td,0,,,,,
player,201409140min,nwe,VereSh00,rec_long,0,,,,,
player,201409140min,nwe,VereSh00,fumbles,0,,,,,
player,201409140min,nwe,VereSh00,fumbles_lost,0,,,,,
player,201409140min,nwe,EdelJu00,pass_cmp,0,,,,,
player,201409140min,nwe,EdelJu00,pass_att,0,,,,,
player,201409140min,nwe,EdelJu00,pass_yds,0,,,,,
player,201409140min,nwe,EdelJu00,pass_td,0,,,,,
player,201409140min,nwe,EdelJu00,pass_int,0,,,,,
player,201409140min,nwe,EdelJu00,pass_sacked,0,,,,,
player,201409140min,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,EdelJu00,pass_long,0,,,,,
player,201409140min,nwe,EdelJu00,pass_rating,,,,,,
player,201409140min,nwe,EdelJu00,rush_att,1,,,,,
player,201409140min,nwe,EdelJu00,rush_yds,9,,,,,
player,201409140min,nwe,EdelJu00,rush_td,0,,,,,
player,201409140min,nwe,EdelJu00,rush_long,9,,,,,
player,201409140min,nwe,EdelJu00,targets,7,,,,,
player,201409140min,nwe,EdelJu00,rec,6,,,,,
player,201409140min,nwe,EdelJu00,rec_yds,81,,,,,
player,201409140min,nwe,EdelJu00,rec_td,1,,,,,
player,201409140min,nwe,EdelJu00,rec_long,44,,,,,
player,201409140min,nwe,EdelJu00,fumbles,1,,,,,
player,201409140min,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201409140min,nwe,GronRo00,pass_cmp,0,,,,,
player,201409140min,nwe,GronRo00,pass_att,0,,,,,
player,201409140min,nwe,GronRo00,pass_yds,0,,,,,
player,201409140min,nwe,GronRo00,pass_td,0,,,,,
player,201409140min,nwe,GronRo00,pass_int,0,,,,,
player,201409140min,nwe,GronRo00,pass_sacked,0,,,,,
player,201409140min,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,GronRo00,pass_long,0,,,,,
player,201409140min,nwe,GronRo00,pass_rating,,,,,,
player,201409140min,nwe,GronRo00,rush_att,0,,,,,
player,201409140min,nwe,GronRo00,rush_yds,0,,,,,
player,201409140min,nwe,GronRo00,rush_td,0,,,,,
player,201409140min,nwe,GronRo00,rush_long,0,,,,,
player,201409140min,nwe,GronRo00,targets,6,,,,,
player,201409140min,nwe,GronRo00,rec,4,,,,,
player,201409140min,nwe,GronRo00,rec_yds,32,,,,,
player,201409140min,nwe,GronRo00,rec_td,0,,,,,
player,201409140min,nwe,GronRo00,rec_long,11,,,,,
player,201409140min,nwe,GronRo00,fumbles,0,,,,,
player,201409140min,nwe,GronRo00,fumbles_lost,0,,,,,
player,201409140min,nwe,DeveJa00,pass_cmp,0,,,,,
player,201409140min,nwe,DeveJa00,pass_att,0,,,,,
player,201409140min,nwe,DeveJa00,pass_yds,0,,,,,
player,201409140min,nwe,DeveJa00,pass_td,0,,,,,
player,201409140min,nwe,DeveJa00,pass_int,0,,,,,
player,201409140min,nwe,DeveJa00,pass_sacked,0,,,,,
player,201409140min,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,DeveJa00,pass_long,0,,,,,
player,201409140min,nwe,DeveJa00,pass_rating,,,,,,
player,201409140min,nwe,DeveJa00,rush_att,0,,,,,
player,201409140min,nwe,DeveJa00,rush_yds,0,,,,,
player,201409140min,nwe,DeveJa00,rush_td,0,,,,,
player,201409140min,nwe,DeveJa00,rush_long,0,,,,,
player,201409140min,nwe,DeveJa00,targets,2,,,,,
player,201409140min,nwe,DeveJa00,rec,2,,,,,
player,201409140min,nwe,DeveJa00,rec_yds,17,,,,,
player,201409140min,nwe,DeveJa00,rec_td,0,,,,,
player,201409140min,nwe,DeveJa00,rec_long,13,,,,,
player,201409140min,nwe,DeveJa00,fumbles,0,,,,,
player,201409140min,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201409140min,nwe,DobsAa00,pass_cmp,0,,,,,
player,201409140min,nwe,DobsAa00,pass_att,0,,,,,
player,201409140min,nwe,DobsAa00,pass_yds,0,,,,,
player,201409140min,nwe,DobsAa00,pass_td,0,,,,,
player,201409140min,nwe,DobsAa00,pass_int,0,,,,,
player,201409140min,nwe,DobsAa00,pass_sacked,0,,,,,
player,201409140min,nwe,DobsAa00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,DobsAa00,pass_long,0,,,,,
player,201409140min,nwe,DobsAa00,pass_rating,,,,,,
player,201409140min,nwe,DobsAa00,rush_att,0,,,,,
player,201409140min,nwe,DobsAa00,rush_yds,0,,,,,
player,201409140min,nwe,DobsAa00,rush_td,0,,,,,
player,201409140min,nwe,DobsAa00,rush_long,0,,,,,
player,201409140min,nwe,DobsAa00,targets,2,,,,,
player,201409140min,nwe,DobsAa00,rec,1,,,,,
player,201409140min,nwe,DobsAa00,rec_yds,13,,,,,
player,201409140min,nwe,DobsAa00,rec_td,0,,,,,
player,201409140min,nwe,DobsAa00,rec_long,13,,,,,
player,201409140min,nwe,DobsAa00,fumbles,0,,,,,
player,201409140min,nwe,DobsAa00,fumbles_lost,0,,,,,
player,201409140min,nwe,HoomMi00,pass_cmp,0,,,,,
player,201409140min,nwe,HoomMi00,pass_att,0,,,,,
player,201409140min,nwe,HoomMi00,pass_yds,0,,,,,
player,201409140min,nwe,HoomMi00,pass_td,0,,,,,
player,201409140min,nwe,HoomMi00,pass_int,0,,,,,
player,201409140min,nwe,HoomMi00,pass_sacked,0,,,,,
player,201409140min,nwe,HoomMi00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,HoomMi00,pass_long,0,,,,,
player,201409140min,nwe,HoomMi00,pass_rating,,,,,,
player,201409140min,nwe,HoomMi00,rush_att,0,,,,,
player,201409140min,nwe,HoomMi00,rush_yds,0,,,,,
player,201409140min,nwe,HoomMi00,rush_td,0,,,,,
player,201409140min,nwe,HoomMi00,rush_long,0,,,,,
player,201409140min,nwe,HoomMi00,targets,1,,,,,
player,201409140min,nwe,HoomMi00,rec,1,,,,,
player,201409140min,nwe,HoomMi00,rec_yds,6,,,,,
player,201409140min,nwe,HoomMi00,rec_td,0,,,,,
player,201409140min,nwe,HoomMi00,rec_long,6,,,,,
player,201409140min,nwe,HoomMi00,fumbles,0,,,,,
player,201409140min,nwe,HoomMi00,fumbles_lost,0,,,,,
player,201409140min,nwe,AmenDa00,pass_cmp,0,,,,,
player,201409140min,nwe,AmenDa00,pass_att,0,,,,,
player,201409140min,nwe,AmenDa00,pass_yds,0,,,,,
player,201409140min,nwe,AmenDa00,pass_td,0,,,,,
player,201409140min,nwe,AmenDa00,pass_int,0,,,,,
player,201409140min,nwe,AmenDa00,pass_sacked,0,,,,,
player,201409140min,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,AmenDa00,pass_long,0,,,,,
player,201409140min,nwe,AmenDa00,pass_rating,,,,,,
player,201409140min,nwe,AmenDa00,rush_att,0,,,,,
player,201409140min,nwe,AmenDa00,rush_yds,0,,,,,
player,201409140min,nwe,AmenDa00,rush_td,0,,,,,
player,201409140min,nwe,AmenDa00,rush_long,0,,,,,
player,201409140min,nwe,AmenDa00,targets,1,,,,,
player,201409140min,nwe,AmenDa00,rec,0,,,,,
player,201409140min,nwe,AmenDa00,rec_yds,0,,,,,
player,201409140min,nwe,AmenDa00,rec_td,0,,,,,
player,201409140min,nwe,AmenDa00,rec_long,0,,,,,
player,201409140min,nwe,AmenDa00,fumbles,0,,,,,
player,201409140min,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201409140min,nwe,WrigTi01,pass_cmp,0,,,,,
player,201409140min,nwe,WrigTi01,pass_att,0,,,,,
player,201409140min,nwe,WrigTi01,pass_yds,0,,,,,
player,201409140min,nwe,WrigTi01,pass_td,0,,,,,
player,201409140min,nwe,WrigTi01,pass_int,0,,,,,
player,201409140min,nwe,WrigTi01,pass_sacked,0,,,,,
player,201409140min,nwe,WrigTi01,pass_sacked_yds,0,,,,,
player,201409140min,nwe,WrigTi01,pass_long,0,,,,,
player,201409140min,nwe,WrigTi01,pass_rating,,,,,,
player,201409140min,nwe,WrigTi01,rush_att,0,,,,,
player,201409140min,nwe,WrigTi01,rush_yds,0,,,,,
player,201409140min,nwe,WrigTi01,rush_td,0,,,,,
player,201409140min,nwe,WrigTi01,rush_long,0,,,,,
player,201409140min,nwe,WrigTi01,targets,1,,,,,
player,201409140min,nwe,WrigTi01,rec,0,,,,,
player,201409140min,nwe,WrigTi01,rec_yds,0,,,,,
player,201409140min,nwe,WrigTi01,rec_td,0,,,,,
player,201409140min,nwe,WrigTi01,rec_long,0,,,,,
player,201409140min,nwe,WrigTi01,fumbles,0,,,,,
player,201409140min,nwe,WrigTi01,fumbles_lost,0,,,,,
player,201409140min,nwe,BoldBr00,pass_cmp,0,,,,,
player,201409140min,nwe,BoldBr00,pass_att,0,,,,,
player,201409140min,nwe,BoldBr00,pass_yds,0,,,,,
player,201409140min,nwe,BoldBr00,pass_td,0,,,,,
player,201409140min,nwe,BoldBr00,pass_int,0,,,,,
player,201409140min,nwe,BoldBr00,pass_sacked,0,,,,,
player,201409140min,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201409140min,nwe,BoldBr00,pass_long,0,,,,,
player,201409140min,nwe,BoldBr00,pass_rating,,,,,,
player,201409140min,nwe,BoldBr00,rush_att,4,,,,,
player,201409140min,nwe,BoldBr00,rush_yds,0,,,,,
player,201409140min,nwe,BoldBr00,rush_td,0,,,,,
player,201409140min,nwe,BoldBr00,rush_long,2,,,,,
player,201409140min,nwe,BoldBr00,targets,0,,,,,
player,201409140min,nwe,BoldBr00,rec,0,,,,,
player,201409140min,nwe,BoldBr00,rec_yds,0,,,,,
player,201409140min,nwe,BoldBr00,rec_td,0,,,,,
player,201409140min,nwe,BoldBr00,rec_long,0,,,,,
player,201409140min,nwe,BoldBr00,fumbles,0,,,,,
player,201409140min,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201409140min,min,CassMa00,pass_cmp,19,,,,,
player,201409140min,min,CassMa00,pass_att,36,,,,,
player,201409140min,min,CassMa00,pass_yds,202,,,,,
player,201409140min,min,CassMa00,pass_td,1,,,,,
player,201409140min,min,CassMa00,pass_int,4,,,,,
player,201409140min,min,CassMa00,pass_sacked,6,,,,,
player,201409140min,min,CassMa00,pass_sacked_yds,39,,,,,
player,201409140min,min,CassMa00,pass_long,26,,,,,
player,201409140min,min,CassMa00,pass_rating,39.1,,,,,
player,201409140min,min,CassMa00,rush_att,3,,,,,
player,201409140min,min,CassMa00,rush_yds,16,,,,,
player,201409140min,min,CassMa00,rush_td,0,,,,,
player,201409140min,min,CassMa00,rush_long,13,,,,,
player,201409140min,min,CassMa00,targets,0,,,,,
player,201409140min,min,CassMa00,rec,0,,,,,
player,201409140min,min,CassMa00,rec_yds,0,,,,,
player,201409140min,min,CassMa00,rec_td,0,,,,,
player,201409140min,min,CassMa00,rec_long,0,,,,,
player,201409140min,min,CassMa00,fumbles,1,,,,,
player,201409140min,min,CassMa00,fumbles_lost,0,,,,,
player,201409140min,min,AsiaMa00,pass_cmp,0,,,,,
player,201409140min,min,AsiaMa00,pass_att,0,,,,,
player,201409140min,min,AsiaMa00,pass_yds,0,,,,,
player,201409140min,min,AsiaMa00,pass_td,0,,,,,
player,201409140min,min,AsiaMa00,pass_int,0,,,,,
player,201409140min,min,AsiaMa00,pass_sacked,0,,,,,
player,201409140min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201409140min,min,AsiaMa00,pass_long,0,,,,,
player,201409140min,min,AsiaMa00,pass_rating,,,,,,
player,201409140min,min,AsiaMa00,rush_att,13,,,,,
player,201409140min,min,AsiaMa00,rush_yds,36,,,,,
player,201409140min,min,AsiaMa00,rush_td,0,,,,,
player,201409140min,min,AsiaMa00,rush_long,7,,,,,
player,201409140min,min,AsiaMa00,targets,7,,,,,
player,201409140min,min,AsiaMa00,rec,5,,,,,
player,201409140min,min,AsiaMa00,rec_yds,48,,,,,
player,201409140min,min,AsiaMa00,rec_td,1,,,,,
player,201409140min,min,AsiaMa00,rec_long,25,,,,,
player,201409140min,min,AsiaMa00,fumbles,0,,,,,
player,201409140min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201409140min,min,McKiJe00,pass_cmp,0,,,,,
player,201409140min,min,McKiJe00,pass_att,0,,,,,
player,201409140min,min,McKiJe00,pass_yds,0,,,,,
player,201409140min,min,McKiJe00,pass_td,0,,,,,
player,201409140min,min,McKiJe00,pass_int,0,,,,,
player,201409140min,min,McKiJe00,pass_sacked,0,,,,,
player,201409140min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201409140min,min,McKiJe00,pass_long,0,,,,,
player,201409140min,min,McKiJe00,pass_rating,,,,,,
player,201409140min,min,McKiJe00,rush_att,2,,,,,
player,201409140min,min,McKiJe00,rush_yds,7,,,,,
player,201409140min,min,McKiJe00,rush_td,0,,,,,
player,201409140min,min,McKiJe00,rush_long,4,,,,,
player,201409140min,min,McKiJe00,targets,3,,,,,
player,201409140min,min,McKiJe00,rec,2,,,,,
player,201409140min,min,McKiJe00,rec_yds,5,,,,,
player,201409140min,min,McKiJe00,rec_td,0,,,,,
player,201409140min,min,McKiJe00,rec_long,3,,,,,
player,201409140min,min,McKiJe00,fumbles,0,,,,,
player,201409140min,min,McKiJe00,fumbles_lost,0,,,,,
player,201409140min,min,PattCo00,pass_cmp,0,,,,,
player,201409140min,min,PattCo00,pass_att,0,,,,,
player,201409140min,min,PattCo00,pass_yds,0,,,,,
player,201409140min,min,PattCo00,pass_td,0,,,,,
player,201409140min,min,PattCo00,pass_int,0,,,,,
player,201409140min,min,PattCo00,pass_sacked,0,,,,,
player,201409140min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201409140min,min,PattCo00,pass_long,0,,,,,
player,201409140min,min,PattCo00,pass_rating,,,,,,
player,201409140min,min,PattCo00,rush_att,0,,,,,
player,201409140min,min,PattCo00,rush_yds,0,,,,,
player,201409140min,min,PattCo00,rush_td,0,,,,,
player,201409140min,min,PattCo00,rush_long,0,,,,,
player,201409140min,min,PattCo00,targets,7,,,,,
player,201409140min,min,PattCo00,rec,4,,,,,
player,201409140min,min,PattCo00,rec_yds,56,,,,,
player,201409140min,min,PattCo00,rec_td,0,,,,,
player,201409140min,min,PattCo00,rec_long,26,,,,,
player,201409140min,min,PattCo00,fumbles,0,,,,,
player,201409140min,min,PattCo00,fumbles_lost,0,,,,,
player,201409140min,min,RudoKy00,pass_cmp,0,,,,,
player,201409140min,min,RudoKy00,pass_att,0,,,,,
player,201409140min,min,RudoKy00,pass_yds,0,,,,,
player,201409140min,min,RudoKy00,pass_td,0,,,,,
player,201409140min,min,RudoKy00,pass_int,0,,,,,
player,201409140min,min,RudoKy00,pass_sacked,0,,,,,
player,201409140min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201409140min,min,RudoKy00,pass_long,0,,,,,
player,201409140min,min,RudoKy00,pass_rating,,,,,,
player,201409140min,min,RudoKy00,rush_att,0,,,,,
player,201409140min,min,RudoKy00,rush_yds,0,,,,,
player,201409140min,min,RudoKy00,rush_td,0,,,,,
player,201409140min,min,RudoKy00,rush_long,0,,,,,
player,201409140min,min,RudoKy00,targets,8,,,,,
player,201409140min,min,RudoKy00,rec,5,,,,,
player,201409140min,min,RudoKy00,rec_yds,53,,,,,
player,201409140min,min,RudoKy00,rec_td,0,,,,,
player,201409140min,min,RudoKy00,rec_long,17,,,,,
player,201409140min,min,RudoKy00,fumbles,0,,,,,
player,201409140min,min,RudoKy00,fumbles_lost,0,,,,,
player,201409140min,min,ElliRh00,pass_cmp,0,,,,,
player,201409140min,min,ElliRh00,pass_att,0,,,,,
player,201409140min,min,ElliRh00,pass_yds,0,,,,,
player,201409140min,min,ElliRh00,pass_td,0,,,,,
player,201409140min,min,ElliRh00,pass_int,0,,,,,
player,201409140min,min,ElliRh00,pass_sacked,0,,,,,
player,201409140min,min,ElliRh00,pass_sacked_yds,0,,,,,
player,201409140min,min,ElliRh00,pass_long,0,,,,,
player,201409140min,min,ElliRh00,pass_rating,,,,,,
player,201409140min,min,ElliRh00,rush_att,0,,,,,
player,201409140min,min,ElliRh00,rush_yds,0,,,,,
player,201409140min,min,ElliRh00,rush_td,0,,,,,
player,201409140min,min,ElliRh00,rush_long,0,,,,,
player,201409140min,min,ElliRh00,targets,1,,,,,
player,201409140min,min,ElliRh00,rec,1,,,,,
player,201409140min,min,ElliRh00,rec_yds,24,,,,,
player,201409140min,min,ElliRh00,rec_td,0,,,,,
player,201409140min,min,ElliRh00,rec_long,24,,,,,
player,201409140min,min,ElliRh00,fumbles,0,,,,,
player,201409140min,min,ElliRh00,fumbles_lost,0,,,,,
player,201409140min,min,JennGr00,pass_cmp,0,,,,,
player,201409140min,min,JennGr00,pass_att,0,,,,,
player,201409140min,min,JennGr00,pass_yds,0,,,,,
player,201409140min,min,JennGr00,pass_td,0,,,,,
player,201409140min,min,JennGr00,pass_int,0,,,,,
player,201409140min,min,JennGr00,pass_sacked,0,,,,,
player,201409140min,min,JennGr00,pass_sacked_yds,0,,,,,
player,201409140min,min,JennGr00,pass_long,0,,,,,
player,201409140min,min,JennGr00,pass_rating,,,,,,
player,201409140min,min,JennGr00,rush_att,0,,,,,
player,201409140min,min,JennGr00,rush_yds,0,,,,,
player,201409140min,min,JennGr00,rush_td,0,,,,,
player,201409140min,min,JennGr00,rush_long,0,,,,,
player,201409140min,min,JennGr00,targets,5,,,,,
player,201409140min,min,JennGr00,rec,1,,,,,
player,201409140min,min,JennGr00,rec_yds,4,,,,,
player,201409140min,min,JennGr00,rec_td,0,,,,,
player,201409140min,min,JennGr00,rec_long,4,,,,,
player,201409140min,min,JennGr00,fumbles,0,,,,,
player,201409140min,min,JennGr00,fumbles_lost,0,,,,,
player,201409140min,min,ThieAd00,pass_cmp,0,,,,,
player,201409140min,min,ThieAd00,pass_att,0,,,,,
player,201409140min,min,ThieAd00,pass_yds,0,,,,,
player,201409140min,min,ThieAd00,pass_td,0,,,,,
player,201409140min,min,ThieAd00,pass_int,0,,,,,
player,201409140min,min,ThieAd00,pass_sacked,0,,,,,
player,201409140min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201409140min,min,ThieAd00,pass_long,0,,,,,
player,201409140min,min,ThieAd00,pass_rating,,,,,,
player,201409140min,min,ThieAd00,rush_att,0,,,,,
player,201409140min,min,ThieAd00,rush_yds,0,,,,,
player,201409140min,min,ThieAd00,rush_td,0,,,,,
player,201409140min,min,ThieAd00,rush_long,0,,,,,
player,201409140min,min,ThieAd00,targets,2,,,,,
player,201409140min,min,ThieAd00,rec,0,,,,,
player,201409140min,min,ThieAd00,rec_yds,0,,,,,
player,201409140min,min,ThieAd00,rec_td,0,,,,,
player,201409140min,min,ThieAd00,rec_long,0,,,,,
player,201409140min,min,ThieAd00,fumbles,0,,,,,
player,201409140min,min,ThieAd00,fumbles_lost,0,,,,,
player,201409140min,min,WrigJa02,pass_cmp,0,,,,,
player,201409140min,min,WrigJa02,pass_att,0,,,,,
player,201409140min,min,WrigJa02,pass_yds,0,,,,,
player,201409140min,min,WrigJa02,pass_td,0,,,,,
player,201409140min,min,WrigJa02,pass_int,0,,,,,
player,201409140min,min,WrigJa02,pass_sacked,0,,,,,
player,201409140min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201409140min,min,WrigJa02,pass_long,0,,,,,
player,201409140min,min,WrigJa02,pass_rating,,,,,,
player,201409140min,min,WrigJa02,rush_att,1,,,,,
player,201409140min,min,WrigJa02,rush_yds,-5,,,,,
player,201409140min,min,WrigJa02,rush_td,0,,,,,
player,201409140min,min,WrigJa02,rush_long,-5,,,,,
player,201409140min,min,WrigJa02,targets,3,,,,,
player,201409140min,min,WrigJa02,rec,1,,,,,
player,201409140min,min,WrigJa02,rec_yds,12,,,,,
player,201409140min,min,WrigJa02,rec_td,0,,,,,
player,201409140min,min,WrigJa02,rec_long,12,,,,,
player,201409140min,min,WrigJa02,fumbles,0,,,,,
player,201409140min,min,WrigJa02,fumbles_lost,0,,,,,
player,201409140min,nwe,ReviDa99,def_int,1,,,,,
player,201409140min,nwe,ReviDa99,def_int_yds,0,,,,,
player,201409140min,nwe,ReviDa99,def_int_td,0,,,,,
player,201409140min,nwe,ReviDa99,def_int_long,0,,,,,
player,201409140min,nwe,ReviDa99,pass_defended,1,,,,,
player,201409140min,nwe,ReviDa99,sacks,0.0,,,,,
player,201409140min,nwe,ReviDa99,tackles_combined,3,,,,,
player,201409140min,nwe,ReviDa99,tackles_solo,3,,,,,
player,201409140min,nwe,ReviDa99,tackles_assists,0,,,,,
player,201409140min,nwe,ReviDa99,tackles_loss,0,,,,,
player,201409140min,nwe,ReviDa99,qb_hits,0,,,,,
player,201409140min,nwe,ReviDa99,fumbles_rec,0,,,,,
player,201409140min,nwe,ReviDa99,fumbles_rec_yds,0,,,,,
player,201409140min,nwe,ReviDa99,fumbles_rec_td,0,,,,,
player,201409140min,nwe,ReviDa99,fumbles_forced,0,,,,,
player,201409140min,nwe,RyanLo00,def_int,1,,,,,
player,201409140min,nwe,RyanLo00,def_int_yds,0,,,,,
player,201409140min,nwe,RyanLo00,def_int_td,0,,,,,
player,201409140min,nwe,RyanLo00,def_int_long,0,,,,,
player,201409140min,nwe,RyanLo00,pass_defended,2,,,,,
player,201409140min,nwe,RyanLo00,sacks,0.0,,,,,
player,201409140min,nwe,RyanLo00,tackles_combined,3,,,,,
player,201409140min,nwe,RyanLo00,tackles_solo,3,,,,,
player,201409140min,nwe,RyanLo00,tackles_assists,0,,,,,
player,201409140min,nwe,RyanLo00,tackles_loss,0,,,,,
player,201409140min,nwe,RyanLo00,qb_hits,0,,,,,
player,201409140min,nwe,RyanLo00,fumbles_rec,0,,,,,
player,201409140min,nwe,RyanLo00,fumbles_rec_yds,0,,,,,
player,201409140min,nwe,RyanLo00,fumbles_rec_td,0,,,,,
player,201409140min,nwe,RyanLo00,fumbles_forced,0,,,,,
player,201409140min,nwe,EaslDo00,def_int,1,,,,,
player,201409140min,nwe,EaslDo00,def_int_yds,0,,,,,
player,201409140min,nwe,EaslDo00,def_int_td,0,,,,,
player,201409140min,nwe,EaslDo00,def_int_long,0,,,,,
player,201409140min,nwe,EaslDo00,pass_defended,1,,,,,
player,201409140min,nwe,EaslDo00,sacks,0.0,,,,,
player,201409140min,nwe,EaslDo00,tackles_combined,1,,,,,
player,201409140min,nwe,EaslDo00,tackles_solo,1,,,,,
player,201409140min,nwe,EaslDo00,tackles_assists,0,,,,,
player,201409140min,nwe,EaslDo00,tackles_loss,0,,,,,
player,201409140min,nwe,EaslDo00,qb_hits,0,,,,,
player,201409140min,nwe,EaslDo00,fumbles_rec,0,,,,,
player,201409140min,nwe,EaslDo00,fumbles_rec_yds,0,,,,,
player,201409140min,nwe,EaslDo00,fumbles_rec_td,0,,,,,
