game,2014,14,20141207,201412070phi,sea,"Seattle Seahawks",24,phi,"Philadelphia Eagles",14
player,201412070phi,sea,MoeaTo00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_long,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_rating,,,,,,
player,201412070phi,sea,MoeaTo00,rush_att,0,,,,,
player,201412070phi,sea,MoeaTo00,rush_yds,0,,,,,
player,201412070phi,sea,MoeaTo00,rush_td,0,,,,,
player,201412070phi,sea,MoeaTo00,rush_long,0,,,,,
player,201412070phi,sea,MoeaTo00,targets,3,,,,,
player,201412070phi,sea,MoeaTo00,rec,1,,,,,
player,201412070phi,sea,MoeaTo00,rec_yds,15,,,,,
player,201412070phi,sea,MoeaTo00,rec_td,0,,,,,
player,201412070phi,sea,MoeaTo00,rec_long,15,,,,,
player,201412070phi,sea,MoeaTo00,fumbles,0,,,,,
player,201412070phi,sea,MoeaTo00,fumbles_lost,0,,,,,
player,201412070phi,sea,TukuWi00,pass_cmp,0,,,,,
player,201412070phi,sea,TukuWi00,pass_att,0,,,,,
player,201412070phi,sea,TukuWi00,pass_yds,0,,,,,
player,201412070phi,sea,TukuWi00,pass_td,0,,,,,
player,201412070phi,sea,TukuWi00,pass_int,0,,,,,
player,201412070phi,sea,TukuWi00,pass_sacked,0,,,,,
player,201412070phi,sea,TukuWi00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,TukuWi00,pass_long,0,,,,,
player,201412070phi,sea,TukuWi00,pass_rating,,,,,,
player,201412070phi,sea,TukuWi00,rush_att,0,,,,,
player,201412070phi,sea,TukuWi00,rush_yds,0,,,,,
player,201412070phi,sea,TukuWi00,rush_td,0,,,,,
player,201412070phi,sea,TukuWi00,rush_long,0,,,,,
player,201412070phi,sea,TukuWi00,targets,1,,,,,
player,201412070phi,sea,TukuWi00,rec,1,,,,,
player,201412070phi,sea,TukuWi00,rec_yds,4,,,,,
player,201412070phi,sea,TukuWi00,rec_td,0,,,,,
player,201412070phi,sea,TukuWi00,rec_long,4,,,,,
player,201412070phi,sea,TukuWi00,fumbles,0,,,,,
player,201412070phi,sea,TukuWi00,fumbles_lost,0,,,,,
player,201412070phi,sea,WillLu00,pass_cmp,0,,,,,
player,201412070phi,sea,WillLu00,pass_att,0,,,,,
player,201412070phi,sea,WillLu00,pass_yds,0,,,,,
player,201412070phi,sea,WillLu00,pass_td,0,,,,,
player,201412070phi,sea,WillLu00,pass_int,0,,,,,
player,201412070phi,sea,WillLu00,pass_sacked,0,,,,,
player,201412070phi,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,WillLu00,pass_long,0,,,,,
player,201412070phi,sea,WillLu00,pass_rating,,,,,,
player,201412070phi,sea,WillLu00,rush_att,0,,,,,
player,201412070phi,sea,WillLu00,rush_yds,0,,,,,
player,201412070phi,sea,WillLu00,rush_td,0,,,,,
player,201412070phi,sea,WillLu00,rush_long,0,,,,,
player,201412070phi,sea,WillLu00,targets,2,,,,,
player,201412070phi,sea,WillLu00,rec,1,,,,,
player,201412070phi,sea,WillLu00,rec_yds,1,,,,,
player,201412070phi,sea,WillLu00,rec_td,0,,,,,
player,201412070phi,sea,WillLu00,rec_long,1,,,,,
player,201412070phi,sea,WillLu00,fumbles,0,,,,,
player,201412070phi,sea,WillLu00,fumbles_lost,0,,,,,
player,201412070phi,sea,RyanJo21,pass_cmp,0,,,,,
player,201412070phi,sea,RyanJo21,pass_att,0,,,,,
player,201412070phi,sea,RyanJo21,pass_yds,0,,,,,
player,201412070phi,sea,RyanJo21,pass_td,0,,,,,
player,201412070phi,sea,RyanJo21,pass_int,0,,,,,
player,201412070phi,sea,RyanJo21,pass_sacked,0,,,,,
player,201412070phi,sea,RyanJo21,pass_sacked_yds,0,,,,,
player,201412070phi,sea,RyanJo21,pass_long,0,,,,,
player,201412070phi,sea,RyanJo21,pass_rating,,,,,,
player,201412070phi,sea,RyanJo21,rush_att,1,,,,,
player,201412070phi,sea,RyanJo21,rush_yds,0,,,,,
player,201412070phi,sea,RyanJo21,rush_td,0,,,,,
player,201412070phi,sea,RyanJo21,rush_long,0,,,,,
player,201412070phi,sea,RyanJo21,targets,0,,,,,
player,201412070phi,sea,RyanJo21,rec,0,,,,,
player,201412070phi,sea,RyanJo21,rec_yds,0,,,,,
player,201412070phi,sea,RyanJo21,rec_td,0,,,,,
player,201412070phi,sea,RyanJo21,rec_long,0,,,,,
player,201412070phi,sea,RyanJo21,fumbles,1,,,,,
player,201412070phi,sea,RyanJo21,fumbles_lost,1,,,,,
player,201412070phi,phi,SancMa00,pass_cmp,10,,,,,
player,201412070phi,phi,SancMa00,pass_att,20,,,,,
player,201412070phi,phi,SancMa00,pass_yds,96,,,,,
player,201412070phi,phi,SancMa00,pass_td,2,,,,,
player,201412070phi,phi,SancMa00,pass_int,1,,,,,
player,201412070phi,phi,SancMa00,pass_sacked,3,,,,,
player,201412070phi,phi,SancMa00,pass_sacked_yds,14,,,,,
player,201412070phi,phi,SancMa00,pass_long,35,,,,,
player,201412070phi,phi,SancMa00,pass_rating,76.2,,,,,
player,201412070phi,phi,SancMa00,rush_att,1,,,,,
player,201412070phi,phi,SancMa00,rush_yds,7,,,,,
player,201412070phi,phi,SancMa00,rush_td,0,,,,,
player,201412070phi,phi,SancMa00,rush_long,7,,,,,
player,201412070phi,phi,SancMa00,targets,0,,,,,
player,201412070phi,phi,SancMa00,rec,0,,,,,
player,201412070phi,phi,SancMa00,rec_yds,0,,,,,
player,201412070phi,phi,SancMa00,rec_td,0,,,,,
player,201412070phi,phi,SancMa00,rec_long,0,,,,,
player,201412070phi,phi,SancMa00,fumbles,0,,,,,
player,201412070phi,phi,SancMa00,fumbles_lost,0,,,,,
player,201412070phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201412070phi,phi,McCoLe01,pass_att,0,,,,,
player,201412070phi,phi,McCoLe01,pass_yds,0,,,,,
player,201412070phi,phi,McCoLe01,pass_td,0,,,,,
player,201412070phi,phi,McCoLe01,pass_int,0,,,,,
player,201412070phi,phi,McCoLe01,pass_sacked,0,,,,,
player,201412070phi,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201412070phi,phi,McCoLe01,pass_long,0,,,,,
player,201412070phi,phi,McCoLe01,pass_rating,,,,,,
player,201412070phi,phi,McCoLe01,rush_att,17,,,,,
player,201412070phi,phi,McCoLe01,rush_yds,50,,,,,
player,201412070phi,phi,McCoLe01,rush_td,0,,,,,
player,201412070phi,phi,McCoLe01,rush_long,10,,,,,
player,201412070phi,phi,McCoLe01,targets,0,,,,,
player,201412070phi,phi,McCoLe01,rec,0,,,,,
player,201412070phi,phi,McCoLe01,rec_yds,0,,,,,
player,201412070phi,phi,McCoLe01,rec_td,0,,,,,
player,201412070phi,phi,McCoLe01,rec_long,0,,,,,
player,201412070phi,phi,McCoLe01,fumbles,1,,,,,
player,201412070phi,phi,McCoLe01,fumbles_lost,1,,,,,
player,201412070phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_att,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_td,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_int,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_long,0,,,,,
player,201412070phi,phi,ErtzZa00,pass_rating,,,,,,
player,201412070phi,phi,ErtzZa00,rush_att,0,,,,,
player,201412070phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201412070phi,phi,ErtzZa00,rush_td,0,,,,,
player,201412070phi,phi,ErtzZa00,rush_long,0,,,,,
player,201412070phi,phi,ErtzZa00,targets,3,,,,,
player,201412070phi,phi,ErtzZa00,rec,2,,,,,
player,201412070phi,phi,ErtzZa00,rec_yds,39,,,,,
player,201412070phi,phi,ErtzZa00,rec_td,1,,,,,
player,201412070phi,phi,ErtzZa00,rec_long,35,,,,,
player,201412070phi,phi,ErtzZa00,fumbles,0,,,,,
player,201412070phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201412070phi,phi,MattJo00,pass_cmp,0,,,,,
player,201412070phi,phi,MattJo00,pass_att,0,,,,,
player,201412070phi,phi,MattJo00,pass_yds,0,,,,,
player,201412070phi,phi,MattJo00,pass_td,0,,,,,
player,201412070phi,phi,MattJo00,pass_int,0,,,,,
player,201412070phi,phi,MattJo00,pass_sacked,0,,,,,
player,201412070phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,MattJo00,pass_long,0,,,,,
player,201412070phi,phi,MattJo00,pass_rating,,,,,,
player,201412070phi,phi,MattJo00,rush_att,0,,,,,
player,201412070phi,phi,MattJo00,rush_yds,0,,,,,
player,201412070phi,phi,MattJo00,rush_td,0,,,,,
player,201412070phi,phi,MattJo00,rush_long,0,,,,,
player,201412070phi,phi,MattJo00,targets,5,,,,,
player,201412070phi,phi,MattJo00,rec,2,,,,,
player,201412070phi,phi,MattJo00,rec_yds,23,,,,,
player,201412070phi,phi,MattJo00,rec_td,0,,,,,
player,201412070phi,phi,MattJo00,rec_long,17,,,,,
player,201412070phi,phi,MattJo00,fumbles,0,,,,,
player,201412070phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201412070phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201412070phi,phi,MaclJe00,pass_att,0,,,,,
player,201412070phi,phi,MaclJe00,pass_yds,0,,,,,
player,201412070phi,phi,MaclJe00,pass_td,0,,,,,
player,201412070phi,phi,MaclJe00,pass_int,0,,,,,
player,201412070phi,phi,MaclJe00,pass_sacked,0,,,,,
player,201412070phi,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,MaclJe00,pass_long,0,,,,,
player,201412070phi,phi,MaclJe00,pass_rating,,,,,,
player,201412070phi,phi,MaclJe00,rush_att,0,,,,,
player,201412070phi,phi,MaclJe00,rush_yds,0,,,,,
player,201412070phi,phi,MaclJe00,rush_td,0,,,,,
player,201412070phi,phi,MaclJe00,rush_long,0,,,,,
player,201412070phi,phi,MaclJe00,targets,6,,,,,
player,201412070phi,phi,MaclJe00,rec,3,,,,,
player,201412070phi,phi,MaclJe00,rec_yds,21,,,,,
player,201412070phi,phi,MaclJe00,rec_td,1,,,,,
player,201412070phi,phi,MaclJe00,rec_long,12,,,,,
player,201412070phi,phi,MaclJe00,fumbles,0,,,,,
player,201412070phi,phi,MaclJe00,fumbles_lost,0,,,,,
player,201412070phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201412070phi,phi,CoopRi00,pass_att,0,,,,,
player,201412070phi,phi,CoopRi00,pass_yds,0,,,,,
player,201412070phi,phi,CoopRi00,pass_td,0,,,,,
player,201412070phi,phi,CoopRi00,pass_int,0,,,,,
player,201412070phi,phi,CoopRi00,pass_sacked,0,,,,,
player,201412070phi,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,CoopRi00,pass_long,0,,,,,
player,201412070phi,phi,CoopRi00,pass_rating,,,,,,
player,201412070phi,phi,CoopRi00,rush_att,0,,,,,
player,201412070phi,phi,CoopRi00,rush_yds,0,,,,,
player,201412070phi,phi,CoopRi00,rush_td,0,,,,,
player,201412070phi,phi,CoopRi00,rush_long,0,,,,,
player,201412070phi,phi,CoopRi00,targets,5,,,,,
player,201412070phi,phi,CoopRi00,rec,3,,,,,
player,201412070phi,phi,CoopRi00,rec_yds,13,,,,,
player,201412070phi,phi,CoopRi00,rec_td,0,,,,,
player,201412070phi,phi,CoopRi00,rec_long,5,,,,,
player,201412070phi,phi,CoopRi00,fumbles,0,,,,,
player,201412070phi,phi,CoopRi00,fumbles_lost,0,,,,,
player,201412070phi,phi,SproDa00,pass_cmp,0,,,,,
player,201412070phi,phi,SproDa00,pass_att,0,,,,,
player,201412070phi,phi,SproDa00,pass_yds,0,,,,,
player,201412070phi,phi,SproDa00,pass_td,0,,,,,
player,201412070phi,phi,SproDa00,pass_int,0,,,,,
player,201412070phi,phi,SproDa00,pass_sacked,0,,,,,
player,201412070phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,SproDa00,pass_long,0,,,,,
player,201412070phi,phi,SproDa00,pass_rating,,,,,,
player,201412070phi,phi,SproDa00,rush_att,4,,,,,
player,201412070phi,phi,SproDa00,rush_yds,0,,,,,
player,201412070phi,phi,SproDa00,rush_td,0,,,,,
player,201412070phi,phi,SproDa00,rush_long,6,,,,,
player,201412070phi,phi,SproDa00,targets,0,,,,,
player,201412070phi,phi,SproDa00,rec,0,,,,,
player,201412070phi,phi,SproDa00,rec_yds,0,,,,,
player,201412070phi,phi,SproDa00,rec_td,0,,,,,
player,201412070phi,phi,SproDa00,rec_long,0,,,,,
player,201412070phi,phi,SproDa00,fumbles,1,,,,,
player,201412070phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201412070phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201412070phi,phi,CeleBr00,pass_att,0,,,,,
player,201412070phi,phi,CeleBr00,pass_yds,0,,,,,
player,201412070phi,phi,CeleBr00,pass_td,0,,,,,
player,201412070phi,phi,CeleBr00,pass_int,0,,,,,
player,201412070phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201412070phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201412070phi,phi,CeleBr00,pass_long,0,,,,,
player,201412070phi,phi,CeleBr00,pass_rating,,,,,,
player,201412070phi,phi,CeleBr00,rush_att,0,,,,,
player,201412070phi,phi,CeleBr00,rush_yds,0,,,,,
player,201412070phi,phi,CeleBr00,rush_td,0,,,,,
player,201412070phi,phi,CeleBr00,rush_long,0,,,,,
player,201412070phi,phi,CeleBr00,targets,1,,,,,
player,201412070phi,phi,CeleBr00,rec,0,,,,,
player,201412070phi,phi,CeleBr00,rec_yds,0,,,,,
player,201412070phi,phi,CeleBr00,rec_td,0,,,,,
player,201412070phi,phi,CeleBr00,rec_long,0,,,,,
player,201412070phi,phi,CeleBr00,fumbles,0,,,,,
player,201412070phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201412070phi,sea,SimoTh00,def_int,1,,,,,
