game,2014,6,20141012,201410120tam,rav,"Baltimore Ravens",48,tam,"Tampa Bay Buccaneers",17
player,201410120tam,rav,MileJe00,def_int_yds,0,,,,,
player,201410120tam,rav,MileJe00,def_int_td,0,,,,,
player,201410120tam,rav,MileJe00,def_int_long,0,,,,,
player,201410120tam,rav,MileJe00,pass_defended,0,,,,,
player,201410120tam,rav,MileJe00,sacks,0.0,,,,,
player,201410120tam,rav,MileJe00,tackles_combined,4,,,,,
player,201410120tam,rav,MileJe00,tackles_solo,4,,,,,
player,201410120tam,rav,MileJe00,tackles_assists,0,,,,,
player,201410120tam,rav,MileJe00,tackles_loss,0,,,,,
player,201410120tam,rav,MileJe00,qb_hits,0,,,,,
player,201410120tam,rav,MileJe00,fumbles_rec,0,,,,,
player,201410120tam,rav,MileJe00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,MileJe00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,MileJe00,fumbles_forced,0,,,,,
player,201410120tam,rav,NgatHa20,def_int,0,,,,,
player,201410120tam,rav,NgatHa20,def_int_yds,0,,,,,
player,201410120tam,rav,NgatHa20,def_int_td,0,,,,,
player,201410120tam,rav,NgatHa20,def_int_long,0,,,,,
player,201410120tam,rav,NgatHa20,pass_defended,0,,,,,
player,201410120tam,rav,NgatHa20,sacks,0.0,,,,,
player,201410120tam,rav,NgatHa20,tackles_combined,3,,,,,
player,201410120tam,rav,NgatHa20,tackles_solo,2,,,,,
player,201410120tam,rav,NgatHa20,tackles_assists,1,,,,,
player,201410120tam,rav,NgatHa20,tackles_loss,0,,,,,
player,201410120tam,rav,NgatHa20,qb_hits,1,,,,,
player,201410120tam,rav,NgatHa20,fumbles_rec,0,,,,,
player,201410120tam,rav,NgatHa20,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,NgatHa20,fumbles_rec_td,0,,,,,
player,201410120tam,rav,NgatHa20,fumbles_forced,0,,,,,
player,201410120tam,rav,StewDa00,def_int,0,,,,,
player,201410120tam,rav,StewDa00,def_int_yds,0,,,,,
player,201410120tam,rav,StewDa00,def_int_td,0,,,,,
player,201410120tam,rav,StewDa00,def_int_long,0,,,,,
player,201410120tam,rav,StewDa00,pass_defended,0,,,,,
player,201410120tam,rav,StewDa00,sacks,0.0,,,,,
player,201410120tam,rav,StewDa00,tackles_combined,3,,,,,
player,201410120tam,rav,StewDa00,tackles_solo,3,,,,,
player,201410120tam,rav,StewDa00,tackles_assists,0,,,,,
player,201410120tam,rav,StewDa00,tackles_loss,0,,,,,
player,201410120tam,rav,StewDa00,qb_hits,0,,,,,
player,201410120tam,rav,StewDa00,fumbles_rec,0,,,,,
player,201410120tam,rav,StewDa00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,StewDa00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,StewDa00,fumbles_forced,0,,,,,
player,201410120tam,rav,WebbLa99,def_int,0,,,,,
player,201410120tam,rav,WebbLa99,def_int_yds,0,,,,,
player,201410120tam,rav,WebbLa99,def_int_td,0,,,,,
player,201410120tam,rav,WebbLa99,def_int_long,0,,,,,
player,201410120tam,rav,WebbLa99,pass_defended,0,,,,,
player,201410120tam,rav,WebbLa99,sacks,0.0,,,,,
player,201410120tam,rav,WebbLa99,tackles_combined,3,,,,,
player,201410120tam,rav,WebbLa99,tackles_solo,3,,,,,
player,201410120tam,rav,WebbLa99,tackles_assists,0,,,,,
player,201410120tam,rav,WebbLa99,tackles_loss,0,,,,,
player,201410120tam,rav,WebbLa99,qb_hits,0,,,,,
player,201410120tam,rav,WebbLa99,fumbles_rec,0,,,,,
player,201410120tam,rav,WebbLa99,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,WebbLa99,fumbles_rec_td,0,,,,,
player,201410120tam,rav,WebbLa99,fumbles_forced,0,,,,,
player,201410120tam,rav,BrooTe00,def_int,0,,,,,
player,201410120tam,rav,BrooTe00,def_int_yds,0,,,,,
player,201410120tam,rav,BrooTe00,def_int_td,0,,,,,
player,201410120tam,rav,BrooTe00,def_int_long,0,,,,,
player,201410120tam,rav,BrooTe00,pass_defended,0,,,,,
player,201410120tam,rav,BrooTe00,sacks,0.0,,,,,
player,201410120tam,rav,BrooTe00,tackles_combined,2,,,,,
player,201410120tam,rav,BrooTe00,tackles_solo,2,,,,,
player,201410120tam,rav,BrooTe00,tackles_assists,0,,,,,
player,201410120tam,rav,BrooTe00,tackles_loss,0,,,,,
player,201410120tam,rav,BrooTe00,qb_hits,1,,,,,
player,201410120tam,rav,BrooTe00,fumbles_rec,0,,,,,
player,201410120tam,rav,BrooTe00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,BrooTe00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,BrooTe00,fumbles_forced,0,,,,,
player,201410120tam,rav,ElamMa00,def_int,0,,,,,
player,201410120tam,rav,ElamMa00,def_int_yds,0,,,,,
player,201410120tam,rav,ElamMa00,def_int_td,0,,,,,
player,201410120tam,rav,ElamMa00,def_int_long,0,,,,,
player,201410120tam,rav,ElamMa00,pass_defended,0,,,,,
player,201410120tam,rav,ElamMa00,sacks,0.0,,,,,
player,201410120tam,rav,ElamMa00,tackles_combined,2,,,,,
player,201410120tam,rav,ElamMa00,tackles_solo,2,,,,,
player,201410120tam,rav,ElamMa00,tackles_assists,0,,,,,
player,201410120tam,rav,ElamMa00,tackles_loss,0,,,,,
player,201410120tam,rav,ElamMa00,qb_hits,0,,,,,
player,201410120tam,rav,ElamMa00,fumbles_rec,0,,,,,
player,201410120tam,rav,ElamMa00,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,ElamMa00,fumbles_rec_td,0,,,,,
player,201410120tam,rav,ElamMa00,fumbles_forced,0,,,,,
player,201410120tam,rav,FranDo99,def_int,0,,,,,
player,201410120tam,rav,FranDo99,def_int_yds,0,,,,,
player,201410120tam,rav,FranDo99,def_int_td,0,,,,,
player,201410120tam,rav,FranDo99,def_int_long,0,,,,,
player,201410120tam,rav,FranDo99,pass_defended,0,,,,,
player,201410120tam,rav,FranDo99,sacks,0.0,,,,,
player,201410120tam,rav,FranDo99,tackles_combined,2,,,,,
player,201410120tam,rav,FranDo99,tackles_solo,2,,,,,
player,201410120tam,rav,FranDo99,tackles_assists,0,,,,,
player,201410120tam,rav,FranDo99,tackles_loss,0,,,,,
player,201410120tam,rav,FranDo99,qb_hits,0,,,,,
player,201410120tam,rav,FranDo99,fumbles_rec,0,,,,,
player,201410120tam,rav,FranDo99,fumbles_rec_yds,0,,,,,
player,201410120tam,rav,FranDo99,fumbles_rec_td,0,,,,,
player,201410120tam,rav,FranDo99,fumbles_forced,0,,,,,
player,201410120tam,rav,UpshCo00,def_int,0,,,,,
player,201410120tam,rav,UpshCo00,def_int_yds,0,,,,,
player,201410120tam,rav,UpshCo00,def_int_td,0,,,,,
player,201410120tam,rav,UpshCo00,def_int_long,0,,,,,
player,201410120tam,rav,UpshCo00,pass_defended,0,,,,,
player,201410120tam,rav,UpshCo00,sacks,0.0,,,,,
player,201410120tam,rav,UpshCo00,tackles_combined,2,,,,,
