game,2014,5,20141005,201410050phi,ram,"St. Louis Rams",28,phi,"Philadelphia Eagles",34
player,201410050phi,ram,QuicBr00,pass_rating,,,,,,
player,201410050phi,ram,QuicBr00,rush_att,0,,,,,
player,201410050phi,ram,QuicBr00,rush_yds,0,,,,,
player,201410050phi,ram,QuicBr00,rush_td,0,,,,,
player,201410050phi,ram,QuicBr00,rush_long,0,,,,,
player,201410050phi,ram,QuicBr00,targets,9,,,,,
player,201410050phi,ram,QuicBr00,rec,5,,,,,
player,201410050phi,ram,QuicBr00,rec_yds,87,,,,,
player,201410050phi,ram,QuicBr00,rec_td,2,,,,,
player,201410050phi,ram,QuicBr00,rec_long,43,,,,,
player,201410050phi,ram,QuicBr00,fumbles,0,,,,,
player,201410050phi,ram,QuicBr00,fumbles_lost,0,,,,,
player,201410050phi,ram,BritKe00,pass_cmp,0,,,,,
player,201410050phi,ram,BritKe00,pass_att,0,,,,,
player,201410050phi,ram,BritKe00,pass_yds,0,,,,,
player,201410050phi,ram,BritKe00,pass_td,0,,,,,
player,201410050phi,ram,BritKe00,pass_int,0,,,,,
player,201410050phi,ram,BritKe00,pass_sacked,0,,,,,
player,201410050phi,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,BritKe00,pass_long,0,,,,,
player,201410050phi,ram,BritKe00,pass_rating,,,,,,
player,201410050phi,ram,BritKe00,rush_att,0,,,,,
player,201410050phi,ram,BritKe00,rush_yds,0,,,,,
player,201410050phi,ram,BritKe00,rush_td,0,,,,,
player,201410050phi,ram,BritKe00,rush_long,0,,,,,
player,201410050phi,ram,BritKe00,targets,6,,,,,
player,201410050phi,ram,BritKe00,rec,3,,,,,
player,201410050phi,ram,BritKe00,rec_yds,68,,,,,
player,201410050phi,ram,BritKe00,rec_td,1,,,,,
player,201410050phi,ram,BritKe00,rec_long,32,,,,,
player,201410050phi,ram,BritKe00,fumbles,0,,,,,
player,201410050phi,ram,BritKe00,fumbles_lost,0,,,,,
player,201410050phi,ram,CookJa02,pass_cmp,0,,,,,
player,201410050phi,ram,CookJa02,pass_att,0,,,,,
player,201410050phi,ram,CookJa02,pass_yds,0,,,,,
player,201410050phi,ram,CookJa02,pass_td,0,,,,,
player,201410050phi,ram,CookJa02,pass_int,0,,,,,
player,201410050phi,ram,CookJa02,pass_sacked,0,,,,,
player,201410050phi,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201410050phi,ram,CookJa02,pass_long,0,,,,,
player,201410050phi,ram,CookJa02,pass_rating,,,,,,
player,201410050phi,ram,CookJa02,rush_att,0,,,,,
player,201410050phi,ram,CookJa02,rush_yds,0,,,,,
player,201410050phi,ram,CookJa02,rush_td,0,,,,,
player,201410050phi,ram,CookJa02,rush_long,0,,,,,
player,201410050phi,ram,CookJa02,targets,10,,,,,
player,201410050phi,ram,CookJa02,rec,4,,,,,
player,201410050phi,ram,CookJa02,rec_yds,44,,,,,
player,201410050phi,ram,CookJa02,rec_td,0,,,,,
player,201410050phi,ram,CookJa02,rec_long,14,,,,,
player,201410050phi,ram,CookJa02,fumbles,0,,,,,
player,201410050phi,ram,CookJa02,fumbles_lost,0,,,,,
player,201410050phi,ram,AustTa00,pass_cmp,0,,,,,
player,201410050phi,ram,AustTa00,pass_att,0,,,,,
player,201410050phi,ram,AustTa00,pass_yds,0,,,,,
player,201410050phi,ram,AustTa00,pass_td,0,,,,,
player,201410050phi,ram,AustTa00,pass_int,0,,,,,
player,201410050phi,ram,AustTa00,pass_sacked,0,,,,,
player,201410050phi,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,AustTa00,pass_long,0,,,,,
player,201410050phi,ram,AustTa00,pass_rating,,,,,,
player,201410050phi,ram,AustTa00,rush_att,0,,,,,
player,201410050phi,ram,AustTa00,rush_yds,0,,,,,
player,201410050phi,ram,AustTa00,rush_td,0,,,,,
player,201410050phi,ram,AustTa00,rush_long,0,,,,,
player,201410050phi,ram,AustTa00,targets,2,,,,,
player,201410050phi,ram,AustTa00,rec,2,,,,,
player,201410050phi,ram,AustTa00,rec_yds,33,,,,,
player,201410050phi,ram,AustTa00,rec_td,0,,,,,
player,201410050phi,ram,AustTa00,rec_long,22,,,,,
player,201410050phi,ram,AustTa00,fumbles,0,,,,,
player,201410050phi,ram,AustTa00,fumbles_lost,0,,,,,
player,201410050phi,ram,PettAu00,pass_cmp,0,,,,,
player,201410050phi,ram,PettAu00,pass_att,0,,,,,
player,201410050phi,ram,PettAu00,pass_yds,0,,,,,
player,201410050phi,ram,PettAu00,pass_td,0,,,,,
player,201410050phi,ram,PettAu00,pass_int,0,,,,,
player,201410050phi,ram,PettAu00,pass_sacked,0,,,,,
player,201410050phi,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,PettAu00,pass_long,0,,,,,
player,201410050phi,ram,PettAu00,pass_rating,,,,,,
player,201410050phi,ram,PettAu00,rush_att,0,,,,,
player,201410050phi,ram,PettAu00,rush_yds,0,,,,,
player,201410050phi,ram,PettAu00,rush_td,0,,,,,
player,201410050phi,ram,PettAu00,rush_long,0,,,,,
player,201410050phi,ram,PettAu00,targets,5,,,,,
player,201410050phi,ram,PettAu00,rec,3,,,,,
player,201410050phi,ram,PettAu00,rec_yds,29,,,,,
player,201410050phi,ram,PettAu00,rec_td,0,,,,,
player,201410050phi,ram,PettAu00,rec_long,16,,,,,
player,201410050phi,ram,PettAu00,fumbles,0,,,,,
player,201410050phi,ram,PettAu00,fumbles_lost,0,,,,,
player,201410050phi,ram,KendLa00,pass_cmp,0,,,,,
player,201410050phi,ram,KendLa00,pass_att,0,,,,,
player,201410050phi,ram,KendLa00,pass_yds,0,,,,,
player,201410050phi,ram,KendLa00,pass_td,0,,,,,
player,201410050phi,ram,KendLa00,pass_int,0,,,,,
player,201410050phi,ram,KendLa00,pass_sacked,0,,,,,
player,201410050phi,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,KendLa00,pass_long,0,,,,,
player,201410050phi,ram,KendLa00,pass_rating,,,,,,
player,201410050phi,ram,KendLa00,rush_att,0,,,,,
player,201410050phi,ram,KendLa00,rush_yds,0,,,,,
player,201410050phi,ram,KendLa00,rush_td,0,,,,,
player,201410050phi,ram,KendLa00,rush_long,0,,,,,
player,201410050phi,ram,KendLa00,targets,1,,,,,
player,201410050phi,ram,KendLa00,rec,1,,,,,
player,201410050phi,ram,KendLa00,rec_yds,22,,,,,
player,201410050phi,ram,KendLa00,rec_td,0,,,,,
player,201410050phi,ram,KendLa00,rec_long,22,,,,,
player,201410050phi,ram,KendLa00,fumbles,0,,,,,
player,201410050phi,ram,KendLa00,fumbles_lost,0,,,,,
player,201410050phi,ram,BailSt01,pass_cmp,0,,,,,
player,201410050phi,ram,BailSt01,pass_att,0,,,,,
player,201410050phi,ram,BailSt01,pass_yds,0,,,,,
player,201410050phi,ram,BailSt01,pass_td,0,,,,,
player,201410050phi,ram,BailSt01,pass_int,0,,,,,
player,201410050phi,ram,BailSt01,pass_sacked,0,,,,,
player,201410050phi,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201410050phi,ram,BailSt01,pass_long,0,,,,,
player,201410050phi,ram,BailSt01,pass_rating,,,,,,
player,201410050phi,ram,BailSt01,rush_att,0,,,,,
player,201410050phi,ram,BailSt01,rush_yds,0,,,,,
player,201410050phi,ram,BailSt01,rush_td,0,,,,,
player,201410050phi,ram,BailSt01,rush_long,0,,,,,
player,201410050phi,ram,BailSt01,targets,3,,,,,
player,201410050phi,ram,BailSt01,rec,2,,,,,
player,201410050phi,ram,BailSt01,rec_yds,20,,,,,
player,201410050phi,ram,BailSt01,rec_td,0,,,,,
player,201410050phi,ram,BailSt01,rec_long,14,,,,,
player,201410050phi,ram,BailSt01,fumbles,0,,,,,
player,201410050phi,ram,BailSt01,fumbles_lost,0,,,,,
player,201410050phi,phi,FoleNi00,pass_cmp,24,,,,,
player,201410050phi,phi,FoleNi00,pass_att,37,,,,,
player,201410050phi,phi,FoleNi00,pass_yds,207,,,,,
player,201410050phi,phi,FoleNi00,pass_td,2,,,,,
player,201410050phi,phi,FoleNi00,pass_int,1,,,,,
player,201410050phi,phi,FoleNi00,pass_sacked,0,,,,,
player,201410050phi,phi,FoleNi00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,FoleNi00,pass_long,24,,,,,
player,201410050phi,phi,FoleNi00,pass_rating,86.2,,,,,
player,201410050phi,phi,FoleNi00,rush_att,2,,,,,
player,201410050phi,phi,FoleNi00,rush_yds,13,,,,,
player,201410050phi,phi,FoleNi00,rush_td,0,,,,,
player,201410050phi,phi,FoleNi00,rush_long,14,,,,,
player,201410050phi,phi,FoleNi00,targets,0,,,,,
player,201410050phi,phi,FoleNi00,rec,0,,,,,
player,201410050phi,phi,FoleNi00,rec_yds,0,,,,,
player,201410050phi,phi,FoleNi00,rec_td,0,,,,,
player,201410050phi,phi,FoleNi00,rec_long,0,,,,,
player,201410050phi,phi,FoleNi00,fumbles,1,,,,,
player,201410050phi,phi,FoleNi00,fumbles_lost,1,,,,,
player,201410050phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201410050phi,phi,McCoLe01,pass_att,0,,,,,
player,201410050phi,phi,McCoLe01,pass_yds,0,,,,,
player,201410050phi,phi,McCoLe01,pass_td,0,,,,,
player,201410050phi,phi,McCoLe01,pass_int,0,,,,,
player,201410050phi,phi,McCoLe01,pass_sacked,0,,,,,
player,201410050phi,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201410050phi,phi,McCoLe01,pass_long,0,,,,,
player,201410050phi,phi,McCoLe01,pass_rating,,,,,,
player,201410050phi,phi,McCoLe01,rush_att,24,,,,,
player,201410050phi,phi,McCoLe01,rush_yds,81,,,,,
player,201410050phi,phi,McCoLe01,rush_td,0,,,,,
player,201410050phi,phi,McCoLe01,rush_long,19,,,,,
player,201410050phi,phi,McCoLe01,targets,4,,,,,
player,201410050phi,phi,McCoLe01,rec,4,,,,,
player,201410050phi,phi,McCoLe01,rec_yds,5,,,,,
player,201410050phi,phi,McCoLe01,rec_td,0,,,,,
player,201410050phi,phi,McCoLe01,rec_long,7,,,,,
player,201410050phi,phi,McCoLe01,fumbles,1,,,,,
player,201410050phi,phi,McCoLe01,fumbles_lost,1,,,,,
player,201410050phi,phi,SproDa00,pass_cmp,0,,,,,
player,201410050phi,phi,SproDa00,pass_att,0,,,,,
player,201410050phi,phi,SproDa00,pass_yds,0,,,,,
player,201410050phi,phi,SproDa00,pass_td,0,,,,,
player,201410050phi,phi,SproDa00,pass_int,0,,,,,
player,201410050phi,phi,SproDa00,pass_sacked,0,,,,,
player,201410050phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,SproDa00,pass_long,0,,,,,
player,201410050phi,phi,SproDa00,pass_rating,,,,,,
player,201410050phi,phi,SproDa00,rush_att,7,,,,,
player,201410050phi,phi,SproDa00,rush_yds,51,,,,,
player,201410050phi,phi,SproDa00,rush_td,0,,,,,
player,201410050phi,phi,SproDa00,rush_long,25,,,,,
player,201410050phi,phi,SproDa00,targets,0,,,,,
player,201410050phi,phi,SproDa00,rec,0,,,,,
player,201410050phi,phi,SproDa00,rec_yds,0,,,,,
player,201410050phi,phi,SproDa00,rec_td,0,,,,,
player,201410050phi,phi,SproDa00,rec_long,0,,,,,
player,201410050phi,phi,SproDa00,fumbles,0,,,,,
player,201410050phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201410050phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201410050phi,phi,MaclJe00,pass_att,0,,,,,
player,201410050phi,phi,MaclJe00,pass_yds,0,,,,,
player,201410050phi,phi,MaclJe00,pass_td,0,,,,,
player,201410050phi,phi,MaclJe00,pass_int,0,,,,,
player,201410050phi,phi,MaclJe00,pass_sacked,0,,,,,
player,201410050phi,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,MaclJe00,pass_long,0,,,,,
player,201410050phi,phi,MaclJe00,pass_rating,,,,,,
player,201410050phi,phi,MaclJe00,rush_att,0,,,,,
player,201410050phi,phi,MaclJe00,rush_yds,0,,,,,
player,201410050phi,phi,MaclJe00,rush_td,0,,,,,
player,201410050phi,phi,MaclJe00,rush_long,0,,,,,
player,201410050phi,phi,MaclJe00,targets,11,,,,,
player,201410050phi,phi,MaclJe00,rec,5,,,,,
player,201410050phi,phi,MaclJe00,rec_yds,76,,,,,
player,201410050phi,phi,MaclJe00,rec_td,1,,,,,
player,201410050phi,phi,MaclJe00,rec_long,24,,,,,
player,201410050phi,phi,MaclJe00,fumbles,0,,,,,
player,201410050phi,phi,MaclJe00,fumbles_lost,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_att,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_td,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_int,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_long,0,,,,,
player,201410050phi,phi,ErtzZa00,pass_rating,,,,,,
player,201410050phi,phi,ErtzZa00,rush_att,0,,,,,
player,201410050phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201410050phi,phi,ErtzZa00,rush_td,0,,,,,
player,201410050phi,phi,ErtzZa00,rush_long,0,,,,,
player,201410050phi,phi,ErtzZa00,targets,6,,,,,
player,201410050phi,phi,ErtzZa00,rec,3,,,,,
player,201410050phi,phi,ErtzZa00,rec_yds,39,,,,,
player,201410050phi,phi,ErtzZa00,rec_td,0,,,,,
player,201410050phi,phi,ErtzZa00,rec_long,19,,,,,
player,201410050phi,phi,ErtzZa00,fumbles,0,,,,,
player,201410050phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201410050phi,phi,MattJo00,pass_cmp,0,,,,,
player,201410050phi,phi,MattJo00,pass_att,0,,,,,
player,201410050phi,phi,MattJo00,pass_yds,0,,,,,
player,201410050phi,phi,MattJo00,pass_td,0,,,,,
player,201410050phi,phi,MattJo00,pass_int,0,,,,,
player,201410050phi,phi,MattJo00,pass_sacked,0,,,,,
player,201410050phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,MattJo00,pass_long,0,,,,,
player,201410050phi,phi,MattJo00,pass_rating,,,,,,
player,201410050phi,phi,MattJo00,rush_att,0,,,,,
player,201410050phi,phi,MattJo00,rush_yds,0,,,,,
player,201410050phi,phi,MattJo00,rush_td,0,,,,,
player,201410050phi,phi,MattJo00,rush_long,0,,,,,
player,201410050phi,phi,MattJo00,targets,7,,,,,
player,201410050phi,phi,MattJo00,rec,4,,,,,
player,201410050phi,phi,MattJo00,rec_yds,35,,,,,
player,201410050phi,phi,MattJo00,rec_td,0,,,,,
player,201410050phi,phi,MattJo00,rec_long,12,,,,,
player,201410050phi,phi,MattJo00,fumbles,0,,,,,
player,201410050phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201410050phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201410050phi,phi,CoopRi00,pass_att,0,,,,,
player,201410050phi,phi,CoopRi00,pass_yds,0,,,,,
player,201410050phi,phi,CoopRi00,pass_td,0,,,,,
player,201410050phi,phi,CoopRi00,pass_int,0,,,,,
player,201410050phi,phi,CoopRi00,pass_sacked,0,,,,,
player,201410050phi,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,CoopRi00,pass_long,0,,,,,
player,201410050phi,phi,CoopRi00,pass_rating,,,,,,
player,201410050phi,phi,CoopRi00,rush_att,0,,,,,
player,201410050phi,phi,CoopRi00,rush_yds,0,,,,,
player,201410050phi,phi,CoopRi00,rush_td,0,,,,,
player,201410050phi,phi,CoopRi00,rush_long,0,,,,,
player,201410050phi,phi,CoopRi00,targets,5,,,,,
player,201410050phi,phi,CoopRi00,rec,4,,,,,
player,201410050phi,phi,CoopRi00,rec_yds,33,,,,,
player,201410050phi,phi,CoopRi00,rec_td,1,,,,,
player,201410050phi,phi,CoopRi00,rec_long,14,,,,,
player,201410050phi,phi,CoopRi00,fumbles,0,,,,,
player,201410050phi,phi,CoopRi00,fumbles_lost,0,,,,,
player,201410050phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201410050phi,phi,CeleBr00,pass_att,0,,,,,
player,201410050phi,phi,CeleBr00,pass_yds,0,,,,,
player,201410050phi,phi,CeleBr00,pass_td,0,,,,,
player,201410050phi,phi,CeleBr00,pass_int,0,,,,,
player,201410050phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201410050phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,CeleBr00,pass_long,0,,,,,
player,201410050phi,phi,CeleBr00,pass_rating,,,,,,
player,201410050phi,phi,CeleBr00,rush_att,0,,,,,
player,201410050phi,phi,CeleBr00,rush_yds,0,,,,,
player,201410050phi,phi,CeleBr00,rush_td,0,,,,,
player,201410050phi,phi,CeleBr00,rush_long,0,,,,,
player,201410050phi,phi,CeleBr00,targets,3,,,,,
player,201410050phi,phi,CeleBr00,rec,3,,,,,
player,201410050phi,phi,CeleBr00,rec_yds,15,,,,,
player,201410050phi,phi,CeleBr00,rec_td,0,,,,,
player,201410050phi,phi,CeleBr00,rec_long,8,,,,,
player,201410050phi,phi,CeleBr00,fumbles,0,,,,,
player,201410050phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201410050phi,phi,HuffJo00,pass_cmp,0,,,,,
player,201410050phi,phi,HuffJo00,pass_att,0,,,,,
player,201410050phi,phi,HuffJo00,pass_yds,0,,,,,
player,201410050phi,phi,HuffJo00,pass_td,0,,,,,
player,201410050phi,phi,HuffJo00,pass_int,0,,,,,
player,201410050phi,phi,HuffJo00,pass_sacked,0,,,,,
player,201410050phi,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201410050phi,phi,HuffJo00,pass_long,0,,,,,
player,201410050phi,phi,HuffJo00,pass_rating,,,,,,
player,201410050phi,phi,HuffJo00,rush_att,0,,,,,
player,201410050phi,phi,HuffJo00,rush_yds,0,,,,,
player,201410050phi,phi,HuffJo00,rush_td,0,,,,,
player,201410050phi,phi,HuffJo00,rush_long,0,,,,,
player,201410050phi,phi,HuffJo00,targets,1,,,,,
player,201410050phi,phi,HuffJo00,rec,1,,,,,
player,201410050phi,phi,HuffJo00,rec_yds,4,,,,,
player,201410050phi,phi,HuffJo00,rec_td,0,,,,,
player,201410050phi,phi,HuffJo00,rec_long,4,,,,,
player,201410050phi,phi,HuffJo00,fumbles,0,,,,,
player,201410050phi,phi,HuffJo00,fumbles_lost,0,,,,,
player,201410050phi,ram,GainE.00,def_int,1,,,,,
player,201410050phi,ram,GainE.00,def_int_yds,0,,,,,
player,201410050phi,ram,GainE.00,def_int_td,0,,,,,
player,201410050phi,ram,GainE.00,def_int_long,0,,,,,
player,201410050phi,ram,GainE.00,pass_defended,2,,,,,
player,201410050phi,ram,GainE.00,sacks,0.0,,,,,
player,201410050phi,ram,GainE.00,tackles_combined,4,,,,,
player,201410050phi,ram,GainE.00,tackles_solo,4,,,,,
player,201410050phi,ram,GainE.00,tackles_assists,0,,,,,
player,201410050phi,ram,GainE.00,tackles_loss,0,,,,,
player,201410050phi,ram,GainE.00,qb_hits,0,,,,,
player,201410050phi,ram,GainE.00,fumbles_rec,1,,,,,
player,201410050phi,ram,GainE.00,fumbles_rec_yds,0,,,,,
player,201410050phi,ram,GainE.00,fumbles_rec_td,0,,,,,
player,201410050phi,ram,GainE.00,fumbles_forced,0,,,,,
player,201410050phi,ram,McDoTJ00,def_int,0,,,,,
player,201410050phi,ram,McDoTJ00,def_int_yds,0,,,,,
player,201410050phi,ram,McDoTJ00,def_int_td,0,,,,,
player,201410050phi,ram,McDoTJ00,def_int_long,0,,,,,
player,201410050phi,ram,McDoTJ00,pass_defended,1,,,,,
player,201410050phi,ram,McDoTJ00,sacks,0.0,,,,,
player,201410050phi,ram,McDoTJ00,tackles_combined,11,,,,,
player,201410050phi,ram,McDoTJ00,tackles_solo,10,,,,,
player,201410050phi,ram,McDoTJ00,tackles_assists,1,,,,,
player,201410050phi,ram,McDoTJ00,tackles_loss,2,,,,,
player,201410050phi,ram,McDoTJ00,qb_hits,0,,,,,
player,201410050phi,ram,McDoTJ00,fumbles_rec,0,,,,,
player,201410050phi,ram,McDoTJ00,fumbles_rec_yds,0,,,,,
player,201410050phi,ram,McDoTJ00,fumbles_rec_td,0,,,,,
player,201410050phi,ram,McDoTJ00,fumbles_forced,0,,,,,
player,201410050phi,ram,OgleAl00,def_int,0,,,,,
player,201410050phi,ram,OgleAl00,def_int_yds,0,,,,,
player,201410050phi,ram,OgleAl00,def_int_td,0,,,,,
player,201410050phi,ram,OgleAl00,def_int_long,0,,,,,
player,201410050phi,ram,OgleAl00,pass_defended,0,,,,,
