game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,dal,EscoGa00,rec,1,,,,,
player,201412040chi,dal,EscoGa00,rec_yds,6,,,,,
player,201412040chi,dal,EscoGa00,rec_td,1,,,,,
player,201412040chi,dal,EscoGa00,rec_long,6,,,,,
player,201412040chi,dal,EscoGa00,fumbles,0,,,,,
player,201412040chi,dal,EscoGa00,fumbles_lost,0,,,,,
player,201412040chi,dal,HarrDw00,pass_cmp,0,,,,,
player,201412040chi,dal,HarrDw00,pass_att,0,,,,,
player,201412040chi,dal,HarrDw00,pass_yds,0,,,,,
player,201412040chi,dal,HarrDw00,pass_td,0,,,,,
player,201412040chi,dal,HarrDw00,pass_int,0,,,,,
player,201412040chi,dal,HarrDw00,pass_sacked,0,,,,,
player,201412040chi,dal,HarrDw00,pass_sacked_yds,0,,,,,
player,201412040chi,dal,HarrDw00,pass_long,0,,,,,
player,201412040chi,dal,HarrDw00,pass_rating,,,,,,
player,201412040chi,dal,HarrDw00,rush_att,0,,,,,
player,201412040chi,dal,HarrDw00,rush_yds,0,,,,,
player,201412040chi,dal,HarrDw00,rush_td,0,,,,,
player,201412040chi,dal,HarrDw00,rush_long,0,,,,,
player,201412040chi,dal,HarrDw00,targets,1,,,,,
player,201412040chi,dal,HarrDw00,rec,0,,,,,
player,201412040chi,dal,HarrDw00,rec_yds,0,,,,,
player,201412040chi,dal,HarrDw00,rec_td,0,,,,,
player,201412040chi,dal,HarrDw00,rec_long,0,,,,,
player,201412040chi,dal,HarrDw00,fumbles,0,,,,,
player,201412040chi,dal,HarrDw00,fumbles_lost,0,,,,,
player,201412040chi,chi,CutlJa00,pass_cmp,32,,,,,
player,201412040chi,chi,CutlJa00,pass_att,46,,,,,
player,201412040chi,chi,CutlJa00,pass_yds,341,,,,,
player,201412040chi,chi,CutlJa00,pass_td,2,,,,,
player,201412040chi,chi,CutlJa00,pass_int,1,,,,,
player,201412040chi,chi,CutlJa00,pass_sacked,0,,,,,
player,201412040chi,chi,CutlJa00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,CutlJa00,pass_long,42,,,,,
player,201412040chi,chi,CutlJa00,pass_rating,96.4,,,,,
player,201412040chi,chi,CutlJa00,rush_att,2,,,,,
player,201412040chi,chi,CutlJa00,rush_yds,9,,,,,
player,201412040chi,chi,CutlJa00,rush_td,1,,,,,
player,201412040chi,chi,CutlJa00,rush_long,10,,,,,
player,201412040chi,chi,CutlJa00,targets,0,,,,,
player,201412040chi,chi,CutlJa00,rec,0,,,,,
player,201412040chi,chi,CutlJa00,rec_yds,0,,,,,
player,201412040chi,chi,CutlJa00,rec_td,0,,,,,
player,201412040chi,chi,CutlJa00,rec_long,0,,,,,
player,201412040chi,chi,CutlJa00,fumbles,0,,,,,
player,201412040chi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201412040chi,chi,FortMa00,pass_cmp,0,,,,,
player,201412040chi,chi,FortMa00,pass_att,0,,,,,
player,201412040chi,chi,FortMa00,pass_yds,0,,,,,
player,201412040chi,chi,FortMa00,pass_td,0,,,,,
player,201412040chi,chi,FortMa00,pass_int,0,,,,,
player,201412040chi,chi,FortMa00,pass_sacked,0,,,,,
player,201412040chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,FortMa00,pass_long,0,,,,,
player,201412040chi,chi,FortMa00,pass_rating,,,,,,
player,201412040chi,chi,FortMa00,rush_att,13,,,,,
player,201412040chi,chi,FortMa00,rush_yds,26,,,,,
player,201412040chi,chi,FortMa00,rush_td,1,,,,,
player,201412040chi,chi,FortMa00,rush_long,7,,,,,
player,201412040chi,chi,FortMa00,targets,9,,,,,
player,201412040chi,chi,FortMa00,rec,8,,,,,
player,201412040chi,chi,FortMa00,rec_yds,74,,,,,
player,201412040chi,chi,FortMa00,rec_td,0,,,,,
player,201412040chi,chi,FortMa00,rec_long,21,,,,,
player,201412040chi,chi,FortMa00,fumbles,1,,,,,
player,201412040chi,chi,FortMa00,fumbles_lost,1,,,,,
player,201412040chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201412040chi,chi,JeffAl00,pass_att,0,,,,,
player,201412040chi,chi,JeffAl00,pass_yds,0,,,,,
player,201412040chi,chi,JeffAl00,pass_td,0,,,,,
player,201412040chi,chi,JeffAl00,pass_int,0,,,,,
player,201412040chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201412040chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,JeffAl00,pass_long,0,,,,,
player,201412040chi,chi,JeffAl00,pass_rating,,,,,,
player,201412040chi,chi,JeffAl00,rush_att,0,,,,,
player,201412040chi,chi,JeffAl00,rush_yds,0,,,,,
player,201412040chi,chi,JeffAl00,rush_td,0,,,,,
player,201412040chi,chi,JeffAl00,rush_long,0,,,,,
player,201412040chi,chi,JeffAl00,targets,9,,,,,
player,201412040chi,chi,JeffAl00,rec,6,,,,,
player,201412040chi,chi,JeffAl00,rec_yds,95,,,,,
player,201412040chi,chi,JeffAl00,rec_td,1,,,,,
player,201412040chi,chi,JeffAl00,rec_long,27,,,,,
player,201412040chi,chi,JeffAl00,fumbles,0,,,,,
player,201412040chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201412040chi,chi,BennMa00,pass_cmp,0,,,,,
player,201412040chi,chi,BennMa00,pass_att,0,,,,,
player,201412040chi,chi,BennMa00,pass_yds,0,,,,,
player,201412040chi,chi,BennMa00,pass_td,0,,,,,
player,201412040chi,chi,BennMa00,pass_int,0,,,,,
player,201412040chi,chi,BennMa00,pass_sacked,0,,,,,
player,201412040chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,BennMa00,pass_long,0,,,,,
player,201412040chi,chi,BennMa00,pass_rating,,,,,,
player,201412040chi,chi,BennMa00,rush_att,0,,,,,
player,201412040chi,chi,BennMa00,rush_yds,0,,,,,
player,201412040chi,chi,BennMa00,rush_td,0,,,,,
player,201412040chi,chi,BennMa00,rush_long,0,,,,,
