game,2014,9,20141102,201411020htx,phi,"Philadelphia Eagles",31,htx,"Houston Texans",21
player,201411020htx,phi,BairBr00,sacks,0.5,,,,,
player,201411020htx,phi,BairBr00,tackles_combined,2,,,,,
player,201411020htx,phi,BairBr00,tackles_solo,1,,,,,
player,201411020htx,phi,BairBr00,tackles_assists,1,,,,,
player,201411020htx,phi,BairBr00,tackles_loss,0,,,,,
player,201411020htx,phi,BairBr00,qb_hits,1,,,,,
player,201411020htx,phi,BairBr00,fumbles_rec,0,,,,,
player,201411020htx,phi,BairBr00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,BairBr00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,BairBr00,fumbles_forced,0,,,,,
player,201411020htx,phi,LogaBe00,def_int,0,,,,,
player,201411020htx,phi,LogaBe00,def_int_yds,0,,,,,
player,201411020htx,phi,LogaBe00,def_int_td,0,,,,,
player,201411020htx,phi,LogaBe00,def_int_long,0,,,,,
player,201411020htx,phi,LogaBe00,pass_defended,0,,,,,
player,201411020htx,phi,LogaBe00,sacks,0.0,,,,,
player,201411020htx,phi,LogaBe00,tackles_combined,5,,,,,
player,201411020htx,phi,LogaBe00,tackles_solo,4,,,,,
player,201411020htx,phi,LogaBe00,tackles_assists,1,,,,,
player,201411020htx,phi,LogaBe00,tackles_loss,2,,,,,
player,201411020htx,phi,LogaBe00,qb_hits,0,,,,,
player,201411020htx,phi,LogaBe00,fumbles_rec,0,,,,,
player,201411020htx,phi,LogaBe00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,LogaBe00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,LogaBe00,fumbles_forced,0,,,,,
player,201411020htx,phi,WolfEa00,def_int,0,,,,,
player,201411020htx,phi,WolfEa00,def_int_yds,0,,,,,
player,201411020htx,phi,WolfEa00,def_int_td,0,,,,,
player,201411020htx,phi,WolfEa00,def_int_long,0,,,,,
player,201411020htx,phi,WolfEa00,pass_defended,0,,,,,
player,201411020htx,phi,WolfEa00,sacks,0.0,,,,,
player,201411020htx,phi,WolfEa00,tackles_combined,5,,,,,
player,201411020htx,phi,WolfEa00,tackles_solo,4,,,,,
player,201411020htx,phi,WolfEa00,tackles_assists,1,,,,,
player,201411020htx,phi,WolfEa00,tackles_loss,0,,,,,
player,201411020htx,phi,WolfEa00,qb_hits,0,,,,,
player,201411020htx,phi,WolfEa00,fumbles_rec,0,,,,,
player,201411020htx,phi,WolfEa00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,WolfEa00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,WolfEa00,fumbles_forced,0,,,,,
player,201411020htx,phi,ColeTr20,def_int,0,,,,,
player,201411020htx,phi,ColeTr20,def_int_yds,0,,,,,
player,201411020htx,phi,ColeTr20,def_int_td,0,,,,,
player,201411020htx,phi,ColeTr20,def_int_long,0,,,,,
player,201411020htx,phi,ColeTr20,pass_defended,0,,,,,
player,201411020htx,phi,ColeTr20,sacks,0.0,,,,,
player,201411020htx,phi,ColeTr20,tackles_combined,4,,,,,
player,201411020htx,phi,ColeTr20,tackles_solo,2,,,,,
player,201411020htx,phi,ColeTr20,tackles_assists,2,,,,,
player,201411020htx,phi,ColeTr20,tackles_loss,0,,,,,
player,201411020htx,phi,ColeTr20,qb_hits,0,,,,,
player,201411020htx,phi,ColeTr20,fumbles_rec,0,,,,,
player,201411020htx,phi,ColeTr20,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,ColeTr20,fumbles_rec_td,0,,,,,
player,201411020htx,phi,ColeTr20,fumbles_forced,0,,,,,
player,201411020htx,phi,FletBr99,def_int,0,,,,,
player,201411020htx,phi,FletBr99,def_int_yds,0,,,,,
player,201411020htx,phi,FletBr99,def_int_td,0,,,,,
player,201411020htx,phi,FletBr99,def_int_long,0,,,,,
player,201411020htx,phi,FletBr99,pass_defended,1,,,,,
player,201411020htx,phi,FletBr99,sacks,0.0,,,,,
player,201411020htx,phi,FletBr99,tackles_combined,4,,,,,
player,201411020htx,phi,FletBr99,tackles_solo,3,,,,,
player,201411020htx,phi,FletBr99,tackles_assists,1,,,,,
player,201411020htx,phi,FletBr99,tackles_loss,1,,,,,
player,201411020htx,phi,FletBr99,qb_hits,0,,,,,
player,201411020htx,phi,FletBr99,fumbles_rec,0,,,,,
player,201411020htx,phi,FletBr99,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,FletBr99,fumbles_rec_td,0,,,,,
player,201411020htx,phi,FletBr99,fumbles_forced,0,,,,,
player,201411020htx,phi,BoykBr00,def_int,0,,,,,
player,201411020htx,phi,BoykBr00,def_int_yds,0,,,,,
player,201411020htx,phi,BoykBr00,def_int_td,0,,,,,
player,201411020htx,phi,BoykBr00,def_int_long,0,,,,,
player,201411020htx,phi,BoykBr00,pass_defended,0,,,,,
player,201411020htx,phi,BoykBr00,sacks,0.0,,,,,
player,201411020htx,phi,BoykBr00,tackles_combined,3,,,,,
