game,2014,4,20140929,201409290kan,nwe,"New England Patriots",14,kan,"Kansas City Chiefs",41
player,201409290kan,kan,SmitAl03,pass_yds,248,,,,,
player,201409290kan,kan,SmitAl03,pass_td,3,,,,,
player,201409290kan,kan,SmitAl03,pass_int,0,,,,,
player,201409290kan,kan,SmitAl03,pass_sacked,2,,,,,
player,201409290kan,kan,SmitAl03,pass_sacked_yds,12,,,,,
player,201409290kan,kan,SmitAl03,pass_long,33,,,,,
player,201409290kan,kan,SmitAl03,pass_rating,144.4,,,,,
player,201409290kan,kan,SmitAl03,rush_att,4,,,,,
player,201409290kan,kan,SmitAl03,rush_yds,8,,,,,
player,201409290kan,kan,SmitAl03,rush_td,0,,,,,
player,201409290kan,kan,SmitAl03,rush_long,8,,,,,
player,201409290kan,kan,SmitAl03,targets,0,,,,,
player,201409290kan,kan,SmitAl03,rec,0,,,,,
player,201409290kan,kan,SmitAl03,rec_yds,0,,,,,
player,201409290kan,kan,SmitAl03,rec_td,0,,,,,
player,201409290kan,kan,SmitAl03,rec_long,0,,,,,
player,201409290kan,kan,SmitAl03,fumbles,0,,,,,
player,201409290kan,kan,SmitAl03,fumbles_lost,0,,,,,
player,201409290kan,kan,DaviKn00,pass_cmp,0,,,,,
player,201409290kan,kan,DaviKn00,pass_att,0,,,,,
player,201409290kan,kan,DaviKn00,pass_yds,0,,,,,
player,201409290kan,kan,DaviKn00,pass_td,0,,,,,
player,201409290kan,kan,DaviKn00,pass_int,0,,,,,
player,201409290kan,kan,DaviKn00,pass_sacked,0,,,,,
player,201409290kan,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,DaviKn00,pass_long,0,,,,,
player,201409290kan,kan,DaviKn00,pass_rating,,,,,,
player,201409290kan,kan,DaviKn00,rush_att,16,,,,,
player,201409290kan,kan,DaviKn00,rush_yds,107,,,,,
player,201409290kan,kan,DaviKn00,rush_td,0,,,,,
player,201409290kan,kan,DaviKn00,rush_long,48,,,,,
player,201409290kan,kan,DaviKn00,targets,2,,,,,
player,201409290kan,kan,DaviKn00,rec,1,,,,,
player,201409290kan,kan,DaviKn00,rec_yds,12,,,,,
player,201409290kan,kan,DaviKn00,rec_td,0,,,,,
player,201409290kan,kan,DaviKn00,rec_long,12,,,,,
player,201409290kan,kan,DaviKn00,fumbles,0,,,,,
player,201409290kan,kan,DaviKn00,fumbles_lost,0,,,,,
player,201409290kan,kan,CharJa00,pass_cmp,0,,,,,
player,201409290kan,kan,CharJa00,pass_att,0,,,,,
player,201409290kan,kan,CharJa00,pass_yds,0,,,,,
player,201409290kan,kan,CharJa00,pass_td,0,,,,,
player,201409290kan,kan,CharJa00,pass_int,0,,,,,
player,201409290kan,kan,CharJa00,pass_sacked,0,,,,,
player,201409290kan,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,CharJa00,pass_long,0,,,,,
player,201409290kan,kan,CharJa00,pass_rating,,,,,,
player,201409290kan,kan,CharJa00,rush_att,18,,,,,
player,201409290kan,kan,CharJa00,rush_yds,92,,,,,
player,201409290kan,kan,CharJa00,rush_td,1,,,,,
player,201409290kan,kan,CharJa00,rush_long,17,,,,,
player,201409290kan,kan,CharJa00,targets,3,,,,,
player,201409290kan,kan,CharJa00,rec,3,,,,,
player,201409290kan,kan,CharJa00,rec_yds,16,,,,,
player,201409290kan,kan,CharJa00,rec_td,2,,,,,
player,201409290kan,kan,CharJa00,rec_long,8,,,,,
player,201409290kan,kan,CharJa00,fumbles,0,,,,,
player,201409290kan,kan,CharJa00,fumbles_lost,0,,,,,
player,201409290kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201409290kan,kan,KelcTr00,pass_att,0,,,,,
player,201409290kan,kan,KelcTr00,pass_yds,0,,,,,
player,201409290kan,kan,KelcTr00,pass_td,0,,,,,
player,201409290kan,kan,KelcTr00,pass_int,0,,,,,
player,201409290kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201409290kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,KelcTr00,pass_long,0,,,,,
player,201409290kan,kan,KelcTr00,pass_rating,,,,,,
player,201409290kan,kan,KelcTr00,rush_att,0,,,,,
player,201409290kan,kan,KelcTr00,rush_yds,0,,,,,
player,201409290kan,kan,KelcTr00,rush_td,0,,,,,
player,201409290kan,kan,KelcTr00,rush_long,0,,,,,
player,201409290kan,kan,KelcTr00,targets,9,,,,,
player,201409290kan,kan,KelcTr00,rec,8,,,,,
player,201409290kan,kan,KelcTr00,rec_yds,93,,,,,
player,201409290kan,kan,KelcTr00,rec_td,1,,,,,
player,201409290kan,kan,KelcTr00,rec_long,33,,,,,
player,201409290kan,kan,KelcTr00,fumbles,0,,,,,
player,201409290kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201409290kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201409290kan,kan,BoweDw00,pass_att,0,,,,,
player,201409290kan,kan,BoweDw00,pass_yds,0,,,,,
player,201409290kan,kan,BoweDw00,pass_td,0,,,,,
player,201409290kan,kan,BoweDw00,pass_int,0,,,,,
player,201409290kan,kan,BoweDw00,pass_sacked,0,,,,,
player,201409290kan,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201409290kan,kan,BoweDw00,pass_long,0,,,,,
player,201409290kan,kan,BoweDw00,pass_rating,,,,,,
player,201409290kan,kan,BoweDw00,rush_att,0,,,,,
