game,2014,17,20141228,201412280nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",26
player,201412280nyg,phi,CoopRi00,pass_long,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_rating,,,,,,
player,201412280nyg,phi,CoopRi00,rush_att,0,,,,,
player,201412280nyg,phi,CoopRi00,rush_yds,0,,,,,
player,201412280nyg,phi,CoopRi00,rush_td,0,,,,,
player,201412280nyg,phi,CoopRi00,rush_long,0,,,,,
player,201412280nyg,phi,CoopRi00,targets,3,,,,,
player,201412280nyg,phi,CoopRi00,rec,2,,,,,
player,201412280nyg,phi,CoopRi00,rec_yds,37,,,,,
player,201412280nyg,phi,CoopRi00,rec_td,0,,,,,
player,201412280nyg,phi,CoopRi00,rec_long,22,,,,,
player,201412280nyg,phi,CoopRi00,fumbles,0,,,,,
player,201412280nyg,phi,CoopRi00,fumbles_lost,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_cmp,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_att,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_yds,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_td,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_int,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_sacked,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_long,0,,,,,
player,201412280nyg,phi,HuffJo00,pass_rating,,,,,,
player,201412280nyg,phi,HuffJo00,rush_att,0,,,,,
player,201412280nyg,phi,HuffJo00,rush_yds,0,,,,,
player,201412280nyg,phi,HuffJo00,rush_td,0,,,,,
player,201412280nyg,phi,HuffJo00,rush_long,0,,,,,
player,201412280nyg,phi,HuffJo00,targets,2,,,,,
player,201412280nyg,phi,HuffJo00,rec,1,,,,,
player,201412280nyg,phi,HuffJo00,rec_yds,6,,,,,
player,201412280nyg,phi,HuffJo00,rec_td,0,,,,,
player,201412280nyg,phi,HuffJo00,rec_long,6,,,,,
player,201412280nyg,phi,HuffJo00,fumbles,0,,,,,
player,201412280nyg,phi,HuffJo00,fumbles_lost,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_cmp,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_att,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_yds,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_td,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_int,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_sacked,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_long,0,,,,,
player,201412280nyg,phi,CeleBr00,pass_rating,,,,,,
player,201412280nyg,phi,CeleBr00,rush_att,0,,,,,
player,201412280nyg,phi,CeleBr00,rush_yds,0,,,,,
player,201412280nyg,phi,CeleBr00,rush_td,0,,,,,
player,201412280nyg,phi,CeleBr00,rush_long,0,,,,,
player,201412280nyg,phi,CeleBr00,targets,1,,,,,
player,201412280nyg,phi,CeleBr00,rec,1,,,,,
player,201412280nyg,phi,CeleBr00,rec_yds,1,,,,,
player,201412280nyg,phi,CeleBr00,rec_td,1,,,,,
player,201412280nyg,phi,CeleBr00,rec_long,1,,,,,
player,201412280nyg,phi,CeleBr00,fumbles,0,,,,,
player,201412280nyg,phi,CeleBr00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,MannEl00,pass_cmp,28,,,,,
player,201412280nyg,nyg,MannEl00,pass_att,53,,,,,
player,201412280nyg,nyg,MannEl00,pass_yds,429,,,,,
player,201412280nyg,nyg,MannEl00,pass_td,1,,,,,
player,201412280nyg,nyg,MannEl00,pass_int,1,,,,,
player,201412280nyg,nyg,MannEl00,pass_sacked,0,,,,,
player,201412280nyg,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,MannEl00,pass_long,63,,,,,
player,201412280nyg,nyg,MannEl00,pass_rating,78.3,,,,,
player,201412280nyg,nyg,MannEl00,rush_att,0,,,,,
player,201412280nyg,nyg,MannEl00,rush_yds,0,,,,,
player,201412280nyg,nyg,MannEl00,rush_td,0,,,,,
player,201412280nyg,nyg,MannEl00,rush_long,0,,,,,
player,201412280nyg,nyg,MannEl00,targets,0,,,,,
player,201412280nyg,nyg,MannEl00,rec,0,,,,,
player,201412280nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201412280nyg,nyg,MannEl00,rec_td,0,,,,,
player,201412280nyg,nyg,MannEl00,rec_long,0,,,,,
player,201412280nyg,nyg,MannEl00,fumbles,0,,,,,
player,201412280nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_cmp,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_att,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_yds,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_td,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_int,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_sacked,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_long,0,,,,,
player,201412280nyg,nyg,WillAn00,pass_rating,,,,,,
player,201412280nyg,nyg,WillAn00,rush_att,15,,,,,
player,201412280nyg,nyg,WillAn00,rush_yds,43,,,,,
player,201412280nyg,nyg,WillAn00,rush_td,1,,,,,
player,201412280nyg,nyg,WillAn00,rush_long,9,,,,,
player,201412280nyg,nyg,WillAn00,targets,3,,,,,
player,201412280nyg,nyg,WillAn00,rec,3,,,,,
player,201412280nyg,nyg,WillAn00,rec_yds,19,,,,,
player,201412280nyg,nyg,WillAn00,rec_td,0,,,,,
player,201412280nyg,nyg,WillAn00,rec_long,14,,,,,
player,201412280nyg,nyg,WillAn00,fumbles,0,,,,,
player,201412280nyg,nyg,WillAn00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_cmp,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_att,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_yds,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_td,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_int,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_sacked,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_long,0,,,,,
player,201412280nyg,nyg,JennRa00,pass_rating,,,,,,
player,201412280nyg,nyg,JennRa00,rush_att,10,,,,,
player,201412280nyg,nyg,JennRa00,rush_yds,33,,,,,
player,201412280nyg,nyg,JennRa00,rush_td,0,,,,,
player,201412280nyg,nyg,JennRa00,rush_long,18,,,,,
player,201412280nyg,nyg,JennRa00,targets,5,,,,,
player,201412280nyg,nyg,JennRa00,rec,3,,,,,
player,201412280nyg,nyg,JennRa00,rec_yds,21,,,,,
player,201412280nyg,nyg,JennRa00,rec_td,0,,,,,
player,201412280nyg,nyg,JennRa00,rec_long,16,,,,,
player,201412280nyg,nyg,JennRa00,fumbles,0,,,,,
player,201412280nyg,nyg,JennRa00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_cmp,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_att,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_yds,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_td,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_int,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_sacked,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_long,0,,,,,
player,201412280nyg,nyg,BeckOd00,pass_rating,,,,,,
player,201412280nyg,nyg,BeckOd00,rush_att,0,,,,,
player,201412280nyg,nyg,BeckOd00,rush_yds,0,,,,,
player,201412280nyg,nyg,BeckOd00,rush_td,0,,,,,
player,201412280nyg,nyg,BeckOd00,rush_long,0,,,,,
player,201412280nyg,nyg,BeckOd00,targets,21,,,,,
player,201412280nyg,nyg,BeckOd00,rec,12,,,,,
player,201412280nyg,nyg,BeckOd00,rec_yds,185,,,,,
player,201412280nyg,nyg,BeckOd00,rec_td,1,,,,,
player,201412280nyg,nyg,BeckOd00,rec_long,63,,,,,
player,201412280nyg,nyg,BeckOd00,fumbles,0,,,,,
player,201412280nyg,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_cmp,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_att,0,,,,,
player,201412280nyg,nyg,RandRu00,pass_yds,0,,,,,
