game,2014,9,20141103,201411030nyg,clt,"Indianapolis Colts",40,nyg,"New York Giants",24
player,201411030nyg,nyg,HillPe00,rush_td,0,,,,,
player,201411030nyg,nyg,HillPe00,rush_long,16,,,,,
player,201411030nyg,nyg,HillPe00,targets,6,,,,,
player,201411030nyg,nyg,HillPe00,rec,5,,,,,
player,201411030nyg,nyg,HillPe00,rec_yds,50,,,,,
player,201411030nyg,nyg,HillPe00,rec_td,0,,,,,
player,201411030nyg,nyg,HillPe00,rec_long,26,,,,,
player,201411030nyg,nyg,HillPe00,fumbles,0,,,,,
player,201411030nyg,nyg,HillPe00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_cmp,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_att,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_yds,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_td,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_int,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_sacked,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_long,0,,,,,
player,201411030nyg,nyg,HynoHe01,pass_rating,,,,,,
player,201411030nyg,nyg,HynoHe01,rush_att,1,,,,,
player,201411030nyg,nyg,HynoHe01,rush_yds,2,,,,,
player,201411030nyg,nyg,HynoHe01,rush_td,0,,,,,
player,201411030nyg,nyg,HynoHe01,rush_long,2,,,,,
player,201411030nyg,nyg,HynoHe01,targets,0,,,,,
player,201411030nyg,nyg,HynoHe01,rec,0,,,,,
player,201411030nyg,nyg,HynoHe01,rec_yds,0,,,,,
player,201411030nyg,nyg,HynoHe01,rec_td,0,,,,,
player,201411030nyg,nyg,HynoHe01,rec_long,0,,,,,
player,201411030nyg,nyg,HynoHe01,fumbles,0,,,,,
player,201411030nyg,nyg,HynoHe01,fumbles_lost,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_cmp,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_att,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_yds,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_td,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_int,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_sacked,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_long,0,,,,,
player,201411030nyg,nyg,BeckOd00,pass_rating,,,,,,
player,201411030nyg,nyg,BeckOd00,rush_att,0,,,,,
player,201411030nyg,nyg,BeckOd00,rush_yds,0,,,,,
player,201411030nyg,nyg,BeckOd00,rush_td,0,,,,,
player,201411030nyg,nyg,BeckOd00,rush_long,0,,,,,
player,201411030nyg,nyg,BeckOd00,targets,11,,,,,
player,201411030nyg,nyg,BeckOd00,rec,8,,,,,
player,201411030nyg,nyg,BeckOd00,rec_yds,156,,,,,
player,201411030nyg,nyg,BeckOd00,rec_td,0,,,,,
player,201411030nyg,nyg,BeckOd00,rec_long,59,,,,,
player,201411030nyg,nyg,BeckOd00,fumbles,0,,,,,
player,201411030nyg,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_cmp,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_att,0,,,,,
player,201411030nyg,nyg,RandRu00,pass_yds,0,,,,,
