game,2014,2,20140914,201409140oti,dal,"Dallas Cowboys",26,oti,"Tennessee Titans",10
player,201409140oti,dal,DunbLa00,fumbles,0,,,,,
player,201409140oti,dal,DunbLa00,fumbles_lost,0,,,,,
player,201409140oti,dal,RandJo01,pass_cmp,0,,,,,
player,201409140oti,dal,RandJo01,pass_att,0,,,,,
player,201409140oti,dal,RandJo01,pass_yds,0,,,,,
player,201409140oti,dal,RandJo01,pass_td,0,,,,,
player,201409140oti,dal,RandJo01,pass_int,0,,,,,
player,201409140oti,dal,RandJo01,pass_sacked,0,,,,,
player,201409140oti,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201409140oti,dal,RandJo01,pass_long,0,,,,,
player,201409140oti,dal,RandJo01,pass_rating,,,,,,
player,201409140oti,dal,RandJo01,rush_att,3,,,,,
player,201409140oti,dal,RandJo01,rush_yds,26,,,,,
player,201409140oti,dal,RandJo01,rush_td,0,,,,,
player,201409140oti,dal,RandJo01,rush_long,11,,,,,
player,201409140oti,dal,RandJo01,targets,0,,,,,
player,201409140oti,dal,RandJo01,rec,0,,,,,
player,201409140oti,dal,RandJo01,rec_yds,0,,,,,
player,201409140oti,dal,RandJo01,rec_td,0,,,,,
player,201409140oti,dal,RandJo01,rec_long,0,,,,,
player,201409140oti,dal,RandJo01,fumbles,0,,,,,
player,201409140oti,dal,RandJo01,fumbles_lost,0,,,,,
player,201409140oti,dal,BryaDe01,pass_cmp,0,,,,,
player,201409140oti,dal,BryaDe01,pass_att,0,,,,,
player,201409140oti,dal,BryaDe01,pass_yds,0,,,,,
player,201409140oti,dal,BryaDe01,pass_td,0,,,,,
player,201409140oti,dal,BryaDe01,pass_int,0,,,,,
player,201409140oti,dal,BryaDe01,pass_sacked,0,,,,,
player,201409140oti,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201409140oti,dal,BryaDe01,pass_long,0,,,,,
player,201409140oti,dal,BryaDe01,pass_rating,,,,,,
player,201409140oti,dal,BryaDe01,rush_att,0,,,,,
player,201409140oti,dal,BryaDe01,rush_yds,0,,,,,
player,201409140oti,dal,BryaDe01,rush_td,0,,,,,
player,201409140oti,dal,BryaDe01,rush_long,0,,,,,
player,201409140oti,dal,BryaDe01,targets,14,,,,,
player,201409140oti,dal,BryaDe01,rec,10,,,,,
player,201409140oti,dal,BryaDe01,rec_yds,103,,,,,
player,201409140oti,dal,BryaDe01,rec_td,1,,,,,
player,201409140oti,dal,BryaDe01,rec_long,22,,,,,
player,201409140oti,dal,BryaDe01,fumbles,0,,,,,
player,201409140oti,dal,BryaDe01,fumbles_lost,0,,,,,
player,201409140oti,dal,WittJa00,pass_cmp,0,,,,,
player,201409140oti,dal,WittJa00,pass_att,0,,,,,
player,201409140oti,dal,WittJa00,pass_yds,0,,,,,
player,201409140oti,dal,WittJa00,pass_td,0,,,,,
player,201409140oti,dal,WittJa00,pass_int,0,,,,,
player,201409140oti,dal,WittJa00,pass_sacked,0,,,,,
player,201409140oti,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201409140oti,dal,WittJa00,pass_long,0,,,,,
player,201409140oti,dal,WittJa00,pass_rating,,,,,,
player,201409140oti,dal,WittJa00,rush_att,0,,,,,
player,201409140oti,dal,WittJa00,rush_yds,0,,,,,
player,201409140oti,dal,WittJa00,rush_td,0,,,,,
player,201409140oti,dal,WittJa00,rush_long,0,,,,,
player,201409140oti,dal,WittJa00,targets,7,,,,,
player,201409140oti,dal,WittJa00,rec,4,,,,,
player,201409140oti,dal,WittJa00,rec_yds,32,,,,,
player,201409140oti,dal,WittJa00,rec_td,0,,,,,
player,201409140oti,dal,WittJa00,rec_long,15,,,,,
player,201409140oti,dal,WittJa00,fumbles,0,,,,,
player,201409140oti,dal,WittJa00,fumbles_lost,0,,,,,
player,201409140oti,dal,WillTe01,pass_cmp,0,,,,,
player,201409140oti,dal,WillTe01,pass_att,0,,,,,
player,201409140oti,dal,WillTe01,pass_yds,0,,,,,
player,201409140oti,dal,WillTe01,pass_td,0,,,,,
player,201409140oti,dal,WillTe01,pass_int,0,,,,,
player,201409140oti,dal,WillTe01,pass_sacked,0,,,,,
player,201409140oti,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201409140oti,dal,WillTe01,pass_long,0,,,,,
player,201409140oti,dal,WillTe01,pass_rating,,,,,,
player,201409140oti,dal,WillTe01,rush_att,0,,,,,
player,201409140oti,dal,WillTe01,rush_yds,0,,,,,
player,201409140oti,dal,WillTe01,rush_td,0,,,,,
player,201409140oti,dal,WillTe01,rush_long,0,,,,,
player,201409140oti,dal,WillTe01,targets,4,,,,,
player,201409140oti,dal,WillTe01,rec,2,,,,,
player,201409140oti,dal,WillTe01,rec_yds,20,,,,,
player,201409140oti,dal,WillTe01,rec_td,0,,,,,
player,201409140oti,dal,WillTe01,rec_long,12,,,,,
player,201409140oti,dal,WillTe01,fumbles,0,,,,,
player,201409140oti,dal,WillTe01,fumbles_lost,0,,,,,
player,201409140oti,dal,BeasCo00,pass_cmp,0,,,,,
player,201409140oti,dal,BeasCo00,pass_att,0,,,,,
player,201409140oti,dal,BeasCo00,pass_yds,0,,,,,
player,201409140oti,dal,BeasCo00,pass_td,0,,,,,
player,201409140oti,dal,BeasCo00,pass_int,0,,,,,
player,201409140oti,dal,BeasCo00,pass_sacked,0,,,,,
player,201409140oti,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201409140oti,dal,BeasCo00,pass_long,0,,,,,
player,201409140oti,dal,BeasCo00,pass_rating,,,,,,
player,201409140oti,dal,BeasCo00,rush_att,0,,,,,
player,201409140oti,dal,BeasCo00,rush_yds,0,,,,,
player,201409140oti,dal,BeasCo00,rush_td,0,,,,,
player,201409140oti,dal,BeasCo00,rush_long,0,,,,,
player,201409140oti,dal,BeasCo00,targets,1,,,,,
player,201409140oti,dal,BeasCo00,rec,1,,,,,
player,201409140oti,dal,BeasCo00,rec_yds,10,,,,,
player,201409140oti,dal,BeasCo00,rec_td,0,,,,,
player,201409140oti,dal,BeasCo00,rec_long,10,,,,,
player,201409140oti,dal,BeasCo00,fumbles,0,,,,,
player,201409140oti,dal,BeasCo00,fumbles_lost,0,,,,,
player,201409140oti,dal,EscoGa00,pass_cmp,0,,,,,
player,201409140oti,dal,EscoGa00,pass_att,0,,,,,
player,201409140oti,dal,EscoGa00,pass_yds,0,,,,,
player,201409140oti,dal,EscoGa00,pass_td,0,,,,,
player,201409140oti,dal,EscoGa00,pass_int,0,,,,,
player,201409140oti,dal,EscoGa00,pass_sacked,0,,,,,
player,201409140oti,dal,EscoGa00,pass_sacked_yds,0,,,,,
player,201409140oti,dal,EscoGa00,pass_long,0,,,,,
player,201409140oti,dal,EscoGa00,pass_rating,,,,,,
player,201409140oti,dal,EscoGa00,rush_att,0,,,,,
player,201409140oti,dal,EscoGa00,rush_yds,0,,,,,
player,201409140oti,dal,EscoGa00,rush_td,0,,,,,
player,201409140oti,dal,EscoGa00,rush_long,0,,,,,
player,201409140oti,dal,EscoGa00,targets,1,,,,,
player,201409140oti,dal,EscoGa00,rec,1,,,,,
player,201409140oti,dal,EscoGa00,rec_yds,5,,,,,
player,201409140oti,dal,EscoGa00,rec_td,0,,,,,
player,201409140oti,dal,EscoGa00,rec_long,5,,,,,
player,201409140oti,dal,EscoGa00,fumbles,0,,,,,
player,201409140oti,dal,EscoGa00,fumbles_lost,0,,,,,
player,201409140oti,oti,LockJa00,pass_cmp,18,,,,,
player,201409140oti,oti,LockJa00,pass_att,34,,,,,
player,201409140oti,oti,LockJa00,pass_yds,234,,,,,
player,201409140oti,oti,LockJa00,pass_td,1,,,,,
player,201409140oti,oti,LockJa00,pass_int,2,,,,,
player,201409140oti,oti,LockJa00,pass_sacked,2,,,,,
player,201409140oti,oti,LockJa00,pass_sacked_yds,2,,,,,
player,201409140oti,oti,LockJa00,pass_long,61,,,,,
player,201409140oti,oti,LockJa00,pass_rating,60.2,,,,,
player,201409140oti,oti,LockJa00,rush_att,2,,,,,
player,201409140oti,oti,LockJa00,rush_yds,9,,,,,
player,201409140oti,oti,LockJa00,rush_td,0,,,,,
player,201409140oti,oti,LockJa00,rush_long,8,,,,,
player,201409140oti,oti,LockJa00,targets,0,,,,,
player,201409140oti,oti,LockJa00,rec,0,,,,,
player,201409140oti,oti,LockJa00,rec_yds,0,,,,,
player,201409140oti,oti,LockJa00,rec_td,0,,,,,
player,201409140oti,oti,LockJa00,rec_long,0,,,,,
player,201409140oti,oti,LockJa00,fumbles,0,,,,,
player,201409140oti,oti,LockJa00,fumbles_lost,0,,,,,
player,201409140oti,oti,GreeSh00,pass_cmp,0,,,,,
player,201409140oti,oti,GreeSh00,pass_att,0,,,,,
player,201409140oti,oti,GreeSh00,pass_yds,0,,,,,
player,201409140oti,oti,GreeSh00,pass_td,0,,,,,
player,201409140oti,oti,GreeSh00,pass_int,0,,,,,
player,201409140oti,oti,GreeSh00,pass_sacked,0,,,,,
player,201409140oti,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,GreeSh00,pass_long,0,,,,,
player,201409140oti,oti,GreeSh00,pass_rating,,,,,,
player,201409140oti,oti,GreeSh00,rush_att,5,,,,,
player,201409140oti,oti,GreeSh00,rush_yds,40,,,,,
player,201409140oti,oti,GreeSh00,rush_td,0,,,,,
player,201409140oti,oti,GreeSh00,rush_long,13,,,,,
player,201409140oti,oti,GreeSh00,targets,0,,,,,
player,201409140oti,oti,GreeSh00,rec,0,,,,,
player,201409140oti,oti,GreeSh00,rec_yds,0,,,,,
player,201409140oti,oti,GreeSh00,rec_td,0,,,,,
player,201409140oti,oti,GreeSh00,rec_long,0,,,,,
player,201409140oti,oti,GreeSh00,fumbles,0,,,,,
player,201409140oti,oti,GreeSh00,fumbles_lost,0,,,,,
player,201409140oti,oti,McClDe00,pass_cmp,0,,,,,
player,201409140oti,oti,McClDe00,pass_att,0,,,,,
player,201409140oti,oti,McClDe00,pass_yds,0,,,,,
player,201409140oti,oti,McClDe00,pass_td,0,,,,,
player,201409140oti,oti,McClDe00,pass_int,0,,,,,
player,201409140oti,oti,McClDe00,pass_sacked,0,,,,,
player,201409140oti,oti,McClDe00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,McClDe00,pass_long,0,,,,,
player,201409140oti,oti,McClDe00,pass_rating,,,,,,
player,201409140oti,oti,McClDe00,rush_att,4,,,,,
player,201409140oti,oti,McClDe00,rush_yds,30,,,,,
player,201409140oti,oti,McClDe00,rush_td,0,,,,,
player,201409140oti,oti,McClDe00,rush_long,16,,,,,
player,201409140oti,oti,McClDe00,targets,1,,,,,
player,201409140oti,oti,McClDe00,rec,1,,,,,
player,201409140oti,oti,McClDe00,rec_yds,9,,,,,
player,201409140oti,oti,McClDe00,rec_td,0,,,,,
player,201409140oti,oti,McClDe00,rec_long,9,,,,,
player,201409140oti,oti,McClDe00,fumbles,0,,,,,
player,201409140oti,oti,McClDe00,fumbles_lost,0,,,,,
player,201409140oti,oti,SankBi00,pass_cmp,0,,,,,
player,201409140oti,oti,SankBi00,pass_att,0,,,,,
player,201409140oti,oti,SankBi00,pass_yds,0,,,,,
player,201409140oti,oti,SankBi00,pass_td,0,,,,,
player,201409140oti,oti,SankBi00,pass_int,0,,,,,
player,201409140oti,oti,SankBi00,pass_sacked,0,,,,,
player,201409140oti,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,SankBi00,pass_long,0,,,,,
player,201409140oti,oti,SankBi00,pass_rating,,,,,,
player,201409140oti,oti,SankBi00,rush_att,2,,,,,
player,201409140oti,oti,SankBi00,rush_yds,3,,,,,
player,201409140oti,oti,SankBi00,rush_td,0,,,,,
player,201409140oti,oti,SankBi00,rush_long,4,,,,,
player,201409140oti,oti,SankBi00,targets,0,,,,,
player,201409140oti,oti,SankBi00,rec,0,,,,,
player,201409140oti,oti,SankBi00,rec_yds,0,,,,,
player,201409140oti,oti,SankBi00,rec_td,0,,,,,
player,201409140oti,oti,SankBi00,rec_long,0,,,,,
player,201409140oti,oti,SankBi00,fumbles,0,,,,,
player,201409140oti,oti,SankBi00,fumbles_lost,0,,,,,
player,201409140oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201409140oti,oti,WalkHu00,pass_att,0,,,,,
player,201409140oti,oti,WalkHu00,pass_yds,0,,,,,
player,201409140oti,oti,WalkHu00,pass_td,0,,,,,
player,201409140oti,oti,WalkHu00,pass_int,0,,,,,
player,201409140oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201409140oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,WalkHu00,pass_long,0,,,,,
player,201409140oti,oti,WalkHu00,pass_rating,,,,,,
player,201409140oti,oti,WalkHu00,rush_att,0,,,,,
player,201409140oti,oti,WalkHu00,rush_yds,0,,,,,
player,201409140oti,oti,WalkHu00,rush_td,0,,,,,
player,201409140oti,oti,WalkHu00,rush_long,0,,,,,
player,201409140oti,oti,WalkHu00,targets,14,,,,,
player,201409140oti,oti,WalkHu00,rec,10,,,,,
player,201409140oti,oti,WalkHu00,rec_yds,142,,,,,
player,201409140oti,oti,WalkHu00,rec_td,1,,,,,
player,201409140oti,oti,WalkHu00,rec_long,61,,,,,
player,201409140oti,oti,WalkHu00,fumbles,1,,,,,
player,201409140oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201409140oti,oti,WrigKe01,pass_cmp,0,,,,,
player,201409140oti,oti,WrigKe01,pass_att,0,,,,,
player,201409140oti,oti,WrigKe01,pass_yds,0,,,,,
player,201409140oti,oti,WrigKe01,pass_td,0,,,,,
player,201409140oti,oti,WrigKe01,pass_int,0,,,,,
player,201409140oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201409140oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201409140oti,oti,WrigKe01,pass_long,0,,,,,
player,201409140oti,oti,WrigKe01,pass_rating,,,,,,
player,201409140oti,oti,WrigKe01,rush_att,0,,,,,
player,201409140oti,oti,WrigKe01,rush_yds,0,,,,,
player,201409140oti,oti,WrigKe01,rush_td,0,,,,,
player,201409140oti,oti,WrigKe01,rush_long,0,,,,,
player,201409140oti,oti,WrigKe01,targets,5,,,,,
player,201409140oti,oti,WrigKe01,rec,3,,,,,
player,201409140oti,oti,WrigKe01,rec_yds,31,,,,,
player,201409140oti,oti,WrigKe01,rec_td,0,,,,,
player,201409140oti,oti,WrigKe01,rec_long,12,,,,,
player,201409140oti,oti,WrigKe01,fumbles,0,,,,,
player,201409140oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201409140oti,oti,HuntJu00,pass_cmp,0,,,,,
player,201409140oti,oti,HuntJu00,pass_att,0,,,,,
player,201409140oti,oti,HuntJu00,pass_yds,0,,,,,
player,201409140oti,oti,HuntJu00,pass_td,0,,,,,
player,201409140oti,oti,HuntJu00,pass_int,0,,,,,
player,201409140oti,oti,HuntJu00,pass_sacked,0,,,,,
player,201409140oti,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,HuntJu00,pass_long,0,,,,,
player,201409140oti,oti,HuntJu00,pass_rating,,,,,,
player,201409140oti,oti,HuntJu00,rush_att,0,,,,,
player,201409140oti,oti,HuntJu00,rush_yds,0,,,,,
player,201409140oti,oti,HuntJu00,rush_td,0,,,,,
player,201409140oti,oti,HuntJu00,rush_long,0,,,,,
player,201409140oti,oti,HuntJu00,targets,6,,,,,
player,201409140oti,oti,HuntJu00,rec,2,,,,,
player,201409140oti,oti,HuntJu00,rec_yds,26,,,,,
player,201409140oti,oti,HuntJu00,rec_td,0,,,,,
player,201409140oti,oti,HuntJu00,rec_long,23,,,,,
player,201409140oti,oti,HuntJu00,fumbles,0,,,,,
player,201409140oti,oti,HuntJu00,fumbles_lost,0,,,,,
player,201409140oti,oti,HagaDe00,pass_cmp,0,,,,,
player,201409140oti,oti,HagaDe00,pass_att,0,,,,,
player,201409140oti,oti,HagaDe00,pass_yds,0,,,,,
player,201409140oti,oti,HagaDe00,pass_td,0,,,,,
player,201409140oti,oti,HagaDe00,pass_int,0,,,,,
player,201409140oti,oti,HagaDe00,pass_sacked,0,,,,,
player,201409140oti,oti,HagaDe00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,HagaDe00,pass_long,0,,,,,
player,201409140oti,oti,HagaDe00,pass_rating,,,,,,
player,201409140oti,oti,HagaDe00,rush_att,0,,,,,
player,201409140oti,oti,HagaDe00,rush_yds,0,,,,,
player,201409140oti,oti,HagaDe00,rush_td,0,,,,,
player,201409140oti,oti,HagaDe00,rush_long,0,,,,,
player,201409140oti,oti,HagaDe00,targets,1,,,,,
player,201409140oti,oti,HagaDe00,rec,1,,,,,
player,201409140oti,oti,HagaDe00,rec_yds,25,,,,,
player,201409140oti,oti,HagaDe00,rec_td,0,,,,,
player,201409140oti,oti,HagaDe00,rec_long,25,,,,,
player,201409140oti,oti,HagaDe00,fumbles,0,,,,,
player,201409140oti,oti,HagaDe00,fumbles_lost,0,,,,,
player,201409140oti,oti,WashNa00,pass_cmp,0,,,,,
player,201409140oti,oti,WashNa00,pass_att,0,,,,,
player,201409140oti,oti,WashNa00,pass_yds,0,,,,,
player,201409140oti,oti,WashNa00,pass_td,0,,,,,
player,201409140oti,oti,WashNa00,pass_int,0,,,,,
player,201409140oti,oti,WashNa00,pass_sacked,0,,,,,
player,201409140oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,WashNa00,pass_long,0,,,,,
player,201409140oti,oti,WashNa00,pass_rating,,,,,,
player,201409140oti,oti,WashNa00,rush_att,0,,,,,
player,201409140oti,oti,WashNa00,rush_yds,0,,,,,
player,201409140oti,oti,WashNa00,rush_td,0,,,,,
player,201409140oti,oti,WashNa00,rush_long,0,,,,,
player,201409140oti,oti,WashNa00,targets,6,,,,,
player,201409140oti,oti,WashNa00,rec,1,,,,,
player,201409140oti,oti,WashNa00,rec_yds,1,,,,,
player,201409140oti,oti,WashNa00,rec_td,0,,,,,
player,201409140oti,oti,WashNa00,rec_long,1,,,,,
player,201409140oti,oti,WashNa00,fumbles,0,,,,,
player,201409140oti,oti,WashNa00,fumbles_lost,0,,,,,
player,201409140oti,oti,ThomTa00,pass_cmp,0,,,,,
player,201409140oti,oti,ThomTa00,pass_att,0,,,,,
player,201409140oti,oti,ThomTa00,pass_yds,0,,,,,
player,201409140oti,oti,ThomTa00,pass_td,0,,,,,
player,201409140oti,oti,ThomTa00,pass_int,0,,,,,
player,201409140oti,oti,ThomTa00,pass_sacked,0,,,,,
player,201409140oti,oti,ThomTa00,pass_sacked_yds,0,,,,,
player,201409140oti,oti,ThomTa00,pass_long,0,,,,,
player,201409140oti,oti,ThomTa00,pass_rating,,,,,,
player,201409140oti,oti,ThomTa00,rush_att,0,,,,,
player,201409140oti,oti,ThomTa00,rush_yds,0,,,,,
player,201409140oti,oti,ThomTa00,rush_td,0,,,,,
player,201409140oti,oti,ThomTa00,rush_long,0,,,,,
player,201409140oti,oti,ThomTa00,targets,1,,,,,
player,201409140oti,oti,ThomTa00,rec,0,,,,,
player,201409140oti,oti,ThomTa00,rec_yds,0,,,,,
player,201409140oti,oti,ThomTa00,rec_td,0,,,,,
player,201409140oti,oti,ThomTa00,rec_long,0,,,,,
player,201409140oti,oti,ThomTa00,fumbles,0,,,,,
player,201409140oti,oti,ThomTa00,fumbles_lost,0,,,,,
player,201409140oti,dal,McClRo00,def_int,1,,,,,
player,201409140oti,dal,McClRo00,def_int_yds,0,,,,,
player,201409140oti,dal,McClRo00,def_int_td,0,,,,,
player,201409140oti,dal,McClRo00,def_int_long,0,,,,,
player,201409140oti,dal,McClRo00,pass_defended,1,,,,,
player,201409140oti,dal,McClRo00,sacks,1.0,,,,,
player,201409140oti,dal,McClRo00,tackles_combined,7,,,,,
player,201409140oti,dal,McClRo00,tackles_solo,5,,,,,
player,201409140oti,dal,McClRo00,tackles_assists,2,,,,,
player,201409140oti,dal,McClRo00,tackles_loss,1,,,,,
player,201409140oti,dal,McClRo00,qb_hits,1,,,,,
player,201409140oti,dal,McClRo00,fumbles_rec,0,,,,,
player,201409140oti,dal,McClRo00,fumbles_rec_yds,0,,,,,
player,201409140oti,dal,McClRo00,fumbles_rec_td,0,,,,,
player,201409140oti,dal,McClRo00,fumbles_forced,0,,,,,
player,201409140oti,dal,ChurBa99,def_int,1,,,,,
player,201409140oti,dal,ChurBa99,def_int_yds,4,,,,,
player,201409140oti,dal,ChurBa99,def_int_td,0,,,,,
player,201409140oti,dal,ChurBa99,def_int_long,4,,,,,
player,201409140oti,dal,ChurBa99,pass_defended,1,,,,,
player,201409140oti,dal,ChurBa99,sacks,0.0,,,,,
player,201409140oti,dal,ChurBa99,tackles_combined,6,,,,,
player,201409140oti,dal,ChurBa99,tackles_solo,5,,,,,
player,201409140oti,dal,ChurBa99,tackles_assists,1,,,,,
player,201409140oti,dal,ChurBa99,tackles_loss,0,,,,,
player,201409140oti,dal,ChurBa99,qb_hits,0,,,,,
player,201409140oti,dal,ChurBa99,fumbles_rec,0,,,,,
player,201409140oti,dal,ChurBa99,fumbles_rec_yds,0,,,,,
player,201409140oti,dal,ChurBa99,fumbles_rec_td,0,,,,,
player,201409140oti,dal,ChurBa99,fumbles_forced,0,,,,,
player,201409140oti,dal,WilbKy00,def_int,0,,,,,
player,201409140oti,dal,WilbKy00,def_int_yds,0,,,,,
player,201409140oti,dal,WilbKy00,def_int_td,0,,,,,
player,201409140oti,dal,WilbKy00,def_int_long,0,,,,,
player,201409140oti,dal,WilbKy00,pass_defended,0,,,,,
player,201409140oti,dal,WilbKy00,sacks,0.5,,,,,
player,201409140oti,dal,WilbKy00,tackles_combined,2,,,,,
player,201409140oti,dal,WilbKy00,tackles_solo,1,,,,,
player,201409140oti,dal,WilbKy00,tackles_assists,1,,,,,
player,201409140oti,dal,WilbKy00,tackles_loss,0,,,,,
player,201409140oti,dal,WilbKy00,qb_hits,1,,,,,
player,201409140oti,dal,WilbKy00,fumbles_rec,0,,,,,
player,201409140oti,dal,WilbKy00,fumbles_rec_yds,0,,,,,
player,201409140oti,dal,WilbKy00,fumbles_rec_td,0,,,,,
player,201409140oti,dal,WilbKy00,fumbles_forced,0,,,,,
player,201409140oti,dal,MeltHe99,def_int,0,,,,,
player,201409140oti,dal,MeltHe99,def_int_yds,0,,,,,
player,201409140oti,dal,MeltHe99,def_int_td,0,,,,,
player,201409140oti,dal,MeltHe99,def_int_long,0,,,,,
player,201409140oti,dal,MeltHe99,pass_defended,1,,,,,
player,201409140oti,dal,MeltHe99,sacks,0.5,,,,,
player,201409140oti,dal,MeltHe99,tackles_combined,1,,,,,
player,201409140oti,dal,MeltHe99,tackles_solo,0,,,,,
