game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
player,201409180atl,tam,JackVi00,pass_cmp,0,,,,,
player,201409180atl,tam,JackVi00,pass_att,0,,,,,
player,201409180atl,tam,JackVi00,pass_yds,0,,,,,
player,201409180atl,tam,JackVi00,pass_td,0,,,,,
player,201409180atl,tam,JackVi00,pass_int,0,,,,,
player,201409180atl,tam,JackVi00,pass_sacked,0,,,,,
player,201409180atl,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201409180atl,tam,JackVi00,pass_long,0,,,,,
player,201409180atl,tam,JackVi00,pass_rating,,,,,,
player,201409180atl,tam,JackVi00,rush_att,0,,,,,
player,201409180atl,tam,JackVi00,rush_yds,0,,,,,
player,201409180atl,tam,JackVi00,rush_td,0,,,,,
player,201409180atl,tam,JackVi00,rush_long,0,,,,,
player,201409180atl,tam,JackVi00,targets,9,,,,,
player,201409180atl,tam,JackVi00,rec,2,,,,,
player,201409180atl,tam,JackVi00,rec_yds,15,,,,,
player,201409180atl,tam,JackVi00,rec_td,1,,,,,
player,201409180atl,tam,JackVi00,rec_long,12,,,,,
player,201409180atl,tam,JackVi00,fumbles,0,,,,,
player,201409180atl,tam,JackVi00,fumbles_lost,0,,,,,
player,201409180atl,tam,HerrRo00,pass_cmp,0,,,,,
player,201409180atl,tam,HerrRo00,pass_att,0,,,,,
player,201409180atl,tam,HerrRo00,pass_yds,0,,,,,
player,201409180atl,tam,HerrRo00,pass_td,0,,,,,
player,201409180atl,tam,HerrRo00,pass_int,0,,,,,
player,201409180atl,tam,HerrRo00,pass_sacked,0,,,,,
player,201409180atl,tam,HerrRo00,pass_sacked_yds,0,,,,,
player,201409180atl,tam,HerrRo00,pass_long,0,,,,,
player,201409180atl,tam,HerrRo00,pass_rating,,,,,,
player,201409180atl,tam,HerrRo00,rush_att,0,,,,,
player,201409180atl,tam,HerrRo00,rush_yds,0,,,,,
player,201409180atl,tam,HerrRo00,rush_td,0,,,,,
player,201409180atl,tam,HerrRo00,rush_long,0,,,,,
player,201409180atl,tam,HerrRo00,targets,3,,,,,
player,201409180atl,tam,HerrRo00,rec,1,,,,,
player,201409180atl,tam,HerrRo00,rec_yds,5,,,,,
player,201409180atl,tam,HerrRo00,rec_td,0,,,,,
player,201409180atl,tam,HerrRo00,rec_long,5,,,,,
player,201409180atl,tam,HerrRo00,fumbles,0,,,,,
player,201409180atl,tam,HerrRo00,fumbles_lost,0,,,,,
player,201409180atl,atl,RyanMa00,pass_cmp,21,,,,,
player,201409180atl,atl,RyanMa00,pass_att,24,,,,,
player,201409180atl,atl,RyanMa00,pass_yds,286,,,,,
player,201409180atl,atl,RyanMa00,pass_td,3,,,,,
player,201409180atl,atl,RyanMa00,pass_int,0,,,,,
player,201409180atl,atl,RyanMa00,pass_sacked,1,,,,,
player,201409180atl,atl,RyanMa00,pass_sacked_yds,6,,,,,
player,201409180atl,atl,RyanMa00,pass_long,40,,,,,
player,201409180atl,atl,RyanMa00,pass_rating,155.9,,,,,
player,201409180atl,atl,RyanMa00,rush_att,1,,,,,
player,201409180atl,atl,RyanMa00,rush_yds,2,,,,,
player,201409180atl,atl,RyanMa00,rush_td,0,,,,,
player,201409180atl,atl,RyanMa00,rush_long,2,,,,,
player,201409180atl,atl,RyanMa00,targets,0,,,,,
player,201409180atl,atl,RyanMa00,rec,0,,,,,
player,201409180atl,atl,RyanMa00,rec_yds,0,,,,,
player,201409180atl,atl,RyanMa00,rec_td,0,,,,,
player,201409180atl,atl,RyanMa00,rec_long,0,,,,,
player,201409180atl,atl,RyanMa00,fumbles,0,,,,,
player,201409180atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201409180atl,atl,YateT.00,pass_cmp,3,,,,,
player,201409180atl,atl,YateT.00,pass_att,4,,,,,
player,201409180atl,atl,YateT.00,pass_yds,64,,,,,
player,201409180atl,atl,YateT.00,pass_td,0,,,,,
player,201409180atl,atl,YateT.00,pass_int,1,,,,,
player,201409180atl,atl,YateT.00,pass_sacked,0,,,,,
player,201409180atl,atl,YateT.00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,YateT.00,pass_long,40,,,,,
player,201409180atl,atl,YateT.00,pass_rating,77.1,,,,,
player,201409180atl,atl,YateT.00,rush_att,0,,,,,
player,201409180atl,atl,YateT.00,rush_yds,0,,,,,
player,201409180atl,atl,YateT.00,rush_td,0,,,,,
player,201409180atl,atl,YateT.00,rush_long,0,,,,,
