game,2014,1,20140907,201409070den,clt,"Indianapolis Colts",24,den,"Denver Broncos",31
player,201409070den,clt,RichTr00,pass_yds,0,,,,,
player,201409070den,clt,RichTr00,pass_td,0,,,,,
player,201409070den,clt,RichTr00,pass_int,0,,,,,
player,201409070den,clt,RichTr00,pass_sacked,0,,,,,
player,201409070den,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201409070den,clt,RichTr00,pass_long,0,,,,,
player,201409070den,clt,RichTr00,pass_rating,,,,,,
player,201409070den,clt,RichTr00,rush_att,6,,,,,
player,201409070den,clt,RichTr00,rush_yds,20,,,,,
player,201409070den,clt,RichTr00,rush_td,0,,,,,
player,201409070den,clt,RichTr00,rush_long,7,,,,,
player,201409070den,clt,RichTr00,targets,4,,,,,
player,201409070den,clt,RichTr00,rec,3,,,,,
player,201409070den,clt,RichTr00,rec_yds,31,,,,,
player,201409070den,clt,RichTr00,rec_td,0,,,,,
player,201409070den,clt,RichTr00,rec_long,16,,,,,
player,201409070den,clt,RichTr00,fumbles,0,,,,,
player,201409070den,clt,RichTr00,fumbles_lost,0,,,,,
player,201409070den,clt,BradAh00,pass_cmp,0,,,,,
player,201409070den,clt,BradAh00,pass_att,0,,,,,
player,201409070den,clt,BradAh00,pass_yds,0,,,,,
player,201409070den,clt,BradAh00,pass_td,0,,,,,
player,201409070den,clt,BradAh00,pass_int,0,,,,,
player,201409070den,clt,BradAh00,pass_sacked,0,,,,,
player,201409070den,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201409070den,clt,BradAh00,pass_long,0,,,,,
player,201409070den,clt,BradAh00,pass_rating,,,,,,
player,201409070den,clt,BradAh00,rush_att,3,,,,,
player,201409070den,clt,BradAh00,rush_yds,15,,,,,
player,201409070den,clt,BradAh00,rush_td,0,,,,,
player,201409070den,clt,BradAh00,rush_long,9,,,,,
player,201409070den,clt,BradAh00,targets,6,,,,,
player,201409070den,clt,BradAh00,rec,5,,,,,
player,201409070den,clt,BradAh00,rec_yds,70,,,,,
player,201409070den,clt,BradAh00,rec_td,0,,,,,
player,201409070den,clt,BradAh00,rec_long,22,,,,,
player,201409070den,clt,BradAh00,fumbles,0,,,,,
player,201409070den,clt,BradAh00,fumbles_lost,0,,,,,
player,201409070den,clt,WaynRe00,pass_cmp,0,,,,,
player,201409070den,clt,WaynRe00,pass_att,0,,,,,
player,201409070den,clt,WaynRe00,pass_yds,0,,,,,
player,201409070den,clt,WaynRe00,pass_td,0,,,,,
player,201409070den,clt,WaynRe00,pass_int,0,,,,,
player,201409070den,clt,WaynRe00,pass_sacked,0,,,,,
player,201409070den,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201409070den,clt,WaynRe00,pass_long,0,,,,,
player,201409070den,clt,WaynRe00,pass_rating,,,,,,
player,201409070den,clt,WaynRe00,rush_att,0,,,,,
player,201409070den,clt,WaynRe00,rush_yds,0,,,,,
player,201409070den,clt,WaynRe00,rush_td,0,,,,,
player,201409070den,clt,WaynRe00,rush_long,0,,,,,
player,201409070den,clt,WaynRe00,targets,13,,,,,
player,201409070den,clt,WaynRe00,rec,9,,,,,
