game,2014,5,20141005,201410050clt,rav,"Baltimore Ravens",13,clt,"Indianapolis Colts",20
player,201410050clt,rav,NgatHa20,def_int_long,3,,,,,
player,201410050clt,rav,NgatHa20,pass_defended,2,,,,,
player,201410050clt,rav,NgatHa20,sacks,0.0,,,,,
player,201410050clt,rav,NgatHa20,tackles_combined,1,,,,,
player,201410050clt,rav,NgatHa20,tackles_solo,1,,,,,
player,201410050clt,rav,NgatHa20,tackles_assists,0,,,,,
player,201410050clt,rav,NgatHa20,tackles_loss,0,,,,,
player,201410050clt,rav,NgatHa20,qb_hits,0,,,,,
player,201410050clt,rav,NgatHa20,fumbles_rec,0,,,,,
player,201410050clt,rav,NgatHa20,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,NgatHa20,fumbles_rec_td,0,,,,,
player,201410050clt,rav,NgatHa20,fumbles_forced,0,,,,,
player,201410050clt,rav,McPhPe00,def_int,0,,,,,
player,201410050clt,rav,McPhPe00,def_int_yds,0,,,,,
player,201410050clt,rav,McPhPe00,def_int_td,0,,,,,
player,201410050clt,rav,McPhPe00,def_int_long,0,,,,,
player,201410050clt,rav,McPhPe00,pass_defended,0,,,,,
player,201410050clt,rav,McPhPe00,sacks,1.0,,,,,
player,201410050clt,rav,McPhPe00,tackles_combined,3,,,,,
player,201410050clt,rav,McPhPe00,tackles_solo,2,,,,,
player,201410050clt,rav,McPhPe00,tackles_assists,1,,,,,
player,201410050clt,rav,McPhPe00,tackles_loss,2,,,,,
player,201410050clt,rav,McPhPe00,qb_hits,3,,,,,
player,201410050clt,rav,McPhPe00,fumbles_rec,0,,,,,
player,201410050clt,rav,McPhPe00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,McPhPe00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,McPhPe00,fumbles_forced,0,,,,,
player,201410050clt,rav,SmitDa24,def_int,0,,,,,
player,201410050clt,rav,SmitDa24,def_int_yds,0,,,,,
player,201410050clt,rav,SmitDa24,def_int_td,0,,,,,
player,201410050clt,rav,SmitDa24,def_int_long,0,,,,,
player,201410050clt,rav,SmitDa24,pass_defended,0,,,,,
player,201410050clt,rav,SmitDa24,sacks,0.0,,,,,
player,201410050clt,rav,SmitDa24,tackles_combined,8,,,,,
player,201410050clt,rav,SmitDa24,tackles_solo,4,,,,,
player,201410050clt,rav,SmitDa24,tackles_assists,4,,,,,
player,201410050clt,rav,SmitDa24,tackles_loss,0,,,,,
player,201410050clt,rav,SmitDa24,qb_hits,0,,,,,
player,201410050clt,rav,SmitDa24,fumbles_rec,0,,,,,
player,201410050clt,rav,SmitDa24,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,SmitDa24,fumbles_rec_td,0,,,,,
player,201410050clt,rav,SmitDa24,fumbles_forced,0,,,,,
player,201410050clt,rav,WebbLa99,def_int,0,,,,,
player,201410050clt,rav,WebbLa99,def_int_yds,0,,,,,
player,201410050clt,rav,WebbLa99,def_int_td,0,,,,,
player,201410050clt,rav,WebbLa99,def_int_long,0,,,,,
player,201410050clt,rav,WebbLa99,pass_defended,2,,,,,
player,201410050clt,rav,WebbLa99,sacks,0.0,,,,,
player,201410050clt,rav,WebbLa99,tackles_combined,6,,,,,
player,201410050clt,rav,WebbLa99,tackles_solo,6,,,,,
player,201410050clt,rav,WebbLa99,tackles_assists,0,,,,,
player,201410050clt,rav,WebbLa99,tackles_loss,0,,,,,
player,201410050clt,rav,WebbLa99,qb_hits,0,,,,,
player,201410050clt,rav,WebbLa99,fumbles_rec,0,,,,,
player,201410050clt,rav,WebbLa99,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,WebbLa99,fumbles_rec_td,0,,,,,
player,201410050clt,rav,WebbLa99,fumbles_forced,0,,,,,
player,201410050clt,rav,TysoDe00,def_int,0,,,,,
player,201410050clt,rav,TysoDe00,def_int_yds,0,,,,,
player,201410050clt,rav,TysoDe00,def_int_td,0,,,,,
player,201410050clt,rav,TysoDe00,def_int_long,0,,,,,
player,201410050clt,rav,TysoDe00,pass_defended,0,,,,,
player,201410050clt,rav,TysoDe00,sacks,0.0,,,,,
player,201410050clt,rav,TysoDe00,tackles_combined,5,,,,,
player,201410050clt,rav,TysoDe00,tackles_solo,1,,,,,
player,201410050clt,rav,TysoDe00,tackles_assists,4,,,,,
player,201410050clt,rav,TysoDe00,tackles_loss,0,,,,,
player,201410050clt,rav,TysoDe00,qb_hits,0,,,,,
player,201410050clt,rav,TysoDe00,fumbles_rec,0,,,,,
player,201410050clt,rav,TysoDe00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,TysoDe00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,TysoDe00,fumbles_forced,0,,,,,
player,201410050clt,rav,UpshCo00,def_int,0,,,,,
player,201410050clt,rav,UpshCo00,def_int_yds,0,,,,,
player,201410050clt,rav,UpshCo00,def_int_td,0,,,,,
player,201410050clt,rav,UpshCo00,def_int_long,0,,,,,
player,201410050clt,rav,UpshCo00,pass_defended,0,,,,,
player,201410050clt,rav,UpshCo00,sacks,0.0,,,,,
player,201410050clt,rav,UpshCo00,tackles_combined,5,,,,,
player,201410050clt,rav,UpshCo00,tackles_solo,5,,,,,
player,201410050clt,rav,UpshCo00,tackles_assists,0,,,,,
player,201410050clt,rav,UpshCo00,tackles_loss,1,,,,,
player,201410050clt,rav,UpshCo00,qb_hits,0,,,,,
player,201410050clt,rav,UpshCo00,fumbles_rec,0,,,,,
player,201410050clt,rav,UpshCo00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,UpshCo00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,UpshCo00,fumbles_forced,0,,,,,
player,201410050clt,rav,MileJe00,def_int,0,,,,,
player,201410050clt,rav,MileJe00,def_int_yds,0,,,,,
player,201410050clt,rav,MileJe00,def_int_td,0,,,,,
player,201410050clt,rav,MileJe00,def_int_long,0,,,,,
player,201410050clt,rav,MileJe00,pass_defended,0,,,,,
player,201410050clt,rav,MileJe00,sacks,0.0,,,,,
player,201410050clt,rav,MileJe00,tackles_combined,4,,,,,
player,201410050clt,rav,MileJe00,tackles_solo,3,,,,,
player,201410050clt,rav,MileJe00,tackles_assists,1,,,,,
player,201410050clt,rav,MileJe00,tackles_loss,0,,,,,
player,201410050clt,rav,MileJe00,qb_hits,0,,,,,
player,201410050clt,rav,MileJe00,fumbles_rec,0,,,,,
player,201410050clt,rav,MileJe00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,MileJe00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,MileJe00,fumbles_forced,1,,,,,
player,201410050clt,rav,SmitJi03,def_int,0,,,,,
player,201410050clt,rav,SmitJi03,def_int_yds,0,,,,,
player,201410050clt,rav,SmitJi03,def_int_td,0,,,,,
