game,2014,2,20140914,201409140rai,htx,"Houston Texans",30,rai,"Oakland Raiders",14
player,201409140rai,rai,MoorDe02,targets,5,,,,,
player,201409140rai,rai,MoorDe02,rec,3,,,,,
player,201409140rai,rai,MoorDe02,rec_yds,29,,,,,
player,201409140rai,rai,MoorDe02,rec_td,0,,,,,
player,201409140rai,rai,MoorDe02,rec_long,12,,,,,
player,201409140rai,rai,MoorDe02,fumbles,0,,,,,
player,201409140rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201409140rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201409140rai,rai,ReecMa00,pass_att,0,,,,,
player,201409140rai,rai,ReecMa00,pass_yds,0,,,,,
player,201409140rai,rai,ReecMa00,pass_td,0,,,,,
player,201409140rai,rai,ReecMa00,pass_int,0,,,,,
player,201409140rai,rai,ReecMa00,pass_sacked,,,,,,
player,201409140rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201409140rai,rai,ReecMa00,pass_long,0,,,,,
player,201409140rai,rai,ReecMa00,pass_rating,,,,,,
player,201409140rai,rai,ReecMa00,rush_att,0,,,,,
player,201409140rai,rai,ReecMa00,rush_yds,0,,,,,
player,201409140rai,rai,ReecMa00,rush_td,0,,,,,
player,201409140rai,rai,ReecMa00,rush_long,0,,,,,
player,201409140rai,rai,ReecMa00,targets,1,,,,,
player,201409140rai,rai,ReecMa00,rec,1,,,,,
player,201409140rai,rai,ReecMa00,rec_yds,11,,,,,
player,201409140rai,rai,ReecMa00,rec_td,0,,,,,
player,201409140rai,rai,ReecMa00,rec_long,11,,,,,
player,201409140rai,rai,ReecMa00,fumbles,0,,,,,
player,201409140rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201409140rai,rai,StreRo00,pass_cmp,0,,,,,
player,201409140rai,rai,StreRo00,pass_att,0,,,,,
player,201409140rai,rai,StreRo00,pass_yds,0,,,,,
player,201409140rai,rai,StreRo00,pass_td,0,,,,,
player,201409140rai,rai,StreRo00,pass_int,0,,,,,
player,201409140rai,rai,StreRo00,pass_sacked,,,,,,
player,201409140rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201409140rai,rai,StreRo00,pass_long,0,,,,,
player,201409140rai,rai,StreRo00,pass_rating,,,,,,
player,201409140rai,rai,StreRo00,rush_att,0,,,,,
player,201409140rai,rai,StreRo00,rush_yds,0,,,,,
player,201409140rai,rai,StreRo00,rush_td,0,,,,,
player,201409140rai,rai,StreRo00,rush_long,0,,,,,
player,201409140rai,rai,StreRo00,targets,3,,,,,
player,201409140rai,rai,StreRo00,rec,1,,,,,
player,201409140rai,rai,StreRo00,rec_yds,6,,,,,
player,201409140rai,rai,StreRo00,rec_td,0,,,,,
player,201409140rai,rai,StreRo00,rec_long,6,,,,,
player,201409140rai,rai,StreRo00,fumbles,0,,,,,
player,201409140rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201409140rai,rai,ButlBr00,pass_cmp,0,,,,,
player,201409140rai,rai,ButlBr00,pass_att,0,,,,,
player,201409140rai,rai,ButlBr00,pass_yds,0,,,,,
player,201409140rai,rai,ButlBr00,pass_td,0,,,,,
player,201409140rai,rai,ButlBr00,pass_int,0,,,,,
player,201409140rai,rai,ButlBr00,pass_sacked,,,,,,
player,201409140rai,rai,ButlBr00,pass_sacked_yds,0,,,,,
player,201409140rai,rai,ButlBr00,pass_long,0,,,,,
player,201409140rai,rai,ButlBr00,pass_rating,,,,,,
player,201409140rai,rai,ButlBr00,rush_att,0,,,,,
player,201409140rai,rai,ButlBr00,rush_yds,0,,,,,
player,201409140rai,rai,ButlBr00,rush_td,0,,,,,
player,201409140rai,rai,ButlBr00,rush_long,0,,,,,
player,201409140rai,rai,ButlBr00,targets,2,,,,,
player,201409140rai,rai,ButlBr00,rec,1,,,,,
player,201409140rai,rai,ButlBr00,rec_yds,-2,,,,,
player,201409140rai,rai,ButlBr00,rec_td,0,,,,,
player,201409140rai,rai,ButlBr00,rec_long,-2,,,,,
player,201409140rai,rai,ButlBr00,fumbles,0,,,,,
player,201409140rai,rai,ButlBr00,fumbles_lost,0,,,,,
player,201409140rai,htx,JackKa99,def_int,1,,,,,
player,201409140rai,htx,JackKa99,def_int_yds,65,,,,,
player,201409140rai,htx,JackKa99,def_int_td,0,,,,,
player,201409140rai,htx,JackKa99,def_int_long,65,,,,,
player,201409140rai,htx,JackKa99,pass_defended,2,,,,,
player,201409140rai,htx,JackKa99,sacks,0.0,,,,,
