game,2014,5,20141005,201410050den,crd,"Arizona Cardinals",20,den,"Denver Broncos",41
player,201410050den,den,MannPe00,pass_td,4,,,,,
player,201410050den,den,MannPe00,pass_int,2,,,,,
player,201410050den,den,MannPe00,pass_sacked,1,,,,,
player,201410050den,den,MannPe00,pass_sacked_yds,3,,,,,
player,201410050den,den,MannPe00,pass_long,86,,,,,
player,201410050den,den,MannPe00,pass_rating,110.2,,,,,
player,201410050den,den,MannPe00,rush_att,2,,,,,
player,201410050den,den,MannPe00,rush_yds,-2,,,,,
player,201410050den,den,MannPe00,rush_td,0,,,,,
player,201410050den,den,MannPe00,rush_long,-1,,,,,
player,201410050den,den,MannPe00,targets,0,,,,,
player,201410050den,den,MannPe00,rec,0,,,,,
player,201410050den,den,MannPe00,rec_yds,0,,,,,
player,201410050den,den,MannPe00,rec_td,0,,,,,
player,201410050den,den,MannPe00,rec_long,0,,,,,
player,201410050den,den,MannPe00,fumbles,0,,,,,
player,201410050den,den,MannPe00,fumbles_lost,0,,,,,
player,201410050den,den,HillRo00,pass_cmp,0,,,,,
player,201410050den,den,HillRo00,pass_att,0,,,,,
player,201410050den,den,HillRo00,pass_yds,0,,,,,
player,201410050den,den,HillRo00,pass_td,0,,,,,
player,201410050den,den,HillRo00,pass_int,0,,,,,
player,201410050den,den,HillRo00,pass_sacked,0,,,,,
player,201410050den,den,HillRo00,pass_sacked_yds,0,,,,,
player,201410050den,den,HillRo00,pass_long,0,,,,,
player,201410050den,den,HillRo00,pass_rating,,,,,,
player,201410050den,den,HillRo00,rush_att,15,,,,,
player,201410050den,den,HillRo00,rush_yds,64,,,,,
player,201410050den,den,HillRo00,rush_td,0,,,,,
player,201410050den,den,HillRo00,rush_long,16,,,,,
player,201410050den,den,HillRo00,targets,1,,,,,
player,201410050den,den,HillRo00,rec,0,,,,,
player,201410050den,den,HillRo00,rec_yds,0,,,,,
player,201410050den,den,HillRo00,rec_td,0,,,,,
player,201410050den,den,HillRo00,rec_long,0,,,,,
player,201410050den,den,HillRo00,fumbles,0,,,,,
player,201410050den,den,HillRo00,fumbles_lost,0,,,,,
player,201410050den,den,ThomJu01,pass_cmp,0,,,,,
player,201410050den,den,ThomJu01,pass_att,0,,,,,
player,201410050den,den,ThomJu01,pass_yds,0,,,,,
player,201410050den,den,ThomJu01,pass_td,0,,,,,
player,201410050den,den,ThomJu01,pass_int,0,,,,,
player,201410050den,den,ThomJu01,pass_sacked,0,,,,,
player,201410050den,den,ThomJu01,pass_sacked_yds,0,,,,,
player,201410050den,den,ThomJu01,pass_long,0,,,,,
player,201410050den,den,ThomJu01,pass_rating,,,,,,
player,201410050den,den,ThomJu01,rush_att,3,,,,,
player,201410050den,den,ThomJu01,rush_yds,15,,,,,
player,201410050den,den,ThomJu01,rush_td,1,,,,,
player,201410050den,den,ThomJu01,rush_long,8,,,,,
player,201410050den,den,ThomJu01,targets,0,,,,,
player,201410050den,den,ThomJu01,rec,0,,,,,
player,201410050den,den,ThomJu01,rec_yds,0,,,,,
player,201410050den,den,ThomJu01,rec_td,0,,,,,
player,201410050den,den,ThomJu01,rec_long,0,,,,,
player,201410050den,den,ThomJu01,fumbles,0,,,,,
player,201410050den,den,ThomJu01,fumbles_lost,0,,,,,
player,201410050den,den,SandEm00,pass_cmp,0,,,,,
player,201410050den,den,SandEm00,pass_att,0,,,,,
player,201410050den,den,SandEm00,pass_yds,0,,,,,
player,201410050den,den,SandEm00,pass_td,0,,,,,
player,201410050den,den,SandEm00,pass_int,0,,,,,
player,201410050den,den,SandEm00,pass_sacked,0,,,,,
player,201410050den,den,SandEm00,pass_sacked_yds,0,,,,,
player,201410050den,den,SandEm00,pass_long,0,,,,,
player,201410050den,den,SandEm00,pass_rating,,,,,,
player,201410050den,den,SandEm00,rush_att,2,,,,,
player,201410050den,den,SandEm00,rush_yds,8,,,,,
player,201410050den,den,SandEm00,rush_td,0,,,,,
player,201410050den,den,SandEm00,rush_long,5,,,,,
player,201410050den,den,SandEm00,targets,9,,,,,
player,201410050den,den,SandEm00,rec,7,,,,,
player,201410050den,den,SandEm00,rec_yds,101,,,,,
player,201410050den,den,SandEm00,rec_td,0,,,,,
player,201410050den,den,SandEm00,rec_long,30,,,,,
player,201410050den,den,SandEm00,fumbles,0,,,,,
player,201410050den,den,SandEm00,fumbles_lost,0,,,,,
player,201410050den,den,BallMo00,pass_cmp,0,,,,,
player,201410050den,den,BallMo00,pass_att,0,,,,,
player,201410050den,den,BallMo00,pass_yds,0,,,,,
player,201410050den,den,BallMo00,pass_td,0,,,,,
player,201410050den,den,BallMo00,pass_int,0,,,,,
player,201410050den,den,BallMo00,pass_sacked,0,,,,,
player,201410050den,den,BallMo00,pass_sacked_yds,0,,,,,
player,201410050den,den,BallMo00,pass_long,0,,,,,
player,201410050den,den,BallMo00,pass_rating,,,,,,
player,201410050den,den,BallMo00,rush_att,6,,,,,
player,201410050den,den,BallMo00,rush_yds,7,,,,,
player,201410050den,den,BallMo00,rush_td,0,,,,,
player,201410050den,den,BallMo00,rush_long,5,,,,,
player,201410050den,den,BallMo00,targets,3,,,,,
player,201410050den,den,BallMo00,rec,2,,,,,
player,201410050den,den,BallMo00,rec_yds,11,,,,,
player,201410050den,den,BallMo00,rec_td,0,,,,,
player,201410050den,den,BallMo00,rec_long,9,,,,,
player,201410050den,den,BallMo00,fumbles,0,,,,,
player,201410050den,den,BallMo00,fumbles_lost,0,,,,,
player,201410050den,den,ThomDe03,pass_cmp,0,,,,,
player,201410050den,den,ThomDe03,pass_att,0,,,,,
player,201410050den,den,ThomDe03,pass_yds,0,,,,,
player,201410050den,den,ThomDe03,pass_td,0,,,,,
player,201410050den,den,ThomDe03,pass_int,0,,,,,
player,201410050den,den,ThomDe03,pass_sacked,0,,,,,
player,201410050den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201410050den,den,ThomDe03,pass_long,0,,,,,
player,201410050den,den,ThomDe03,pass_rating,,,,,,
player,201410050den,den,ThomDe03,rush_att,0,,,,,
player,201410050den,den,ThomDe03,rush_yds,0,,,,,
player,201410050den,den,ThomDe03,rush_td,0,,,,,
player,201410050den,den,ThomDe03,rush_long,0,,,,,
player,201410050den,den,ThomDe03,targets,16,,,,,
player,201410050den,den,ThomDe03,rec,8,,,,,
player,201410050den,den,ThomDe03,rec_yds,226,,,,,
player,201410050den,den,ThomDe03,rec_td,2,,,,,
player,201410050den,den,ThomDe03,rec_long,86,,,,,
player,201410050den,den,ThomDe03,fumbles,0,,,,,
player,201410050den,den,ThomDe03,fumbles_lost,0,,,,,
player,201410050den,den,ThomJu00,pass_cmp,0,,,,,
player,201410050den,den,ThomJu00,pass_att,0,,,,,
player,201410050den,den,ThomJu00,pass_yds,0,,,,,
player,201410050den,den,ThomJu00,pass_td,0,,,,,
player,201410050den,den,ThomJu00,pass_int,0,,,,,
player,201410050den,den,ThomJu00,pass_sacked,0,,,,,
player,201410050den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201410050den,den,ThomJu00,pass_long,0,,,,,
player,201410050den,den,ThomJu00,pass_rating,,,,,,
player,201410050den,den,ThomJu00,rush_att,0,,,,,
player,201410050den,den,ThomJu00,rush_yds,0,,,,,
player,201410050den,den,ThomJu00,rush_td,0,,,,,
player,201410050den,den,ThomJu00,rush_long,0,,,,,
player,201410050den,den,ThomJu00,targets,7,,,,,
player,201410050den,den,ThomJu00,rec,6,,,,,
player,201410050den,den,ThomJu00,rec_yds,66,,,,,
player,201410050den,den,ThomJu00,rec_td,2,,,,,
player,201410050den,den,ThomJu00,rec_long,25,,,,,
player,201410050den,den,ThomJu00,fumbles,0,,,,,
player,201410050den,den,ThomJu00,fumbles_lost,0,,,,,
player,201410050den,den,WelkWe00,pass_cmp,0,,,,,
player,201410050den,den,WelkWe00,pass_att,0,,,,,
player,201410050den,den,WelkWe00,pass_yds,0,,,,,
player,201410050den,den,WelkWe00,pass_td,0,,,,,
player,201410050den,den,WelkWe00,pass_int,0,,,,,
player,201410050den,den,WelkWe00,pass_sacked,0,,,,,
player,201410050den,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201410050den,den,WelkWe00,pass_long,0,,,,,
player,201410050den,den,WelkWe00,pass_rating,,,,,,
player,201410050den,den,WelkWe00,rush_att,0,,,,,
player,201410050den,den,WelkWe00,rush_yds,0,,,,,
player,201410050den,den,WelkWe00,rush_td,0,,,,,
player,201410050den,den,WelkWe00,rush_long,0,,,,,
player,201410050den,den,WelkWe00,targets,9,,,,,
player,201410050den,den,WelkWe00,rec,7,,,,,
player,201410050den,den,WelkWe00,rec_yds,58,,,,,
player,201410050den,den,WelkWe00,rec_td,0,,,,,
player,201410050den,den,WelkWe00,rec_long,20,,,,,
player,201410050den,den,WelkWe00,fumbles,0,,,,,
player,201410050den,den,WelkWe00,fumbles_lost,0,,,,,
player,201410050den,den,TammJa00,pass_cmp,0,,,,,
player,201410050den,den,TammJa00,pass_att,0,,,,,
player,201410050den,den,TammJa00,pass_yds,0,,,,,
player,201410050den,den,TammJa00,pass_td,0,,,,,
player,201410050den,den,TammJa00,pass_int,0,,,,,
player,201410050den,den,TammJa00,pass_sacked,0,,,,,
player,201410050den,den,TammJa00,pass_sacked_yds,0,,,,,
player,201410050den,den,TammJa00,pass_long,0,,,,,
player,201410050den,den,TammJa00,pass_rating,,,,,,
player,201410050den,den,TammJa00,rush_att,0,,,,,
player,201410050den,den,TammJa00,rush_yds,0,,,,,
player,201410050den,den,TammJa00,rush_td,0,,,,,
player,201410050den,den,TammJa00,rush_long,0,,,,,
player,201410050den,den,TammJa00,targets,1,,,,,
player,201410050den,den,TammJa00,rec,1,,,,,
player,201410050den,den,TammJa00,rec_yds,17,,,,,
player,201410050den,den,TammJa00,rec_td,0,,,,,
player,201410050den,den,TammJa00,rec_long,17,,,,,
player,201410050den,den,TammJa00,fumbles,0,,,,,
player,201410050den,den,TammJa00,fumbles_lost,0,,,,,
player,201410050den,den,CaldAn00,pass_cmp,0,,,,,
player,201410050den,den,CaldAn00,pass_att,0,,,,,
player,201410050den,den,CaldAn00,pass_yds,0,,,,,
player,201410050den,den,CaldAn00,pass_td,0,,,,,
player,201410050den,den,CaldAn00,pass_int,0,,,,,
player,201410050den,den,CaldAn00,pass_sacked,0,,,,,
player,201410050den,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201410050den,den,CaldAn00,pass_long,0,,,,,
player,201410050den,den,CaldAn00,pass_rating,,,,,,
player,201410050den,den,CaldAn00,rush_att,0,,,,,
player,201410050den,den,CaldAn00,rush_yds,0,,,,,
player,201410050den,den,CaldAn00,rush_td,0,,,,,
player,201410050den,den,CaldAn00,rush_long,0,,,,,
player,201410050den,den,CaldAn00,targets,1,,,,,
player,201410050den,den,CaldAn00,rec,0,,,,,
player,201410050den,den,CaldAn00,rec_yds,0,,,,,
player,201410050den,den,CaldAn00,rec_td,0,,,,,
player,201410050den,den,CaldAn00,rec_long,0,,,,,
player,201410050den,den,CaldAn00,fumbles,0,,,,,
player,201410050den,den,CaldAn00,fumbles_lost,0,,,,,
player,201410050den,crd,PoweJe99,def_int,1,,,,,
player,201410050den,crd,PoweJe99,def_int_yds,1,,,,,
player,201410050den,crd,PoweJe99,def_int_td,0,,,,,
player,201410050den,crd,PoweJe99,def_int_long,1,,,,,
player,201410050den,crd,PoweJe99,pass_defended,1,,,,,
player,201410050den,crd,PoweJe99,sacks,0.0,,,,,
player,201410050den,crd,PoweJe99,tackles_combined,7,,,,,
player,201410050den,crd,PoweJe99,tackles_solo,7,,,,,
player,201410050den,crd,PoweJe99,tackles_assists,0,,,,,
player,201410050den,crd,PoweJe99,tackles_loss,0,,,,,
player,201410050den,crd,PoweJe99,qb_hits,0,,,,,
player,201410050den,crd,PoweJe99,fumbles_rec,0,,,,,
player,201410050den,crd,PoweJe99,fumbles_rec_yds,0,,,,,
player,201410050den,crd,PoweJe99,fumbles_rec_td,0,,,,,
player,201410050den,crd,PoweJe99,fumbles_forced,0,,,,,
player,201410050den,crd,CampCa99,def_int,1,,,,,
player,201410050den,crd,CampCa99,def_int_yds,23,,,,,
player,201410050den,crd,CampCa99,def_int_td,0,,,,,
player,201410050den,crd,CampCa99,def_int_long,23,,,,,
player,201410050den,crd,CampCa99,pass_defended,1,,,,,
player,201410050den,crd,CampCa99,sacks,0.0,,,,,
player,201410050den,crd,CampCa99,tackles_combined,2,,,,,
player,201410050den,crd,CampCa99,tackles_solo,2,,,,,
player,201410050den,crd,CampCa99,tackles_assists,0,,,,,
player,201410050den,crd,CampCa99,tackles_loss,1,,,,,
player,201410050den,crd,CampCa99,qb_hits,0,,,,,
player,201410050den,crd,CampCa99,fumbles_rec,0,,,,,
player,201410050den,crd,CampCa99,fumbles_rec_yds,0,,,,,
player,201410050den,crd,CampCa99,fumbles_rec_td,0,,,,,
player,201410050den,crd,CampCa99,fumbles_forced,0,,,,,
player,201410050den,crd,RuckFr99,def_int,0,,,,,
player,201410050den,crd,RuckFr99,def_int_yds,0,,,,,
player,201410050den,crd,RuckFr99,def_int_td,0,,,,,
player,201410050den,crd,RuckFr99,def_int_long,0,,,,,
player,201410050den,crd,RuckFr99,pass_defended,0,,,,,
player,201410050den,crd,RuckFr99,sacks,1.0,,,,,
player,201410050den,crd,RuckFr99,tackles_combined,1,,,,,
