game,2013,10,20131110,201311100sfo,car,"Carolina Panthers",10,sfo,"San Francisco 49ers",9
player,201311100sfo,car,SmitSt01,targets,11,,,,,
player,201311100sfo,car,SmitSt01,rec,6,,,,,
player,201311100sfo,car,SmitSt01,rec_yds,63,,,,,
player,201311100sfo,car,SmitSt01,rec_td,0,,,,,
player,201311100sfo,car,SmitSt01,rec_long,19,,,,,
player,201311100sfo,car,SmitSt01,fumbles,0,,,,,
player,201311100sfo,car,SmitSt01,fumbles_lost,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_cmp,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_att,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_yds,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_td,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_int,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_sacked,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_long,0,,,,,
player,201311100sfo,car,LaFeBr00,pass_rating,,,,,,
player,201311100sfo,car,LaFeBr00,rush_att,0,,,,,
player,201311100sfo,car,LaFeBr00,rush_yds,0,,,,,
player,201311100sfo,car,LaFeBr00,rush_td,0,,,,,
player,201311100sfo,car,LaFeBr00,rush_long,0,,,,,
player,201311100sfo,car,LaFeBr00,targets,8,,,,,
player,201311100sfo,car,LaFeBr00,rec,4,,,,,
player,201311100sfo,car,LaFeBr00,rec_yds,48,,,,,
player,201311100sfo,car,LaFeBr00,rec_td,0,,,,,
player,201311100sfo,car,LaFeBr00,rec_long,17,,,,,
player,201311100sfo,car,LaFeBr00,fumbles,0,,,,,
player,201311100sfo,car,LaFeBr00,fumbles_lost,0,,,,,
player,201311100sfo,car,GinnTe00,pass_cmp,0,,,,,
player,201311100sfo,car,GinnTe00,pass_att,0,,,,,
player,201311100sfo,car,GinnTe00,pass_yds,0,,,,,
player,201311100sfo,car,GinnTe00,pass_td,0,,,,,
player,201311100sfo,car,GinnTe00,pass_int,0,,,,,
player,201311100sfo,car,GinnTe00,pass_sacked,0,,,,,
player,201311100sfo,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,GinnTe00,pass_long,0,,,,,
player,201311100sfo,car,GinnTe00,pass_rating,,,,,,
player,201311100sfo,car,GinnTe00,rush_att,0,,,,,
player,201311100sfo,car,GinnTe00,rush_yds,0,,,,,
player,201311100sfo,car,GinnTe00,rush_td,0,,,,,
player,201311100sfo,car,GinnTe00,rush_long,0,,,,,
player,201311100sfo,car,GinnTe00,targets,4,,,,,
player,201311100sfo,car,GinnTe00,rec,2,,,,,
player,201311100sfo,car,GinnTe00,rec_yds,19,,,,,
player,201311100sfo,car,GinnTe00,rec_td,0,,,,,
player,201311100sfo,car,GinnTe00,rec_long,11,,,,,
player,201311100sfo,car,GinnTe00,fumbles,0,,,,,
player,201311100sfo,car,GinnTe00,fumbles_lost,0,,,,,
player,201311100sfo,car,OlseGr00,pass_cmp,0,,,,,
player,201311100sfo,car,OlseGr00,pass_att,0,,,,,
player,201311100sfo,car,OlseGr00,pass_yds,0,,,,,
player,201311100sfo,car,OlseGr00,pass_td,0,,,,,
player,201311100sfo,car,OlseGr00,pass_int,0,,,,,
player,201311100sfo,car,OlseGr00,pass_sacked,0,,,,,
player,201311100sfo,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,OlseGr00,pass_long,0,,,,,
player,201311100sfo,car,OlseGr00,pass_rating,,,,,,
player,201311100sfo,car,OlseGr00,rush_att,0,,,,,
player,201311100sfo,car,OlseGr00,rush_yds,0,,,,,
player,201311100sfo,car,OlseGr00,rush_td,0,,,,,
player,201311100sfo,car,OlseGr00,rush_long,0,,,,,
player,201311100sfo,car,OlseGr00,targets,3,,,,,
player,201311100sfo,car,OlseGr00,rec,1,,,,,
player,201311100sfo,car,OlseGr00,rec_yds,14,,,,,
player,201311100sfo,car,OlseGr00,rec_td,0,,,,,
player,201311100sfo,car,OlseGr00,rec_long,14,,,,,
player,201311100sfo,car,OlseGr00,fumbles,0,,,,,
player,201311100sfo,car,OlseGr00,fumbles_lost,0,,,,,
player,201311100sfo,car,HixoDo00,pass_cmp,0,,,,,
player,201311100sfo,car,HixoDo00,pass_att,0,,,,,
player,201311100sfo,car,HixoDo00,pass_yds,0,,,,,
player,201311100sfo,car,HixoDo00,pass_td,0,,,,,
player,201311100sfo,car,HixoDo00,pass_int,0,,,,,
player,201311100sfo,car,HixoDo00,pass_sacked,0,,,,,
player,201311100sfo,car,HixoDo00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,HixoDo00,pass_long,0,,,,,
player,201311100sfo,car,HixoDo00,pass_rating,,,,,,
player,201311100sfo,car,HixoDo00,rush_att,0,,,,,
player,201311100sfo,car,HixoDo00,rush_yds,0,,,,,
player,201311100sfo,car,HixoDo00,rush_td,0,,,,,
player,201311100sfo,car,HixoDo00,rush_long,0,,,,,
player,201311100sfo,car,HixoDo00,targets,1,,,,,
player,201311100sfo,car,HixoDo00,rec,1,,,,,
player,201311100sfo,car,HixoDo00,rec_yds,9,,,,,
player,201311100sfo,car,HixoDo00,rec_td,0,,,,,
player,201311100sfo,car,HixoDo00,rec_long,9,,,,,
player,201311100sfo,car,HixoDo00,fumbles,0,,,,,
player,201311100sfo,car,HixoDo00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,KaepCo00,pass_cmp,11,,,,,
player,201311100sfo,sfo,KaepCo00,pass_att,22,,,,,
player,201311100sfo,sfo,KaepCo00,pass_yds,91,,,,,
player,201311100sfo,sfo,KaepCo00,pass_td,0,,,,,
player,201311100sfo,sfo,KaepCo00,pass_int,1,,,,,
player,201311100sfo,sfo,KaepCo00,pass_sacked,6,,,,,
player,201311100sfo,sfo,KaepCo00,pass_sacked_yds,45,,,,,
player,201311100sfo,sfo,KaepCo00,pass_long,14,,,,,
player,201311100sfo,sfo,KaepCo00,pass_rating,42.0,,,,,
player,201311100sfo,sfo,KaepCo00,rush_att,4,,,,,
player,201311100sfo,sfo,KaepCo00,rush_yds,16,,,,,
player,201311100sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201311100sfo,sfo,KaepCo00,rush_long,16,,,,,
player,201311100sfo,sfo,KaepCo00,targets,0,,,,,
player,201311100sfo,sfo,KaepCo00,rec,0,,,,,
player,201311100sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201311100sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201311100sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201311100sfo,sfo,KaepCo00,fumbles,0,,,,,
player,201311100sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201311100sfo,sfo,GoreFr00,pass_int,0,,,,,
