game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,was,PaulNi00,rec,2,,,,,
player,201309290rai,was,PaulNi00,rec_yds,20,,,,,
player,201309290rai,was,PaulNi00,rec_td,0,,,,,
player,201309290rai,was,PaulNi00,rec_long,16,,,,,
player,201309290rai,was,PaulNi00,fumbles,0,,,,,
player,201309290rai,was,PaulNi00,fumbles_lost,0,,,,,
player,201309290rai,was,MorgJo00,pass_cmp,0,,,,,
player,201309290rai,was,MorgJo00,pass_att,0,,,,,
player,201309290rai,was,MorgJo00,pass_yds,0,,,,,
player,201309290rai,was,MorgJo00,pass_td,0,,,,,
player,201309290rai,was,MorgJo00,pass_int,0,,,,,
player,201309290rai,was,MorgJo00,pass_sacked,0,,,,,
player,201309290rai,was,MorgJo00,pass_sacked_yds,0,,,,,
player,201309290rai,was,MorgJo00,pass_long,0,,,,,
player,201309290rai,was,MorgJo00,pass_rating,,,,,,
player,201309290rai,was,MorgJo00,rush_att,0,,,,,
player,201309290rai,was,MorgJo00,rush_yds,0,,,,,
player,201309290rai,was,MorgJo00,rush_td,0,,,,,
player,201309290rai,was,MorgJo00,rush_long,0,,,,,
player,201309290rai,was,MorgJo00,targets,1,,,,,
player,201309290rai,was,MorgJo00,rec,1,,,,,
player,201309290rai,was,MorgJo00,rec_yds,6,,,,,
player,201309290rai,was,MorgJo00,rec_td,0,,,,,
player,201309290rai,was,MorgJo00,rec_long,6,,,,,
player,201309290rai,was,MorgJo00,fumbles,0,,,,,
player,201309290rai,was,MorgJo00,fumbles_lost,0,,,,,
player,201309290rai,was,YounDa01,pass_cmp,0,,,,,
player,201309290rai,was,YounDa01,pass_att,0,,,,,
player,201309290rai,was,YounDa01,pass_yds,0,,,,,
player,201309290rai,was,YounDa01,pass_td,0,,,,,
player,201309290rai,was,YounDa01,pass_int,0,,,,,
player,201309290rai,was,YounDa01,pass_sacked,0,,,,,
player,201309290rai,was,YounDa01,pass_sacked_yds,0,,,,,
player,201309290rai,was,YounDa01,pass_long,0,,,,,
player,201309290rai,was,YounDa01,pass_rating,,,,,,
player,201309290rai,was,YounDa01,rush_att,0,,,,,
