game,2013,6,20131013,201310130nwe,nor,"New Orleans Saints",27,nwe,"New England Patriots",30
player,201310130nwe,nor,JordCa00,def_int_yds,0,,,,,
player,201310130nwe,nor,JordCa00,def_int_td,0,,,,,
player,201310130nwe,nor,JordCa00,def_int_long,0,,,,,
player,201310130nwe,nor,JordCa00,pass_defended,0,,,,,
player,201310130nwe,nor,JordCa00,sacks,1.0,,,,,
player,201310130nwe,nor,JordCa00,tackles_combined,3,,,,,
player,201310130nwe,nor,JordCa00,tackles_solo,1,,,,,
player,201310130nwe,nor,JordCa00,tackles_assists,2,,,,,
player,201310130nwe,nor,JordCa00,tackles_loss,1,,,,,
player,201310130nwe,nor,JordCa00,qb_hits,1,,,,,
player,201310130nwe,nor,JordCa00,fumbles_rec,0,,,,,
player,201310130nwe,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,JordCa00,fumbles_forced,0,,,,,
player,201310130nwe,nor,JohnTo01,def_int,0,,,,,
player,201310130nwe,nor,JohnTo01,def_int_yds,0,,,,,
player,201310130nwe,nor,JohnTo01,def_int_td,0,,,,,
player,201310130nwe,nor,JohnTo01,def_int_long,0,,,,,
player,201310130nwe,nor,JohnTo01,pass_defended,0,,,,,
player,201310130nwe,nor,JohnTo01,sacks,1.0,,,,,
player,201310130nwe,nor,JohnTo01,tackles_combined,1,,,,,
player,201310130nwe,nor,JohnTo01,tackles_solo,1,,,,,
player,201310130nwe,nor,JohnTo01,tackles_assists,0,,,,,
player,201310130nwe,nor,JohnTo01,tackles_loss,1,,,,,
player,201310130nwe,nor,JohnTo01,qb_hits,1,,,,,
player,201310130nwe,nor,JohnTo01,fumbles_rec,0,,,,,
player,201310130nwe,nor,JohnTo01,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,JohnTo01,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,JohnTo01,fumbles_forced,0,,,,,
player,201310130nwe,nor,HumbRa00,def_int,0,,,,,
player,201310130nwe,nor,HumbRa00,def_int_yds,0,,,,,
player,201310130nwe,nor,HumbRa00,def_int_td,0,,,,,
player,201310130nwe,nor,HumbRa00,def_int_long,0,,,,,
player,201310130nwe,nor,HumbRa00,pass_defended,0,,,,,
player,201310130nwe,nor,HumbRa00,sacks,0.5,,,,,
player,201310130nwe,nor,HumbRa00,tackles_combined,4,,,,,
player,201310130nwe,nor,HumbRa00,tackles_solo,0,,,,,
player,201310130nwe,nor,HumbRa00,tackles_assists,4,,,,,
player,201310130nwe,nor,HumbRa00,tackles_loss,0,,,,,
player,201310130nwe,nor,HumbRa00,qb_hits,2,,,,,
player,201310130nwe,nor,HumbRa00,fumbles_rec,0,,,,,
player,201310130nwe,nor,HumbRa00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,HumbRa00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,HumbRa00,fumbles_forced,0,,,,,
player,201310130nwe,nor,BushRa00,def_int,0,,,,,
player,201310130nwe,nor,BushRa00,def_int_yds,0,,,,,
player,201310130nwe,nor,BushRa00,def_int_td,0,,,,,
player,201310130nwe,nor,BushRa00,def_int_long,0,,,,,
player,201310130nwe,nor,BushRa00,pass_defended,0,,,,,
player,201310130nwe,nor,BushRa00,sacks,0.0,,,,,
player,201310130nwe,nor,BushRa00,tackles_combined,10,,,,,
player,201310130nwe,nor,BushRa00,tackles_solo,8,,,,,
player,201310130nwe,nor,BushRa00,tackles_assists,2,,,,,
player,201310130nwe,nor,BushRa00,tackles_loss,0,,,,,
player,201310130nwe,nor,BushRa00,qb_hits,0,,,,,
player,201310130nwe,nor,BushRa00,fumbles_rec,0,,,,,
player,201310130nwe,nor,BushRa00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,BushRa00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,BushRa00,fumbles_forced,0,,,,,
player,201310130nwe,nor,HawtDa20,def_int,0,,,,,
player,201310130nwe,nor,HawtDa20,def_int_yds,0,,,,,
player,201310130nwe,nor,HawtDa20,def_int_td,0,,,,,
player,201310130nwe,nor,HawtDa20,def_int_long,0,,,,,
player,201310130nwe,nor,HawtDa20,pass_defended,0,,,,,
player,201310130nwe,nor,HawtDa20,sacks,0.0,,,,,
player,201310130nwe,nor,HawtDa20,tackles_combined,7,,,,,
player,201310130nwe,nor,HawtDa20,tackles_solo,3,,,,,
player,201310130nwe,nor,HawtDa20,tackles_assists,4,,,,,
player,201310130nwe,nor,HawtDa20,tackles_loss,1,,,,,
player,201310130nwe,nor,HawtDa20,qb_hits,0,,,,,
player,201310130nwe,nor,HawtDa20,fumbles_rec,0,,,,,
player,201310130nwe,nor,HawtDa20,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,HawtDa20,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,HawtDa20,fumbles_forced,0,,,,,
player,201310130nwe,nor,HickAk00,def_int,0,,,,,
player,201310130nwe,nor,HickAk00,def_int_yds,0,,,,,
player,201310130nwe,nor,HickAk00,def_int_td,0,,,,,
player,201310130nwe,nor,HickAk00,def_int_long,0,,,,,
player,201310130nwe,nor,HickAk00,pass_defended,0,,,,,
player,201310130nwe,nor,HickAk00,sacks,0.0,,,,,
player,201310130nwe,nor,HickAk00,tackles_combined,7,,,,,
player,201310130nwe,nor,HickAk00,tackles_solo,3,,,,,
player,201310130nwe,nor,HickAk00,tackles_assists,4,,,,,
player,201310130nwe,nor,HickAk00,tackles_loss,0,,,,,
player,201310130nwe,nor,HickAk00,qb_hits,0,,,,,
player,201310130nwe,nor,HickAk00,fumbles_rec,0,,,,,
player,201310130nwe,nor,HickAk00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,HickAk00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,HickAk00,fumbles_forced,0,,,,,
player,201310130nwe,nor,VaccKe00,def_int,0,,,,,
player,201310130nwe,nor,VaccKe00,def_int_yds,0,,,,,
player,201310130nwe,nor,VaccKe00,def_int_td,0,,,,,
player,201310130nwe,nor,VaccKe00,def_int_long,0,,,,,
player,201310130nwe,nor,VaccKe00,pass_defended,1,,,,,
player,201310130nwe,nor,VaccKe00,sacks,0.0,,,,,
player,201310130nwe,nor,VaccKe00,tackles_combined,6,,,,,
player,201310130nwe,nor,VaccKe00,tackles_solo,2,,,,,
player,201310130nwe,nor,VaccKe00,tackles_assists,4,,,,,
player,201310130nwe,nor,VaccKe00,tackles_loss,0,,,,,
player,201310130nwe,nor,VaccKe00,qb_hits,0,,,,,
player,201310130nwe,nor,VaccKe00,fumbles_rec,0,,,,,
player,201310130nwe,nor,VaccKe00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,VaccKe00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,VaccKe00,fumbles_forced,0,,,,,
player,201310130nwe,nor,GreeJa22,def_int,0,,,,,
player,201310130nwe,nor,GreeJa22,def_int_yds,0,,,,,
player,201310130nwe,nor,GreeJa22,def_int_td,0,,,,,
player,201310130nwe,nor,GreeJa22,def_int_long,0,,,,,
player,201310130nwe,nor,GreeJa22,pass_defended,1,,,,,
player,201310130nwe,nor,GreeJa22,sacks,0.0,,,,,
player,201310130nwe,nor,GreeJa22,tackles_combined,4,,,,,
player,201310130nwe,nor,GreeJa22,tackles_solo,3,,,,,
player,201310130nwe,nor,GreeJa22,tackles_assists,1,,,,,
player,201310130nwe,nor,GreeJa22,tackles_loss,0,,,,,
player,201310130nwe,nor,GreeJa22,qb_hits,0,,,,,
player,201310130nwe,nor,GreeJa22,fumbles_rec,0,,,,,
player,201310130nwe,nor,GreeJa22,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,GreeJa22,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,GreeJa22,fumbles_forced,0,,,,,
player,201310130nwe,nor,AbduIs00,def_int,0,,,,,
player,201310130nwe,nor,AbduIs00,def_int_yds,0,,,,,
player,201310130nwe,nor,AbduIs00,def_int_td,0,,,,,
player,201310130nwe,nor,AbduIs00,def_int_long,0,,,,,
player,201310130nwe,nor,AbduIs00,pass_defended,0,,,,,
player,201310130nwe,nor,AbduIs00,sacks,0.0,,,,,
player,201310130nwe,nor,AbduIs00,tackles_combined,2,,,,,
player,201310130nwe,nor,AbduIs00,tackles_solo,2,,,,,
player,201310130nwe,nor,AbduIs00,tackles_assists,0,,,,,
player,201310130nwe,nor,AbduIs00,tackles_loss,0,,,,,
player,201310130nwe,nor,AbduIs00,qb_hits,0,,,,,
player,201310130nwe,nor,AbduIs00,fumbles_rec,0,,,,,
player,201310130nwe,nor,AbduIs00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,AbduIs00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,AbduIs00,fumbles_forced,0,,,,,
player,201310130nwe,nor,CarrCh22,def_int,0,,,,,
player,201310130nwe,nor,CarrCh22,def_int_yds,0,,,,,
player,201310130nwe,nor,CarrCh22,def_int_td,0,,,,,
player,201310130nwe,nor,CarrCh22,def_int_long,0,,,,,
player,201310130nwe,nor,CarrCh22,pass_defended,0,,,,,
player,201310130nwe,nor,CarrCh22,sacks,0.0,,,,,
player,201310130nwe,nor,CarrCh22,tackles_combined,2,,,,,
player,201310130nwe,nor,CarrCh22,tackles_solo,1,,,,,
player,201310130nwe,nor,CarrCh22,tackles_assists,1,,,,,
player,201310130nwe,nor,CarrCh22,tackles_loss,0,,,,,
player,201310130nwe,nor,CarrCh22,qb_hits,0,,,,,
player,201310130nwe,nor,CarrCh22,fumbles_rec,0,,,,,
player,201310130nwe,nor,CarrCh22,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,CarrCh22,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,CarrCh22,fumbles_forced,0,,,,,
player,201310130nwe,nor,GaleJu00,def_int,0,,,,,
player,201310130nwe,nor,GaleJu00,def_int_yds,0,,,,,
player,201310130nwe,nor,GaleJu00,def_int_td,0,,,,,
player,201310130nwe,nor,GaleJu00,def_int_long,0,,,,,
player,201310130nwe,nor,GaleJu00,pass_defended,0,,,,,
player,201310130nwe,nor,GaleJu00,sacks,0.0,,,,,
player,201310130nwe,nor,GaleJu00,tackles_combined,2,,,,,
player,201310130nwe,nor,GaleJu00,tackles_solo,1,,,,,
player,201310130nwe,nor,GaleJu00,tackles_assists,1,,,,,
player,201310130nwe,nor,GaleJu00,tackles_loss,1,,,,,
player,201310130nwe,nor,GaleJu00,qb_hits,0,,,,,
player,201310130nwe,nor,GaleJu00,fumbles_rec,0,,,,,
player,201310130nwe,nor,GaleJu00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,GaleJu00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,GaleJu00,fumbles_forced,0,,,,,
player,201310130nwe,nor,HaraPa20,def_int,0,,,,,
player,201310130nwe,nor,HaraPa20,def_int_yds,0,,,,,
player,201310130nwe,nor,HaraPa20,def_int_td,0,,,,,
player,201310130nwe,nor,HaraPa20,def_int_long,0,,,,,
player,201310130nwe,nor,HaraPa20,pass_defended,0,,,,,
player,201310130nwe,nor,HaraPa20,sacks,0.0,,,,,
player,201310130nwe,nor,HaraPa20,tackles_combined,2,,,,,
player,201310130nwe,nor,HaraPa20,tackles_solo,0,,,,,
player,201310130nwe,nor,HaraPa20,tackles_assists,2,,,,,
player,201310130nwe,nor,HaraPa20,tackles_loss,0,,,,,
player,201310130nwe,nor,HaraPa20,qb_hits,0,,,,,
player,201310130nwe,nor,HaraPa20,fumbles_rec,0,,,,,
player,201310130nwe,nor,HaraPa20,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,HaraPa20,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,HaraPa20,fumbles_forced,0,,,,,
player,201310130nwe,nor,CadeTr00,def_int,0,,,,,
player,201310130nwe,nor,CadeTr00,def_int_yds,0,,,,,
player,201310130nwe,nor,CadeTr00,def_int_td,0,,,,,
player,201310130nwe,nor,CadeTr00,def_int_long,0,,,,,
player,201310130nwe,nor,CadeTr00,pass_defended,0,,,,,
player,201310130nwe,nor,CadeTr00,sacks,0.0,,,,,
player,201310130nwe,nor,CadeTr00,tackles_combined,1,,,,,
player,201310130nwe,nor,CadeTr00,tackles_solo,0,,,,,
player,201310130nwe,nor,CadeTr00,tackles_assists,1,,,,,
player,201310130nwe,nor,CadeTr00,tackles_loss,0,,,,,
player,201310130nwe,nor,CadeTr00,qb_hits,0,,,,,
player,201310130nwe,nor,CadeTr00,fumbles_rec,0,,,,,
player,201310130nwe,nor,CadeTr00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,CadeTr00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,CadeTr00,fumbles_forced,0,,,,,
player,201310130nwe,nor,FostGl00,def_int,0,,,,,
player,201310130nwe,nor,FostGl00,def_int_yds,0,,,,,
player,201310130nwe,nor,FostGl00,def_int_td,0,,,,,
player,201310130nwe,nor,FostGl00,def_int_long,0,,,,,
player,201310130nwe,nor,FostGl00,pass_defended,0,,,,,
player,201310130nwe,nor,FostGl00,sacks,0.0,,,,,
player,201310130nwe,nor,FostGl00,tackles_combined,1,,,,,
player,201310130nwe,nor,FostGl00,tackles_solo,0,,,,,
player,201310130nwe,nor,FostGl00,tackles_assists,1,,,,,
player,201310130nwe,nor,FostGl00,tackles_loss,0,,,,,
player,201310130nwe,nor,FostGl00,qb_hits,0,,,,,
player,201310130nwe,nor,FostGl00,fumbles_rec,0,,,,,
player,201310130nwe,nor,FostGl00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,FostGl00,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,FostGl00,fumbles_forced,0,,,,,
player,201310130nwe,nor,HerrWi99,def_int,0,,,,,
player,201310130nwe,nor,HerrWi99,def_int_yds,0,,,,,
player,201310130nwe,nor,HerrWi99,def_int_td,0,,,,,
player,201310130nwe,nor,HerrWi99,def_int_long,0,,,,,
player,201310130nwe,nor,HerrWi99,pass_defended,0,,,,,
player,201310130nwe,nor,HerrWi99,sacks,0.0,,,,,
player,201310130nwe,nor,HerrWi99,tackles_combined,1,,,,,
player,201310130nwe,nor,HerrWi99,tackles_solo,1,,,,,
player,201310130nwe,nor,HerrWi99,tackles_assists,0,,,,,
player,201310130nwe,nor,HerrWi99,tackles_loss,0,,,,,
player,201310130nwe,nor,HerrWi99,qb_hits,0,,,,,
player,201310130nwe,nor,HerrWi99,fumbles_rec,0,,,,,
player,201310130nwe,nor,HerrWi99,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,HerrWi99,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,HerrWi99,fumbles_forced,0,,,,,
player,201310130nwe,nor,ReddKe00,def_int,0,,,,,
player,201310130nwe,nor,ReddKe00,def_int_yds,0,,,,,
player,201310130nwe,nor,ReddKe00,def_int_td,0,,,,,
player,201310130nwe,nor,ReddKe00,def_int_long,0,,,,,
