game,2013,15,20131215,201312150ram,nor,"New Orleans Saints",16,ram,"St. Louis Rams",27
player,201312150ram,nor,HarrBr01,rec_long,0,,,,,
player,201312150ram,nor,HarrBr01,fumbles,0,,,,,
player,201312150ram,nor,HarrBr01,fumbles_lost,0,,,,,
player,201312150ram,nor,MeacRo00,pass_cmp,0,,,,,
player,201312150ram,nor,MeacRo00,pass_att,0,,,,,
player,201312150ram,nor,MeacRo00,pass_yds,0,,,,,
player,201312150ram,nor,MeacRo00,pass_td,0,,,,,
player,201312150ram,nor,MeacRo00,pass_int,0,,,,,
player,201312150ram,nor,MeacRo00,pass_sacked,0,,,,,
player,201312150ram,nor,MeacRo00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,MeacRo00,pass_long,0,,,,,
player,201312150ram,nor,MeacRo00,pass_rating,,,,,,
player,201312150ram,nor,MeacRo00,rush_att,0,,,,,
player,201312150ram,nor,MeacRo00,rush_yds,0,,,,,
player,201312150ram,nor,MeacRo00,rush_td,0,,,,,
player,201312150ram,nor,MeacRo00,rush_long,0,,,,,
player,201312150ram,nor,MeacRo00,targets,1,,,,,
player,201312150ram,nor,MeacRo00,rec,0,,,,,
player,201312150ram,nor,MeacRo00,rec_yds,0,,,,,
player,201312150ram,nor,MeacRo00,rec_td,0,,,,,
player,201312150ram,nor,MeacRo00,rec_long,0,,,,,
player,201312150ram,nor,MeacRo00,fumbles,0,,,,,
player,201312150ram,nor,MeacRo00,fumbles_lost,0,,,,,
player,201312150ram,nor,CollJe01,pass_cmp,0,,,,,
player,201312150ram,nor,CollJe01,pass_att,0,,,,,
player,201312150ram,nor,CollJe01,pass_yds,0,,,,,
player,201312150ram,nor,CollJe01,pass_td,0,,,,,
player,201312150ram,nor,CollJe01,pass_int,0,,,,,
player,201312150ram,nor,CollJe01,pass_sacked,0,,,,,
player,201312150ram,nor,CollJe01,pass_sacked_yds,0,,,,,
player,201312150ram,nor,CollJe01,pass_long,0,,,,,
player,201312150ram,nor,CollJe01,pass_rating,,,,,,
player,201312150ram,nor,CollJe01,rush_att,0,,,,,
player,201312150ram,nor,CollJe01,rush_yds,0,,,,,
player,201312150ram,nor,CollJe01,rush_td,0,,,,,
player,201312150ram,nor,CollJe01,rush_long,0,,,,,
player,201312150ram,nor,CollJe01,targets,1,,,,,
player,201312150ram,nor,CollJe01,rec,0,,,,,
player,201312150ram,nor,CollJe01,rec_yds,0,,,,,
player,201312150ram,nor,CollJe01,rec_td,0,,,,,
player,201312150ram,nor,CollJe01,rec_long,0,,,,,
player,201312150ram,nor,CollJe01,fumbles,0,,,,,
player,201312150ram,nor,CollJe01,fumbles_lost,0,,,,,
player,201312150ram,nor,RobiKh00,pass_cmp,0,,,,,
player,201312150ram,nor,RobiKh00,pass_att,0,,,,,
player,201312150ram,nor,RobiKh00,pass_yds,0,,,,,
player,201312150ram,nor,RobiKh00,pass_td,0,,,,,
player,201312150ram,nor,RobiKh00,pass_int,0,,,,,
player,201312150ram,nor,RobiKh00,pass_sacked,0,,,,,
player,201312150ram,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,RobiKh00,pass_long,0,,,,,
player,201312150ram,nor,RobiKh00,pass_rating,,,,,,
player,201312150ram,nor,RobiKh00,rush_att,1,,,,,
player,201312150ram,nor,RobiKh00,rush_yds,0,,,,,
player,201312150ram,nor,RobiKh00,rush_td,0,,,,,
player,201312150ram,nor,RobiKh00,rush_long,0,,,,,
player,201312150ram,nor,RobiKh00,targets,0,,,,,
player,201312150ram,nor,RobiKh00,rec,0,,,,,
player,201312150ram,nor,RobiKh00,rec_yds,0,,,,,
player,201312150ram,nor,RobiKh00,rec_td,0,,,,,
player,201312150ram,nor,RobiKh00,rec_long,0,,,,,
player,201312150ram,nor,RobiKh00,fumbles,0,,,,,
player,201312150ram,nor,RobiKh00,fumbles_lost,0,,,,,
player,201312150ram,ram,ClemKe00,pass_cmp,14,,,,,
player,201312150ram,ram,ClemKe00,pass_att,20,,,,,
player,201312150ram,ram,ClemKe00,pass_yds,158,,,,,
player,201312150ram,ram,ClemKe00,pass_td,2,,,,,
player,201312150ram,ram,ClemKe00,pass_int,0,,,,,
player,201312150ram,ram,ClemKe00,pass_sacked,0,,,,,
player,201312150ram,ram,ClemKe00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,ClemKe00,pass_long,31,,,,,
player,201312150ram,ram,ClemKe00,pass_rating,126.7,,,,,
player,201312150ram,ram,ClemKe00,rush_att,3,,,,,
player,201312150ram,ram,ClemKe00,rush_yds,5,,,,,
player,201312150ram,ram,ClemKe00,rush_td,0,,,,,
player,201312150ram,ram,ClemKe00,rush_long,7,,,,,
player,201312150ram,ram,ClemKe00,targets,0,,,,,
player,201312150ram,ram,ClemKe00,rec,0,,,,,
player,201312150ram,ram,ClemKe00,rec_yds,0,,,,,
player,201312150ram,ram,ClemKe00,rec_td,0,,,,,
player,201312150ram,ram,ClemKe00,rec_long,0,,,,,
player,201312150ram,ram,ClemKe00,fumbles,0,,,,,
player,201312150ram,ram,ClemKe00,fumbles_lost,0,,,,,
player,201312150ram,ram,StacZa00,pass_cmp,0,,,,,
player,201312150ram,ram,StacZa00,pass_att,0,,,,,
player,201312150ram,ram,StacZa00,pass_yds,0,,,,,
player,201312150ram,ram,StacZa00,pass_td,0,,,,,
player,201312150ram,ram,StacZa00,pass_int,0,,,,,
player,201312150ram,ram,StacZa00,pass_sacked,0,,,,,
player,201312150ram,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,StacZa00,pass_long,0,,,,,
player,201312150ram,ram,StacZa00,pass_rating,,,,,,
player,201312150ram,ram,StacZa00,rush_att,28,,,,,
player,201312150ram,ram,StacZa00,rush_yds,133,,,,,
player,201312150ram,ram,StacZa00,rush_td,1,,,,,
player,201312150ram,ram,StacZa00,rush_long,40,,,,,
player,201312150ram,ram,StacZa00,targets,2,,,,,
player,201312150ram,ram,StacZa00,rec,1,,,,,
player,201312150ram,ram,StacZa00,rec_yds,10,,,,,
player,201312150ram,ram,StacZa00,rec_td,0,,,,,
player,201312150ram,ram,StacZa00,rec_long,10,,,,,
player,201312150ram,ram,StacZa00,fumbles,0,,,,,
player,201312150ram,ram,StacZa00,fumbles_lost,0,,,,,
player,201312150ram,ram,BailSt01,pass_cmp,0,,,,,
player,201312150ram,ram,BailSt01,pass_att,0,,,,,
player,201312150ram,ram,BailSt01,pass_yds,0,,,,,
player,201312150ram,ram,BailSt01,pass_td,0,,,,,
player,201312150ram,ram,BailSt01,pass_int,0,,,,,
player,201312150ram,ram,BailSt01,pass_sacked,0,,,,,
player,201312150ram,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201312150ram,ram,BailSt01,pass_long,0,,,,,
player,201312150ram,ram,BailSt01,pass_rating,,,,,,
player,201312150ram,ram,BailSt01,rush_att,1,,,,,
player,201312150ram,ram,BailSt01,rush_yds,6,,,,,
player,201312150ram,ram,BailSt01,rush_td,0,,,,,
player,201312150ram,ram,BailSt01,rush_long,6,,,,,
player,201312150ram,ram,BailSt01,targets,4,,,,,
player,201312150ram,ram,BailSt01,rec,2,,,,,
player,201312150ram,ram,BailSt01,rec_yds,26,,,,,
player,201312150ram,ram,BailSt01,rec_td,0,,,,,
player,201312150ram,ram,BailSt01,rec_long,20,,,,,
player,201312150ram,ram,BailSt01,fumbles,0,,,,,
player,201312150ram,ram,BailSt01,fumbles_lost,0,,,,,
player,201312150ram,ram,PettAu00,pass_cmp,0,,,,,
player,201312150ram,ram,PettAu00,pass_att,0,,,,,
player,201312150ram,ram,PettAu00,pass_yds,0,,,,,
player,201312150ram,ram,PettAu00,pass_td,0,,,,,
player,201312150ram,ram,PettAu00,pass_int,0,,,,,
player,201312150ram,ram,PettAu00,pass_sacked,0,,,,,
player,201312150ram,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,PettAu00,pass_long,0,,,,,
player,201312150ram,ram,PettAu00,pass_rating,,,,,,
player,201312150ram,ram,PettAu00,rush_att,0,,,,,
player,201312150ram,ram,PettAu00,rush_yds,0,,,,,
player,201312150ram,ram,PettAu00,rush_td,0,,,,,
player,201312150ram,ram,PettAu00,rush_long,0,,,,,
player,201312150ram,ram,PettAu00,targets,4,,,,,
player,201312150ram,ram,PettAu00,rec,4,,,,,
player,201312150ram,ram,PettAu00,rec_yds,41,,,,,
player,201312150ram,ram,PettAu00,rec_td,0,,,,,
player,201312150ram,ram,PettAu00,rec_long,14,,,,,
player,201312150ram,ram,PettAu00,fumbles,0,,,,,
player,201312150ram,ram,PettAu00,fumbles_lost,0,,,,,
player,201312150ram,ram,GiveCh00,pass_cmp,0,,,,,
player,201312150ram,ram,GiveCh00,pass_att,0,,,,,
player,201312150ram,ram,GiveCh00,pass_yds,0,,,,,
player,201312150ram,ram,GiveCh00,pass_td,0,,,,,
player,201312150ram,ram,GiveCh00,pass_int,0,,,,,
player,201312150ram,ram,GiveCh00,pass_sacked,0,,,,,
player,201312150ram,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,GiveCh00,pass_long,0,,,,,
player,201312150ram,ram,GiveCh00,pass_rating,,,,,,
player,201312150ram,ram,GiveCh00,rush_att,0,,,,,
player,201312150ram,ram,GiveCh00,rush_yds,0,,,,,
player,201312150ram,ram,GiveCh00,rush_td,0,,,,,
player,201312150ram,ram,GiveCh00,rush_long,0,,,,,
player,201312150ram,ram,GiveCh00,targets,2,,,,,
player,201312150ram,ram,GiveCh00,rec,1,,,,,
player,201312150ram,ram,GiveCh00,rec_yds,31,,,,,
player,201312150ram,ram,GiveCh00,rec_td,0,,,,,
player,201312150ram,ram,GiveCh00,rec_long,31,,,,,
player,201312150ram,ram,GiveCh00,fumbles,0,,,,,
player,201312150ram,ram,GiveCh00,fumbles_lost,0,,,,,
player,201312150ram,ram,HarkCo00,pass_cmp,0,,,,,
player,201312150ram,ram,HarkCo00,pass_att,0,,,,,
player,201312150ram,ram,HarkCo00,pass_yds,0,,,,,
player,201312150ram,ram,HarkCo00,pass_td,0,,,,,
player,201312150ram,ram,HarkCo00,pass_int,0,,,,,
player,201312150ram,ram,HarkCo00,pass_sacked,0,,,,,
player,201312150ram,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201312150ram,ram,HarkCo00,pass_long,0,,,,,
player,201312150ram,ram,HarkCo00,pass_rating,,,,,,
player,201312150ram,ram,HarkCo00,rush_att,0,,,,,
player,201312150ram,ram,HarkCo00,rush_yds,0,,,,,
player,201312150ram,ram,HarkCo00,rush_td,0,,,,,
player,201312150ram,ram,HarkCo00,rush_long,0,,,,,
player,201312150ram,ram,HarkCo00,targets,3,,,,,
player,201312150ram,ram,HarkCo00,rec,3,,,,,
player,201312150ram,ram,HarkCo00,rec_yds,29,,,,,
player,201312150ram,ram,HarkCo00,rec_td,1,,,,,
player,201312150ram,ram,HarkCo00,rec_long,31,,,,,
