game,2013,17,20131229,201312290sdg,kan,"Kansas City Chiefs",24,sdg,"San Diego Chargers",27
player,201312290sdg,kan,HemiJu00,pass_long,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_rating,,,,,,
player,201312290sdg,kan,HemiJu00,rush_att,0,,,,,
player,201312290sdg,kan,HemiJu00,rush_yds,0,,,,,
player,201312290sdg,kan,HemiJu00,rush_td,0,,,,,
player,201312290sdg,kan,HemiJu00,rush_long,0,,,,,
player,201312290sdg,kan,HemiJu00,targets,6,,,,,
player,201312290sdg,kan,HemiJu00,rec,5,,,,,
player,201312290sdg,kan,HemiJu00,rec_yds,45,,,,,
player,201312290sdg,kan,HemiJu00,rec_td,0,,,,,
player,201312290sdg,kan,HemiJu00,rec_long,24,,,,,
player,201312290sdg,kan,HemiJu00,fumbles,1,,,,,
player,201312290sdg,kan,HemiJu00,fumbles_lost,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_cmp,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_att,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_yds,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_td,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_int,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_sacked,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_sacked_yds,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_long,0,,,,,
player,201312290sdg,kan,McGrSe00,pass_rating,,,,,,
player,201312290sdg,kan,McGrSe00,rush_att,0,,,,,
player,201312290sdg,kan,McGrSe00,rush_yds,0,,,,,
player,201312290sdg,kan,McGrSe00,rush_td,0,,,,,
player,201312290sdg,kan,McGrSe00,rush_long,0,,,,,
player,201312290sdg,kan,McGrSe00,targets,2,,,,,
player,201312290sdg,kan,McGrSe00,rec,1,,,,,
player,201312290sdg,kan,McGrSe00,rec_yds,11,,,,,
player,201312290sdg,kan,McGrSe00,rec_td,0,,,,,
player,201312290sdg,kan,McGrSe00,rec_long,11,,,,,
player,201312290sdg,kan,McGrSe00,fumbles,0,,,,,
player,201312290sdg,kan,McGrSe00,fumbles_lost,0,,,,,
player,201312290sdg,kan,GordRi00,pass_cmp,0,,,,,
player,201312290sdg,kan,GordRi00,pass_att,0,,,,,
player,201312290sdg,kan,GordRi00,pass_yds,0,,,,,
player,201312290sdg,kan,GordRi00,pass_td,0,,,,,
player,201312290sdg,kan,GordRi00,pass_int,0,,,,,
player,201312290sdg,kan,GordRi00,pass_sacked,0,,,,,
player,201312290sdg,kan,GordRi00,pass_sacked_yds,0,,,,,
player,201312290sdg,kan,GordRi00,pass_long,0,,,,,
player,201312290sdg,kan,GordRi00,pass_rating,,,,,,
player,201312290sdg,kan,GordRi00,rush_att,0,,,,,
player,201312290sdg,kan,GordRi00,rush_yds,0,,,,,
player,201312290sdg,kan,GordRi00,rush_td,0,,,,,
player,201312290sdg,kan,GordRi00,rush_long,0,,,,,
player,201312290sdg,kan,GordRi00,targets,1,,,,,
player,201312290sdg,kan,GordRi00,rec,1,,,,,
player,201312290sdg,kan,GordRi00,rec_yds,3,,,,,
player,201312290sdg,kan,GordRi00,rec_td,0,,,,,
player,201312290sdg,kan,GordRi00,rec_long,3,,,,,
player,201312290sdg,kan,GordRi00,fumbles,0,,,,,
player,201312290sdg,kan,GordRi00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,RivePh00,pass_cmp,22,,,,,
player,201312290sdg,sdg,RivePh00,pass_att,33,,,,,
player,201312290sdg,sdg,RivePh00,pass_yds,229,,,,,
player,201312290sdg,sdg,RivePh00,pass_td,3,,,,,
player,201312290sdg,sdg,RivePh00,pass_int,1,,,,,
player,201312290sdg,sdg,RivePh00,pass_sacked,3,,,,,
player,201312290sdg,sdg,RivePh00,pass_sacked_yds,10,,,,,
player,201312290sdg,sdg,RivePh00,pass_long,38,,,,,
player,201312290sdg,sdg,RivePh00,pass_rating,104.2,,,,,
player,201312290sdg,sdg,RivePh00,rush_att,3,,,,,
player,201312290sdg,sdg,RivePh00,rush_yds,2,,,,,
player,201312290sdg,sdg,RivePh00,rush_td,0,,,,,
player,201312290sdg,sdg,RivePh00,rush_long,2,,,,,
player,201312290sdg,sdg,RivePh00,targets,0,,,,,
player,201312290sdg,sdg,RivePh00,rec,0,,,,,
player,201312290sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201312290sdg,sdg,RivePh00,rec_td,0,,,,,
player,201312290sdg,sdg,RivePh00,rec_long,0,,,,,
player,201312290sdg,sdg,RivePh00,fumbles,0,,,,,
player,201312290sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_att,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_td,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_int,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_sacked,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_long,0,,,,,
player,201312290sdg,sdg,MathRy00,pass_rating,,,,,,
player,201312290sdg,sdg,MathRy00,rush_att,24,,,,,
player,201312290sdg,sdg,MathRy00,rush_yds,144,,,,,
player,201312290sdg,sdg,MathRy00,rush_td,0,,,,,
player,201312290sdg,sdg,MathRy00,rush_long,44,,,,,
player,201312290sdg,sdg,MathRy00,targets,3,,,,,
player,201312290sdg,sdg,MathRy00,rec,2,,,,,
player,201312290sdg,sdg,MathRy00,rec_yds,11,,,,,
player,201312290sdg,sdg,MathRy00,rec_td,0,,,,,
player,201312290sdg,sdg,MathRy00,rec_long,6,,,,,
player,201312290sdg,sdg,MathRy00,fumbles,0,,,,,
player,201312290sdg,sdg,MathRy00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_cmp,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_att,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_yds,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_td,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_int,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_sacked,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_long,0,,,,,
player,201312290sdg,sdg,WoodDa02,pass_rating,,,,,,
player,201312290sdg,sdg,WoodDa02,rush_att,5,,,,,
player,201312290sdg,sdg,WoodDa02,rush_yds,18,,,,,
player,201312290sdg,sdg,WoodDa02,rush_td,0,,,,,
player,201312290sdg,sdg,WoodDa02,rush_long,6,,,,,
player,201312290sdg,sdg,WoodDa02,targets,7,,,,,
player,201312290sdg,sdg,WoodDa02,rec,7,,,,,
player,201312290sdg,sdg,WoodDa02,rec_yds,42,,,,,
player,201312290sdg,sdg,WoodDa02,rec_td,0,,,,,
player,201312290sdg,sdg,WoodDa02,rec_long,9,,,,,
player,201312290sdg,sdg,WoodDa02,fumbles,0,,,,,
player,201312290sdg,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_att,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_yds,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_td,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_int,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_long,0,,,,,
player,201312290sdg,sdg,RoyaEd00,pass_rating,,,,,,
