game,2013,11,20131117,201311170chi,rav,"Baltimore Ravens",20,chi,"Chicago Bears",23
player,201311170chi,rav,LeacVo00,rush_att,1,,,,,
player,201311170chi,rav,LeacVo00,rush_yds,1,,,,,
player,201311170chi,rav,LeacVo00,rush_td,0,,,,,
player,201311170chi,rav,LeacVo00,rush_long,1,,,,,
player,201311170chi,rav,LeacVo00,targets,1,,,,,
player,201311170chi,rav,LeacVo00,rec,0,,,,,
player,201311170chi,rav,LeacVo00,rec_yds,0,,,,,
player,201311170chi,rav,LeacVo00,rec_td,0,,,,,
player,201311170chi,rav,LeacVo00,rec_long,0,,,,,
player,201311170chi,rav,LeacVo00,fumbles,0,,,,,
player,201311170chi,rav,LeacVo00,fumbles_lost,0,,,,,
player,201311170chi,rav,DossTa00,pass_cmp,0,,,,,
player,201311170chi,rav,DossTa00,pass_att,0,,,,,
player,201311170chi,rav,DossTa00,pass_yds,0,,,,,
player,201311170chi,rav,DossTa00,pass_td,0,,,,,
player,201311170chi,rav,DossTa00,pass_int,0,,,,,
player,201311170chi,rav,DossTa00,pass_sacked,0,,,,,
player,201311170chi,rav,DossTa00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,DossTa00,pass_long,0,,,,,
player,201311170chi,rav,DossTa00,pass_rating,,,,,,
player,201311170chi,rav,DossTa00,rush_att,0,,,,,
player,201311170chi,rav,DossTa00,rush_yds,0,,,,,
player,201311170chi,rav,DossTa00,rush_td,0,,,,,
player,201311170chi,rav,DossTa00,rush_long,0,,,,,
player,201311170chi,rav,DossTa00,targets,5,,,,,
player,201311170chi,rav,DossTa00,rec,3,,,,,
player,201311170chi,rav,DossTa00,rec_yds,37,,,,,
player,201311170chi,rav,DossTa00,rec_td,0,,,,,
player,201311170chi,rav,DossTa00,rec_long,16,,,,,
player,201311170chi,rav,DossTa00,fumbles,0,,,,,
player,201311170chi,rav,DossTa00,fumbles_lost,0,,,,,
player,201311170chi,rav,SmitTo02,pass_cmp,0,,,,,
player,201311170chi,rav,SmitTo02,pass_att,0,,,,,
player,201311170chi,rav,SmitTo02,pass_yds,0,,,,,
player,201311170chi,rav,SmitTo02,pass_td,0,,,,,
player,201311170chi,rav,SmitTo02,pass_int,0,,,,,
player,201311170chi,rav,SmitTo02,pass_sacked,0,,,,,
player,201311170chi,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201311170chi,rav,SmitTo02,pass_long,0,,,,,
player,201311170chi,rav,SmitTo02,pass_rating,,,,,,
player,201311170chi,rav,SmitTo02,rush_att,0,,,,,
player,201311170chi,rav,SmitTo02,rush_yds,0,,,,,
player,201311170chi,rav,SmitTo02,rush_td,0,,,,,
player,201311170chi,rav,SmitTo02,rush_long,0,,,,,
player,201311170chi,rav,SmitTo02,targets,8,,,,,
player,201311170chi,rav,SmitTo02,rec,5,,,,,
player,201311170chi,rav,SmitTo02,rec_yds,32,,,,,
player,201311170chi,rav,SmitTo02,rec_td,1,,,,,
player,201311170chi,rav,SmitTo02,rec_long,13,,,,,
player,201311170chi,rav,SmitTo02,fumbles,0,,,,,
player,201311170chi,rav,SmitTo02,fumbles_lost,0,,,,,
player,201311170chi,rav,ClarDa00,pass_cmp,0,,,,,
player,201311170chi,rav,ClarDa00,pass_att,0,,,,,
player,201311170chi,rav,ClarDa00,pass_yds,0,,,,,
player,201311170chi,rav,ClarDa00,pass_td,0,,,,,
player,201311170chi,rav,ClarDa00,pass_int,0,,,,,
player,201311170chi,rav,ClarDa00,pass_sacked,0,,,,,
player,201311170chi,rav,ClarDa00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,ClarDa00,pass_long,0,,,,,
player,201311170chi,rav,ClarDa00,pass_rating,,,,,,
player,201311170chi,rav,ClarDa00,rush_att,0,,,,,
player,201311170chi,rav,ClarDa00,rush_yds,0,,,,,
player,201311170chi,rav,ClarDa00,rush_td,0,,,,,
player,201311170chi,rav,ClarDa00,rush_long,0,,,,,
player,201311170chi,rav,ClarDa00,targets,4,,,,,
player,201311170chi,rav,ClarDa00,rec,2,,,,,
player,201311170chi,rav,ClarDa00,rec_yds,31,,,,,
player,201311170chi,rav,ClarDa00,rec_td,0,,,,,
player,201311170chi,rav,ClarDa00,rec_long,17,,,,,
player,201311170chi,rav,ClarDa00,fumbles,0,,,,,
player,201311170chi,rav,ClarDa00,fumbles_lost,0,,,,,
player,201311170chi,rav,DickEd00,pass_cmp,0,,,,,
player,201311170chi,rav,DickEd00,pass_att,0,,,,,
player,201311170chi,rav,DickEd00,pass_yds,0,,,,,
player,201311170chi,rav,DickEd00,pass_td,0,,,,,
player,201311170chi,rav,DickEd00,pass_int,0,,,,,
player,201311170chi,rav,DickEd00,pass_sacked,0,,,,,
player,201311170chi,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,DickEd00,pass_long,0,,,,,
player,201311170chi,rav,DickEd00,pass_rating,,,,,,
player,201311170chi,rav,DickEd00,rush_att,0,,,,,
player,201311170chi,rav,DickEd00,rush_yds,0,,,,,
player,201311170chi,rav,DickEd00,rush_td,0,,,,,
player,201311170chi,rav,DickEd00,rush_long,0,,,,,
player,201311170chi,rav,DickEd00,targets,3,,,,,
player,201311170chi,rav,DickEd00,rec,1,,,,,
player,201311170chi,rav,DickEd00,rec_yds,16,,,,,
player,201311170chi,rav,DickEd00,rec_td,0,,,,,
player,201311170chi,rav,DickEd00,rec_long,16,,,,,
player,201311170chi,rav,DickEd00,fumbles,0,,,,,
player,201311170chi,rav,DickEd00,fumbles_lost,0,,,,,
player,201311170chi,rav,ThomDe04,pass_cmp,0,,,,,
player,201311170chi,rav,ThomDe04,pass_att,0,,,,,
player,201311170chi,rav,ThomDe04,pass_yds,0,,,,,
player,201311170chi,rav,ThomDe04,pass_td,0,,,,,
player,201311170chi,rav,ThomDe04,pass_int,0,,,,,
player,201311170chi,rav,ThomDe04,pass_sacked,0,,,,,
player,201311170chi,rav,ThomDe04,pass_sacked_yds,0,,,,,
player,201311170chi,rav,ThomDe04,pass_long,0,,,,,
player,201311170chi,rav,ThomDe04,pass_rating,,,,,,
player,201311170chi,rav,ThomDe04,rush_att,0,,,,,
player,201311170chi,rav,ThomDe04,rush_yds,0,,,,,
player,201311170chi,rav,ThomDe04,rush_td,0,,,,,
player,201311170chi,rav,ThomDe04,rush_long,0,,,,,
player,201311170chi,rav,ThomDe04,targets,3,,,,,
player,201311170chi,rav,ThomDe04,rec,1,,,,,
player,201311170chi,rav,ThomDe04,rec_yds,11,,,,,
player,201311170chi,rav,ThomDe04,rec_td,0,,,,,
player,201311170chi,rav,ThomDe04,rec_long,11,,,,,
player,201311170chi,rav,ThomDe04,fumbles,0,,,,,
player,201311170chi,rav,ThomDe04,fumbles_lost,0,,,,,
player,201311170chi,chi,McCoJo01,pass_cmp,19,,,,,
player,201311170chi,chi,McCoJo01,pass_att,31,,,,,
player,201311170chi,chi,McCoJo01,pass_yds,216,,,,,
player,201311170chi,chi,McCoJo01,pass_td,1,,,,,
player,201311170chi,chi,McCoJo01,pass_int,0,,,,,
player,201311170chi,chi,McCoJo01,pass_sacked,2,,,,,
player,201311170chi,chi,McCoJo01,pass_sacked_yds,1,,,,,
player,201311170chi,chi,McCoJo01,pass_long,43,,,,,
player,201311170chi,chi,McCoJo01,pass_rating,92.9,,,,,
player,201311170chi,chi,McCoJo01,rush_att,2,,,,,
player,201311170chi,chi,McCoJo01,rush_yds,-1,,,,,
player,201311170chi,chi,McCoJo01,rush_td,0,,,,,
player,201311170chi,chi,McCoJo01,rush_long,0,,,,,
player,201311170chi,chi,McCoJo01,targets,0,,,,,
player,201311170chi,chi,McCoJo01,rec,0,,,,,
player,201311170chi,chi,McCoJo01,rec_yds,0,,,,,
player,201311170chi,chi,McCoJo01,rec_td,0,,,,,
player,201311170chi,chi,McCoJo01,rec_long,0,,,,,
player,201311170chi,chi,McCoJo01,fumbles,0,,,,,
player,201311170chi,chi,McCoJo01,fumbles_lost,0,,,,,
player,201311170chi,chi,FortMa00,pass_cmp,0,,,,,
player,201311170chi,chi,FortMa00,pass_att,0,,,,,
player,201311170chi,chi,FortMa00,pass_yds,0,,,,,
player,201311170chi,chi,FortMa00,pass_td,0,,,,,
player,201311170chi,chi,FortMa00,pass_int,0,,,,,
player,201311170chi,chi,FortMa00,pass_sacked,0,,,,,
player,201311170chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,FortMa00,pass_long,0,,,,,
player,201311170chi,chi,FortMa00,pass_rating,,,,,,
player,201311170chi,chi,FortMa00,rush_att,18,,,,,
player,201311170chi,chi,FortMa00,rush_yds,83,,,,,
player,201311170chi,chi,FortMa00,rush_td,0,,,,,
player,201311170chi,chi,FortMa00,rush_long,20,,,,,
player,201311170chi,chi,FortMa00,targets,6,,,,,
player,201311170chi,chi,FortMa00,rec,5,,,,,
player,201311170chi,chi,FortMa00,rec_yds,42,,,,,
player,201311170chi,chi,FortMa00,rec_td,1,,,,,
player,201311170chi,chi,FortMa00,rec_long,14,,,,,
player,201311170chi,chi,FortMa00,fumbles,0,,,,,
player,201311170chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201311170chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201311170chi,chi,JeffAl00,pass_att,0,,,,,
player,201311170chi,chi,JeffAl00,pass_yds,0,,,,,
player,201311170chi,chi,JeffAl00,pass_td,0,,,,,
player,201311170chi,chi,JeffAl00,pass_int,0,,,,,
player,201311170chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201311170chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,JeffAl00,pass_long,0,,,,,
player,201311170chi,chi,JeffAl00,pass_rating,,,,,,
player,201311170chi,chi,JeffAl00,rush_att,3,,,,,
player,201311170chi,chi,JeffAl00,rush_yds,17,,,,,
player,201311170chi,chi,JeffAl00,rush_td,0,,,,,
player,201311170chi,chi,JeffAl00,rush_long,11,,,,,
player,201311170chi,chi,JeffAl00,targets,10,,,,,
player,201311170chi,chi,JeffAl00,rec,7,,,,,
player,201311170chi,chi,JeffAl00,rec_yds,83,,,,,
player,201311170chi,chi,JeffAl00,rec_td,0,,,,,
player,201311170chi,chi,JeffAl00,rec_long,18,,,,,
player,201311170chi,chi,JeffAl00,fumbles,1,,,,,
player,201311170chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201311170chi,chi,BushMi00,pass_cmp,0,,,,,
player,201311170chi,chi,BushMi00,pass_att,0,,,,,
player,201311170chi,chi,BushMi00,pass_yds,0,,,,,
player,201311170chi,chi,BushMi00,pass_td,0,,,,,
player,201311170chi,chi,BushMi00,pass_int,0,,,,,
player,201311170chi,chi,BushMi00,pass_sacked,0,,,,,
player,201311170chi,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,BushMi00,pass_long,0,,,,,
player,201311170chi,chi,BushMi00,pass_rating,,,,,,
player,201311170chi,chi,BushMi00,rush_att,3,,,,,
player,201311170chi,chi,BushMi00,rush_yds,5,,,,,
player,201311170chi,chi,BushMi00,rush_td,0,,,,,
player,201311170chi,chi,BushMi00,rush_long,5,,,,,
player,201311170chi,chi,BushMi00,targets,0,,,,,
player,201311170chi,chi,BushMi00,rec,0,,,,,
player,201311170chi,chi,BushMi00,rec_yds,0,,,,,
player,201311170chi,chi,BushMi00,rec_td,0,,,,,
player,201311170chi,chi,BushMi00,rec_long,0,,,,,
player,201311170chi,chi,BushMi00,fumbles,0,,,,,
player,201311170chi,chi,BushMi00,fumbles_lost,0,,,,,
player,201311170chi,chi,BennMa00,pass_cmp,0,,,,,
player,201311170chi,chi,BennMa00,pass_att,0,,,,,
player,201311170chi,chi,BennMa00,pass_yds,0,,,,,
player,201311170chi,chi,BennMa00,pass_td,0,,,,,
player,201311170chi,chi,BennMa00,pass_int,0,,,,,
player,201311170chi,chi,BennMa00,pass_sacked,0,,,,,
player,201311170chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,BennMa00,pass_long,0,,,,,
player,201311170chi,chi,BennMa00,pass_rating,,,,,,
player,201311170chi,chi,BennMa00,rush_att,0,,,,,
player,201311170chi,chi,BennMa00,rush_yds,0,,,,,
player,201311170chi,chi,BennMa00,rush_td,0,,,,,
player,201311170chi,chi,BennMa00,rush_long,0,,,,,
player,201311170chi,chi,BennMa00,targets,2,,,,,
player,201311170chi,chi,BennMa00,rec,2,,,,,
player,201311170chi,chi,BennMa00,rec_yds,48,,,,,
player,201311170chi,chi,BennMa00,rec_td,0,,,,,
player,201311170chi,chi,BennMa00,rec_long,43,,,,,
player,201311170chi,chi,BennMa00,fumbles,0,,,,,
player,201311170chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201311170chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201311170chi,chi,MarsBr00,pass_att,0,,,,,
player,201311170chi,chi,MarsBr00,pass_yds,0,,,,,
player,201311170chi,chi,MarsBr00,pass_td,0,,,,,
player,201311170chi,chi,MarsBr00,pass_int,0,,,,,
player,201311170chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201311170chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,MarsBr00,pass_long,0,,,,,
player,201311170chi,chi,MarsBr00,pass_rating,,,,,,
player,201311170chi,chi,MarsBr00,rush_att,0,,,,,
player,201311170chi,chi,MarsBr00,rush_yds,0,,,,,
player,201311170chi,chi,MarsBr00,rush_td,0,,,,,
player,201311170chi,chi,MarsBr00,rush_long,0,,,,,
player,201311170chi,chi,MarsBr00,targets,10,,,,,
player,201311170chi,chi,MarsBr00,rec,4,,,,,
player,201311170chi,chi,MarsBr00,rec_yds,42,,,,,
player,201311170chi,chi,MarsBr00,rec_td,0,,,,,
player,201311170chi,chi,MarsBr00,rec_long,16,,,,,
player,201311170chi,chi,MarsBr00,fumbles,0,,,,,
player,201311170chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201311170chi,chi,BennEa00,pass_cmp,0,,,,,
player,201311170chi,chi,BennEa00,pass_att,0,,,,,
player,201311170chi,chi,BennEa00,pass_yds,0,,,,,
player,201311170chi,chi,BennEa00,pass_td,0,,,,,
player,201311170chi,chi,BennEa00,pass_int,0,,,,,
player,201311170chi,chi,BennEa00,pass_sacked,0,,,,,
player,201311170chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,BennEa00,pass_long,0,,,,,
player,201311170chi,chi,BennEa00,pass_rating,,,,,,
player,201311170chi,chi,BennEa00,rush_att,0,,,,,
player,201311170chi,chi,BennEa00,rush_yds,0,,,,,
player,201311170chi,chi,BennEa00,rush_td,0,,,,,
player,201311170chi,chi,BennEa00,rush_long,0,,,,,
player,201311170chi,chi,BennEa00,targets,1,,,,,
player,201311170chi,chi,BennEa00,rec,1,,,,,
player,201311170chi,chi,BennEa00,rec_yds,1,,,,,
player,201311170chi,chi,BennEa00,rec_td,0,,,,,
player,201311170chi,chi,BennEa00,rec_long,1,,,,,
player,201311170chi,chi,BennEa00,fumbles,0,,,,,
player,201311170chi,chi,BennEa00,fumbles_lost,0,,,,,
player,201311170chi,chi,FiamTo00,pass_cmp,0,,,,,
player,201311170chi,chi,FiamTo00,pass_att,0,,,,,
player,201311170chi,chi,FiamTo00,pass_yds,0,,,,,
player,201311170chi,chi,FiamTo00,pass_td,0,,,,,
player,201311170chi,chi,FiamTo00,pass_int,0,,,,,
player,201311170chi,chi,FiamTo00,pass_sacked,0,,,,,
player,201311170chi,chi,FiamTo00,pass_sacked_yds,0,,,,,
player,201311170chi,chi,FiamTo00,pass_long,0,,,,,
player,201311170chi,chi,FiamTo00,pass_rating,,,,,,
player,201311170chi,chi,FiamTo00,rush_att,0,,,,,
player,201311170chi,chi,FiamTo00,rush_yds,0,,,,,
player,201311170chi,chi,FiamTo00,rush_td,0,,,,,
player,201311170chi,chi,FiamTo00,rush_long,0,,,,,
player,201311170chi,chi,FiamTo00,targets,1,,,,,
player,201311170chi,chi,FiamTo00,rec,0,,,,,
player,201311170chi,chi,FiamTo00,rec_yds,0,,,,,
player,201311170chi,chi,FiamTo00,rec_td,0,,,,,
player,201311170chi,chi,FiamTo00,rec_long,0,,,,,
player,201311170chi,chi,FiamTo00,fumbles,0,,,,,
player,201311170chi,chi,FiamTo00,fumbles_lost,0,,,,,
player,201311170chi,rav,GrahCo99,def_int,0,,,,,
player,201311170chi,rav,GrahCo99,def_int_yds,0,,,,,
player,201311170chi,rav,GrahCo99,def_int_td,0,,,,,
player,201311170chi,rav,GrahCo99,def_int_long,0,,,,,
player,201311170chi,rav,GrahCo99,pass_defended,1,,,,,
player,201311170chi,rav,GrahCo99,sacks,1.0,,,,,
player,201311170chi,rav,GrahCo99,tackles_combined,9,,,,,
player,201311170chi,rav,GrahCo99,tackles_solo,9,,,,,
player,201311170chi,rav,GrahCo99,tackles_assists,0,,,,,
player,201311170chi,rav,GrahCo99,tackles_loss,0,,,,,
player,201311170chi,rav,GrahCo99,qb_hits,1,,,,,
player,201311170chi,rav,GrahCo99,fumbles_rec,0,,,,,
player,201311170chi,rav,GrahCo99,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,GrahCo99,fumbles_rec_td,0,,,,,
player,201311170chi,rav,GrahCo99,fumbles_forced,0,,,,,
player,201311170chi,rav,TysoDe00,def_int,0,,,,,
player,201311170chi,rav,TysoDe00,def_int_yds,0,,,,,
player,201311170chi,rav,TysoDe00,def_int_td,0,,,,,
player,201311170chi,rav,TysoDe00,def_int_long,0,,,,,
player,201311170chi,rav,TysoDe00,pass_defended,0,,,,,
player,201311170chi,rav,TysoDe00,sacks,1.0,,,,,
player,201311170chi,rav,TysoDe00,tackles_combined,1,,,,,
player,201311170chi,rav,TysoDe00,tackles_solo,1,,,,,
player,201311170chi,rav,TysoDe00,tackles_assists,0,,,,,
player,201311170chi,rav,TysoDe00,tackles_loss,1,,,,,
player,201311170chi,rav,TysoDe00,qb_hits,1,,,,,
player,201311170chi,rav,TysoDe00,fumbles_rec,0,,,,,
player,201311170chi,rav,TysoDe00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,TysoDe00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,TysoDe00,fumbles_forced,0,,,,,
player,201311170chi,rav,IhedJa00,def_int,0,,,,,
player,201311170chi,rav,IhedJa00,def_int_yds,0,,,,,
player,201311170chi,rav,IhedJa00,def_int_td,0,,,,,
player,201311170chi,rav,IhedJa00,def_int_long,0,,,,,
player,201311170chi,rav,IhedJa00,pass_defended,0,,,,,
player,201311170chi,rav,IhedJa00,sacks,0.0,,,,,
player,201311170chi,rav,IhedJa00,tackles_combined,6,,,,,
player,201311170chi,rav,IhedJa00,tackles_solo,5,,,,,
player,201311170chi,rav,IhedJa00,tackles_assists,1,,,,,
player,201311170chi,rav,IhedJa00,tackles_loss,0,,,,,
player,201311170chi,rav,IhedJa00,qb_hits,0,,,,,
player,201311170chi,rav,IhedJa00,fumbles_rec,0,,,,,
player,201311170chi,rav,IhedJa00,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,IhedJa00,fumbles_rec_td,0,,,,,
player,201311170chi,rav,IhedJa00,fumbles_forced,0,,,,,
player,201311170chi,rav,SmitDa24,def_int,0,,,,,
player,201311170chi,rav,SmitDa24,def_int_yds,0,,,,,
player,201311170chi,rav,SmitDa24,def_int_td,0,,,,,
player,201311170chi,rav,SmitDa24,def_int_long,0,,,,,
player,201311170chi,rav,SmitDa24,pass_defended,0,,,,,
player,201311170chi,rav,SmitDa24,sacks,0.0,,,,,
player,201311170chi,rav,SmitDa24,tackles_combined,6,,,,,
player,201311170chi,rav,SmitDa24,tackles_solo,4,,,,,
player,201311170chi,rav,SmitDa24,tackles_assists,2,,,,,
player,201311170chi,rav,SmitDa24,tackles_loss,1,,,,,
player,201311170chi,rav,SmitDa24,qb_hits,0,,,,,
player,201311170chi,rav,SmitDa24,fumbles_rec,0,,,,,
player,201311170chi,rav,SmitDa24,fumbles_rec_yds,0,,,,,
player,201311170chi,rav,SmitDa24,fumbles_rec_td,0,,,,,
player,201311170chi,rav,SmitDa24,fumbles_forced,1,,,,,
player,201311170chi,rav,ElamMa00,def_int,0,,,,,
player,201311170chi,rav,ElamMa00,def_int_yds,0,,,,,
player,201311170chi,rav,ElamMa00,def_int_td,0,,,,,
player,201311170chi,rav,ElamMa00,def_int_long,0,,,,,
player,201311170chi,rav,ElamMa00,pass_defended,0,,,,,
player,201311170chi,rav,ElamMa00,sacks,0.0,,,,,
player,201311170chi,rav,ElamMa00,tackles_combined,5,,,,,
player,201311170chi,rav,ElamMa00,tackles_solo,4,,,,,
player,201311170chi,rav,ElamMa00,tackles_assists,1,,,,,
player,201311170chi,rav,ElamMa00,tackles_loss,0,,,,,
player,201311170chi,rav,ElamMa00,qb_hits,0,,,,,
player,201311170chi,rav,ElamMa00,fumbles_rec,0,,,,,
