game,2013,11,20131117,201311170nor,sfo,"San Francisco 49ers",20,nor,"New Orleans Saints",23
player,201311170nor,nor,ThomPi00,pass_cmp,0,,,,,
player,201311170nor,nor,ThomPi00,pass_att,0,,,,,
player,201311170nor,nor,ThomPi00,pass_yds,0,,,,,
player,201311170nor,nor,ThomPi00,pass_td,0,,,,,
player,201311170nor,nor,ThomPi00,pass_int,0,,,,,
player,201311170nor,nor,ThomPi00,pass_sacked,0,,,,,
player,201311170nor,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201311170nor,nor,ThomPi00,pass_long,0,,,,,
player,201311170nor,nor,ThomPi00,pass_rating,,,,,,
player,201311170nor,nor,ThomPi00,rush_att,11,,,,,
player,201311170nor,nor,ThomPi00,rush_yds,49,,,,,
player,201311170nor,nor,ThomPi00,rush_td,0,,,,,
player,201311170nor,nor,ThomPi00,rush_long,10,,,,,
player,201311170nor,nor,ThomPi00,targets,5,,,,,
player,201311170nor,nor,ThomPi00,rec,5,,,,,
player,201311170nor,nor,ThomPi00,rec_yds,35,,,,,
player,201311170nor,nor,ThomPi00,rec_td,0,,,,,
player,201311170nor,nor,ThomPi00,rec_long,10,,,,,
player,201311170nor,nor,ThomPi00,fumbles,0,,,,,
player,201311170nor,nor,ThomPi00,fumbles_lost,0,,,,,
player,201311170nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201311170nor,nor,IngrMa01,pass_att,0,,,,,
player,201311170nor,nor,IngrMa01,pass_yds,0,,,,,
player,201311170nor,nor,IngrMa01,pass_td,0,,,,,
player,201311170nor,nor,IngrMa01,pass_int,0,,,,,
player,201311170nor,nor,IngrMa01,pass_sacked,0,,,,,
player,201311170nor,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201311170nor,nor,IngrMa01,pass_long,0,,,,,
player,201311170nor,nor,IngrMa01,pass_rating,,,,,,
player,201311170nor,nor,IngrMa01,rush_att,6,,,,,
player,201311170nor,nor,IngrMa01,rush_yds,25,,,,,
player,201311170nor,nor,IngrMa01,rush_td,0,,,,,
player,201311170nor,nor,IngrMa01,rush_long,15,,,,,
player,201311170nor,nor,IngrMa01,targets,2,,,,,
player,201311170nor,nor,IngrMa01,rec,1,,,,,
player,201311170nor,nor,IngrMa01,rec_yds,4,,,,,
player,201311170nor,nor,IngrMa01,rec_td,0,,,,,
player,201311170nor,nor,IngrMa01,rec_long,4,,,,,
player,201311170nor,nor,IngrMa01,fumbles,0,,,,,
player,201311170nor,nor,IngrMa01,fumbles_lost,0,,,,,
player,201311170nor,nor,SproDa00,pass_cmp,0,,,,,
player,201311170nor,nor,SproDa00,pass_att,0,,,,,
player,201311170nor,nor,SproDa00,pass_yds,0,,,,,
player,201311170nor,nor,SproDa00,pass_td,0,,,,,
player,201311170nor,nor,SproDa00,pass_int,0,,,,,
player,201311170nor,nor,SproDa00,pass_sacked,0,,,,,
player,201311170nor,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201311170nor,nor,SproDa00,pass_long,0,,,,,
player,201311170nor,nor,SproDa00,pass_rating,,,,,,
player,201311170nor,nor,SproDa00,rush_att,3,,,,,
player,201311170nor,nor,SproDa00,rush_yds,16,,,,,
player,201311170nor,nor,SproDa00,rush_td,0,,,,,
player,201311170nor,nor,SproDa00,rush_long,7,,,,,
player,201311170nor,nor,SproDa00,targets,4,,,,,
player,201311170nor,nor,SproDa00,rec,4,,,,,
player,201311170nor,nor,SproDa00,rec_yds,19,,,,,
player,201311170nor,nor,SproDa00,rec_td,0,,,,,
player,201311170nor,nor,SproDa00,rec_long,8,,,,,
player,201311170nor,nor,SproDa00,fumbles,0,,,,,
player,201311170nor,nor,SproDa00,fumbles_lost,0,,,,,
player,201311170nor,nor,CollJe01,pass_cmp,0,,,,,
player,201311170nor,nor,CollJe01,pass_att,0,,,,,
player,201311170nor,nor,CollJe01,pass_yds,0,,,,,
player,201311170nor,nor,CollJe01,pass_td,0,,,,,
player,201311170nor,nor,CollJe01,pass_int,0,,,,,
player,201311170nor,nor,CollJe01,pass_sacked,0,,,,,
player,201311170nor,nor,CollJe01,pass_sacked_yds,0,,,,,
player,201311170nor,nor,CollJe01,pass_long,0,,,,,
player,201311170nor,nor,CollJe01,pass_rating,,,,,,
player,201311170nor,nor,CollJe01,rush_att,2,,,,,
player,201311170nor,nor,CollJe01,rush_yds,3,,,,,
player,201311170nor,nor,CollJe01,rush_td,1,,,,,
player,201311170nor,nor,CollJe01,rush_long,2,,,,,
player,201311170nor,nor,CollJe01,targets,1,,,,,
player,201311170nor,nor,CollJe01,rec,1,,,,,
player,201311170nor,nor,CollJe01,rec_yds,3,,,,,
player,201311170nor,nor,CollJe01,rec_td,0,,,,,
player,201311170nor,nor,CollJe01,rec_long,3,,,,,
player,201311170nor,nor,CollJe01,fumbles,0,,,,,
player,201311170nor,nor,CollJe01,fumbles_lost,0,,,,,
player,201311170nor,nor,ColsMa00,pass_cmp,0,,,,,
player,201311170nor,nor,ColsMa00,pass_att,0,,,,,
player,201311170nor,nor,ColsMa00,pass_yds,0,,,,,
player,201311170nor,nor,ColsMa00,pass_td,0,,,,,
player,201311170nor,nor,ColsMa00,pass_int,0,,,,,
player,201311170nor,nor,ColsMa00,pass_sacked,0,,,,,
player,201311170nor,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201311170nor,nor,ColsMa00,pass_long,0,,,,,
player,201311170nor,nor,ColsMa00,pass_rating,,,,,,
player,201311170nor,nor,ColsMa00,rush_att,0,,,,,
player,201311170nor,nor,ColsMa00,rush_yds,0,,,,,
player,201311170nor,nor,ColsMa00,rush_td,0,,,,,
player,201311170nor,nor,ColsMa00,rush_long,0,,,,,
player,201311170nor,nor,ColsMa00,targets,8,,,,,
player,201311170nor,nor,ColsMa00,rec,5,,,,,
player,201311170nor,nor,ColsMa00,rec_yds,80,,,,,
player,201311170nor,nor,ColsMa00,rec_td,0,,,,,
player,201311170nor,nor,ColsMa00,rec_long,26,,,,,
player,201311170nor,nor,ColsMa00,fumbles,0,,,,,
player,201311170nor,nor,ColsMa00,fumbles_lost,0,,,,,
player,201311170nor,nor,MeacRo00,pass_cmp,0,,,,,
player,201311170nor,nor,MeacRo00,pass_att,0,,,,,
player,201311170nor,nor,MeacRo00,pass_yds,0,,,,,
player,201311170nor,nor,MeacRo00,pass_td,0,,,,,
player,201311170nor,nor,MeacRo00,pass_int,0,,,,,
