game,2013,9,20131103,201311030cle,rav,"Baltimore Ravens",18,cle,"Cleveland Browns",24
player,201311030cle,rav,RiceRa00,fumbles_lost,0,,,,,
player,201311030cle,rav,PierBe00,pass_cmp,0,,,,,
player,201311030cle,rav,PierBe00,pass_att,0,,,,,
player,201311030cle,rav,PierBe00,pass_yds,0,,,,,
player,201311030cle,rav,PierBe00,pass_td,0,,,,,
player,201311030cle,rav,PierBe00,pass_int,0,,,,,
player,201311030cle,rav,PierBe00,pass_sacked,0,,,,,
player,201311030cle,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,PierBe00,pass_long,0,,,,,
player,201311030cle,rav,PierBe00,pass_rating,,,,,,
player,201311030cle,rav,PierBe00,rush_att,6,,,,,
player,201311030cle,rav,PierBe00,rush_yds,11,,,,,
player,201311030cle,rav,PierBe00,rush_td,0,,,,,
player,201311030cle,rav,PierBe00,rush_long,7,,,,,
player,201311030cle,rav,PierBe00,targets,0,,,,,
player,201311030cle,rav,PierBe00,rec,0,,,,,
player,201311030cle,rav,PierBe00,rec_yds,0,,,,,
player,201311030cle,rav,PierBe00,rec_td,0,,,,,
player,201311030cle,rav,PierBe00,rec_long,0,,,,,
player,201311030cle,rav,PierBe00,fumbles,0,,,,,
player,201311030cle,rav,PierBe00,fumbles_lost,0,,,,,
player,201311030cle,rav,LeacVo00,pass_cmp,0,,,,,
player,201311030cle,rav,LeacVo00,pass_att,0,,,,,
player,201311030cle,rav,LeacVo00,pass_yds,0,,,,,
player,201311030cle,rav,LeacVo00,pass_td,0,,,,,
player,201311030cle,rav,LeacVo00,pass_int,0,,,,,
player,201311030cle,rav,LeacVo00,pass_sacked,0,,,,,
player,201311030cle,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,LeacVo00,pass_long,0,,,,,
player,201311030cle,rav,LeacVo00,pass_rating,,,,,,
player,201311030cle,rav,LeacVo00,rush_att,1,,,,,
player,201311030cle,rav,LeacVo00,rush_yds,2,,,,,
player,201311030cle,rav,LeacVo00,rush_td,0,,,,,
player,201311030cle,rav,LeacVo00,rush_long,2,,,,,
player,201311030cle,rav,LeacVo00,targets,0,,,,,
player,201311030cle,rav,LeacVo00,rec,0,,,,,
player,201311030cle,rav,LeacVo00,rec_yds,0,,,,,
player,201311030cle,rav,LeacVo00,rec_td,0,,,,,
player,201311030cle,rav,LeacVo00,rec_long,0,,,,,
player,201311030cle,rav,LeacVo00,fumbles,0,,,,,
player,201311030cle,rav,LeacVo00,fumbles_lost,0,,,,,
player,201311030cle,rav,SmitTo02,pass_cmp,0,,,,,
player,201311030cle,rav,SmitTo02,pass_att,0,,,,,
player,201311030cle,rav,SmitTo02,pass_yds,0,,,,,
player,201311030cle,rav,SmitTo02,pass_td,0,,,,,
player,201311030cle,rav,SmitTo02,pass_int,0,,,,,
player,201311030cle,rav,SmitTo02,pass_sacked,0,,,,,
player,201311030cle,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201311030cle,rav,SmitTo02,pass_long,0,,,,,
player,201311030cle,rav,SmitTo02,pass_rating,,,,,,
player,201311030cle,rav,SmitTo02,rush_att,0,,,,,
player,201311030cle,rav,SmitTo02,rush_yds,0,,,,,
player,201311030cle,rav,SmitTo02,rush_td,0,,,,,
player,201311030cle,rav,SmitTo02,rush_long,0,,,,,
player,201311030cle,rav,SmitTo02,targets,8,,,,,
player,201311030cle,rav,SmitTo02,rec,5,,,,,
player,201311030cle,rav,SmitTo02,rec_yds,78,,,,,
player,201311030cle,rav,SmitTo02,rec_td,0,,,,,
player,201311030cle,rav,SmitTo02,rec_long,46,,,,,
player,201311030cle,rav,SmitTo02,fumbles,0,,,,,
player,201311030cle,rav,SmitTo02,fumbles_lost,0,,,,,
player,201311030cle,rav,BrowMa00,pass_cmp,0,,,,,
player,201311030cle,rav,BrowMa00,pass_att,0,,,,,
player,201311030cle,rav,BrowMa00,pass_yds,0,,,,,
player,201311030cle,rav,BrowMa00,pass_td,0,,,,,
player,201311030cle,rav,BrowMa00,pass_int,0,,,,,
player,201311030cle,rav,BrowMa00,pass_sacked,0,,,,,
player,201311030cle,rav,BrowMa00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,BrowMa00,pass_long,0,,,,,
player,201311030cle,rav,BrowMa00,pass_rating,,,,,,
player,201311030cle,rav,BrowMa00,rush_att,0,,,,,
player,201311030cle,rav,BrowMa00,rush_yds,0,,,,,
player,201311030cle,rav,BrowMa00,rush_td,0,,,,,
player,201311030cle,rav,BrowMa00,rush_long,0,,,,,
player,201311030cle,rav,BrowMa00,targets,9,,,,,
player,201311030cle,rav,BrowMa00,rec,5,,,,,
player,201311030cle,rav,BrowMa00,rec_yds,54,,,,,
player,201311030cle,rav,BrowMa00,rec_td,2,,,,,
player,201311030cle,rav,BrowMa00,rec_long,19,,,,,
player,201311030cle,rav,BrowMa00,fumbles,0,,,,,
player,201311030cle,rav,BrowMa00,fumbles_lost,0,,,,,
player,201311030cle,rav,DossTa00,pass_cmp,0,,,,,
player,201311030cle,rav,DossTa00,pass_att,0,,,,,
player,201311030cle,rav,DossTa00,pass_yds,0,,,,,
player,201311030cle,rav,DossTa00,pass_td,0,,,,,
player,201311030cle,rav,DossTa00,pass_int,0,,,,,
player,201311030cle,rav,DossTa00,pass_sacked,0,,,,,
player,201311030cle,rav,DossTa00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,DossTa00,pass_long,0,,,,,
player,201311030cle,rav,DossTa00,pass_rating,,,,,,
player,201311030cle,rav,DossTa00,rush_att,0,,,,,
player,201311030cle,rav,DossTa00,rush_yds,0,,,,,
player,201311030cle,rav,DossTa00,rush_td,0,,,,,
player,201311030cle,rav,DossTa00,rush_long,0,,,,,
player,201311030cle,rav,DossTa00,targets,4,,,,,
player,201311030cle,rav,DossTa00,rec,2,,,,,
player,201311030cle,rav,DossTa00,rec_yds,29,,,,,
player,201311030cle,rav,DossTa00,rec_td,0,,,,,
player,201311030cle,rav,DossTa00,rec_long,23,,,,,
player,201311030cle,rav,DossTa00,fumbles,1,,,,,
player,201311030cle,rav,DossTa00,fumbles_lost,1,,,,,
player,201311030cle,rav,JoneJa03,pass_cmp,0,,,,,
player,201311030cle,rav,JoneJa03,pass_att,0,,,,,
player,201311030cle,rav,JoneJa03,pass_yds,0,,,,,
player,201311030cle,rav,JoneJa03,pass_td,0,,,,,
player,201311030cle,rav,JoneJa03,pass_int,0,,,,,
player,201311030cle,rav,JoneJa03,pass_sacked,0,,,,,
player,201311030cle,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201311030cle,rav,JoneJa03,pass_long,0,,,,,
player,201311030cle,rav,JoneJa03,pass_rating,,,,,,
player,201311030cle,rav,JoneJa03,rush_att,0,,,,,
player,201311030cle,rav,JoneJa03,rush_yds,0,,,,,
player,201311030cle,rav,JoneJa03,rush_td,0,,,,,
player,201311030cle,rav,JoneJa03,rush_long,0,,,,,
player,201311030cle,rav,JoneJa03,targets,9,,,,,
player,201311030cle,rav,JoneJa03,rec,4,,,,,
player,201311030cle,rav,JoneJa03,rec_yds,27,,,,,
player,201311030cle,rav,JoneJa03,rec_td,0,,,,,
player,201311030cle,rav,JoneJa03,rec_long,9,,,,,
player,201311030cle,rav,JoneJa03,fumbles,0,,,,,
player,201311030cle,rav,JoneJa03,fumbles_lost,0,,,,,
player,201311030cle,rav,ThomDe04,pass_cmp,0,,,,,
player,201311030cle,rav,ThomDe04,pass_att,0,,,,,
player,201311030cle,rav,ThomDe04,pass_yds,0,,,,,
player,201311030cle,rav,ThomDe04,pass_td,0,,,,,
