game,2013,6,20131013,201310130min,car,"Carolina Panthers",35,min,"Minnesota Vikings",10
player,201310130min,min,CassMa00,pass_sacked_yds,26,,,,,
player,201310130min,min,CassMa00,pass_long,23,,,,,
player,201310130min,min,CassMa00,pass_rating,74.1,,,,,
player,201310130min,min,CassMa00,rush_att,2,,,,,
player,201310130min,min,CassMa00,rush_yds,7,,,,,
player,201310130min,min,CassMa00,rush_td,0,,,,,
player,201310130min,min,CassMa00,rush_long,6,,,,,
player,201310130min,min,CassMa00,targets,0,,,,,
player,201310130min,min,CassMa00,rec,0,,,,,
player,201310130min,min,CassMa00,rec_yds,0,,,,,
player,201310130min,min,CassMa00,rec_td,0,,,,,
player,201310130min,min,CassMa00,rec_long,0,,,,,
player,201310130min,min,CassMa00,fumbles,0,,,,,
player,201310130min,min,CassMa00,fumbles_lost,0,,,,,
player,201310130min,min,PeteAd01,pass_cmp,0,,,,,
player,201310130min,min,PeteAd01,pass_att,0,,,,,
player,201310130min,min,PeteAd01,pass_yds,0,,,,,
player,201310130min,min,PeteAd01,pass_td,0,,,,,
player,201310130min,min,PeteAd01,pass_int,0,,,,,
player,201310130min,min,PeteAd01,pass_sacked,0,,,,,
player,201310130min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201310130min,min,PeteAd01,pass_long,0,,,,,
player,201310130min,min,PeteAd01,pass_rating,,,,,,
player,201310130min,min,PeteAd01,rush_att,10,,,,,
player,201310130min,min,PeteAd01,rush_yds,62,,,,,
player,201310130min,min,PeteAd01,rush_td,0,,,,,
player,201310130min,min,PeteAd01,rush_long,31,,,,,
player,201310130min,min,PeteAd01,targets,4,,,,,
player,201310130min,min,PeteAd01,rec,3,,,,,
player,201310130min,min,PeteAd01,rec_yds,21,,,,,
player,201310130min,min,PeteAd01,rec_td,0,,,,,
player,201310130min,min,PeteAd01,rec_long,11,,,,,
player,201310130min,min,PeteAd01,fumbles,1,,,,,
player,201310130min,min,PeteAd01,fumbles_lost,0,,,,,
player,201310130min,min,GerhTo00,pass_cmp,0,,,,,
player,201310130min,min,GerhTo00,pass_att,0,,,,,
player,201310130min,min,GerhTo00,pass_yds,0,,,,,
player,201310130min,min,GerhTo00,pass_td,0,,,,,
player,201310130min,min,GerhTo00,pass_int,0,,,,,
player,201310130min,min,GerhTo00,pass_sacked,0,,,,,
player,201310130min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201310130min,min,GerhTo00,pass_long,0,,,,,
player,201310130min,min,GerhTo00,pass_rating,,,,,,
player,201310130min,min,GerhTo00,rush_att,1,,,,,
player,201310130min,min,GerhTo00,rush_yds,6,,,,,
player,201310130min,min,GerhTo00,rush_td,0,,,,,
player,201310130min,min,GerhTo00,rush_long,6,,,,,
player,201310130min,min,GerhTo00,targets,2,,,,,
player,201310130min,min,GerhTo00,rec,1,,,,,
player,201310130min,min,GerhTo00,rec_yds,10,,,,,
player,201310130min,min,GerhTo00,rec_td,0,,,,,
player,201310130min,min,GerhTo00,rec_long,10,,,,,
player,201310130min,min,GerhTo00,fumbles,0,,,,,
player,201310130min,min,GerhTo00,fumbles_lost,0,,,,,
player,201310130min,min,RudoKy00,pass_cmp,0,,,,,
player,201310130min,min,RudoKy00,pass_att,0,,,,,
player,201310130min,min,RudoKy00,pass_yds,0,,,,,
player,201310130min,min,RudoKy00,pass_td,0,,,,,
player,201310130min,min,RudoKy00,pass_int,0,,,,,
player,201310130min,min,RudoKy00,pass_sacked,0,,,,,
player,201310130min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201310130min,min,RudoKy00,pass_long,0,,,,,
player,201310130min,min,RudoKy00,pass_rating,,,,,,
player,201310130min,min,RudoKy00,rush_att,0,,,,,
player,201310130min,min,RudoKy00,rush_yds,0,,,,,
player,201310130min,min,RudoKy00,rush_td,0,,,,,
player,201310130min,min,RudoKy00,rush_long,0,,,,,
player,201310130min,min,RudoKy00,targets,11,,,,,
player,201310130min,min,RudoKy00,rec,9,,,,,
player,201310130min,min,RudoKy00,rec_yds,97,,,,,
player,201310130min,min,RudoKy00,rec_td,1,,,,,
player,201310130min,min,RudoKy00,rec_long,23,,,,,
player,201310130min,min,RudoKy00,fumbles,0,,,,,
player,201310130min,min,RudoKy00,fumbles_lost,0,,,,,
player,201310130min,min,JennGr00,pass_cmp,0,,,,,
player,201310130min,min,JennGr00,pass_att,0,,,,,
player,201310130min,min,JennGr00,pass_yds,0,,,,,
player,201310130min,min,JennGr00,pass_td,0,,,,,
player,201310130min,min,JennGr00,pass_int,0,,,,,
player,201310130min,min,JennGr00,pass_sacked,0,,,,,
player,201310130min,min,JennGr00,pass_sacked_yds,0,,,,,
player,201310130min,min,JennGr00,pass_long,0,,,,,
player,201310130min,min,JennGr00,pass_rating,,,,,,
player,201310130min,min,JennGr00,rush_att,0,,,,,
player,201310130min,min,JennGr00,rush_yds,0,,,,,
player,201310130min,min,JennGr00,rush_td,0,,,,,
player,201310130min,min,JennGr00,rush_long,0,,,,,
player,201310130min,min,JennGr00,targets,10,,,,,
player,201310130min,min,JennGr00,rec,6,,,,,
player,201310130min,min,JennGr00,rec_yds,34,,,,,
player,201310130min,min,JennGr00,rec_td,0,,,,,
player,201310130min,min,JennGr00,rec_long,20,,,,,
player,201310130min,min,JennGr00,fumbles,0,,,,,
player,201310130min,min,JennGr00,fumbles_lost,0,,,,,
player,201310130min,min,SimpJe00,pass_cmp,0,,,,,
player,201310130min,min,SimpJe00,pass_att,0,,,,,
player,201310130min,min,SimpJe00,pass_yds,0,,,,,
player,201310130min,min,SimpJe00,pass_td,0,,,,,
player,201310130min,min,SimpJe00,pass_int,0,,,,,
player,201310130min,min,SimpJe00,pass_sacked,0,,,,,
player,201310130min,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201310130min,min,SimpJe00,pass_long,0,,,,,
player,201310130min,min,SimpJe00,pass_rating,,,,,,
player,201310130min,min,SimpJe00,rush_att,0,,,,,
player,201310130min,min,SimpJe00,rush_yds,0,,,,,
player,201310130min,min,SimpJe00,rush_td,0,,,,,
player,201310130min,min,SimpJe00,rush_long,0,,,,,
player,201310130min,min,SimpJe00,targets,7,,,,,
player,201310130min,min,SimpJe00,rec,4,,,,,
player,201310130min,min,SimpJe00,rec_yds,30,,,,,
player,201310130min,min,SimpJe00,rec_td,0,,,,,
player,201310130min,min,SimpJe00,rec_long,15,,,,,
player,201310130min,min,SimpJe00,fumbles,0,,,,,
player,201310130min,min,SimpJe00,fumbles_lost,0,,,,,
player,201310130min,min,WebbJo00,pass_cmp,0,,,,,
player,201310130min,min,WebbJo00,pass_att,0,,,,,
player,201310130min,min,WebbJo00,pass_yds,0,,,,,
player,201310130min,min,WebbJo00,pass_td,0,,,,,
player,201310130min,min,WebbJo00,pass_int,0,,,,,
player,201310130min,min,WebbJo00,pass_sacked,0,,,,,
player,201310130min,min,WebbJo00,pass_sacked_yds,0,,,,,
player,201310130min,min,WebbJo00,pass_long,0,,,,,
player,201310130min,min,WebbJo00,pass_rating,,,,,,
player,201310130min,min,WebbJo00,rush_att,0,,,,,
player,201310130min,min,WebbJo00,rush_yds,0,,,,,
player,201310130min,min,WebbJo00,rush_td,0,,,,,
player,201310130min,min,WebbJo00,rush_long,0,,,,,
player,201310130min,min,WebbJo00,targets,4,,,,,
player,201310130min,min,WebbJo00,rec,3,,,,,
player,201310130min,min,WebbJo00,rec_yds,24,,,,,
player,201310130min,min,WebbJo00,rec_td,0,,,,,
player,201310130min,min,WebbJo00,rec_long,15,,,,,
player,201310130min,min,WebbJo00,fumbles,0,,,,,
player,201310130min,min,WebbJo00,fumbles_lost,0,,,,,
player,201310130min,min,CarlJo00,pass_cmp,0,,,,,
player,201310130min,min,CarlJo00,pass_att,0,,,,,
player,201310130min,min,CarlJo00,pass_yds,0,,,,,
player,201310130min,min,CarlJo00,pass_td,0,,,,,
player,201310130min,min,CarlJo00,pass_int,0,,,,,
player,201310130min,min,CarlJo00,pass_sacked,0,,,,,
player,201310130min,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201310130min,min,CarlJo00,pass_long,0,,,,,
player,201310130min,min,CarlJo00,pass_rating,,,,,,
player,201310130min,min,CarlJo00,rush_att,0,,,,,
player,201310130min,min,CarlJo00,rush_yds,0,,,,,
player,201310130min,min,CarlJo00,rush_td,0,,,,,
player,201310130min,min,CarlJo00,rush_long,0,,,,,
player,201310130min,min,CarlJo00,targets,2,,,,,
player,201310130min,min,CarlJo00,rec,2,,,,,
player,201310130min,min,CarlJo00,rec_yds,12,,,,,
player,201310130min,min,CarlJo00,rec_td,0,,,,,
player,201310130min,min,CarlJo00,rec_long,8,,,,,
player,201310130min,min,CarlJo00,fumbles,0,,,,,
player,201310130min,min,CarlJo00,fumbles_lost,0,,,,,
player,201310130min,min,WrigJa02,pass_cmp,0,,,,,
player,201310130min,min,WrigJa02,pass_att,0,,,,,
player,201310130min,min,WrigJa02,pass_yds,0,,,,,
player,201310130min,min,WrigJa02,pass_td,0,,,,,
player,201310130min,min,WrigJa02,pass_int,0,,,,,
player,201310130min,min,WrigJa02,pass_sacked,0,,,,,
player,201310130min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201310130min,min,WrigJa02,pass_long,0,,,,,
player,201310130min,min,WrigJa02,pass_rating,,,,,,
player,201310130min,min,WrigJa02,rush_att,0,,,,,
player,201310130min,min,WrigJa02,rush_yds,0,,,,,
player,201310130min,min,WrigJa02,rush_td,0,,,,,
player,201310130min,min,WrigJa02,rush_long,0,,,,,
player,201310130min,min,WrigJa02,targets,2,,,,,
player,201310130min,min,WrigJa02,rec,2,,,,,
player,201310130min,min,WrigJa02,rec_yds,10,,,,,
player,201310130min,min,WrigJa02,rec_td,0,,,,,
player,201310130min,min,WrigJa02,rec_long,8,,,,,
player,201310130min,min,WrigJa02,fumbles,0,,,,,
player,201310130min,min,WrigJa02,fumbles_lost,0,,,,,
player,201310130min,min,PattCo00,pass_cmp,0,,,,,
player,201310130min,min,PattCo00,pass_att,0,,,,,
player,201310130min,min,PattCo00,pass_yds,0,,,,,
player,201310130min,min,PattCo00,pass_td,0,,,,,
player,201310130min,min,PattCo00,pass_int,0,,,,,
player,201310130min,min,PattCo00,pass_sacked,0,,,,,
player,201310130min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201310130min,min,PattCo00,pass_long,0,,,,,
player,201310130min,min,PattCo00,pass_rating,,,,,,
player,201310130min,min,PattCo00,rush_att,0,,,,,
player,201310130min,min,PattCo00,rush_yds,0,,,,,
player,201310130min,min,PattCo00,rush_td,0,,,,,
player,201310130min,min,PattCo00,rush_long,0,,,,,
player,201310130min,min,PattCo00,targets,2,,,,,
player,201310130min,min,PattCo00,rec,2,,,,,
player,201310130min,min,PattCo00,rec_yds,3,,,,,
player,201310130min,min,PattCo00,rec_td,0,,,,,
player,201310130min,min,PattCo00,rec_long,5,,,,,
player,201310130min,min,PattCo00,fumbles,0,,,,,
