game,2013,8,20131027,201310270rai,pit,"Pittsburgh Steelers",18,rai,"Oakland Raiders",21
player,201310270rai,rai,McFaDa00,pass_int,0,,,,,
player,201310270rai,rai,McFaDa00,pass_sacked,,,,,,
player,201310270rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,McFaDa00,pass_long,0,,,,,
player,201310270rai,rai,McFaDa00,pass_rating,,,,,,
player,201310270rai,rai,McFaDa00,rush_att,24,,,,,
player,201310270rai,rai,McFaDa00,rush_yds,73,,,,,
player,201310270rai,rai,McFaDa00,rush_td,2,,,,,
player,201310270rai,rai,McFaDa00,rush_long,19,,,,,
player,201310270rai,rai,McFaDa00,targets,2,,,,,
player,201310270rai,rai,McFaDa00,rec,2,,,,,
player,201310270rai,rai,McFaDa00,rec_yds,5,,,,,
player,201310270rai,rai,McFaDa00,rec_td,0,,,,,
player,201310270rai,rai,McFaDa00,rec_long,7,,,,,
player,201310270rai,rai,McFaDa00,fumbles,0,,,,,
player,201310270rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201310270rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201310270rai,rai,ReecMa00,pass_att,0,,,,,
player,201310270rai,rai,ReecMa00,pass_yds,0,,,,,
player,201310270rai,rai,ReecMa00,pass_td,0,,,,,
player,201310270rai,rai,ReecMa00,pass_int,0,,,,,
player,201310270rai,rai,ReecMa00,pass_sacked,,,,,,
player,201310270rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,ReecMa00,pass_long,0,,,,,
player,201310270rai,rai,ReecMa00,pass_rating,,,,,,
player,201310270rai,rai,ReecMa00,rush_att,3,,,,,
player,201310270rai,rai,ReecMa00,rush_yds,10,,,,,
player,201310270rai,rai,ReecMa00,rush_td,0,,,,,
player,201310270rai,rai,ReecMa00,rush_long,6,,,,,
player,201310270rai,rai,ReecMa00,targets,0,,,,,
player,201310270rai,rai,ReecMa00,rec,0,,,,,
player,201310270rai,rai,ReecMa00,rec_yds,0,,,,,
player,201310270rai,rai,ReecMa00,rec_td,0,,,,,
player,201310270rai,rai,ReecMa00,rec_long,0,,,,,
player,201310270rai,rai,ReecMa00,fumbles,0,,,,,
player,201310270rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201310270rai,rai,JennRa00,pass_cmp,0,,,,,
player,201310270rai,rai,JennRa00,pass_att,0,,,,,
player,201310270rai,rai,JennRa00,pass_yds,0,,,,,
player,201310270rai,rai,JennRa00,pass_td,0,,,,,
player,201310270rai,rai,JennRa00,pass_int,0,,,,,
player,201310270rai,rai,JennRa00,pass_sacked,,,,,,
player,201310270rai,rai,JennRa00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,JennRa00,pass_long,0,,,,,
player,201310270rai,rai,JennRa00,pass_rating,,,,,,
player,201310270rai,rai,JennRa00,rush_att,2,,,,,
player,201310270rai,rai,JennRa00,rush_yds,8,,,,,
player,201310270rai,rai,JennRa00,rush_td,0,,,,,
player,201310270rai,rai,JennRa00,rush_long,5,,,,,
player,201310270rai,rai,JennRa00,targets,0,,,,,
player,201310270rai,rai,JennRa00,rec,0,,,,,
player,201310270rai,rai,JennRa00,rec_yds,0,,,,,
player,201310270rai,rai,JennRa00,rec_td,0,,,,,
player,201310270rai,rai,JennRa00,rec_long,0,,,,,
player,201310270rai,rai,JennRa00,fumbles,0,,,,,
player,201310270rai,rai,JennRa00,fumbles_lost,0,,,,,
player,201310270rai,rai,StreRo00,pass_cmp,0,,,,,
player,201310270rai,rai,StreRo00,pass_att,0,,,,,
player,201310270rai,rai,StreRo00,pass_yds,0,,,,,
player,201310270rai,rai,StreRo00,pass_td,0,,,,,
player,201310270rai,rai,StreRo00,pass_int,0,,,,,
player,201310270rai,rai,StreRo00,pass_sacked,,,,,,
player,201310270rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201310270rai,rai,StreRo00,pass_long,0,,,,,
player,201310270rai,rai,StreRo00,pass_rating,,,,,,
player,201310270rai,rai,StreRo00,rush_att,0,,,,,
player,201310270rai,rai,StreRo00,rush_yds,0,,,,,
player,201310270rai,rai,StreRo00,rush_td,0,,,,,
player,201310270rai,rai,StreRo00,rush_long,0,,,,,
player,201310270rai,rai,StreRo00,targets,6,,,,,
player,201310270rai,rai,StreRo00,rec,4,,,,,
player,201310270rai,rai,StreRo00,rec_yds,45,,,,,
player,201310270rai,rai,StreRo00,rec_td,0,,,,,
player,201310270rai,rai,StreRo00,rec_long,16,,,,,
player,201310270rai,rai,StreRo00,fumbles,0,,,,,
player,201310270rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201310270rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201310270rai,rai,MoorDe02,pass_att,0,,,,,
player,201310270rai,rai,MoorDe02,pass_yds,0,,,,,
player,201310270rai,rai,MoorDe02,pass_td,0,,,,,
player,201310270rai,rai,MoorDe02,pass_int,0,,,,,
player,201310270rai,rai,MoorDe02,pass_sacked,,,,,,
player,201310270rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201310270rai,rai,MoorDe02,pass_long,0,,,,,
player,201310270rai,rai,MoorDe02,pass_rating,,,,,,
player,201310270rai,rai,MoorDe02,rush_att,0,,,,,
player,201310270rai,rai,MoorDe02,rush_yds,0,,,,,
player,201310270rai,rai,MoorDe02,rush_td,0,,,,,
player,201310270rai,rai,MoorDe02,rush_long,0,,,,,
player,201310270rai,rai,MoorDe02,targets,4,,,,,
player,201310270rai,rai,MoorDe02,rec,2,,,,,
player,201310270rai,rai,MoorDe02,rec_yds,32,,,,,
player,201310270rai,rai,MoorDe02,rec_td,0,,,,,
player,201310270rai,rai,MoorDe02,rec_long,18,,,,,
player,201310270rai,rai,MoorDe02,fumbles,0,,,,,
player,201310270rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201310270rai,rai,MastJe20,pass_cmp,0,,,,,
player,201310270rai,rai,MastJe20,pass_att,0,,,,,
player,201310270rai,rai,MastJe20,pass_yds,0,,,,,
player,201310270rai,rai,MastJe20,pass_td,0,,,,,
player,201310270rai,rai,MastJe20,pass_int,0,,,,,
player,201310270rai,rai,MastJe20,pass_sacked,,,,,,
player,201310270rai,rai,MastJe20,pass_sacked_yds,0,,,,,
player,201310270rai,rai,MastJe20,pass_long,0,,,,,
player,201310270rai,rai,MastJe20,pass_rating,,,,,,
player,201310270rai,rai,MastJe20,rush_att,0,,,,,
player,201310270rai,rai,MastJe20,rush_yds,0,,,,,
