game,2013,4,20130929,201309290den,phi,"Philadelphia Eagles",20,den,"Denver Broncos",52
player,201309290den,phi,ErtzZa00,rec,1,,,,,
player,201309290den,phi,ErtzZa00,rec_yds,38,,,,,
player,201309290den,phi,ErtzZa00,rec_td,0,,,,,
player,201309290den,phi,ErtzZa00,rec_long,38,,,,,
player,201309290den,phi,ErtzZa00,fumbles,0,,,,,
player,201309290den,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201309290den,phi,JackDe00,pass_cmp,0,,,,,
player,201309290den,phi,JackDe00,pass_att,0,,,,,
player,201309290den,phi,JackDe00,pass_yds,0,,,,,
player,201309290den,phi,JackDe00,pass_td,0,,,,,
player,201309290den,phi,JackDe00,pass_int,0,,,,,
player,201309290den,phi,JackDe00,pass_sacked,0,,,,,
player,201309290den,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201309290den,phi,JackDe00,pass_long,0,,,,,
player,201309290den,phi,JackDe00,pass_rating,,,,,,
player,201309290den,phi,JackDe00,rush_att,0,,,,,
player,201309290den,phi,JackDe00,rush_yds,0,,,,,
player,201309290den,phi,JackDe00,rush_td,0,,,,,
player,201309290den,phi,JackDe00,rush_long,0,,,,,
player,201309290den,phi,JackDe00,targets,6,,,,,
player,201309290den,phi,JackDe00,rec,2,,,,,
player,201309290den,phi,JackDe00,rec_yds,34,,,,,
player,201309290den,phi,JackDe00,rec_td,0,,,,,
player,201309290den,phi,JackDe00,rec_long,20,,,,,
player,201309290den,phi,JackDe00,fumbles,0,,,,,
player,201309290den,phi,JackDe00,fumbles_lost,0,,,,,
player,201309290den,phi,CoopRi00,pass_cmp,0,,,,,
player,201309290den,phi,CoopRi00,pass_att,0,,,,,
player,201309290den,phi,CoopRi00,pass_yds,0,,,,,
player,201309290den,phi,CoopRi00,pass_td,0,,,,,
player,201309290den,phi,CoopRi00,pass_int,0,,,,,
player,201309290den,phi,CoopRi00,pass_sacked,0,,,,,
player,201309290den,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201309290den,phi,CoopRi00,pass_long,0,,,,,
player,201309290den,phi,CoopRi00,pass_rating,,,,,,
player,201309290den,phi,CoopRi00,rush_att,0,,,,,
player,201309290den,phi,CoopRi00,rush_yds,0,,,,,
player,201309290den,phi,CoopRi00,rush_td,0,,,,,
player,201309290den,phi,CoopRi00,rush_long,0,,,,,
player,201309290den,phi,CoopRi00,targets,2,,,,,
player,201309290den,phi,CoopRi00,rec,2,,,,,
player,201309290den,phi,CoopRi00,rec_yds,25,,,,,
player,201309290den,phi,CoopRi00,rec_td,0,,,,,
player,201309290den,phi,CoopRi00,rec_long,15,,,,,
player,201309290den,phi,CoopRi00,fumbles,0,,,,,
player,201309290den,phi,CoopRi00,fumbles_lost,0,,,,,
player,201309290den,phi,CaseJa00,pass_cmp,0,,,,,
player,201309290den,phi,CaseJa00,pass_att,0,,,,,
player,201309290den,phi,CaseJa00,pass_yds,0,,,,,
player,201309290den,phi,CaseJa00,pass_td,0,,,,,
player,201309290den,phi,CaseJa00,pass_int,0,,,,,
player,201309290den,phi,CaseJa00,pass_sacked,0,,,,,
player,201309290den,phi,CaseJa00,pass_sacked_yds,0,,,,,
player,201309290den,phi,CaseJa00,pass_long,0,,,,,
player,201309290den,phi,CaseJa00,pass_rating,,,,,,
player,201309290den,phi,CaseJa00,rush_att,0,,,,,
player,201309290den,phi,CaseJa00,rush_yds,0,,,,,
player,201309290den,phi,CaseJa00,rush_td,0,,,,,
player,201309290den,phi,CaseJa00,rush_long,0,,,,,
player,201309290den,phi,CaseJa00,targets,1,,,,,
player,201309290den,phi,CaseJa00,rec,1,,,,,
player,201309290den,phi,CaseJa00,rec_yds,12,,,,,
player,201309290den,phi,CaseJa00,rec_td,0,,,,,
player,201309290den,phi,CaseJa00,rec_long,12,,,,,
player,201309290den,phi,CaseJa00,fumbles,0,,,,,
player,201309290den,phi,CaseJa00,fumbles_lost,0,,,,,
player,201309290den,phi,AvanJa00,pass_cmp,0,,,,,
player,201309290den,phi,AvanJa00,pass_att,0,,,,,
player,201309290den,phi,AvanJa00,pass_yds,0,,,,,
player,201309290den,phi,AvanJa00,pass_td,0,,,,,
player,201309290den,phi,AvanJa00,pass_int,0,,,,,
player,201309290den,phi,AvanJa00,pass_sacked,0,,,,,
player,201309290den,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201309290den,phi,AvanJa00,pass_long,0,,,,,
player,201309290den,phi,AvanJa00,pass_rating,,,,,,
player,201309290den,phi,AvanJa00,rush_att,0,,,,,
player,201309290den,phi,AvanJa00,rush_yds,0,,,,,
player,201309290den,phi,AvanJa00,rush_td,0,,,,,
player,201309290den,phi,AvanJa00,rush_long,0,,,,,
player,201309290den,phi,AvanJa00,targets,4,,,,,
player,201309290den,phi,AvanJa00,rec,1,,,,,
player,201309290den,phi,AvanJa00,rec_yds,7,,,,,
player,201309290den,phi,AvanJa00,rec_td,0,,,,,
player,201309290den,phi,AvanJa00,rec_long,7,,,,,
player,201309290den,phi,AvanJa00,fumbles,0,,,,,
player,201309290den,phi,AvanJa00,fumbles_lost,0,,,,,
player,201309290den,den,MannPe00,pass_cmp,28,,,,,
player,201309290den,den,MannPe00,pass_att,34,,,,,
player,201309290den,den,MannPe00,pass_yds,327,,,,,
player,201309290den,den,MannPe00,pass_td,4,,,,,
player,201309290den,den,MannPe00,pass_int,0,,,,,
player,201309290den,den,MannPe00,pass_sacked,1,,,,,
player,201309290den,den,MannPe00,pass_sacked_yds,6,,,,,
player,201309290den,den,MannPe00,pass_long,52,,,,,
player,201309290den,den,MannPe00,pass_rating,146.0,,,,,
player,201309290den,den,MannPe00,rush_att,0,,,,,
player,201309290den,den,MannPe00,rush_yds,0,,,,,
player,201309290den,den,MannPe00,rush_td,0,,,,,
player,201309290den,den,MannPe00,rush_long,0,,,,,
player,201309290den,den,MannPe00,targets,0,,,,,
player,201309290den,den,MannPe00,rec,0,,,,,
player,201309290den,den,MannPe00,rec_yds,0,,,,,
player,201309290den,den,MannPe00,rec_td,0,,,,,
player,201309290den,den,MannPe00,rec_long,0,,,,,
player,201309290den,den,MannPe00,fumbles,0,,,,,
player,201309290den,den,MannPe00,fumbles_lost,0,,,,,
player,201309290den,den,OsweBr00,pass_cmp,2,,,,,
player,201309290den,den,OsweBr00,pass_att,3,,,,,
player,201309290den,den,OsweBr00,pass_yds,10,,,,,
player,201309290den,den,OsweBr00,pass_td,0,,,,,
player,201309290den,den,OsweBr00,pass_int,0,,,,,
player,201309290den,den,OsweBr00,pass_sacked,0,,,,,
player,201309290den,den,OsweBr00,pass_sacked_yds,0,,,,,
player,201309290den,den,OsweBr00,pass_long,5,,,,,
player,201309290den,den,OsweBr00,pass_rating,71.5,,,,,
player,201309290den,den,OsweBr00,rush_att,2,,,,,
player,201309290den,den,OsweBr00,rush_yds,3,,,,,
player,201309290den,den,OsweBr00,rush_td,0,,,,,
player,201309290den,den,OsweBr00,rush_long,4,,,,,
player,201309290den,den,OsweBr00,targets,0,,,,,
player,201309290den,den,OsweBr00,rec,0,,,,,
player,201309290den,den,OsweBr00,rec_yds,0,,,,,
player,201309290den,den,OsweBr00,rec_td,0,,,,,
player,201309290den,den,OsweBr00,rec_long,0,,,,,
player,201309290den,den,OsweBr00,fumbles,0,,,,,
player,201309290den,den,OsweBr00,fumbles_lost,0,,,,,
player,201309290den,den,MoreKn00,pass_cmp,0,,,,,
player,201309290den,den,MoreKn00,pass_att,0,,,,,
player,201309290den,den,MoreKn00,pass_yds,0,,,,,
player,201309290den,den,MoreKn00,pass_td,0,,,,,
player,201309290den,den,MoreKn00,pass_int,0,,,,,
player,201309290den,den,MoreKn00,pass_sacked,0,,,,,
player,201309290den,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201309290den,den,MoreKn00,pass_long,0,,,,,
player,201309290den,den,MoreKn00,pass_rating,,,,,,
player,201309290den,den,MoreKn00,rush_att,12,,,,,
player,201309290den,den,MoreKn00,rush_yds,78,,,,,
player,201309290den,den,MoreKn00,rush_td,1,,,,,
player,201309290den,den,MoreKn00,rush_long,17,,,,,
player,201309290den,den,MoreKn00,targets,1,,,,,
player,201309290den,den,MoreKn00,rec,1,,,,,
player,201309290den,den,MoreKn00,rec_yds,13,,,,,
player,201309290den,den,MoreKn00,rec_td,0,,,,,
player,201309290den,den,MoreKn00,rec_long,13,,,,,
player,201309290den,den,MoreKn00,fumbles,0,,,,,
player,201309290den,den,MoreKn00,fumbles_lost,0,,,,,
player,201309290den,den,HillRo00,pass_cmp,0,,,,,
player,201309290den,den,HillRo00,pass_att,0,,,,,
player,201309290den,den,HillRo00,pass_yds,0,,,,,
player,201309290den,den,HillRo00,pass_td,0,,,,,
player,201309290den,den,HillRo00,pass_int,0,,,,,
player,201309290den,den,HillRo00,pass_sacked,0,,,,,
player,201309290den,den,HillRo00,pass_sacked_yds,0,,,,,
player,201309290den,den,HillRo00,pass_long,0,,,,,
player,201309290den,den,HillRo00,pass_rating,,,,,,
player,201309290den,den,HillRo00,rush_att,11,,,,,
player,201309290den,den,HillRo00,rush_yds,36,,,,,
player,201309290den,den,HillRo00,rush_td,0,,,,,
player,201309290den,den,HillRo00,rush_long,10,,,,,
player,201309290den,den,HillRo00,targets,3,,,,,
player,201309290den,den,HillRo00,rec,2,,,,,
player,201309290den,den,HillRo00,rec_yds,21,,,,,
player,201309290den,den,HillRo00,rec_td,0,,,,,
player,201309290den,den,HillRo00,rec_long,14,,,,,
player,201309290den,den,HillRo00,fumbles,0,,,,,
player,201309290den,den,HillRo00,fumbles_lost,0,,,,,
player,201309290den,den,BallMo00,pass_cmp,0,,,,,
player,201309290den,den,BallMo00,pass_att,0,,,,,
player,201309290den,den,BallMo00,pass_yds,0,,,,,
player,201309290den,den,BallMo00,pass_td,0,,,,,
player,201309290den,den,BallMo00,pass_int,0,,,,,
player,201309290den,den,BallMo00,pass_sacked,0,,,,,
player,201309290den,den,BallMo00,pass_sacked_yds,0,,,,,
player,201309290den,den,BallMo00,pass_long,0,,,,,
player,201309290den,den,BallMo00,pass_rating,,,,,,
player,201309290den,den,BallMo00,rush_att,8,,,,,
player,201309290den,den,BallMo00,rush_yds,24,,,,,
player,201309290den,den,BallMo00,rush_td,0,,,,,
player,201309290den,den,BallMo00,rush_long,6,,,,,
player,201309290den,den,BallMo00,targets,0,,,,,
player,201309290den,den,BallMo00,rec,0,,,,,
player,201309290den,den,BallMo00,rec_yds,0,,,,,
player,201309290den,den,BallMo00,rec_td,0,,,,,
player,201309290den,den,BallMo00,rec_long,0,,,,,
player,201309290den,den,BallMo00,fumbles,0,,,,,
player,201309290den,den,BallMo00,fumbles_lost,0,,,,,
player,201309290den,den,DeckEr00,pass_cmp,0,,,,,
player,201309290den,den,DeckEr00,pass_att,0,,,,,
player,201309290den,den,DeckEr00,pass_yds,0,,,,,
player,201309290den,den,DeckEr00,pass_td,0,,,,,
player,201309290den,den,DeckEr00,pass_int,0,,,,,
player,201309290den,den,DeckEr00,pass_sacked,0,,,,,
player,201309290den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201309290den,den,DeckEr00,pass_long,0,,,,,
player,201309290den,den,DeckEr00,pass_rating,,,,,,
player,201309290den,den,DeckEr00,rush_att,0,,,,,
player,201309290den,den,DeckEr00,rush_yds,0,,,,,
player,201309290den,den,DeckEr00,rush_td,0,,,,,
player,201309290den,den,DeckEr00,rush_long,0,,,,,
player,201309290den,den,DeckEr00,targets,7,,,,,
player,201309290den,den,DeckEr00,rec,5,,,,,
player,201309290den,den,DeckEr00,rec_yds,88,,,,,
player,201309290den,den,DeckEr00,rec_td,0,,,,,
player,201309290den,den,DeckEr00,rec_long,52,,,,,
player,201309290den,den,DeckEr00,fumbles,0,,,,,
player,201309290den,den,DeckEr00,fumbles_lost,0,,,,,
player,201309290den,den,ThomDe03,pass_cmp,0,,,,,
player,201309290den,den,ThomDe03,pass_att,0,,,,,
player,201309290den,den,ThomDe03,pass_yds,0,,,,,
player,201309290den,den,ThomDe03,pass_td,0,,,,,
player,201309290den,den,ThomDe03,pass_int,0,,,,,
player,201309290den,den,ThomDe03,pass_sacked,0,,,,,
player,201309290den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201309290den,den,ThomDe03,pass_long,0,,,,,
player,201309290den,den,ThomDe03,pass_rating,,,,,,
player,201309290den,den,ThomDe03,rush_att,0,,,,,
player,201309290den,den,ThomDe03,rush_yds,0,,,,,
player,201309290den,den,ThomDe03,rush_td,0,,,,,
player,201309290den,den,ThomDe03,rush_long,0,,,,,
player,201309290den,den,ThomDe03,targets,10,,,,,
player,201309290den,den,ThomDe03,rec,9,,,,,
player,201309290den,den,ThomDe03,rec_yds,86,,,,,
player,201309290den,den,ThomDe03,rec_td,2,,,,,
player,201309290den,den,ThomDe03,rec_long,15,,,,,
player,201309290den,den,ThomDe03,fumbles,0,,,,,
player,201309290den,den,ThomDe03,fumbles_lost,0,,,,,
player,201309290den,den,WelkWe00,pass_cmp,0,,,,,
player,201309290den,den,WelkWe00,pass_att,0,,,,,
player,201309290den,den,WelkWe00,pass_yds,0,,,,,
player,201309290den,den,WelkWe00,pass_td,0,,,,,
player,201309290den,den,WelkWe00,pass_int,0,,,,,
player,201309290den,den,WelkWe00,pass_sacked,0,,,,,
player,201309290den,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201309290den,den,WelkWe00,pass_long,0,,,,,
player,201309290den,den,WelkWe00,pass_rating,,,,,,
player,201309290den,den,WelkWe00,rush_att,0,,,,,
player,201309290den,den,WelkWe00,rush_yds,0,,,,,
player,201309290den,den,WelkWe00,rush_td,0,,,,,
player,201309290den,den,WelkWe00,rush_long,0,,,,,
player,201309290den,den,WelkWe00,targets,9,,,,,
player,201309290den,den,WelkWe00,rec,7,,,,,
player,201309290den,den,WelkWe00,rec_yds,76,,,,,
player,201309290den,den,WelkWe00,rec_td,2,,,,,
player,201309290den,den,WelkWe00,rec_long,33,,,,,
player,201309290den,den,WelkWe00,fumbles,0,,,,,
player,201309290den,den,WelkWe00,fumbles_lost,0,,,,,
player,201309290den,den,ThomJu00,pass_cmp,0,,,,,
player,201309290den,den,ThomJu00,pass_att,0,,,,,
player,201309290den,den,ThomJu00,pass_yds,0,,,,,
player,201309290den,den,ThomJu00,pass_td,0,,,,,
player,201309290den,den,ThomJu00,pass_int,0,,,,,
player,201309290den,den,ThomJu00,pass_sacked,0,,,,,
player,201309290den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201309290den,den,ThomJu00,pass_long,0,,,,,
player,201309290den,den,ThomJu00,pass_rating,,,,,,
player,201309290den,den,ThomJu00,rush_att,0,,,,,
player,201309290den,den,ThomJu00,rush_yds,0,,,,,
player,201309290den,den,ThomJu00,rush_td,0,,,,,
player,201309290den,den,ThomJu00,rush_long,0,,,,,
player,201309290den,den,ThomJu00,targets,4,,,,,
player,201309290den,den,ThomJu00,rec,4,,,,,
player,201309290den,den,ThomJu00,rec_yds,43,,,,,
player,201309290den,den,ThomJu00,rec_td,0,,,,,
player,201309290den,den,ThomJu00,rec_long,13,,,,,
player,201309290den,den,ThomJu00,fumbles,0,,,,,
player,201309290den,den,ThomJu00,fumbles_lost,0,,,,,
player,201309290den,den,GreeVi00,pass_cmp,0,,,,,
player,201309290den,den,GreeVi00,pass_att,0,,,,,
player,201309290den,den,GreeVi00,pass_yds,0,,,,,
player,201309290den,den,GreeVi00,pass_td,0,,,,,
player,201309290den,den,GreeVi00,pass_int,0,,,,,
player,201309290den,den,GreeVi00,pass_sacked,0,,,,,
player,201309290den,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201309290den,den,GreeVi00,pass_long,0,,,,,
player,201309290den,den,GreeVi00,pass_rating,,,,,,
player,201309290den,den,GreeVi00,rush_att,0,,,,,
player,201309290den,den,GreeVi00,rush_yds,0,,,,,
player,201309290den,den,GreeVi00,rush_td,0,,,,,
player,201309290den,den,GreeVi00,rush_long,0,,,,,
player,201309290den,den,GreeVi00,targets,1,,,,,
player,201309290den,den,GreeVi00,rec,1,,,,,
player,201309290den,den,GreeVi00,rec_yds,5,,,,,
player,201309290den,den,GreeVi00,rec_td,0,,,,,
player,201309290den,den,GreeVi00,rec_long,5,,,,,
player,201309290den,den,GreeVi00,fumbles,0,,,,,
player,201309290den,den,GreeVi00,fumbles_lost,0,,,,,
player,201309290den,den,CaldAn00,pass_cmp,0,,,,,
player,201309290den,den,CaldAn00,pass_att,0,,,,,
player,201309290den,den,CaldAn00,pass_yds,0,,,,,
player,201309290den,den,CaldAn00,pass_td,0,,,,,
player,201309290den,den,CaldAn00,pass_int,0,,,,,
player,201309290den,den,CaldAn00,pass_sacked,0,,,,,
player,201309290den,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201309290den,den,CaldAn00,pass_long,0,,,,,
player,201309290den,den,CaldAn00,pass_rating,,,,,,
player,201309290den,den,CaldAn00,rush_att,0,,,,,
player,201309290den,den,CaldAn00,rush_yds,0,,,,,
player,201309290den,den,CaldAn00,rush_td,0,,,,,
player,201309290den,den,CaldAn00,rush_long,0,,,,,
player,201309290den,den,CaldAn00,targets,2,,,,,
player,201309290den,den,CaldAn00,rec,1,,,,,
player,201309290den,den,CaldAn00,rec_yds,5,,,,,
player,201309290den,den,CaldAn00,rec_td,0,,,,,
