game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,was,MossSa00,rec_yds,20,,,,,
player,201310270den,was,MossSa00,rec_td,0,,,,,
player,201310270den,was,MossSa00,rec_long,10,,,,,
player,201310270den,was,MossSa00,fumbles,0,,,,,
player,201310270den,was,MossSa00,fumbles_lost,0,,,,,
player,201310270den,was,HankLe00,pass_cmp,0,,,,,
player,201310270den,was,HankLe00,pass_att,0,,,,,
player,201310270den,was,HankLe00,pass_yds,0,,,,,
player,201310270den,was,HankLe00,pass_td,0,,,,,
player,201310270den,was,HankLe00,pass_int,0,,,,,
player,201310270den,was,HankLe00,pass_sacked,0,,,,,
player,201310270den,was,HankLe00,pass_sacked_yds,0,,,,,
player,201310270den,was,HankLe00,pass_long,0,,,,,
player,201310270den,was,HankLe00,pass_rating,,,,,,
player,201310270den,was,HankLe00,rush_att,0,,,,,
player,201310270den,was,HankLe00,rush_yds,0,,,,,
player,201310270den,was,HankLe00,rush_td,0,,,,,
player,201310270den,was,HankLe00,rush_long,0,,,,,
player,201310270den,was,HankLe00,targets,3,,,,,
player,201310270den,was,HankLe00,rec,1,,,,,
player,201310270den,was,HankLe00,rec_yds,7,,,,,
player,201310270den,was,HankLe00,rec_td,1,,,,,
player,201310270den,was,HankLe00,rec_long,7,,,,,
player,201310270den,was,HankLe00,fumbles,0,,,,,
player,201310270den,was,HankLe00,fumbles_lost,0,,,,,
player,201310270den,was,MorgJo00,pass_cmp,0,,,,,
player,201310270den,was,MorgJo00,pass_att,0,,,,,
player,201310270den,was,MorgJo00,pass_yds,0,,,,,
player,201310270den,was,MorgJo00,pass_td,0,,,,,
player,201310270den,was,MorgJo00,pass_int,0,,,,,
player,201310270den,was,MorgJo00,pass_sacked,0,,,,,
player,201310270den,was,MorgJo00,pass_sacked_yds,0,,,,,
player,201310270den,was,MorgJo00,pass_long,0,,,,,
player,201310270den,was,MorgJo00,pass_rating,,,,,,
player,201310270den,was,MorgJo00,rush_att,0,,,,,
player,201310270den,was,MorgJo00,rush_yds,0,,,,,
player,201310270den,was,MorgJo00,rush_td,0,,,,,
player,201310270den,was,MorgJo00,rush_long,0,,,,,
player,201310270den,was,MorgJo00,targets,2,,,,,
player,201310270den,was,MorgJo00,rec,1,,,,,
player,201310270den,was,MorgJo00,rec_yds,3,,,,,
player,201310270den,was,MorgJo00,rec_td,0,,,,,
player,201310270den,was,MorgJo00,rec_long,3,,,,,
player,201310270den,was,MorgJo00,fumbles,0,,,,,
player,201310270den,was,MorgJo00,fumbles_lost,0,,,,,
player,201310270den,was,RobiAl00,pass_cmp,0,,,,,
player,201310270den,was,RobiAl00,pass_att,0,,,,,
player,201310270den,was,RobiAl00,pass_yds,0,,,,,
player,201310270den,was,RobiAl00,pass_td,0,,,,,
player,201310270den,was,RobiAl00,pass_int,0,,,,,
player,201310270den,was,RobiAl00,pass_sacked,0,,,,,
player,201310270den,was,RobiAl00,pass_sacked_yds,0,,,,,
player,201310270den,was,RobiAl00,pass_long,0,,,,,
player,201310270den,was,RobiAl00,pass_rating,,,,,,
player,201310270den,was,RobiAl00,rush_att,0,,,,,
player,201310270den,was,RobiAl00,rush_yds,0,,,,,
player,201310270den,was,RobiAl00,rush_td,0,,,,,
player,201310270den,was,RobiAl00,rush_long,0,,,,,
player,201310270den,was,RobiAl00,targets,2,,,,,
player,201310270den,was,RobiAl00,rec,0,,,,,
player,201310270den,was,RobiAl00,rec_yds,0,,,,,
player,201310270den,was,RobiAl00,rec_td,0,,,,,
player,201310270den,was,RobiAl00,rec_long,0,,,,,
player,201310270den,was,RobiAl00,fumbles,0,,,,,
player,201310270den,was,RobiAl00,fumbles_lost,0,,,,,
player,201310270den,was,PaulLo00,pass_cmp,0,,,,,
player,201310270den,was,PaulLo00,pass_att,0,,,,,
player,201310270den,was,PaulLo00,pass_yds,0,,,,,
player,201310270den,was,PaulLo00,pass_td,0,,,,,
player,201310270den,was,PaulLo00,pass_int,0,,,,,
player,201310270den,was,PaulLo00,pass_sacked,0,,,,,
player,201310270den,was,PaulLo00,pass_sacked_yds,0,,,,,
