game,2013,7,20131020,201310200car,ram,"St. Louis Rams",15,car,"Carolina Panthers",30
player,201310200car,ram,PettAu00,rec_td,0,,,,,
player,201310200car,ram,PettAu00,rec_long,11,,,,,
player,201310200car,ram,PettAu00,fumbles,0,,,,,
player,201310200car,ram,PettAu00,fumbles_lost,0,,,,,
player,201310200car,ram,HarkCo00,pass_cmp,0,,,,,
player,201310200car,ram,HarkCo00,pass_att,0,,,,,
player,201310200car,ram,HarkCo00,pass_yds,0,,,,,
player,201310200car,ram,HarkCo00,pass_td,0,,,,,
player,201310200car,ram,HarkCo00,pass_int,0,,,,,
player,201310200car,ram,HarkCo00,pass_sacked,0,,,,,
player,201310200car,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201310200car,ram,HarkCo00,pass_long,0,,,,,
player,201310200car,ram,HarkCo00,pass_rating,,,,,,
player,201310200car,ram,HarkCo00,rush_att,0,,,,,
player,201310200car,ram,HarkCo00,rush_yds,0,,,,,
player,201310200car,ram,HarkCo00,rush_td,0,,,,,
player,201310200car,ram,HarkCo00,rush_long,0,,,,,
player,201310200car,ram,HarkCo00,targets,2,,,,,
player,201310200car,ram,HarkCo00,rec,2,,,,,
player,201310200car,ram,HarkCo00,rec_yds,14,,,,,
player,201310200car,ram,HarkCo00,rec_td,0,,,,,
player,201310200car,ram,HarkCo00,rec_long,8,,,,,
player,201310200car,ram,HarkCo00,fumbles,0,,,,,
player,201310200car,ram,HarkCo00,fumbles_lost,0,,,,,
player,201310200car,ram,KendLa00,pass_cmp,0,,,,,
player,201310200car,ram,KendLa00,pass_att,0,,,,,
player,201310200car,ram,KendLa00,pass_yds,0,,,,,
player,201310200car,ram,KendLa00,pass_td,0,,,,,
player,201310200car,ram,KendLa00,pass_int,0,,,,,
player,201310200car,ram,KendLa00,pass_sacked,0,,,,,
player,201310200car,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201310200car,ram,KendLa00,pass_long,0,,,,,
