game,2013,14,20131208,201312080nwe,cle,"Cleveland Browns",26,nwe,"New England Patriots",27
player,201312080nwe,cle,McGaWi00,pass_sacked,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_long,0,,,,,
player,201312080nwe,cle,McGaWi00,pass_rating,,,,,,
player,201312080nwe,cle,McGaWi00,rush_att,14,,,,,
player,201312080nwe,cle,McGaWi00,rush_yds,33,,,,,
player,201312080nwe,cle,McGaWi00,rush_td,0,,,,,
player,201312080nwe,cle,McGaWi00,rush_long,7,,,,,
player,201312080nwe,cle,McGaWi00,targets,1,,,,,
player,201312080nwe,cle,McGaWi00,rec,1,,,,,
player,201312080nwe,cle,McGaWi00,rec_yds,0,,,,,
player,201312080nwe,cle,McGaWi00,rec_td,0,,,,,
player,201312080nwe,cle,McGaWi00,rec_long,0,,,,,
player,201312080nwe,cle,McGaWi00,fumbles,0,,,,,
player,201312080nwe,cle,McGaWi00,fumbles_lost,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_cmp,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_att,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_yds,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_td,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_int,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_sacked,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_long,0,,,,,
player,201312080nwe,cle,OgboCh00,pass_rating,,,,,,
player,201312080nwe,cle,OgboCh00,rush_att,5,,,,,
player,201312080nwe,cle,OgboCh00,rush_yds,9,,,,,
player,201312080nwe,cle,OgboCh00,rush_td,0,,,,,
player,201312080nwe,cle,OgboCh00,rush_long,4,,,,,
player,201312080nwe,cle,OgboCh00,targets,3,,,,,
player,201312080nwe,cle,OgboCh00,rec,3,,,,,
player,201312080nwe,cle,OgboCh00,rec_yds,25,,,,,
player,201312080nwe,cle,OgboCh00,rec_td,0,,,,,
player,201312080nwe,cle,OgboCh00,rec_long,13,,,,,
player,201312080nwe,cle,OgboCh00,fumbles,0,,,,,
player,201312080nwe,cle,OgboCh00,fumbles_lost,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_cmp,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_att,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_yds,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_td,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_int,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_sacked,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_long,0,,,,,
player,201312080nwe,cle,WhitFo00,pass_rating,,,,,,
player,201312080nwe,cle,WhitFo00,rush_att,3,,,,,
player,201312080nwe,cle,WhitFo00,rush_yds,5,,,,,
player,201312080nwe,cle,WhitFo00,rush_td,0,,,,,
player,201312080nwe,cle,WhitFo00,rush_long,5,,,,,
player,201312080nwe,cle,WhitFo00,targets,7,,,,,
player,201312080nwe,cle,WhitFo00,rec,3,,,,,
player,201312080nwe,cle,WhitFo00,rec_yds,18,,,,,
player,201312080nwe,cle,WhitFo00,rec_td,0,,,,,
player,201312080nwe,cle,WhitFo00,rec_long,8,,,,,
player,201312080nwe,cle,WhitFo00,fumbles,0,,,,,
player,201312080nwe,cle,WhitFo00,fumbles_lost,0,,,,,
player,201312080nwe,cle,CameJo00,pass_cmp,0,,,,,
player,201312080nwe,cle,CameJo00,pass_att,0,,,,,
player,201312080nwe,cle,CameJo00,pass_yds,0,,,,,
player,201312080nwe,cle,CameJo00,pass_td,0,,,,,
player,201312080nwe,cle,CameJo00,pass_int,0,,,,,
player,201312080nwe,cle,CameJo00,pass_sacked,0,,,,,
player,201312080nwe,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,CameJo00,pass_long,0,,,,,
player,201312080nwe,cle,CameJo00,pass_rating,,,,,,
player,201312080nwe,cle,CameJo00,rush_att,0,,,,,
player,201312080nwe,cle,CameJo00,rush_yds,0,,,,,
player,201312080nwe,cle,CameJo00,rush_td,0,,,,,
player,201312080nwe,cle,CameJo00,rush_long,0,,,,,
player,201312080nwe,cle,CameJo00,targets,9,,,,,
player,201312080nwe,cle,CameJo00,rec,9,,,,,
player,201312080nwe,cle,CameJo00,rec_yds,121,,,,,
player,201312080nwe,cle,CameJo00,rec_td,1,,,,,
player,201312080nwe,cle,CameJo00,rec_long,21,,,,,
player,201312080nwe,cle,CameJo00,fumbles,0,,,,,
player,201312080nwe,cle,CameJo00,fumbles_lost,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_cmp,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_att,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_yds,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_td,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_int,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_sacked,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_long,0,,,,,
player,201312080nwe,cle,BarnGa01,pass_rating,,,,,,
player,201312080nwe,cle,BarnGa01,rush_att,0,,,,,
player,201312080nwe,cle,BarnGa01,rush_yds,0,,,,,
player,201312080nwe,cle,BarnGa01,rush_td,0,,,,,
player,201312080nwe,cle,BarnGa01,rush_long,0,,,,,
player,201312080nwe,cle,BarnGa01,targets,2,,,,,
player,201312080nwe,cle,BarnGa01,rec,2,,,,,
player,201312080nwe,cle,BarnGa01,rec_yds,49,,,,,
player,201312080nwe,cle,BarnGa01,rec_td,1,,,,,
player,201312080nwe,cle,BarnGa01,rec_long,40,,,,,
player,201312080nwe,cle,BarnGa01,fumbles,0,,,,,
player,201312080nwe,cle,BarnGa01,fumbles_lost,0,,,,,
player,201312080nwe,cle,LittGr00,pass_cmp,0,,,,,
player,201312080nwe,cle,LittGr00,pass_att,0,,,,,
player,201312080nwe,cle,LittGr00,pass_yds,0,,,,,
player,201312080nwe,cle,LittGr00,pass_td,0,,,,,
player,201312080nwe,cle,LittGr00,pass_int,0,,,,,
player,201312080nwe,cle,LittGr00,pass_sacked,0,,,,,
player,201312080nwe,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,LittGr00,pass_long,0,,,,,
player,201312080nwe,cle,LittGr00,pass_rating,,,,,,
player,201312080nwe,cle,LittGr00,rush_att,0,,,,,
player,201312080nwe,cle,LittGr00,rush_yds,0,,,,,
player,201312080nwe,cle,LittGr00,rush_td,0,,,,,
player,201312080nwe,cle,LittGr00,rush_long,0,,,,,
player,201312080nwe,cle,LittGr00,targets,4,,,,,
player,201312080nwe,cle,LittGr00,rec,2,,,,,
player,201312080nwe,cle,LittGr00,rec_yds,14,,,,,
player,201312080nwe,cle,LittGr00,rec_td,0,,,,,
player,201312080nwe,cle,LittGr00,rec_long,14,,,,,
player,201312080nwe,cle,LittGr00,fumbles,0,,,,,
player,201312080nwe,cle,LittGr00,fumbles_lost,0,,,,,
player,201312080nwe,cle,BessDa00,pass_cmp,0,,,,,
player,201312080nwe,cle,BessDa00,pass_att,0,,,,,
player,201312080nwe,cle,BessDa00,pass_yds,0,,,,,
player,201312080nwe,cle,BessDa00,pass_td,0,,,,,
player,201312080nwe,cle,BessDa00,pass_int,0,,,,,
player,201312080nwe,cle,BessDa00,pass_sacked,0,,,,,
player,201312080nwe,cle,BessDa00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,BessDa00,pass_long,0,,,,,
player,201312080nwe,cle,BessDa00,pass_rating,,,,,,
player,201312080nwe,cle,BessDa00,rush_att,0,,,,,
player,201312080nwe,cle,BessDa00,rush_yds,0,,,,,
player,201312080nwe,cle,BessDa00,rush_td,0,,,,,
player,201312080nwe,cle,BessDa00,rush_long,0,,,,,
player,201312080nwe,cle,BessDa00,targets,4,,,,,
player,201312080nwe,cle,BessDa00,rec,1,,,,,
player,201312080nwe,cle,BessDa00,rec_yds,10,,,,,
player,201312080nwe,cle,BessDa00,rec_td,0,,,,,
player,201312080nwe,cle,BessDa00,rec_long,10,,,,,
player,201312080nwe,cle,BessDa00,fumbles,0,,,,,
player,201312080nwe,cle,BessDa00,fumbles_lost,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_cmp,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_att,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_yds,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_td,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_int,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_sacked,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_long,0,,,,,
player,201312080nwe,cle,GrayMa00,pass_rating,,,,,,
player,201312080nwe,cle,GrayMa00,rush_att,0,,,,,
player,201312080nwe,cle,GrayMa00,rush_yds,0,,,,,
player,201312080nwe,cle,GrayMa00,rush_td,0,,,,,
player,201312080nwe,cle,GrayMa00,rush_long,0,,,,,
player,201312080nwe,cle,GrayMa00,targets,2,,,,,
player,201312080nwe,cle,GrayMa00,rec,1,,,,,
player,201312080nwe,cle,GrayMa00,rec_yds,3,,,,,
player,201312080nwe,cle,GrayMa00,rec_td,0,,,,,
player,201312080nwe,cle,GrayMa00,rec_long,3,,,,,
player,201312080nwe,cle,GrayMa00,fumbles,0,,,,,
player,201312080nwe,cle,GrayMa00,fumbles_lost,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_cmp,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_att,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_yds,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_td,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_int,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_sacked,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_sacked_yds,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_long,0,,,,,
player,201312080nwe,cle,TymsBr00,pass_rating,,,,,,
player,201312080nwe,cle,TymsBr00,rush_att,0,,,,,
player,201312080nwe,cle,TymsBr00,rush_yds,0,,,,,
player,201312080nwe,cle,TymsBr00,rush_td,0,,,,,
player,201312080nwe,cle,TymsBr00,rush_long,0,,,,,
player,201312080nwe,cle,TymsBr00,targets,1,,,,,
player,201312080nwe,cle,TymsBr00,rec,0,,,,,
player,201312080nwe,cle,TymsBr00,rec_yds,0,,,,,
player,201312080nwe,cle,TymsBr00,rec_td,0,,,,,
player,201312080nwe,cle,TymsBr00,rec_long,0,,,,,
player,201312080nwe,cle,TymsBr00,fumbles,0,,,,,
player,201312080nwe,cle,TymsBr00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,BradTo00,pass_cmp,32,,,,,
player,201312080nwe,nwe,BradTo00,pass_att,52,,,,,
player,201312080nwe,nwe,BradTo00,pass_yds,418,,,,,
player,201312080nwe,nwe,BradTo00,pass_td,2,,,,,
player,201312080nwe,nwe,BradTo00,pass_int,1,,,,,
player,201312080nwe,nwe,BradTo00,pass_sacked,4,,,,,
player,201312080nwe,nwe,BradTo00,pass_sacked_yds,21,,,,,
player,201312080nwe,nwe,BradTo00,pass_long,50,,,,,
player,201312080nwe,nwe,BradTo00,pass_rating,91.7,,,,,
player,201312080nwe,nwe,BradTo00,rush_att,2,,,,,
player,201312080nwe,nwe,BradTo00,rush_yds,1,,,,,
player,201312080nwe,nwe,BradTo00,rush_td,0,,,,,
player,201312080nwe,nwe,BradTo00,rush_long,2,,,,,
player,201312080nwe,nwe,BradTo00,targets,0,,,,,
player,201312080nwe,nwe,BradTo00,rec,0,,,,,
player,201312080nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201312080nwe,nwe,BradTo00,rec_td,0,,,,,
player,201312080nwe,nwe,BradTo00,rec_long,0,,,,,
player,201312080nwe,nwe,BradTo00,fumbles,1,,,,,
player,201312080nwe,nwe,BradTo00,fumbles_lost,1,,,,,
player,201312080nwe,nwe,BlouLe00,pass_cmp,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_att,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_yds,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_td,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_int,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_sacked,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_long,0,,,,,
player,201312080nwe,nwe,BlouLe00,pass_rating,,,,,,
player,201312080nwe,nwe,BlouLe00,rush_att,8,,,,,
player,201312080nwe,nwe,BlouLe00,rush_yds,42,,,,,
player,201312080nwe,nwe,BlouLe00,rush_td,0,,,,,
player,201312080nwe,nwe,BlouLe00,rush_long,13,,,,,
player,201312080nwe,nwe,BlouLe00,targets,2,,,,,
player,201312080nwe,nwe,BlouLe00,rec,1,,,,,
player,201312080nwe,nwe,BlouLe00,rec_yds,32,,,,,
player,201312080nwe,nwe,BlouLe00,rec_td,0,,,,,
player,201312080nwe,nwe,BlouLe00,rec_long,32,,,,,
player,201312080nwe,nwe,BlouLe00,fumbles,0,,,,,
player,201312080nwe,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_cmp,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_att,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_yds,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_td,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_int,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_sacked,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_long,0,,,,,
player,201312080nwe,nwe,RidlSt00,pass_rating,,,,,,
player,201312080nwe,nwe,RidlSt00,rush_att,8,,,,,
player,201312080nwe,nwe,RidlSt00,rush_yds,35,,,,,
player,201312080nwe,nwe,RidlSt00,rush_td,0,,,,,
player,201312080nwe,nwe,RidlSt00,rush_long,12,,,,,
player,201312080nwe,nwe,RidlSt00,targets,1,,,,,
player,201312080nwe,nwe,RidlSt00,rec,1,,,,,
player,201312080nwe,nwe,RidlSt00,rec_yds,2,,,,,
player,201312080nwe,nwe,RidlSt00,rec_td,0,,,,,
player,201312080nwe,nwe,RidlSt00,rec_long,2,,,,,
player,201312080nwe,nwe,RidlSt00,fumbles,0,,,,,
player,201312080nwe,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_cmp,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_att,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_yds,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_td,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_int,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_sacked,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_long,0,,,,,
player,201312080nwe,nwe,VereSh00,pass_rating,,,,,,
player,201312080nwe,nwe,VereSh00,rush_att,3,,,,,
player,201312080nwe,nwe,VereSh00,rush_yds,9,,,,,
player,201312080nwe,nwe,VereSh00,rush_td,1,,,,,
player,201312080nwe,nwe,VereSh00,rush_long,6,,,,,
player,201312080nwe,nwe,VereSh00,targets,17,,,,,
player,201312080nwe,nwe,VereSh00,rec,12,,,,,
player,201312080nwe,nwe,VereSh00,rec_yds,153,,,,,
player,201312080nwe,nwe,VereSh00,rec_td,0,,,,,
player,201312080nwe,nwe,VereSh00,rec_long,50,,,,,
player,201312080nwe,nwe,VereSh00,fumbles,0,,,,,
player,201312080nwe,nwe,VereSh00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_cmp,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_att,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_yds,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_td,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_int,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_sacked,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_long,0,,,,,
player,201312080nwe,nwe,EdelJu00,pass_rating,,,,,,
player,201312080nwe,nwe,EdelJu00,rush_att,0,,,,,
player,201312080nwe,nwe,EdelJu00,rush_yds,0,,,,,
player,201312080nwe,nwe,EdelJu00,rush_td,0,,,,,
player,201312080nwe,nwe,EdelJu00,rush_long,0,,,,,
player,201312080nwe,nwe,EdelJu00,targets,9,,,,,
player,201312080nwe,nwe,EdelJu00,rec,6,,,,,
player,201312080nwe,nwe,EdelJu00,rec_yds,64,,,,,
player,201312080nwe,nwe,EdelJu00,rec_td,1,,,,,
player,201312080nwe,nwe,EdelJu00,rec_long,23,,,,,
player,201312080nwe,nwe,EdelJu00,fumbles,0,,,,,
player,201312080nwe,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_cmp,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_att,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_yds,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_td,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_int,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_sacked,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_long,0,,,,,
player,201312080nwe,nwe,BoycJo00,pass_rating,,,,,,
player,201312080nwe,nwe,BoycJo00,rush_att,0,,,,,
player,201312080nwe,nwe,BoycJo00,rush_yds,0,,,,,
player,201312080nwe,nwe,BoycJo00,rush_td,0,,,,,
player,201312080nwe,nwe,BoycJo00,rush_long,0,,,,,
player,201312080nwe,nwe,BoycJo00,targets,5,,,,,
player,201312080nwe,nwe,BoycJo00,rec,3,,,,,
player,201312080nwe,nwe,BoycJo00,rec_yds,49,,,,,
player,201312080nwe,nwe,BoycJo00,rec_td,0,,,,,
player,201312080nwe,nwe,BoycJo00,rec_long,22,,,,,
player,201312080nwe,nwe,BoycJo00,fumbles,0,,,,,
player,201312080nwe,nwe,BoycJo00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_cmp,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_att,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_yds,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_td,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_int,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_sacked,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_long,0,,,,,
player,201312080nwe,nwe,AmenDa00,pass_rating,,,,,,
player,201312080nwe,nwe,AmenDa00,rush_att,0,,,,,
player,201312080nwe,nwe,AmenDa00,rush_yds,0,,,,,
player,201312080nwe,nwe,AmenDa00,rush_td,0,,,,,
player,201312080nwe,nwe,AmenDa00,rush_long,0,,,,,
player,201312080nwe,nwe,AmenDa00,targets,8,,,,,
player,201312080nwe,nwe,AmenDa00,rec,4,,,,,
player,201312080nwe,nwe,AmenDa00,rec_yds,36,,,,,
player,201312080nwe,nwe,AmenDa00,rec_td,1,,,,,
player,201312080nwe,nwe,AmenDa00,rec_long,13,,,,,
player,201312080nwe,nwe,AmenDa00,fumbles,0,,,,,
player,201312080nwe,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_cmp,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_att,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_yds,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_td,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_int,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_sacked,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_long,0,,,,,
player,201312080nwe,nwe,GronRo00,pass_rating,,,,,,
player,201312080nwe,nwe,GronRo00,rush_att,0,,,,,
player,201312080nwe,nwe,GronRo00,rush_yds,0,,,,,
player,201312080nwe,nwe,GronRo00,rush_td,0,,,,,
player,201312080nwe,nwe,GronRo00,rush_long,0,,,,,
player,201312080nwe,nwe,GronRo00,targets,5,,,,,
player,201312080nwe,nwe,GronRo00,rec,2,,,,,
player,201312080nwe,nwe,GronRo00,rec_yds,32,,,,,
player,201312080nwe,nwe,GronRo00,rec_td,0,,,,,
player,201312080nwe,nwe,GronRo00,rec_long,21,,,,,
player,201312080nwe,nwe,GronRo00,fumbles,0,,,,,
player,201312080nwe,nwe,GronRo00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_cmp,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_att,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_yds,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_td,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_int,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_sacked,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_long,0,,,,,
player,201312080nwe,nwe,DeveJa00,pass_rating,,,,,,
player,201312080nwe,nwe,DeveJa00,rush_att,0,,,,,
player,201312080nwe,nwe,DeveJa00,rush_yds,0,,,,,
player,201312080nwe,nwe,DeveJa00,rush_td,0,,,,,
player,201312080nwe,nwe,DeveJa00,rush_long,0,,,,,
player,201312080nwe,nwe,DeveJa00,targets,1,,,,,
player,201312080nwe,nwe,DeveJa00,rec,1,,,,,
player,201312080nwe,nwe,DeveJa00,rec_yds,31,,,,,
player,201312080nwe,nwe,DeveJa00,rec_td,0,,,,,
player,201312080nwe,nwe,DeveJa00,rec_long,31,,,,,
player,201312080nwe,nwe,DeveJa00,fumbles,0,,,,,
player,201312080nwe,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_cmp,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_att,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_yds,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_td,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_int,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_sacked,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_sacked_yds,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_long,0,,,,,
player,201312080nwe,nwe,MullMa00,pass_rating,,,,,,
player,201312080nwe,nwe,MullMa00,rush_att,0,,,,,
player,201312080nwe,nwe,MullMa00,rush_yds,0,,,,,
player,201312080nwe,nwe,MullMa00,rush_td,0,,,,,
player,201312080nwe,nwe,MullMa00,rush_long,0,,,,,
player,201312080nwe,nwe,MullMa00,targets,1,,,,,
player,201312080nwe,nwe,MullMa00,rec,1,,,,,
