game,2013,7,20131020,201310200oti,sfo,"San Francisco 49ers",31,oti,"Tennessee Titans",17
player,201310200oti,oti,WrigKe01,pass_att,0,,,,,
player,201310200oti,oti,WrigKe01,pass_yds,0,,,,,
player,201310200oti,oti,WrigKe01,pass_td,0,,,,,
player,201310200oti,oti,WrigKe01,pass_int,0,,,,,
player,201310200oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201310200oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201310200oti,oti,WrigKe01,pass_long,0,,,,,
player,201310200oti,oti,WrigKe01,pass_rating,,,,,,
player,201310200oti,oti,WrigKe01,rush_att,0,,,,,
player,201310200oti,oti,WrigKe01,rush_yds,0,,,,,
player,201310200oti,oti,WrigKe01,rush_td,0,,,,,
player,201310200oti,oti,WrigKe01,rush_long,0,,,,,
player,201310200oti,oti,WrigKe01,targets,12,,,,,
player,201310200oti,oti,WrigKe01,rec,9,,,,,
player,201310200oti,oti,WrigKe01,rec_yds,98,,,,,
player,201310200oti,oti,WrigKe01,rec_td,0,,,,,
player,201310200oti,oti,WrigKe01,rec_long,21,,,,,
player,201310200oti,oti,WrigKe01,fumbles,0,,,,,
player,201310200oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201310200oti,oti,WashNa00,pass_cmp,0,,,,,
player,201310200oti,oti,WashNa00,pass_att,0,,,,,
player,201310200oti,oti,WashNa00,pass_yds,0,,,,,
player,201310200oti,oti,WashNa00,pass_td,0,,,,,
player,201310200oti,oti,WashNa00,pass_int,0,,,,,
player,201310200oti,oti,WashNa00,pass_sacked,0,,,,,
player,201310200oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,WashNa00,pass_long,0,,,,,
player,201310200oti,oti,WashNa00,pass_rating,,,,,,
player,201310200oti,oti,WashNa00,rush_att,0,,,,,
player,201310200oti,oti,WashNa00,rush_yds,0,,,,,
player,201310200oti,oti,WashNa00,rush_td,0,,,,,
player,201310200oti,oti,WashNa00,rush_long,0,,,,,
player,201310200oti,oti,WashNa00,targets,10,,,,,
player,201310200oti,oti,WashNa00,rec,3,,,,,
player,201310200oti,oti,WashNa00,rec_yds,62,,,,,
player,201310200oti,oti,WashNa00,rec_td,0,,,,,
player,201310200oti,oti,WashNa00,rec_long,42,,,,,
player,201310200oti,oti,WashNa00,fumbles,0,,,,,
player,201310200oti,oti,WashNa00,fumbles_lost,0,,,,,
player,201310200oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201310200oti,oti,WalkHu00,pass_att,0,,,,,
player,201310200oti,oti,WalkHu00,pass_yds,0,,,,,
player,201310200oti,oti,WalkHu00,pass_td,0,,,,,
player,201310200oti,oti,WalkHu00,pass_int,0,,,,,
player,201310200oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201310200oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,WalkHu00,pass_long,0,,,,,
player,201310200oti,oti,WalkHu00,pass_rating,,,,,,
player,201310200oti,oti,WalkHu00,rush_att,0,,,,,
player,201310200oti,oti,WalkHu00,rush_yds,0,,,,,
player,201310200oti,oti,WalkHu00,rush_td,0,,,,,
player,201310200oti,oti,WalkHu00,rush_long,0,,,,,
player,201310200oti,oti,WalkHu00,targets,5,,,,,
player,201310200oti,oti,WalkHu00,rec,3,,,,,
player,201310200oti,oti,WalkHu00,rec_yds,52,,,,,
player,201310200oti,oti,WalkHu00,rec_td,1,,,,,
player,201310200oti,oti,WalkHu00,rec_long,26,,,,,
player,201310200oti,oti,WalkHu00,fumbles,0,,,,,
player,201310200oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201310200oti,oti,WillDa04,pass_cmp,0,,,,,
player,201310200oti,oti,WillDa04,pass_att,0,,,,,
player,201310200oti,oti,WillDa04,pass_yds,0,,,,,
player,201310200oti,oti,WillDa04,pass_td,0,,,,,
player,201310200oti,oti,WillDa04,pass_int,0,,,,,
player,201310200oti,oti,WillDa04,pass_sacked,0,,,,,
player,201310200oti,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201310200oti,oti,WillDa04,pass_long,0,,,,,
player,201310200oti,oti,WillDa04,pass_rating,,,,,,
player,201310200oti,oti,WillDa04,rush_att,0,,,,,
player,201310200oti,oti,WillDa04,rush_yds,0,,,,,
player,201310200oti,oti,WillDa04,rush_td,0,,,,,
player,201310200oti,oti,WillDa04,rush_long,0,,,,,
player,201310200oti,oti,WillDa04,targets,3,,,,,
player,201310200oti,oti,WillDa04,rec,3,,,,,
player,201310200oti,oti,WillDa04,rec_yds,25,,,,,
player,201310200oti,oti,WillDa04,rec_td,0,,,,,
player,201310200oti,oti,WillDa04,rec_long,11,,,,,
player,201310200oti,oti,WillDa04,fumbles,0,,,,,
player,201310200oti,oti,WillDa04,fumbles_lost,0,,,,,
player,201310200oti,oti,BritKe00,pass_cmp,0,,,,,
player,201310200oti,oti,BritKe00,pass_att,0,,,,,
player,201310200oti,oti,BritKe00,pass_yds,0,,,,,
player,201310200oti,oti,BritKe00,pass_td,0,,,,,
player,201310200oti,oti,BritKe00,pass_int,0,,,,,
player,201310200oti,oti,BritKe00,pass_sacked,0,,,,,
player,201310200oti,oti,BritKe00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,BritKe00,pass_long,0,,,,,
player,201310200oti,oti,BritKe00,pass_rating,,,,,,
player,201310200oti,oti,BritKe00,rush_att,0,,,,,
player,201310200oti,oti,BritKe00,rush_yds,0,,,,,
player,201310200oti,oti,BritKe00,rush_td,0,,,,,
player,201310200oti,oti,BritKe00,rush_long,0,,,,,
player,201310200oti,oti,BritKe00,targets,2,,,,,
player,201310200oti,oti,BritKe00,rec,1,,,,,
player,201310200oti,oti,BritKe00,rec_yds,8,,,,,
player,201310200oti,oti,BritKe00,rec_td,0,,,,,
player,201310200oti,oti,BritKe00,rec_long,8,,,,,
player,201310200oti,oti,BritKe00,fumbles,0,,,,,
player,201310200oti,oti,BritKe00,fumbles_lost,0,,,,,
player,201310200oti,oti,BattJa00,pass_cmp,0,,,,,
player,201310200oti,oti,BattJa00,pass_att,0,,,,,
player,201310200oti,oti,BattJa00,pass_yds,0,,,,,
player,201310200oti,oti,BattJa00,pass_td,0,,,,,
player,201310200oti,oti,BattJa00,pass_int,0,,,,,
player,201310200oti,oti,BattJa00,pass_sacked,0,,,,,
player,201310200oti,oti,BattJa00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,BattJa00,pass_long,0,,,,,
player,201310200oti,oti,BattJa00,pass_rating,,,,,,
player,201310200oti,oti,BattJa00,rush_att,0,,,,,
player,201310200oti,oti,BattJa00,rush_yds,0,,,,,
player,201310200oti,oti,BattJa00,rush_td,0,,,,,
player,201310200oti,oti,BattJa00,rush_long,0,,,,,
player,201310200oti,oti,BattJa00,targets,1,,,,,
player,201310200oti,oti,BattJa00,rec,1,,,,,
player,201310200oti,oti,BattJa00,rec_yds,6,,,,,
player,201310200oti,oti,BattJa00,rec_td,0,,,,,
player,201310200oti,oti,BattJa00,rec_long,6,,,,,
player,201310200oti,oti,BattJa00,fumbles,0,,,,,
player,201310200oti,oti,BattJa00,fumbles_lost,0,,,,,
player,201310200oti,oti,ReynDa00,pass_cmp,0,,,,,
player,201310200oti,oti,ReynDa00,pass_att,0,,,,,
player,201310200oti,oti,ReynDa00,pass_yds,0,,,,,
player,201310200oti,oti,ReynDa00,pass_td,0,,,,,
player,201310200oti,oti,ReynDa00,pass_int,0,,,,,
player,201310200oti,oti,ReynDa00,pass_sacked,0,,,,,
player,201310200oti,oti,ReynDa00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,ReynDa00,pass_long,0,,,,,
player,201310200oti,oti,ReynDa00,pass_rating,,,,,,
player,201310200oti,oti,ReynDa00,rush_att,0,,,,,
player,201310200oti,oti,ReynDa00,rush_yds,0,,,,,
player,201310200oti,oti,ReynDa00,rush_td,0,,,,,
player,201310200oti,oti,ReynDa00,rush_long,0,,,,,
player,201310200oti,oti,ReynDa00,targets,2,,,,,
player,201310200oti,oti,ReynDa00,rec,1,,,,,
player,201310200oti,oti,ReynDa00,rec_yds,4,,,,,
player,201310200oti,oti,ReynDa00,rec_td,0,,,,,
player,201310200oti,oti,ReynDa00,rec_long,4,,,,,
player,201310200oti,oti,ReynDa00,fumbles,1,,,,,
player,201310200oti,oti,ReynDa00,fumbles_lost,1,,,,,
player,201310200oti,oti,HuntJu00,pass_cmp,0,,,,,
player,201310200oti,oti,HuntJu00,pass_att,0,,,,,
player,201310200oti,oti,HuntJu00,pass_yds,0,,,,,
player,201310200oti,oti,HuntJu00,pass_td,0,,,,,
player,201310200oti,oti,HuntJu00,pass_int,0,,,,,
player,201310200oti,oti,HuntJu00,pass_sacked,0,,,,,
player,201310200oti,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201310200oti,oti,HuntJu00,pass_long,0,,,,,
player,201310200oti,oti,HuntJu00,pass_rating,,,,,,
player,201310200oti,oti,HuntJu00,rush_att,0,,,,,
player,201310200oti,oti,HuntJu00,rush_yds,0,,,,,
player,201310200oti,oti,HuntJu00,rush_td,0,,,,,
player,201310200oti,oti,HuntJu00,rush_long,0,,,,,
player,201310200oti,oti,HuntJu00,targets,2,,,,,
player,201310200oti,oti,HuntJu00,rec,0,,,,,
player,201310200oti,oti,HuntJu00,rec_yds,0,,,,,
player,201310200oti,oti,HuntJu00,rec_td,0,,,,,
player,201310200oti,oti,HuntJu00,rec_long,0,,,,,
player,201310200oti,oti,HuntJu00,fumbles,0,,,,,
player,201310200oti,oti,HuntJu00,fumbles_lost,0,,,,,
player,201310200oti,sfo,BrocTr00,def_int,1,,,,,
player,201310200oti,sfo,BrocTr00,def_int_yds,10,,,,,
player,201310200oti,sfo,BrocTr00,def_int_td,0,,,,,
player,201310200oti,sfo,BrocTr00,def_int_long,10,,,,,
player,201310200oti,sfo,BrocTr00,pass_defended,2,,,,,
player,201310200oti,sfo,BrocTr00,sacks,0.0,,,,,
player,201310200oti,sfo,BrocTr00,tackles_combined,0,,,,,
player,201310200oti,sfo,BrocTr00,tackles_solo,0,,,,,
player,201310200oti,sfo,BrocTr00,tackles_assists,0,,,,,
player,201310200oti,sfo,BrocTr00,tackles_loss,0,,,,,
player,201310200oti,sfo,BrocTr00,qb_hits,0,,,,,
player,201310200oti,sfo,BrocTr00,fumbles_rec,0,,,,,
player,201310200oti,sfo,BrocTr00,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,BrocTr00,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,BrocTr00,fumbles_forced,0,,,,,
player,201310200oti,sfo,SmitJu20,def_int,0,,,,,
player,201310200oti,sfo,SmitJu20,def_int_yds,0,,,,,
player,201310200oti,sfo,SmitJu20,def_int_td,0,,,,,
player,201310200oti,sfo,SmitJu20,def_int_long,0,,,,,
player,201310200oti,sfo,SmitJu20,pass_defended,0,,,,,
player,201310200oti,sfo,SmitJu20,sacks,2.0,,,,,
player,201310200oti,sfo,SmitJu20,tackles_combined,3,,,,,
player,201310200oti,sfo,SmitJu20,tackles_solo,3,,,,,
player,201310200oti,sfo,SmitJu20,tackles_assists,0,,,,,
player,201310200oti,sfo,SmitJu20,tackles_loss,2,,,,,
player,201310200oti,sfo,SmitJu20,qb_hits,2,,,,,
player,201310200oti,sfo,SmitJu20,fumbles_rec,0,,,,,
player,201310200oti,sfo,SmitJu20,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,SmitJu20,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,SmitJu20,fumbles_forced,0,,,,,
player,201310200oti,sfo,BrooAh21,def_int,0,,,,,
player,201310200oti,sfo,BrooAh21,def_int_yds,0,,,,,
player,201310200oti,sfo,BrooAh21,def_int_td,0,,,,,
player,201310200oti,sfo,BrooAh21,def_int_long,0,,,,,
player,201310200oti,sfo,BrooAh21,pass_defended,1,,,,,
player,201310200oti,sfo,BrooAh21,sacks,1.0,,,,,
player,201310200oti,sfo,BrooAh21,tackles_combined,1,,,,,
player,201310200oti,sfo,BrooAh21,tackles_solo,1,,,,,
player,201310200oti,sfo,BrooAh21,tackles_assists,0,,,,,
player,201310200oti,sfo,BrooAh21,tackles_loss,1,,,,,
player,201310200oti,sfo,BrooAh21,qb_hits,1,,,,,
player,201310200oti,sfo,BrooAh21,fumbles_rec,0,,,,,
player,201310200oti,sfo,BrooAh21,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,BrooAh21,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,BrooAh21,fumbles_forced,0,,,,,
player,201310200oti,sfo,WillPa98,def_int,0,,,,,
player,201310200oti,sfo,WillPa98,def_int_yds,0,,,,,
player,201310200oti,sfo,WillPa98,def_int_td,0,,,,,
player,201310200oti,sfo,WillPa98,def_int_long,0,,,,,
player,201310200oti,sfo,WillPa98,pass_defended,0,,,,,
player,201310200oti,sfo,WillPa98,sacks,0.0,,,,,
player,201310200oti,sfo,WillPa98,tackles_combined,9,,,,,
player,201310200oti,sfo,WillPa98,tackles_solo,8,,,,,
player,201310200oti,sfo,WillPa98,tackles_assists,1,,,,,
player,201310200oti,sfo,WillPa98,tackles_loss,1,,,,,
player,201310200oti,sfo,WillPa98,qb_hits,0,,,,,
player,201310200oti,sfo,WillPa98,fumbles_rec,0,,,,,
player,201310200oti,sfo,WillPa98,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,WillPa98,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,WillPa98,fumbles_forced,0,,,,,
player,201310200oti,sfo,BowmNa99,def_int,0,,,,,
player,201310200oti,sfo,BowmNa99,def_int_yds,0,,,,,
player,201310200oti,sfo,BowmNa99,def_int_td,0,,,,,
player,201310200oti,sfo,BowmNa99,def_int_long,0,,,,,
player,201310200oti,sfo,BowmNa99,pass_defended,1,,,,,
player,201310200oti,sfo,BowmNa99,sacks,0.0,,,,,
player,201310200oti,sfo,BowmNa99,tackles_combined,6,,,,,
player,201310200oti,sfo,BowmNa99,tackles_solo,5,,,,,
player,201310200oti,sfo,BowmNa99,tackles_assists,1,,,,,
player,201310200oti,sfo,BowmNa99,tackles_loss,0,,,,,
player,201310200oti,sfo,BowmNa99,qb_hits,1,,,,,
player,201310200oti,sfo,BowmNa99,fumbles_rec,0,,,,,
player,201310200oti,sfo,BowmNa99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,BowmNa99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,BowmNa99,fumbles_forced,0,,,,,
player,201310200oti,sfo,SpilCJ99,def_int,0,,,,,
player,201310200oti,sfo,SpilCJ99,def_int_yds,0,,,,,
player,201310200oti,sfo,SpilCJ99,def_int_td,0,,,,,
player,201310200oti,sfo,SpilCJ99,def_int_long,0,,,,,
player,201310200oti,sfo,SpilCJ99,pass_defended,0,,,,,
player,201310200oti,sfo,SpilCJ99,sacks,0.0,,,,,
player,201310200oti,sfo,SpilCJ99,tackles_combined,6,,,,,
player,201310200oti,sfo,SpilCJ99,tackles_solo,4,,,,,
player,201310200oti,sfo,SpilCJ99,tackles_assists,2,,,,,
player,201310200oti,sfo,SpilCJ99,tackles_loss,0,,,,,
player,201310200oti,sfo,SpilCJ99,qb_hits,0,,,,,
player,201310200oti,sfo,SpilCJ99,fumbles_rec,0,,,,,
player,201310200oti,sfo,SpilCJ99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,SpilCJ99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,SpilCJ99,fumbles_forced,0,,,,,
player,201310200oti,sfo,ReidEr00,def_int,0,,,,,
player,201310200oti,sfo,ReidEr00,def_int_yds,0,,,,,
player,201310200oti,sfo,ReidEr00,def_int_td,0,,,,,
player,201310200oti,sfo,ReidEr00,def_int_long,0,,,,,
player,201310200oti,sfo,ReidEr00,pass_defended,0,,,,,
player,201310200oti,sfo,ReidEr00,sacks,0.0,,,,,
player,201310200oti,sfo,ReidEr00,tackles_combined,4,,,,,
