game,2013,12,20131124,201311240mia,car,"Carolina Panthers",20,mia,"Miami Dolphins",16
player,201311240mia,car,TolbMi00,targets,1,,,,,
player,201311240mia,car,TolbMi00,rec,1,,,,,
player,201311240mia,car,TolbMi00,rec_yds,5,,,,,
player,201311240mia,car,TolbMi00,rec_td,0,,,,,
player,201311240mia,car,TolbMi00,rec_long,5,,,,,
player,201311240mia,car,TolbMi00,fumbles,0,,,,,
player,201311240mia,car,TolbMi00,fumbles_lost,0,,,,,
player,201311240mia,car,SmitSt01,pass_cmp,0,,,,,
player,201311240mia,car,SmitSt01,pass_att,0,,,,,
player,201311240mia,car,SmitSt01,pass_yds,0,,,,,
player,201311240mia,car,SmitSt01,pass_td,0,,,,,
player,201311240mia,car,SmitSt01,pass_int,0,,,,,
player,201311240mia,car,SmitSt01,pass_sacked,0,,,,,
player,201311240mia,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201311240mia,car,SmitSt01,pass_long,0,,,,,
player,201311240mia,car,SmitSt01,pass_rating,,,,,,
player,201311240mia,car,SmitSt01,rush_att,0,,,,,
player,201311240mia,car,SmitSt01,rush_yds,0,,,,,
player,201311240mia,car,SmitSt01,rush_td,0,,,,,
player,201311240mia,car,SmitSt01,rush_long,0,,,,,
player,201311240mia,car,SmitSt01,targets,8,,,,,
player,201311240mia,car,SmitSt01,rec,5,,,,,
player,201311240mia,car,SmitSt01,rec_yds,69,,,,,
player,201311240mia,car,SmitSt01,rec_td,0,,,,,
player,201311240mia,car,SmitSt01,rec_long,19,,,,,
player,201311240mia,car,SmitSt01,fumbles,0,,,,,
player,201311240mia,car,SmitSt01,fumbles_lost,0,,,,,
player,201311240mia,car,LaFeBr00,pass_cmp,0,,,,,
player,201311240mia,car,LaFeBr00,pass_att,0,,,,,
player,201311240mia,car,LaFeBr00,pass_yds,0,,,,,
player,201311240mia,car,LaFeBr00,pass_td,0,,,,,
player,201311240mia,car,LaFeBr00,pass_int,0,,,,,
player,201311240mia,car,LaFeBr00,pass_sacked,0,,,,,
player,201311240mia,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201311240mia,car,LaFeBr00,pass_long,0,,,,,
player,201311240mia,car,LaFeBr00,pass_rating,,,,,,
player,201311240mia,car,LaFeBr00,rush_att,0,,,,,
player,201311240mia,car,LaFeBr00,rush_yds,0,,,,,
player,201311240mia,car,LaFeBr00,rush_td,0,,,,,
player,201311240mia,car,LaFeBr00,rush_long,0,,,,,
player,201311240mia,car,LaFeBr00,targets,5,,,,,
player,201311240mia,car,LaFeBr00,rec,2,,,,,
player,201311240mia,car,LaFeBr00,rec_yds,36,,,,,
player,201311240mia,car,LaFeBr00,rec_td,0,,,,,
player,201311240mia,car,LaFeBr00,rec_long,29,,,,,
player,201311240mia,car,LaFeBr00,fumbles,0,,,,,
player,201311240mia,car,LaFeBr00,fumbles_lost,0,,,,,
player,201311240mia,car,OlseGr00,pass_cmp,0,,,,,
player,201311240mia,car,OlseGr00,pass_att,0,,,,,
player,201311240mia,car,OlseGr00,pass_yds,0,,,,,
player,201311240mia,car,OlseGr00,pass_td,0,,,,,
player,201311240mia,car,OlseGr00,pass_int,0,,,,,
player,201311240mia,car,OlseGr00,pass_sacked,0,,,,,
player,201311240mia,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201311240mia,car,OlseGr00,pass_long,0,,,,,
player,201311240mia,car,OlseGr00,pass_rating,,,,,,
player,201311240mia,car,OlseGr00,rush_att,0,,,,,
player,201311240mia,car,OlseGr00,rush_yds,0,,,,,
player,201311240mia,car,OlseGr00,rush_td,0,,,,,
player,201311240mia,car,OlseGr00,rush_long,0,,,,,
player,201311240mia,car,OlseGr00,targets,9,,,,,
player,201311240mia,car,OlseGr00,rec,5,,,,,
player,201311240mia,car,OlseGr00,rec_yds,34,,,,,
player,201311240mia,car,OlseGr00,rec_td,1,,,,,
player,201311240mia,car,OlseGr00,rec_long,12,,,,,
player,201311240mia,car,OlseGr00,fumbles,0,,,,,
player,201311240mia,car,OlseGr00,fumbles_lost,0,,,,,
