game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
player,201310130sfo,crd,SmitAl22,rec_long,0,,,,,
player,201310130sfo,crd,SmitAl22,fumbles,1,,,,,
player,201310130sfo,crd,SmitAl22,fumbles_lost,1,,,,,
player,201310130sfo,crd,GoldBr00,pass_cmp,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_att,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_yds,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_td,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_int,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_sacked,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_long,0,,,,,
player,201310130sfo,crd,GoldBr00,pass_rating,,,,,,
player,201310130sfo,crd,GoldBr00,rush_att,0,,,,,
player,201310130sfo,crd,GoldBr00,rush_yds,0,,,,,
player,201310130sfo,crd,GoldBr00,rush_td,0,,,,,
player,201310130sfo,crd,GoldBr00,rush_long,0,,,,,
player,201310130sfo,crd,GoldBr00,targets,3,,,,,
player,201310130sfo,crd,GoldBr00,rec,1,,,,,
player,201310130sfo,crd,GoldBr00,rec_yds,53,,,,,
player,201310130sfo,crd,GoldBr00,rec_td,0,,,,,
player,201310130sfo,crd,GoldBr00,rec_long,53,,,,,
player,201310130sfo,crd,GoldBr00,fumbles,0,,,,,
player,201310130sfo,crd,GoldBr00,fumbles_lost,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_cmp,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_att,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_yds,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_td,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_int,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_sacked,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_long,0,,,,,
player,201310130sfo,crd,FloyMi00,pass_rating,,,,,,
player,201310130sfo,crd,FloyMi00,rush_att,0,,,,,
player,201310130sfo,crd,FloyMi00,rush_yds,0,,,,,
player,201310130sfo,crd,FloyMi00,rush_td,0,,,,,
player,201310130sfo,crd,FloyMi00,rush_long,0,,,,,
player,201310130sfo,crd,FloyMi00,targets,6,,,,,
player,201310130sfo,crd,FloyMi00,rec,5,,,,,
player,201310130sfo,crd,FloyMi00,rec_yds,44,,,,,
player,201310130sfo,crd,FloyMi00,rec_td,1,,,,,
player,201310130sfo,crd,FloyMi00,rec_long,19,,,,,
player,201310130sfo,crd,FloyMi00,fumbles,0,,,,,
player,201310130sfo,crd,FloyMi00,fumbles_lost,0,,,,,
player,201310130sfo,crd,HousRo01,pass_cmp,0,,,,,
player,201310130sfo,crd,HousRo01,pass_att,0,,,,,
player,201310130sfo,crd,HousRo01,pass_yds,0,,,,,
player,201310130sfo,crd,HousRo01,pass_td,0,,,,,
player,201310130sfo,crd,HousRo01,pass_int,0,,,,,
player,201310130sfo,crd,HousRo01,pass_sacked,0,,,,,
player,201310130sfo,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,HousRo01,pass_long,0,,,,,
player,201310130sfo,crd,HousRo01,pass_rating,,,,,,
player,201310130sfo,crd,HousRo01,rush_att,0,,,,,
player,201310130sfo,crd,HousRo01,rush_yds,0,,,,,
player,201310130sfo,crd,HousRo01,rush_td,0,,,,,
player,201310130sfo,crd,HousRo01,rush_long,0,,,,,
player,201310130sfo,crd,HousRo01,targets,5,,,,,
player,201310130sfo,crd,HousRo01,rec,4,,,,,
player,201310130sfo,crd,HousRo01,rec_yds,32,,,,,
player,201310130sfo,crd,HousRo01,rec_td,0,,,,,
player,201310130sfo,crd,HousRo01,rec_long,12,,,,,
player,201310130sfo,crd,HousRo01,fumbles,0,,,,,
player,201310130sfo,crd,HousRo01,fumbles_lost,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_cmp,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_att,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_yds,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_td,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_int,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_sacked,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_long,0,,,,,
player,201310130sfo,crd,RobeAn00,pass_rating,,,,,,
player,201310130sfo,crd,RobeAn00,rush_att,0,,,,,
player,201310130sfo,crd,RobeAn00,rush_yds,0,,,,,
player,201310130sfo,crd,RobeAn00,rush_td,0,,,,,
player,201310130sfo,crd,RobeAn00,rush_long,0,,,,,
player,201310130sfo,crd,RobeAn00,targets,4,,,,,
player,201310130sfo,crd,RobeAn00,rec,1,,,,,
player,201310130sfo,crd,RobeAn00,rec_yds,5,,,,,
player,201310130sfo,crd,RobeAn00,rec_td,0,,,,,
player,201310130sfo,crd,RobeAn00,rec_long,5,,,,,
player,201310130sfo,crd,RobeAn00,fumbles,0,,,,,
player,201310130sfo,crd,RobeAn00,fumbles_lost,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_cmp,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_att,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_yds,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_td,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_int,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_sacked,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_long,0,,,,,
player,201310130sfo,crd,BrowJa03,pass_rating,,,,,,
player,201310130sfo,crd,BrowJa03,rush_att,0,,,,,
player,201310130sfo,crd,BrowJa03,rush_yds,0,,,,,
player,201310130sfo,crd,BrowJa03,rush_td,0,,,,,
player,201310130sfo,crd,BrowJa03,rush_long,0,,,,,
player,201310130sfo,crd,BrowJa03,targets,1,,,,,
player,201310130sfo,crd,BrowJa03,rec,1,,,,,
player,201310130sfo,crd,BrowJa03,rec_yds,5,,,,,
player,201310130sfo,crd,BrowJa03,rec_td,0,,,,,
player,201310130sfo,crd,BrowJa03,rec_long,5,,,,,
player,201310130sfo,crd,BrowJa03,fumbles,0,,,,,
player,201310130sfo,crd,BrowJa03,fumbles_lost,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_cmp,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_att,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_yds,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_td,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_int,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_sacked,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_long,0,,,,,
player,201310130sfo,crd,DrayJi00,pass_rating,,,,,,
player,201310130sfo,crd,DrayJi00,rush_att,0,,,,,
player,201310130sfo,crd,DrayJi00,rush_yds,0,,,,,
player,201310130sfo,crd,DrayJi00,rush_td,0,,,,,
player,201310130sfo,crd,DrayJi00,rush_long,0,,,,,
player,201310130sfo,crd,DrayJi00,targets,2,,,,,
player,201310130sfo,crd,DrayJi00,rec,1,,,,,
player,201310130sfo,crd,DrayJi00,rec_yds,4,,,,,
player,201310130sfo,crd,DrayJi00,rec_td,0,,,,,
player,201310130sfo,crd,DrayJi00,rec_long,4,,,,,
player,201310130sfo,crd,DrayJi00,fumbles,0,,,,,
player,201310130sfo,crd,DrayJi00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,KaepCo00,pass_cmp,16,,,,,
player,201310130sfo,sfo,KaepCo00,pass_att,29,,,,,
player,201310130sfo,sfo,KaepCo00,pass_yds,252,,,,,
player,201310130sfo,sfo,KaepCo00,pass_td,2,,,,,
player,201310130sfo,sfo,KaepCo00,pass_int,1,,,,,
player,201310130sfo,sfo,KaepCo00,pass_sacked,2,,,,,
player,201310130sfo,sfo,KaepCo00,pass_sacked_yds,14,,,,,
player,201310130sfo,sfo,KaepCo00,pass_long,61,,,,,
player,201310130sfo,sfo,KaepCo00,pass_rating,92.9,,,,,
player,201310130sfo,sfo,KaepCo00,rush_att,4,,,,,
player,201310130sfo,sfo,KaepCo00,rush_yds,18,,,,,
player,201310130sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201310130sfo,sfo,KaepCo00,rush_long,17,,,,,
player,201310130sfo,sfo,KaepCo00,targets,0,,,,,
player,201310130sfo,sfo,KaepCo00,rec,0,,,,,
player,201310130sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201310130sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201310130sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201310130sfo,sfo,KaepCo00,fumbles,2,,,,,
player,201310130sfo,sfo,KaepCo00,fumbles_lost,1,,,,,
player,201310130sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201310130sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201310130sfo,sfo,GoreFr00,rush_att,25,,,,,
player,201310130sfo,sfo,GoreFr00,rush_yds,101,,,,,
player,201310130sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201310130sfo,sfo,GoreFr00,rush_long,32,,,,,
player,201310130sfo,sfo,GoreFr00,targets,0,,,,,
player,201310130sfo,sfo,GoreFr00,rec,0,,,,,
player,201310130sfo,sfo,GoreFr00,rec_yds,0,,,,,
player,201310130sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201310130sfo,sfo,GoreFr00,rec_long,0,,,,,
player,201310130sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201310130sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_cmp,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201310130sfo,sfo,HuntKe00,pass_sacked,0,,,,,
