game,2013,11,20131118,201311180car,nwe,"New England Patriots",20,car,"Carolina Panthers",24
player,201311180car,nwe,AmenDa00,fumbles,0,,,,,
player,201311180car,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201311180car,nwe,DobsAa00,pass_cmp,0,,,,,
player,201311180car,nwe,DobsAa00,pass_att,0,,,,,
player,201311180car,nwe,DobsAa00,pass_yds,0,,,,,
player,201311180car,nwe,DobsAa00,pass_td,0,,,,,
player,201311180car,nwe,DobsAa00,pass_int,0,,,,,
player,201311180car,nwe,DobsAa00,pass_sacked,0,,,,,
player,201311180car,nwe,DobsAa00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,DobsAa00,pass_long,0,,,,,
player,201311180car,nwe,DobsAa00,pass_rating,,,,,,
player,201311180car,nwe,DobsAa00,rush_att,0,,,,,
player,201311180car,nwe,DobsAa00,rush_yds,0,,,,,
player,201311180car,nwe,DobsAa00,rush_td,0,,,,,
player,201311180car,nwe,DobsAa00,rush_long,0,,,,,
player,201311180car,nwe,DobsAa00,targets,7,,,,,
player,201311180car,nwe,DobsAa00,rec,4,,,,,
player,201311180car,nwe,DobsAa00,rec_yds,38,,,,,
player,201311180car,nwe,DobsAa00,rec_td,0,,,,,
player,201311180car,nwe,DobsAa00,rec_long,11,,,,,
player,201311180car,nwe,DobsAa00,fumbles,0,,,,,
player,201311180car,nwe,DobsAa00,fumbles_lost,0,,,,,
player,201311180car,nwe,EdelJu00,pass_cmp,0,,,,,
player,201311180car,nwe,EdelJu00,pass_att,0,,,,,
player,201311180car,nwe,EdelJu00,pass_yds,0,,,,,
player,201311180car,nwe,EdelJu00,pass_td,0,,,,,
player,201311180car,nwe,EdelJu00,pass_int,0,,,,,
player,201311180car,nwe,EdelJu00,pass_sacked,0,,,,,
player,201311180car,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,EdelJu00,pass_long,0,,,,,
player,201311180car,nwe,EdelJu00,pass_rating,,,,,,
player,201311180car,nwe,EdelJu00,rush_att,0,,,,,
player,201311180car,nwe,EdelJu00,rush_yds,0,,,,,
player,201311180car,nwe,EdelJu00,rush_td,0,,,,,
player,201311180car,nwe,EdelJu00,rush_long,0,,,,,
player,201311180car,nwe,EdelJu00,targets,4,,,,,
player,201311180car,nwe,EdelJu00,rec,3,,,,,
player,201311180car,nwe,EdelJu00,rec_yds,27,,,,,
player,201311180car,nwe,EdelJu00,rec_td,0,,,,,
player,201311180car,nwe,EdelJu00,rec_long,14,,,,,
player,201311180car,nwe,EdelJu00,fumbles,0,,,,,
player,201311180car,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201311180car,nwe,HoomMi00,pass_cmp,0,,,,,
player,201311180car,nwe,HoomMi00,pass_att,0,,,,,
player,201311180car,nwe,HoomMi00,pass_yds,0,,,,,
player,201311180car,nwe,HoomMi00,pass_td,0,,,,,
player,201311180car,nwe,HoomMi00,pass_int,0,,,,,
player,201311180car,nwe,HoomMi00,pass_sacked,0,,,,,
player,201311180car,nwe,HoomMi00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,HoomMi00,pass_long,0,,,,,
player,201311180car,nwe,HoomMi00,pass_rating,,,,,,
player,201311180car,nwe,HoomMi00,rush_att,0,,,,,
player,201311180car,nwe,HoomMi00,rush_yds,0,,,,,
player,201311180car,nwe,HoomMi00,rush_td,0,,,,,
player,201311180car,nwe,HoomMi00,rush_long,0,,,,,
player,201311180car,nwe,HoomMi00,targets,1,,,,,
player,201311180car,nwe,HoomMi00,rec,1,,,,,
player,201311180car,nwe,HoomMi00,rec_yds,2,,,,,
player,201311180car,nwe,HoomMi00,rec_td,0,,,,,
player,201311180car,nwe,HoomMi00,rec_long,2,,,,,
player,201311180car,nwe,HoomMi00,fumbles,0,,,,,
player,201311180car,nwe,HoomMi00,fumbles_lost,0,,,,,
player,201311180car,nwe,MullMa00,pass_cmp,0,,,,,
player,201311180car,nwe,MullMa00,pass_att,0,,,,,
player,201311180car,nwe,MullMa00,pass_yds,0,,,,,
player,201311180car,nwe,MullMa00,pass_td,0,,,,,
player,201311180car,nwe,MullMa00,pass_int,0,,,,,
player,201311180car,nwe,MullMa00,pass_sacked,0,,,,,
player,201311180car,nwe,MullMa00,pass_sacked_yds,0,,,,,
player,201311180car,nwe,MullMa00,pass_long,0,,,,,
player,201311180car,nwe,MullMa00,pass_rating,,,,,,
player,201311180car,nwe,MullMa00,rush_att,0,,,,,
player,201311180car,nwe,MullMa00,rush_yds,0,,,,,
player,201311180car,nwe,MullMa00,rush_td,0,,,,,
player,201311180car,nwe,MullMa00,rush_long,0,,,,,
player,201311180car,nwe,MullMa00,targets,1,,,,,
player,201311180car,nwe,MullMa00,rec,0,,,,,
player,201311180car,nwe,MullMa00,rec_yds,0,,,,,
player,201311180car,nwe,MullMa00,rec_td,0,,,,,
player,201311180car,nwe,MullMa00,rec_long,0,,,,,
player,201311180car,nwe,MullMa00,fumbles,0,,,,,
player,201311180car,nwe,MullMa00,fumbles_lost,0,,,,,
player,201311180car,car,NewtCa00,pass_cmp,19,,,,,
player,201311180car,car,NewtCa00,pass_att,28,,,,,
player,201311180car,car,NewtCa00,pass_yds,209,,,,,
player,201311180car,car,NewtCa00,pass_td,3,,,,,
player,201311180car,car,NewtCa00,pass_int,0,,,,,
player,201311180car,car,NewtCa00,pass_sacked,3,,,,,
player,201311180car,car,NewtCa00,pass_sacked_yds,12,,,,,
player,201311180car,car,NewtCa00,pass_long,42,,,,,
player,201311180car,car,NewtCa00,pass_rating,125.4,,,,,
player,201311180car,car,NewtCa00,rush_att,7,,,,,
player,201311180car,car,NewtCa00,rush_yds,62,,,,,
player,201311180car,car,NewtCa00,rush_td,0,,,,,
player,201311180car,car,NewtCa00,rush_long,24,,,,,
player,201311180car,car,NewtCa00,targets,0,,,,,
player,201311180car,car,NewtCa00,rec,0,,,,,
player,201311180car,car,NewtCa00,rec_yds,0,,,,,
player,201311180car,car,NewtCa00,rec_td,0,,,,,
player,201311180car,car,NewtCa00,rec_long,0,,,,,
player,201311180car,car,NewtCa00,fumbles,0,,,,,
player,201311180car,car,NewtCa00,fumbles_lost,0,,,,,
player,201311180car,car,TolbMi00,pass_cmp,0,,,,,
player,201311180car,car,TolbMi00,pass_att,0,,,,,
player,201311180car,car,TolbMi00,pass_yds,0,,,,,
player,201311180car,car,TolbMi00,pass_td,0,,,,,
player,201311180car,car,TolbMi00,pass_int,0,,,,,
player,201311180car,car,TolbMi00,pass_sacked,0,,,,,
player,201311180car,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201311180car,car,TolbMi00,pass_long,0,,,,,
player,201311180car,car,TolbMi00,pass_rating,,,,,,
player,201311180car,car,TolbMi00,rush_att,6,,,,,
player,201311180car,car,TolbMi00,rush_yds,17,,,,,
player,201311180car,car,TolbMi00,rush_td,0,,,,,
player,201311180car,car,TolbMi00,rush_long,6,,,,,
player,201311180car,car,TolbMi00,targets,0,,,,,
player,201311180car,car,TolbMi00,rec,0,,,,,
player,201311180car,car,TolbMi00,rec_yds,0,,,,,
player,201311180car,car,TolbMi00,rec_td,0,,,,,
player,201311180car,car,TolbMi00,rec_long,0,,,,,
player,201311180car,car,TolbMi00,fumbles,0,,,,,
player,201311180car,car,TolbMi00,fumbles_lost,0,,,,,
player,201311180car,car,WillDe02,pass_cmp,0,,,,,
player,201311180car,car,WillDe02,pass_att,0,,,,,
player,201311180car,car,WillDe02,pass_yds,0,,,,,
player,201311180car,car,WillDe02,pass_td,0,,,,,
player,201311180car,car,WillDe02,pass_int,0,,,,,
player,201311180car,car,WillDe02,pass_sacked,0,,,,,
player,201311180car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201311180car,car,WillDe02,pass_long,0,,,,,
player,201311180car,car,WillDe02,pass_rating,,,,,,
player,201311180car,car,WillDe02,rush_att,6,,,,,
player,201311180car,car,WillDe02,rush_yds,14,,,,,
player,201311180car,car,WillDe02,rush_td,0,,,,,
player,201311180car,car,WillDe02,rush_long,6,,,,,
player,201311180car,car,WillDe02,targets,3,,,,,
player,201311180car,car,WillDe02,rec,2,,,,,
player,201311180car,car,WillDe02,rec_yds,11,,,,,
player,201311180car,car,WillDe02,rec_td,0,,,,,
player,201311180car,car,WillDe02,rec_long,7,,,,,
player,201311180car,car,WillDe02,fumbles,0,,,,,
player,201311180car,car,WillDe02,fumbles_lost,0,,,,,
player,201311180car,car,StewJo00,pass_cmp,0,,,,,
player,201311180car,car,StewJo00,pass_att,0,,,,,
player,201311180car,car,StewJo00,pass_yds,0,,,,,
player,201311180car,car,StewJo00,pass_td,0,,,,,
player,201311180car,car,StewJo00,pass_int,0,,,,,
player,201311180car,car,StewJo00,pass_sacked,0,,,,,
player,201311180car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201311180car,car,StewJo00,pass_long,0,,,,,
player,201311180car,car,StewJo00,pass_rating,,,,,,
player,201311180car,car,StewJo00,rush_att,4,,,,,
player,201311180car,car,StewJo00,rush_yds,10,,,,,
player,201311180car,car,StewJo00,rush_td,0,,,,,
player,201311180car,car,StewJo00,rush_long,7,,,,,
player,201311180car,car,StewJo00,targets,0,,,,,
player,201311180car,car,StewJo00,rec,0,,,,,
player,201311180car,car,StewJo00,rec_yds,0,,,,,
player,201311180car,car,StewJo00,rec_td,0,,,,,
player,201311180car,car,StewJo00,rec_long,0,,,,,
player,201311180car,car,StewJo00,fumbles,0,,,,,
player,201311180car,car,StewJo00,fumbles_lost,0,,,,,
player,201311180car,car,SmitSt01,pass_cmp,0,,,,,
player,201311180car,car,SmitSt01,pass_att,0,,,,,
player,201311180car,car,SmitSt01,pass_yds,0,,,,,
player,201311180car,car,SmitSt01,pass_td,0,,,,,
player,201311180car,car,SmitSt01,pass_int,0,,,,,
player,201311180car,car,SmitSt01,pass_sacked,0,,,,,
player,201311180car,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201311180car,car,SmitSt01,pass_long,0,,,,,
player,201311180car,car,SmitSt01,pass_rating,,,,,,
player,201311180car,car,SmitSt01,rush_att,0,,,,,
player,201311180car,car,SmitSt01,rush_yds,0,,,,,
player,201311180car,car,SmitSt01,rush_td,0,,,,,
player,201311180car,car,SmitSt01,rush_long,0,,,,,
player,201311180car,car,SmitSt01,targets,6,,,,,
player,201311180car,car,SmitSt01,rec,4,,,,,
player,201311180car,car,SmitSt01,rec_yds,62,,,,,
player,201311180car,car,SmitSt01,rec_td,0,,,,,
player,201311180car,car,SmitSt01,rec_long,42,,,,,
player,201311180car,car,SmitSt01,fumbles,0,,,,,
player,201311180car,car,SmitSt01,fumbles_lost,0,,,,,
player,201311180car,car,LaFeBr00,pass_cmp,0,,,,,
player,201311180car,car,LaFeBr00,pass_att,0,,,,,
player,201311180car,car,LaFeBr00,pass_yds,0,,,,,
player,201311180car,car,LaFeBr00,pass_td,0,,,,,
player,201311180car,car,LaFeBr00,pass_int,0,,,,,
player,201311180car,car,LaFeBr00,pass_sacked,0,,,,,
player,201311180car,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201311180car,car,LaFeBr00,pass_long,0,,,,,
player,201311180car,car,LaFeBr00,pass_rating,,,,,,
player,201311180car,car,LaFeBr00,rush_att,0,,,,,
player,201311180car,car,LaFeBr00,rush_yds,0,,,,,
player,201311180car,car,LaFeBr00,rush_td,0,,,,,
player,201311180car,car,LaFeBr00,rush_long,0,,,,,
player,201311180car,car,LaFeBr00,targets,8,,,,,
player,201311180car,car,LaFeBr00,rec,7,,,,,
player,201311180car,car,LaFeBr00,rec_yds,59,,,,,
player,201311180car,car,LaFeBr00,rec_td,1,,,,,
player,201311180car,car,LaFeBr00,rec_long,17,,,,,
player,201311180car,car,LaFeBr00,fumbles,0,,,,,
player,201311180car,car,LaFeBr00,fumbles_lost,0,,,,,
player,201311180car,car,OlseGr00,pass_cmp,0,,,,,
player,201311180car,car,OlseGr00,pass_att,0,,,,,
player,201311180car,car,OlseGr00,pass_yds,0,,,,,
player,201311180car,car,OlseGr00,pass_td,0,,,,,
player,201311180car,car,OlseGr00,pass_int,0,,,,,
player,201311180car,car,OlseGr00,pass_sacked,0,,,,,
player,201311180car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201311180car,car,OlseGr00,pass_long,0,,,,,
player,201311180car,car,OlseGr00,pass_rating,,,,,,
player,201311180car,car,OlseGr00,rush_att,0,,,,,
player,201311180car,car,OlseGr00,rush_yds,0,,,,,
player,201311180car,car,OlseGr00,rush_td,0,,,,,
player,201311180car,car,OlseGr00,rush_long,0,,,,,
player,201311180car,car,OlseGr00,targets,8,,,,,
player,201311180car,car,OlseGr00,rec,5,,,,,
player,201311180car,car,OlseGr00,rec_yds,52,,,,,
player,201311180car,car,OlseGr00,rec_td,1,,,,,
player,201311180car,car,OlseGr00,rec_long,15,,,,,
player,201311180car,car,OlseGr00,fumbles,0,,,,,
player,201311180car,car,OlseGr00,fumbles_lost,0,,,,,
player,201311180car,car,GinnTe00,pass_cmp,0,,,,,
player,201311180car,car,GinnTe00,pass_att,0,,,,,
player,201311180car,car,GinnTe00,pass_yds,0,,,,,
player,201311180car,car,GinnTe00,pass_td,0,,,,,
player,201311180car,car,GinnTe00,pass_int,0,,,,,
player,201311180car,car,GinnTe00,pass_sacked,0,,,,,
player,201311180car,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201311180car,car,GinnTe00,pass_long,0,,,,,
player,201311180car,car,GinnTe00,pass_rating,,,,,,
player,201311180car,car,GinnTe00,rush_att,0,,,,,
player,201311180car,car,GinnTe00,rush_yds,0,,,,,
player,201311180car,car,GinnTe00,rush_td,0,,,,,
player,201311180car,car,GinnTe00,rush_long,0,,,,,
player,201311180car,car,GinnTe00,targets,3,,,,,
player,201311180car,car,GinnTe00,rec,1,,,,,
player,201311180car,car,GinnTe00,rec_yds,25,,,,,
player,201311180car,car,GinnTe00,rec_td,1,,,,,
player,201311180car,car,GinnTe00,rec_long,25,,,,,
player,201311180car,car,GinnTe00,fumbles,0,,,,,
player,201311180car,car,GinnTe00,fumbles_lost,0,,,,,
player,201311180car,nwe,NinkRo20,def_int,0,,,,,
player,201311180car,nwe,NinkRo20,def_int_yds,0,,,,,
player,201311180car,nwe,NinkRo20,def_int_td,0,,,,,
player,201311180car,nwe,NinkRo20,def_int_long,0,,,,,
player,201311180car,nwe,NinkRo20,pass_defended,0,,,,,
player,201311180car,nwe,NinkRo20,sacks,2.0,,,,,
player,201311180car,nwe,NinkRo20,tackles_combined,9,,,,,
player,201311180car,nwe,NinkRo20,tackles_solo,6,,,,,
player,201311180car,nwe,NinkRo20,tackles_assists,3,,,,,
player,201311180car,nwe,NinkRo20,tackles_loss,1,,,,,
player,201311180car,nwe,NinkRo20,qb_hits,1,,,,,
player,201311180car,nwe,NinkRo20,fumbles_rec,0,,,,,
player,201311180car,nwe,NinkRo20,fumbles_rec_yds,0,,,,,
player,201311180car,nwe,NinkRo20,fumbles_rec_td,0,,,,,
player,201311180car,nwe,NinkRo20,fumbles_forced,0,,,,,
player,201311180car,nwe,JoneCh03,def_int,0,,,,,
player,201311180car,nwe,JoneCh03,def_int_yds,0,,,,,
player,201311180car,nwe,JoneCh03,def_int_td,0,,,,,
player,201311180car,nwe,JoneCh03,def_int_long,0,,,,,
player,201311180car,nwe,JoneCh03,pass_defended,0,,,,,
player,201311180car,nwe,JoneCh03,sacks,1.0,,,,,
player,201311180car,nwe,JoneCh03,tackles_combined,5,,,,,
player,201311180car,nwe,JoneCh03,tackles_solo,4,,,,,
player,201311180car,nwe,JoneCh03,tackles_assists,1,,,,,
player,201311180car,nwe,JoneCh03,tackles_loss,1,,,,,
player,201311180car,nwe,JoneCh03,qb_hits,1,,,,,
player,201311180car,nwe,JoneCh03,fumbles_rec,0,,,,,
player,201311180car,nwe,JoneCh03,fumbles_rec_yds,0,,,,,
player,201311180car,nwe,JoneCh03,fumbles_rec_td,0,,,,,
player,201311180car,nwe,JoneCh03,fumbles_forced,0,,,,,
player,201311180car,nwe,SpikBr99,def_int,0,,,,,
player,201311180car,nwe,SpikBr99,def_int_yds,0,,,,,
player,201311180car,nwe,SpikBr99,def_int_td,0,,,,,
player,201311180car,nwe,SpikBr99,def_int_long,0,,,,,
player,201311180car,nwe,SpikBr99,pass_defended,0,,,,,
player,201311180car,nwe,SpikBr99,sacks,0.0,,,,,
player,201311180car,nwe,SpikBr99,tackles_combined,7,,,,,
player,201311180car,nwe,SpikBr99,tackles_solo,6,,,,,
player,201311180car,nwe,SpikBr99,tackles_assists,1,,,,,
player,201311180car,nwe,SpikBr99,tackles_loss,0,,,,,
player,201311180car,nwe,SpikBr99,qb_hits,0,,,,,
player,201311180car,nwe,SpikBr99,fumbles_rec,0,,,,,
player,201311180car,nwe,SpikBr99,fumbles_rec_yds,0,,,,,
player,201311180car,nwe,SpikBr99,fumbles_rec_td,0,,,,,
player,201311180car,nwe,SpikBr99,fumbles_forced,0,,,,,
player,201311180car,nwe,TaliAq99,def_int,0,,,,,
player,201311180car,nwe,TaliAq99,def_int_yds,0,,,,,
player,201311180car,nwe,TaliAq99,def_int_td,0,,,,,
player,201311180car,nwe,TaliAq99,def_int_long,0,,,,,
player,201311180car,nwe,TaliAq99,pass_defended,2,,,,,
player,201311180car,nwe,TaliAq99,sacks,0.0,,,,,
player,201311180car,nwe,TaliAq99,tackles_combined,5,,,,,
player,201311180car,nwe,TaliAq99,tackles_solo,5,,,,,
player,201311180car,nwe,TaliAq99,tackles_assists,0,,,,,
player,201311180car,nwe,TaliAq99,tackles_loss,0,,,,,
player,201311180car,nwe,TaliAq99,qb_hits,0,,,,,
player,201311180car,nwe,TaliAq99,fumbles_rec,0,,,,,
player,201311180car,nwe,TaliAq99,fumbles_rec_yds,0,,,,,
player,201311180car,nwe,TaliAq99,fumbles_rec_td,0,,,,,
player,201311180car,nwe,TaliAq99,fumbles_forced,0,,,,,
player,201311180car,nwe,HighDo01,def_int,0,,,,,
player,201311180car,nwe,HighDo01,def_int_yds,0,,,,,
player,201311180car,nwe,HighDo01,def_int_td,0,,,,,
