game,2013,9,20131103,201311030rai,phi,"Philadelphia Eagles",49,rai,"Oakland Raiders",20
player,201311030rai,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_long,0,,,,,
player,201311030rai,phi,ErtzZa00,pass_rating,,,,,,
player,201311030rai,phi,ErtzZa00,rush_att,0,,,,,
player,201311030rai,phi,ErtzZa00,rush_yds,0,,,,,
player,201311030rai,phi,ErtzZa00,rush_td,0,,,,,
player,201311030rai,phi,ErtzZa00,rush_long,0,,,,,
player,201311030rai,phi,ErtzZa00,targets,6,,,,,
player,201311030rai,phi,ErtzZa00,rec,5,,,,,
player,201311030rai,phi,ErtzZa00,rec_yds,42,,,,,
player,201311030rai,phi,ErtzZa00,rec_td,1,,,,,
player,201311030rai,phi,ErtzZa00,rec_long,15,,,,,
player,201311030rai,phi,ErtzZa00,fumbles,0,,,,,
player,201311030rai,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201311030rai,phi,CeleBr00,pass_cmp,0,,,,,
player,201311030rai,phi,CeleBr00,pass_att,0,,,,,
player,201311030rai,phi,CeleBr00,pass_yds,0,,,,,
player,201311030rai,phi,CeleBr00,pass_td,0,,,,,
player,201311030rai,phi,CeleBr00,pass_int,0,,,,,
player,201311030rai,phi,CeleBr00,pass_sacked,0,,,,,
player,201311030rai,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,CeleBr00,pass_long,0,,,,,
player,201311030rai,phi,CeleBr00,pass_rating,,,,,,
player,201311030rai,phi,CeleBr00,rush_att,0,,,,,
player,201311030rai,phi,CeleBr00,rush_yds,0,,,,,
player,201311030rai,phi,CeleBr00,rush_td,0,,,,,
player,201311030rai,phi,CeleBr00,rush_long,0,,,,,
player,201311030rai,phi,CeleBr00,targets,4,,,,,
player,201311030rai,phi,CeleBr00,rec,3,,,,,
player,201311030rai,phi,CeleBr00,rec_yds,27,,,,,
player,201311030rai,phi,CeleBr00,rec_td,1,,,,,
player,201311030rai,phi,CeleBr00,rec_long,24,,,,,
player,201311030rai,phi,CeleBr00,fumbles,0,,,,,
player,201311030rai,phi,CeleBr00,fumbles_lost,0,,,,,
player,201311030rai,phi,MaehJe00,pass_cmp,0,,,,,
player,201311030rai,phi,MaehJe00,pass_att,0,,,,,
player,201311030rai,phi,MaehJe00,pass_yds,0,,,,,
player,201311030rai,phi,MaehJe00,pass_td,0,,,,,
player,201311030rai,phi,MaehJe00,pass_int,0,,,,,
player,201311030rai,phi,MaehJe00,pass_sacked,0,,,,,
player,201311030rai,phi,MaehJe00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,MaehJe00,pass_long,0,,,,,
player,201311030rai,phi,MaehJe00,pass_rating,,,,,,
player,201311030rai,phi,MaehJe00,rush_att,0,,,,,
player,201311030rai,phi,MaehJe00,rush_yds,0,,,,,
player,201311030rai,phi,MaehJe00,rush_td,0,,,,,
player,201311030rai,phi,MaehJe00,rush_long,0,,,,,
player,201311030rai,phi,MaehJe00,targets,1,,,,,
player,201311030rai,phi,MaehJe00,rec,1,,,,,
player,201311030rai,phi,MaehJe00,rec_yds,19,,,,,
player,201311030rai,phi,MaehJe00,rec_td,0,,,,,
player,201311030rai,phi,MaehJe00,rec_long,19,,,,,
player,201311030rai,phi,MaehJe00,fumbles,0,,,,,
player,201311030rai,phi,MaehJe00,fumbles_lost,0,,,,,
player,201311030rai,phi,CaseJa00,pass_cmp,0,,,,,
player,201311030rai,phi,CaseJa00,pass_att,0,,,,,
player,201311030rai,phi,CaseJa00,pass_yds,0,,,,,
player,201311030rai,phi,CaseJa00,pass_td,0,,,,,
player,201311030rai,phi,CaseJa00,pass_int,0,,,,,
player,201311030rai,phi,CaseJa00,pass_sacked,0,,,,,
player,201311030rai,phi,CaseJa00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,CaseJa00,pass_long,0,,,,,
player,201311030rai,phi,CaseJa00,pass_rating,,,,,,
player,201311030rai,phi,CaseJa00,rush_att,0,,,,,
player,201311030rai,phi,CaseJa00,rush_yds,0,,,,,
player,201311030rai,phi,CaseJa00,rush_td,0,,,,,
player,201311030rai,phi,CaseJa00,rush_long,0,,,,,
player,201311030rai,phi,CaseJa00,targets,1,,,,,
player,201311030rai,phi,CaseJa00,rec,0,,,,,
player,201311030rai,phi,CaseJa00,rec_yds,0,,,,,
player,201311030rai,phi,CaseJa00,rec_td,0,,,,,
player,201311030rai,phi,CaseJa00,rec_long,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles,0,,,,,
player,201311030rai,phi,CaseJa00,fumbles_lost,0,,,,,
player,201311030rai,phi,AvanJa00,pass_cmp,0,,,,,
player,201311030rai,phi,AvanJa00,pass_att,0,,,,,
player,201311030rai,phi,AvanJa00,pass_yds,0,,,,,
player,201311030rai,phi,AvanJa00,pass_td,0,,,,,
player,201311030rai,phi,AvanJa00,pass_int,0,,,,,
player,201311030rai,phi,AvanJa00,pass_sacked,0,,,,,
player,201311030rai,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201311030rai,phi,AvanJa00,pass_long,0,,,,,
player,201311030rai,phi,AvanJa00,pass_rating,,,,,,
player,201311030rai,phi,AvanJa00,rush_att,0,,,,,
player,201311030rai,phi,AvanJa00,rush_yds,0,,,,,
player,201311030rai,phi,AvanJa00,rush_td,0,,,,,
player,201311030rai,phi,AvanJa00,rush_long,0,,,,,
player,201311030rai,phi,AvanJa00,targets,1,,,,,
player,201311030rai,phi,AvanJa00,rec,0,,,,,
player,201311030rai,phi,AvanJa00,rec_yds,0,,,,,
player,201311030rai,phi,AvanJa00,rec_td,0,,,,,
player,201311030rai,phi,AvanJa00,rec_long,0,,,,,
player,201311030rai,phi,AvanJa00,fumbles,0,,,,,
player,201311030rai,phi,AvanJa00,fumbles_lost,0,,,,,
player,201311030rai,rai,PryoTe00,pass_cmp,22,,,,,
player,201311030rai,rai,PryoTe00,pass_att,41,,,,,
player,201311030rai,rai,PryoTe00,pass_yds,288,,,,,
player,201311030rai,rai,PryoTe00,pass_td,0,,,,,
player,201311030rai,rai,PryoTe00,pass_int,2,,,,,
player,201311030rai,rai,PryoTe00,pass_sacked,3,,,,,
player,201311030rai,rai,PryoTe00,pass_sacked_yds,25,,,,,
player,201311030rai,rai,PryoTe00,pass_long,66,,,,,
player,201311030rai,rai,PryoTe00,pass_rating,55.7,,,,,
player,201311030rai,rai,PryoTe00,rush_att,10,,,,,
player,201311030rai,rai,PryoTe00,rush_yds,94,,,,,
player,201311030rai,rai,PryoTe00,rush_td,0,,,,,
player,201311030rai,rai,PryoTe00,rush_long,35,,,,,
player,201311030rai,rai,PryoTe00,targets,0,,,,,
player,201311030rai,rai,PryoTe00,rec,0,,,,,
player,201311030rai,rai,PryoTe00,rec_yds,0,,,,,
player,201311030rai,rai,PryoTe00,rec_td,0,,,,,
player,201311030rai,rai,PryoTe00,rec_long,0,,,,,
player,201311030rai,rai,PryoTe00,fumbles,1,,,,,
player,201311030rai,rai,PryoTe00,fumbles_lost,0,,,,,
player,201311030rai,rai,McGlMa01,pass_cmp,7,,,,,
player,201311030rai,rai,McGlMa01,pass_att,15,,,,,
player,201311030rai,rai,McGlMa01,pass_yds,87,,,,,
player,201311030rai,rai,McGlMa01,pass_td,0,,,,,
player,201311030rai,rai,McGlMa01,pass_int,0,,,,,
player,201311030rai,rai,McGlMa01,pass_sacked,0,,,,,
player,201311030rai,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201311030rai,rai,McGlMa01,pass_long,22,,,,,
player,201311030rai,rai,McGlMa01,pass_rating,65.1,,,,,
player,201311030rai,rai,McGlMa01,rush_att,0,,,,,
player,201311030rai,rai,McGlMa01,rush_yds,0,,,,,
player,201311030rai,rai,McGlMa01,rush_td,0,,,,,
player,201311030rai,rai,McGlMa01,rush_long,0,,,,,
player,201311030rai,rai,McGlMa01,targets,0,,,,,
player,201311030rai,rai,McGlMa01,rec,0,,,,,
player,201311030rai,rai,McGlMa01,rec_yds,0,,,,,
player,201311030rai,rai,McGlMa01,rec_td,0,,,,,
player,201311030rai,rai,McGlMa01,rec_long,0,,,,,
player,201311030rai,rai,McGlMa01,fumbles,0,,,,,
player,201311030rai,rai,McGlMa01,fumbles_lost,0,,,,,
player,201311030rai,rai,JennRa00,pass_cmp,0,,,,,
player,201311030rai,rai,JennRa00,pass_att,0,,,,,
player,201311030rai,rai,JennRa00,pass_yds,0,,,,,
player,201311030rai,rai,JennRa00,pass_td,0,,,,,
player,201311030rai,rai,JennRa00,pass_int,0,,,,,
player,201311030rai,rai,JennRa00,pass_sacked,,,,,,
player,201311030rai,rai,JennRa00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,JennRa00,pass_long,0,,,,,
player,201311030rai,rai,JennRa00,pass_rating,,,,,,
player,201311030rai,rai,JennRa00,rush_att,15,,,,,
player,201311030rai,rai,JennRa00,rush_yds,102,,,,,
player,201311030rai,rai,JennRa00,rush_td,1,,,,,
player,201311030rai,rai,JennRa00,rush_long,26,,,,,
player,201311030rai,rai,JennRa00,targets,10,,,,,
player,201311030rai,rai,JennRa00,rec,7,,,,,
player,201311030rai,rai,JennRa00,rec_yds,74,,,,,
player,201311030rai,rai,JennRa00,rec_td,0,,,,,
player,201311030rai,rai,JennRa00,rec_long,24,,,,,
player,201311030rai,rai,JennRa00,fumbles,0,,,,,
player,201311030rai,rai,JennRa00,fumbles_lost,0,,,,,
player,201311030rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201311030rai,rai,McFaDa00,pass_att,0,,,,,
player,201311030rai,rai,McFaDa00,pass_yds,0,,,,,
player,201311030rai,rai,McFaDa00,pass_td,0,,,,,
player,201311030rai,rai,McFaDa00,pass_int,0,,,,,
player,201311030rai,rai,McFaDa00,pass_sacked,,,,,,
player,201311030rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,McFaDa00,pass_long,0,,,,,
player,201311030rai,rai,McFaDa00,pass_rating,,,,,,
player,201311030rai,rai,McFaDa00,rush_att,5,,,,,
player,201311030rai,rai,McFaDa00,rush_yds,12,,,,,
player,201311030rai,rai,McFaDa00,rush_td,0,,,,,
player,201311030rai,rai,McFaDa00,rush_long,5,,,,,
player,201311030rai,rai,McFaDa00,targets,2,,,,,
player,201311030rai,rai,McFaDa00,rec,1,,,,,
player,201311030rai,rai,McFaDa00,rec_yds,3,,,,,
player,201311030rai,rai,McFaDa00,rec_td,0,,,,,
player,201311030rai,rai,McFaDa00,rec_long,3,,,,,
player,201311030rai,rai,McFaDa00,fumbles,0,,,,,
player,201311030rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201311030rai,rai,StewJe00,pass_cmp,0,,,,,
player,201311030rai,rai,StewJe00,pass_att,0,,,,,
player,201311030rai,rai,StewJe00,pass_yds,0,,,,,
player,201311030rai,rai,StewJe00,pass_td,0,,,,,
player,201311030rai,rai,StewJe00,pass_int,0,,,,,
player,201311030rai,rai,StewJe00,pass_sacked,,,,,,
player,201311030rai,rai,StewJe00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,StewJe00,pass_long,0,,,,,
player,201311030rai,rai,StewJe00,pass_rating,,,,,,
player,201311030rai,rai,StewJe00,rush_att,2,,,,,
player,201311030rai,rai,StewJe00,rush_yds,2,,,,,
player,201311030rai,rai,StewJe00,rush_td,1,,,,,
player,201311030rai,rai,StewJe00,rush_long,2,,,,,
player,201311030rai,rai,StewJe00,targets,0,,,,,
player,201311030rai,rai,StewJe00,rec,0,,,,,
player,201311030rai,rai,StewJe00,rec_yds,0,,,,,
player,201311030rai,rai,StewJe00,rec_td,0,,,,,
player,201311030rai,rai,StewJe00,rec_long,0,,,,,
player,201311030rai,rai,StewJe00,fumbles,0,,,,,
player,201311030rai,rai,StewJe00,fumbles_lost,0,,,,,
player,201311030rai,rai,StreRo00,pass_cmp,0,,,,,
player,201311030rai,rai,StreRo00,pass_att,0,,,,,
player,201311030rai,rai,StreRo00,pass_yds,0,,,,,
player,201311030rai,rai,StreRo00,pass_td,0,,,,,
player,201311030rai,rai,StreRo00,pass_int,0,,,,,
player,201311030rai,rai,StreRo00,pass_sacked,,,,,,
player,201311030rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,StreRo00,pass_long,0,,,,,
player,201311030rai,rai,StreRo00,pass_rating,,,,,,
player,201311030rai,rai,StreRo00,rush_att,0,,,,,
player,201311030rai,rai,StreRo00,rush_yds,0,,,,,
player,201311030rai,rai,StreRo00,rush_td,0,,,,,
player,201311030rai,rai,StreRo00,rush_long,0,,,,,
player,201311030rai,rai,StreRo00,targets,6,,,,,
player,201311030rai,rai,StreRo00,rec,5,,,,,
player,201311030rai,rai,StreRo00,rec_yds,98,,,,,
player,201311030rai,rai,StreRo00,rec_td,0,,,,,
player,201311030rai,rai,StreRo00,rec_long,66,,,,,
player,201311030rai,rai,StreRo00,fumbles,0,,,,,
player,201311030rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201311030rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201311030rai,rai,MoorDe02,pass_att,0,,,,,
player,201311030rai,rai,MoorDe02,pass_yds,0,,,,,
player,201311030rai,rai,MoorDe02,pass_td,0,,,,,
player,201311030rai,rai,MoorDe02,pass_int,0,,,,,
player,201311030rai,rai,MoorDe02,pass_sacked,,,,,,
player,201311030rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201311030rai,rai,MoorDe02,pass_long,0,,,,,
player,201311030rai,rai,MoorDe02,pass_rating,,,,,,
player,201311030rai,rai,MoorDe02,rush_att,0,,,,,
player,201311030rai,rai,MoorDe02,rush_yds,0,,,,,
player,201311030rai,rai,MoorDe02,rush_td,0,,,,,
player,201311030rai,rai,MoorDe02,rush_long,0,,,,,
player,201311030rai,rai,MoorDe02,targets,11,,,,,
player,201311030rai,rai,MoorDe02,rec,5,,,,,
player,201311030rai,rai,MoorDe02,rec_yds,82,,,,,
player,201311030rai,rai,MoorDe02,rec_td,0,,,,,
player,201311030rai,rai,MoorDe02,rec_long,27,,,,,
player,201311030rai,rai,MoorDe02,fumbles,0,,,,,
player,201311030rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201311030rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201311030rai,rai,RiveMy00,pass_att,0,,,,,
player,201311030rai,rai,RiveMy00,pass_yds,0,,,,,
player,201311030rai,rai,RiveMy00,pass_td,0,,,,,
player,201311030rai,rai,RiveMy00,pass_int,0,,,,,
player,201311030rai,rai,RiveMy00,pass_sacked,,,,,,
player,201311030rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,RiveMy00,pass_long,0,,,,,
player,201311030rai,rai,RiveMy00,pass_rating,,,,,,
player,201311030rai,rai,RiveMy00,rush_att,0,,,,,
player,201311030rai,rai,RiveMy00,rush_yds,0,,,,,
player,201311030rai,rai,RiveMy00,rush_td,0,,,,,
player,201311030rai,rai,RiveMy00,rush_long,0,,,,,
player,201311030rai,rai,RiveMy00,targets,5,,,,,
player,201311030rai,rai,RiveMy00,rec,4,,,,,
player,201311030rai,rai,RiveMy00,rec_yds,36,,,,,
player,201311030rai,rai,RiveMy00,rec_td,0,,,,,
player,201311030rai,rai,RiveMy00,rec_long,12,,,,,
player,201311030rai,rai,RiveMy00,fumbles,0,,,,,
player,201311030rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201311030rai,rai,CrinJu00,pass_cmp,0,,,,,
player,201311030rai,rai,CrinJu00,pass_att,0,,,,,
player,201311030rai,rai,CrinJu00,pass_yds,0,,,,,
player,201311030rai,rai,CrinJu00,pass_td,0,,,,,
player,201311030rai,rai,CrinJu00,pass_int,0,,,,,
player,201311030rai,rai,CrinJu00,pass_sacked,,,,,,
player,201311030rai,rai,CrinJu00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,CrinJu00,pass_long,0,,,,,
player,201311030rai,rai,CrinJu00,pass_rating,,,,,,
player,201311030rai,rai,CrinJu00,rush_att,0,,,,,
player,201311030rai,rai,CrinJu00,rush_yds,0,,,,,
player,201311030rai,rai,CrinJu00,rush_td,0,,,,,
player,201311030rai,rai,CrinJu00,rush_long,0,,,,,
player,201311030rai,rai,CrinJu00,targets,8,,,,,
player,201311030rai,rai,CrinJu00,rec,3,,,,,
player,201311030rai,rai,CrinJu00,rec_yds,32,,,,,
player,201311030rai,rai,CrinJu00,rec_td,0,,,,,
player,201311030rai,rai,CrinJu00,rec_long,20,,,,,
player,201311030rai,rai,CrinJu00,fumbles,0,,,,,
player,201311030rai,rai,CrinJu00,fumbles_lost,0,,,,,
player,201311030rai,rai,FordJa01,pass_cmp,0,,,,,
player,201311030rai,rai,FordJa01,pass_att,0,,,,,
player,201311030rai,rai,FordJa01,pass_yds,0,,,,,
player,201311030rai,rai,FordJa01,pass_td,0,,,,,
player,201311030rai,rai,FordJa01,pass_int,0,,,,,
player,201311030rai,rai,FordJa01,pass_sacked,,,,,,
player,201311030rai,rai,FordJa01,pass_sacked_yds,0,,,,,
player,201311030rai,rai,FordJa01,pass_long,0,,,,,
player,201311030rai,rai,FordJa01,pass_rating,,,,,,
player,201311030rai,rai,FordJa01,rush_att,0,,,,,
player,201311030rai,rai,FordJa01,rush_yds,0,,,,,
player,201311030rai,rai,FordJa01,rush_td,0,,,,,
player,201311030rai,rai,FordJa01,rush_long,0,,,,,
player,201311030rai,rai,FordJa01,targets,5,,,,,
player,201311030rai,rai,FordJa01,rec,2,,,,,
player,201311030rai,rai,FordJa01,rec_yds,28,,,,,
player,201311030rai,rai,FordJa01,rec_td,0,,,,,
player,201311030rai,rai,FordJa01,rec_long,22,,,,,
player,201311030rai,rai,FordJa01,fumbles,0,,,,,
player,201311030rai,rai,FordJa01,fumbles_lost,0,,,,,
player,201311030rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201311030rai,rai,ReecMa00,pass_att,0,,,,,
player,201311030rai,rai,ReecMa00,pass_yds,0,,,,,
player,201311030rai,rai,ReecMa00,pass_td,0,,,,,
player,201311030rai,rai,ReecMa00,pass_int,0,,,,,
player,201311030rai,rai,ReecMa00,pass_sacked,,,,,,
player,201311030rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201311030rai,rai,ReecMa00,pass_long,0,,,,,
player,201311030rai,rai,ReecMa00,pass_rating,,,,,,
player,201311030rai,rai,ReecMa00,rush_att,1,,,,,
player,201311030rai,rai,ReecMa00,rush_yds,0,,,,,
player,201311030rai,rai,ReecMa00,rush_td,0,,,,,
player,201311030rai,rai,ReecMa00,rush_long,0,,,,,
