game,2013,6,20131013,201310130sea,oti,"Tennessee Titans",13,sea,"Seattle Seahawks",20
player,201310130sea,oti,FitzRy00,rec_long,0,,,,,
player,201310130sea,oti,FitzRy00,fumbles,2,,,,,
player,201310130sea,oti,FitzRy00,fumbles_lost,0,,,,,
player,201310130sea,oti,JohnCh04,pass_cmp,0,,,,,
player,201310130sea,oti,JohnCh04,pass_att,0,,,,,
player,201310130sea,oti,JohnCh04,pass_yds,0,,,,,
player,201310130sea,oti,JohnCh04,pass_td,0,,,,,
player,201310130sea,oti,JohnCh04,pass_int,0,,,,,
player,201310130sea,oti,JohnCh04,pass_sacked,0,,,,,
player,201310130sea,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201310130sea,oti,JohnCh04,pass_long,0,,,,,
player,201310130sea,oti,JohnCh04,pass_rating,,,,,,
player,201310130sea,oti,JohnCh04,rush_att,12,,,,,
player,201310130sea,oti,JohnCh04,rush_yds,33,,,,,
player,201310130sea,oti,JohnCh04,rush_td,0,,,,,
player,201310130sea,oti,JohnCh04,rush_long,8,,,,,
player,201310130sea,oti,JohnCh04,targets,4,,,,,
player,201310130sea,oti,JohnCh04,rec,3,,,,,
player,201310130sea,oti,JohnCh04,rec_yds,21,,,,,
player,201310130sea,oti,JohnCh04,rec_td,0,,,,,
player,201310130sea,oti,JohnCh04,rec_long,14,,,,,
player,201310130sea,oti,JohnCh04,fumbles,0,,,,,
player,201310130sea,oti,JohnCh04,fumbles_lost,0,,,,,
player,201310130sea,oti,WrigKe01,pass_cmp,0,,,,,
player,201310130sea,oti,WrigKe01,pass_att,0,,,,,
player,201310130sea,oti,WrigKe01,pass_yds,0,,,,,
player,201310130sea,oti,WrigKe01,pass_td,0,,,,,
player,201310130sea,oti,WrigKe01,pass_int,0,,,,,
player,201310130sea,oti,WrigKe01,pass_sacked,0,,,,,
player,201310130sea,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201310130sea,oti,WrigKe01,pass_long,0,,,,,
player,201310130sea,oti,WrigKe01,pass_rating,,,,,,
player,201310130sea,oti,WrigKe01,rush_att,0,,,,,
player,201310130sea,oti,WrigKe01,rush_yds,0,,,,,
player,201310130sea,oti,WrigKe01,rush_td,0,,,,,
player,201310130sea,oti,WrigKe01,rush_long,0,,,,,
player,201310130sea,oti,WrigKe01,targets,8,,,,,
player,201310130sea,oti,WrigKe01,rec,5,,,,,
player,201310130sea,oti,WrigKe01,rec_yds,69,,,,,
player,201310130sea,oti,WrigKe01,rec_td,0,,,,,
player,201310130sea,oti,WrigKe01,rec_long,32,,,,,
player,201310130sea,oti,WrigKe01,fumbles,0,,,,,
player,201310130sea,oti,WrigKe01,fumbles_lost,0,,,,,
player,201310130sea,oti,WalkHu00,pass_cmp,0,,,,,
player,201310130sea,oti,WalkHu00,pass_att,0,,,,,
player,201310130sea,oti,WalkHu00,pass_yds,0,,,,,
player,201310130sea,oti,WalkHu00,pass_td,0,,,,,
player,201310130sea,oti,WalkHu00,pass_int,0,,,,,
player,201310130sea,oti,WalkHu00,pass_sacked,0,,,,,
player,201310130sea,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201310130sea,oti,WalkHu00,pass_long,0,,,,,
player,201310130sea,oti,WalkHu00,pass_rating,,,,,,
player,201310130sea,oti,WalkHu00,rush_att,0,,,,,
player,201310130sea,oti,WalkHu00,rush_yds,0,,,,,
player,201310130sea,oti,WalkHu00,rush_td,0,,,,,
player,201310130sea,oti,WalkHu00,rush_long,0,,,,,
player,201310130sea,oti,WalkHu00,targets,5,,,,,
player,201310130sea,oti,WalkHu00,rec,4,,,,,
player,201310130sea,oti,WalkHu00,rec_yds,29,,,,,
player,201310130sea,oti,WalkHu00,rec_td,0,,,,,
player,201310130sea,oti,WalkHu00,rec_long,11,,,,,
player,201310130sea,oti,WalkHu00,fumbles,0,,,,,
player,201310130sea,oti,WalkHu00,fumbles_lost,0,,,,,
player,201310130sea,oti,WillDa04,pass_cmp,0,,,,,
player,201310130sea,oti,WillDa04,pass_att,0,,,,,
player,201310130sea,oti,WillDa04,pass_yds,0,,,,,
player,201310130sea,oti,WillDa04,pass_td,0,,,,,
player,201310130sea,oti,WillDa04,pass_int,0,,,,,
player,201310130sea,oti,WillDa04,pass_sacked,0,,,,,
player,201310130sea,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201310130sea,oti,WillDa04,pass_long,0,,,,,
player,201310130sea,oti,WillDa04,pass_rating,,,,,,
player,201310130sea,oti,WillDa04,rush_att,0,,,,,
player,201310130sea,oti,WillDa04,rush_yds,0,,,,,
player,201310130sea,oti,WillDa04,rush_td,0,,,,,
player,201310130sea,oti,WillDa04,rush_long,0,,,,,
player,201310130sea,oti,WillDa04,targets,5,,,,,
player,201310130sea,oti,WillDa04,rec,2,,,,,
player,201310130sea,oti,WillDa04,rec_yds,22,,,,,
player,201310130sea,oti,WillDa04,rec_td,0,,,,,
player,201310130sea,oti,WillDa04,rec_long,17,,,,,
player,201310130sea,oti,WillDa04,fumbles,0,,,,,
player,201310130sea,oti,WillDa04,fumbles_lost,0,,,,,
player,201310130sea,oti,WashNa00,pass_cmp,0,,,,,
player,201310130sea,oti,WashNa00,pass_att,0,,,,,
player,201310130sea,oti,WashNa00,pass_yds,0,,,,,
player,201310130sea,oti,WashNa00,pass_td,0,,,,,
player,201310130sea,oti,WashNa00,pass_int,0,,,,,
player,201310130sea,oti,WashNa00,pass_sacked,0,,,,,
player,201310130sea,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201310130sea,oti,WashNa00,pass_long,0,,,,,
player,201310130sea,oti,WashNa00,pass_rating,,,,,,
player,201310130sea,oti,WashNa00,rush_att,0,,,,,
player,201310130sea,oti,WashNa00,rush_yds,0,,,,,
player,201310130sea,oti,WashNa00,rush_td,0,,,,,
player,201310130sea,oti,WashNa00,rush_long,0,,,,,
player,201310130sea,oti,WashNa00,targets,4,,,,,
player,201310130sea,oti,WashNa00,rec,1,,,,,
player,201310130sea,oti,WashNa00,rec_yds,15,,,,,
player,201310130sea,oti,WashNa00,rec_td,0,,,,,
player,201310130sea,oti,WashNa00,rec_long,15,,,,,
player,201310130sea,oti,WashNa00,fumbles,0,,,,,
player,201310130sea,oti,WashNa00,fumbles_lost,0,,,,,
player,201310130sea,oti,HuntJu00,pass_cmp,0,,,,,
player,201310130sea,oti,HuntJu00,pass_att,0,,,,,
player,201310130sea,oti,HuntJu00,pass_yds,0,,,,,
player,201310130sea,oti,HuntJu00,pass_td,0,,,,,
player,201310130sea,oti,HuntJu00,pass_int,0,,,,,
player,201310130sea,oti,HuntJu00,pass_sacked,0,,,,,
player,201310130sea,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201310130sea,oti,HuntJu00,pass_long,0,,,,,
player,201310130sea,oti,HuntJu00,pass_rating,,,,,,
player,201310130sea,oti,HuntJu00,rush_att,0,,,,,
player,201310130sea,oti,HuntJu00,rush_yds,0,,,,,
player,201310130sea,oti,HuntJu00,rush_td,0,,,,,
player,201310130sea,oti,HuntJu00,rush_long,0,,,,,
player,201310130sea,oti,HuntJu00,targets,1,,,,,
player,201310130sea,oti,HuntJu00,rec,1,,,,,
player,201310130sea,oti,HuntJu00,rec_yds,8,,,,,
player,201310130sea,oti,HuntJu00,rec_td,0,,,,,
player,201310130sea,oti,HuntJu00,rec_long,8,,,,,
player,201310130sea,oti,HuntJu00,fumbles,0,,,,,
player,201310130sea,oti,HuntJu00,fumbles_lost,0,,,,,
player,201310130sea,oti,BritKe00,pass_cmp,0,,,,,
player,201310130sea,oti,BritKe00,pass_att,0,,,,,
player,201310130sea,oti,BritKe00,pass_yds,0,,,,,
player,201310130sea,oti,BritKe00,pass_td,0,,,,,
player,201310130sea,oti,BritKe00,pass_int,0,,,,,
player,201310130sea,oti,BritKe00,pass_sacked,0,,,,,
player,201310130sea,oti,BritKe00,pass_sacked_yds,0,,,,,
player,201310130sea,oti,BritKe00,pass_long,0,,,,,
player,201310130sea,oti,BritKe00,pass_rating,,,,,,
player,201310130sea,oti,BritKe00,rush_att,0,,,,,
player,201310130sea,oti,BritKe00,rush_yds,0,,,,,
player,201310130sea,oti,BritKe00,rush_td,0,,,,,
player,201310130sea,oti,BritKe00,rush_long,0,,,,,
player,201310130sea,oti,BritKe00,targets,1,,,,,
player,201310130sea,oti,BritKe00,rec,1,,,,,
player,201310130sea,oti,BritKe00,rec_yds,7,,,,,
player,201310130sea,oti,BritKe00,rec_td,0,,,,,
player,201310130sea,oti,BritKe00,rec_long,7,,,,,
player,201310130sea,oti,BritKe00,fumbles,0,,,,,
player,201310130sea,oti,BritKe00,fumbles_lost,0,,,,,
player,201310130sea,oti,ReynDa00,pass_cmp,0,,,,,
player,201310130sea,oti,ReynDa00,pass_att,0,,,,,
player,201310130sea,oti,ReynDa00,pass_yds,0,,,,,
player,201310130sea,oti,ReynDa00,pass_td,0,,,,,
player,201310130sea,oti,ReynDa00,pass_int,0,,,,,
player,201310130sea,oti,ReynDa00,pass_sacked,0,,,,,
player,201310130sea,oti,ReynDa00,pass_sacked_yds,0,,,,,
player,201310130sea,oti,ReynDa00,pass_long,0,,,,,
player,201310130sea,oti,ReynDa00,pass_rating,,,,,,
player,201310130sea,oti,ReynDa00,rush_att,1,,,,,
player,201310130sea,oti,ReynDa00,rush_yds,0,,,,,
player,201310130sea,oti,ReynDa00,rush_td,0,,,,,
player,201310130sea,oti,ReynDa00,rush_long,0,,,,,
player,201310130sea,oti,ReynDa00,targets,0,,,,,
player,201310130sea,oti,ReynDa00,rec,0,,,,,
player,201310130sea,oti,ReynDa00,rec_yds,0,,,,,
player,201310130sea,oti,ReynDa00,rec_td,0,,,,,
player,201310130sea,oti,ReynDa00,rec_long,0,,,,,
player,201310130sea,oti,ReynDa00,fumbles,0,,,,,
player,201310130sea,oti,ReynDa00,fumbles_lost,0,,,,,
player,201310130sea,oti,KernBr20,pass_cmp,0,,,,,
player,201310130sea,oti,KernBr20,pass_att,0,,,,,
player,201310130sea,oti,KernBr20,pass_yds,0,,,,,
player,201310130sea,oti,KernBr20,pass_td,0,,,,,
player,201310130sea,oti,KernBr20,pass_int,0,,,,,
player,201310130sea,oti,KernBr20,pass_sacked,0,,,,,
player,201310130sea,oti,KernBr20,pass_sacked_yds,0,,,,,
player,201310130sea,oti,KernBr20,pass_long,0,,,,,
player,201310130sea,oti,KernBr20,pass_rating,,,,,,
player,201310130sea,oti,KernBr20,rush_att,1,,,,,
player,201310130sea,oti,KernBr20,rush_yds,0,,,,,
player,201310130sea,oti,KernBr20,rush_td,0,,,,,
player,201310130sea,oti,KernBr20,rush_long,0,,,,,
player,201310130sea,oti,KernBr20,targets,0,,,,,
player,201310130sea,oti,KernBr20,rec,0,,,,,
player,201310130sea,oti,KernBr20,rec_yds,0,,,,,
player,201310130sea,oti,KernBr20,rec_td,0,,,,,
player,201310130sea,oti,KernBr20,rec_long,0,,,,,
player,201310130sea,oti,KernBr20,fumbles,1,,,,,
player,201310130sea,oti,KernBr20,fumbles_lost,0,,,,,
player,201310130sea,sea,WilsRu00,pass_cmp,23,,,,,
player,201310130sea,sea,WilsRu00,pass_att,31,,,,,
player,201310130sea,sea,WilsRu00,pass_yds,257,,,,,
player,201310130sea,sea,WilsRu00,pass_td,0,,,,,
player,201310130sea,sea,WilsRu00,pass_int,0,,,,,
player,201310130sea,sea,WilsRu00,pass_sacked,2,,,,,
player,201310130sea,sea,WilsRu00,pass_sacked_yds,4,,,,,
player,201310130sea,sea,WilsRu00,pass_long,55,,,,,
player,201310130sea,sea,WilsRu00,pass_rating,98.5,,,,,
player,201310130sea,sea,WilsRu00,rush_att,10,,,,,
player,201310130sea,sea,WilsRu00,rush_yds,61,,,,,
player,201310130sea,sea,WilsRu00,rush_td,0,,,,,
player,201310130sea,sea,WilsRu00,rush_long,23,,,,,
player,201310130sea,sea,WilsRu00,targets,0,,,,,
player,201310130sea,sea,WilsRu00,rec,0,,,,,
player,201310130sea,sea,WilsRu00,rec_yds,0,,,,,
player,201310130sea,sea,WilsRu00,rec_td,0,,,,,
player,201310130sea,sea,WilsRu00,rec_long,0,,,,,
player,201310130sea,sea,WilsRu00,fumbles,0,,,,,
player,201310130sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201310130sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201310130sea,sea,LyncMa00,pass_att,0,,,,,
player,201310130sea,sea,LyncMa00,pass_yds,0,,,,,
player,201310130sea,sea,LyncMa00,pass_td,0,,,,,
player,201310130sea,sea,LyncMa00,pass_int,0,,,,,
player,201310130sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201310130sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,LyncMa00,pass_long,0,,,,,
player,201310130sea,sea,LyncMa00,pass_rating,,,,,,
player,201310130sea,sea,LyncMa00,rush_att,21,,,,,
player,201310130sea,sea,LyncMa00,rush_yds,77,,,,,
player,201310130sea,sea,LyncMa00,rush_td,2,,,,,
player,201310130sea,sea,LyncMa00,rush_long,13,,,,,
player,201310130sea,sea,LyncMa00,targets,5,,,,,
player,201310130sea,sea,LyncMa00,rec,4,,,,,
player,201310130sea,sea,LyncMa00,rec_yds,78,,,,,
player,201310130sea,sea,LyncMa00,rec_td,0,,,,,
player,201310130sea,sea,LyncMa00,rec_long,55,,,,,
player,201310130sea,sea,LyncMa00,fumbles,1,,,,,
player,201310130sea,sea,LyncMa00,fumbles_lost,0,,,,,
player,201310130sea,sea,TurbRo00,pass_cmp,0,,,,,
player,201310130sea,sea,TurbRo00,pass_att,0,,,,,
player,201310130sea,sea,TurbRo00,pass_yds,0,,,,,
player,201310130sea,sea,TurbRo00,pass_td,0,,,,,
player,201310130sea,sea,TurbRo00,pass_int,0,,,,,
player,201310130sea,sea,TurbRo00,pass_sacked,0,,,,,
player,201310130sea,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,TurbRo00,pass_long,0,,,,,
player,201310130sea,sea,TurbRo00,pass_rating,,,,,,
player,201310130sea,sea,TurbRo00,rush_att,1,,,,,
player,201310130sea,sea,TurbRo00,rush_yds,13,,,,,
player,201310130sea,sea,TurbRo00,rush_td,0,,,,,
player,201310130sea,sea,TurbRo00,rush_long,13,,,,,
player,201310130sea,sea,TurbRo00,targets,2,,,,,
player,201310130sea,sea,TurbRo00,rec,2,,,,,
player,201310130sea,sea,TurbRo00,rec_yds,23,,,,,
player,201310130sea,sea,TurbRo00,rec_td,0,,,,,
player,201310130sea,sea,TurbRo00,rec_long,19,,,,,
player,201310130sea,sea,TurbRo00,fumbles,0,,,,,
player,201310130sea,sea,TurbRo00,fumbles_lost,0,,,,,
player,201310130sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201310130sea,sea,BaldDo00,pass_att,0,,,,,
player,201310130sea,sea,BaldDo00,pass_yds,0,,,,,
player,201310130sea,sea,BaldDo00,pass_td,0,,,,,
player,201310130sea,sea,BaldDo00,pass_int,0,,,,,
player,201310130sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201310130sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,BaldDo00,pass_long,0,,,,,
player,201310130sea,sea,BaldDo00,pass_rating,,,,,,
player,201310130sea,sea,BaldDo00,rush_att,0,,,,,
player,201310130sea,sea,BaldDo00,rush_yds,0,,,,,
player,201310130sea,sea,BaldDo00,rush_td,0,,,,,
player,201310130sea,sea,BaldDo00,rush_long,0,,,,,
player,201310130sea,sea,BaldDo00,targets,4,,,,,
player,201310130sea,sea,BaldDo00,rec,4,,,,,
player,201310130sea,sea,BaldDo00,rec_yds,48,,,,,
player,201310130sea,sea,BaldDo00,rec_td,0,,,,,
player,201310130sea,sea,BaldDo00,rec_long,28,,,,,
player,201310130sea,sea,BaldDo00,fumbles,0,,,,,
player,201310130sea,sea,BaldDo00,fumbles_lost,0,,,,,
player,201310130sea,sea,RiceSi01,pass_cmp,0,,,,,
player,201310130sea,sea,RiceSi01,pass_att,0,,,,,
player,201310130sea,sea,RiceSi01,pass_yds,0,,,,,
player,201310130sea,sea,RiceSi01,pass_td,0,,,,,
player,201310130sea,sea,RiceSi01,pass_int,0,,,,,
player,201310130sea,sea,RiceSi01,pass_sacked,0,,,,,
player,201310130sea,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201310130sea,sea,RiceSi01,pass_long,0,,,,,
player,201310130sea,sea,RiceSi01,pass_rating,,,,,,
player,201310130sea,sea,RiceSi01,rush_att,0,,,,,
player,201310130sea,sea,RiceSi01,rush_yds,0,,,,,
player,201310130sea,sea,RiceSi01,rush_td,0,,,,,
player,201310130sea,sea,RiceSi01,rush_long,0,,,,,
player,201310130sea,sea,RiceSi01,targets,4,,,,,
player,201310130sea,sea,RiceSi01,rec,2,,,,,
player,201310130sea,sea,RiceSi01,rec_yds,35,,,,,
player,201310130sea,sea,RiceSi01,rec_td,0,,,,,
player,201310130sea,sea,RiceSi01,rec_long,24,,,,,
player,201310130sea,sea,RiceSi01,fumbles,1,,,,,
player,201310130sea,sea,RiceSi01,fumbles_lost,1,,,,,
player,201310130sea,sea,TateGo00,pass_cmp,0,,,,,
player,201310130sea,sea,TateGo00,pass_att,0,,,,,
player,201310130sea,sea,TateGo00,pass_yds,0,,,,,
player,201310130sea,sea,TateGo00,pass_td,0,,,,,
player,201310130sea,sea,TateGo00,pass_int,0,,,,,
player,201310130sea,sea,TateGo00,pass_sacked,0,,,,,
player,201310130sea,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,TateGo00,pass_long,0,,,,,
player,201310130sea,sea,TateGo00,pass_rating,,,,,,
player,201310130sea,sea,TateGo00,rush_att,0,,,,,
player,201310130sea,sea,TateGo00,rush_yds,0,,,,,
player,201310130sea,sea,TateGo00,rush_td,0,,,,,
player,201310130sea,sea,TateGo00,rush_long,0,,,,,
player,201310130sea,sea,TateGo00,targets,7,,,,,
player,201310130sea,sea,TateGo00,rec,5,,,,,
player,201310130sea,sea,TateGo00,rec_yds,33,,,,,
player,201310130sea,sea,TateGo00,rec_td,0,,,,,
player,201310130sea,sea,TateGo00,rec_long,12,,,,,
player,201310130sea,sea,TateGo00,fumbles,0,,,,,
player,201310130sea,sea,TateGo00,fumbles_lost,0,,,,,
player,201310130sea,sea,KearJe01,pass_cmp,0,,,,,
player,201310130sea,sea,KearJe01,pass_att,0,,,,,
player,201310130sea,sea,KearJe01,pass_yds,0,,,,,
player,201310130sea,sea,KearJe01,pass_td,0,,,,,
player,201310130sea,sea,KearJe01,pass_int,0,,,,,
player,201310130sea,sea,KearJe01,pass_sacked,0,,,,,
player,201310130sea,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201310130sea,sea,KearJe01,pass_long,0,,,,,
player,201310130sea,sea,KearJe01,pass_rating,,,,,,
player,201310130sea,sea,KearJe01,rush_att,0,,,,,
player,201310130sea,sea,KearJe01,rush_yds,0,,,,,
player,201310130sea,sea,KearJe01,rush_td,0,,,,,
player,201310130sea,sea,KearJe01,rush_long,0,,,,,
player,201310130sea,sea,KearJe01,targets,3,,,,,
player,201310130sea,sea,KearJe01,rec,3,,,,,
player,201310130sea,sea,KearJe01,rec_yds,17,,,,,
player,201310130sea,sea,KearJe01,rec_td,0,,,,,
player,201310130sea,sea,KearJe01,rec_long,11,,,,,
player,201310130sea,sea,KearJe01,fumbles,0,,,,,
player,201310130sea,sea,KearJe01,fumbles_lost,0,,,,,
player,201310130sea,sea,WillLu00,pass_cmp,0,,,,,
player,201310130sea,sea,WillLu00,pass_att,0,,,,,
player,201310130sea,sea,WillLu00,pass_yds,0,,,,,
player,201310130sea,sea,WillLu00,pass_td,0,,,,,
player,201310130sea,sea,WillLu00,pass_int,0,,,,,
player,201310130sea,sea,WillLu00,pass_sacked,0,,,,,
player,201310130sea,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,WillLu00,pass_long,0,,,,,
player,201310130sea,sea,WillLu00,pass_rating,,,,,,
player,201310130sea,sea,WillLu00,rush_att,0,,,,,
player,201310130sea,sea,WillLu00,rush_yds,0,,,,,
player,201310130sea,sea,WillLu00,rush_td,0,,,,,
player,201310130sea,sea,WillLu00,rush_long,0,,,,,
player,201310130sea,sea,WillLu00,targets,3,,,,,
player,201310130sea,sea,WillLu00,rec,2,,,,,
player,201310130sea,sea,WillLu00,rec_yds,17,,,,,
player,201310130sea,sea,WillLu00,rec_td,0,,,,,
player,201310130sea,sea,WillLu00,rec_long,14,,,,,
player,201310130sea,sea,WillLu00,fumbles,0,,,,,
player,201310130sea,sea,WillLu00,fumbles_lost,0,,,,,
player,201310130sea,sea,ColeDe00,pass_cmp,0,,,,,
player,201310130sea,sea,ColeDe00,pass_att,0,,,,,
player,201310130sea,sea,ColeDe00,pass_yds,0,,,,,
player,201310130sea,sea,ColeDe00,pass_td,0,,,,,
player,201310130sea,sea,ColeDe00,pass_int,0,,,,,
player,201310130sea,sea,ColeDe00,pass_sacked,0,,,,,
player,201310130sea,sea,ColeDe00,pass_sacked_yds,0,,,,,
player,201310130sea,sea,ColeDe00,pass_long,0,,,,,
player,201310130sea,sea,ColeDe00,pass_rating,,,,,,
player,201310130sea,sea,ColeDe00,rush_att,0,,,,,
player,201310130sea,sea,ColeDe00,rush_yds,0,,,,,
player,201310130sea,sea,ColeDe00,rush_td,0,,,,,
player,201310130sea,sea,ColeDe00,rush_long,0,,,,,
player,201310130sea,sea,ColeDe00,targets,1,,,,,
player,201310130sea,sea,ColeDe00,rec,1,,,,,
player,201310130sea,sea,ColeDe00,rec_yds,6,,,,,
player,201310130sea,sea,ColeDe00,rec_td,0,,,,,
player,201310130sea,sea,ColeDe00,rec_long,6,,,,,
player,201310130sea,sea,ColeDe00,fumbles,1,,,,,
player,201310130sea,sea,ColeDe00,fumbles_lost,0,,,,,
player,201310130sea,sea,DaviKe01,pass_cmp,0,,,,,
player,201310130sea,sea,DaviKe01,pass_att,0,,,,,
player,201310130sea,sea,DaviKe01,pass_yds,0,,,,,
player,201310130sea,sea,DaviKe01,pass_td,0,,,,,
player,201310130sea,sea,DaviKe01,pass_int,0,,,,,
player,201310130sea,sea,DaviKe01,pass_sacked,0,,,,,
player,201310130sea,sea,DaviKe01,pass_sacked_yds,0,,,,,
player,201310130sea,sea,DaviKe01,pass_long,0,,,,,
player,201310130sea,sea,DaviKe01,pass_rating,,,,,,
player,201310130sea,sea,DaviKe01,rush_att,0,,,,,
player,201310130sea,sea,DaviKe01,rush_yds,0,,,,,
player,201310130sea,sea,DaviKe01,rush_td,0,,,,,
player,201310130sea,sea,DaviKe01,rush_long,0,,,,,
player,201310130sea,sea,DaviKe01,targets,1,,,,,
player,201310130sea,sea,DaviKe01,rec,0,,,,,
player,201310130sea,sea,DaviKe01,rec_yds,0,,,,,
player,201310130sea,sea,DaviKe01,rec_td,0,,,,,
player,201310130sea,sea,DaviKe01,rec_long,0,,,,,
player,201310130sea,sea,DaviKe01,fumbles,0,,,,,
player,201310130sea,sea,DaviKe01,fumbles_lost,0,,,,,
player,201310130sea,sea,MaraCh99,pass_cmp,0,,,,,
player,201310130sea,sea,MaraCh99,pass_att,0,,,,,
player,201310130sea,sea,MaraCh99,pass_yds,0,,,,,
player,201310130sea,sea,MaraCh99,pass_td,0,,,,,
player,201310130sea,sea,MaraCh99,pass_int,0,,,,,
player,201310130sea,sea,MaraCh99,pass_sacked,0,,,,,
player,201310130sea,sea,MaraCh99,pass_sacked_yds,0,,,,,
player,201310130sea,sea,MaraCh99,pass_long,0,,,,,
player,201310130sea,sea,MaraCh99,pass_rating,,,,,,
player,201310130sea,sea,MaraCh99,rush_att,1,,,,,
player,201310130sea,sea,MaraCh99,rush_yds,0,,,,,
player,201310130sea,sea,MaraCh99,rush_td,0,,,,,
player,201310130sea,sea,MaraCh99,rush_long,0,,,,,
player,201310130sea,sea,MaraCh99,targets,0,,,,,
player,201310130sea,sea,MaraCh99,rec,0,,,,,
player,201310130sea,sea,MaraCh99,rec_yds,0,,,,,
player,201310130sea,sea,MaraCh99,rec_td,0,,,,,
player,201310130sea,sea,MaraCh99,rec_long,0,,,,,
player,201310130sea,sea,MaraCh99,fumbles,2,,,,,
player,201310130sea,sea,MaraCh99,fumbles_lost,1,,,,,
player,201310130sea,oti,FokoMo99,def_int,0,,,,,
player,201310130sea,oti,FokoMo99,def_int_yds,0,,,,,
player,201310130sea,oti,FokoMo99,def_int_td,0,,,,,
player,201310130sea,oti,FokoMo99,def_int_long,0,,,,,
player,201310130sea,oti,FokoMo99,pass_defended,0,,,,,
player,201310130sea,oti,FokoMo99,sacks,1.0,,,,,
player,201310130sea,oti,FokoMo99,tackles_combined,8,,,,,
player,201310130sea,oti,FokoMo99,tackles_solo,5,,,,,
player,201310130sea,oti,FokoMo99,tackles_assists,3,,,,,
player,201310130sea,oti,FokoMo99,tackles_loss,0,,,,,
player,201310130sea,oti,FokoMo99,qb_hits,1,,,,,
player,201310130sea,oti,FokoMo99,fumbles_rec,0,,,,,
player,201310130sea,oti,FokoMo99,fumbles_rec_yds,0,,,,,
player,201310130sea,oti,FokoMo99,fumbles_rec_td,0,,,,,
player,201310130sea,oti,FokoMo99,fumbles_forced,2,,,,,
