game,2013,13,20131201,201312010htx,nwe,"New England Patriots",34,htx,"Houston Texans",31
player,201312010htx,nwe,VereSh00,pass_long,0,,,,,
player,201312010htx,nwe,VereSh00,pass_rating,,,,,,
player,201312010htx,nwe,VereSh00,rush_att,10,,,,,
player,201312010htx,nwe,VereSh00,rush_yds,38,,,,,
player,201312010htx,nwe,VereSh00,rush_td,0,,,,,
player,201312010htx,nwe,VereSh00,rush_long,14,,,,,
player,201312010htx,nwe,VereSh00,targets,6,,,,,
player,201312010htx,nwe,VereSh00,rec,5,,,,,
player,201312010htx,nwe,VereSh00,rec_yds,37,,,,,
player,201312010htx,nwe,VereSh00,rec_td,1,,,,,
player,201312010htx,nwe,VereSh00,rec_long,12,,,,,
player,201312010htx,nwe,VereSh00,fumbles,0,,,,,
player,201312010htx,nwe,VereSh00,fumbles_lost,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_cmp,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_att,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_yds,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_td,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_int,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_sacked,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_long,0,,,,,
player,201312010htx,nwe,DeveJa00,pass_rating,,,,,,
player,201312010htx,nwe,DeveJa00,rush_att,2,,,,,
player,201312010htx,nwe,DeveJa00,rush_yds,4,,,,,
player,201312010htx,nwe,DeveJa00,rush_td,1,,,,,
player,201312010htx,nwe,DeveJa00,rush_long,3,,,,,
player,201312010htx,nwe,DeveJa00,targets,1,,,,,
player,201312010htx,nwe,DeveJa00,rec,1,,,,,
player,201312010htx,nwe,DeveJa00,rec_yds,12,,,,,
player,201312010htx,nwe,DeveJa00,rec_td,0,,,,,
player,201312010htx,nwe,DeveJa00,rec_long,12,,,,,
player,201312010htx,nwe,DeveJa00,fumbles,0,,,,,
player,201312010htx,nwe,DeveJa00,fumbles_lost,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_cmp,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_att,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_yds,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_td,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_int,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_sacked,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_long,0,,,,,
player,201312010htx,nwe,BoldBr00,pass_rating,,,,,,
player,201312010htx,nwe,BoldBr00,rush_att,3,,,,,
player,201312010htx,nwe,BoldBr00,rush_yds,2,,,,,
player,201312010htx,nwe,BoldBr00,rush_td,0,,,,,
player,201312010htx,nwe,BoldBr00,rush_long,1,,,,,
player,201312010htx,nwe,BoldBr00,targets,1,,,,,
player,201312010htx,nwe,BoldBr00,rec,1,,,,,
player,201312010htx,nwe,BoldBr00,rec_yds,18,,,,,
player,201312010htx,nwe,BoldBr00,rec_td,0,,,,,
player,201312010htx,nwe,BoldBr00,rec_long,18,,,,,
player,201312010htx,nwe,BoldBr00,fumbles,0,,,,,
player,201312010htx,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201312010htx,nwe,GronRo00,pass_cmp,0,,,,,
player,201312010htx,nwe,GronRo00,pass_att,0,,,,,
player,201312010htx,nwe,GronRo00,pass_yds,0,,,,,
player,201312010htx,nwe,GronRo00,pass_td,0,,,,,
player,201312010htx,nwe,GronRo00,pass_int,0,,,,,
player,201312010htx,nwe,GronRo00,pass_sacked,0,,,,,
player,201312010htx,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,GronRo00,pass_long,0,,,,,
player,201312010htx,nwe,GronRo00,pass_rating,,,,,,
player,201312010htx,nwe,GronRo00,rush_att,0,,,,,
player,201312010htx,nwe,GronRo00,rush_yds,0,,,,,
player,201312010htx,nwe,GronRo00,rush_td,0,,,,,
player,201312010htx,nwe,GronRo00,rush_long,0,,,,,
player,201312010htx,nwe,GronRo00,targets,12,,,,,
player,201312010htx,nwe,GronRo00,rec,6,,,,,
player,201312010htx,nwe,GronRo00,rec_yds,127,,,,,
player,201312010htx,nwe,GronRo00,rec_td,1,,,,,
player,201312010htx,nwe,GronRo00,rec_long,50,,,,,
player,201312010htx,nwe,GronRo00,fumbles,0,,,,,
player,201312010htx,nwe,GronRo00,fumbles_lost,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_cmp,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_att,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_yds,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_td,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_int,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_sacked,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_long,0,,,,,
player,201312010htx,nwe,EdelJu00,pass_rating,,,,,,
player,201312010htx,nwe,EdelJu00,rush_att,0,,,,,
player,201312010htx,nwe,EdelJu00,rush_yds,0,,,,,
player,201312010htx,nwe,EdelJu00,rush_td,0,,,,,
player,201312010htx,nwe,EdelJu00,rush_long,0,,,,,
player,201312010htx,nwe,EdelJu00,targets,12,,,,,
player,201312010htx,nwe,EdelJu00,rec,9,,,,,
player,201312010htx,nwe,EdelJu00,rec_yds,101,,,,,
player,201312010htx,nwe,EdelJu00,rec_td,0,,,,,
player,201312010htx,nwe,EdelJu00,rec_long,25,,,,,
player,201312010htx,nwe,EdelJu00,fumbles,0,,,,,
player,201312010htx,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_cmp,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_att,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_yds,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_td,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_int,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_sacked,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_long,0,,,,,
player,201312010htx,nwe,AmenDa00,pass_rating,,,,,,
player,201312010htx,nwe,AmenDa00,rush_att,0,,,,,
player,201312010htx,nwe,AmenDa00,rush_yds,0,,,,,
player,201312010htx,nwe,AmenDa00,rush_td,0,,,,,
player,201312010htx,nwe,AmenDa00,rush_long,0,,,,,
player,201312010htx,nwe,AmenDa00,targets,5,,,,,
player,201312010htx,nwe,AmenDa00,rec,5,,,,,
player,201312010htx,nwe,AmenDa00,rec_yds,54,,,,,
player,201312010htx,nwe,AmenDa00,rec_td,0,,,,,
player,201312010htx,nwe,AmenDa00,rec_long,17,,,,,
player,201312010htx,nwe,AmenDa00,fumbles,0,,,,,
player,201312010htx,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_cmp,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_att,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_yds,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_td,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_int,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_sacked,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_long,0,,,,,
player,201312010htx,nwe,ThomKe02,pass_rating,,,,,,
player,201312010htx,nwe,ThomKe02,rush_att,0,,,,,
player,201312010htx,nwe,ThomKe02,rush_yds,0,,,,,
player,201312010htx,nwe,ThomKe02,rush_td,0,,,,,
player,201312010htx,nwe,ThomKe02,rush_long,0,,,,,
player,201312010htx,nwe,ThomKe02,targets,3,,,,,
player,201312010htx,nwe,ThomKe02,rec,1,,,,,
player,201312010htx,nwe,ThomKe02,rec_yds,16,,,,,
player,201312010htx,nwe,ThomKe02,rec_td,0,,,,,
player,201312010htx,nwe,ThomKe02,rec_long,16,,,,,
player,201312010htx,nwe,ThomKe02,fumbles,0,,,,,
player,201312010htx,nwe,ThomKe02,fumbles_lost,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_cmp,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_att,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_yds,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_td,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_int,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_sacked,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_sacked_yds,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_long,0,,,,,
player,201312010htx,nwe,BoycJo00,pass_rating,,,,,,
player,201312010htx,nwe,BoycJo00,rush_att,0,,,,,
player,201312010htx,nwe,BoycJo00,rush_yds,0,,,,,
player,201312010htx,nwe,BoycJo00,rush_td,0,,,,,
player,201312010htx,nwe,BoycJo00,rush_long,0,,,,,
player,201312010htx,nwe,BoycJo00,targets,1,,,,,
player,201312010htx,nwe,BoycJo00,rec,1,,,,,
player,201312010htx,nwe,BoycJo00,rec_yds,6,,,,,
player,201312010htx,nwe,BoycJo00,rec_td,0,,,,,
player,201312010htx,nwe,BoycJo00,rec_long,6,,,,,
player,201312010htx,nwe,BoycJo00,fumbles,0,,,,,
player,201312010htx,nwe,BoycJo00,fumbles_lost,0,,,,,
player,201312010htx,htx,KeenCa00,pass_cmp,15,,,,,
player,201312010htx,htx,KeenCa00,pass_att,30,,,,,
player,201312010htx,htx,KeenCa00,pass_yds,272,,,,,
player,201312010htx,htx,KeenCa00,pass_td,0,,,,,
player,201312010htx,htx,KeenCa00,pass_int,1,,,,,
player,201312010htx,htx,KeenCa00,pass_sacked,1,,,,,
player,201312010htx,htx,KeenCa00,pass_sacked_yds,8,,,,,
player,201312010htx,htx,KeenCa00,pass_long,66,,,,,
player,201312010htx,htx,KeenCa00,pass_rating,67.6,,,,,
player,201312010htx,htx,KeenCa00,rush_att,3,,,,,
player,201312010htx,htx,KeenCa00,rush_yds,6,,,,,
player,201312010htx,htx,KeenCa00,rush_td,1,,,,,
player,201312010htx,htx,KeenCa00,rush_long,5,,,,,
player,201312010htx,htx,KeenCa00,targets,0,,,,,
player,201312010htx,htx,KeenCa00,rec,0,,,,,
player,201312010htx,htx,KeenCa00,rec_yds,0,,,,,
player,201312010htx,htx,KeenCa00,rec_td,0,,,,,
player,201312010htx,htx,KeenCa00,rec_long,0,,,,,
player,201312010htx,htx,KeenCa00,fumbles,0,,,,,
player,201312010htx,htx,KeenCa00,fumbles_lost,0,,,,,
player,201312010htx,htx,TateBe00,pass_cmp,0,,,,,
player,201312010htx,htx,TateBe00,pass_att,0,,,,,
player,201312010htx,htx,TateBe00,pass_yds,0,,,,,
player,201312010htx,htx,TateBe00,pass_td,0,,,,,
player,201312010htx,htx,TateBe00,pass_int,0,,,,,
player,201312010htx,htx,TateBe00,pass_sacked,0,,,,,
player,201312010htx,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201312010htx,htx,TateBe00,pass_long,0,,,,,
player,201312010htx,htx,TateBe00,pass_rating,,,,,,
player,201312010htx,htx,TateBe00,rush_att,22,,,,,
player,201312010htx,htx,TateBe00,rush_yds,102,,,,,
player,201312010htx,htx,TateBe00,rush_td,3,,,,,
player,201312010htx,htx,TateBe00,rush_long,20,,,,,
player,201312010htx,htx,TateBe00,targets,0,,,,,
player,201312010htx,htx,TateBe00,rec,0,,,,,
player,201312010htx,htx,TateBe00,rec_yds,0,,,,,
player,201312010htx,htx,TateBe00,rec_td,0,,,,,
player,201312010htx,htx,TateBe00,rec_long,0,,,,,
player,201312010htx,htx,TateBe00,fumbles,0,,,,,
player,201312010htx,htx,TateBe00,fumbles_lost,0,,,,,
player,201312010htx,htx,JohnDe02,pass_cmp,0,,,,,
player,201312010htx,htx,JohnDe02,pass_att,0,,,,,
player,201312010htx,htx,JohnDe02,pass_yds,0,,,,,
player,201312010htx,htx,JohnDe02,pass_td,0,,,,,
player,201312010htx,htx,JohnDe02,pass_int,0,,,,,
player,201312010htx,htx,JohnDe02,pass_sacked,0,,,,,
player,201312010htx,htx,JohnDe02,pass_sacked_yds,0,,,,,
player,201312010htx,htx,JohnDe02,pass_long,0,,,,,
player,201312010htx,htx,JohnDe02,pass_rating,,,,,,
player,201312010htx,htx,JohnDe02,rush_att,3,,,,,
player,201312010htx,htx,JohnDe02,rush_yds,13,,,,,
player,201312010htx,htx,JohnDe02,rush_td,0,,,,,
player,201312010htx,htx,JohnDe02,rush_long,9,,,,,
player,201312010htx,htx,JohnDe02,targets,2,,,,,
player,201312010htx,htx,JohnDe02,rec,1,,,,,
player,201312010htx,htx,JohnDe02,rec_yds,11,,,,,
player,201312010htx,htx,JohnDe02,rec_td,0,,,,,
player,201312010htx,htx,JohnDe02,rec_long,11,,,,,
player,201312010htx,htx,JohnDe02,fumbles,0,,,,,
player,201312010htx,htx,JohnDe02,fumbles_lost,0,,,,,
player,201312010htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201312010htx,htx,JohnAn02,pass_att,0,,,,,
player,201312010htx,htx,JohnAn02,pass_yds,0,,,,,
player,201312010htx,htx,JohnAn02,pass_td,0,,,,,
player,201312010htx,htx,JohnAn02,pass_int,0,,,,,
player,201312010htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201312010htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201312010htx,htx,JohnAn02,pass_long,0,,,,,
player,201312010htx,htx,JohnAn02,pass_rating,,,,,,
player,201312010htx,htx,JohnAn02,rush_att,0,,,,,
player,201312010htx,htx,JohnAn02,rush_yds,0,,,,,
player,201312010htx,htx,JohnAn02,rush_td,0,,,,,
player,201312010htx,htx,JohnAn02,rush_long,0,,,,,
player,201312010htx,htx,JohnAn02,targets,9,,,,,
player,201312010htx,htx,JohnAn02,rec,8,,,,,
player,201312010htx,htx,JohnAn02,rec_yds,121,,,,,
player,201312010htx,htx,JohnAn02,rec_td,0,,,,,
player,201312010htx,htx,JohnAn02,rec_long,29,,,,,
player,201312010htx,htx,JohnAn02,fumbles,0,,,,,
player,201312010htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201312010htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201312010htx,htx,HopkDe00,pass_att,0,,,,,
player,201312010htx,htx,HopkDe00,pass_yds,0,,,,,
player,201312010htx,htx,HopkDe00,pass_td,0,,,,,
player,201312010htx,htx,HopkDe00,pass_int,0,,,,,
player,201312010htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201312010htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201312010htx,htx,HopkDe00,pass_long,0,,,,,
player,201312010htx,htx,HopkDe00,pass_rating,,,,,,
player,201312010htx,htx,HopkDe00,rush_att,0,,,,,
player,201312010htx,htx,HopkDe00,rush_yds,0,,,,,
player,201312010htx,htx,HopkDe00,rush_td,0,,,,,
player,201312010htx,htx,HopkDe00,rush_long,0,,,,,
player,201312010htx,htx,HopkDe00,targets,5,,,,,
player,201312010htx,htx,HopkDe00,rec,2,,,,,
player,201312010htx,htx,HopkDe00,rec_yds,77,,,,,
player,201312010htx,htx,HopkDe00,rec_td,0,,,,,
player,201312010htx,htx,HopkDe00,rec_long,66,,,,,
player,201312010htx,htx,HopkDe00,fumbles,0,,,,,
player,201312010htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201312010htx,htx,GrahGa00,pass_cmp,0,,,,,
player,201312010htx,htx,GrahGa00,pass_att,0,,,,,
player,201312010htx,htx,GrahGa00,pass_yds,0,,,,,
player,201312010htx,htx,GrahGa00,pass_td,0,,,,,
player,201312010htx,htx,GrahGa00,pass_int,0,,,,,
player,201312010htx,htx,GrahGa00,pass_sacked,0,,,,,
player,201312010htx,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201312010htx,htx,GrahGa00,pass_long,0,,,,,
player,201312010htx,htx,GrahGa00,pass_rating,,,,,,
player,201312010htx,htx,GrahGa00,rush_att,0,,,,,
player,201312010htx,htx,GrahGa00,rush_yds,0,,,,,
player,201312010htx,htx,GrahGa00,rush_td,0,,,,,
player,201312010htx,htx,GrahGa00,rush_long,0,,,,,
player,201312010htx,htx,GrahGa00,targets,11,,,,,
player,201312010htx,htx,GrahGa00,rec,3,,,,,
player,201312010htx,htx,GrahGa00,rec_yds,36,,,,,
player,201312010htx,htx,GrahGa00,rec_td,0,,,,,
player,201312010htx,htx,GrahGa00,rec_long,17,,,,,
player,201312010htx,htx,GrahGa00,fumbles,0,,,,,
player,201312010htx,htx,GrahGa00,fumbles_lost,0,,,,,
player,201312010htx,htx,MartKe01,pass_cmp,0,,,,,
player,201312010htx,htx,MartKe01,pass_att,0,,,,,
player,201312010htx,htx,MartKe01,pass_yds,0,,,,,
player,201312010htx,htx,MartKe01,pass_td,0,,,,,
player,201312010htx,htx,MartKe01,pass_int,0,,,,,
player,201312010htx,htx,MartKe01,pass_sacked,0,,,,,
player,201312010htx,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201312010htx,htx,MartKe01,pass_long,0,,,,,
player,201312010htx,htx,MartKe01,pass_rating,,,,,,
player,201312010htx,htx,MartKe01,rush_att,0,,,,,
player,201312010htx,htx,MartKe01,rush_yds,0,,,,,
player,201312010htx,htx,MartKe01,rush_td,0,,,,,
player,201312010htx,htx,MartKe01,rush_long,0,,,,,
player,201312010htx,htx,MartKe01,targets,1,,,,,
player,201312010htx,htx,MartKe01,rec,1,,,,,
player,201312010htx,htx,MartKe01,rec_yds,27,,,,,
player,201312010htx,htx,MartKe01,rec_td,0,,,,,
player,201312010htx,htx,MartKe01,rec_long,27,,,,,
player,201312010htx,htx,MartKe01,fumbles,0,,,,,
player,201312010htx,htx,MartKe01,fumbles_lost,0,,,,,
player,201312010htx,nwe,RyanLo00,def_int,1,,,,,
player,201312010htx,nwe,RyanLo00,def_int_yds,2,,,,,
player,201312010htx,nwe,RyanLo00,def_int_td,0,,,,,
player,201312010htx,nwe,RyanLo00,def_int_long,2,,,,,
player,201312010htx,nwe,RyanLo00,pass_defended,2,,,,,
player,201312010htx,nwe,RyanLo00,sacks,0.0,,,,,
player,201312010htx,nwe,RyanLo00,tackles_combined,3,,,,,
player,201312010htx,nwe,RyanLo00,tackles_solo,3,,,,,
player,201312010htx,nwe,RyanLo00,tackles_assists,0,,,,,
player,201312010htx,nwe,RyanLo00,tackles_loss,0,,,,,
player,201312010htx,nwe,RyanLo00,qb_hits,0,,,,,
player,201312010htx,nwe,RyanLo00,fumbles_rec,0,,,,,
player,201312010htx,nwe,RyanLo00,fumbles_rec_yds,0,,,,,
player,201312010htx,nwe,RyanLo00,fumbles_rec_td,0,,,,,
player,201312010htx,nwe,RyanLo00,fumbles_forced,0,,,,,
player,201312010htx,nwe,SopoIs20,def_int,0,,,,,
player,201312010htx,nwe,SopoIs20,def_int_yds,0,,,,,
player,201312010htx,nwe,SopoIs20,def_int_td,0,,,,,
player,201312010htx,nwe,SopoIs20,def_int_long,0,,,,,
player,201312010htx,nwe,SopoIs20,pass_defended,0,,,,,
player,201312010htx,nwe,SopoIs20,sacks,1.0,,,,,
player,201312010htx,nwe,SopoIs20,tackles_combined,1,,,,,
player,201312010htx,nwe,SopoIs20,tackles_solo,1,,,,,
player,201312010htx,nwe,SopoIs20,tackles_assists,0,,,,,
player,201312010htx,nwe,SopoIs20,tackles_loss,1,,,,,
player,201312010htx,nwe,SopoIs20,qb_hits,1,,,,,
player,201312010htx,nwe,SopoIs20,fumbles_rec,0,,,,,
player,201312010htx,nwe,SopoIs20,fumbles_rec_yds,0,,,,,
player,201312010htx,nwe,SopoIs20,fumbles_rec_td,0,,,,,
player,201312010htx,nwe,SopoIs20,fumbles_forced,0,,,,,
player,201312010htx,nwe,HighDo01,def_int,0,,,,,
player,201312010htx,nwe,HighDo01,def_int_yds,0,,,,,
player,201312010htx,nwe,HighDo01,def_int_td,0,,,,,
player,201312010htx,nwe,HighDo01,def_int_long,0,,,,,
player,201312010htx,nwe,HighDo01,pass_defended,1,,,,,
player,201312010htx,nwe,HighDo01,sacks,0.0,,,,,
player,201312010htx,nwe,HighDo01,tackles_combined,7,,,,,
player,201312010htx,nwe,HighDo01,tackles_solo,5,,,,,
player,201312010htx,nwe,HighDo01,tackles_assists,2,,,,,
player,201312010htx,nwe,HighDo01,tackles_loss,1,,,,,
player,201312010htx,nwe,HighDo01,qb_hits,0,,,,,
player,201312010htx,nwe,HighDo01,fumbles_rec,0,,,,,
player,201312010htx,nwe,HighDo01,fumbles_rec_yds,0,,,,,
player,201312010htx,nwe,HighDo01,fumbles_rec_td,0,,,,,
player,201312010htx,nwe,HighDo01,fumbles_forced,0,,,,,
player,201312010htx,nwe,McCoDe99,def_int,0,,,,,
player,201312010htx,nwe,McCoDe99,def_int_yds,0,,,,,
player,201312010htx,nwe,McCoDe99,def_int_td,0,,,,,
player,201312010htx,nwe,McCoDe99,def_int_long,0,,,,,
player,201312010htx,nwe,McCoDe99,pass_defended,0,,,,,
player,201312010htx,nwe,McCoDe99,sacks,0.0,,,,,
player,201312010htx,nwe,McCoDe99,tackles_combined,5,,,,,
player,201312010htx,nwe,McCoDe99,tackles_solo,5,,,,,
player,201312010htx,nwe,McCoDe99,tackles_assists,0,,,,,
player,201312010htx,nwe,McCoDe99,tackles_loss,0,,,,,
player,201312010htx,nwe,McCoDe99,qb_hits,0,,,,,
player,201312010htx,nwe,McCoDe99,fumbles_rec,0,,,,,
player,201312010htx,nwe,McCoDe99,fumbles_rec_yds,0,,,,,
player,201312010htx,nwe,McCoDe99,fumbles_rec_td,0,,,,,
player,201312010htx,nwe,McCoDe99,fumbles_forced,0,,,,,
player,201312010htx,nwe,SpikBr99,def_int,0,,,,,
player,201312010htx,nwe,SpikBr99,def_int_yds,0,,,,,
player,201312010htx,nwe,SpikBr99,def_int_td,0,,,,,
player,201312010htx,nwe,SpikBr99,def_int_long,0,,,,,
player,201312010htx,nwe,SpikBr99,pass_defended,1,,,,,
player,201312010htx,nwe,SpikBr99,sacks,0.0,,,,,
player,201312010htx,nwe,SpikBr99,tackles_combined,5,,,,,
player,201312010htx,nwe,SpikBr99,tackles_solo,4,,,,,
player,201312010htx,nwe,SpikBr99,tackles_assists,1,,,,,
player,201312010htx,nwe,SpikBr99,tackles_loss,0,,,,,
player,201312010htx,nwe,SpikBr99,qb_hits,0,,,,,
player,201312010htx,nwe,SpikBr99,fumbles_rec,0,,,,,
player,201312010htx,nwe,SpikBr99,fumbles_rec_yds,0,,,,,
player,201312010htx,nwe,SpikBr99,fumbles_rec_td,0,,,,,
player,201312010htx,nwe,SpikBr99,fumbles_forced,0,,,,,
player,201312010htx,nwe,JoneCh03,def_int,0,,,,,
player,201312010htx,nwe,JoneCh03,def_int_yds,0,,,,,
player,201312010htx,nwe,JoneCh03,def_int_td,0,,,,,
player,201312010htx,nwe,JoneCh03,def_int_long,0,,,,,
player,201312010htx,nwe,JoneCh03,pass_defended,0,,,,,
player,201312010htx,nwe,JoneCh03,sacks,0.0,,,,,
