game,2013,13,20131128,201311280dal,rai,"Oakland Raiders",24,dal,"Dallas Cowboys",31
player,201311280dal,rai,McFaDa00,pass_int,0,,,,,
player,201311280dal,rai,McFaDa00,pass_sacked,,,,,,
player,201311280dal,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,McFaDa00,pass_long,0,,,,,
player,201311280dal,rai,McFaDa00,pass_rating,,,,,,
player,201311280dal,rai,McFaDa00,rush_att,5,,,,,
player,201311280dal,rai,McFaDa00,rush_yds,13,,,,,
player,201311280dal,rai,McFaDa00,rush_td,0,,,,,
player,201311280dal,rai,McFaDa00,rush_long,6,,,,,
player,201311280dal,rai,McFaDa00,targets,1,,,,,
player,201311280dal,rai,McFaDa00,rec,0,,,,,
player,201311280dal,rai,McFaDa00,rec_yds,0,,,,,
player,201311280dal,rai,McFaDa00,rec_td,0,,,,,
player,201311280dal,rai,McFaDa00,rec_long,0,,,,,
player,201311280dal,rai,McFaDa00,fumbles,0,,,,,
player,201311280dal,rai,McFaDa00,fumbles_lost,0,,,,,
player,201311280dal,rai,FordJa01,pass_cmp,0,,,,,
player,201311280dal,rai,FordJa01,pass_att,0,,,,,
player,201311280dal,rai,FordJa01,pass_yds,0,,,,,
player,201311280dal,rai,FordJa01,pass_td,0,,,,,
player,201311280dal,rai,FordJa01,pass_int,0,,,,,
player,201311280dal,rai,FordJa01,pass_sacked,,,,,,
player,201311280dal,rai,FordJa01,pass_sacked_yds,0,,,,,
player,201311280dal,rai,FordJa01,pass_long,0,,,,,
player,201311280dal,rai,FordJa01,pass_rating,,,,,,
player,201311280dal,rai,FordJa01,rush_att,1,,,,,
player,201311280dal,rai,FordJa01,rush_yds,3,,,,,
player,201311280dal,rai,FordJa01,rush_td,0,,,,,
player,201311280dal,rai,FordJa01,rush_long,3,,,,,
player,201311280dal,rai,FordJa01,targets,5,,,,,
player,201311280dal,rai,FordJa01,rec,3,,,,,
player,201311280dal,rai,FordJa01,rec_yds,19,,,,,
player,201311280dal,rai,FordJa01,rec_td,0,,,,,
player,201311280dal,rai,FordJa01,rec_long,11,,,,,
player,201311280dal,rai,FordJa01,fumbles,0,,,,,
player,201311280dal,rai,FordJa01,fumbles_lost,0,,,,,
player,201311280dal,rai,HolmAn00,pass_cmp,0,,,,,
player,201311280dal,rai,HolmAn00,pass_att,0,,,,,
player,201311280dal,rai,HolmAn00,pass_yds,0,,,,,
player,201311280dal,rai,HolmAn00,pass_td,0,,,,,
player,201311280dal,rai,HolmAn00,pass_int,0,,,,,
player,201311280dal,rai,HolmAn00,pass_sacked,,,,,,
player,201311280dal,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,HolmAn00,pass_long,0,,,,,
player,201311280dal,rai,HolmAn00,pass_rating,,,,,,
player,201311280dal,rai,HolmAn00,rush_att,0,,,,,
player,201311280dal,rai,HolmAn00,rush_yds,0,,,,,
player,201311280dal,rai,HolmAn00,rush_td,0,,,,,
player,201311280dal,rai,HolmAn00,rush_long,0,,,,,
player,201311280dal,rai,HolmAn00,targets,11,,,,,
player,201311280dal,rai,HolmAn00,rec,7,,,,,
player,201311280dal,rai,HolmAn00,rec_yds,136,,,,,
player,201311280dal,rai,HolmAn00,rec_td,0,,,,,
player,201311280dal,rai,HolmAn00,rec_long,35,,,,,
player,201311280dal,rai,HolmAn00,fumbles,0,,,,,
player,201311280dal,rai,HolmAn00,fumbles_lost,0,,,,,
player,201311280dal,rai,StreRo00,pass_cmp,0,,,,,
player,201311280dal,rai,StreRo00,pass_att,0,,,,,
player,201311280dal,rai,StreRo00,pass_yds,0,,,,,
player,201311280dal,rai,StreRo00,pass_td,0,,,,,
player,201311280dal,rai,StreRo00,pass_int,0,,,,,
player,201311280dal,rai,StreRo00,pass_sacked,,,,,,
player,201311280dal,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,StreRo00,pass_long,0,,,,,
player,201311280dal,rai,StreRo00,pass_rating,,,,,,
player,201311280dal,rai,StreRo00,rush_att,0,,,,,
player,201311280dal,rai,StreRo00,rush_yds,0,,,,,
player,201311280dal,rai,StreRo00,rush_td,0,,,,,
player,201311280dal,rai,StreRo00,rush_long,0,,,,,
player,201311280dal,rai,StreRo00,targets,4,,,,,
player,201311280dal,rai,StreRo00,rec,3,,,,,
player,201311280dal,rai,StreRo00,rec_yds,57,,,,,
player,201311280dal,rai,StreRo00,rec_td,0,,,,,
player,201311280dal,rai,StreRo00,rec_long,27,,,,,
player,201311280dal,rai,StreRo00,fumbles,0,,,,,
player,201311280dal,rai,StreRo00,fumbles_lost,0,,,,,
player,201311280dal,rai,RiveMy00,pass_cmp,0,,,,,
player,201311280dal,rai,RiveMy00,pass_att,0,,,,,
player,201311280dal,rai,RiveMy00,pass_yds,0,,,,,
player,201311280dal,rai,RiveMy00,pass_td,0,,,,,
player,201311280dal,rai,RiveMy00,pass_int,0,,,,,
player,201311280dal,rai,RiveMy00,pass_sacked,,,,,,
player,201311280dal,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,RiveMy00,pass_long,0,,,,,
player,201311280dal,rai,RiveMy00,pass_rating,,,,,,
player,201311280dal,rai,RiveMy00,rush_att,0,,,,,
player,201311280dal,rai,RiveMy00,rush_yds,0,,,,,
player,201311280dal,rai,RiveMy00,rush_td,0,,,,,
player,201311280dal,rai,RiveMy00,rush_long,0,,,,,
player,201311280dal,rai,RiveMy00,targets,3,,,,,
player,201311280dal,rai,RiveMy00,rec,2,,,,,
player,201311280dal,rai,RiveMy00,rec_yds,30,,,,,
player,201311280dal,rai,RiveMy00,rec_td,0,,,,,
player,201311280dal,rai,RiveMy00,rec_long,22,,,,,
player,201311280dal,rai,RiveMy00,fumbles,0,,,,,
player,201311280dal,rai,RiveMy00,fumbles_lost,0,,,,,
player,201311280dal,rai,ReecMa00,pass_cmp,0,,,,,
player,201311280dal,rai,ReecMa00,pass_att,0,,,,,
player,201311280dal,rai,ReecMa00,pass_yds,0,,,,,
player,201311280dal,rai,ReecMa00,pass_td,0,,,,,
player,201311280dal,rai,ReecMa00,pass_int,0,,,,,
player,201311280dal,rai,ReecMa00,pass_sacked,,,,,,
player,201311280dal,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201311280dal,rai,ReecMa00,pass_long,0,,,,,
player,201311280dal,rai,ReecMa00,pass_rating,,,,,,
player,201311280dal,rai,ReecMa00,rush_att,0,,,,,
player,201311280dal,rai,ReecMa00,rush_yds,0,,,,,
player,201311280dal,rai,ReecMa00,rush_td,0,,,,,
player,201311280dal,rai,ReecMa00,rush_long,0,,,,,
player,201311280dal,rai,ReecMa00,targets,4,,,,,
player,201311280dal,rai,ReecMa00,rec,2,,,,,
player,201311280dal,rai,ReecMa00,rec_yds,5,,,,,
player,201311280dal,rai,ReecMa00,rec_td,0,,,,,
player,201311280dal,rai,ReecMa00,rec_long,5,,,,,
player,201311280dal,rai,ReecMa00,fumbles,0,,,,,
player,201311280dal,rai,ReecMa00,fumbles_lost,0,,,,,
player,201311280dal,dal,RomoTo00,pass_cmp,23,,,,,
player,201311280dal,dal,RomoTo00,pass_att,32,,,,,
player,201311280dal,dal,RomoTo00,pass_yds,225,,,,,
player,201311280dal,dal,RomoTo00,pass_td,1,,,,,
player,201311280dal,dal,RomoTo00,pass_int,0,,,,,
player,201311280dal,dal,RomoTo00,pass_sacked,2,,,,,
player,201311280dal,dal,RomoTo00,pass_sacked_yds,17,,,,,
player,201311280dal,dal,RomoTo00,pass_long,25,,,,,
player,201311280dal,dal,RomoTo00,pass_rating,101.7,,,,,
player,201311280dal,dal,RomoTo00,rush_att,1,,,,,
player,201311280dal,dal,RomoTo00,rush_yds,-1,,,,,
player,201311280dal,dal,RomoTo00,rush_td,0,,,,,
player,201311280dal,dal,RomoTo00,rush_long,-1,,,,,
player,201311280dal,dal,RomoTo00,targets,0,,,,,
player,201311280dal,dal,RomoTo00,rec,0,,,,,
player,201311280dal,dal,RomoTo00,rec_yds,0,,,,,
player,201311280dal,dal,RomoTo00,rec_td,0,,,,,
player,201311280dal,dal,RomoTo00,rec_long,0,,,,,
player,201311280dal,dal,RomoTo00,fumbles,1,,,,,
player,201311280dal,dal,RomoTo00,fumbles_lost,0,,,,,
player,201311280dal,dal,DunbLa00,pass_cmp,0,,,,,
player,201311280dal,dal,DunbLa00,pass_att,0,,,,,
player,201311280dal,dal,DunbLa00,pass_yds,0,,,,,
player,201311280dal,dal,DunbLa00,pass_td,0,,,,,
player,201311280dal,dal,DunbLa00,pass_int,0,,,,,
player,201311280dal,dal,DunbLa00,pass_sacked,0,,,,,
player,201311280dal,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201311280dal,dal,DunbLa00,pass_long,0,,,,,
player,201311280dal,dal,DunbLa00,pass_rating,,,,,,
player,201311280dal,dal,DunbLa00,rush_att,12,,,,,
player,201311280dal,dal,DunbLa00,rush_yds,82,,,,,
player,201311280dal,dal,DunbLa00,rush_td,0,,,,,
player,201311280dal,dal,DunbLa00,rush_long,45,,,,,
player,201311280dal,dal,DunbLa00,targets,1,,,,,
player,201311280dal,dal,DunbLa00,rec,1,,,,,
player,201311280dal,dal,DunbLa00,rec_yds,12,,,,,
player,201311280dal,dal,DunbLa00,rec_td,0,,,,,
player,201311280dal,dal,DunbLa00,rec_long,12,,,,,
player,201311280dal,dal,DunbLa00,fumbles,0,,,,,
player,201311280dal,dal,DunbLa00,fumbles_lost,0,,,,,
player,201311280dal,dal,MurrDe00,pass_cmp,0,,,,,
player,201311280dal,dal,MurrDe00,pass_att,0,,,,,
player,201311280dal,dal,MurrDe00,pass_yds,0,,,,,
player,201311280dal,dal,MurrDe00,pass_td,0,,,,,
player,201311280dal,dal,MurrDe00,pass_int,0,,,,,
player,201311280dal,dal,MurrDe00,pass_sacked,0,,,,,
player,201311280dal,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201311280dal,dal,MurrDe00,pass_long,0,,,,,
player,201311280dal,dal,MurrDe00,pass_rating,,,,,,
player,201311280dal,dal,MurrDe00,rush_att,17,,,,,
player,201311280dal,dal,MurrDe00,rush_yds,63,,,,,
player,201311280dal,dal,MurrDe00,rush_td,3,,,,,
player,201311280dal,dal,MurrDe00,rush_long,11,,,,,
player,201311280dal,dal,MurrDe00,targets,5,,,,,
player,201311280dal,dal,MurrDe00,rec,5,,,,,
player,201311280dal,dal,MurrDe00,rec_yds,39,,,,,
player,201311280dal,dal,MurrDe00,rec_td,0,,,,,
player,201311280dal,dal,MurrDe00,rec_long,10,,,,,
player,201311280dal,dal,MurrDe00,fumbles,0,,,,,
player,201311280dal,dal,MurrDe00,fumbles_lost,0,,,,,
player,201311280dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201311280dal,dal,BryaDe01,pass_att,0,,,,,
player,201311280dal,dal,BryaDe01,pass_yds,0,,,,,
player,201311280dal,dal,BryaDe01,pass_td,0,,,,,
player,201311280dal,dal,BryaDe01,pass_int,0,,,,,
player,201311280dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201311280dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201311280dal,dal,BryaDe01,pass_long,0,,,,,
player,201311280dal,dal,BryaDe01,pass_rating,,,,,,
player,201311280dal,dal,BryaDe01,rush_att,0,,,,,
player,201311280dal,dal,BryaDe01,rush_yds,0,,,,,
player,201311280dal,dal,BryaDe01,rush_td,0,,,,,
player,201311280dal,dal,BryaDe01,rush_long,0,,,,,
player,201311280dal,dal,BryaDe01,targets,9,,,,,
player,201311280dal,dal,BryaDe01,rec,7,,,,,
player,201311280dal,dal,BryaDe01,rec_yds,61,,,,,
player,201311280dal,dal,BryaDe01,rec_td,1,,,,,
player,201311280dal,dal,BryaDe01,rec_long,25,,,,,
player,201311280dal,dal,BryaDe01,fumbles,1,,,,,
player,201311280dal,dal,BryaDe01,fumbles_lost,0,,,,,
player,201311280dal,dal,WittJa00,pass_cmp,0,,,,,
player,201311280dal,dal,WittJa00,pass_att,0,,,,,
player,201311280dal,dal,WittJa00,pass_yds,0,,,,,
player,201311280dal,dal,WittJa00,pass_td,0,,,,,
player,201311280dal,dal,WittJa00,pass_int,0,,,,,
player,201311280dal,dal,WittJa00,pass_sacked,0,,,,,
player,201311280dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201311280dal,dal,WittJa00,pass_long,0,,,,,
player,201311280dal,dal,WittJa00,pass_rating,,,,,,
player,201311280dal,dal,WittJa00,rush_att,0,,,,,
player,201311280dal,dal,WittJa00,rush_yds,0,,,,,
player,201311280dal,dal,WittJa00,rush_td,0,,,,,
player,201311280dal,dal,WittJa00,rush_long,0,,,,,
player,201311280dal,dal,WittJa00,targets,3,,,,,
player,201311280dal,dal,WittJa00,rec,3,,,,,
player,201311280dal,dal,WittJa00,rec_yds,53,,,,,
player,201311280dal,dal,WittJa00,rec_td,0,,,,,
player,201311280dal,dal,WittJa00,rec_long,22,,,,,
player,201311280dal,dal,WittJa00,fumbles,0,,,,,
player,201311280dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201311280dal,dal,WillTe01,pass_cmp,0,,,,,
player,201311280dal,dal,WillTe01,pass_att,0,,,,,
player,201311280dal,dal,WillTe01,pass_yds,0,,,,,
player,201311280dal,dal,WillTe01,pass_td,0,,,,,
player,201311280dal,dal,WillTe01,pass_int,0,,,,,
player,201311280dal,dal,WillTe01,pass_sacked,0,,,,,
player,201311280dal,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201311280dal,dal,WillTe01,pass_long,0,,,,,
player,201311280dal,dal,WillTe01,pass_rating,,,,,,
player,201311280dal,dal,WillTe01,rush_att,0,,,,,
player,201311280dal,dal,WillTe01,rush_yds,0,,,,,
player,201311280dal,dal,WillTe01,rush_td,0,,,,,
player,201311280dal,dal,WillTe01,rush_long,0,,,,,
player,201311280dal,dal,WillTe01,targets,6,,,,,
player,201311280dal,dal,WillTe01,rec,3,,,,,
player,201311280dal,dal,WillTe01,rec_yds,23,,,,,
player,201311280dal,dal,WillTe01,rec_td,0,,,,,
player,201311280dal,dal,WillTe01,rec_long,14,,,,,
player,201311280dal,dal,WillTe01,fumbles,1,,,,,
player,201311280dal,dal,WillTe01,fumbles_lost,1,,,,,
player,201311280dal,dal,BeasCo00,pass_cmp,0,,,,,
player,201311280dal,dal,BeasCo00,pass_att,0,,,,,
player,201311280dal,dal,BeasCo00,pass_yds,0,,,,,
player,201311280dal,dal,BeasCo00,pass_td,0,,,,,
player,201311280dal,dal,BeasCo00,pass_int,0,,,,,
player,201311280dal,dal,BeasCo00,pass_sacked,0,,,,,
player,201311280dal,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201311280dal,dal,BeasCo00,pass_long,0,,,,,
player,201311280dal,dal,BeasCo00,pass_rating,,,,,,
player,201311280dal,dal,BeasCo00,rush_att,0,,,,,
player,201311280dal,dal,BeasCo00,rush_yds,0,,,,,
player,201311280dal,dal,BeasCo00,rush_td,0,,,,,
player,201311280dal,dal,BeasCo00,rush_long,0,,,,,
player,201311280dal,dal,BeasCo00,targets,3,,,,,
player,201311280dal,dal,BeasCo00,rec,3,,,,,
player,201311280dal,dal,BeasCo00,rec_yds,19,,,,,
player,201311280dal,dal,BeasCo00,rec_td,0,,,,,
player,201311280dal,dal,BeasCo00,rec_long,9,,,,,
player,201311280dal,dal,BeasCo00,fumbles,0,,,,,
player,201311280dal,dal,BeasCo00,fumbles_lost,0,,,,,
player,201311280dal,dal,AustMi00,pass_cmp,0,,,,,
player,201311280dal,dal,AustMi00,pass_att,0,,,,,
player,201311280dal,dal,AustMi00,pass_yds,0,,,,,
player,201311280dal,dal,AustMi00,pass_td,0,,,,,
player,201311280dal,dal,AustMi00,pass_int,0,,,,,
player,201311280dal,dal,AustMi00,pass_sacked,0,,,,,
player,201311280dal,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201311280dal,dal,AustMi00,pass_long,0,,,,,
player,201311280dal,dal,AustMi00,pass_rating,,,,,,
player,201311280dal,dal,AustMi00,rush_att,0,,,,,
player,201311280dal,dal,AustMi00,rush_yds,0,,,,,
player,201311280dal,dal,AustMi00,rush_td,0,,,,,
player,201311280dal,dal,AustMi00,rush_long,0,,,,,
player,201311280dal,dal,AustMi00,targets,5,,,,,
player,201311280dal,dal,AustMi00,rec,1,,,,,
player,201311280dal,dal,AustMi00,rec_yds,18,,,,,
player,201311280dal,dal,AustMi00,rec_td,0,,,,,
player,201311280dal,dal,AustMi00,rec_long,18,,,,,
player,201311280dal,dal,AustMi00,fumbles,0,,,,,
player,201311280dal,dal,AustMi00,fumbles_lost,0,,,,,
player,201311280dal,rai,RoacNi99,def_int,0,,,,,
player,201311280dal,rai,RoacNi99,def_int_yds,0,,,,,
player,201311280dal,rai,RoacNi99,def_int_td,0,,,,,
player,201311280dal,rai,RoacNi99,def_int_long,0,,,,,
player,201311280dal,rai,RoacNi99,pass_defended,0,,,,,
player,201311280dal,rai,RoacNi99,sacks,2.0,,,,,
player,201311280dal,rai,RoacNi99,tackles_combined,11,,,,,
player,201311280dal,rai,RoacNi99,tackles_solo,10,,,,,
player,201311280dal,rai,RoacNi99,tackles_assists,1,,,,,
player,201311280dal,rai,RoacNi99,tackles_loss,1,,,,,
player,201311280dal,rai,RoacNi99,qb_hits,1,,,,,
player,201311280dal,rai,RoacNi99,fumbles_rec,0,,,,,
player,201311280dal,rai,RoacNi99,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,RoacNi99,fumbles_rec_td,0,,,,,
player,201311280dal,rai,RoacNi99,fumbles_forced,1,,,,,
player,201311280dal,rai,PortTr99,def_int,0,,,,,
player,201311280dal,rai,PortTr99,def_int_yds,0,,,,,
player,201311280dal,rai,PortTr99,def_int_td,0,,,,,
player,201311280dal,rai,PortTr99,def_int_long,0,,,,,
player,201311280dal,rai,PortTr99,pass_defended,1,,,,,
player,201311280dal,rai,PortTr99,sacks,0.0,,,,,
player,201311280dal,rai,PortTr99,tackles_combined,8,,,,,
player,201311280dal,rai,PortTr99,tackles_solo,7,,,,,
player,201311280dal,rai,PortTr99,tackles_assists,1,,,,,
player,201311280dal,rai,PortTr99,tackles_loss,1,,,,,
player,201311280dal,rai,PortTr99,qb_hits,0,,,,,
player,201311280dal,rai,PortTr99,fumbles_rec,0,,,,,
player,201311280dal,rai,PortTr99,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,PortTr99,fumbles_rec_td,0,,,,,
player,201311280dal,rai,PortTr99,fumbles_forced,0,,,,,
player,201311280dal,rai,AdamPh00,def_int,0,,,,,
player,201311280dal,rai,AdamPh00,def_int_yds,0,,,,,
player,201311280dal,rai,AdamPh00,def_int_td,0,,,,,
player,201311280dal,rai,AdamPh00,def_int_long,0,,,,,
player,201311280dal,rai,AdamPh00,pass_defended,0,,,,,
player,201311280dal,rai,AdamPh00,sacks,0.0,,,,,
player,201311280dal,rai,AdamPh00,tackles_combined,7,,,,,
player,201311280dal,rai,AdamPh00,tackles_solo,7,,,,,
player,201311280dal,rai,AdamPh00,tackles_assists,0,,,,,
player,201311280dal,rai,AdamPh00,tackles_loss,0,,,,,
player,201311280dal,rai,AdamPh00,qb_hits,0,,,,,
player,201311280dal,rai,AdamPh00,fumbles_rec,0,,,,,
player,201311280dal,rai,AdamPh00,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,AdamPh00,fumbles_rec_td,0,,,,,
player,201311280dal,rai,AdamPh00,fumbles_forced,0,,,,,
player,201311280dal,rai,BurnKe20,def_int,0,,,,,
player,201311280dal,rai,BurnKe20,def_int_yds,0,,,,,
player,201311280dal,rai,BurnKe20,def_int_td,0,,,,,
player,201311280dal,rai,BurnKe20,def_int_long,0,,,,,
player,201311280dal,rai,BurnKe20,pass_defended,0,,,,,
player,201311280dal,rai,BurnKe20,sacks,0.0,,,,,
player,201311280dal,rai,BurnKe20,tackles_combined,6,,,,,
player,201311280dal,rai,BurnKe20,tackles_solo,5,,,,,
player,201311280dal,rai,BurnKe20,tackles_assists,1,,,,,
player,201311280dal,rai,BurnKe20,tackles_loss,1,,,,,
player,201311280dal,rai,BurnKe20,qb_hits,0,,,,,
player,201311280dal,rai,BurnKe20,fumbles_rec,0,,,,,
player,201311280dal,rai,BurnKe20,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,BurnKe20,fumbles_rec_td,0,,,,,
player,201311280dal,rai,BurnKe20,fumbles_forced,0,,,,,
player,201311280dal,rai,RossBr00,def_int,0,,,,,
player,201311280dal,rai,RossBr00,def_int_yds,0,,,,,
player,201311280dal,rai,RossBr00,def_int_td,0,,,,,
player,201311280dal,rai,RossBr00,def_int_long,0,,,,,
player,201311280dal,rai,RossBr00,pass_defended,0,,,,,
player,201311280dal,rai,RossBr00,sacks,0.0,,,,,
player,201311280dal,rai,RossBr00,tackles_combined,4,,,,,
player,201311280dal,rai,RossBr00,tackles_solo,4,,,,,
player,201311280dal,rai,RossBr00,tackles_assists,0,,,,,
player,201311280dal,rai,RossBr00,tackles_loss,0,,,,,
player,201311280dal,rai,RossBr00,qb_hits,0,,,,,
player,201311280dal,rai,RossBr00,fumbles_rec,0,,,,,
player,201311280dal,rai,RossBr00,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,RossBr00,fumbles_rec_td,0,,,,,
player,201311280dal,rai,RossBr00,fumbles_forced,0,,,,,
player,201311280dal,rai,WoodCh00,def_int,0,,,,,
player,201311280dal,rai,WoodCh00,def_int_yds,0,,,,,
player,201311280dal,rai,WoodCh00,def_int_td,0,,,,,
player,201311280dal,rai,WoodCh00,def_int_long,0,,,,,
player,201311280dal,rai,WoodCh00,pass_defended,0,,,,,
player,201311280dal,rai,WoodCh00,sacks,0.0,,,,,
player,201311280dal,rai,WoodCh00,tackles_combined,4,,,,,
player,201311280dal,rai,WoodCh00,tackles_solo,4,,,,,
player,201311280dal,rai,WoodCh00,tackles_assists,0,,,,,
player,201311280dal,rai,WoodCh00,tackles_loss,0,,,,,
player,201311280dal,rai,WoodCh00,qb_hits,0,,,,,
player,201311280dal,rai,WoodCh00,fumbles_rec,0,,,,,
player,201311280dal,rai,WoodCh00,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,WoodCh00,fumbles_rec_td,0,,,,,
player,201311280dal,rai,WoodCh00,fumbles_forced,0,,,,,
player,201311280dal,rai,JenkMi99,def_int,0,,,,,
player,201311280dal,rai,JenkMi99,def_int_yds,0,,,,,
player,201311280dal,rai,JenkMi99,def_int_td,0,,,,,
player,201311280dal,rai,JenkMi99,def_int_long,0,,,,,
player,201311280dal,rai,JenkMi99,pass_defended,1,,,,,
player,201311280dal,rai,JenkMi99,sacks,0.0,,,,,
player,201311280dal,rai,JenkMi99,tackles_combined,3,,,,,
player,201311280dal,rai,JenkMi99,tackles_solo,3,,,,,
player,201311280dal,rai,JenkMi99,tackles_assists,0,,,,,
player,201311280dal,rai,JenkMi99,tackles_loss,1,,,,,
player,201311280dal,rai,JenkMi99,qb_hits,0,,,,,
player,201311280dal,rai,JenkMi99,fumbles_rec,0,,,,,
player,201311280dal,rai,JenkMi99,fumbles_rec_yds,0,,,,,
player,201311280dal,rai,JenkMi99,fumbles_rec_td,0,,,,,
player,201311280dal,rai,JenkMi99,fumbles_forced,1,,,,,
player,201311280dal,rai,SimsPa99,def_int,0,,,,,
player,201311280dal,rai,SimsPa99,def_int_yds,0,,,,,
player,201311280dal,rai,SimsPa99,def_int_td,0,,,,,
player,201311280dal,rai,SimsPa99,def_int_long,0,,,,,
player,201311280dal,rai,SimsPa99,pass_defended,0,,,,,
