game,2013,6,20131010,201310100chi,nyg,"New York Giants",21,chi,"Chicago Bears",27
player,201310100chi,nyg,MannEl00,pass_long,37,,,,,
player,201310100chi,nyg,MannEl00,pass_rating,58.5,,,,,
player,201310100chi,nyg,MannEl00,rush_att,0,,,,,
player,201310100chi,nyg,MannEl00,rush_yds,0,,,,,
player,201310100chi,nyg,MannEl00,rush_td,0,,,,,
player,201310100chi,nyg,MannEl00,rush_long,0,,,,,
player,201310100chi,nyg,MannEl00,targets,0,,,,,
player,201310100chi,nyg,MannEl00,rec,0,,,,,
player,201310100chi,nyg,MannEl00,rec_yds,0,,,,,
player,201310100chi,nyg,MannEl00,rec_td,0,,,,,
player,201310100chi,nyg,MannEl00,rec_long,0,,,,,
player,201310100chi,nyg,MannEl00,fumbles,0,,,,,
player,201310100chi,nyg,MannEl00,fumbles_lost,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_cmp,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_att,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_yds,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_td,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_int,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_sacked,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_long,0,,,,,
player,201310100chi,nyg,JacoBr00,pass_rating,,,,,,
player,201310100chi,nyg,JacoBr00,rush_att,22,,,,,
player,201310100chi,nyg,JacoBr00,rush_yds,106,,,,,
player,201310100chi,nyg,JacoBr00,rush_td,2,,,,,
player,201310100chi,nyg,JacoBr00,rush_long,16,,,,,
player,201310100chi,nyg,JacoBr00,targets,2,,,,,
player,201310100chi,nyg,JacoBr00,rec,1,,,,,
player,201310100chi,nyg,JacoBr00,rec_yds,8,,,,,
player,201310100chi,nyg,JacoBr00,rec_td,0,,,,,
player,201310100chi,nyg,JacoBr00,rec_long,8,,,,,
player,201310100chi,nyg,JacoBr00,fumbles,0,,,,,
player,201310100chi,nyg,JacoBr00,fumbles_lost,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_cmp,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_att,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_yds,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_td,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_int,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_sacked,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_long,0,,,,,
player,201310100chi,nyg,ScotDa01,pass_rating,,,,,,
player,201310100chi,nyg,ScotDa01,rush_att,4,,,,,
player,201310100chi,nyg,ScotDa01,rush_yds,17,,,,,
player,201310100chi,nyg,ScotDa01,rush_td,0,,,,,
player,201310100chi,nyg,ScotDa01,rush_long,13,,,,,
player,201310100chi,nyg,ScotDa01,targets,2,,,,,
player,201310100chi,nyg,ScotDa01,rec,1,,,,,
player,201310100chi,nyg,ScotDa01,rec_yds,4,,,,,
player,201310100chi,nyg,ScotDa01,rec_td,0,,,,,
player,201310100chi,nyg,ScotDa01,rec_long,4,,,,,
player,201310100chi,nyg,ScotDa01,fumbles,0,,,,,
player,201310100chi,nyg,ScotDa01,fumbles_lost,0,,,,,
player,201310100chi,nyg,RandRu00,pass_cmp,0,,,,,
player,201310100chi,nyg,RandRu00,pass_att,0,,,,,
player,201310100chi,nyg,RandRu00,pass_yds,0,,,,,
player,201310100chi,nyg,RandRu00,pass_td,0,,,,,
player,201310100chi,nyg,RandRu00,pass_int,0,,,,,
player,201310100chi,nyg,RandRu00,pass_sacked,0,,,,,
player,201310100chi,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,RandRu00,pass_long,0,,,,,
player,201310100chi,nyg,RandRu00,pass_rating,,,,,,
player,201310100chi,nyg,RandRu00,rush_att,0,,,,,
player,201310100chi,nyg,RandRu00,rush_yds,0,,,,,
player,201310100chi,nyg,RandRu00,rush_td,0,,,,,
player,201310100chi,nyg,RandRu00,rush_long,0,,,,,
player,201310100chi,nyg,RandRu00,targets,5,,,,,
player,201310100chi,nyg,RandRu00,rec,3,,,,,
player,201310100chi,nyg,RandRu00,rec_yds,75,,,,,
player,201310100chi,nyg,RandRu00,rec_td,1,,,,,
player,201310100chi,nyg,RandRu00,rec_long,37,,,,,
player,201310100chi,nyg,RandRu00,fumbles,0,,,,,
player,201310100chi,nyg,RandRu00,fumbles_lost,0,,,,,
player,201310100chi,nyg,NickHa01,pass_cmp,0,,,,,
player,201310100chi,nyg,NickHa01,pass_att,0,,,,,
player,201310100chi,nyg,NickHa01,pass_yds,0,,,,,
player,201310100chi,nyg,NickHa01,pass_td,0,,,,,
player,201310100chi,nyg,NickHa01,pass_int,0,,,,,
player,201310100chi,nyg,NickHa01,pass_sacked,0,,,,,
player,201310100chi,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,NickHa01,pass_long,0,,,,,
player,201310100chi,nyg,NickHa01,pass_rating,,,,,,
player,201310100chi,nyg,NickHa01,rush_att,0,,,,,
player,201310100chi,nyg,NickHa01,rush_yds,0,,,,,
player,201310100chi,nyg,NickHa01,rush_td,0,,,,,
player,201310100chi,nyg,NickHa01,rush_long,0,,,,,
player,201310100chi,nyg,NickHa01,targets,8,,,,,
player,201310100chi,nyg,NickHa01,rec,4,,,,,
player,201310100chi,nyg,NickHa01,rec_yds,70,,,,,
player,201310100chi,nyg,NickHa01,rec_td,0,,,,,
player,201310100chi,nyg,NickHa01,rec_long,31,,,,,
player,201310100chi,nyg,NickHa01,fumbles,0,,,,,
player,201310100chi,nyg,NickHa01,fumbles_lost,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_cmp,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_att,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_yds,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_td,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_int,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_sacked,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_long,0,,,,,
player,201310100chi,nyg,CruzVi00,pass_rating,,,,,,
player,201310100chi,nyg,CruzVi00,rush_att,0,,,,,
player,201310100chi,nyg,CruzVi00,rush_yds,0,,,,,
player,201310100chi,nyg,CruzVi00,rush_td,0,,,,,
player,201310100chi,nyg,CruzVi00,rush_long,0,,,,,
player,201310100chi,nyg,CruzVi00,targets,5,,,,,
player,201310100chi,nyg,CruzVi00,rec,4,,,,,
player,201310100chi,nyg,CruzVi00,rec_yds,68,,,,,
player,201310100chi,nyg,CruzVi00,rec_td,0,,,,,
player,201310100chi,nyg,CruzVi00,rec_long,23,,,,,
player,201310100chi,nyg,CruzVi00,fumbles,0,,,,,
player,201310100chi,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201310100chi,nyg,PascBe00,pass_cmp,0,,,,,
player,201310100chi,nyg,PascBe00,pass_att,0,,,,,
player,201310100chi,nyg,PascBe00,pass_yds,0,,,,,
player,201310100chi,nyg,PascBe00,pass_td,0,,,,,
player,201310100chi,nyg,PascBe00,pass_int,0,,,,,
player,201310100chi,nyg,PascBe00,pass_sacked,0,,,,,
player,201310100chi,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,PascBe00,pass_long,0,,,,,
player,201310100chi,nyg,PascBe00,pass_rating,,,,,,
player,201310100chi,nyg,PascBe00,rush_att,0,,,,,
player,201310100chi,nyg,PascBe00,rush_yds,0,,,,,
player,201310100chi,nyg,PascBe00,rush_td,0,,,,,
player,201310100chi,nyg,PascBe00,rush_long,0,,,,,
player,201310100chi,nyg,PascBe00,targets,2,,,,,
player,201310100chi,nyg,PascBe00,rec,1,,,,,
player,201310100chi,nyg,PascBe00,rec_yds,14,,,,,
player,201310100chi,nyg,PascBe00,rec_td,0,,,,,
player,201310100chi,nyg,PascBe00,rec_long,14,,,,,
player,201310100chi,nyg,PascBe00,fumbles,0,,,,,
player,201310100chi,nyg,PascBe00,fumbles_lost,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_cmp,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_att,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_yds,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_td,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_int,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_sacked,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_long,0,,,,,
player,201310100chi,nyg,DonnLa00,pass_rating,,,,,,
player,201310100chi,nyg,DonnLa00,rush_att,0,,,,,
player,201310100chi,nyg,DonnLa00,rush_yds,0,,,,,
player,201310100chi,nyg,DonnLa00,rush_td,0,,,,,
player,201310100chi,nyg,DonnLa00,rush_long,0,,,,,
player,201310100chi,nyg,DonnLa00,targets,1,,,,,
player,201310100chi,nyg,DonnLa00,rec,0,,,,,
player,201310100chi,nyg,DonnLa00,rec_yds,0,,,,,
player,201310100chi,nyg,DonnLa00,rec_td,0,,,,,
player,201310100chi,nyg,DonnLa00,rec_long,0,,,,,
player,201310100chi,nyg,DonnLa00,fumbles,0,,,,,
player,201310100chi,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_cmp,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_att,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_yds,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_td,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_int,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_sacked,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_sacked_yds,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_long,0,,,,,
player,201310100chi,nyg,MyerBr00,pass_rating,,,,,,
player,201310100chi,nyg,MyerBr00,rush_att,0,,,,,
player,201310100chi,nyg,MyerBr00,rush_yds,0,,,,,
player,201310100chi,nyg,MyerBr00,rush_td,0,,,,,
player,201310100chi,nyg,MyerBr00,rush_long,0,,,,,
player,201310100chi,nyg,MyerBr00,targets,1,,,,,
player,201310100chi,nyg,MyerBr00,rec,0,,,,,
player,201310100chi,nyg,MyerBr00,rec_yds,0,,,,,
player,201310100chi,nyg,MyerBr00,rec_td,0,,,,,
player,201310100chi,nyg,MyerBr00,rec_long,0,,,,,
player,201310100chi,nyg,MyerBr00,fumbles,0,,,,,
player,201310100chi,nyg,MyerBr00,fumbles_lost,0,,,,,
player,201310100chi,chi,CutlJa00,pass_cmp,24,,,,,
player,201310100chi,chi,CutlJa00,pass_att,36,,,,,
player,201310100chi,chi,CutlJa00,pass_yds,262,,,,,
player,201310100chi,chi,CutlJa00,pass_td,2,,,,,
player,201310100chi,chi,CutlJa00,pass_int,0,,,,,
player,201310100chi,chi,CutlJa00,pass_sacked,0,,,,,
player,201310100chi,chi,CutlJa00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,CutlJa00,pass_long,30,,,,,
player,201310100chi,chi,CutlJa00,pass_rating,106.5,,,,,
player,201310100chi,chi,CutlJa00,rush_att,3,,,,,
player,201310100chi,chi,CutlJa00,rush_yds,20,,,,,
player,201310100chi,chi,CutlJa00,rush_td,0,,,,,
player,201310100chi,chi,CutlJa00,rush_long,9,,,,,
player,201310100chi,chi,CutlJa00,targets,0,,,,,
player,201310100chi,chi,CutlJa00,rec,0,,,,,
player,201310100chi,chi,CutlJa00,rec_yds,0,,,,,
player,201310100chi,chi,CutlJa00,rec_td,0,,,,,
player,201310100chi,chi,CutlJa00,rec_long,0,,,,,
player,201310100chi,chi,CutlJa00,fumbles,0,,,,,
player,201310100chi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201310100chi,chi,FortMa00,pass_cmp,0,,,,,
player,201310100chi,chi,FortMa00,pass_att,0,,,,,
player,201310100chi,chi,FortMa00,pass_yds,0,,,,,
player,201310100chi,chi,FortMa00,pass_td,0,,,,,
player,201310100chi,chi,FortMa00,pass_int,0,,,,,
player,201310100chi,chi,FortMa00,pass_sacked,0,,,,,
player,201310100chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,FortMa00,pass_long,0,,,,,
player,201310100chi,chi,FortMa00,pass_rating,,,,,,
player,201310100chi,chi,FortMa00,rush_att,19,,,,,
player,201310100chi,chi,FortMa00,rush_yds,67,,,,,
player,201310100chi,chi,FortMa00,rush_td,0,,,,,
player,201310100chi,chi,FortMa00,rush_long,13,,,,,
player,201310100chi,chi,FortMa00,targets,6,,,,,
player,201310100chi,chi,FortMa00,rec,6,,,,,
player,201310100chi,chi,FortMa00,rec_yds,44,,,,,
player,201310100chi,chi,FortMa00,rec_td,0,,,,,
player,201310100chi,chi,FortMa00,rec_long,13,,,,,
player,201310100chi,chi,FortMa00,fumbles,0,,,,,
player,201310100chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201310100chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201310100chi,chi,JeffAl00,pass_att,0,,,,,
player,201310100chi,chi,JeffAl00,pass_yds,0,,,,,
player,201310100chi,chi,JeffAl00,pass_td,0,,,,,
player,201310100chi,chi,JeffAl00,pass_int,0,,,,,
player,201310100chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201310100chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,JeffAl00,pass_long,0,,,,,
player,201310100chi,chi,JeffAl00,pass_rating,,,,,,
player,201310100chi,chi,JeffAl00,rush_att,1,,,,,
player,201310100chi,chi,JeffAl00,rush_yds,15,,,,,
player,201310100chi,chi,JeffAl00,rush_td,0,,,,,
player,201310100chi,chi,JeffAl00,rush_long,15,,,,,
player,201310100chi,chi,JeffAl00,targets,5,,,,,
player,201310100chi,chi,JeffAl00,rec,1,,,,,
player,201310100chi,chi,JeffAl00,rec_yds,27,,,,,
player,201310100chi,chi,JeffAl00,rec_td,0,,,,,
player,201310100chi,chi,JeffAl00,rec_long,27,,,,,
player,201310100chi,chi,JeffAl00,fumbles,0,,,,,
player,201310100chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201310100chi,chi,BushMi00,pass_cmp,0,,,,,
player,201310100chi,chi,BushMi00,pass_att,0,,,,,
player,201310100chi,chi,BushMi00,pass_yds,0,,,,,
player,201310100chi,chi,BushMi00,pass_td,0,,,,,
player,201310100chi,chi,BushMi00,pass_int,0,,,,,
player,201310100chi,chi,BushMi00,pass_sacked,0,,,,,
player,201310100chi,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,BushMi00,pass_long,0,,,,,
player,201310100chi,chi,BushMi00,pass_rating,,,,,,
player,201310100chi,chi,BushMi00,rush_att,6,,,,,
player,201310100chi,chi,BushMi00,rush_yds,8,,,,,
player,201310100chi,chi,BushMi00,rush_td,0,,,,,
player,201310100chi,chi,BushMi00,rush_long,3,,,,,
player,201310100chi,chi,BushMi00,targets,2,,,,,
player,201310100chi,chi,BushMi00,rec,1,,,,,
player,201310100chi,chi,BushMi00,rec_yds,6,,,,,
player,201310100chi,chi,BushMi00,rec_td,0,,,,,
player,201310100chi,chi,BushMi00,rec_long,6,,,,,
player,201310100chi,chi,BushMi00,fumbles,0,,,,,
player,201310100chi,chi,BushMi00,fumbles_lost,0,,,,,
player,201310100chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201310100chi,chi,MarsBr00,pass_att,0,,,,,
player,201310100chi,chi,MarsBr00,pass_yds,0,,,,,
player,201310100chi,chi,MarsBr00,pass_td,0,,,,,
player,201310100chi,chi,MarsBr00,pass_int,0,,,,,
player,201310100chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201310100chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,MarsBr00,pass_long,0,,,,,
player,201310100chi,chi,MarsBr00,pass_rating,,,,,,
player,201310100chi,chi,MarsBr00,rush_att,0,,,,,
player,201310100chi,chi,MarsBr00,rush_yds,0,,,,,
player,201310100chi,chi,MarsBr00,rush_td,0,,,,,
player,201310100chi,chi,MarsBr00,rush_long,0,,,,,
player,201310100chi,chi,MarsBr00,targets,11,,,,,
player,201310100chi,chi,MarsBr00,rec,9,,,,,
player,201310100chi,chi,MarsBr00,rec_yds,87,,,,,
player,201310100chi,chi,MarsBr00,rec_td,2,,,,,
player,201310100chi,chi,MarsBr00,rec_long,20,,,,,
player,201310100chi,chi,MarsBr00,fumbles,0,,,,,
player,201310100chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201310100chi,chi,BennMa00,pass_cmp,0,,,,,
player,201310100chi,chi,BennMa00,pass_att,0,,,,,
player,201310100chi,chi,BennMa00,pass_yds,0,,,,,
player,201310100chi,chi,BennMa00,pass_td,0,,,,,
player,201310100chi,chi,BennMa00,pass_int,0,,,,,
player,201310100chi,chi,BennMa00,pass_sacked,0,,,,,
player,201310100chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,BennMa00,pass_long,0,,,,,
player,201310100chi,chi,BennMa00,pass_rating,,,,,,
player,201310100chi,chi,BennMa00,rush_att,0,,,,,
player,201310100chi,chi,BennMa00,rush_yds,0,,,,,
player,201310100chi,chi,BennMa00,rush_td,0,,,,,
player,201310100chi,chi,BennMa00,rush_long,0,,,,,
player,201310100chi,chi,BennMa00,targets,7,,,,,
player,201310100chi,chi,BennMa00,rec,6,,,,,
player,201310100chi,chi,BennMa00,rec_yds,68,,,,,
player,201310100chi,chi,BennMa00,rec_td,0,,,,,
player,201310100chi,chi,BennMa00,rec_long,16,,,,,
player,201310100chi,chi,BennMa00,fumbles,0,,,,,
player,201310100chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201310100chi,chi,FiamTo00,pass_cmp,0,,,,,
player,201310100chi,chi,FiamTo00,pass_att,0,,,,,
player,201310100chi,chi,FiamTo00,pass_yds,0,,,,,
player,201310100chi,chi,FiamTo00,pass_td,0,,,,,
player,201310100chi,chi,FiamTo00,pass_int,0,,,,,
player,201310100chi,chi,FiamTo00,pass_sacked,0,,,,,
player,201310100chi,chi,FiamTo00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,FiamTo00,pass_long,0,,,,,
player,201310100chi,chi,FiamTo00,pass_rating,,,,,,
player,201310100chi,chi,FiamTo00,rush_att,0,,,,,
player,201310100chi,chi,FiamTo00,rush_yds,0,,,,,
player,201310100chi,chi,FiamTo00,rush_td,0,,,,,
player,201310100chi,chi,FiamTo00,rush_long,0,,,,,
player,201310100chi,chi,FiamTo00,targets,1,,,,,
player,201310100chi,chi,FiamTo00,rec,1,,,,,
player,201310100chi,chi,FiamTo00,rec_yds,30,,,,,
player,201310100chi,chi,FiamTo00,rec_td,0,,,,,
player,201310100chi,chi,FiamTo00,rec_long,30,,,,,
player,201310100chi,chi,FiamTo00,fumbles,0,,,,,
player,201310100chi,chi,FiamTo00,fumbles_lost,0,,,,,
player,201310100chi,chi,BennEa00,pass_cmp,0,,,,,
player,201310100chi,chi,BennEa00,pass_att,0,,,,,
player,201310100chi,chi,BennEa00,pass_yds,0,,,,,
player,201310100chi,chi,BennEa00,pass_td,0,,,,,
player,201310100chi,chi,BennEa00,pass_int,0,,,,,
player,201310100chi,chi,BennEa00,pass_sacked,0,,,,,
player,201310100chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,BennEa00,pass_long,0,,,,,
player,201310100chi,chi,BennEa00,pass_rating,,,,,,
player,201310100chi,chi,BennEa00,rush_att,0,,,,,
player,201310100chi,chi,BennEa00,rush_yds,0,,,,,
player,201310100chi,chi,BennEa00,rush_td,0,,,,,
player,201310100chi,chi,BennEa00,rush_long,0,,,,,
player,201310100chi,chi,BennEa00,targets,2,,,,,
player,201310100chi,chi,BennEa00,rec,0,,,,,
player,201310100chi,chi,BennEa00,rec_yds,0,,,,,
player,201310100chi,chi,BennEa00,rec_td,0,,,,,
player,201310100chi,chi,BennEa00,rec_long,0,,,,,
player,201310100chi,chi,BennEa00,fumbles,0,,,,,
player,201310100chi,chi,BennEa00,fumbles_lost,0,,,,,
player,201310100chi,chi,AndeJo00,pass_cmp,0,,,,,
player,201310100chi,chi,AndeJo00,pass_att,0,,,,,
player,201310100chi,chi,AndeJo00,pass_yds,0,,,,,
player,201310100chi,chi,AndeJo00,pass_td,0,,,,,
player,201310100chi,chi,AndeJo00,pass_int,0,,,,,
player,201310100chi,chi,AndeJo00,pass_sacked,0,,,,,
player,201310100chi,chi,AndeJo00,pass_sacked_yds,0,,,,,
player,201310100chi,chi,AndeJo00,pass_long,0,,,,,
player,201310100chi,chi,AndeJo00,pass_rating,,,,,,
player,201310100chi,chi,AndeJo00,rush_att,0,,,,,
player,201310100chi,chi,AndeJo00,rush_yds,0,,,,,
player,201310100chi,chi,AndeJo00,rush_td,0,,,,,
player,201310100chi,chi,AndeJo00,rush_long,0,,,,,
player,201310100chi,chi,AndeJo00,targets,1,,,,,
player,201310100chi,chi,AndeJo00,rec,0,,,,,
player,201310100chi,chi,AndeJo00,rec_yds,0,,,,,
player,201310100chi,chi,AndeJo00,rec_td,0,,,,,
player,201310100chi,chi,AndeJo00,rec_long,0,,,,,
player,201310100chi,chi,AndeJo00,fumbles,0,,,,,
player,201310100chi,chi,AndeJo00,fumbles_lost,0,,,,,
player,201310100chi,nyg,BeasJo99,def_int,0,,,,,
player,201310100chi,nyg,BeasJo99,def_int_yds,0,,,,,
player,201310100chi,nyg,BeasJo99,def_int_td,0,,,,,
player,201310100chi,nyg,BeasJo99,def_int_long,0,,,,,
player,201310100chi,nyg,BeasJo99,pass_defended,0,,,,,
player,201310100chi,nyg,BeasJo99,sacks,0.0,,,,,
player,201310100chi,nyg,BeasJo99,tackles_combined,12,,,,,
player,201310100chi,nyg,BeasJo99,tackles_solo,11,,,,,
player,201310100chi,nyg,BeasJo99,tackles_assists,1,,,,,
player,201310100chi,nyg,BeasJo99,tackles_loss,0,,,,,
player,201310100chi,nyg,BeasJo99,qb_hits,0,,,,,
player,201310100chi,nyg,BeasJo99,fumbles_rec,0,,,,,
player,201310100chi,nyg,BeasJo99,fumbles_rec_yds,0,,,,,
player,201310100chi,nyg,BeasJo99,fumbles_rec_td,0,,,,,
player,201310100chi,nyg,BeasJo99,fumbles_forced,0,,,,,
player,201310100chi,nyg,AmukPr00,def_int,0,,,,,
player,201310100chi,nyg,AmukPr00,def_int_yds,0,,,,,
player,201310100chi,nyg,AmukPr00,def_int_td,0,,,,,
player,201310100chi,nyg,AmukPr00,def_int_long,0,,,,,
player,201310100chi,nyg,AmukPr00,pass_defended,0,,,,,
player,201310100chi,nyg,AmukPr00,sacks,0.0,,,,,
player,201310100chi,nyg,AmukPr00,tackles_combined,9,,,,,
player,201310100chi,nyg,AmukPr00,tackles_solo,9,,,,,
player,201310100chi,nyg,AmukPr00,tackles_assists,0,,,,,
player,201310100chi,nyg,AmukPr00,tackles_loss,1,,,,,
player,201310100chi,nyg,AmukPr00,qb_hits,0,,,,,
player,201310100chi,nyg,AmukPr00,fumbles_rec,0,,,,,
player,201310100chi,nyg,AmukPr00,fumbles_rec_yds,0,,,,,
player,201310100chi,nyg,AmukPr00,fumbles_rec_td,0,,,,,
player,201310100chi,nyg,AmukPr00,fumbles_forced,0,,,,,
player,201310100chi,nyg,RollAn20,def_int,0,,,,,
player,201310100chi,nyg,RollAn20,def_int_yds,0,,,,,
player,201310100chi,nyg,RollAn20,def_int_td,0,,,,,
player,201310100chi,nyg,RollAn20,def_int_long,0,,,,,
player,201310100chi,nyg,RollAn20,pass_defended,0,,,,,
player,201310100chi,nyg,RollAn20,sacks,0.0,,,,,
player,201310100chi,nyg,RollAn20,tackles_combined,8,,,,,
player,201310100chi,nyg,RollAn20,tackles_solo,7,,,,,
player,201310100chi,nyg,RollAn20,tackles_assists,1,,,,,
player,201310100chi,nyg,RollAn20,tackles_loss,0,,,,,
player,201310100chi,nyg,RollAn20,qb_hits,0,,,,,
player,201310100chi,nyg,RollAn20,fumbles_rec,0,,,,,
player,201310100chi,nyg,RollAn20,fumbles_rec_yds,0,,,,,
player,201310100chi,nyg,RollAn20,fumbles_rec_td,0,,,,,
player,201310100chi,nyg,RollAn20,fumbles_forced,0,,,,,
player,201310100chi,nyg,ThomTe99,def_int,0,,,,,
player,201310100chi,nyg,ThomTe99,def_int_yds,0,,,,,
player,201310100chi,nyg,ThomTe99,def_int_td,0,,,,,
player,201310100chi,nyg,ThomTe99,def_int_long,0,,,,,
player,201310100chi,nyg,ThomTe99,pass_defended,0,,,,,
player,201310100chi,nyg,ThomTe99,sacks,0.0,,,,,
player,201310100chi,nyg,ThomTe99,tackles_combined,6,,,,,
player,201310100chi,nyg,ThomTe99,tackles_solo,5,,,,,
player,201310100chi,nyg,ThomTe99,tackles_assists,1,,,,,
player,201310100chi,nyg,ThomTe99,tackles_loss,0,,,,,
player,201310100chi,nyg,ThomTe99,qb_hits,0,,,,,
player,201310100chi,nyg,ThomTe99,fumbles_rec,0,,,,,
player,201310100chi,nyg,ThomTe99,fumbles_rec_yds,0,,,,,
player,201310100chi,nyg,ThomTe99,fumbles_rec_td,0,,,,,
player,201310100chi,nyg,ThomTe99,fumbles_forced,0,,,,,
player,201310100chi,nyg,HillWi01,def_int,0,,,,,
player,201310100chi,nyg,HillWi01,def_int_yds,0,,,,,
player,201310100chi,nyg,HillWi01,def_int_td,0,,,,,
player,201310100chi,nyg,HillWi01,def_int_long,0,,,,,
player,201310100chi,nyg,HillWi01,pass_defended,0,,,,,
