game,2013,2,20130915,201309150nyg,den,"Denver Broncos",41,nyg,"New York Giants",23
player,201309150nyg,nyg,MyerBr00,rush_yds,0,,,,,
player,201309150nyg,nyg,MyerBr00,rush_td,0,,,,,
player,201309150nyg,nyg,MyerBr00,rush_long,0,,,,,
player,201309150nyg,nyg,MyerBr00,targets,10,,,,,
player,201309150nyg,nyg,MyerBr00,rec,6,,,,,
player,201309150nyg,nyg,MyerBr00,rec_yds,74,,,,,
player,201309150nyg,nyg,MyerBr00,rec_td,0,,,,,
player,201309150nyg,nyg,MyerBr00,rec_long,27,,,,,
player,201309150nyg,nyg,MyerBr00,fumbles,0,,,,,
player,201309150nyg,nyg,MyerBr00,fumbles_lost,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201309150nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201309150nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201309150nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201309150nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201309150nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201309150nyg,nyg,DonnLa00,targets,3,,,,,
player,201309150nyg,nyg,DonnLa00,rec,3,,,,,
player,201309150nyg,nyg,DonnLa00,rec_yds,31,,,,,
player,201309150nyg,nyg,DonnLa00,rec_td,0,,,,,
player,201309150nyg,nyg,DonnLa00,rec_long,11,,,,,
player,201309150nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201309150nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_cmp,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_att,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_yds,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_td,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_int,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_sacked,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_long,0,,,,,
player,201309150nyg,nyg,RandRu00,pass_rating,,,,,,
player,201309150nyg,nyg,RandRu00,rush_att,0,,,,,
player,201309150nyg,nyg,RandRu00,rush_yds,0,,,,,
player,201309150nyg,nyg,RandRu00,rush_td,0,,,,,
player,201309150nyg,nyg,RandRu00,rush_long,0,,,,,
player,201309150nyg,nyg,RandRu00,targets,9,,,,,
player,201309150nyg,nyg,RandRu00,rec,3,,,,,
player,201309150nyg,nyg,RandRu00,rec_yds,14,,,,,
player,201309150nyg,nyg,RandRu00,rec_td,0,,,,,
player,201309150nyg,nyg,RandRu00,rec_long,8,,,,,
player,201309150nyg,nyg,RandRu00,fumbles,0,,,,,
player,201309150nyg,nyg,RandRu00,fumbles_lost,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_cmp,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_att,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_yds,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_td,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_int,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_sacked,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_long,0,,,,,
player,201309150nyg,nyg,PascBe00,pass_rating,,,,,,
player,201309150nyg,nyg,PascBe00,rush_att,0,,,,,
player,201309150nyg,nyg,PascBe00,rush_yds,0,,,,,
player,201309150nyg,nyg,PascBe00,rush_td,0,,,,,
player,201309150nyg,nyg,PascBe00,rush_long,0,,,,,
player,201309150nyg,nyg,PascBe00,targets,2,,,,,
player,201309150nyg,nyg,PascBe00,rec,2,,,,,
player,201309150nyg,nyg,PascBe00,rec_yds,12,,,,,
player,201309150nyg,nyg,PascBe00,rec_td,0,,,,,
player,201309150nyg,nyg,PascBe00,rec_long,9,,,,,
player,201309150nyg,nyg,PascBe00,fumbles,0,,,,,
player,201309150nyg,nyg,PascBe00,fumbles_lost,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_cmp,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_att,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_yds,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_td,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_int,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_sacked,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_sacked_yds,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_long,0,,,,,
player,201309150nyg,nyg,JernJe00,pass_rating,,,,,,
player,201309150nyg,nyg,JernJe00,rush_att,0,,,,,
player,201309150nyg,nyg,JernJe00,rush_yds,0,,,,,
player,201309150nyg,nyg,JernJe00,rush_td,0,,,,,
player,201309150nyg,nyg,JernJe00,rush_long,0,,,,,
player,201309150nyg,nyg,JernJe00,targets,1,,,,,
player,201309150nyg,nyg,JernJe00,rec,0,,,,,
player,201309150nyg,nyg,JernJe00,rec_yds,0,,,,,
player,201309150nyg,nyg,JernJe00,rec_td,0,,,,,
player,201309150nyg,nyg,JernJe00,rec_long,0,,,,,
player,201309150nyg,nyg,JernJe00,fumbles,0,,,,,
