game,2013,1,20130908,201309080ram,crd,"Arizona Cardinals",24,ram,"St. Louis Rams",27
player,201309080ram,crd,SmitAl22,pass_td,0,,,,,
player,201309080ram,crd,SmitAl22,pass_int,0,,,,,
player,201309080ram,crd,SmitAl22,pass_sacked,0,,,,,
player,201309080ram,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201309080ram,crd,SmitAl22,pass_long,0,,,,,
player,201309080ram,crd,SmitAl22,pass_rating,,,,,,
player,201309080ram,crd,SmitAl22,rush_att,10,,,,,
player,201309080ram,crd,SmitAl22,rush_yds,26,,,,,
player,201309080ram,crd,SmitAl22,rush_td,0,,,,,
player,201309080ram,crd,SmitAl22,rush_long,7,,,,,
player,201309080ram,crd,SmitAl22,targets,1,,,,,
player,201309080ram,crd,SmitAl22,rec,0,,,,,
player,201309080ram,crd,SmitAl22,rec_yds,0,,,,,
player,201309080ram,crd,SmitAl22,rec_td,0,,,,,
player,201309080ram,crd,SmitAl22,rec_long,0,,,,,
player,201309080ram,crd,SmitAl22,fumbles,1,,,,,
player,201309080ram,crd,SmitAl22,fumbles_lost,0,,,,,
player,201309080ram,crd,RobeAn00,pass_cmp,0,,,,,
player,201309080ram,crd,RobeAn00,pass_att,0,,,,,
player,201309080ram,crd,RobeAn00,pass_yds,0,,,,,
player,201309080ram,crd,RobeAn00,pass_td,0,,,,,
player,201309080ram,crd,RobeAn00,pass_int,0,,,,,
player,201309080ram,crd,RobeAn00,pass_sacked,0,,,,,
player,201309080ram,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,RobeAn00,pass_long,0,,,,,
player,201309080ram,crd,RobeAn00,pass_rating,,,,,,
player,201309080ram,crd,RobeAn00,rush_att,0,,,,,
player,201309080ram,crd,RobeAn00,rush_yds,0,,,,,
player,201309080ram,crd,RobeAn00,rush_td,0,,,,,
player,201309080ram,crd,RobeAn00,rush_long,0,,,,,
player,201309080ram,crd,RobeAn00,targets,9,,,,,
player,201309080ram,crd,RobeAn00,rec,8,,,,,
player,201309080ram,crd,RobeAn00,rec_yds,97,,,,,
player,201309080ram,crd,RobeAn00,rec_td,0,,,,,
player,201309080ram,crd,RobeAn00,rec_long,19,,,,,
player,201309080ram,crd,RobeAn00,fumbles,0,,,,,
player,201309080ram,crd,RobeAn00,fumbles_lost,0,,,,,
player,201309080ram,crd,FloyMi00,pass_cmp,0,,,,,
player,201309080ram,crd,FloyMi00,pass_att,0,,,,,
player,201309080ram,crd,FloyMi00,pass_yds,0,,,,,
player,201309080ram,crd,FloyMi00,pass_td,0,,,,,
player,201309080ram,crd,FloyMi00,pass_int,0,,,,,
player,201309080ram,crd,FloyMi00,pass_sacked,0,,,,,
player,201309080ram,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,FloyMi00,pass_long,0,,,,,
player,201309080ram,crd,FloyMi00,pass_rating,,,,,,
player,201309080ram,crd,FloyMi00,rush_att,0,,,,,
player,201309080ram,crd,FloyMi00,rush_yds,0,,,,,
player,201309080ram,crd,FloyMi00,rush_td,0,,,,,
player,201309080ram,crd,FloyMi00,rush_long,0,,,,,
player,201309080ram,crd,FloyMi00,targets,6,,,,,
player,201309080ram,crd,FloyMi00,rec,4,,,,,
player,201309080ram,crd,FloyMi00,rec_yds,82,,,,,
player,201309080ram,crd,FloyMi00,rec_td,0,,,,,
player,201309080ram,crd,FloyMi00,rec_long,44,,,,,
player,201309080ram,crd,FloyMi00,fumbles,0,,,,,
player,201309080ram,crd,FloyMi00,fumbles_lost,0,,,,,
player,201309080ram,crd,FitzLa00,pass_cmp,0,,,,,
player,201309080ram,crd,FitzLa00,pass_att,0,,,,,
player,201309080ram,crd,FitzLa00,pass_yds,0,,,,,
player,201309080ram,crd,FitzLa00,pass_td,0,,,,,
player,201309080ram,crd,FitzLa00,pass_int,0,,,,,
player,201309080ram,crd,FitzLa00,pass_sacked,0,,,,,
player,201309080ram,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,FitzLa00,pass_long,0,,,,,
player,201309080ram,crd,FitzLa00,pass_rating,,,,,,
player,201309080ram,crd,FitzLa00,rush_att,0,,,,,
player,201309080ram,crd,FitzLa00,rush_yds,0,,,,,
player,201309080ram,crd,FitzLa00,rush_td,0,,,,,
player,201309080ram,crd,FitzLa00,rush_long,0,,,,,
player,201309080ram,crd,FitzLa00,targets,14,,,,,
player,201309080ram,crd,FitzLa00,rec,8,,,,,
player,201309080ram,crd,FitzLa00,rec_yds,80,,,,,
player,201309080ram,crd,FitzLa00,rec_td,2,,,,,
player,201309080ram,crd,FitzLa00,rec_long,24,,,,,
player,201309080ram,crd,FitzLa00,fumbles,0,,,,,
player,201309080ram,crd,FitzLa00,fumbles_lost,0,,,,,
player,201309080ram,crd,DrayJi00,pass_cmp,0,,,,,
player,201309080ram,crd,DrayJi00,pass_att,0,,,,,
player,201309080ram,crd,DrayJi00,pass_yds,0,,,,,
player,201309080ram,crd,DrayJi00,pass_td,0,,,,,
player,201309080ram,crd,DrayJi00,pass_int,0,,,,,
player,201309080ram,crd,DrayJi00,pass_sacked,0,,,,,
player,201309080ram,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,DrayJi00,pass_long,0,,,,,
player,201309080ram,crd,DrayJi00,pass_rating,,,,,,
player,201309080ram,crd,DrayJi00,rush_att,0,,,,,
player,201309080ram,crd,DrayJi00,rush_yds,0,,,,,
player,201309080ram,crd,DrayJi00,rush_td,0,,,,,
player,201309080ram,crd,DrayJi00,rush_long,0,,,,,
player,201309080ram,crd,DrayJi00,targets,2,,,,,
player,201309080ram,crd,DrayJi00,rec,2,,,,,
player,201309080ram,crd,DrayJi00,rec_yds,21,,,,,
player,201309080ram,crd,DrayJi00,rec_td,0,,,,,
player,201309080ram,crd,DrayJi00,rec_long,11,,,,,
player,201309080ram,crd,DrayJi00,fumbles,0,,,,,
player,201309080ram,crd,DrayJi00,fumbles_lost,0,,,,,
player,201309080ram,crd,SperKo00,pass_cmp,0,,,,,
player,201309080ram,crd,SperKo00,pass_att,0,,,,,
player,201309080ram,crd,SperKo00,pass_yds,0,,,,,
player,201309080ram,crd,SperKo00,pass_td,0,,,,,
player,201309080ram,crd,SperKo00,pass_int,0,,,,,
player,201309080ram,crd,SperKo00,pass_sacked,0,,,,,
player,201309080ram,crd,SperKo00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,SperKo00,pass_long,0,,,,,
player,201309080ram,crd,SperKo00,pass_rating,,,,,,
player,201309080ram,crd,SperKo00,rush_att,0,,,,,
player,201309080ram,crd,SperKo00,rush_yds,0,,,,,
player,201309080ram,crd,SperKo00,rush_td,0,,,,,
player,201309080ram,crd,SperKo00,rush_long,0,,,,,
player,201309080ram,crd,SperKo00,targets,1,,,,,
player,201309080ram,crd,SperKo00,rec,1,,,,,
player,201309080ram,crd,SperKo00,rec_yds,16,,,,,
player,201309080ram,crd,SperKo00,rec_td,0,,,,,
player,201309080ram,crd,SperKo00,rec_long,16,,,,,
player,201309080ram,crd,SperKo00,fumbles,0,,,,,
player,201309080ram,crd,SperKo00,fumbles_lost,0,,,,,
player,201309080ram,crd,BrowJa03,pass_cmp,0,,,,,
player,201309080ram,crd,BrowJa03,pass_att,0,,,,,
player,201309080ram,crd,BrowJa03,pass_yds,0,,,,,
player,201309080ram,crd,BrowJa03,pass_td,0,,,,,
player,201309080ram,crd,BrowJa03,pass_int,0,,,,,
player,201309080ram,crd,BrowJa03,pass_sacked,0,,,,,
player,201309080ram,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201309080ram,crd,BrowJa03,pass_long,0,,,,,
player,201309080ram,crd,BrowJa03,pass_rating,,,,,,
player,201309080ram,crd,BrowJa03,rush_att,0,,,,,
player,201309080ram,crd,BrowJa03,rush_yds,0,,,,,
player,201309080ram,crd,BrowJa03,rush_td,0,,,,,
player,201309080ram,crd,BrowJa03,rush_long,0,,,,,
player,201309080ram,crd,BrowJa03,targets,2,,,,,
player,201309080ram,crd,BrowJa03,rec,1,,,,,
player,201309080ram,crd,BrowJa03,rec_yds,14,,,,,
player,201309080ram,crd,BrowJa03,rec_td,0,,,,,
player,201309080ram,crd,BrowJa03,rec_long,14,,,,,
player,201309080ram,crd,BrowJa03,fumbles,0,,,,,
player,201309080ram,crd,BrowJa03,fumbles_lost,0,,,,,
player,201309080ram,crd,ElliAn00,pass_cmp,0,,,,,
player,201309080ram,crd,ElliAn00,pass_att,0,,,,,
player,201309080ram,crd,ElliAn00,pass_yds,0,,,,,
