game,2013,10,20131110,201311100atl,sea,"Seattle Seahawks",33,atl,"Atlanta Falcons",10
player,201311100atl,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201311100atl,sea,BaldDo00,pass_long,0,,,,,
player,201311100atl,sea,BaldDo00,pass_rating,,,,,,
player,201311100atl,sea,BaldDo00,rush_att,0,,,,,
player,201311100atl,sea,BaldDo00,rush_yds,0,,,,,
player,201311100atl,sea,BaldDo00,rush_td,0,,,,,
player,201311100atl,sea,BaldDo00,rush_long,0,,,,,
player,201311100atl,sea,BaldDo00,targets,8,,,,,
player,201311100atl,sea,BaldDo00,rec,5,,,,,
player,201311100atl,sea,BaldDo00,rec_yds,76,,,,,
player,201311100atl,sea,BaldDo00,rec_td,0,,,,,
player,201311100atl,sea,BaldDo00,rec_long,30,,,,,
player,201311100atl,sea,BaldDo00,fumbles,0,,,,,
player,201311100atl,sea,BaldDo00,fumbles_lost,0,,,,,
player,201311100atl,sea,KearJe01,pass_cmp,0,,,,,
player,201311100atl,sea,KearJe01,pass_att,0,,,,,
player,201311100atl,sea,KearJe01,pass_yds,0,,,,,
player,201311100atl,sea,KearJe01,pass_td,0,,,,,
player,201311100atl,sea,KearJe01,pass_int,0,,,,,
player,201311100atl,sea,KearJe01,pass_sacked,0,,,,,
player,201311100atl,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201311100atl,sea,KearJe01,pass_long,0,,,,,
player,201311100atl,sea,KearJe01,pass_rating,,,,,,
player,201311100atl,sea,KearJe01,rush_att,0,,,,,
player,201311100atl,sea,KearJe01,rush_yds,0,,,,,
player,201311100atl,sea,KearJe01,rush_td,0,,,,,
player,201311100atl,sea,KearJe01,rush_long,0,,,,,
player,201311100atl,sea,KearJe01,targets,4,,,,,
player,201311100atl,sea,KearJe01,rec,3,,,,,
player,201311100atl,sea,KearJe01,rec_yds,75,,,,,
player,201311100atl,sea,KearJe01,rec_td,1,,,,,
player,201311100atl,sea,KearJe01,rec_long,43,,,,,
player,201311100atl,sea,KearJe01,fumbles,0,,,,,
player,201311100atl,sea,KearJe01,fumbles_lost,0,,,,,
player,201311100atl,sea,WillLu00,pass_cmp,0,,,,,
player,201311100atl,sea,WillLu00,pass_att,0,,,,,
player,201311100atl,sea,WillLu00,pass_yds,0,,,,,
player,201311100atl,sea,WillLu00,pass_td,0,,,,,
player,201311100atl,sea,WillLu00,pass_int,0,,,,,
player,201311100atl,sea,WillLu00,pass_sacked,0,,,,,
player,201311100atl,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201311100atl,sea,WillLu00,pass_long,0,,,,,
player,201311100atl,sea,WillLu00,pass_rating,,,,,,
player,201311100atl,sea,WillLu00,rush_att,0,,,,,
player,201311100atl,sea,WillLu00,rush_yds,0,,,,,
player,201311100atl,sea,WillLu00,rush_td,0,,,,,
player,201311100atl,sea,WillLu00,rush_long,0,,,,,
player,201311100atl,sea,WillLu00,targets,2,,,,,
player,201311100atl,sea,WillLu00,rec,1,,,,,
player,201311100atl,sea,WillLu00,rec_yds,19,,,,,
player,201311100atl,sea,WillLu00,rec_td,0,,,,,
player,201311100atl,sea,WillLu00,rec_long,19,,,,,
player,201311100atl,sea,WillLu00,fumbles,0,,,,,
player,201311100atl,sea,WillLu00,fumbles_lost,0,,,,,
player,201311100atl,sea,LockRi00,pass_cmp,0,,,,,
player,201311100atl,sea,LockRi00,pass_att,0,,,,,
player,201311100atl,sea,LockRi00,pass_yds,0,,,,,
player,201311100atl,sea,LockRi00,pass_td,0,,,,,
player,201311100atl,sea,LockRi00,pass_int,0,,,,,
