game,2013,16,20131222,201312220rav,nwe,"New England Patriots",41,rav,"Baltimore Ravens",7
player,201312220rav,nwe,VereSh00,rec_long,4,,,,,
player,201312220rav,nwe,VereSh00,fumbles,0,,,,,
player,201312220rav,nwe,VereSh00,fumbles_lost,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_cmp,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_att,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_yds,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_td,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_int,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_sacked,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_long,0,,,,,
player,201312220rav,nwe,EdelJu00,pass_rating,,,,,,
player,201312220rav,nwe,EdelJu00,rush_att,0,,,,,
player,201312220rav,nwe,EdelJu00,rush_yds,0,,,,,
player,201312220rav,nwe,EdelJu00,rush_td,0,,,,,
player,201312220rav,nwe,EdelJu00,rush_long,0,,,,,
player,201312220rav,nwe,EdelJu00,targets,11,,,,,
player,201312220rav,nwe,EdelJu00,rec,7,,,,,
player,201312220rav,nwe,EdelJu00,rec_yds,77,,,,,
player,201312220rav,nwe,EdelJu00,rec_td,0,,,,,
player,201312220rav,nwe,EdelJu00,rec_long,19,,,,,
player,201312220rav,nwe,EdelJu00,fumbles,0,,,,,
player,201312220rav,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_cmp,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_att,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_yds,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_td,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_int,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_sacked,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_long,0,,,,,
player,201312220rav,nwe,AmenDa00,pass_rating,,,,,,
player,201312220rav,nwe,AmenDa00,rush_att,0,,,,,
player,201312220rav,nwe,AmenDa00,rush_yds,0,,,,,
player,201312220rav,nwe,AmenDa00,rush_td,0,,,,,
player,201312220rav,nwe,AmenDa00,rush_long,0,,,,,
player,201312220rav,nwe,AmenDa00,targets,3,,,,,
player,201312220rav,nwe,AmenDa00,rec,2,,,,,
player,201312220rav,nwe,AmenDa00,rec_yds,45,,,,,
player,201312220rav,nwe,AmenDa00,rec_td,0,,,,,
player,201312220rav,nwe,AmenDa00,rec_long,34,,,,,
player,201312220rav,nwe,AmenDa00,fumbles,0,,,,,
player,201312220rav,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_cmp,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_att,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_yds,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_td,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_int,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_sacked,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_long,0,,,,,
player,201312220rav,nwe,DobsAa00,pass_rating,,,,,,
player,201312220rav,nwe,DobsAa00,rush_att,0,,,,,
player,201312220rav,nwe,DobsAa00,rush_yds,0,,,,,
player,201312220rav,nwe,DobsAa00,rush_td,0,,,,,
player,201312220rav,nwe,DobsAa00,rush_long,0,,,,,
player,201312220rav,nwe,DobsAa00,targets,4,,,,,
player,201312220rav,nwe,DobsAa00,rec,1,,,,,
player,201312220rav,nwe,DobsAa00,rec_yds,21,,,,,
player,201312220rav,nwe,DobsAa00,rec_td,0,,,,,
player,201312220rav,nwe,DobsAa00,rec_long,21,,,,,
player,201312220rav,nwe,DobsAa00,fumbles,0,,,,,
player,201312220rav,nwe,DobsAa00,fumbles_lost,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_cmp,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_att,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_yds,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_td,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_int,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_sacked,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_sacked_yds,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_long,0,,,,,
player,201312220rav,nwe,HoomMi00,pass_rating,,,,,,
player,201312220rav,nwe,HoomMi00,rush_att,0,,,,,
player,201312220rav,nwe,HoomMi00,rush_yds,0,,,,,
player,201312220rav,nwe,HoomMi00,rush_td,0,,,,,
player,201312220rav,nwe,HoomMi00,rush_long,0,,,,,
player,201312220rav,nwe,HoomMi00,targets,1,,,,,
player,201312220rav,nwe,HoomMi00,rec,1,,,,,
player,201312220rav,nwe,HoomMi00,rec_yds,9,,,,,
player,201312220rav,nwe,HoomMi00,rec_td,0,,,,,
player,201312220rav,nwe,HoomMi00,rec_long,9,,,,,
player,201312220rav,nwe,HoomMi00,fumbles,0,,,,,
player,201312220rav,nwe,HoomMi00,fumbles_lost,0,,,,,
player,201312220rav,rav,FlacJo00,pass_cmp,22,,,,,
player,201312220rav,rav,FlacJo00,pass_att,38,,,,,
player,201312220rav,rav,FlacJo00,pass_yds,260,,,,,
player,201312220rav,rav,FlacJo00,pass_td,0,,,,,
player,201312220rav,rav,FlacJo00,pass_int,2,,,,,
player,201312220rav,rav,FlacJo00,pass_sacked,4,,,,,
player,201312220rav,rav,FlacJo00,pass_sacked_yds,25,,,,,
player,201312220rav,rav,FlacJo00,pass_long,42,,,,,
player,201312220rav,rav,FlacJo00,pass_rating,56.9,,,,,
player,201312220rav,rav,FlacJo00,rush_att,2,,,,,
player,201312220rav,rav,FlacJo00,rush_yds,0,,,,,
player,201312220rav,rav,FlacJo00,rush_td,1,,,,,
player,201312220rav,rav,FlacJo00,rush_long,1,,,,,
player,201312220rav,rav,FlacJo00,targets,0,,,,,
player,201312220rav,rav,FlacJo00,rec,0,,,,,
player,201312220rav,rav,FlacJo00,rec_yds,0,,,,,
player,201312220rav,rav,FlacJo00,rec_td,0,,,,,
player,201312220rav,rav,FlacJo00,rec_long,0,,,,,
player,201312220rav,rav,FlacJo00,fumbles,0,,,,,
player,201312220rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201312220rav,rav,TaylTy00,pass_cmp,1,,,,,
player,201312220rav,rav,TaylTy00,pass_att,4,,,,,
player,201312220rav,rav,TaylTy00,pass_yds,2,,,,,
player,201312220rav,rav,TaylTy00,pass_td,0,,,,,
player,201312220rav,rav,TaylTy00,pass_int,1,,,,,
player,201312220rav,rav,TaylTy00,pass_sacked,0,,,,,
player,201312220rav,rav,TaylTy00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,TaylTy00,pass_long,2,,,,,
player,201312220rav,rav,TaylTy00,pass_rating,0.0,,,,,
player,201312220rav,rav,TaylTy00,rush_att,3,,,,,
player,201312220rav,rav,TaylTy00,rush_yds,39,,,,,
player,201312220rav,rav,TaylTy00,rush_td,0,,,,,
player,201312220rav,rav,TaylTy00,rush_long,25,,,,,
player,201312220rav,rav,TaylTy00,targets,0,,,,,
player,201312220rav,rav,TaylTy00,rec,0,,,,,
player,201312220rav,rav,TaylTy00,rec_yds,0,,,,,
player,201312220rav,rav,TaylTy00,rec_td,0,,,,,
player,201312220rav,rav,TaylTy00,rec_long,0,,,,,
player,201312220rav,rav,TaylTy00,fumbles,0,,,,,
player,201312220rav,rav,TaylTy00,fumbles_lost,0,,,,,
player,201312220rav,rav,RiceRa00,pass_cmp,0,,,,,
player,201312220rav,rav,RiceRa00,pass_att,0,,,,,
player,201312220rav,rav,RiceRa00,pass_yds,0,,,,,
player,201312220rav,rav,RiceRa00,pass_td,0,,,,,
player,201312220rav,rav,RiceRa00,pass_int,0,,,,,
player,201312220rav,rav,RiceRa00,pass_sacked,0,,,,,
player,201312220rav,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,RiceRa00,pass_long,0,,,,,
player,201312220rav,rav,RiceRa00,pass_rating,,,,,,
player,201312220rav,rav,RiceRa00,rush_att,11,,,,,
player,201312220rav,rav,RiceRa00,rush_yds,40,,,,,
player,201312220rav,rav,RiceRa00,rush_td,0,,,,,
player,201312220rav,rav,RiceRa00,rush_long,8,,,,,
player,201312220rav,rav,RiceRa00,targets,3,,,,,
player,201312220rav,rav,RiceRa00,rec,2,,,,,
player,201312220rav,rav,RiceRa00,rec_yds,23,,,,,
player,201312220rav,rav,RiceRa00,rec_td,0,,,,,
player,201312220rav,rav,RiceRa00,rec_long,13,,,,,
player,201312220rav,rav,RiceRa00,fumbles,0,,,,,
player,201312220rav,rav,RiceRa00,fumbles_lost,0,,,,,
player,201312220rav,rav,PierBe00,pass_cmp,0,,,,,
player,201312220rav,rav,PierBe00,pass_att,0,,,,,
player,201312220rav,rav,PierBe00,pass_yds,0,,,,,
player,201312220rav,rav,PierBe00,pass_td,0,,,,,
player,201312220rav,rav,PierBe00,pass_int,0,,,,,
player,201312220rav,rav,PierBe00,pass_sacked,0,,,,,
player,201312220rav,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,PierBe00,pass_long,0,,,,,
player,201312220rav,rav,PierBe00,pass_rating,,,,,,
player,201312220rav,rav,PierBe00,rush_att,10,,,,,
player,201312220rav,rav,PierBe00,rush_yds,31,,,,,
player,201312220rav,rav,PierBe00,rush_td,0,,,,,
player,201312220rav,rav,PierBe00,rush_long,6,,,,,
player,201312220rav,rav,PierBe00,targets,5,,,,,
player,201312220rav,rav,PierBe00,rec,3,,,,,
player,201312220rav,rav,PierBe00,rec_yds,27,,,,,
player,201312220rav,rav,PierBe00,rec_td,0,,,,,
player,201312220rav,rav,PierBe00,rec_long,15,,,,,
player,201312220rav,rav,PierBe00,fumbles,0,,,,,
player,201312220rav,rav,PierBe00,fumbles_lost,0,,,,,
player,201312220rav,rav,ScotBe00,pass_cmp,0,,,,,
player,201312220rav,rav,ScotBe00,pass_att,0,,,,,
player,201312220rav,rav,ScotBe00,pass_yds,0,,,,,
player,201312220rav,rav,ScotBe00,pass_td,0,,,,,
player,201312220rav,rav,ScotBe00,pass_int,0,,,,,
player,201312220rav,rav,ScotBe00,pass_sacked,0,,,,,
player,201312220rav,rav,ScotBe00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,ScotBe00,pass_long,0,,,,,
player,201312220rav,rav,ScotBe00,pass_rating,,,,,,
player,201312220rav,rav,ScotBe00,rush_att,2,,,,,
player,201312220rav,rav,ScotBe00,rush_yds,11,,,,,
player,201312220rav,rav,ScotBe00,rush_td,0,,,,,
player,201312220rav,rav,ScotBe00,rush_long,9,,,,,
player,201312220rav,rav,ScotBe00,targets,1,,,,,
player,201312220rav,rav,ScotBe00,rec,1,,,,,
player,201312220rav,rav,ScotBe00,rec_yds,2,,,,,
player,201312220rav,rav,ScotBe00,rec_td,0,,,,,
player,201312220rav,rav,ScotBe00,rec_long,2,,,,,
player,201312220rav,rav,ScotBe00,fumbles,0,,,,,
player,201312220rav,rav,ScotBe00,fumbles_lost,0,,,,,
player,201312220rav,rav,SmitTo02,pass_cmp,0,,,,,
player,201312220rav,rav,SmitTo02,pass_att,0,,,,,
player,201312220rav,rav,SmitTo02,pass_yds,0,,,,,
player,201312220rav,rav,SmitTo02,pass_td,0,,,,,
player,201312220rav,rav,SmitTo02,pass_int,0,,,,,
player,201312220rav,rav,SmitTo02,pass_sacked,0,,,,,
player,201312220rav,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201312220rav,rav,SmitTo02,pass_long,0,,,,,
player,201312220rav,rav,SmitTo02,pass_rating,,,,,,
player,201312220rav,rav,SmitTo02,rush_att,0,,,,,
player,201312220rav,rav,SmitTo02,rush_yds,0,,,,,
player,201312220rav,rav,SmitTo02,rush_td,0,,,,,
player,201312220rav,rav,SmitTo02,rush_long,0,,,,,
player,201312220rav,rav,SmitTo02,targets,8,,,,,
player,201312220rav,rav,SmitTo02,rec,3,,,,,
player,201312220rav,rav,SmitTo02,rec_yds,69,,,,,
player,201312220rav,rav,SmitTo02,rec_td,0,,,,,
player,201312220rav,rav,SmitTo02,rec_long,42,,,,,
player,201312220rav,rav,SmitTo02,fumbles,0,,,,,
player,201312220rav,rav,SmitTo02,fumbles_lost,0,,,,,
player,201312220rav,rav,BrowMa00,pass_cmp,0,,,,,
player,201312220rav,rav,BrowMa00,pass_att,0,,,,,
player,201312220rav,rav,BrowMa00,pass_yds,0,,,,,
player,201312220rav,rav,BrowMa00,pass_td,0,,,,,
player,201312220rav,rav,BrowMa00,pass_int,0,,,,,
player,201312220rav,rav,BrowMa00,pass_sacked,0,,,,,
player,201312220rav,rav,BrowMa00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,BrowMa00,pass_long,0,,,,,
player,201312220rav,rav,BrowMa00,pass_rating,,,,,,
player,201312220rav,rav,BrowMa00,rush_att,0,,,,,
player,201312220rav,rav,BrowMa00,rush_yds,0,,,,,
player,201312220rav,rav,BrowMa00,rush_td,0,,,,,
player,201312220rav,rav,BrowMa00,rush_long,0,,,,,
player,201312220rav,rav,BrowMa00,targets,7,,,,,
player,201312220rav,rav,BrowMa00,rec,4,,,,,
player,201312220rav,rav,BrowMa00,rec_yds,51,,,,,
player,201312220rav,rav,BrowMa00,rec_td,0,,,,,
player,201312220rav,rav,BrowMa00,rec_long,21,,,,,
player,201312220rav,rav,BrowMa00,fumbles,0,,,,,
player,201312220rav,rav,BrowMa00,fumbles_lost,0,,,,,
player,201312220rav,rav,DickEd00,pass_cmp,0,,,,,
player,201312220rav,rav,DickEd00,pass_att,0,,,,,
player,201312220rav,rav,DickEd00,pass_yds,0,,,,,
player,201312220rav,rav,DickEd00,pass_td,0,,,,,
player,201312220rav,rav,DickEd00,pass_int,0,,,,,
player,201312220rav,rav,DickEd00,pass_sacked,0,,,,,
player,201312220rav,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,DickEd00,pass_long,0,,,,,
player,201312220rav,rav,DickEd00,pass_rating,,,,,,
player,201312220rav,rav,DickEd00,rush_att,0,,,,,
player,201312220rav,rav,DickEd00,rush_yds,0,,,,,
player,201312220rav,rav,DickEd00,rush_td,0,,,,,
player,201312220rav,rav,DickEd00,rush_long,0,,,,,
player,201312220rav,rav,DickEd00,targets,5,,,,,
player,201312220rav,rav,DickEd00,rec,4,,,,,
player,201312220rav,rav,DickEd00,rec_yds,44,,,,,
player,201312220rav,rav,DickEd00,rec_td,0,,,,,
player,201312220rav,rav,DickEd00,rec_long,17,,,,,
player,201312220rav,rav,DickEd00,fumbles,0,,,,,
player,201312220rav,rav,DickEd00,fumbles_lost,0,,,,,
player,201312220rav,rav,PittDe00,pass_cmp,0,,,,,
player,201312220rav,rav,PittDe00,pass_att,0,,,,,
player,201312220rav,rav,PittDe00,pass_yds,0,,,,,
player,201312220rav,rav,PittDe00,pass_td,0,,,,,
player,201312220rav,rav,PittDe00,pass_int,0,,,,,
player,201312220rav,rav,PittDe00,pass_sacked,0,,,,,
player,201312220rav,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,PittDe00,pass_long,0,,,,,
player,201312220rav,rav,PittDe00,pass_rating,,,,,,
player,201312220rav,rav,PittDe00,rush_att,0,,,,,
player,201312220rav,rav,PittDe00,rush_yds,0,,,,,
player,201312220rav,rav,PittDe00,rush_td,0,,,,,
player,201312220rav,rav,PittDe00,rush_long,0,,,,,
player,201312220rav,rav,PittDe00,targets,7,,,,,
player,201312220rav,rav,PittDe00,rec,4,,,,,
player,201312220rav,rav,PittDe00,rec_yds,34,,,,,
player,201312220rav,rav,PittDe00,rec_td,0,,,,,
player,201312220rav,rav,PittDe00,rec_long,15,,,,,
player,201312220rav,rav,PittDe00,fumbles,0,,,,,
player,201312220rav,rav,PittDe00,fumbles_lost,0,,,,,
player,201312220rav,rav,JoneJa03,pass_cmp,0,,,,,
player,201312220rav,rav,JoneJa03,pass_att,0,,,,,
player,201312220rav,rav,JoneJa03,pass_yds,0,,,,,
player,201312220rav,rav,JoneJa03,pass_td,0,,,,,
player,201312220rav,rav,JoneJa03,pass_int,0,,,,,
player,201312220rav,rav,JoneJa03,pass_sacked,0,,,,,
player,201312220rav,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201312220rav,rav,JoneJa03,pass_long,0,,,,,
player,201312220rav,rav,JoneJa03,pass_rating,,,,,,
player,201312220rav,rav,JoneJa03,rush_att,0,,,,,
player,201312220rav,rav,JoneJa03,rush_yds,0,,,,,
player,201312220rav,rav,JoneJa03,rush_td,0,,,,,
player,201312220rav,rav,JoneJa03,rush_long,0,,,,,
player,201312220rav,rav,JoneJa03,targets,4,,,,,
player,201312220rav,rav,JoneJa03,rec,1,,,,,
player,201312220rav,rav,JoneJa03,rec_yds,11,,,,,
player,201312220rav,rav,JoneJa03,rec_td,0,,,,,
player,201312220rav,rav,JoneJa03,rec_long,11,,,,,
player,201312220rav,rav,JoneJa03,fumbles,0,,,,,
player,201312220rav,rav,JoneJa03,fumbles_lost,0,,,,,
player,201312220rav,rav,LeacVo00,pass_cmp,0,,,,,
player,201312220rav,rav,LeacVo00,pass_att,0,,,,,
player,201312220rav,rav,LeacVo00,pass_yds,0,,,,,
player,201312220rav,rav,LeacVo00,pass_td,0,,,,,
player,201312220rav,rav,LeacVo00,pass_int,0,,,,,
player,201312220rav,rav,LeacVo00,pass_sacked,0,,,,,
player,201312220rav,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,LeacVo00,pass_long,0,,,,,
player,201312220rav,rav,LeacVo00,pass_rating,,,,,,
player,201312220rav,rav,LeacVo00,rush_att,0,,,,,
player,201312220rav,rav,LeacVo00,rush_yds,0,,,,,
player,201312220rav,rav,LeacVo00,rush_td,0,,,,,
player,201312220rav,rav,LeacVo00,rush_long,0,,,,,
player,201312220rav,rav,LeacVo00,targets,1,,,,,
player,201312220rav,rav,LeacVo00,rec,1,,,,,
player,201312220rav,rav,LeacVo00,rec_yds,1,,,,,
player,201312220rav,rav,LeacVo00,rec_td,0,,,,,
player,201312220rav,rav,LeacVo00,rec_long,1,,,,,
player,201312220rav,rav,LeacVo00,fumbles,0,,,,,
player,201312220rav,rav,LeacVo00,fumbles_lost,0,,,,,
player,201312220rav,rav,DossTa00,pass_cmp,0,,,,,
player,201312220rav,rav,DossTa00,pass_att,0,,,,,
player,201312220rav,rav,DossTa00,pass_yds,0,,,,,
player,201312220rav,rav,DossTa00,pass_td,0,,,,,
player,201312220rav,rav,DossTa00,pass_int,0,,,,,
player,201312220rav,rav,DossTa00,pass_sacked,0,,,,,
player,201312220rav,rav,DossTa00,pass_sacked_yds,0,,,,,
player,201312220rav,rav,DossTa00,pass_long,0,,,,,
player,201312220rav,rav,DossTa00,pass_rating,,,,,,
player,201312220rav,rav,DossTa00,rush_att,0,,,,,
player,201312220rav,rav,DossTa00,rush_yds,0,,,,,
player,201312220rav,rav,DossTa00,rush_td,0,,,,,
player,201312220rav,rav,DossTa00,rush_long,0,,,,,
player,201312220rav,rav,DossTa00,targets,1,,,,,
player,201312220rav,rav,DossTa00,rec,0,,,,,
player,201312220rav,rav,DossTa00,rec_yds,0,,,,,
player,201312220rav,rav,DossTa00,rec_td,0,,,,,
player,201312220rav,rav,DossTa00,rec_long,0,,,,,
player,201312220rav,rav,DossTa00,fumbles,0,,,,,
player,201312220rav,rav,DossTa00,fumbles_lost,0,,,,,
player,201312220rav,nwe,RyanLo00,def_int,2,,,,,
player,201312220rav,nwe,RyanLo00,def_int_yds,1,,,,,
player,201312220rav,nwe,RyanLo00,def_int_td,0,,,,,
player,201312220rav,nwe,RyanLo00,def_int_long,1,,,,,
player,201312220rav,nwe,RyanLo00,pass_defended,3,,,,,
player,201312220rav,nwe,RyanLo00,sacks,0.0,,,,,
player,201312220rav,nwe,RyanLo00,tackles_combined,1,,,,,
player,201312220rav,nwe,RyanLo00,tackles_solo,0,,,,,
