game,2013,15,20131215,201312150oti,crd,"Arizona Cardinals",37,oti,"Tennessee Titans",34
player,201312150oti,crd,ElliAn00,rush_yds,71,,,,,
player,201312150oti,crd,ElliAn00,rush_td,0,,,,,
player,201312150oti,crd,ElliAn00,rush_long,22,,,,,
player,201312150oti,crd,ElliAn00,targets,5,,,,,
player,201312150oti,crd,ElliAn00,rec,4,,,,,
player,201312150oti,crd,ElliAn00,rec_yds,87,,,,,
player,201312150oti,crd,ElliAn00,rec_td,0,,,,,
player,201312150oti,crd,ElliAn00,rec_long,38,,,,,
player,201312150oti,crd,ElliAn00,fumbles,0,,,,,
player,201312150oti,crd,ElliAn00,fumbles_lost,0,,,,,
player,201312150oti,crd,MendRa00,pass_cmp,0,,,,,
player,201312150oti,crd,MendRa00,pass_att,0,,,,,
player,201312150oti,crd,MendRa00,pass_yds,0,,,,,
player,201312150oti,crd,MendRa00,pass_td,0,,,,,
player,201312150oti,crd,MendRa00,pass_int,0,,,,,
player,201312150oti,crd,MendRa00,pass_sacked,0,,,,,
player,201312150oti,crd,MendRa00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,MendRa00,pass_long,0,,,,,
player,201312150oti,crd,MendRa00,pass_rating,,,,,,
player,201312150oti,crd,MendRa00,rush_att,21,,,,,
player,201312150oti,crd,MendRa00,rush_yds,69,,,,,
player,201312150oti,crd,MendRa00,rush_td,2,,,,,
player,201312150oti,crd,MendRa00,rush_long,15,,,,,
player,201312150oti,crd,MendRa00,targets,2,,,,,
player,201312150oti,crd,MendRa00,rec,1,,,,,
player,201312150oti,crd,MendRa00,rec_yds,9,,,,,
player,201312150oti,crd,MendRa00,rec_td,0,,,,,
player,201312150oti,crd,MendRa00,rec_long,9,,,,,
player,201312150oti,crd,MendRa00,fumbles,0,,,,,
player,201312150oti,crd,MendRa00,fumbles_lost,0,,,,,
player,201312150oti,crd,TaylSt00,pass_cmp,0,,,,,
player,201312150oti,crd,TaylSt00,pass_att,0,,,,,
player,201312150oti,crd,TaylSt00,pass_yds,0,,,,,
player,201312150oti,crd,TaylSt00,pass_td,0,,,,,
player,201312150oti,crd,TaylSt00,pass_int,0,,,,,
player,201312150oti,crd,TaylSt00,pass_sacked,0,,,,,
player,201312150oti,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,TaylSt00,pass_long,0,,,,,
player,201312150oti,crd,TaylSt00,pass_rating,,,,,,
player,201312150oti,crd,TaylSt00,rush_att,3,,,,,
player,201312150oti,crd,TaylSt00,rush_yds,6,,,,,
player,201312150oti,crd,TaylSt00,rush_td,0,,,,,
player,201312150oti,crd,TaylSt00,rush_long,3,,,,,
player,201312150oti,crd,TaylSt00,targets,0,,,,,
player,201312150oti,crd,TaylSt00,rec,0,,,,,
player,201312150oti,crd,TaylSt00,rec_yds,0,,,,,
player,201312150oti,crd,TaylSt00,rec_td,0,,,,,
player,201312150oti,crd,TaylSt00,rec_long,0,,,,,
player,201312150oti,crd,TaylSt00,fumbles,0,,,,,
player,201312150oti,crd,TaylSt00,fumbles_lost,0,,,,,
player,201312150oti,crd,FitzLa00,pass_cmp,0,,,,,
player,201312150oti,crd,FitzLa00,pass_att,0,,,,,
player,201312150oti,crd,FitzLa00,pass_yds,0,,,,,
player,201312150oti,crd,FitzLa00,pass_td,0,,,,,
player,201312150oti,crd,FitzLa00,pass_int,0,,,,,
player,201312150oti,crd,FitzLa00,pass_sacked,0,,,,,
player,201312150oti,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,FitzLa00,pass_long,0,,,,,
player,201312150oti,crd,FitzLa00,pass_rating,,,,,,
player,201312150oti,crd,FitzLa00,rush_att,0,,,,,
player,201312150oti,crd,FitzLa00,rush_yds,0,,,,,
player,201312150oti,crd,FitzLa00,rush_td,0,,,,,
player,201312150oti,crd,FitzLa00,rush_long,0,,,,,
player,201312150oti,crd,FitzLa00,targets,9,,,,,
player,201312150oti,crd,FitzLa00,rec,6,,,,,
player,201312150oti,crd,FitzLa00,rec_yds,49,,,,,
player,201312150oti,crd,FitzLa00,rec_td,0,,,,,
player,201312150oti,crd,FitzLa00,rec_long,18,,,,,
player,201312150oti,crd,FitzLa00,fumbles,0,,,,,
player,201312150oti,crd,FitzLa00,fumbles_lost,0,,,,,
player,201312150oti,crd,FloyMi00,pass_cmp,0,,,,,
player,201312150oti,crd,FloyMi00,pass_att,0,,,,,
player,201312150oti,crd,FloyMi00,pass_yds,0,,,,,
player,201312150oti,crd,FloyMi00,pass_td,0,,,,,
player,201312150oti,crd,FloyMi00,pass_int,0,,,,,
player,201312150oti,crd,FloyMi00,pass_sacked,0,,,,,
player,201312150oti,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,FloyMi00,pass_long,0,,,,,
player,201312150oti,crd,FloyMi00,pass_rating,,,,,,
player,201312150oti,crd,FloyMi00,rush_att,0,,,,,
player,201312150oti,crd,FloyMi00,rush_yds,0,,,,,
player,201312150oti,crd,FloyMi00,rush_td,0,,,,,
player,201312150oti,crd,FloyMi00,rush_long,0,,,,,
player,201312150oti,crd,FloyMi00,targets,5,,,,,
player,201312150oti,crd,FloyMi00,rec,2,,,,,
player,201312150oti,crd,FloyMi00,rec_yds,33,,,,,
player,201312150oti,crd,FloyMi00,rec_td,0,,,,,
player,201312150oti,crd,FloyMi00,rec_long,20,,,,,
player,201312150oti,crd,FloyMi00,fumbles,0,,,,,
player,201312150oti,crd,FloyMi00,fumbles_lost,0,,,,,
player,201312150oti,crd,GoldBr00,pass_cmp,0,,,,,
player,201312150oti,crd,GoldBr00,pass_att,0,,,,,
player,201312150oti,crd,GoldBr00,pass_yds,0,,,,,
player,201312150oti,crd,GoldBr00,pass_td,0,,,,,
player,201312150oti,crd,GoldBr00,pass_int,0,,,,,
player,201312150oti,crd,GoldBr00,pass_sacked,0,,,,,
player,201312150oti,crd,GoldBr00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,GoldBr00,pass_long,0,,,,,
player,201312150oti,crd,GoldBr00,pass_rating,,,,,,
player,201312150oti,crd,GoldBr00,rush_att,0,,,,,
player,201312150oti,crd,GoldBr00,rush_yds,0,,,,,
player,201312150oti,crd,GoldBr00,rush_td,0,,,,,
player,201312150oti,crd,GoldBr00,rush_long,0,,,,,
player,201312150oti,crd,GoldBr00,targets,2,,,,,
player,201312150oti,crd,GoldBr00,rec,1,,,,,
player,201312150oti,crd,GoldBr00,rec_yds,16,,,,,
player,201312150oti,crd,GoldBr00,rec_td,0,,,,,
player,201312150oti,crd,GoldBr00,rec_long,16,,,,,
player,201312150oti,crd,GoldBr00,fumbles,0,,,,,
player,201312150oti,crd,GoldBr00,fumbles_lost,0,,,,,
player,201312150oti,crd,RobeAn00,pass_cmp,0,,,,,
player,201312150oti,crd,RobeAn00,pass_att,0,,,,,
player,201312150oti,crd,RobeAn00,pass_yds,0,,,,,
player,201312150oti,crd,RobeAn00,pass_td,0,,,,,
player,201312150oti,crd,RobeAn00,pass_int,0,,,,,
player,201312150oti,crd,RobeAn00,pass_sacked,0,,,,,
player,201312150oti,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,RobeAn00,pass_long,0,,,,,
player,201312150oti,crd,RobeAn00,pass_rating,,,,,,
player,201312150oti,crd,RobeAn00,rush_att,0,,,,,
player,201312150oti,crd,RobeAn00,rush_yds,0,,,,,
player,201312150oti,crd,RobeAn00,rush_td,0,,,,,
player,201312150oti,crd,RobeAn00,rush_long,0,,,,,
player,201312150oti,crd,RobeAn00,targets,3,,,,,
player,201312150oti,crd,RobeAn00,rec,2,,,,,
player,201312150oti,crd,RobeAn00,rec_yds,15,,,,,
player,201312150oti,crd,RobeAn00,rec_td,0,,,,,
player,201312150oti,crd,RobeAn00,rec_long,12,,,,,
player,201312150oti,crd,RobeAn00,fumbles,0,,,,,
player,201312150oti,crd,RobeAn00,fumbles_lost,0,,,,,
player,201312150oti,crd,BallJa21,pass_cmp,0,,,,,
player,201312150oti,crd,BallJa21,pass_att,0,,,,,
player,201312150oti,crd,BallJa21,pass_yds,0,,,,,
player,201312150oti,crd,BallJa21,pass_td,0,,,,,
player,201312150oti,crd,BallJa21,pass_int,0,,,,,
player,201312150oti,crd,BallJa21,pass_sacked,0,,,,,
player,201312150oti,crd,BallJa21,pass_sacked_yds,0,,,,,
player,201312150oti,crd,BallJa21,pass_long,0,,,,,
player,201312150oti,crd,BallJa21,pass_rating,,,,,,
player,201312150oti,crd,BallJa21,rush_att,0,,,,,
player,201312150oti,crd,BallJa21,rush_yds,0,,,,,
player,201312150oti,crd,BallJa21,rush_td,0,,,,,
player,201312150oti,crd,BallJa21,rush_long,0,,,,,
player,201312150oti,crd,BallJa21,targets,3,,,,,
player,201312150oti,crd,BallJa21,rec,3,,,,,
player,201312150oti,crd,BallJa21,rec_yds,13,,,,,
player,201312150oti,crd,BallJa21,rec_td,1,,,,,
player,201312150oti,crd,BallJa21,rec_long,7,,,,,
player,201312150oti,crd,BallJa21,fumbles,0,,,,,
player,201312150oti,crd,BallJa21,fumbles_lost,0,,,,,
player,201312150oti,crd,DrayJi00,pass_cmp,0,,,,,
player,201312150oti,crd,DrayJi00,pass_att,0,,,,,
player,201312150oti,crd,DrayJi00,pass_yds,0,,,,,
player,201312150oti,crd,DrayJi00,pass_td,0,,,,,
player,201312150oti,crd,DrayJi00,pass_int,0,,,,,
player,201312150oti,crd,DrayJi00,pass_sacked,0,,,,,
player,201312150oti,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201312150oti,crd,DrayJi00,pass_long,0,,,,,
player,201312150oti,crd,DrayJi00,pass_rating,,,,,,
player,201312150oti,crd,DrayJi00,rush_att,0,,,,,
player,201312150oti,crd,DrayJi00,rush_yds,0,,,,,
player,201312150oti,crd,DrayJi00,rush_td,0,,,,,
player,201312150oti,crd,DrayJi00,rush_long,0,,,,,
player,201312150oti,crd,DrayJi00,targets,1,,,,,
player,201312150oti,crd,DrayJi00,rec,1,,,,,
player,201312150oti,crd,DrayJi00,rec_yds,9,,,,,
player,201312150oti,crd,DrayJi00,rec_td,0,,,,,
player,201312150oti,crd,DrayJi00,rec_long,9,,,,,
player,201312150oti,crd,DrayJi00,fumbles,0,,,,,
player,201312150oti,crd,DrayJi00,fumbles_lost,0,,,,,
player,201312150oti,oti,FitzRy00,pass_cmp,36,,,,,
player,201312150oti,oti,FitzRy00,pass_att,58,,,,,
player,201312150oti,oti,FitzRy00,pass_yds,402,,,,,
player,201312150oti,oti,FitzRy00,pass_td,4,,,,,
player,201312150oti,oti,FitzRy00,pass_int,2,,,,,
player,201312150oti,oti,FitzRy00,pass_sacked,3,,,,,
player,201312150oti,oti,FitzRy00,pass_sacked_yds,8,,,,,
player,201312150oti,oti,FitzRy00,pass_long,33,,,,,
player,201312150oti,oti,FitzRy00,pass_rating,91.3,,,,,
player,201312150oti,oti,FitzRy00,rush_att,3,,,,,
player,201312150oti,oti,FitzRy00,rush_yds,22,,,,,
player,201312150oti,oti,FitzRy00,rush_td,0,,,,,
player,201312150oti,oti,FitzRy00,rush_long,17,,,,,
player,201312150oti,oti,FitzRy00,targets,0,,,,,
player,201312150oti,oti,FitzRy00,rec,0,,,,,
player,201312150oti,oti,FitzRy00,rec_yds,0,,,,,
player,201312150oti,oti,FitzRy00,rec_td,0,,,,,
player,201312150oti,oti,FitzRy00,rec_long,0,,,,,
player,201312150oti,oti,FitzRy00,fumbles,1,,,,,
player,201312150oti,oti,FitzRy00,fumbles_lost,0,,,,,
player,201312150oti,oti,JohnCh04,pass_cmp,0,,,,,
player,201312150oti,oti,JohnCh04,pass_att,0,,,,,
player,201312150oti,oti,JohnCh04,pass_yds,0,,,,,
player,201312150oti,oti,JohnCh04,pass_td,0,,,,,
player,201312150oti,oti,JohnCh04,pass_int,0,,,,,
player,201312150oti,oti,JohnCh04,pass_sacked,0,,,,,
player,201312150oti,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201312150oti,oti,JohnCh04,pass_long,0,,,,,
player,201312150oti,oti,JohnCh04,pass_rating,,,,,,
player,201312150oti,oti,JohnCh04,rush_att,13,,,,,
player,201312150oti,oti,JohnCh04,rush_yds,40,,,,,
player,201312150oti,oti,JohnCh04,rush_td,0,,,,,
player,201312150oti,oti,JohnCh04,rush_long,15,,,,,
player,201312150oti,oti,JohnCh04,targets,3,,,,,
player,201312150oti,oti,JohnCh04,rec,3,,,,,
player,201312150oti,oti,JohnCh04,rec_yds,51,,,,,
player,201312150oti,oti,JohnCh04,rec_td,1,,,,,
player,201312150oti,oti,JohnCh04,rec_long,25,,,,,
player,201312150oti,oti,JohnCh04,fumbles,0,,,,,
player,201312150oti,oti,JohnCh04,fumbles_lost,0,,,,,
player,201312150oti,oti,GreeSh00,pass_cmp,0,,,,,
player,201312150oti,oti,GreeSh00,pass_att,0,,,,,
player,201312150oti,oti,GreeSh00,pass_yds,0,,,,,
player,201312150oti,oti,GreeSh00,pass_td,0,,,,,
player,201312150oti,oti,GreeSh00,pass_int,0,,,,,
player,201312150oti,oti,GreeSh00,pass_sacked,0,,,,,
player,201312150oti,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,GreeSh00,pass_long,0,,,,,
player,201312150oti,oti,GreeSh00,pass_rating,,,,,,
player,201312150oti,oti,GreeSh00,rush_att,3,,,,,
player,201312150oti,oti,GreeSh00,rush_yds,4,,,,,
player,201312150oti,oti,GreeSh00,rush_td,0,,,,,
player,201312150oti,oti,GreeSh00,rush_long,6,,,,,
player,201312150oti,oti,GreeSh00,targets,0,,,,,
player,201312150oti,oti,GreeSh00,rec,0,,,,,
player,201312150oti,oti,GreeSh00,rec_yds,0,,,,,
player,201312150oti,oti,GreeSh00,rec_td,0,,,,,
player,201312150oti,oti,GreeSh00,rec_long,0,,,,,
player,201312150oti,oti,GreeSh00,fumbles,0,,,,,
player,201312150oti,oti,GreeSh00,fumbles_lost,0,,,,,
player,201312150oti,oti,WrigKe01,pass_cmp,0,,,,,
player,201312150oti,oti,WrigKe01,pass_att,0,,,,,
player,201312150oti,oti,WrigKe01,pass_yds,0,,,,,
player,201312150oti,oti,WrigKe01,pass_td,0,,,,,
player,201312150oti,oti,WrigKe01,pass_int,0,,,,,
player,201312150oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201312150oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201312150oti,oti,WrigKe01,pass_long,0,,,,,
player,201312150oti,oti,WrigKe01,pass_rating,,,,,,
player,201312150oti,oti,WrigKe01,rush_att,0,,,,,
player,201312150oti,oti,WrigKe01,rush_yds,0,,,,,
player,201312150oti,oti,WrigKe01,rush_td,0,,,,,
player,201312150oti,oti,WrigKe01,rush_long,0,,,,,
player,201312150oti,oti,WrigKe01,targets,20,,,,,
player,201312150oti,oti,WrigKe01,rec,12,,,,,
player,201312150oti,oti,WrigKe01,rec_yds,150,,,,,
player,201312150oti,oti,WrigKe01,rec_td,0,,,,,
player,201312150oti,oti,WrigKe01,rec_long,26,,,,,
player,201312150oti,oti,WrigKe01,fumbles,0,,,,,
player,201312150oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201312150oti,oti,WashNa00,pass_cmp,0,,,,,
player,201312150oti,oti,WashNa00,pass_att,0,,,,,
player,201312150oti,oti,WashNa00,pass_yds,0,,,,,
player,201312150oti,oti,WashNa00,pass_td,0,,,,,
player,201312150oti,oti,WashNa00,pass_int,0,,,,,
player,201312150oti,oti,WashNa00,pass_sacked,0,,,,,
player,201312150oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,WashNa00,pass_long,0,,,,,
player,201312150oti,oti,WashNa00,pass_rating,,,,,,
player,201312150oti,oti,WashNa00,rush_att,0,,,,,
player,201312150oti,oti,WashNa00,rush_yds,0,,,,,
player,201312150oti,oti,WashNa00,rush_td,0,,,,,
player,201312150oti,oti,WashNa00,rush_long,0,,,,,
player,201312150oti,oti,WashNa00,targets,9,,,,,
player,201312150oti,oti,WashNa00,rec,7,,,,,
player,201312150oti,oti,WashNa00,rec_yds,92,,,,,
player,201312150oti,oti,WashNa00,rec_td,0,,,,,
player,201312150oti,oti,WashNa00,rec_long,33,,,,,
player,201312150oti,oti,WashNa00,fumbles,0,,,,,
player,201312150oti,oti,WashNa00,fumbles_lost,0,,,,,
player,201312150oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201312150oti,oti,WalkHu00,pass_att,0,,,,,
player,201312150oti,oti,WalkHu00,pass_yds,0,,,,,
player,201312150oti,oti,WalkHu00,pass_td,0,,,,,
player,201312150oti,oti,WalkHu00,pass_int,0,,,,,
player,201312150oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201312150oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,WalkHu00,pass_long,0,,,,,
player,201312150oti,oti,WalkHu00,pass_rating,,,,,,
player,201312150oti,oti,WalkHu00,rush_att,0,,,,,
player,201312150oti,oti,WalkHu00,rush_yds,0,,,,,
player,201312150oti,oti,WalkHu00,rush_td,0,,,,,
player,201312150oti,oti,WalkHu00,rush_long,0,,,,,
player,201312150oti,oti,WalkHu00,targets,11,,,,,
player,201312150oti,oti,WalkHu00,rec,8,,,,,
player,201312150oti,oti,WalkHu00,rec_yds,53,,,,,
player,201312150oti,oti,WalkHu00,rec_td,1,,,,,
player,201312150oti,oti,WalkHu00,rec_long,22,,,,,
player,201312150oti,oti,WalkHu00,fumbles,0,,,,,
player,201312150oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201312150oti,oti,BritKe00,pass_cmp,0,,,,,
player,201312150oti,oti,BritKe00,pass_att,0,,,,,
player,201312150oti,oti,BritKe00,pass_yds,0,,,,,
player,201312150oti,oti,BritKe00,pass_td,0,,,,,
player,201312150oti,oti,BritKe00,pass_int,0,,,,,
player,201312150oti,oti,BritKe00,pass_sacked,0,,,,,
player,201312150oti,oti,BritKe00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,BritKe00,pass_long,0,,,,,
player,201312150oti,oti,BritKe00,pass_rating,,,,,,
player,201312150oti,oti,BritKe00,rush_att,0,,,,,
player,201312150oti,oti,BritKe00,rush_yds,0,,,,,
player,201312150oti,oti,BritKe00,rush_td,0,,,,,
player,201312150oti,oti,BritKe00,rush_long,0,,,,,
player,201312150oti,oti,BritKe00,targets,6,,,,,
player,201312150oti,oti,BritKe00,rec,3,,,,,
player,201312150oti,oti,BritKe00,rec_yds,29,,,,,
player,201312150oti,oti,BritKe00,rec_td,0,,,,,
player,201312150oti,oti,BritKe00,rec_long,13,,,,,
player,201312150oti,oti,BritKe00,fumbles,0,,,,,
player,201312150oti,oti,BritKe00,fumbles_lost,0,,,,,
player,201312150oti,oti,PresMi00,pass_cmp,0,,,,,
player,201312150oti,oti,PresMi00,pass_att,0,,,,,
player,201312150oti,oti,PresMi00,pass_yds,0,,,,,
player,201312150oti,oti,PresMi00,pass_td,0,,,,,
player,201312150oti,oti,PresMi00,pass_int,0,,,,,
player,201312150oti,oti,PresMi00,pass_sacked,0,,,,,
player,201312150oti,oti,PresMi00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,PresMi00,pass_long,0,,,,,
player,201312150oti,oti,PresMi00,pass_rating,,,,,,
player,201312150oti,oti,PresMi00,rush_att,0,,,,,
player,201312150oti,oti,PresMi00,rush_yds,0,,,,,
player,201312150oti,oti,PresMi00,rush_td,0,,,,,
player,201312150oti,oti,PresMi00,rush_long,0,,,,,
player,201312150oti,oti,PresMi00,targets,5,,,,,
player,201312150oti,oti,PresMi00,rec,3,,,,,
player,201312150oti,oti,PresMi00,rec_yds,27,,,,,
player,201312150oti,oti,PresMi00,rec_td,2,,,,,
player,201312150oti,oti,PresMi00,rec_long,10,,,,,
player,201312150oti,oti,PresMi00,fumbles,0,,,,,
player,201312150oti,oti,PresMi00,fumbles_lost,0,,,,,
player,201312150oti,oti,JohnQu00,pass_cmp,0,,,,,
player,201312150oti,oti,JohnQu00,pass_att,0,,,,,
player,201312150oti,oti,JohnQu00,pass_yds,0,,,,,
player,201312150oti,oti,JohnQu00,pass_td,0,,,,,
player,201312150oti,oti,JohnQu00,pass_int,0,,,,,
player,201312150oti,oti,JohnQu00,pass_sacked,0,,,,,
player,201312150oti,oti,JohnQu00,pass_sacked_yds,0,,,,,
player,201312150oti,oti,JohnQu00,pass_long,0,,,,,
player,201312150oti,oti,JohnQu00,pass_rating,,,,,,
player,201312150oti,oti,JohnQu00,rush_att,0,,,,,
player,201312150oti,oti,JohnQu00,rush_yds,0,,,,,
player,201312150oti,oti,JohnQu00,rush_td,0,,,,,
player,201312150oti,oti,JohnQu00,rush_long,0,,,,,
player,201312150oti,oti,JohnQu00,targets,1,,,,,
player,201312150oti,oti,JohnQu00,rec,0,,,,,
player,201312150oti,oti,JohnQu00,rec_yds,0,,,,,
player,201312150oti,oti,JohnQu00,rec_td,0,,,,,
player,201312150oti,oti,JohnQu00,rec_long,0,,,,,
player,201312150oti,oti,JohnQu00,fumbles,0,,,,,
player,201312150oti,oti,JohnQu00,fumbles_lost,0,,,,,
player,201312150oti,crd,CasoAn99,def_int,2,,,,,
player,201312150oti,crd,CasoAn99,def_int_yds,36,,,,,
player,201312150oti,crd,CasoAn99,def_int_td,1,,,,,
player,201312150oti,crd,CasoAn99,def_int_long,20,,,,,
player,201312150oti,crd,CasoAn99,pass_defended,2,,,,,
player,201312150oti,crd,CasoAn99,sacks,0.0,,,,,
player,201312150oti,crd,CasoAn99,tackles_combined,4,,,,,
player,201312150oti,crd,CasoAn99,tackles_solo,2,,,,,
player,201312150oti,crd,CasoAn99,tackles_assists,2,,,,,
player,201312150oti,crd,CasoAn99,tackles_loss,0,,,,,
player,201312150oti,crd,CasoAn99,qb_hits,0,,,,,
player,201312150oti,crd,CasoAn99,fumbles_rec,1,,,,,
player,201312150oti,crd,CasoAn99,fumbles_rec_yds,0,,,,,
player,201312150oti,crd,CasoAn99,fumbles_rec_td,0,,,,,
player,201312150oti,crd,CasoAn99,fumbles_forced,0,,,,,
player,201312150oti,crd,BenaMa00,def_int,0,,,,,
player,201312150oti,crd,BenaMa00,def_int_yds,0,,,,,
player,201312150oti,crd,BenaMa00,def_int_td,0,,,,,
player,201312150oti,crd,BenaMa00,def_int_long,0,,,,,
player,201312150oti,crd,BenaMa00,pass_defended,0,,,,,
player,201312150oti,crd,BenaMa00,sacks,1.0,,,,,
player,201312150oti,crd,BenaMa00,tackles_combined,3,,,,,
player,201312150oti,crd,BenaMa00,tackles_solo,2,,,,,
player,201312150oti,crd,BenaMa00,tackles_assists,1,,,,,
player,201312150oti,crd,BenaMa00,tackles_loss,0,,,,,
player,201312150oti,crd,BenaMa00,qb_hits,1,,,,,
player,201312150oti,crd,BenaMa00,fumbles_rec,0,,,,,
player,201312150oti,crd,BenaMa00,fumbles_rec_yds,0,,,,,
player,201312150oti,crd,BenaMa00,fumbles_rec_td,0,,,,,
player,201312150oti,crd,BenaMa00,fumbles_forced,1,,,,,
player,201312150oti,crd,ShauMa99,def_int,0,,,,,
player,201312150oti,crd,ShauMa99,def_int_yds,0,,,,,
player,201312150oti,crd,ShauMa99,def_int_td,0,,,,,
player,201312150oti,crd,ShauMa99,def_int_long,0,,,,,
player,201312150oti,crd,ShauMa99,pass_defended,0,,,,,
player,201312150oti,crd,ShauMa99,sacks,1.0,,,,,
player,201312150oti,crd,ShauMa99,tackles_combined,3,,,,,
player,201312150oti,crd,ShauMa99,tackles_solo,2,,,,,
player,201312150oti,crd,ShauMa99,tackles_assists,1,,,,,
player,201312150oti,crd,ShauMa99,tackles_loss,1,,,,,
player,201312150oti,crd,ShauMa99,qb_hits,1,,,,,
player,201312150oti,crd,ShauMa99,fumbles_rec,0,,,,,
player,201312150oti,crd,ShauMa99,fumbles_rec_yds,0,,,,,
player,201312150oti,crd,ShauMa99,fumbles_rec_td,0,,,,,
player,201312150oti,crd,ShauMa99,fumbles_forced,0,,,,,
player,201312150oti,crd,DansKa20,def_int,0,,,,,
player,201312150oti,crd,DansKa20,def_int_yds,0,,,,,
player,201312150oti,crd,DansKa20,def_int_td,0,,,,,
player,201312150oti,crd,DansKa20,def_int_long,0,,,,,
player,201312150oti,crd,DansKa20,pass_defended,1,,,,,
player,201312150oti,crd,DansKa20,sacks,0.5,,,,,
player,201312150oti,crd,DansKa20,tackles_combined,6,,,,,
