game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
player,201309090was,phi,ErtzZa00,rush_att,0,,,,,
player,201309090was,phi,ErtzZa00,rush_yds,0,,,,,
player,201309090was,phi,ErtzZa00,rush_td,0,,,,,
player,201309090was,phi,ErtzZa00,rush_long,0,,,,,
player,201309090was,phi,ErtzZa00,targets,3,,,,,
player,201309090was,phi,ErtzZa00,rec,1,,,,,
player,201309090was,phi,ErtzZa00,rec_yds,11,,,,,
player,201309090was,phi,ErtzZa00,rec_td,0,,,,,
player,201309090was,phi,ErtzZa00,rec_long,11,,,,,
player,201309090was,phi,ErtzZa00,fumbles,0,,,,,
player,201309090was,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201309090was,was,GrifRo01,pass_cmp,30,,,,,
player,201309090was,was,GrifRo01,pass_att,49,,,,,
player,201309090was,was,GrifRo01,pass_yds,329,,,,,
player,201309090was,was,GrifRo01,pass_td,2,,,,,
player,201309090was,was,GrifRo01,pass_int,2,,,,,
player,201309090was,was,GrifRo01,pass_sacked,3,,,,,
player,201309090was,was,GrifRo01,pass_sacked_yds,21,,,,,
player,201309090was,was,GrifRo01,pass_long,27,,,,,
player,201309090was,was,GrifRo01,pass_rating,77.7,,,,,
player,201309090was,was,GrifRo01,rush_att,5,,,,,
player,201309090was,was,GrifRo01,rush_yds,24,,,,,
player,201309090was,was,GrifRo01,rush_td,0,,,,,
player,201309090was,was,GrifRo01,rush_long,12,,,,,
player,201309090was,was,GrifRo01,targets,0,,,,,
player,201309090was,was,GrifRo01,rec,0,,,,,
player,201309090was,was,GrifRo01,rec_yds,0,,,,,
player,201309090was,was,GrifRo01,rec_td,0,,,,,
player,201309090was,was,GrifRo01,rec_long,0,,,,,
player,201309090was,was,GrifRo01,fumbles,1,,,,,
player,201309090was,was,GrifRo01,fumbles_lost,0,,,,,
player,201309090was,was,MorrAl00,pass_cmp,0,,,,,
player,201309090was,was,MorrAl00,pass_att,0,,,,,
player,201309090was,was,MorrAl00,pass_yds,0,,,,,
player,201309090was,was,MorrAl00,pass_td,0,,,,,
player,201309090was,was,MorrAl00,pass_int,0,,,,,
player,201309090was,was,MorrAl00,pass_sacked,0,,,,,
player,201309090was,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201309090was,was,MorrAl00,pass_long,0,,,,,
player,201309090was,was,MorrAl00,pass_rating,,,,,,
player,201309090was,was,MorrAl00,rush_att,12,,,,,
player,201309090was,was,MorrAl00,rush_yds,45,,,,,
player,201309090was,was,MorrAl00,rush_td,1,,,,,
player,201309090was,was,MorrAl00,rush_long,15,,,,,
player,201309090was,was,MorrAl00,targets,1,,,,,
player,201309090was,was,MorrAl00,rec,1,,,,,
player,201309090was,was,MorrAl00,rec_yds,9,,,,,
player,201309090was,was,MorrAl00,rec_td,0,,,,,
player,201309090was,was,MorrAl00,rec_long,9,,,,,
player,201309090was,was,MorrAl00,fumbles,1,,,,,
