game,2013,3,20130922,201309220min,cle,"Cleveland Browns",31,min,"Minnesota Vikings",27
player,201309220min,cle,McGaWi00,pass_long,0,,,,,
player,201309220min,cle,McGaWi00,pass_rating,,,,,,
player,201309220min,cle,McGaWi00,rush_att,8,,,,,
player,201309220min,cle,McGaWi00,rush_yds,9,,,,,
player,201309220min,cle,McGaWi00,rush_td,0,,,,,
player,201309220min,cle,McGaWi00,rush_long,9,,,,,
player,201309220min,cle,McGaWi00,targets,0,,,,,
player,201309220min,cle,McGaWi00,rec,0,,,,,
player,201309220min,cle,McGaWi00,rec_yds,0,,,,,
player,201309220min,cle,McGaWi00,rec_td,0,,,,,
player,201309220min,cle,McGaWi00,rec_long,0,,,,,
player,201309220min,cle,McGaWi00,fumbles,0,,,,,
player,201309220min,cle,McGaWi00,fumbles_lost,0,,,,,
player,201309220min,cle,BessDa00,pass_cmp,0,,,,,
player,201309220min,cle,BessDa00,pass_att,0,,,,,
player,201309220min,cle,BessDa00,pass_yds,0,,,,,
player,201309220min,cle,BessDa00,pass_td,0,,,,,
player,201309220min,cle,BessDa00,pass_int,0,,,,,
player,201309220min,cle,BessDa00,pass_sacked,0,,,,,
player,201309220min,cle,BessDa00,pass_sacked_yds,0,,,,,
player,201309220min,cle,BessDa00,pass_long,0,,,,,
player,201309220min,cle,BessDa00,pass_rating,,,,,,
player,201309220min,cle,BessDa00,rush_att,0,,,,,
player,201309220min,cle,BessDa00,rush_yds,0,,,,,
player,201309220min,cle,BessDa00,rush_td,0,,,,,
player,201309220min,cle,BessDa00,rush_long,0,,,,,
player,201309220min,cle,BessDa00,targets,10,,,,,
player,201309220min,cle,BessDa00,rec,7,,,,,
player,201309220min,cle,BessDa00,rec_yds,67,,,,,
player,201309220min,cle,BessDa00,rec_td,0,,,,,
player,201309220min,cle,BessDa00,rec_long,15,,,,,
player,201309220min,cle,BessDa00,fumbles,0,,,,,
player,201309220min,cle,BessDa00,fumbles_lost,0,,,,,
player,201309220min,cle,CameJo00,pass_cmp,0,,,,,
player,201309220min,cle,CameJo00,pass_att,0,,,,,
player,201309220min,cle,CameJo00,pass_yds,0,,,,,
player,201309220min,cle,CameJo00,pass_td,0,,,,,
player,201309220min,cle,CameJo00,pass_int,0,,,,,
player,201309220min,cle,CameJo00,pass_sacked,0,,,,,
player,201309220min,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201309220min,cle,CameJo00,pass_long,0,,,,,
player,201309220min,cle,CameJo00,pass_rating,,,,,,
player,201309220min,cle,CameJo00,rush_att,0,,,,,
player,201309220min,cle,CameJo00,rush_yds,0,,,,,
player,201309220min,cle,CameJo00,rush_td,0,,,,,
player,201309220min,cle,CameJo00,rush_long,0,,,,,
player,201309220min,cle,CameJo00,targets,11,,,,,
player,201309220min,cle,CameJo00,rec,6,,,,,
player,201309220min,cle,CameJo00,rec_yds,66,,,,,
player,201309220min,cle,CameJo00,rec_td,3,,,,,
player,201309220min,cle,CameJo00,rec_long,19,,,,,
player,201309220min,cle,CameJo00,fumbles,0,,,,,
player,201309220min,cle,CameJo00,fumbles_lost,0,,,,,
player,201309220min,cle,LittGr00,pass_cmp,0,,,,,
player,201309220min,cle,LittGr00,pass_att,0,,,,,
player,201309220min,cle,LittGr00,pass_yds,0,,,,,
player,201309220min,cle,LittGr00,pass_td,0,,,,,
player,201309220min,cle,LittGr00,pass_int,0,,,,,
player,201309220min,cle,LittGr00,pass_sacked,0,,,,,
player,201309220min,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201309220min,cle,LittGr00,pass_long,0,,,,,
player,201309220min,cle,LittGr00,pass_rating,,,,,,
player,201309220min,cle,LittGr00,rush_att,0,,,,,
player,201309220min,cle,LittGr00,rush_yds,0,,,,,
player,201309220min,cle,LittGr00,rush_td,0,,,,,
player,201309220min,cle,LittGr00,rush_long,0,,,,,
player,201309220min,cle,LittGr00,targets,8,,,,,
player,201309220min,cle,LittGr00,rec,3,,,,,
player,201309220min,cle,LittGr00,rec_yds,19,,,,,
player,201309220min,cle,LittGr00,rec_td,0,,,,,
player,201309220min,cle,LittGr00,rec_long,16,,,,,
player,201309220min,cle,LittGr00,fumbles,0,,,,,
player,201309220min,cle,LittGr00,fumbles_lost,0,,,,,
player,201309220min,min,PondCh00,pass_cmp,25,,,,,
player,201309220min,min,PondCh00,pass_att,42,,,,,
player,201309220min,min,PondCh00,pass_yds,228,,,,,
player,201309220min,min,PondCh00,pass_td,0,,,,,
player,201309220min,min,PondCh00,pass_int,1,,,,,
player,201309220min,min,PondCh00,pass_sacked,6,,,,,
player,201309220min,min,PondCh00,pass_sacked_yds,33,,,,,
player,201309220min,min,PondCh00,pass_long,37,,,,,
player,201309220min,min,PondCh00,pass_rating,64.4,,,,,
player,201309220min,min,PondCh00,rush_att,5,,,,,
player,201309220min,min,PondCh00,rush_yds,46,,,,,
player,201309220min,min,PondCh00,rush_td,2,,,,,
player,201309220min,min,PondCh00,rush_long,14,,,,,
player,201309220min,min,PondCh00,targets,0,,,,,
player,201309220min,min,PondCh00,rec,0,,,,,
player,201309220min,min,PondCh00,rec_yds,0,,,,,
player,201309220min,min,PondCh00,rec_td,0,,,,,
player,201309220min,min,PondCh00,rec_long,0,,,,,
player,201309220min,min,PondCh00,fumbles,1,,,,,
player,201309220min,min,PondCh00,fumbles_lost,1,,,,,
player,201309220min,min,PeteAd01,pass_cmp,0,,,,,
player,201309220min,min,PeteAd01,pass_att,0,,,,,
player,201309220min,min,PeteAd01,pass_yds,0,,,,,
player,201309220min,min,PeteAd01,pass_td,0,,,,,
player,201309220min,min,PeteAd01,pass_int,0,,,,,
player,201309220min,min,PeteAd01,pass_sacked,0,,,,,
player,201309220min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201309220min,min,PeteAd01,pass_long,0,,,,,
player,201309220min,min,PeteAd01,pass_rating,,,,,,
player,201309220min,min,PeteAd01,rush_att,25,,,,,
player,201309220min,min,PeteAd01,rush_yds,88,,,,,
player,201309220min,min,PeteAd01,rush_td,1,,,,,
player,201309220min,min,PeteAd01,rush_long,9,,,,,
player,201309220min,min,PeteAd01,targets,6,,,,,
player,201309220min,min,PeteAd01,rec,6,,,,,
player,201309220min,min,PeteAd01,rec_yds,27,,,,,
player,201309220min,min,PeteAd01,rec_td,0,,,,,
player,201309220min,min,PeteAd01,rec_long,7,,,,,
player,201309220min,min,PeteAd01,fumbles,1,,,,,
player,201309220min,min,PeteAd01,fumbles_lost,1,,,,,
player,201309220min,min,PattCo00,pass_cmp,0,,,,,
player,201309220min,min,PattCo00,pass_att,0,,,,,
player,201309220min,min,PattCo00,pass_yds,0,,,,,
player,201309220min,min,PattCo00,pass_td,0,,,,,
player,201309220min,min,PattCo00,pass_int,0,,,,,
player,201309220min,min,PattCo00,pass_sacked,0,,,,,
player,201309220min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201309220min,min,PattCo00,pass_long,0,,,,,
player,201309220min,min,PattCo00,pass_rating,,,,,,
player,201309220min,min,PattCo00,rush_att,1,,,,,
player,201309220min,min,PattCo00,rush_yds,0,,,,,
player,201309220min,min,PattCo00,rush_td,0,,,,,
player,201309220min,min,PattCo00,rush_long,0,,,,,
player,201309220min,min,PattCo00,targets,4,,,,,
player,201309220min,min,PattCo00,rec,2,,,,,
player,201309220min,min,PattCo00,rec_yds,49,,,,,
player,201309220min,min,PattCo00,rec_td,0,,,,,
player,201309220min,min,PattCo00,rec_long,37,,,,,
player,201309220min,min,PattCo00,fumbles,0,,,,,
player,201309220min,min,PattCo00,fumbles_lost,0,,,,,
player,201309220min,min,JennGr00,pass_cmp,0,,,,,
player,201309220min,min,JennGr00,pass_att,0,,,,,
player,201309220min,min,JennGr00,pass_yds,0,,,,,
player,201309220min,min,JennGr00,pass_td,0,,,,,
player,201309220min,min,JennGr00,pass_int,0,,,,,
player,201309220min,min,JennGr00,pass_sacked,0,,,,,
player,201309220min,min,JennGr00,pass_sacked_yds,0,,,,,
player,201309220min,min,JennGr00,pass_long,0,,,,,
player,201309220min,min,JennGr00,pass_rating,,,,,,
player,201309220min,min,JennGr00,rush_att,0,,,,,
player,201309220min,min,JennGr00,rush_yds,0,,,,,
player,201309220min,min,JennGr00,rush_td,0,,,,,
player,201309220min,min,JennGr00,rush_long,0,,,,,
player,201309220min,min,JennGr00,targets,6,,,,,
player,201309220min,min,JennGr00,rec,3,,,,,
player,201309220min,min,JennGr00,rec_yds,43,,,,,
player,201309220min,min,JennGr00,rec_td,0,,,,,
player,201309220min,min,JennGr00,rec_long,27,,,,,
player,201309220min,min,JennGr00,fumbles,0,,,,,
player,201309220min,min,JennGr00,fumbles_lost,0,,,,,
player,201309220min,min,WrigJa02,pass_cmp,0,,,,,
player,201309220min,min,WrigJa02,pass_att,0,,,,,
player,201309220min,min,WrigJa02,pass_yds,0,,,,,
player,201309220min,min,WrigJa02,pass_td,0,,,,,
player,201309220min,min,WrigJa02,pass_int,0,,,,,
player,201309220min,min,WrigJa02,pass_sacked,0,,,,,
player,201309220min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201309220min,min,WrigJa02,pass_long,0,,,,,
player,201309220min,min,WrigJa02,pass_rating,,,,,,
player,201309220min,min,WrigJa02,rush_att,0,,,,,
player,201309220min,min,WrigJa02,rush_yds,0,,,,,
player,201309220min,min,WrigJa02,rush_td,0,,,,,
player,201309220min,min,WrigJa02,rush_long,0,,,,,
player,201309220min,min,WrigJa02,targets,4,,,,,
player,201309220min,min,WrigJa02,rec,3,,,,,
player,201309220min,min,WrigJa02,rec_yds,35,,,,,
player,201309220min,min,WrigJa02,rec_td,0,,,,,
player,201309220min,min,WrigJa02,rec_long,20,,,,,
player,201309220min,min,WrigJa02,fumbles,0,,,,,
player,201309220min,min,WrigJa02,fumbles_lost,0,,,,,
player,201309220min,min,SimpJe00,pass_cmp,0,,,,,
player,201309220min,min,SimpJe00,pass_att,0,,,,,
player,201309220min,min,SimpJe00,pass_yds,0,,,,,
player,201309220min,min,SimpJe00,pass_td,0,,,,,
player,201309220min,min,SimpJe00,pass_int,0,,,,,
player,201309220min,min,SimpJe00,pass_sacked,0,,,,,
player,201309220min,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201309220min,min,SimpJe00,pass_long,0,,,,,
player,201309220min,min,SimpJe00,pass_rating,,,,,,
player,201309220min,min,SimpJe00,rush_att,0,,,,,
player,201309220min,min,SimpJe00,rush_yds,0,,,,,
player,201309220min,min,SimpJe00,rush_td,0,,,,,
player,201309220min,min,SimpJe00,rush_long,0,,,,,
player,201309220min,min,SimpJe00,targets,8,,,,,
player,201309220min,min,SimpJe00,rec,3,,,,,
player,201309220min,min,SimpJe00,rec_yds,29,,,,,
player,201309220min,min,SimpJe00,rec_td,0,,,,,
player,201309220min,min,SimpJe00,rec_long,15,,,,,
player,201309220min,min,SimpJe00,fumbles,0,,,,,
player,201309220min,min,SimpJe00,fumbles_lost,0,,,,,
player,201309220min,min,RudoKy00,pass_cmp,0,,,,,
player,201309220min,min,RudoKy00,pass_att,0,,,,,
player,201309220min,min,RudoKy00,pass_yds,0,,,,,
player,201309220min,min,RudoKy00,pass_td,0,,,,,
player,201309220min,min,RudoKy00,pass_int,0,,,,,
player,201309220min,min,RudoKy00,pass_sacked,0,,,,,
player,201309220min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201309220min,min,RudoKy00,pass_long,0,,,,,
player,201309220min,min,RudoKy00,pass_rating,,,,,,
player,201309220min,min,RudoKy00,rush_att,0,,,,,
player,201309220min,min,RudoKy00,rush_yds,0,,,,,
player,201309220min,min,RudoKy00,rush_td,0,,,,,
player,201309220min,min,RudoKy00,rush_long,0,,,,,
player,201309220min,min,RudoKy00,targets,8,,,,,
player,201309220min,min,RudoKy00,rec,5,,,,,
player,201309220min,min,RudoKy00,rec_yds,28,,,,,
player,201309220min,min,RudoKy00,rec_td,0,,,,,
player,201309220min,min,RudoKy00,rec_long,9,,,,,
player,201309220min,min,RudoKy00,fumbles,0,,,,,
player,201309220min,min,RudoKy00,fumbles_lost,0,,,,,
player,201309220min,min,GerhTo00,pass_cmp,0,,,,,
player,201309220min,min,GerhTo00,pass_att,0,,,,,
player,201309220min,min,GerhTo00,pass_yds,0,,,,,
player,201309220min,min,GerhTo00,pass_td,0,,,,,
player,201309220min,min,GerhTo00,pass_int,0,,,,,
player,201309220min,min,GerhTo00,pass_sacked,0,,,,,
player,201309220min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201309220min,min,GerhTo00,pass_long,0,,,,,
player,201309220min,min,GerhTo00,pass_rating,,,,,,
player,201309220min,min,GerhTo00,rush_att,0,,,,,
player,201309220min,min,GerhTo00,rush_yds,0,,,,,
player,201309220min,min,GerhTo00,rush_td,0,,,,,
player,201309220min,min,GerhTo00,rush_long,0,,,,,
player,201309220min,min,GerhTo00,targets,2,,,,,
player,201309220min,min,GerhTo00,rec,2,,,,,
player,201309220min,min,GerhTo00,rec_yds,14,,,,,
player,201309220min,min,GerhTo00,rec_td,0,,,,,
player,201309220min,min,GerhTo00,rec_long,9,,,,,
player,201309220min,min,GerhTo00,fumbles,0,,,,,
player,201309220min,min,GerhTo00,fumbles_lost,0,,,,,
player,201309220min,min,CarlJo00,pass_cmp,0,,,,,
player,201309220min,min,CarlJo00,pass_att,0,,,,,
player,201309220min,min,CarlJo00,pass_yds,0,,,,,
player,201309220min,min,CarlJo00,pass_td,0,,,,,
player,201309220min,min,CarlJo00,pass_int,0,,,,,
player,201309220min,min,CarlJo00,pass_sacked,0,,,,,
player,201309220min,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201309220min,min,CarlJo00,pass_long,0,,,,,
player,201309220min,min,CarlJo00,pass_rating,,,,,,
player,201309220min,min,CarlJo00,rush_att,0,,,,,
player,201309220min,min,CarlJo00,rush_yds,0,,,,,
player,201309220min,min,CarlJo00,rush_td,0,,,,,
player,201309220min,min,CarlJo00,rush_long,0,,,,,
player,201309220min,min,CarlJo00,targets,2,,,,,
player,201309220min,min,CarlJo00,rec,1,,,,,
player,201309220min,min,CarlJo00,rec_yds,3,,,,,
player,201309220min,min,CarlJo00,rec_td,0,,,,,
player,201309220min,min,CarlJo00,rec_long,3,,,,,
player,201309220min,min,CarlJo00,fumbles,0,,,,,
player,201309220min,min,CarlJo00,fumbles_lost,0,,,,,
player,201309220min,min,WebbJo00,pass_cmp,0,,,,,
player,201309220min,min,WebbJo00,pass_att,0,,,,,
player,201309220min,min,WebbJo00,pass_yds,0,,,,,
player,201309220min,min,WebbJo00,pass_td,0,,,,,
player,201309220min,min,WebbJo00,pass_int,0,,,,,
player,201309220min,min,WebbJo00,pass_sacked,0,,,,,
player,201309220min,min,WebbJo00,pass_sacked_yds,0,,,,,
player,201309220min,min,WebbJo00,pass_long,0,,,,,
player,201309220min,min,WebbJo00,pass_rating,,,,,,
player,201309220min,min,WebbJo00,rush_att,0,,,,,
player,201309220min,min,WebbJo00,rush_yds,0,,,,,
player,201309220min,min,WebbJo00,rush_td,0,,,,,
player,201309220min,min,WebbJo00,rush_long,0,,,,,
player,201309220min,min,WebbJo00,targets,1,,,,,
player,201309220min,min,WebbJo00,rec,0,,,,,
player,201309220min,min,WebbJo00,rec_yds,0,,,,,
player,201309220min,min,WebbJo00,rec_td,0,,,,,
player,201309220min,min,WebbJo00,rec_long,0,,,,,
player,201309220min,min,WebbJo00,fumbles,0,,,,,
player,201309220min,min,WebbJo00,fumbles_lost,0,,,,,
player,201309220min,min,LineZa01,pass_cmp,0,,,,,
player,201309220min,min,LineZa01,pass_att,0,,,,,
player,201309220min,min,LineZa01,pass_yds,0,,,,,
player,201309220min,min,LineZa01,pass_td,0,,,,,
player,201309220min,min,LineZa01,pass_int,0,,,,,
player,201309220min,min,LineZa01,pass_sacked,0,,,,,
player,201309220min,min,LineZa01,pass_sacked_yds,0,,,,,
player,201309220min,min,LineZa01,pass_long,0,,,,,
player,201309220min,min,LineZa01,pass_rating,,,,,,
player,201309220min,min,LineZa01,rush_att,0,,,,,
player,201309220min,min,LineZa01,rush_yds,0,,,,,
player,201309220min,min,LineZa01,rush_td,0,,,,,
player,201309220min,min,LineZa01,rush_long,0,,,,,
player,201309220min,min,LineZa01,targets,1,,,,,
player,201309220min,min,LineZa01,rec,0,,,,,
player,201309220min,min,LineZa01,rec_yds,0,,,,,
player,201309220min,min,LineZa01,rec_td,0,,,,,
player,201309220min,min,LineZa01,rec_long,0,,,,,
player,201309220min,min,LineZa01,fumbles,0,,,,,
player,201309220min,min,LineZa01,fumbles_lost,0,,,,,
player,201309220min,cle,WardT.99,def_int,1,,,,,
player,201309220min,cle,WardT.99,def_int_yds,13,,,,,
player,201309220min,cle,WardT.99,def_int_td,0,,,,,
player,201309220min,cle,WardT.99,def_int_long,13,,,,,
player,201309220min,cle,WardT.99,pass_defended,1,,,,,
player,201309220min,cle,WardT.99,sacks,0.0,,,,,
player,201309220min,cle,WardT.99,tackles_combined,8,,,,,
player,201309220min,cle,WardT.99,tackles_solo,6,,,,,
player,201309220min,cle,WardT.99,tackles_assists,2,,,,,
player,201309220min,cle,WardT.99,tackles_loss,0,,,,,
player,201309220min,cle,WardT.99,qb_hits,0,,,,,
player,201309220min,cle,WardT.99,fumbles_rec,0,,,,,
player,201309220min,cle,WardT.99,fumbles_rec_yds,0,,,,,
player,201309220min,cle,WardT.99,fumbles_rec_td,0,,,,,
player,201309220min,cle,WardT.99,fumbles_forced,0,,,,,
player,201309220min,cle,HughJo00,def_int,0,,,,,
player,201309220min,cle,HughJo00,def_int_yds,0,,,,,
player,201309220min,cle,HughJo00,def_int_td,0,,,,,
player,201309220min,cle,HughJo00,def_int_long,0,,,,,
player,201309220min,cle,HughJo00,pass_defended,0,,,,,
player,201309220min,cle,HughJo00,sacks,1.0,,,,,
player,201309220min,cle,HughJo00,tackles_combined,4,,,,,
player,201309220min,cle,HughJo00,tackles_solo,2,,,,,
player,201309220min,cle,HughJo00,tackles_assists,2,,,,,
player,201309220min,cle,HughJo00,tackles_loss,1,,,,,
player,201309220min,cle,HughJo00,qb_hits,1,,,,,
player,201309220min,cle,HughJo00,fumbles_rec,0,,,,,
player,201309220min,cle,HughJo00,fumbles_rec_yds,0,,,,,
player,201309220min,cle,HughJo00,fumbles_rec_td,0,,,,,
player,201309220min,cle,HughJo00,fumbles_forced,0,,,,,
player,201309220min,cle,MingBa00,def_int,0,,,,,
player,201309220min,cle,MingBa00,def_int_yds,0,,,,,
player,201309220min,cle,MingBa00,def_int_td,0,,,,,
player,201309220min,cle,MingBa00,def_int_long,0,,,,,
player,201309220min,cle,MingBa00,pass_defended,0,,,,,
player,201309220min,cle,MingBa00,sacks,1.0,,,,,
player,201309220min,cle,MingBa00,tackles_combined,4,,,,,
player,201309220min,cle,MingBa00,tackles_solo,2,,,,,
player,201309220min,cle,MingBa00,tackles_assists,2,,,,,
player,201309220min,cle,MingBa00,tackles_loss,1,,,,,
