game,2013,5,20131006,201310060sfo,htx,"Houston Texans",3,sfo,"San Francisco 49ers",34
player,201310060sfo,htx,JohnAn02,pass_att,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_yds,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_td,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_int,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_sacked,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_long,0,,,,,
player,201310060sfo,htx,JohnAn02,pass_rating,,,,,,
player,201310060sfo,htx,JohnAn02,rush_att,0,,,,,
player,201310060sfo,htx,JohnAn02,rush_yds,0,,,,,
player,201310060sfo,htx,JohnAn02,rush_td,0,,,,,
player,201310060sfo,htx,JohnAn02,rush_long,0,,,,,
player,201310060sfo,htx,JohnAn02,targets,10,,,,,
player,201310060sfo,htx,JohnAn02,rec,3,,,,,
player,201310060sfo,htx,JohnAn02,rec_yds,39,,,,,
player,201310060sfo,htx,JohnAn02,rec_td,0,,,,,
player,201310060sfo,htx,JohnAn02,rec_long,19,,,,,
player,201310060sfo,htx,JohnAn02,fumbles,0,,,,,
player,201310060sfo,htx,JohnAn02,fumbles_lost,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_cmp,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_att,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_yds,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_td,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_int,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_sacked,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_long,0,,,,,
player,201310060sfo,htx,HopkDe00,pass_rating,,,,,,
player,201310060sfo,htx,HopkDe00,rush_att,0,,,,,
player,201310060sfo,htx,HopkDe00,rush_yds,0,,,,,
player,201310060sfo,htx,HopkDe00,rush_td,0,,,,,
player,201310060sfo,htx,HopkDe00,rush_long,0,,,,,
player,201310060sfo,htx,HopkDe00,targets,4,,,,,
player,201310060sfo,htx,HopkDe00,rec,2,,,,,
player,201310060sfo,htx,HopkDe00,rec_yds,23,,,,,
player,201310060sfo,htx,HopkDe00,rec_td,0,,,,,
player,201310060sfo,htx,HopkDe00,rec_long,18,,,,,
player,201310060sfo,htx,HopkDe00,fumbles,0,,,,,
player,201310060sfo,htx,HopkDe00,fumbles_lost,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_cmp,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_att,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_yds,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_td,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_int,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_sacked,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_long,0,,,,,
player,201310060sfo,htx,GrahGa00,pass_rating,,,,,,
player,201310060sfo,htx,GrahGa00,rush_att,0,,,,,
player,201310060sfo,htx,GrahGa00,rush_yds,0,,,,,
player,201310060sfo,htx,GrahGa00,rush_td,0,,,,,
player,201310060sfo,htx,GrahGa00,rush_long,0,,,,,
player,201310060sfo,htx,GrahGa00,targets,5,,,,,
player,201310060sfo,htx,GrahGa00,rec,3,,,,,
player,201310060sfo,htx,GrahGa00,rec_yds,15,,,,,
player,201310060sfo,htx,GrahGa00,rec_td,0,,,,,
player,201310060sfo,htx,GrahGa00,rec_long,9,,,,,
player,201310060sfo,htx,GrahGa00,fumbles,0,,,,,
player,201310060sfo,htx,GrahGa00,fumbles_lost,0,,,,,
player,201310060sfo,htx,MartKe01,pass_cmp,0,,,,,
player,201310060sfo,htx,MartKe01,pass_att,0,,,,,
player,201310060sfo,htx,MartKe01,pass_yds,0,,,,,
player,201310060sfo,htx,MartKe01,pass_td,0,,,,,
player,201310060sfo,htx,MartKe01,pass_int,0,,,,,
player,201310060sfo,htx,MartKe01,pass_sacked,0,,,,,
player,201310060sfo,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,MartKe01,pass_long,0,,,,,
player,201310060sfo,htx,MartKe01,pass_rating,,,,,,
player,201310060sfo,htx,MartKe01,rush_att,0,,,,,
player,201310060sfo,htx,MartKe01,rush_yds,0,,,,,
player,201310060sfo,htx,MartKe01,rush_td,0,,,,,
player,201310060sfo,htx,MartKe01,rush_long,0,,,,,
player,201310060sfo,htx,MartKe01,targets,1,,,,,
player,201310060sfo,htx,MartKe01,rec,1,,,,,
player,201310060sfo,htx,MartKe01,rec_yds,14,,,,,
player,201310060sfo,htx,MartKe01,rec_td,0,,,,,
player,201310060sfo,htx,MartKe01,rec_long,14,,,,,
player,201310060sfo,htx,MartKe01,fumbles,0,,,,,
player,201310060sfo,htx,MartKe01,fumbles_lost,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_cmp,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_att,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_yds,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_td,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_int,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_sacked,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_long,0,,,,,
player,201310060sfo,htx,PoseDe00,pass_rating,,,,,,
player,201310060sfo,htx,PoseDe00,rush_att,0,,,,,
player,201310060sfo,htx,PoseDe00,rush_yds,0,,,,,
player,201310060sfo,htx,PoseDe00,rush_td,0,,,,,
player,201310060sfo,htx,PoseDe00,rush_long,0,,,,,
player,201310060sfo,htx,PoseDe00,targets,2,,,,,
player,201310060sfo,htx,PoseDe00,rec,1,,,,,
player,201310060sfo,htx,PoseDe00,rec_yds,5,,,,,
player,201310060sfo,htx,PoseDe00,rec_td,0,,,,,
player,201310060sfo,htx,PoseDe00,rec_long,5,,,,,
player,201310060sfo,htx,PoseDe00,fumbles,0,,,,,
player,201310060sfo,htx,PoseDe00,fumbles_lost,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_cmp,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_att,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_yds,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_td,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_int,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_sacked,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_sacked_yds,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_long,0,,,,,
player,201310060sfo,htx,JoneGr01,pass_rating,,,,,,
player,201310060sfo,htx,JoneGr01,rush_att,0,,,,,
player,201310060sfo,htx,JoneGr01,rush_yds,0,,,,,
player,201310060sfo,htx,JoneGr01,rush_td,0,,,,,
player,201310060sfo,htx,JoneGr01,rush_long,0,,,,,
player,201310060sfo,htx,JoneGr01,targets,1,,,,,
player,201310060sfo,htx,JoneGr01,rec,0,,,,,
player,201310060sfo,htx,JoneGr01,rec_yds,0,,,,,
player,201310060sfo,htx,JoneGr01,rec_td,0,,,,,
player,201310060sfo,htx,JoneGr01,rec_long,0,,,,,
player,201310060sfo,htx,JoneGr01,fumbles,0,,,,,
player,201310060sfo,htx,JoneGr01,fumbles_lost,0,,,,,
player,201310060sfo,sfo,KaepCo00,pass_cmp,6,,,,,
player,201310060sfo,sfo,KaepCo00,pass_att,15,,,,,
player,201310060sfo,sfo,KaepCo00,pass_yds,113,,,,,
player,201310060sfo,sfo,KaepCo00,pass_td,1,,,,,
player,201310060sfo,sfo,KaepCo00,pass_int,0,,,,,
player,201310060sfo,sfo,KaepCo00,pass_sacked,1,,,,,
player,201310060sfo,sfo,KaepCo00,pass_sacked_yds,6,,,,,
player,201310060sfo,sfo,KaepCo00,pass_long,64,,,,,
player,201310060sfo,sfo,KaepCo00,pass_rating,89.0,,,,,
player,201310060sfo,sfo,KaepCo00,rush_att,1,,,,,
player,201310060sfo,sfo,KaepCo00,rush_yds,14,,,,,
player,201310060sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201310060sfo,sfo,KaepCo00,rush_long,14,,,,,
player,201310060sfo,sfo,KaepCo00,targets,0,,,,,
player,201310060sfo,sfo,KaepCo00,rec,0,,,,,
player,201310060sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201310060sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201310060sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201310060sfo,sfo,KaepCo00,fumbles,0,,,,,
player,201310060sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201310060sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201310060sfo,sfo,GoreFr00,rush_att,17,,,,,
player,201310060sfo,sfo,GoreFr00,rush_yds,81,,,,,
player,201310060sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201310060sfo,sfo,GoreFr00,rush_long,26,,,,,
player,201310060sfo,sfo,GoreFr00,targets,0,,,,,
player,201310060sfo,sfo,GoreFr00,rec,0,,,,,
player,201310060sfo,sfo,GoreFr00,rec_yds,0,,,,,
player,201310060sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201310060sfo,sfo,GoreFr00,rec_long,0,,,,,
player,201310060sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201310060sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_cmp,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_att,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_yds,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_td,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_int,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_sacked,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_long,0,,,,,
player,201310060sfo,sfo,JameLa00,pass_rating,,,,,,
player,201310060sfo,sfo,JameLa00,rush_att,4,,,,,
player,201310060sfo,sfo,JameLa00,rush_yds,31,,,,,
player,201310060sfo,sfo,JameLa00,rush_td,0,,,,,
player,201310060sfo,sfo,JameLa00,rush_long,11,,,,,
player,201310060sfo,sfo,JameLa00,targets,0,,,,,
player,201310060sfo,sfo,JameLa00,rec,0,,,,,
player,201310060sfo,sfo,JameLa00,rec_yds,0,,,,,
player,201310060sfo,sfo,JameLa00,rec_td,0,,,,,
player,201310060sfo,sfo,JameLa00,rec_long,0,,,,,
player,201310060sfo,sfo,JameLa00,fumbles,0,,,,,
player,201310060sfo,sfo,JameLa00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_cmp,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_sacked,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201310060sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201310060sfo,sfo,HuntKe00,rush_att,5,,,,,
player,201310060sfo,sfo,HuntKe00,rush_yds,29,,,,,
player,201310060sfo,sfo,HuntKe00,rush_td,0,,,,,
player,201310060sfo,sfo,HuntKe00,rush_long,13,,,,,
player,201310060sfo,sfo,HuntKe00,targets,0,,,,,
player,201310060sfo,sfo,HuntKe00,rec,0,,,,,
player,201310060sfo,sfo,HuntKe00,rec_yds,0,,,,,
player,201310060sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201310060sfo,sfo,HuntKe00,rec_long,0,,,,,
player,201310060sfo,sfo,HuntKe00,fumbles,0,,,,,
player,201310060sfo,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_att,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_td,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_int,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_sacked,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_long,0,,,,,
player,201310060sfo,sfo,WillKy01,pass_rating,,,,,,
player,201310060sfo,sfo,WillKy01,rush_att,1,,,,,
player,201310060sfo,sfo,WillKy01,rush_yds,13,,,,,
player,201310060sfo,sfo,WillKy01,rush_td,0,,,,,
player,201310060sfo,sfo,WillKy01,rush_long,13,,,,,
player,201310060sfo,sfo,WillKy01,targets,0,,,,,
player,201310060sfo,sfo,WillKy01,rec,0,,,,,
player,201310060sfo,sfo,WillKy01,rec_yds,0,,,,,
player,201310060sfo,sfo,WillKy01,rec_td,0,,,,,
player,201310060sfo,sfo,WillKy01,rec_long,0,,,,,
player,201310060sfo,sfo,WillKy01,fumbles,0,,,,,
player,201310060sfo,sfo,WillKy01,fumbles_lost,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_cmp,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_att,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_yds,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_td,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_int,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_sacked,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_long,0,,,,,
player,201310060sfo,sfo,DixoAn00,pass_rating,,,,,,
player,201310060sfo,sfo,DixoAn00,rush_att,5,,,,,
player,201310060sfo,sfo,DixoAn00,rush_yds,12,,,,,
player,201310060sfo,sfo,DixoAn00,rush_td,1,,,,,
player,201310060sfo,sfo,DixoAn00,rush_long,6,,,,,
player,201310060sfo,sfo,DixoAn00,targets,0,,,,,
player,201310060sfo,sfo,DixoAn00,rec,0,,,,,
player,201310060sfo,sfo,DixoAn00,rec_yds,0,,,,,
player,201310060sfo,sfo,DixoAn00,rec_td,0,,,,,
player,201310060sfo,sfo,DixoAn00,rec_long,0,,,,,
player,201310060sfo,sfo,DixoAn00,fumbles,0,,,,,
player,201310060sfo,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201310060sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201310060sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201310060sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201310060sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201310060sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201310060sfo,sfo,DaviVe00,targets,6,,,,,
player,201310060sfo,sfo,DaviVe00,rec,3,,,,,
player,201310060sfo,sfo,DaviVe00,rec_yds,88,,,,,
player,201310060sfo,sfo,DaviVe00,rec_td,1,,,,,
player,201310060sfo,sfo,DaviVe00,rec_long,64,,,,,
player,201310060sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201310060sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_long,0,,,,,
player,201310060sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201310060sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201310060sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201310060sfo,sfo,BoldAn00,rush_td,0,,,,,
player,201310060sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201310060sfo,sfo,BoldAn00,targets,6,,,,,
player,201310060sfo,sfo,BoldAn00,rec,2,,,,,
player,201310060sfo,sfo,BoldAn00,rec_yds,21,,,,,
player,201310060sfo,sfo,BoldAn00,rec_td,0,,,,,
player,201310060sfo,sfo,BoldAn00,rec_long,12,,,,,
player,201310060sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201310060sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_att,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_td,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_int,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_long,0,,,,,
player,201310060sfo,sfo,MillBr02,pass_rating,,,,,,
player,201310060sfo,sfo,MillBr02,rush_att,0,,,,,
player,201310060sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201310060sfo,sfo,MillBr02,rush_td,0,,,,,
player,201310060sfo,sfo,MillBr02,rush_long,0,,,,,
player,201310060sfo,sfo,MillBr02,targets,1,,,,,
player,201310060sfo,sfo,MillBr02,rec,1,,,,,
