game,2013,10,20131110,201311100clt,ram,"St. Louis Rams",38,clt,"Indianapolis Colts",8
player,201311100clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,FleeCo00,pass_long,0,,,,,
player,201311100clt,clt,FleeCo00,pass_rating,,,,,,
player,201311100clt,clt,FleeCo00,rush_att,0,,,,,
player,201311100clt,clt,FleeCo00,rush_yds,0,,,,,
player,201311100clt,clt,FleeCo00,rush_td,0,,,,,
player,201311100clt,clt,FleeCo00,rush_long,0,,,,,
player,201311100clt,clt,FleeCo00,targets,10,,,,,
player,201311100clt,clt,FleeCo00,rec,4,,,,,
player,201311100clt,clt,FleeCo00,rec_yds,33,,,,,
player,201311100clt,clt,FleeCo00,rec_td,0,,,,,
player,201311100clt,clt,FleeCo00,rec_long,12,,,,,
player,201311100clt,clt,FleeCo00,fumbles,0,,,,,
player,201311100clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201311100clt,clt,HeywDa00,pass_cmp,0,,,,,
player,201311100clt,clt,HeywDa00,pass_att,0,,,,,
player,201311100clt,clt,HeywDa00,pass_yds,0,,,,,
player,201311100clt,clt,HeywDa00,pass_td,0,,,,,
player,201311100clt,clt,HeywDa00,pass_int,0,,,,,
player,201311100clt,clt,HeywDa00,pass_sacked,0,,,,,
player,201311100clt,clt,HeywDa00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,HeywDa00,pass_long,0,,,,,
player,201311100clt,clt,HeywDa00,pass_rating,,,,,,
player,201311100clt,clt,HeywDa00,rush_att,0,,,,,
player,201311100clt,clt,HeywDa00,rush_yds,0,,,,,
player,201311100clt,clt,HeywDa00,rush_td,0,,,,,
player,201311100clt,clt,HeywDa00,rush_long,0,,,,,
player,201311100clt,clt,HeywDa00,targets,6,,,,,
player,201311100clt,clt,HeywDa00,rec,3,,,,,
player,201311100clt,clt,HeywDa00,rec_yds,30,,,,,
player,201311100clt,clt,HeywDa00,rec_td,0,,,,,
player,201311100clt,clt,HeywDa00,rec_long,13,,,,,
player,201311100clt,clt,HeywDa00,fumbles,0,,,,,
player,201311100clt,clt,HeywDa00,fumbles_lost,0,,,,,
player,201311100clt,clt,BrazLa00,pass_cmp,0,,,,,
player,201311100clt,clt,BrazLa00,pass_att,0,,,,,
player,201311100clt,clt,BrazLa00,pass_yds,0,,,,,
player,201311100clt,clt,BrazLa00,pass_td,0,,,,,
player,201311100clt,clt,BrazLa00,pass_int,0,,,,,
player,201311100clt,clt,BrazLa00,pass_sacked,0,,,,,
player,201311100clt,clt,BrazLa00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,BrazLa00,pass_long,0,,,,,
player,201311100clt,clt,BrazLa00,pass_rating,,,,,,
player,201311100clt,clt,BrazLa00,rush_att,0,,,,,
player,201311100clt,clt,BrazLa00,rush_yds,0,,,,,
player,201311100clt,clt,BrazLa00,rush_td,0,,,,,
player,201311100clt,clt,BrazLa00,rush_long,0,,,,,
player,201311100clt,clt,BrazLa00,targets,5,,,,,
player,201311100clt,clt,BrazLa00,rec,1,,,,,
player,201311100clt,clt,BrazLa00,rec_yds,11,,,,,
player,201311100clt,clt,BrazLa00,rec_td,0,,,,,
player,201311100clt,clt,BrazLa00,rec_long,11,,,,,
player,201311100clt,clt,BrazLa00,fumbles,0,,,,,
player,201311100clt,clt,BrazLa00,fumbles_lost,0,,,,,
player,201311100clt,clt,ReedDa00,pass_cmp,0,,,,,
player,201311100clt,clt,ReedDa00,pass_att,0,,,,,
player,201311100clt,clt,ReedDa00,pass_yds,0,,,,,
player,201311100clt,clt,ReedDa00,pass_td,0,,,,,
player,201311100clt,clt,ReedDa00,pass_int,0,,,,,
player,201311100clt,clt,ReedDa00,pass_sacked,0,,,,,
player,201311100clt,clt,ReedDa00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,ReedDa00,pass_long,0,,,,,
player,201311100clt,clt,ReedDa00,pass_rating,,,,,,
player,201311100clt,clt,ReedDa00,rush_att,0,,,,,
player,201311100clt,clt,ReedDa00,rush_yds,0,,,,,
player,201311100clt,clt,ReedDa00,rush_td,0,,,,,
player,201311100clt,clt,ReedDa00,rush_long,0,,,,,
player,201311100clt,clt,ReedDa00,targets,1,,,,,
player,201311100clt,clt,ReedDa00,rec,1,,,,,
player,201311100clt,clt,ReedDa00,rec_yds,2,,,,,
player,201311100clt,clt,ReedDa00,rec_td,0,,,,,
player,201311100clt,clt,ReedDa00,rec_long,2,,,,,
player,201311100clt,clt,ReedDa00,fumbles,0,,,,,
player,201311100clt,clt,ReedDa00,fumbles_lost,0,,,,,
player,201311100clt,clt,BrowDo00,pass_cmp,0,,,,,
player,201311100clt,clt,BrowDo00,pass_att,0,,,,,
player,201311100clt,clt,BrowDo00,pass_yds,0,,,,,
player,201311100clt,clt,BrowDo00,pass_td,0,,,,,
player,201311100clt,clt,BrowDo00,pass_int,0,,,,,
player,201311100clt,clt,BrowDo00,pass_sacked,0,,,,,
player,201311100clt,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201311100clt,clt,BrowDo00,pass_long,0,,,,,
player,201311100clt,clt,BrowDo00,pass_rating,,,,,,
player,201311100clt,clt,BrowDo00,rush_att,2,,,,,
player,201311100clt,clt,BrowDo00,rush_yds,-1,,,,,
player,201311100clt,clt,BrowDo00,rush_td,0,,,,,
player,201311100clt,clt,BrowDo00,rush_long,1,,,,,
player,201311100clt,clt,BrowDo00,targets,5,,,,,
player,201311100clt,clt,BrowDo00,rec,5,,,,,
player,201311100clt,clt,BrowDo00,rec_yds,64,,,,,
player,201311100clt,clt,BrowDo00,rec_td,1,,,,,
player,201311100clt,clt,BrowDo00,rec_long,26,,,,,
player,201311100clt,clt,BrowDo00,fumbles,0,,,,,
player,201311100clt,clt,BrowDo00,fumbles_lost,0,,,,,
player,201311100clt,ram,LaurJa99,def_int,1,,,,,
player,201311100clt,ram,LaurJa99,def_int_yds,9,,,,,
player,201311100clt,ram,LaurJa99,def_int_td,0,,,,,
player,201311100clt,ram,LaurJa99,def_int_long,9,,,,,
player,201311100clt,ram,LaurJa99,pass_defended,1,,,,,
player,201311100clt,ram,LaurJa99,sacks,0.0,,,,,
player,201311100clt,ram,LaurJa99,tackles_combined,8,,,,,
player,201311100clt,ram,LaurJa99,tackles_solo,4,,,,,
player,201311100clt,ram,LaurJa99,tackles_assists,4,,,,,
player,201311100clt,ram,LaurJa99,tackles_loss,0,,,,,
player,201311100clt,ram,LaurJa99,qb_hits,0,,,,,
player,201311100clt,ram,LaurJa99,fumbles_rec,0,,,,,
player,201311100clt,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201311100clt,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201311100clt,ram,LaurJa99,fumbles_forced,0,,,,,
player,201311100clt,ram,JohnTr05,def_int,1,,,,,
player,201311100clt,ram,JohnTr05,def_int_yds,0,,,,,
player,201311100clt,ram,JohnTr05,def_int_td,0,,,,,
player,201311100clt,ram,JohnTr05,def_int_long,0,,,,,
player,201311100clt,ram,JohnTr05,pass_defended,3,,,,,
player,201311100clt,ram,JohnTr05,sacks,0.0,,,,,
player,201311100clt,ram,JohnTr05,tackles_combined,4,,,,,
player,201311100clt,ram,JohnTr05,tackles_solo,3,,,,,
player,201311100clt,ram,JohnTr05,tackles_assists,1,,,,,
player,201311100clt,ram,JohnTr05,tackles_loss,0,,,,,
player,201311100clt,ram,JohnTr05,qb_hits,0,,,,,
player,201311100clt,ram,JohnTr05,fumbles_rec,0,,,,,
player,201311100clt,ram,JohnTr05,fumbles_rec_yds,0,,,,,
player,201311100clt,ram,JohnTr05,fumbles_rec_td,0,,,,,
player,201311100clt,ram,JohnTr05,fumbles_forced,0,,,,,
player,201311100clt,ram,HayeWi99,def_int,1,,,,,
player,201311100clt,ram,HayeWi99,def_int_yds,5,,,,,
player,201311100clt,ram,HayeWi99,def_int_td,0,,,,,
player,201311100clt,ram,HayeWi99,def_int_long,5,,,,,
player,201311100clt,ram,HayeWi99,pass_defended,1,,,,,
player,201311100clt,ram,HayeWi99,sacks,0.0,,,,,
player,201311100clt,ram,HayeWi99,tackles_combined,1,,,,,
player,201311100clt,ram,HayeWi99,tackles_solo,0,,,,,
player,201311100clt,ram,HayeWi99,tackles_assists,1,,,,,
player,201311100clt,ram,HayeWi99,tackles_loss,0,,,,,
player,201311100clt,ram,HayeWi99,qb_hits,0,,,,,
player,201311100clt,ram,HayeWi99,fumbles_rec,0,,,,,
player,201311100clt,ram,HayeWi99,fumbles_rec_yds,0,,,,,
player,201311100clt,ram,HayeWi99,fumbles_rec_td,0,,,,,
player,201311100clt,ram,HayeWi99,fumbles_forced,0,,,,,
player,201311100clt,ram,WithWi20,def_int,1,,,,,
player,201311100clt,ram,WithWi20,def_int_yds,20,,,,,
player,201311100clt,ram,WithWi20,def_int_td,0,,,,,
player,201311100clt,ram,WithWi20,def_int_long,20,,,,,
player,201311100clt,ram,WithWi20,pass_defended,1,,,,,
player,201311100clt,ram,WithWi20,sacks,0.0,,,,,
player,201311100clt,ram,WithWi20,tackles_combined,1,,,,,
