game,2013,10,20131111,201311110tam,mia,"Miami Dolphins",19,tam,"Tampa Bay Buccaneers",22
player,201311110tam,tam,LeonBr00,rec_yds,16,,,,,
player,201311110tam,tam,LeonBr00,rec_td,0,,,,,
player,201311110tam,tam,LeonBr00,rec_long,14,,,,,
player,201311110tam,tam,LeonBr00,fumbles,0,,,,,
player,201311110tam,tam,LeonBr00,fumbles_lost,0,,,,,
player,201311110tam,tam,RainBo00,pass_cmp,0,,,,,
player,201311110tam,tam,RainBo00,pass_att,0,,,,,
player,201311110tam,tam,RainBo00,pass_yds,0,,,,,
player,201311110tam,tam,RainBo00,pass_td,0,,,,,
player,201311110tam,tam,RainBo00,pass_int,0,,,,,
player,201311110tam,tam,RainBo00,pass_sacked,0,,,,,
player,201311110tam,tam,RainBo00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,RainBo00,pass_long,0,,,,,
player,201311110tam,tam,RainBo00,pass_rating,,,,,,
player,201311110tam,tam,RainBo00,rush_att,8,,,,,
player,201311110tam,tam,RainBo00,rush_yds,45,,,,,
player,201311110tam,tam,RainBo00,rush_td,1,,,,,
player,201311110tam,tam,RainBo00,rush_long,31,,,,,
player,201311110tam,tam,RainBo00,targets,1,,,,,
player,201311110tam,tam,RainBo00,rec,1,,,,,
player,201311110tam,tam,RainBo00,rec_yds,11,,,,,
player,201311110tam,tam,RainBo00,rec_td,0,,,,,
player,201311110tam,tam,RainBo00,rec_long,11,,,,,
player,201311110tam,tam,RainBo00,fumbles,0,,,,,
player,201311110tam,tam,RainBo00,fumbles_lost,0,,,,,
player,201311110tam,tam,JameMi00,pass_cmp,0,,,,,
player,201311110tam,tam,JameMi00,pass_att,0,,,,,
player,201311110tam,tam,JameMi00,pass_yds,0,,,,,
player,201311110tam,tam,JameMi00,pass_td,0,,,,,
player,201311110tam,tam,JameMi00,pass_int,0,,,,,
player,201311110tam,tam,JameMi00,pass_sacked,0,,,,,
player,201311110tam,tam,JameMi00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,JameMi00,pass_long,0,,,,,
player,201311110tam,tam,JameMi00,pass_rating,,,,,,
player,201311110tam,tam,JameMi00,rush_att,5,,,,,
player,201311110tam,tam,JameMi00,rush_yds,41,,,,,
player,201311110tam,tam,JameMi00,rush_td,0,,,,,
player,201311110tam,tam,JameMi00,rush_long,24,,,,,
player,201311110tam,tam,JameMi00,targets,0,,,,,
player,201311110tam,tam,JameMi00,rec,0,,,,,
player,201311110tam,tam,JameMi00,rec_yds,0,,,,,
player,201311110tam,tam,JameMi00,rec_td,0,,,,,
player,201311110tam,tam,JameMi00,rec_long,0,,,,,
player,201311110tam,tam,JameMi00,fumbles,0,,,,,
player,201311110tam,tam,JameMi00,fumbles_lost,0,,,,,
player,201311110tam,tam,UndeTi00,pass_cmp,0,,,,,
player,201311110tam,tam,UndeTi00,pass_att,0,,,,,
player,201311110tam,tam,UndeTi00,pass_yds,0,,,,,
player,201311110tam,tam,UndeTi00,pass_td,0,,,,,
player,201311110tam,tam,UndeTi00,pass_int,0,,,,,
player,201311110tam,tam,UndeTi00,pass_sacked,0,,,,,
player,201311110tam,tam,UndeTi00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,UndeTi00,pass_long,0,,,,,
player,201311110tam,tam,UndeTi00,pass_rating,,,,,,
player,201311110tam,tam,UndeTi00,rush_att,0,,,,,
player,201311110tam,tam,UndeTi00,rush_yds,0,,,,,
player,201311110tam,tam,UndeTi00,rush_td,0,,,,,
player,201311110tam,tam,UndeTi00,rush_long,0,,,,,
player,201311110tam,tam,UndeTi00,targets,5,,,,,
player,201311110tam,tam,UndeTi00,rec,3,,,,,
player,201311110tam,tam,UndeTi00,rec_yds,64,,,,,
player,201311110tam,tam,UndeTi00,rec_td,0,,,,,
player,201311110tam,tam,UndeTi00,rec_long,30,,,,,
player,201311110tam,tam,UndeTi00,fumbles,0,,,,,
player,201311110tam,tam,UndeTi00,fumbles_lost,0,,,,,
player,201311110tam,tam,JackVi00,pass_cmp,0,,,,,
player,201311110tam,tam,JackVi00,pass_att,0,,,,,
player,201311110tam,tam,JackVi00,pass_yds,0,,,,,
player,201311110tam,tam,JackVi00,pass_td,0,,,,,
player,201311110tam,tam,JackVi00,pass_int,0,,,,,
player,201311110tam,tam,JackVi00,pass_sacked,0,,,,,
player,201311110tam,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,JackVi00,pass_long,0,,,,,
player,201311110tam,tam,JackVi00,pass_rating,,,,,,
player,201311110tam,tam,JackVi00,rush_att,0,,,,,
player,201311110tam,tam,JackVi00,rush_yds,0,,,,,
player,201311110tam,tam,JackVi00,rush_td,0,,,,,
player,201311110tam,tam,JackVi00,rush_long,0,,,,,
player,201311110tam,tam,JackVi00,targets,8,,,,,
player,201311110tam,tam,JackVi00,rec,3,,,,,
player,201311110tam,tam,JackVi00,rec_yds,28,,,,,
player,201311110tam,tam,JackVi00,rec_td,0,,,,,
player,201311110tam,tam,JackVi00,rec_long,14,,,,,
player,201311110tam,tam,JackVi00,fumbles,0,,,,,
player,201311110tam,tam,JackVi00,fumbles_lost,0,,,,,
player,201311110tam,tam,WrigTi01,pass_cmp,0,,,,,
player,201311110tam,tam,WrigTi01,pass_att,0,,,,,
player,201311110tam,tam,WrigTi01,pass_yds,0,,,,,
player,201311110tam,tam,WrigTi01,pass_td,0,,,,,
player,201311110tam,tam,WrigTi01,pass_int,0,,,,,
player,201311110tam,tam,WrigTi01,pass_sacked,0,,,,,
player,201311110tam,tam,WrigTi01,pass_sacked_yds,0,,,,,
player,201311110tam,tam,WrigTi01,pass_long,0,,,,,
player,201311110tam,tam,WrigTi01,pass_rating,,,,,,
player,201311110tam,tam,WrigTi01,rush_att,0,,,,,
player,201311110tam,tam,WrigTi01,rush_yds,0,,,,,
player,201311110tam,tam,WrigTi01,rush_td,0,,,,,
player,201311110tam,tam,WrigTi01,rush_long,0,,,,,
player,201311110tam,tam,WrigTi01,targets,1,,,,,
player,201311110tam,tam,WrigTi01,rec,1,,,,,
player,201311110tam,tam,WrigTi01,rec_yds,19,,,,,
player,201311110tam,tam,WrigTi01,rec_td,0,,,,,
player,201311110tam,tam,WrigTi01,rec_long,19,,,,,
player,201311110tam,tam,WrigTi01,fumbles,0,,,,,
player,201311110tam,tam,WrigTi01,fumbles_lost,0,,,,,
player,201311110tam,tam,PennDo20,pass_cmp,0,,,,,
player,201311110tam,tam,PennDo20,pass_att,0,,,,,
player,201311110tam,tam,PennDo20,pass_yds,0,,,,,
player,201311110tam,tam,PennDo20,pass_td,0,,,,,
player,201311110tam,tam,PennDo20,pass_int,0,,,,,
player,201311110tam,tam,PennDo20,pass_sacked,0,,,,,
player,201311110tam,tam,PennDo20,pass_sacked_yds,0,,,,,
player,201311110tam,tam,PennDo20,pass_long,0,,,,,
player,201311110tam,tam,PennDo20,pass_rating,,,,,,
player,201311110tam,tam,PennDo20,rush_att,0,,,,,
player,201311110tam,tam,PennDo20,rush_yds,0,,,,,
player,201311110tam,tam,PennDo20,rush_td,0,,,,,
player,201311110tam,tam,PennDo20,rush_long,0,,,,,
player,201311110tam,tam,PennDo20,targets,1,,,,,
player,201311110tam,tam,PennDo20,rec,1,,,,,
player,201311110tam,tam,PennDo20,rec_yds,1,,,,,
player,201311110tam,tam,PennDo20,rec_td,1,,,,,
player,201311110tam,tam,PennDo20,rec_long,1,,,,,
player,201311110tam,tam,PennDo20,fumbles,0,,,,,
player,201311110tam,tam,PennDo20,fumbles_lost,0,,,,,
player,201311110tam,tam,DawsSk00,pass_cmp,0,,,,,
player,201311110tam,tam,DawsSk00,pass_att,0,,,,,
player,201311110tam,tam,DawsSk00,pass_yds,0,,,,,
player,201311110tam,tam,DawsSk00,pass_td,0,,,,,
player,201311110tam,tam,DawsSk00,pass_int,0,,,,,
player,201311110tam,tam,DawsSk00,pass_sacked,0,,,,,
player,201311110tam,tam,DawsSk00,pass_sacked_yds,0,,,,,
player,201311110tam,tam,DawsSk00,pass_long,0,,,,,
player,201311110tam,tam,DawsSk00,pass_rating,,,,,,
player,201311110tam,tam,DawsSk00,rush_att,0,,,,,
player,201311110tam,tam,DawsSk00,rush_yds,0,,,,,
player,201311110tam,tam,DawsSk00,rush_td,0,,,,,
player,201311110tam,tam,DawsSk00,rush_long,0,,,,,
player,201311110tam,tam,DawsSk00,targets,2,,,,,
player,201311110tam,tam,DawsSk00,rec,0,,,,,
player,201311110tam,tam,DawsSk00,rec_yds,0,,,,,
player,201311110tam,tam,DawsSk00,rec_td,0,,,,,
player,201311110tam,tam,DawsSk00,rec_long,0,,,,,
player,201311110tam,tam,DawsSk00,fumbles,0,,,,,
player,201311110tam,tam,DawsSk00,fumbles_lost,0,,,,,
player,201311110tam,mia,WilsJi00,def_int,1,,,,,
player,201311110tam,mia,WilsJi00,def_int_yds,23,,,,,
player,201311110tam,mia,WilsJi00,def_int_td,0,,,,,
player,201311110tam,mia,WilsJi00,def_int_long,23,,,,,
player,201311110tam,mia,WilsJi00,pass_defended,1,,,,,
player,201311110tam,mia,WilsJi00,sacks,0.0,,,,,
player,201311110tam,mia,WilsJi00,tackles_combined,2,,,,,
player,201311110tam,mia,WilsJi00,tackles_solo,2,,,,,
player,201311110tam,mia,WilsJi00,tackles_assists,0,,,,,
player,201311110tam,mia,WilsJi00,tackles_loss,0,,,,,
player,201311110tam,mia,WilsJi00,qb_hits,0,,,,,
player,201311110tam,mia,WilsJi00,fumbles_rec,0,,,,,
player,201311110tam,mia,WilsJi00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,WilsJi00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,WilsJi00,fumbles_forced,0,,,,,
player,201311110tam,mia,ElleDa99,def_int,0,,,,,
player,201311110tam,mia,ElleDa99,def_int_yds,0,,,,,
player,201311110tam,mia,ElleDa99,def_int_td,0,,,,,
player,201311110tam,mia,ElleDa99,def_int_long,0,,,,,
player,201311110tam,mia,ElleDa99,pass_defended,0,,,,,
player,201311110tam,mia,ElleDa99,sacks,1.0,,,,,
player,201311110tam,mia,ElleDa99,tackles_combined,11,,,,,
player,201311110tam,mia,ElleDa99,tackles_solo,11,,,,,
player,201311110tam,mia,ElleDa99,tackles_assists,0,,,,,
player,201311110tam,mia,ElleDa99,tackles_loss,2,,,,,
player,201311110tam,mia,ElleDa99,qb_hits,0,,,,,
player,201311110tam,mia,ElleDa99,fumbles_rec,0,,,,,
player,201311110tam,mia,ElleDa99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,ElleDa99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,ElleDa99,fumbles_forced,0,,,,,
player,201311110tam,mia,CarrNo00,def_int,0,,,,,
player,201311110tam,mia,CarrNo00,def_int_yds,0,,,,,
player,201311110tam,mia,CarrNo00,def_int_td,0,,,,,
player,201311110tam,mia,CarrNo00,def_int_long,0,,,,,
player,201311110tam,mia,CarrNo00,pass_defended,1,,,,,
player,201311110tam,mia,CarrNo00,sacks,1.0,,,,,
player,201311110tam,mia,CarrNo00,tackles_combined,2,,,,,
player,201311110tam,mia,CarrNo00,tackles_solo,2,,,,,
player,201311110tam,mia,CarrNo00,tackles_assists,0,,,,,
player,201311110tam,mia,CarrNo00,tackles_loss,1,,,,,
player,201311110tam,mia,CarrNo00,qb_hits,1,,,,,
player,201311110tam,mia,CarrNo00,fumbles_rec,0,,,,,
player,201311110tam,mia,CarrNo00,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,CarrNo00,fumbles_rec_td,0,,,,,
player,201311110tam,mia,CarrNo00,fumbles_forced,0,,,,,
player,201311110tam,mia,ClemCh97,def_int,0,,,,,
player,201311110tam,mia,ClemCh97,def_int_yds,0,,,,,
player,201311110tam,mia,ClemCh97,def_int_td,0,,,,,
player,201311110tam,mia,ClemCh97,def_int_long,0,,,,,
player,201311110tam,mia,ClemCh97,pass_defended,0,,,,,
player,201311110tam,mia,ClemCh97,sacks,0.0,,,,,
player,201311110tam,mia,ClemCh97,tackles_combined,5,,,,,
player,201311110tam,mia,ClemCh97,tackles_solo,3,,,,,
player,201311110tam,mia,ClemCh97,tackles_assists,2,,,,,
player,201311110tam,mia,ClemCh97,tackles_loss,0,,,,,
player,201311110tam,mia,ClemCh97,qb_hits,0,,,,,
player,201311110tam,mia,ClemCh97,fumbles_rec,0,,,,,
player,201311110tam,mia,ClemCh97,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,ClemCh97,fumbles_rec_td,0,,,,,
player,201311110tam,mia,ClemCh97,fumbles_forced,0,,,,,
player,201311110tam,mia,JoneRe99,def_int,0,,,,,
player,201311110tam,mia,JoneRe99,def_int_yds,0,,,,,
player,201311110tam,mia,JoneRe99,def_int_td,0,,,,,
player,201311110tam,mia,JoneRe99,def_int_long,0,,,,,
player,201311110tam,mia,JoneRe99,pass_defended,0,,,,,
player,201311110tam,mia,JoneRe99,sacks,0.0,,,,,
player,201311110tam,mia,JoneRe99,tackles_combined,5,,,,,
player,201311110tam,mia,JoneRe99,tackles_solo,5,,,,,
player,201311110tam,mia,JoneRe99,tackles_assists,0,,,,,
player,201311110tam,mia,JoneRe99,tackles_loss,1,,,,,
player,201311110tam,mia,JoneRe99,qb_hits,1,,,,,
player,201311110tam,mia,JoneRe99,fumbles_rec,0,,,,,
player,201311110tam,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201311110tam,mia,JoneRe99,fumbles_forced,0,,,,,
player,201311110tam,mia,StarRa20,def_int,0,,,,,
player,201311110tam,mia,StarRa20,def_int_yds,0,,,,,
player,201311110tam,mia,StarRa20,def_int_td,0,,,,,
player,201311110tam,mia,StarRa20,def_int_long,0,,,,,
player,201311110tam,mia,StarRa20,pass_defended,0,,,,,
player,201311110tam,mia,StarRa20,sacks,0.0,,,,,
player,201311110tam,mia,StarRa20,tackles_combined,5,,,,,
player,201311110tam,mia,StarRa20,tackles_solo,5,,,,,
player,201311110tam,mia,StarRa20,tackles_assists,0,,,,,
player,201311110tam,mia,StarRa20,tackles_loss,2,,,,,
player,201311110tam,mia,StarRa20,qb_hits,0,,,,,
player,201311110tam,mia,StarRa20,fumbles_rec,0,,,,,
player,201311110tam,mia,StarRa20,fumbles_rec_yds,0,,,,,
player,201311110tam,mia,StarRa20,fumbles_rec_td,0,,,,,
player,201311110tam,mia,StarRa20,fumbles_forced,0,,,,,
player,201311110tam,mia,WheePh99,def_int,0,,,,,
player,201311110tam,mia,WheePh99,def_int_yds,0,,,,,
