game,2013,8,20131027,201310270det,dal,"Dallas Cowboys",30,det,"Detroit Lions",31
player,201310270det,dal,RomoTo00,rush_long,5,,,,,
player,201310270det,dal,RomoTo00,targets,0,,,,,
player,201310270det,dal,RomoTo00,rec,0,,,,,
player,201310270det,dal,RomoTo00,rec_yds,0,,,,,
player,201310270det,dal,RomoTo00,rec_td,0,,,,,
player,201310270det,dal,RomoTo00,rec_long,0,,,,,
player,201310270det,dal,RomoTo00,fumbles,0,,,,,
player,201310270det,dal,RomoTo00,fumbles_lost,0,,,,,
player,201310270det,dal,RandJo01,pass_cmp,0,,,,,
player,201310270det,dal,RandJo01,pass_att,0,,,,,
player,201310270det,dal,RandJo01,pass_yds,0,,,,,
player,201310270det,dal,RandJo01,pass_td,0,,,,,
player,201310270det,dal,RandJo01,pass_int,0,,,,,
player,201310270det,dal,RandJo01,pass_sacked,0,,,,,
player,201310270det,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201310270det,dal,RandJo01,pass_long,0,,,,,
player,201310270det,dal,RandJo01,pass_rating,,,,,,
player,201310270det,dal,RandJo01,rush_att,14,,,,,
player,201310270det,dal,RandJo01,rush_yds,26,,,,,
player,201310270det,dal,RandJo01,rush_td,0,,,,,
player,201310270det,dal,RandJo01,rush_long,7,,,,,
player,201310270det,dal,RandJo01,targets,4,,,,,
player,201310270det,dal,RandJo01,rec,3,,,,,
player,201310270det,dal,RandJo01,rec_yds,18,,,,,
player,201310270det,dal,RandJo01,rec_td,0,,,,,
player,201310270det,dal,RandJo01,rec_long,13,,,,,
player,201310270det,dal,RandJo01,fumbles,0,,,,,
player,201310270det,dal,RandJo01,fumbles_lost,0,,,,,
player,201310270det,dal,DunbLa00,pass_cmp,0,,,,,
player,201310270det,dal,DunbLa00,pass_att,0,,,,,
player,201310270det,dal,DunbLa00,pass_yds,0,,,,,
player,201310270det,dal,DunbLa00,pass_td,0,,,,,
player,201310270det,dal,DunbLa00,pass_int,0,,,,,
player,201310270det,dal,DunbLa00,pass_sacked,0,,,,,
player,201310270det,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201310270det,dal,DunbLa00,pass_long,0,,,,,
player,201310270det,dal,DunbLa00,pass_rating,,,,,,
player,201310270det,dal,DunbLa00,rush_att,5,,,,,
player,201310270det,dal,DunbLa00,rush_yds,16,,,,,
player,201310270det,dal,DunbLa00,rush_td,0,,,,,
player,201310270det,dal,DunbLa00,rush_long,6,,,,,
player,201310270det,dal,DunbLa00,targets,0,,,,,
player,201310270det,dal,DunbLa00,rec,0,,,,,
player,201310270det,dal,DunbLa00,rec_yds,0,,,,,
player,201310270det,dal,DunbLa00,rec_td,0,,,,,
player,201310270det,dal,DunbLa00,rec_long,0,,,,,
player,201310270det,dal,DunbLa00,fumbles,0,,,,,
player,201310270det,dal,DunbLa00,fumbles_lost,0,,,,,
player,201310270det,dal,TannPh00,pass_cmp,0,,,,,
player,201310270det,dal,TannPh00,pass_att,0,,,,,
player,201310270det,dal,TannPh00,pass_yds,0,,,,,
player,201310270det,dal,TannPh00,pass_td,0,,,,,
player,201310270det,dal,TannPh00,pass_int,0,,,,,
player,201310270det,dal,TannPh00,pass_sacked,0,,,,,
player,201310270det,dal,TannPh00,pass_sacked_yds,0,,,,,
player,201310270det,dal,TannPh00,pass_long,0,,,,,
player,201310270det,dal,TannPh00,pass_rating,,,,,,
player,201310270det,dal,TannPh00,rush_att,2,,,,,
player,201310270det,dal,TannPh00,rush_yds,8,,,,,
player,201310270det,dal,TannPh00,rush_td,0,,,,,
player,201310270det,dal,TannPh00,rush_long,9,,,,,
player,201310270det,dal,TannPh00,targets,1,,,,,
player,201310270det,dal,TannPh00,rec,1,,,,,
player,201310270det,dal,TannPh00,rec_yds,17,,,,,
player,201310270det,dal,TannPh00,rec_td,0,,,,,
player,201310270det,dal,TannPh00,rec_long,17,,,,,
player,201310270det,dal,TannPh00,fumbles,0,,,,,
player,201310270det,dal,TannPh00,fumbles_lost,0,,,,,
player,201310270det,dal,WillTe01,pass_cmp,0,,,,,
player,201310270det,dal,WillTe01,pass_att,0,,,,,
player,201310270det,dal,WillTe01,pass_yds,0,,,,,
player,201310270det,dal,WillTe01,pass_td,0,,,,,
player,201310270det,dal,WillTe01,pass_int,0,,,,,
player,201310270det,dal,WillTe01,pass_sacked,0,,,,,
player,201310270det,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201310270det,dal,WillTe01,pass_long,0,,,,,
player,201310270det,dal,WillTe01,pass_rating,,,,,,
player,201310270det,dal,WillTe01,rush_att,1,,,,,
player,201310270det,dal,WillTe01,rush_yds,5,,,,,
player,201310270det,dal,WillTe01,rush_td,0,,,,,
player,201310270det,dal,WillTe01,rush_long,5,,,,,
player,201310270det,dal,WillTe01,targets,10,,,,,
player,201310270det,dal,WillTe01,rec,2,,,,,
player,201310270det,dal,WillTe01,rec_yds,64,,,,,
player,201310270det,dal,WillTe01,rec_td,1,,,,,
player,201310270det,dal,WillTe01,rec_long,60,,,,,
player,201310270det,dal,WillTe01,fumbles,0,,,,,
player,201310270det,dal,WillTe01,fumbles_lost,0,,,,,
player,201310270det,dal,BryaDe01,pass_cmp,0,,,,,
player,201310270det,dal,BryaDe01,pass_att,0,,,,,
player,201310270det,dal,BryaDe01,pass_yds,0,,,,,
player,201310270det,dal,BryaDe01,pass_td,0,,,,,
player,201310270det,dal,BryaDe01,pass_int,0,,,,,
player,201310270det,dal,BryaDe01,pass_sacked,0,,,,,
player,201310270det,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201310270det,dal,BryaDe01,pass_long,0,,,,,
player,201310270det,dal,BryaDe01,pass_rating,,,,,,
player,201310270det,dal,BryaDe01,rush_att,1,,,,,
player,201310270det,dal,BryaDe01,rush_yds,1,,,,,
player,201310270det,dal,BryaDe01,rush_td,0,,,,,
player,201310270det,dal,BryaDe01,rush_long,1,,,,,
player,201310270det,dal,BryaDe01,targets,6,,,,,
player,201310270det,dal,BryaDe01,rec,3,,,,,
player,201310270det,dal,BryaDe01,rec_yds,72,,,,,
player,201310270det,dal,BryaDe01,rec_td,2,,,,,
player,201310270det,dal,BryaDe01,rec_long,50,,,,,
player,201310270det,dal,BryaDe01,fumbles,0,,,,,
player,201310270det,dal,BryaDe01,fumbles_lost,0,,,,,
player,201310270det,dal,WittJa00,pass_cmp,0,,,,,
player,201310270det,dal,WittJa00,pass_att,0,,,,,
player,201310270det,dal,WittJa00,pass_yds,0,,,,,
player,201310270det,dal,WittJa00,pass_td,0,,,,,
player,201310270det,dal,WittJa00,pass_int,0,,,,,
player,201310270det,dal,WittJa00,pass_sacked,0,,,,,
player,201310270det,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201310270det,dal,WittJa00,pass_long,0,,,,,
player,201310270det,dal,WittJa00,pass_rating,,,,,,
player,201310270det,dal,WittJa00,rush_att,0,,,,,
player,201310270det,dal,WittJa00,rush_yds,0,,,,,
player,201310270det,dal,WittJa00,rush_td,0,,,,,
player,201310270det,dal,WittJa00,rush_long,0,,,,,
player,201310270det,dal,WittJa00,targets,2,,,,,
player,201310270det,dal,WittJa00,rec,2,,,,,
player,201310270det,dal,WittJa00,rec_yds,15,,,,,
player,201310270det,dal,WittJa00,rec_td,0,,,,,
player,201310270det,dal,WittJa00,rec_long,13,,,,,
player,201310270det,dal,WittJa00,fumbles,0,,,,,
player,201310270det,dal,WittJa00,fumbles_lost,0,,,,,
player,201310270det,dal,HannJa00,pass_cmp,0,,,,,
player,201310270det,dal,HannJa00,pass_att,0,,,,,
player,201310270det,dal,HannJa00,pass_yds,0,,,,,
player,201310270det,dal,HannJa00,pass_td,0,,,,,
player,201310270det,dal,HannJa00,pass_int,0,,,,,
player,201310270det,dal,HannJa00,pass_sacked,0,,,,,
player,201310270det,dal,HannJa00,pass_sacked_yds,0,,,,,
player,201310270det,dal,HannJa00,pass_long,0,,,,,
player,201310270det,dal,HannJa00,pass_rating,,,,,,
player,201310270det,dal,HannJa00,rush_att,0,,,,,
player,201310270det,dal,HannJa00,rush_yds,0,,,,,
player,201310270det,dal,HannJa00,rush_td,0,,,,,
player,201310270det,dal,HannJa00,rush_long,0,,,,,
player,201310270det,dal,HannJa00,targets,2,,,,,
player,201310270det,dal,HannJa00,rec,2,,,,,
player,201310270det,dal,HannJa00,rec_yds,12,,,,,
player,201310270det,dal,HannJa00,rec_td,0,,,,,
player,201310270det,dal,HannJa00,rec_long,11,,,,,
player,201310270det,dal,HannJa00,fumbles,0,,,,,
player,201310270det,dal,HannJa00,fumbles_lost,0,,,,,
player,201310270det,dal,BeasCo00,pass_cmp,0,,,,,
player,201310270det,dal,BeasCo00,pass_att,0,,,,,
player,201310270det,dal,BeasCo00,pass_yds,0,,,,,
player,201310270det,dal,BeasCo00,pass_td,0,,,,,
player,201310270det,dal,BeasCo00,pass_int,0,,,,,
player,201310270det,dal,BeasCo00,pass_sacked,0,,,,,
player,201310270det,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201310270det,dal,BeasCo00,pass_long,0,,,,,
player,201310270det,dal,BeasCo00,pass_rating,,,,,,
player,201310270det,dal,BeasCo00,rush_att,0,,,,,
player,201310270det,dal,BeasCo00,rush_yds,0,,,,,
player,201310270det,dal,BeasCo00,rush_td,0,,,,,
player,201310270det,dal,BeasCo00,rush_long,0,,,,,
player,201310270det,dal,BeasCo00,targets,3,,,,,
player,201310270det,dal,BeasCo00,rec,1,,,,,
player,201310270det,dal,BeasCo00,rec_yds,8,,,,,
player,201310270det,dal,BeasCo00,rec_td,0,,,,,
player,201310270det,dal,BeasCo00,rec_long,8,,,,,
player,201310270det,dal,BeasCo00,fumbles,1,,,,,
player,201310270det,dal,BeasCo00,fumbles_lost,0,,,,,
player,201310270det,dal,HarrDw00,pass_cmp,0,,,,,
player,201310270det,dal,HarrDw00,pass_att,0,,,,,
player,201310270det,dal,HarrDw00,pass_yds,0,,,,,
player,201310270det,dal,HarrDw00,pass_td,0,,,,,
player,201310270det,dal,HarrDw00,pass_int,0,,,,,
player,201310270det,dal,HarrDw00,pass_sacked,0,,,,,
player,201310270det,dal,HarrDw00,pass_sacked_yds,0,,,,,
player,201310270det,dal,HarrDw00,pass_long,0,,,,,
player,201310270det,dal,HarrDw00,pass_rating,,,,,,
player,201310270det,dal,HarrDw00,rush_att,0,,,,,
player,201310270det,dal,HarrDw00,rush_yds,0,,,,,
player,201310270det,dal,HarrDw00,rush_td,0,,,,,
player,201310270det,dal,HarrDw00,rush_long,0,,,,,
player,201310270det,dal,HarrDw00,targets,2,,,,,
player,201310270det,dal,HarrDw00,rec,0,,,,,
player,201310270det,dal,HarrDw00,rec_yds,0,,,,,
player,201310270det,dal,HarrDw00,rec_td,0,,,,,
player,201310270det,dal,HarrDw00,rec_long,0,,,,,
player,201310270det,dal,HarrDw00,fumbles,0,,,,,
player,201310270det,dal,HarrDw00,fumbles_lost,0,,,,,
player,201310270det,dal,FreeDo20,pass_cmp,0,,,,,
player,201310270det,dal,FreeDo20,pass_att,0,,,,,
player,201310270det,dal,FreeDo20,pass_yds,0,,,,,
player,201310270det,dal,FreeDo20,pass_td,0,,,,,
player,201310270det,dal,FreeDo20,pass_int,0,,,,,
player,201310270det,dal,FreeDo20,pass_sacked,0,,,,,
player,201310270det,dal,FreeDo20,pass_sacked_yds,0,,,,,
player,201310270det,dal,FreeDo20,pass_long,0,,,,,
player,201310270det,dal,FreeDo20,pass_rating,,,,,,
player,201310270det,dal,FreeDo20,rush_att,0,,,,,
player,201310270det,dal,FreeDo20,rush_yds,0,,,,,
player,201310270det,dal,FreeDo20,rush_td,0,,,,,
player,201310270det,dal,FreeDo20,rush_long,0,,,,,
player,201310270det,dal,FreeDo20,targets,1,,,,,
player,201310270det,dal,FreeDo20,rec,0,,,,,
player,201310270det,dal,FreeDo20,rec_yds,0,,,,,
player,201310270det,dal,FreeDo20,rec_td,0,,,,,
player,201310270det,dal,FreeDo20,rec_long,0,,,,,
player,201310270det,dal,FreeDo20,fumbles,0,,,,,
player,201310270det,dal,FreeDo20,fumbles_lost,0,,,,,
player,201310270det,det,StafMa00,pass_cmp,33,,,,,
player,201310270det,det,StafMa00,pass_att,48,,,,,
player,201310270det,det,StafMa00,pass_yds,488,,,,,
player,201310270det,det,StafMa00,pass_td,1,,,,,
player,201310270det,det,StafMa00,pass_int,2,,,,,
player,201310270det,det,StafMa00,pass_sacked,1,,,,,
player,201310270det,det,StafMa00,pass_sacked_yds,8,,,,,
player,201310270det,det,StafMa00,pass_long,87,,,,,
player,201310270det,det,StafMa00,pass_rating,91.3,,,,,
player,201310270det,det,StafMa00,rush_att,3,,,,,
player,201310270det,det,StafMa00,rush_yds,12,,,,,
player,201310270det,det,StafMa00,rush_td,1,,,,,
player,201310270det,det,StafMa00,rush_long,8,,,,,
player,201310270det,det,StafMa00,targets,0,,,,,
player,201310270det,det,StafMa00,rec,0,,,,,
player,201310270det,det,StafMa00,rec_yds,0,,,,,
player,201310270det,det,StafMa00,rec_td,0,,,,,
player,201310270det,det,StafMa00,rec_long,0,,,,,
player,201310270det,det,StafMa00,fumbles,0,,,,,
player,201310270det,det,StafMa00,fumbles_lost,0,,,,,
player,201310270det,det,BushRe00,pass_cmp,0,,,,,
player,201310270det,det,BushRe00,pass_att,0,,,,,
player,201310270det,det,BushRe00,pass_yds,0,,,,,
player,201310270det,det,BushRe00,pass_td,0,,,,,
player,201310270det,det,BushRe00,pass_int,0,,,,,
player,201310270det,det,BushRe00,pass_sacked,0,,,,,
player,201310270det,det,BushRe00,pass_sacked_yds,0,,,,,
player,201310270det,det,BushRe00,pass_long,0,,,,,
player,201310270det,det,BushRe00,pass_rating,,,,,,
player,201310270det,det,BushRe00,rush_att,21,,,,,
player,201310270det,det,BushRe00,rush_yds,92,,,,,
player,201310270det,det,BushRe00,rush_td,1,,,,,
player,201310270det,det,BushRe00,rush_long,17,,,,,
player,201310270det,det,BushRe00,targets,9,,,,,
player,201310270det,det,BushRe00,rec,8,,,,,
player,201310270det,det,BushRe00,rec_yds,30,,,,,
player,201310270det,det,BushRe00,rec_td,0,,,,,
player,201310270det,det,BushRe00,rec_long,9,,,,,
player,201310270det,det,BushRe00,fumbles,1,,,,,
player,201310270det,det,BushRe00,fumbles_lost,1,,,,,
player,201310270det,det,BellJo01,pass_cmp,0,,,,,
player,201310270det,det,BellJo01,pass_att,0,,,,,
player,201310270det,det,BellJo01,pass_yds,0,,,,,
player,201310270det,det,BellJo01,pass_td,0,,,,,
player,201310270det,det,BellJo01,pass_int,0,,,,,
player,201310270det,det,BellJo01,pass_sacked,0,,,,,
player,201310270det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201310270det,det,BellJo01,pass_long,0,,,,,
player,201310270det,det,BellJo01,pass_rating,,,,,,
player,201310270det,det,BellJo01,rush_att,4,,,,,
player,201310270det,det,BellJo01,rush_yds,32,,,,,
player,201310270det,det,BellJo01,rush_td,1,,,,,
player,201310270det,det,BellJo01,rush_long,16,,,,,
player,201310270det,det,BellJo01,targets,1,,,,,
player,201310270det,det,BellJo01,rec,1,,,,,
player,201310270det,det,BellJo01,rec_yds,22,,,,,
player,201310270det,det,BellJo01,rec_td,0,,,,,
player,201310270det,det,BellJo01,rec_long,22,,,,,
player,201310270det,det,BellJo01,fumbles,0,,,,,
player,201310270det,det,BellJo01,fumbles_lost,0,,,,,
player,201310270det,det,RiddTh00,pass_cmp,0,,,,,
player,201310270det,det,RiddTh00,pass_att,0,,,,,
player,201310270det,det,RiddTh00,pass_yds,0,,,,,
player,201310270det,det,RiddTh00,pass_td,0,,,,,
player,201310270det,det,RiddTh00,pass_int,0,,,,,
player,201310270det,det,RiddTh00,pass_sacked,0,,,,,
player,201310270det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201310270det,det,RiddTh00,pass_long,0,,,,,
player,201310270det,det,RiddTh00,pass_rating,,,,,,
player,201310270det,det,RiddTh00,rush_att,1,,,,,
player,201310270det,det,RiddTh00,rush_yds,7,,,,,
player,201310270det,det,RiddTh00,rush_td,0,,,,,
player,201310270det,det,RiddTh00,rush_long,7,,,,,
player,201310270det,det,RiddTh00,targets,1,,,,,
player,201310270det,det,RiddTh00,rec,1,,,,,
player,201310270det,det,RiddTh00,rec_yds,7,,,,,
player,201310270det,det,RiddTh00,rec_td,0,,,,,
player,201310270det,det,RiddTh00,rec_long,7,,,,,
player,201310270det,det,RiddTh00,fumbles,0,,,,,
player,201310270det,det,RiddTh00,fumbles_lost,0,,,,,
player,201310270det,det,JohnCa00,pass_cmp,0,,,,,
player,201310270det,det,JohnCa00,pass_att,0,,,,,
player,201310270det,det,JohnCa00,pass_yds,0,,,,,
player,201310270det,det,JohnCa00,pass_td,0,,,,,
player,201310270det,det,JohnCa00,pass_int,0,,,,,
player,201310270det,det,JohnCa00,pass_sacked,0,,,,,
player,201310270det,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201310270det,det,JohnCa00,pass_long,0,,,,,
player,201310270det,det,JohnCa00,pass_rating,,,,,,
player,201310270det,det,JohnCa00,rush_att,0,,,,,
player,201310270det,det,JohnCa00,rush_yds,0,,,,,
player,201310270det,det,JohnCa00,rush_td,0,,,,,
player,201310270det,det,JohnCa00,rush_long,0,,,,,
player,201310270det,det,JohnCa00,targets,16,,,,,
player,201310270det,det,JohnCa00,rec,14,,,,,
player,201310270det,det,JohnCa00,rec_yds,329,,,,,
player,201310270det,det,JohnCa00,rec_td,1,,,,,
player,201310270det,det,JohnCa00,rec_long,87,,,,,
player,201310270det,det,JohnCa00,fumbles,1,,,,,
player,201310270det,det,JohnCa00,fumbles_lost,1,,,,,
player,201310270det,det,DurhKr00,pass_cmp,0,,,,,
player,201310270det,det,DurhKr00,pass_att,0,,,,,
player,201310270det,det,DurhKr00,pass_yds,0,,,,,
player,201310270det,det,DurhKr00,pass_td,0,,,,,
player,201310270det,det,DurhKr00,pass_int,0,,,,,
player,201310270det,det,DurhKr00,pass_sacked,0,,,,,
player,201310270det,det,DurhKr00,pass_sacked_yds,0,,,,,
player,201310270det,det,DurhKr00,pass_long,0,,,,,
player,201310270det,det,DurhKr00,pass_rating,,,,,,
player,201310270det,det,DurhKr00,rush_att,0,,,,,
player,201310270det,det,DurhKr00,rush_yds,0,,,,,
player,201310270det,det,DurhKr00,rush_td,0,,,,,
player,201310270det,det,DurhKr00,rush_long,0,,,,,
player,201310270det,det,DurhKr00,targets,6,,,,,
player,201310270det,det,DurhKr00,rec,4,,,,,
player,201310270det,det,DurhKr00,rec_yds,54,,,,,
player,201310270det,det,DurhKr00,rec_td,0,,,,,
player,201310270det,det,DurhKr00,rec_long,40,,,,,
player,201310270det,det,DurhKr00,fumbles,0,,,,,
player,201310270det,det,DurhKr00,fumbles_lost,0,,,,,
player,201310270det,det,PettBr00,pass_cmp,0,,,,,
player,201310270det,det,PettBr00,pass_att,0,,,,,
player,201310270det,det,PettBr00,pass_yds,0,,,,,
player,201310270det,det,PettBr00,pass_td,0,,,,,
player,201310270det,det,PettBr00,pass_int,0,,,,,
player,201310270det,det,PettBr00,pass_sacked,0,,,,,
player,201310270det,det,PettBr00,pass_sacked_yds,0,,,,,
player,201310270det,det,PettBr00,pass_long,0,,,,,
player,201310270det,det,PettBr00,pass_rating,,,,,,
player,201310270det,det,PettBr00,rush_att,0,,,,,
player,201310270det,det,PettBr00,rush_yds,0,,,,,
player,201310270det,det,PettBr00,rush_td,0,,,,,
player,201310270det,det,PettBr00,rush_long,0,,,,,
player,201310270det,det,PettBr00,targets,6,,,,,
player,201310270det,det,PettBr00,rec,3,,,,,
player,201310270det,det,PettBr00,rec_yds,31,,,,,
player,201310270det,det,PettBr00,rec_td,0,,,,,
player,201310270det,det,PettBr00,rec_long,17,,,,,
player,201310270det,det,PettBr00,fumbles,0,,,,,
player,201310270det,det,PettBr00,fumbles_lost,0,,,,,
player,201310270det,det,BroyRy00,pass_cmp,0,,,,,
player,201310270det,det,BroyRy00,pass_att,0,,,,,
player,201310270det,det,BroyRy00,pass_yds,0,,,,,
player,201310270det,det,BroyRy00,pass_td,0,,,,,
player,201310270det,det,BroyRy00,pass_int,0,,,,,
player,201310270det,det,BroyRy00,pass_sacked,0,,,,,
player,201310270det,det,BroyRy00,pass_sacked_yds,0,,,,,
player,201310270det,det,BroyRy00,pass_long,0,,,,,
player,201310270det,det,BroyRy00,pass_rating,,,,,,
player,201310270det,det,BroyRy00,rush_att,0,,,,,
player,201310270det,det,BroyRy00,rush_yds,0,,,,,
player,201310270det,det,BroyRy00,rush_td,0,,,,,
player,201310270det,det,BroyRy00,rush_long,0,,,,,
player,201310270det,det,BroyRy00,targets,2,,,,,
player,201310270det,det,BroyRy00,rec,1,,,,,
player,201310270det,det,BroyRy00,rec_yds,8,,,,,
player,201310270det,det,BroyRy00,rec_td,0,,,,,
player,201310270det,det,BroyRy00,rec_long,8,,,,,
player,201310270det,det,BroyRy00,fumbles,0,,,,,
player,201310270det,det,BroyRy00,fumbles_lost,0,,,,,
player,201310270det,det,RossJe01,pass_cmp,0,,,,,
player,201310270det,det,RossJe01,pass_att,0,,,,,
player,201310270det,det,RossJe01,pass_yds,0,,,,,
player,201310270det,det,RossJe01,pass_td,0,,,,,
player,201310270det,det,RossJe01,pass_int,0,,,,,
player,201310270det,det,RossJe01,pass_sacked,0,,,,,
player,201310270det,det,RossJe01,pass_sacked_yds,0,,,,,
player,201310270det,det,RossJe01,pass_long,0,,,,,
player,201310270det,det,RossJe01,pass_rating,,,,,,
player,201310270det,det,RossJe01,rush_att,0,,,,,
player,201310270det,det,RossJe01,rush_yds,0,,,,,
player,201310270det,det,RossJe01,rush_td,0,,,,,
player,201310270det,det,RossJe01,rush_long,0,,,,,
player,201310270det,det,RossJe01,targets,3,,,,,
player,201310270det,det,RossJe01,rec,1,,,,,
player,201310270det,det,RossJe01,rec_yds,7,,,,,
player,201310270det,det,RossJe01,rec_td,0,,,,,
player,201310270det,det,RossJe01,rec_long,7,,,,,
player,201310270det,det,RossJe01,fumbles,0,,,,,
player,201310270det,det,RossJe01,fumbles_lost,0,,,,,
player,201310270det,dal,LeexSe99,def_int,2,,,,,
player,201310270det,dal,LeexSe99,def_int_yds,89,,,,,
player,201310270det,dal,LeexSe99,def_int_td,0,,,,,
player,201310270det,dal,LeexSe99,def_int_long,74,,,,,
player,201310270det,dal,LeexSe99,pass_defended,2,,,,,
player,201310270det,dal,LeexSe99,sacks,0.0,,,,,
player,201310270det,dal,LeexSe99,tackles_combined,10,,,,,
player,201310270det,dal,LeexSe99,tackles_solo,7,,,,,
player,201310270det,dal,LeexSe99,tackles_assists,3,,,,,
player,201310270det,dal,LeexSe99,tackles_loss,0,,,,,
player,201310270det,dal,LeexSe99,qb_hits,0,,,,,
player,201310270det,dal,LeexSe99,fumbles_rec,0,,,,,
player,201310270det,dal,LeexSe99,fumbles_rec_yds,0,,,,,
player,201310270det,dal,LeexSe99,fumbles_rec_td,0,,,,,
player,201310270det,dal,LeexSe99,fumbles_forced,0,,,,,
player,201310270det,dal,HatcJa20,def_int,0,,,,,
player,201310270det,dal,HatcJa20,def_int_yds,0,,,,,
player,201310270det,dal,HatcJa20,def_int_td,0,,,,,
player,201310270det,dal,HatcJa20,def_int_long,0,,,,,
player,201310270det,dal,HatcJa20,pass_defended,0,,,,,
player,201310270det,dal,HatcJa20,sacks,1.0,,,,,
player,201310270det,dal,HatcJa20,tackles_combined,1,,,,,
player,201310270det,dal,HatcJa20,tackles_solo,1,,,,,
player,201310270det,dal,HatcJa20,tackles_assists,0,,,,,
player,201310270det,dal,HatcJa20,tackles_loss,1,,,,,
player,201310270det,dal,HatcJa20,qb_hits,2,,,,,
player,201310270det,dal,HatcJa20,fumbles_rec,0,,,,,
player,201310270det,dal,HatcJa20,fumbles_rec_yds,0,,,,,
player,201310270det,dal,HatcJa20,fumbles_rec_td,0,,,,,
player,201310270det,dal,HatcJa20,fumbles_forced,0,,,,,
player,201310270det,dal,CarrBr99,def_int,0,,,,,
player,201310270det,dal,CarrBr99,def_int_yds,0,,,,,
player,201310270det,dal,CarrBr99,def_int_td,0,,,,,
player,201310270det,dal,CarrBr99,def_int_long,0,,,,,
player,201310270det,dal,CarrBr99,pass_defended,1,,,,,
player,201310270det,dal,CarrBr99,sacks,0.0,,,,,
player,201310270det,dal,CarrBr99,tackles_combined,9,,,,,
player,201310270det,dal,CarrBr99,tackles_solo,7,,,,,
player,201310270det,dal,CarrBr99,tackles_assists,2,,,,,
player,201310270det,dal,CarrBr99,tackles_loss,0,,,,,
player,201310270det,dal,CarrBr99,qb_hits,0,,,,,
player,201310270det,dal,CarrBr99,fumbles_rec,1,,,,,
player,201310270det,dal,CarrBr99,fumbles_rec_yds,21,,,,,
player,201310270det,dal,CarrBr99,fumbles_rec_td,0,,,,,
player,201310270det,dal,CarrBr99,fumbles_forced,0,,,,,
player,201310270det,dal,ChurBa99,def_int,0,,,,,
player,201310270det,dal,ChurBa99,def_int_yds,0,,,,,
player,201310270det,dal,ChurBa99,def_int_td,0,,,,,
player,201310270det,dal,ChurBa99,def_int_long,0,,,,,
player,201310270det,dal,ChurBa99,pass_defended,0,,,,,
player,201310270det,dal,ChurBa99,sacks,0.0,,,,,
player,201310270det,dal,ChurBa99,tackles_combined,9,,,,,
player,201310270det,dal,ChurBa99,tackles_solo,7,,,,,
player,201310270det,dal,ChurBa99,tackles_assists,2,,,,,
player,201310270det,dal,ChurBa99,tackles_loss,1,,,,,
player,201310270det,dal,ChurBa99,qb_hits,1,,,,,
player,201310270det,dal,ChurBa99,fumbles_rec,0,,,,,
